# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Editorial ^jj+atrb+++=EDITORIAL
. ^zz++++=EXTRAWORD
The ^ati++++=The
Vanderwater ^np+nom++??+=Vanderwater
palace ^npl++++=palace
stood ^vbd+++xvbn+=stood
upon ^in++++=upon
a ^at++++=a
hill ^npl++++=hill
above ^jjb+atrb+++=above
clean ^jj+atrb+++=clean
air ^nn++++=air.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
windows ^nns++++=windows
were ^vbd+bed+aux++=were
made ^vpsv++agls+xvbnx+=made
from ^in++++=from
old ^jj+atrb+++=old
sea ^nn++++=sea
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
eastern ^jj+atrb+++=eastern
hall ^npl++++=hall
contained ^vbd+++xvbn+=contained
a ^at++++=a
forest ^nn++++=forest
of ^in++++=of
indoor ^jjb++++=indoor
orange ^np++++=orange
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
Water ^nn++++=Water
ran ^vbd+++xvbn+=ran
uphill ^jjb++++=uphill
there ^rn+pl+++=there
by ^in++++=by
machinery ^nn+nom+++=machinery,
, ^zz++++=EXTRAWORD
merely ^rb+down+++=merely
to ^to++++=to
demonstrate ^nn+nom+++=demonstrate
that ^tht+vcmp+++=that
Roger ^np++++=Roger
Vanderwater ^np+nom++??+=Vanderwater
could ^md+pos+++=could
afford ^vb++++=afford
to ^to+vcmp+++=to
insult ^vb++++=insult
nature ^nn++++=nature.
. ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
passed ^vbd+++xvbn+=passed
carpets ^nns++++=carpets
soft ^jj++++=soft
as ^ql++++=as
moss ^np++++=moss.
. ^zz++++=EXTRAWORD
Remember ^nn+nom+++=Remember,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
slept ^vprf+++xvbnx+=slept
thirty ^cd++++=thirty
years ^nns++++=years
upon ^in++++=upon
boards ^nns++++=boards.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
passed ^vbd+++xvbnx+=passed
a ^at++++=a
breakfast ^nn++++=breakfast
room ^nn++++=room
where ^wrb+who+++=where
enough ^dt++++=enough
food ^nn++++=food
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
set ^vpsv++agls+xvbnx+=set
out ^rb+phrv+++=out
to ^to++++=to
feed ^vbi++++=feed
a ^at++++=a
barrack ^nn++++=barrack.
. ^zz++++=EXTRAWORD
Remember ^nn+nom+++=Remember,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
eaten ^vprf+++xvbnx+=eaten
nothing ^pn++++=nothing
for ^in++++=for
two ^cd++++=two
days ^nns++++=days
because ^cs+cos+++=because
the ^ati++++=the
beating ^nn++++=beating
made ^vbd+++xvbn+=made
him ^pp3o+pp3+++=him
vomit ^vb++++=vomit.
. ^zz++++=EXTRAWORD
A ^at++++=A
servant ^nn+nom+++=servant
led ^vbd+++xvbn+=led
him ^pp3o+pp3+++=him
to ^in++++=to
the ^ati++++=the
private ^jj++++=private
bedchamber ^jjr++++=bedchamber.
. ^zz++++=EXTRAWORD
Roger ^np++++=Roger
Vanderwater ^np+nom++??+=Vanderwater
lay ^vbd+++xvbn+=lay
beneath ^in+pl+++=beneath
a ^at++++=a
green ^jj+atrb+++=green
canopy ^nn++++=canopy.
. ^zz++++=EXTRAWORD
The ^ati++++=The
walls ^nns++++=walls
were ^vbd+bed+aux++=were
painted ^vpsv++agls+xvbnx+=painted
with ^in++++=with
naked ^jj+atrb+++=naked
angels ^nns++++=angels
flying ^vwbg+++xvbg+=flying
through ^in++++=through
gold ^nn++++=gold
clouds ^nns++++=clouds.
. ^zz++++=EXTRAWORD
The ^ati++++=The
floor ^nn++++=floor
was ^vbd+bedz+vrb++=was
warm ^jj+pred+++=warm.
. ^zz++++=EXTRAWORD
Scented ^jj+atrb++xvbn+=Scented
air ^nn++++=air
entered ^vbd+++xvbn+=entered
through ^in++++=through
hidden ^xvbn+++xvbn+=hidden
vents ^nns++++=vents.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
resembled ^vbd+++xvbn+=resembled
Paradise ^nn++++=Paradise,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
Paradise ^nn++++=Paradise
had ^vbd+hvd+aux++=had
required ^vprf+++xvbnx+=required
six ^cd++++=six
thousand ^cd++++=thousand
slaves ^nns++++=slaves
to ^to++++=to
maintain ^vbi+vpub+++=maintain
the ^ati++++=the
temperature ^nn++++=temperature.
. ^zz++++=EXTRAWORD
Roger ^np++++=Roger
had ^vb+hv+vrb++=had
a ^at++++=a
headache ^nn++++=headache.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
attended ^vprf+++xvbnx+=attended
a ^at++++=a
banquet ^nn++++=banquet
the ^ati++++=the
night ^nn++++=night
before ^in++++=before
and ^cc++++=and
drunk ^jj+++xvbn+=drunk
three ^cd++++=three
bottles ^nns++++=bottles
of ^in++++=of
yellow ^jj+atrb+++=yellow
wine ^nn++++=wine.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
felt ^vbd+vprv+tht0+xvbnx+=felt
himself ^ppl+pp3+++=himself
acquainted ^vbd+++xvbn+=acquainted
with ^in++++=with
suffering ^xvbg+++xvbg+=suffering.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
prize ^nn++++=prize
strawberries ^nns++++=strawberries
from ^in++++=from
Hell ^np++++=Hell's
's ^$++++=EXTRAWORD
Bottom ^nn++++=Bottom,
, ^zz++++=EXTRAWORD
master ^nn++++=master."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Bring
bring ^vb++++=EXTRAWORD
them ^pp3o+pp3+++=them
near ^in+strn+++=near.
. ^zz++++=EXTRAWORD
The ^ati++++=The
light ^nn++++=light
hurts ^vbz++++=hurts
my ^pp$+pp1+++=my
eyes ^nns++++=eyes."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
carried ^vbd+++xvbn+=carried
the ^ati++++=the
basket ^nn++++=basket
to ^in++++=to
the ^ati++++=the
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
Roger ^np++++=Roger
lifted ^vbd+++xvbn+=lifted
the ^ati++++=the
blue ^jj+atrb+++=blue
silk ^nn++++=silk.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
berries ^nns++++=berries
first ^rb++++=first.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
speak ^vb++++=speak.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
his ^pp$+pp3+++=his
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
accustomed ^j+++xvbn+=accustomed
to ^to++++=to
receiving ^vbg+++xvbg+=receiving
reports ^nns++++=reports
in ^in++++=in
columns ^nns++++=columns
of ^in++++=of
figures ^nns++++=figures,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
not ^xnot++not++=not
at ^rb++++=at
once ^rb"+tm+++=once
understand ^vb+vprv+++=understand
a ^at++++=a
fact ^nn++++=fact
with ^in++++=with
fingernails ^nns++++=fingernails.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
shouted ^vbd+vpub++xvbnx+=shouted.
. ^zz++++=EXTRAWORD
Servants ^nns+nom+++=Servants
ran ^vbd+++xvbn+=ran
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
Guards ^nns++++=Guards
threw ^vbd+++xvbn+=threw
Elias ^np+++??+=Elias
upon ^in++++=upon
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
placed ^vbd+++xvbn+=placed
a ^at++++=a
pistol ^nn++++=pistol
at ^in++++=at
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
his ^pp$+pp3+++=his
neck ^nn++++=neck.
. ^zz++++=EXTRAWORD
Roger ^np++++=Roger
Vanderwater ^np+nom++??+=Vanderwater
stared ^vbd+++xvbn+=stared
at ^rb++++=at
the ^ati++++=the
petition ^nn+nom+++=petition
clenched ^vbd+++xvbn+=clenched
in ^in++++=in
the ^ati++++=the
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
obscenity ^nn+nom+++=obscenity
is ^vbz+bez+vrb++=is
this ^dt+pdem+++=this?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
message ^nn+nom+++=message,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Whose
whose ^whp+who+++=EXTRAWORD
arm ^nn++++=arm?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Tom
tom ^np++++=EXTRAWORD
Dixon ^np++++=Dixon's."
's." ^nn+++??+=EXTRAWORD
" ^zz++++="Who
who ^whp+who+++=EXTRAWORD
is ^vbz+bez+vrb++=is
Tom ^np++++=Tom
Dixon ^np++++=Dixon?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="One
one ^pn++++=EXTRAWORD
of ^in++++=of
your ^pp$+pp2+++=your
slaves ^nns++++=slaves."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Roger ^np++++=Roger
looked ^vbd+++xvbn+=looked
offended ^xvbn+++xvbn+=offended.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
expect ^vb+vprv+++=expect
me ^pp1o+pp1+++=me
to ^to++++=to
know ^vbi+vprv+++=know
six ^cd++++=six
thousand ^cd++++=thousand
names ^nns++++=names?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
master ^nn++++=master.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
why ^wrb+who+++=why
I ^pp1a+pp1+++=I
brought ^vbd+++xvbnx+=brought
one ^cd1++++=one
arm ^nn++++=arm."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
guards ^nn++++=guards
kicked ^vbd+++xvbn+=kicked
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Roger ^np++++=Roger
ordered ^vbd+++xvbn+=ordered
them ^pp3o+pp3+++=them
to ^to++++=to
stop ^vbi++++=stop
not ^xnot++not++=not
from ^in++++=from
mercy ^nn++++=mercy,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
because ^cs+cos+++=because
noise ^nn++++=noise
increased ^vbd+++xvbn+=increased
his ^pp$+pp3+++=his
headache ^nn++++=headache.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
the ^ati++++=the
petition ^nn+nom+++=petition
from ^in++++=from
the ^ati++++=the
fingers ^nns+nom+++=fingers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
paper ^nn++++=paper
left ^vbd+++xvbn+=left
a ^at++++=a
faint ^jj++++=faint
brown ^jj++++=brown
mark ^vb++++=mark
upon ^in++++=upon
his ^pp$+pp3+++=his
thumb ^nn++++=thumb.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
read ^vbd+vprv++xvbnx+=read.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important,
, ^zz++++=EXTRAWORD
brothers ^nns+nom+++=brothers.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
read ^vbd+vprv++xvbnx+=read.
. ^zz++++=EXTRAWORD
The ^ati++++=The
arm ^nn++++=arm
frightened ^vbd+++xvbn+=frightened
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
words ^nns++++=words
directed ^vwbn+++xvbn+=directed
his ^pp$+pp3+++=his
fear ^nn++++=fear.
. ^zz++++=EXTRAWORD
Without ^in++++=Without
the ^ati++++=the
words ^nns++++=words
he ^pp3a+pp3+++=he
might ^md+pos+++=might
have ^vb+hv+aux++=have
called ^vprf+++xvbnx+=called
for ^in+ppvb+++=for
a ^at++++=a
bucket ^nn++++=bucket
and ^cc++++=and
ordered ^vbd+vsua+tht0+xvbn+=ordered
the ^ati++++=the
thing ^nn++++=thing
removed ^vwbn+++xvbn+=removed.
. ^zz++++=EXTRAWORD
Without ^in++++=Without
the ^ati++++=the
arm ^nn++++=arm
he ^pp3a+pp3+++=he
might ^md+pos+++=might
have ^vb+hv+aux++=have
laid ^vprf+++xvbnx+=laid
the ^ati++++=the
paper ^nn++++=paper
aside ^rp++++=aside
for ^in++++=for
a ^at++++=a
secretary ^nn+nom+++=secretary.
. ^zz++++=EXTRAWORD
Together ^nn+nom+++=Together
they ^pp3a+pp3+++=they
compelled ^vbd+++xvbnx+=compelled
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Flesh ^nn++++=Flesh
made ^vbd+++xvbn+=made
the ^ati++++=the
petition ^nn+nom+++=petition
urgent ^jj++++=urgent.
. ^zz++++=EXTRAWORD
Writing ^xvbg+++xvbg+=Writing
made ^vprf+++xvbn+=made
the ^ati++++=the
flesh ^nn++++=flesh
speak ^vb++++=speak.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
read ^vbd+vprv++xvbnx+=read
of ^in++++=of
three ^cd++++=three
coins ^nns++++=coins
taken ^vwbn+++xvbn+=taken
every ^at++++=every
week ^nn++++=week
from ^in++++=from
six ^cd++++=six
thousand ^cd++++=thousand
workers ^nns+nom+++=workers.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
made ^vbd+++xvbnx+=made
a ^at++++=a
calculation ^nn+nom+++=calculation.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
another ^ppls++++=another.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sum ^nn++++=sum
was ^vbd+bedz+vrb++=was
large ^jj+pred+++=large.
. ^zz++++=EXTRAWORD
Roger ^np++++=Roger
sat ^vbd+++xvbn+=sat
upright ^jj++++=upright.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
this ^dt+dem+++=this
true ^jj++++=true?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
false ^jj+pred+++=false,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=will
be ^vb+be+aux++=be
flayed ^vpsv++agls+xvbnx+=flayed."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
answered ^vbd+vpub++xvbn+=answered,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
sorry ^uh++++=sorry
all ^abn++++=all
my ^pp$+pp1+++=my
life ^nn++++=life
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
born ^vpsv++agls+xvbnx+=born.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
threaten ^vb++++=threaten
me ^pp1o+pp1+++=me
with ^in++++=with
nothing ^pn++++=nothing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
room ^nn++++=room
became ^vbd+++xvbn+=became
quiet ^jj++++=quiet.
. ^zz++++=EXTRAWORD
A ^at++++=A
master ^nn++++=master
does ^vbz+doz+aux++=does
not ^xnot++not++=not
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
to ^to++++=to
do ^vbi++++=do
with ^in++++=with
a ^at++++=a
slave ^nn++++=slave
who ^whp+rel+obj++=who
no ^at++++=no
longer ^rbr++++=longer
fears ^nns++++=fears
losing ^vwbg+++xvbg+=losing
life ^nn++++=life,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
life ^nn++++=life
is ^vbz+bez+vrb++=is
the ^ati++++=the
master ^nn++++=master's
's ^vbz+bez+vrb++0=EXTRAWORD
final ^jj+atrb+++=final
coin ^nn++++=coin.
. ^zz++++=EXTRAWORD
Roger ^np++++=Roger
sent ^vbd+++xvbn+=sent
for ^in++++=for
his ^pp$+pp3+++=his
private ^jj+atrb+++=private
auditor ^nn++++=auditor,
, ^zz++++=EXTRAWORD
a ^at++++=a
dry ^jj+atrb+++=dry
old ^jj+atrb+++=old
creature ^nn++++=creature
named ^vbd+++xvbn+=named
Peeble ^np+++??+=Peeble,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
loyalty ^nn++++=loyalty
arose ^vbd+++xvbn+=arose
from ^in++++=from
hatred ^nn++++=hatred
of ^in++++=of
everyone ^pn++++=everyone
equally ^rb++++=equally.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
ordered ^vbd+vsua+tht0+xvbnx+=ordered
the ^ati++++=the
gates ^nns++++=gates
closed ^vbd+++xvbn+=closed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
ordered ^vbd+vsua++xvbnx+=ordered
Clancy ^np+++??+=Clancy
and ^cc++++=and
Munster ^np+nom++??+=Munster
detained ^vwbn+++xvbn+=detained
before ^cs+sub+++=before
they ^pp3a+pp3+++=they
could ^md+pos+++=could
hear ^vb+vprv+++=hear
of ^in++++=of
the ^ati++++=the
inquiry ^nn++++=inquiry.
. ^zz++++=EXTRAWORD
For ^in++++=For
three ^cd++++=three
days ^nns++++=days
Peeble ^np+++??+=Peeble
examined ^vwbn+++xvbn+=examined
the ^ati++++=the
ledgers ^nns+nom+++=ledgers
of ^in++++=of
Hell ^np++++=Hell's
's ^$++++=EXTRAWORD
Bottom ^nn++++=Bottom.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
found ^vbd+vprv++xvbnx+=found
false ^jj+atrb+++=false
deaths ^nns++++=deaths,
, ^zz++++=EXTRAWORD
false ^jj+atrb+++=false
burials ^nns+nom+++=burials,
, ^zz++++=EXTRAWORD
false ^jj+atrb+++=false
medicines ^nns++++=medicines,
, ^zz++++=EXTRAWORD
false ^jj+atrb+++=false
pensions ^nns++++=pensions,
, ^zz++++=EXTRAWORD
false ^jj+atrb+++=false
seals ^nns++++=seals,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
false ^jj+atrb+++=false
physician ^nn++++=physician
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
in ^in++++=in
fact ^nn++++=fact
Munster ^np+nom+++=Munster's
's ^$++++=EXTRAWORD
cousin ^nn++++=cousin
and ^cc++++=and
a ^at++++=a
dealer ^nn++++=dealer
in ^in++++=in
racing ^xvbg+++xvbg+=racing
birds ^nns++++=birds.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
found ^vbd+vprv++xvbnx+=found
that ^tht+vcmp+++=that
Clancy ^np+++??+=Clancy
charged ^vbd+vpub++xvbn+=charged
the ^ati++++=the
Relief ^nn++++=Relief
Fund ^nn++++=Fund
for ^in++++=for
" ^zz++++="moral
moral ^jj+atrb+++=EXTRAWORD
bandages ^nns+nom+++=bandages,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
a ^at++++=a
product ^nn++++=product
not ^xnot++not++=not
known ^vbd+vprv++xvbn+=known
to ^to+vcmp+++=to
science ^nn+nom+++=science.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
found ^vbd+vprv++xvbnx+=found
that ^tht+vcmp+++=that
Munster ^np+nom+++=Munster's
's ^$++++=EXTRAWORD
green ^nn++++=green
bath ^np++++=bath
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
entered ^vpsv++agls+xvbnx+=entered
as ^ql++++=as
a ^at++++=a
public ^jj+atrb+++=public
fever ^nn++++=fever
basin ^nn++++=basin,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
no ^at++++=no
slave ^nn++++=slave
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
permitted ^vpsv++agls+xvbnx+=permitted
within ^in++++=within
two ^cd++++=two
hundred ^cd++++=hundred
paces ^nns++++=paces
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Peeble ^np+++??+=Peeble
enjoyed ^vbd+++xvbn+=enjoyed
himself ^ppl+pp3+++=himself
greatly ^rb+amp+++=greatly.
. ^zz++++=EXTRAWORD
Roger ^np++++=Roger
Vanderwater ^np+nom++??+=Vanderwater
rode ^vbd+++xvbn+=rode
to ^in++++=to
Hell ^np++++=Hell's
's ^$++++=EXTRAWORD
Bottom ^nn++++=Bottom.
. ^zz++++=EXTRAWORD
The ^ati++++=The
slaves ^nns++++=slaves
were ^vbd+bed+aux++=were
lined ^vpsv++agls+xvbnx+=lined
in ^in++++=in
the ^ati++++=the
yard ^nn++++=yard.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
expected ^vbd+vprv++xvbnx+=expected
punishment ^nn+nom+++=punishment.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
what ^wdt+who+++=what
justice ^nn++++=justice
usually ^rb+down+++=usually
means ^in++++=means
when ^wrb+who+++=when
a ^at++++=a
master ^nn++++=master
arrives ^vbz++++=arrives
with ^in++++=with
cavalry ^nn++++=cavalry.
. ^zz++++=EXTRAWORD
Clancy ^np+++??+=Clancy
and ^cc++++=and
Munster ^np+nom++??+=Munster
stood ^vbd+++xvbn+=stood
beneath ^in+pl+++=beneath
the ^ati++++=the
office ^nn++++=office
clock ^nn++++=clock.
. ^zz++++=EXTRAWORD
Clancy ^np++++=Clancy's
's ^$++++=EXTRAWORD
gold ^nn++++=gold
teeth ^nns++++=teeth
no ^at++++=no
longer ^rbr++++=longer
shone ^vbd+++xvbn+=shone,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
spent ^vprf+++xvbnx+=spent
the ^ati++++=the
night ^nn++++=night
trying ^vb+++xvbg+=trying
to ^to+vcmp+++=to
swallow ^vbi++++=swallow
certain ^jj+atrb+++=certain
pages ^nns++++=pages
of ^in++++=of
the ^ati++++=the
ledger ^np++++=ledger.
. ^zz++++=EXTRAWORD
Munster ^np+nom++??+=Munster
wept ^vbd+++xvbn+=wept
into ^in++++=into
his ^pp$+pp3+++=his
collar ^nn++++=collar.
. ^zz++++=EXTRAWORD
Roger ^np++++=Roger
spoke ^vbd+++xvbn+=spoke
from ^in++++=from
the ^ati++++=the
steps ^nns++++=steps.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub++xvbnx+=said
the ^ati++++=the
Relief ^nn++++=Relief
Fund ^nn++++=Fund
was ^vbd+bedz+vrb++=was
a ^at++++=a
sacred ^jj+atrb+++=sacred
trust ^nn++++=trust.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub+tht0+xvbnx+=said
corruption ^nn+nom+++=corruption
offended ^vbd+++xvbn+=offended
the ^ati++++=the
ancient ^jj+atrb+++=ancient
honor ^nn++++=honor
of ^in++++=of
the ^ati++++=the
Vanderwater ^np+nom++??+=Vanderwater
name ^nn++++=name.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
know ^vb+vprv+++=know
of ^in++++=of
Bloody ^jj+atrb+++=Bloody
Vange ^np+++??+=Vange,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
smile ^vb++++=smile
at ^rb++++=at
that ^dt+dem+++=that
honor ^nn++++=honor,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
slaves ^nns++++=slaves
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
smile ^nn++++=smile.
. ^zz++++=EXTRAWORD
Cavalry ^nn++++=Cavalry
stood ^vbd+++xvbn+=stood
behind ^rp+pl+++=behind
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Roger ^np++++=Roger
ordered ^vbd+vsua+tht0+xvbn+=ordered
the ^ati++++=the
hunting ^jj+++xvbg+=hunting
lodge ^npl++++=lodge
sold ^vwbn+++xvbn+=sold.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
ordered ^vbd+vsua+tht0+xvbnx+=ordered
the ^ati++++=the
mechanical ^jj+atrb+++=mechanical
horses ^nns++++=horses
sold ^vwbn+++xvbn+=sold.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
ordered ^vbd+vsua++xvbnx+=ordered
the ^ati++++=the
green ^nn++++=green
bath ^np++++=bath
broken ^vbd+++xvbn+=broken
up ^rp++++=up
and ^cc++++=and
placed ^vpsv++agls+xvbn+=placed
in ^in++++=in
the ^ati++++=the
workers ^nns+nom+++=workers'
' ^zz++++=EXTRAWORD
washhouse ^nn+++??+=washhouse.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
punished ^vbd+++xvbnx+=punished
the ^ati++++=the
overseers ^nns+nom+++=overseers.
. ^zz++++=EXTRAWORD
Clancy ^np+++??+=Clancy
had ^vbd+hvd+aux++=had
knocked ^vprf+++xvbnx+=knocked
out ^rb+phrv+++=out
workers ^nns+nom+++=workers'
' ^zz++++=EXTRAWORD
teeth ^nns++++=teeth.
. ^zz++++=EXTRAWORD
Roger ^np++++=Roger
ordered ^vbd+vsua++xvbn+=ordered
every ^at++++=every
gold ^nn++++=gold
tooth ^nn++++=tooth
drawn ^vwbn+++xvbn+=drawn
from ^in++++=from
Clancy ^np++++=Clancy's
's ^$++++=EXTRAWORD
mouth ^nn++++=mouth,
, ^zz++++=EXTRAWORD
together ^nn+nom+++=together
with ^in++++=with
two ^cd++++=two
natural ^jj+atrb+++=natural
ones ^cd1s++++=ones
that ^cs+sub+++=that
Peeble ^np+++??+=Peeble
said ^vbd+vpub++xvbn+=said
were ^vbd+bed+vrb++=were
probably ^rb++++=probably
innocent ^jj+pred+++=innocent
but ^cc++++=but
poorly ^rb++++=poorly
documented ^vbd+++xvbn+=documented.
. ^zz++++=EXTRAWORD
Munster ^np+nom++??+=Munster
had ^vbd+hvd+aux++=had
watched ^vprf+++xvbnx+=watched
beatings ^nns++++=beatings
from ^in++++=from
a ^at++++=a
chair ^nn++++=chair.
. ^zz++++=EXTRAWORD
