# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Editor ^np++++=EDITOR'S
inner ^jjb+atrb+++=inner
door ^nn++++=door
a ^at++++=a
steward ^nn++++=steward
glanced ^vbd+++xvbn+=glanced
beneath ^in+pl+++=beneath
the ^ati++++=the
cloth ^nn++++=cloth.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
upper ^jjb+atrb+++=upper
layer ^nn++++=layer
of ^in++++=of
berries ^nns++++=berries
but ^cc++++=but
not ^xnot++not++=not
the ^ati++++=the
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
The ^ati++++=The
slave ^nn++++=slave
was ^vbd+bedz+aux++=was
sent ^vpsv++agls+xvbnx+=sent
along ^in++++=along
the ^ati++++=the
white ^jj+atrb+++=white
corridor ^nn++++=corridor
to ^in++++=to
the ^ati++++=the
breakfast ^nn++++=breakfast
chamber ^nn++++=chamber.
. ^zz++++=EXTRAWORD
Roger ^np++++=Roger
Vanderwater ^np+nom++??+=Vanderwater
was ^vbd+bedz+vrb++=was
in ^in++++=in
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
awakened ^vprf+++xvbnx+=awakened
with ^in++++=with
a ^at++++=a
headache ^nn++++=headache.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
detail ^nn++++=detail
appears ^vbz+seem+++=appears
in ^in++++=in
the ^ati++++=the
household ^nn++++=household
record ^nn++++=record:
: ^zz++++=EXTRAWORD
" ^zz++++="His
his ^pp$+pp3+++=EXTRAWORD
lordship ^nn+nom+++=lordship
being ^xvbg+++xvbg+=being
indisposed ^vpsv++by+xvbn+=indisposed
by ^in++++=by
a ^at++++=a
pain ^nn++++=pain
of ^in++++=of
the ^ati++++=the
head ^nn++++=head,
, ^zz++++=EXTRAWORD
breakfast ^nn++++=breakfast
was ^vbd+bedz+aux++=was
served ^vpsv++agls+xvbnx+=served
in ^in++++=in
the ^ati++++=the
east ^nr+pl+++=east
bedchamber ^jjr++++=bedchamber."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
pain ^nn++++=pain
of ^in++++=of
the ^ati++++=the
head ^nn++++=head!
! ^zz++++=EXTRAWORD
The ^ati++++=The
record ^nn++++=record
preserves ^vbz++++=preserves
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
Dixon ^np++++=Dixon's
's ^$++++=EXTRAWORD
arm ^nn++++=arm
is ^vbz+bez+aux++=is
not ^xnot++not++=not
mentioned ^vbd+vpub++xvbn+=mentioned.
. ^zz++++=EXTRAWORD
Roger ^np++++=Roger
lay ^vbd+++xvbn+=lay
among ^in++++=among
blue ^jj+atrb+++=blue
cushions ^nns++++=cushions
while ^cs+sub+++=while
a ^at++++=a
physician ^nn++++=physician
mixed ^vbd+++xvbn+=mixed
scented ^jj+atrb++xvbn+=scented
water ^nn++++=water.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
wife ^nn++++=wife
sat ^vwbn+++xvbn+=sat
by ^in++++=by
the ^ati++++=the
window ^nn++++=window
reading ^vwbg+++xvbg+=reading
a ^at++++=a
book ^nn++++=book.
. ^zz++++=EXTRAWORD
Books ^nns++++=Books
lay ^vbd+++xvbn+=lay
everywhere ^rb++++=everywhere
upon ^in++++=upon
tables ^nns++++=tables,
, ^zz++++=EXTRAWORD
shelves ^nns++++=shelves,
, ^zz++++=EXTRAWORD
chairs ^nns++++=chairs
so ^rb+emph+++=so
plentiful ^jj++++=plentiful
that ^dt+dem+++=that
no ^at++++=no
one ^cd1++++=one
guarded ^jj+++xvbn+=guarded
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
is ^vbz+bez+aux++=is
forbidden ^vpsv++agls+xvbnx+=forbidden
to ^to+vcmp+++=to
us ^pp1o+pp1+++=us
is ^vbz+bez+aux++=is
wasted ^vpsv++agls+xvbnx+=wasted
upon ^in++++=upon
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
slave ^nn++++=slave
entered ^vbd+++xvbn+=entered
carrying ^vbg+++xvbg+=carrying
the ^ati++++=the
covered ^jj+atrb++xvbn+=covered
tray ^nn++++=tray.
. ^zz++++=EXTRAWORD
The ^ati++++=The
steward ^nn++++=steward
announced ^vbd+vpub++xvbn+=announced
the ^ati++++=the
morning ^nn++++=morning
strawberries ^nns++++=strawberries.
. ^zz++++=EXTRAWORD
Roger ^np++++=Roger
made ^vbd+++xvbn+=made
an ^at++++=an
impatient ^jj+atrb+++=impatient
gesture ^nn++++=gesture.
. ^zz++++=EXTRAWORD
" ^zz++++="Set
set ^nn+++xvbn+=EXTRAWORD
them ^pp3o+pp3+++=them
down ^rp++++=down."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
slave ^nn++++=slave
approached ^vbd+++xvbn+=approached
the ^ati++++=the
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
strength ^nn++++=strength
was ^vbd+bedz+aux++=was
failing ^nvbg+++xvbg+=failing.
. ^zz++++=EXTRAWORD
Blood ^nn++++=Blood
had ^vbd+hvd+aux++=had
soaked ^vprf+++xvbnx+=soaked
through ^in++++=through
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
the ^ati++++=the
green ^jj+atrb+++=green
coat ^nn++++=coat
where ^wrb+who+++=where
the ^ati++++=the
old ^jj+atrb+++=old
wounds ^nns++++=wounds
had ^vbd+hvd+aux++=had
reopened ^vprf+++xvbnx+=reopened.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
guards ^vbz++++=guards
noticed ^vprf+++xvbn+=noticed
it ^pp3+it+++=it
and ^cc++++=and
moved ^vpsv++agls+xvbn+=moved
toward ^in++++=toward
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
they ^pp3a+pp3+++=they
could ^md+pos+++=could
seize ^vb++++=seize
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
pulled ^vbd+++xvbnx+=pulled
away ^rp+pl+++=away
the ^ati++++=the
cloth ^nn++++=cloth.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
spoke ^vbd+++xvbn+=spoke.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
the ^ati++++=the
strawberries ^nns++++=strawberries,
, ^zz++++=EXTRAWORD
heaped ^j+++xvbn+=heaped
like ^in++++=like
jewels ^nns++++=jewels.
. ^zz++++=EXTRAWORD
Across ^in+pl+++=Across
them ^pp3o+pp3+++=them
lay ^vbd+++xvbn+=lay
Tom ^np++++=Tom
Dixon ^np++++=Dixon's
's ^$++++=EXTRAWORD
arm ^vb++++=arm.
. ^zz++++=EXTRAWORD
The ^ati++++=The
white ^jj+atrb+++=white
hand ^nn++++=hand
rose ^vbd+++xvbn+=rose
from ^in++++=from
the ^ati++++=the
red ^jj+atrb+++=red
fruit ^nn++++=fruit,
, ^zz++++=EXTRAWORD
holding ^vbg+vprv++xvbg+=holding
the ^ati++++=the
petition ^nn+nom+++=petition
as ^cs+sub+++=as
though ^cs+sub+++=though
the ^ati++++=the
arm ^nn++++=arm
itself ^ppl++++=itself
had ^vbd+hvd+aux++=had
travelled ^vprf+++xvbnx+=travelled
to ^to++++=to
accuse ^vbi++++=accuse
its ^pp$+it+++=its
owner ^nn++++=owner's
's ^$++++=EXTRAWORD
master ^nn++++=master.
. ^zz++++=EXTRAWORD
Roger ^np++++=Roger
Vanderwater ^np+nom++??+=Vanderwater
stared ^vbd+++xvbn+=stared.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
wife ^nn++++=wife
dropped ^vbd+++xvbn+=dropped
her ^pp$+pp3+++=her
book ^nn++++=book.
. ^zz++++=EXTRAWORD
The ^ati++++=The
physician ^nn++++=physician
backed ^vbd+++xvbn+=backed
against ^in++++=against
the ^ati++++=the
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
guard ^nn++++=guard
drew ^vbd+++xvbn+=drew
a ^at++++=a
pistol ^nn++++=pistol.
. ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
seized ^jj+++xvbn+=seized
the ^ati++++=the
slave ^nn++++=slave
by ^in++++=by
the ^ati++++=the
neck ^nn++++=neck
and ^cc++++=and
forced ^jj+++xvbn+=forced
him ^pp3o+pp3+++=him
to ^in++++=to
his ^pp$+pp3+++=his
knees ^nns++++=knees.
. ^zz++++=EXTRAWORD
Still ^rb++++=Still
the ^ati++++=the
slave ^nn++++=slave
held ^vbd+vprv++xvbn+=held
the ^ati++++=the
tray ^nn++++=tray
level ^nn++++=level.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
one ^cd1++++=one
berry ^nn++++=berry
fell ^vbd+++xvbn+=fell.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
this ^dt+pdem+++=this?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Roger ^np++++=Roger
demanded ^vbd+vsua++xvbn+=demanded.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
morning ^nn++++=morning
account ^nn++++=account
from ^in++++=from
Hell ^np++++=Hell's
's ^$++++=EXTRAWORD
Bottom ^nn++++=Bottom,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
slave ^nn++++=slave.
. ^zz++++=EXTRAWORD
" ^zz++++="Whose
whose ^whp+who+++=EXTRAWORD
arm ^nn++++=arm?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Tom
tom ^np++++=EXTRAWORD
Dixon ^np++++=Dixon's."
's." ^nn+++??+=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
here ^rn+pl+++=here?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Because
because ^cs+cos+++=EXTRAWORD
his ^pp$+pp3+++=his
petition ^nn+nom+++=petition
could ^md+pos+++=could
not ^xnot++not++=not
come ^vb++++=come
by ^in++++=by
itself ^ppl++++=itself."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Roger ^np++++=Roger
looked ^vbd+++xvbn+=looked
at ^rb++++=at
the ^ati++++=the
paper ^nn++++=paper
in ^in++++=in
the ^ati++++=the
dead ^jj+atrb+++=dead
fingers ^nns+nom+++=fingers.
. ^zz++++=EXTRAWORD
" ^zz++++="Release
release ^nn++++=EXTRAWORD
him ^pp3o+pp3+++=him,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
The ^ati++++=The
guard ^nn++++=guard
obeyed ^vbd+++xvbn+=obeyed.
. ^zz++++=EXTRAWORD
Roger ^np++++=Roger
took ^vbd+++xvbn+=took
the ^ati++++=the
petition ^nn+nom+++=petition.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
read ^vbd+vprv+tht0+xvbnx+=read
it ^pp3+it+++=it
once ^rb+tm+++=once.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
read ^vbd+vprv+tht0+xvbnx+=read
it ^pp3+it+++=it
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
The ^ati++++=The
room ^nn++++=room
was ^vbd+bedz+vrb++=was
so ^ql++++=so
still ^rb++++=still
that ^cs+sub+++=that
the ^ati++++=the
fountain ^nn++++=fountain
in ^in++++=in
the ^ati++++=the
courtyard ^nn++++=courtyard
could ^md+pos+++=could
be ^vb+be+aux++=be
heard ^vpsv++agls+xvbnx+=heard
through ^in++++=through
the ^ati++++=the
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+vrb++=EXTRAWORD
these ^dt+dem+++=these
charges ^nns++++=charges
true ^jj++++=true?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
slave ^nn++++=slave
answered ^vbd+vpub++xvbn+=answered,
, ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
and ^cc+phrs+++=and
count ^vb++++=count
the ^ati++++=the
empty ^jj+atrb+++=empty
bowls ^nns++++=bowls."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
Roger ^np++++=Roger
saw ^vbd+vprv++xvbn+=saw
then ^rn+tm+++=then
what ^wdt+who+++=what
no ^at++++=no
written ^jj+atrb++xvbn+=written
word ^nn++++=word
alone ^rb++++=alone
had ^vbd+hvd+aux++=had
forced ^vprf+++xvbnx+=forced
him ^pp3o+pp3+++=him
to ^to++++=to
see ^vbi+vprv+++=see.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
the ^ati++++=the
arm ^nn++++=arm
upon ^in++++=upon
his ^pp$+pp3+++=his
breakfast ^nn++++=breakfast
made ^vbd+++xvbn+=made
Hell ^np++++=Hell's
's ^$++++=EXTRAWORD
Bottom ^jjb++++=Bottom
real ^jj++++=real
to ^in++++=to
him ^pp3o+pp3+++=him
for ^in++++=for
one ^cd1++++=one
minute ^nn++++=minute.
. ^zz++++=EXTRAWORD
Masters ^nns+nom+++=Masters
often ^rb++++=often
require ^vb+vsua+++=require
the ^ati++++=the
suffering ^jj+++xvbg+=suffering
of ^in++++=of
a ^at++++=a
thousand ^cd++++=thousand
to ^to++++=to
be ^vbi+vbi+aux++=be
arranged ^vpsv++agls+xvbnx+=arranged
as ^ql++++=as
a ^at++++=a
spectacle ^nn++++=spectacle
before ^cs+sub+++=before
they ^pp3a+pp3+++=they
will ^md+prd+++=will
interrupt ^vb++++=interrupt
their ^pp$+pp3+++=their
comfort ^nn++++=comfort.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
ordered ^vbd+vsua++xvbnx+=ordered
an ^at++++=an
investigation ^nn+nom+++=investigation.
. ^zz++++=EXTRAWORD
Clancy ^np+++??+=Clancy
and ^cc++++=and
Munster ^np+nom++??+=Munster
were ^vbd+bed+aux++=were
summoned ^vpsv++agls+xvbnx+=summoned
to ^to+vcmp+++=to
Paradise ^vb++++=Paradise
that ^tht+rel+++=that
same ^ap++++=same
day ^nn++++=day.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
arrived ^vbd+++xvbnx+=arrived
in ^in++++=in
polished ^jj+atrb+++=polished
boots ^nns++++=boots,
, ^zz++++=EXTRAWORD
believing ^vbg+vprv+tht0+xvbg+=believing
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
called ^vpsv++agls+xvbnx+=called
to ^to++++=to
discuss ^vbi++++=discuss
production ^nn+nom+++=production.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
denied ^vbd+vpub+tht0+xvbnx+=denied
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
The ^ati++++=The
account ^nn++++=account
books ^nns++++=books,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
proved ^j+++xvbn+=proved
the ^ati++++=the
relief ^nn++++=relief
fund ^nn++++=fund
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
properly ^rb++splt++=properly
administered ^vpsv++agls+xvbn+=administered.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Roger ^np++++=Roger
had ^vb+hv+vrb++=had
clerks ^nns++++=clerks
who ^whp+rel+subj++=who
could ^md+pos+++=could
read ^vb+vprv++xvbn+=read
the ^ati++++=the
lies ^vbz++++=lies
better ^jjr++++=better
than ^in++++=than
slaves ^nns++++=slaves
could ^md+pos+++=could.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sent ^vbd+++xvbnx+=sent
agents ^nns++++=agents
to ^in++++=to
the ^ati++++=the
pens ^nns++++=pens.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
found ^vbd+vprv++xvbnx+=found
widows ^nns++++=widows
without ^in++++=without
bread ^nn++++=bread,
, ^zz++++=EXTRAWORD
children ^nns++++=children
without ^in++++=without
milk ^nn++++=milk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sick ^jj+atrb+++=sick
workers ^nns+nom+++=workers
lying ^vwbg+++xvbg+=lying
upon ^in++++=upon
bare ^jj+atrb+++=bare
boards ^nns++++=boards.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
found ^vbd+vprv++xvbnx+=found
false ^jj+atrb+++=false
names ^nns++++=names,
, ^zz++++=EXTRAWORD
forged ^jj+atrb++xvbn+=forged
receipts ^nns++++=receipts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
money ^nn++++=money
transferred ^vwbn+++xvbn+=transferred
into ^in++++=into
the ^ati++++=the
overseers ^nns+nom+++=overseers'
' ^zz++++=EXTRAWORD
private ^jj+atrb+++=private
accounts ^nns++++=accounts.
. ^zz++++=EXTRAWORD
The ^ati++++=The
charges ^nns++++=charges
were ^vbd+bed+vrb++=were
true ^jj+pred+++=true.
. ^zz++++=EXTRAWORD
Roger ^np++++=Roger
Vanderwater ^np+nom++??+=Vanderwater
became ^vbd+++xvbn+=became
furious ^jj++++=furious.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
not ^xnot++not++=not
mistake ^vb++++=mistake
the ^ati++++=the
nature ^nn++++=nature
of ^in++++=of
his ^pp$+pp3+++=his
fury ^nn++++=fury,
, ^zz++++=EXTRAWORD
brothers ^nns+nom+++=brothers.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
the ^ati++++=the
theft ^nn++++=theft
from ^in++++=from
us ^pp1o+pp1+++=us
that ^cs+sub+++=that
first ^od++++=first
enraged ^vbd+++xvbn+=enraged
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Clancy ^np+++??+=Clancy
and ^cc++++=and
Munster ^np+nom++??+=Munster
had ^vbd+hvd+aux++=had
stolen ^vprf+++xvbnx+=stolen
money ^nn++++=money
bearing ^vwbg+++xvbg+=bearing
the ^ati++++=the
Vanderwater ^np+nom++??+=Vanderwater
seal ^nn++++=seal.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
deceived ^vprf+++xvbnx+=deceived
a ^at++++=a
master ^nn++++=master.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
allowed ^vprf+++xvbnx+=allowed
disorder ^nn+nom+++=disorder
to ^to++++=to
reduce ^vbi++++=reduce
production ^nn+nom+++=production.
. ^zz++++=EXTRAWORD
Worst ^jjt++++=Worst
of ^in++++=of
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
carried ^vprf+++xvbnx+=carried
their ^pp$+pp3+++=their
corruption ^nn+nom+++=corruption
into ^in++++=into
his ^pp$+pp3+++=his
bedroom ^nn++++=bedroom
upon ^in++++=upon
a ^at++++=a
silver ^nn++++=silver
tray ^nn++++=tray.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
fury ^nn++++=fury
may ^md+pos+++=may
sometimes ^rb++++=sometimes
fall ^nn++++=fall
in ^in++++=in
a ^at++++=a
useful ^jj+atrb+++=useful
direction ^nn+nom+++=direction.
. ^zz++++=EXTRAWORD
Clancy ^np+++??+=Clancy
was ^vbd+bedz+aux++=was
tied ^vpsv++agls+xvbnx+=tied
to ^in++++=to
the ^ati++++=the
punishment ^nn+nom+++=punishment
frame ^nn++++=frame
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
employed ^vprf+++xvbnx+=employed
upon ^in++++=upon
the ^ati++++=the
petitioners ^nns+nom+++=petitioners.
. ^zz++++=EXTRAWORD
Munster ^np+nom++??+=Munster
was ^vbd+bedz+aux++=was
compelled ^vpsv++agls+xvbnx+=compelled
to ^to+vcmp+++=to
administer ^nn+nom+++=administer
the ^ati++++=the
strokes ^nns+++??+=strokes.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Munster ^np+nom++??+=Munster
was ^vbd+bedz+aux++=was
tied ^vpsv++agls+xvbnx+=tied
down ^rb+cnj+++=down,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Clancy ^np+++??+=Clancy,
, ^zz++++=EXTRAWORD
already ^rb++++=already
bleeding ^nvbg+++xvbg+=bleeding,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
to ^to+vcmp+++=to
strike ^vbi++++=strike
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
each ^dt++++=each
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen,
, ^zz++++=EXTRAWORD
the ^ati++++=the
palace ^nn++++=palace
guards ^nns++++=guards
continued ^vbd+++xvbn+=continued.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
property ^nn++++=property
was ^vbd+bedz+aux++=was
seized ^vpsv++agls+xvbnx+=seized.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
houses ^nns++++=houses
were ^vbd+bed+aux++=were
emptied ^vpsv++agls+xvbnx+=emptied.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
families ^nns++++=families
were ^vbd+bed+aux++=were
expelled ^vpsv++agls+xvbnx+=expelled
from ^in++++=from
the ^ati++++=the
master ^nn++++=master
quarter ^nn++++=quarter.
. ^zz++++=EXTRAWORD
Clancy ^np+++??+=Clancy
was ^vbd+bedz+aux++=was
sent ^vpsv++agls+xvbnx+=sent
to ^in++++=to
the ^ati++++=the
northern ^jj+atrb+++=northern
quarries ^nns++++=quarries.
. ^zz++++=EXTRAWORD
Munster ^np+nom++??+=Munster
went ^vbd+++xvbn+=went
to ^in++++=to
the ^ati++++=the
river ^nn++++=river-dredging
- ^zz++++=EXTRAWORD
dredging ^jj+atrb++xvbg+=EXTRAWORD
gangs ^nns++++=gangs.
. ^zz++++=EXTRAWORD
Neither ^dt++neg++=Neither
lived ^jj+++xvbn+=lived
two ^cd++++=two
years ^nns++++=years.
. ^zz++++=EXTRAWORD
The ^ati++++=The
relief ^nn++++=relief
fund ^nn++++=fund
was ^vbd+bedz+aux++=was
restored ^vpsv++agls+xvbnx+=restored.
. ^zz++++=EXTRAWORD
A ^at++++=A
salaried ^jj+atrb+++=salaried
clerk ^nn++++=clerk
from ^in++++=from
the ^ati++++=the
palace ^npl++++=palace
kept ^vbd+++xvbn+=kept
the ^ati++++=the
books ^nns++++=books,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
injured ^xvbn+++xvbn+=injured
workers ^nns+nom+++=workers
received ^vbd+++xvbn+=received
payments ^nns+nom+++=payments.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Remember ^nn+nom+++=Remember
those ^dt+dem+++=those
words ^nns++++=words:
: ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
Dixon ^np++++=Dixon
was ^vbd+bedz+aux++=was
given ^vpsv++agls+xvbnx+=given
food ^nn++++=food
and ^cc++++=and
medicine ^nn++++=medicine.
. ^zz++++=EXTRAWORD
A ^at++++=A
light ^nn++++=light
task ^nn++++=task
was ^vbd+bedz+aux++=was
found ^vpsv++agls+xvbnx+=found
for ^in++++=for
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
packing ^jj+atrb++xvbg+=packing
room ^nn++++=room.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
children ^nns++++=children
received ^vbd+++xvbn+=received
shoes ^nns++++=shoes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
workers ^nns+nom+++=workers
said ^vbd+vpub++xvbn+=said
Roger ^np++++=Roger
Vanderwater ^np+nom++??+=Vanderwater
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done
justice ^npt++++=justice.
. ^zz++++=EXTRAWORD
Had ^vb+hv+vrb++=Had
he ^pp3a+pp3+++=he?
? ^zz++++=EXTRAWORD
One ^cd1++++=One
thief ^nn++++=thief
had ^vbd+hvd+aux++=had
punished ^vprf+++xvbnx+=punished
two ^cd++++=two
smaller ^jjr+atrb+++=smaller
thieves ^nns++++=thieves.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
master ^nn++++=master
had ^vbd+hvd+aux++=had
corrected ^vprf+++xvbnx+=corrected
two ^cd++++=two
servants ^nns+nom+++=servants
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
damaged ^vprf+++xvbnx+=damaged
his ^pp$+pp3+++=his
property ^nn++++=property.
. ^zz++++=EXTRAWORD
Hell ^np++++=Hell's
's ^$++++=EXTRAWORD
Bottom ^jjb++++=Bottom
remained ^jj+++xvbn+=remained.
. ^zz++++=EXTRAWORD
The ^ati++++=The
looms ^nns++++=looms
remained ^vbd+++xvbn+=remained.
. ^zz++++=EXTRAWORD
The ^ati++++=The
slave ^nn++++=slave
pens ^nns++++=pens
remained ^vbd+++xvbn+=remained.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
Dixon ^np++++=Dixon
did ^vbd+dod+aux++=did
not ^xnot++not++=not
receive ^vb++++=receive
his ^pp$+pp3+++=his
arm ^nn++++=arm
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
No ^at++++=No
worker ^nn++++=worker
received ^vbd+++xvbn+=received
freedom ^nn+nom+++=freedom.
. ^zz++++=EXTRAWORD
A ^at++++=A
good ^jj+atrb+++=good
master ^nn++++=master
is ^vbz+bez+vrb++=is
still ^rb++++=still
a ^at++++=a
master ^nn++++=master,
, ^zz++++=EXTRAWORD
even ^rb++++=even
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
loosens ^nns+++??+=loosens
the ^ati++++=the
chain ^nn++++=chain
one ^cd1++++=one
link ^nn++++=link.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
literate ^jj+atrb+++=literate
slave ^nn++++=slave?
? ^zz++++=EXTRAWORD
Roger ^np++++=Roger
questioned ^vbd+vpub++xvbn+=questioned
him ^pp3o+pp3+++=him
after ^in++++=after
the ^ati++++=the
investigation ^nn+nom+++=investigation.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
astonished ^vpsv++agls+xvbnx+=astonished
that ^dt+dem+++=that
a ^at++++=a
factory ^nn++++=factory
worker ^nn++++=worker
could ^md+pos+++=could
write ^vb++++=write
so ^rb++++=so
clearly ^rb++++=clearly.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
offered ^vbd+++xvbnx+=offered
him ^pp3o+pp3+++=him
a ^at++++=a
place ^nn++++=place
among ^in++++=among
the ^ati++++=the
household ^nn++++=household
clerks ^nns++++=clerks.
. ^zz++++=EXTRAWORD
Later ^rbr+tm+++=Later,
, ^zz++++=EXTRAWORD
seeing ^vbg+vprv++xvbg+=seeing
that ^tht+vcmp+++=that
the ^ati++++=the
man ^nn++++=man
was ^vbd+bedz+aux++=was
