# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Malitia ^np+++??+=MALITIA
Perhaps ^rb++++=Perhaps
so ^rb++++=so.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
unable ^jj+pred+++=unable
to ^to+jcmp+++=to
forget ^vbi+vprv+++=forget
that ^tht+vcmp+++=that
no ^at++++=no
villager ^nn+nom+++=villager
vanished ^vbd+++xvbn+=vanished
during ^in++++=during
that ^dt+dem+++=that
Terrible ^jj+atrb+++=Terrible
Season ^nn++++=Season;
; ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
can ^md+pos+++=can
I ^pp1a+pp1+++=I
reject ^vb++++=reject
the ^ati++++=the
possibility ^nn+nom+++=possibility
that ^tht+ncmp+++=that
the ^ati++++=the
vengeance ^nn+nom+++=vengeance
intended ^vwbn+vsua++xvbn+=intended
for ^in++++=for
a ^at++++=a
town ^nn++++=town
was ^vbd+bedz+aux++=was
satisfied ^vpsv++by+xvbnx+=satisfied
by ^in++++=by
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
climbed ^vbd+++xvbn+=climbed,
, ^zz++++=EXTRAWORD
under ^in++++=under
Roman ^jj+atrb+++=Roman
standards ^nns++++=standards,
, ^zz++++=EXTRAWORD
to ^to++++=to
meet ^vbi++++=meet
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
equinoctial ^jj+atrb+++=equinoctial
nights ^nns++++=nights,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sometimes ^rb++++=sometimes
awaken ^vb++++=awaken
before ^cs+sub+++=before
the ^ati++++=the
final ^jj+atrb+++=final
star ^nn++++=star
is ^vbz+bez+aux++=is
extinguished ^vpsv++agls+xvbnx+=extinguished.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
from ^in++++=from
very ^ql+amp+++=very
far ^rb+pl+++=far
off ^rp+pl+++=off
from ^in++++=from
Spain ^np++++=Spain,
, ^zz++++=EXTRAWORD
from ^in++++=from
history ^nn++++=history,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
from ^in++++=from
some ^dti++++=some
black ^jj+atrb+++=black
elevation ^nn+nom+++=elevation
above ^rb++++=above
both ^abx++++=both
i ^pp1a+pp1+++=I
hear ^vb+vprv+++=hear
the ^ati++++=the
drums ^nns++++=drums.
. ^zz++++=EXTRAWORD
