Jacob ^np++++=Jacob
so ^ql++++=so
that ^cs+sub+++=that
any ^dti++++=any
attempt ^nn++++=attempt
to ^to+ncmp+++=to
straighten ^vbi++++=straighten
one ^cd1++++=one
pair ^nn++++=pair
tightened ^vbd+++xvbn+=tightened
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
The ^ati++++=The
knots ^nns++++=knots
were ^vbd+bed+vrb++=were
clumsy ^jj+pred+++=clumsy
but ^cc+phrs+++=but
numerous ^jj++++=numerous,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
the ^ati++++=the
coward ^nn++++=coward's
's ^$++++=EXTRAWORD
equivalent ^nn++++=equivalent
of ^in++++=of
skill ^nn++++=skill.
. ^zz++++=EXTRAWORD
Kent ^np++++=Kent
sat ^vbd+++xvbn+=sat
at ^in++++=at
the ^ati++++=the
table ^nn++++=table
with ^in++++=with
the ^ati++++=the
shot ^nn+++xvbn+=shot-gun
- ^zz++++=EXTRAWORD
gun ^nn++++=EXTRAWORD
across ^in+pl+++=across
his ^pp$+pp3+++=his
knees ^nns++++=knees.
. ^zz++++=EXTRAWORD
" ^zz++++="Wot's
wot ^wpr++++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
this ^dt+pdem+++=this?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Cardegee ^np+nom++??+=Cardegee
demanded ^vbd+vsua++xvbn+=demanded.
. ^zz++++=EXTRAWORD
Kent ^np++++=Kent
said ^vbd+vpub++xvbn+=said
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
" ^zz++++="'Ere!
' ^zz++++=EXTRAWORD
ere ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
Wot ^np++++=Wot's
's ^$++++=EXTRAWORD
the ^ati++++=the
matter ^nn++++=matter?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
gold ^nn++++=gold."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Wot
wot ^wpr++++=EXTRAWORD
gold ^nn++++=gold?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
stole ^vbd+++xvbn+=stole
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Cardegee ^np+nom++??+=Cardegee
tested ^vwbn+++xvbn+=tested
the ^ati++++=the
rawhide ^nn+++??+=rawhide.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
been ^vprf+ben+vrb+xvbn+=been
drinkin ^nn+++??+=drinkin'
' ^zz++++=EXTRAWORD
lamp ^nn++++=lamp-oil?"
- ^zz++++=EXTRAWORD
oil ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+tht0++=know
you ^pp2+pp2+++=you
took ^vbd+++xvbn+=took
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
know ^vb+vprv+++=know?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
long ^jj++++=long-faced,
- ^zz++++=EXTRAWORD
faced ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
frost ^nn++++=frost-bitten
- ^zz++++=EXTRAWORD
bitten ^vb+++xvbn+=EXTRAWORD
son ^nn++++=son
of ^in++++=of
a ^at++++=a
bilge ^nn+++??+=bilge-rat,
- ^zz++++=EXTRAWORD
rat ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
knew ^vbd+vprv+tht0+xvbn+=knew
you ^pp2+pp2+++=you
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
any ^dti++++=any
gold ^nn++++=gold
till ^in++++=till
this ^dt+dem+++=this
minute ^nn++++=minute."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
saw ^vbd+vprv+tht0+xvbnx+=saw
you ^pp2+pp2+++=you
in ^in++++=in
my ^pp$+pp1+++=my
dream ^nn++++=dream."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
pause ^nn++++=pause.
. ^zz++++=EXTRAWORD
Cardegee ^np+nom++??+=Cardegee
rolled ^vbd+++xvbn+=rolled
upon ^in++++=upon
one ^cd1++++=one
hip ^nn++++=hip
and ^cc++++=and
looked ^vbd+++xvbn+=looked
earnestly ^rb++++=earnestly
at ^in++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Say
say ^vb+vpub+++=EXTRAWORD
that ^tht+vcmp+++=that
again ^rb+tm+++=again."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You've
you ^pp2+pp2+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
coming ^vbg+++xvbgx+=coming
for ^in+ppvb+++=for
weeks ^nns++++=weeks.
. ^zz++++=EXTRAWORD
Scar ^nn++++=Scar
and ^cc++++=and
all ^rb++++=all."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
your ^pp$+pp2+++=your
dream ^nn++++=dream?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
cut ^vbd+++xvbn+=cut
my ^pp$+pp1+++=my
throat ^nn++++=throat."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Cardegee ^np+nom++??+=Cardegee
whistled ^vbd+++xvbn+=whistled.
. ^zz++++=EXTRAWORD
" ^zz++++="An'
and ^cc++++0=EXTRAWORD
for ^in++++=for
this ^dt+dem+++=this
' ^zz++++='ere
ere ^nn+++??+=EXTRAWORD
piece ^nn++++=piece
of ^in++++=of
private ^jj+atrb+++=private
navigation ^nn+nom+++=navigation
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
trussed ^vprf+++xvbnx+=trussed
me ^pp1o+pp1+++=me
like ^in++++=like
Sunday ^nr++++=Sunday
beef ^nn++++=beef?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
took ^vbd+++xvbn+=took
it ^pp3+it+++=it
during ^in++++=during
the ^ati++++=the
night ^nn++++=night."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
slept ^vbd+++xvbnx+=slept
all ^abn++++=all
night ^nn++++=night."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
pretended ^vbd+vprv++xvbn+=pretended."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can
ask ^vb++++=ask
my ^pp$+pp1+++=my
snorin ^nn+++??+=snorin'."
'." ^nn+++??+=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
found ^vbd+vprv++xvbnx+=found
the ^ati++++=the
sacks ^nns++++=sacks
empty ^jj++++=empty."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
you ^pp2+pp2+++=you
hid ^vbd+++xvbn+=hid
it ^pp3+it+++=it
somewhere ^rb++++=somewhere."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Kent ^np++++=Kent's
's ^$++++=EXTRAWORD
face ^vb++++=face
altered ^vbd+++xvbn+=altered.
. ^zz++++=EXTRAWORD
The ^ati++++=The
possibility ^nn+nom+++=possibility
had ^vbd+hvd+aux++=had
occurred ^vprf+++xvbnx+=occurred
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
rejected ^vprf+++xvbnx+=rejected
it ^pp3+it+++=it
because ^cs+cos+++=because
it ^pp3+it+++=it
deprived ^vbd+++xvbn+=deprived
him ^pp3o+pp3+++=him
of ^in++++=of
an ^at++++=an
enemy ^nn++++=enemy.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
stole ^vbd+++xvbn+=stole
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
repeated ^vbd+++xvbnx+=repeated.
. ^zz++++=EXTRAWORD
Cardegee ^np+nom++??+=Cardegee
spent ^vbd+++xvbn+=spent
the ^ati++++=the
next ^ap++++=next
quarter ^nn++++=quarter-hour
- ^zz++++=EXTRAWORD
hour ^nn++++=EXTRAWORD
explaining ^vwbg+++xvbg+=explaining
Kent ^np++++=Kent's
's ^$++++=EXTRAWORD
ancestry ^nn++++=ancestry,
, ^zz++++=EXTRAWORD
habits ^nns++++=habits,
, ^zz++++=EXTRAWORD
probable ^jj+atrb+++=probable
destination ^nn+nom+++=destination
after ^in++++=after
death ^nn++++=death,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
unsuitability ^nn+nom+++=unsuitability
for ^in++++=for
command ^nn++++=command
at ^rb++++=at
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
vocabulary ^nn+nom+++=vocabulary
was ^vbd+bedz+vrb++=was
technical ^jj+pred+++=technical,
, ^zz++++=EXTRAWORD
theological ^jj++++=theological,
, ^zz++++=EXTRAWORD
anatomical ^jj++++=anatomical,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
international ^jj++++=international.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
called ^vbd+++xvbnx+=called
upon ^in++++=upon
the ^ati++++=the
practices ^nns++++=practices
of ^in++++=of
Malays ^nn++++=Malays,
, ^zz++++=EXTRAWORD
Portuguese ^nn+nom+++=Portuguese,
, ^zz++++=EXTRAWORD
Barbary ^np+nom++??+=Barbary
pirates ^nns+nom+++=pirates,
, ^zz++++=EXTRAWORD
Liverpool ^np++++=Liverpool
boarding ^nn++++=boarding-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
keepers ^nns+nom+++=keepers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
female ^nn++++=female
relative ^jj++++=relative
of ^in++++=of
a ^at++++=a
boatswain ^nn++++=boatswain
in ^in++++=in
Valparaiso ^np+++??+=Valparaiso.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
exhausted ^vprf+++xvbnx+=exhausted
English ^jj++++=English,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
introduced ^vbd+++xvbnx+=introduced
fragments ^nns+nom+++=fragments
of ^in++++=of
languages ^nns+nom+++=languages
acquired ^vbd+++xvbn+=acquired
in ^in++++=in
ports ^nns++++=ports
where ^wrb+who+++=where
grammar ^nn++++=grammar
was ^vbd+bedz+vrb++=was
subordinate ^jj+pred+++=subordinate
to ^in++++=to
knives ^nns++++=knives.
. ^zz++++=EXTRAWORD
Kent ^np++++=Kent
listened ^vbd+++xvbn+=listened
with ^in++++=with
the ^ati++++=the
patience ^nn+nom+++=patience
of ^in++++=of
a ^at++++=a
gravestone ^nn+++??+=gravestone.
. ^zz++++=EXTRAWORD
At ^rb++++=At
length ^rb"++++=length
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
hang ^vb++++=hang
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Cardegee ^np+nom++??+=Cardegee
ceased ^vbd+++xvbn+=ceased
abruptly ^rb++++=abruptly.
. ^zz++++=EXTRAWORD
" ^zz++++="Wot?"
wot ^wpr++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Hang
hang ^nn++++=EXTRAWORD
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="With
with ^in++++=EXTRAWORD
wot ^wpr++++=wot?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There's
there ^ex+pex+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
rope ^nn++++=rope."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
beam ^nn++++=beam
high ^np++++=high
enough ^qlp++++=enough."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
use ^vb++++=use
the ^ati++++=the
roof ^nn++++=roof-tree."
- ^zz++++=EXTRAWORD
tree ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You'll
you ^pp2+pp2+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
pull ^vb++++=pull
your ^pp$+pp2+++=your
own ^ap++++=own
bloomin ^nn+++??+=bloomin'
' ^zz++++=EXTRAWORD
cabin ^nn++++=cabin
down ^in+strn+++=down."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Kent ^np++++=Kent
considered ^vwbn+vprv++xvbn+=considered
this ^dt+dem+++=this
objection ^nn+nom+++=objection.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
disliked ^vbd+++xvbnx+=disliked
damage ^nn++++=damage
to ^in++++=to
property ^nn++++=property.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
shoot ^vb++++=shoot
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
gun ^nn++++=gun?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Kent ^np++++=Kent
nodded ^vbd+++xvbn+=nodded.
. ^zz++++=EXTRAWORD
Cardegee ^np+nom++??+=Cardegee
looked ^vbd+++xvbn+=looked
at ^rb++++=at
the ^ati++++=the
venerable ^jj+atrb+++=venerable
weapon ^nn++++=weapon
and ^cc++++=and
laughed ^vbd+++xvbn+=laughed,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
not ^xnot++not++=not
with ^in++++=with
complete ^jj+atrb+++=complete
spontaneity ^nn+nom+++=spontaneity.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
old ^jj+atrb+++=old
gas ^nn++++=gas-pipe?
- ^zz++++=EXTRAWORD
pipe ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
fire ^nn++++=fire
that ^tht+rel+++=that,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it'll
'll ^md+prd+++0=EXTRAWORD
kill ^vb++++=kill
everybody ^pn++++=everybody
in ^in++++=in
the ^ati++++=the
room ^nn++++=room
except ^in++++=except
the ^ati++++=the
man ^nn++++=man
you ^pp2+pp2+++=you
point ^vb++++=point
it ^pp3+it+++=it
at ^in+strn+++=at."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
do ^vb+do+vrb++=do
it ^pp3+it+++=it
outside ^jjb++++=outside."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="When?"
when ^wrb+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Noon."
noon ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
noon ^nn++++=noon?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Kent ^np++++=Kent
glanced ^vbd+++xvbn+=glanced
toward ^in++++=toward
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
legal ^jj++++=legal."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
association ^nn+nom+++=association
between ^in++++=between
noon ^nn++++=noon
and ^cc++++=and
legality ^nn+nom+++=legality
was ^vbd+bedz+vrb++=was
obscure ^jj+pred+++=obscure,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
satisfied ^vbd+++xvbn+=satisfied
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Murder ^vb++++=Murder
committed ^vbd+++xvbn+=committed
at ^rb++++=at
sunrise ^nn++++=sunrise
might ^md+pos+++=might
be ^vb+be+vrb++=be
passion ^nn++++=passion;
; ^zz++++=EXTRAWORD
at ^in++++=at
midnight ^nn++++=midnight,
, ^zz++++=EXTRAWORD
treachery ^nn+nom+++=treachery;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
noon ^nn++++=noon
possessed ^vbd+++xvbn+=possessed
an ^at++++=an
official ^jj+atrb+++=official
nakedness ^nns+nom+++=nakedness.
. ^zz++++=EXTRAWORD
Courts ^nns++++=Courts
adjourned ^vwbn+++xvbn+=adjourned
at ^rb++++=at
noon ^nn++++=noon,
, ^zz++++=EXTRAWORD
sheriffs ^nns++++=sheriffs
hanged ^vbd+++xvbn+=hanged
men ^nns++++=men
at ^in++++=at
noon ^nn++++=noon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sun ^nn++++=sun
itself ^ppl++++=itself
became ^vbd+++xvbn+=became
a ^at++++=a
witness ^nns+nom+++=witness.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
do ^vb+do+vrb++=do
ceremonial ^jj+atrb+++=ceremonial
minds ^nns++++=minds
provide ^vb+vsua+++=provide
respectable ^jj+atrb+++=respectable
clothing ^nn++++=clothing
for ^in++++=for
their ^pp$+pp3+++=their
appetites ^nns++++=appetites.
. ^zz++++=EXTRAWORD
Kent ^np++++=Kent
dragged ^vbd+++xvbn+=dragged
Cardegee ^np+nom++??+=Cardegee
outside ^jjb++++=outside.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cold ^nn++++=cold
struck ^vbd+++xvbn+=struck
like ^in++++=like
an ^at++++=an
iron ^nn++++=iron
plate ^nn++++=plate.
. ^zz++++=EXTRAWORD
The ^ati++++=The
temperature ^nn++++=temperature
stood ^vbd+++xvbn+=stood
near ^in+pl+++=near
fifty ^cd++++=fifty
below ^in+strn+++=below,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
air ^nn++++=air
was ^vbd+bedz+vrb++=was
so ^ql++++=so
still ^rb++++=still
that ^cs+sub+++=that
the ^ati++++=the
smoke ^nn++++=smoke
from ^in++++=from
the ^ati++++=the
chimney ^nn++++=chimney
rose ^vbd+++xvbn+=rose
in ^in++++=in
a ^at++++=a
blue ^jj+atrb+++=blue
column ^nn++++=column
before ^in++++=before
spreading ^nn++++=spreading
beneath ^in+pl+++=beneath
the ^ati++++=the
pallid ^jj+atrb+++=pallid
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
Cardegee ^np+nom++??+=Cardegee
wore ^vbd+++xvbn+=wore
boots ^nns++++=boots,
, ^zz++++=EXTRAWORD
shirt ^nn++++=shirt,
, ^zz++++=EXTRAWORD
trousers ^nns+nom+++=trousers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
undershirt ^nn+++??+=undershirt.
. ^zz++++=EXTRAWORD
Kent ^np++++=Kent
allowed ^vwbn+++xvbn+=allowed
him ^pp3o+pp3+++=him
his ^pp$+pp3+++=his
cap ^nn++++=cap,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
from ^in++++=from
mercy ^nn++++=mercy,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
feared ^vbd+vprv++xvbnx+=feared
a ^at++++=a
condemned ^jj+atrb++xvbn+=condemned
man ^nn++++=man's
's ^$++++=EXTRAWORD
ears ^nns++++=ears
might ^md+pos+++=might
freeze ^vb++++=freeze
before ^cs+sub+++=before
noon ^nn++++=noon
and ^cc++++=and
lend ^vb++++=lend
an ^at++++=an
untidy ^jj+atrb+++=untidy
appearance ^nn+nom+++=appearance
to ^to+vcmp+++=to
the ^ati++++=the
execution ^nn+nom+++=execution.
. ^zz++++=EXTRAWORD
Beside ^in+pl+++=Beside
the ^ati++++=the
cabin ^nn++++=cabin
was ^vbd+bedz+vrb++=was
a ^at++++=a
shallow ^jj+atrb+++=shallow
prospect ^nn++++=prospect-hole,
- ^zz++++=EXTRAWORD
hole ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
eight ^cd++++=eight
feet ^nns++++=feet
across ^in+pl+++=across
and ^cc++++=and
perhaps ^rb++++=perhaps
five ^cd++++=five
deep ^jj++++=deep,
, ^zz++++=EXTRAWORD
abandoned ^j+++xvbn+=abandoned
where ^wrb+who+++=where
the ^ati++++=the
diggers ^nns+nom+++=diggers
had ^vbd+hvd+aux++=had
struck ^vprf+++xvbnx+=struck
frozen ^vbd+++xvbn+=frozen
gravel ^nn++++=gravel
without ^in++++=without
colour ^nn++++=colour.
. ^zz++++=EXTRAWORD
Snow ^nn++++=Snow
had ^vbd+hvd+aux++=had
drifted ^vprf+++xvbnx+=drifted
halfway ^rb++++=halfway
over ^in++++=over
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
leaving ^vbg+++xvbg+=leaving
a ^at++++=a
dark ^jj+atrb+++=dark
crescent ^npl++++=crescent
of ^in++++=of
exposed ^jj+atrb++xvbn+=exposed
earth ^nn++++=earth
on ^in++++=on
the ^ati++++=the
southern ^jj+atrb+++=southern
side ^nn++++=side.
. ^zz++++=EXTRAWORD
Kent ^np++++=Kent
propped ^vbd+++xvbn+=propped
Cardegee ^np+nom++??+=Cardegee
against ^in++++=against
a ^at++++=a
stump ^nn++++=stump
twelve ^cd++++=twelve
paces ^nns++++=paces
from ^in++++=from
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
secured ^vbd+++xvbnx+=secured
the ^ati++++=the
rawhide ^nn+++??+=rawhide
to ^in++++=to
a ^at++++=a
root ^nn++++=root
and ^cc++++=and
placed ^vbd+++xvbn+=placed
a ^at++++=a
stick ^nn++++=stick
upright ^jj++++=upright
in ^in++++=in
the ^ati++++=the
snow ^nn++++=snow.
. ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
the ^ati++++=the
shadow ^nn++++=shadow
reaches ^vbz++++=reaches
that ^dt+dem+++=that
mark ^nn++++=mark,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
pointing ^vbg+++xvbg+=pointing
to ^in++++=to
a ^at++++=a
line ^nn++++=line
scratched ^vwbn+++xvbn+=scratched
six ^cd++++=six
inches ^nns++++=inches
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
" ^zz++++="it'll
it ^pp3+it+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
noon ^nn++++=noon."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Cardegee ^np+nom++??+=Cardegee
examined ^vwbn+++xvbn+=examined
the ^ati++++=the
arrangement ^nn+nom+++=arrangement.
. ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
chronometer ^jjr++++=chronometer's
's ^vbz+bez+vrb++0=EXTRAWORD
wrong ^jj++++=wrong."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
right ^nn++++=right."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Sun's
sun ^nn++++=EXTRAWORD
's ^$++++=EXTRAWORD
declination ^nn+nom+++=declination.
. ^zz++++=EXTRAWORD
Equation ^nn+nom+++=Equation
of ^in++++0=o'
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Variation ^nn+nom+++=Variation
of ^in++++=of
the ^ati++++=the
compass ^nn++++=compass.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
allowed ^vpsv++agls+xvbn+=allowed
for ^in+ppvb+++=for
none ^rb++++=none
of ^in++++=of
' ^zz++++='em."
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Kent ^np++++=Kent
stared ^vbd+++xvbn+=stared.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
second ^od++++=second
mate ^nn++++=mate
in ^in++++=in
the ^ati++++=the
Southern ^jj+atrb+++=Southern
Cross ^nn++++=Cross,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Cardegee ^np+nom++??+=Cardegee
continued ^vbd+++xvbn+=continued
confidently ^rb+cnj+++=confidently,
, ^zz++++=EXTRAWORD
" ^zz++++="an'
and ^cc++++0=EXTRAWORD
navigated ^vpsv++by+xvbn+=navigated
by ^in++++=by
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
moon ^np++++=moon,
, ^zz++++=EXTRAWORD
stars ^nns++++=stars,
, ^zz++++=EXTRAWORD
cook ^nn++++=cook's
's ^$++++=EXTRAWORD
clock ^nn++++=clock,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
the ^ati++++=the
captain ^nn++++=captain's
's ^$++++=EXTRAWORD
temper ^nn++++=temper.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
shadow ^nn++++=shadow
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
make ^vb++++=make
noon ^nn++++=noon
for ^in++++=for
another ^dt++++=another
two ^cd++++=two
hours ^nns++++=hours."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Kent ^np++++=Kent
suspected ^vbd+++xvbn+=suspected
deceit ^nn++++=deceit
but ^cc++++=but
did ^vbd+dod+aux++=did
not ^xnot++not++=not
understand ^vb+vprv+++=understand
astronomy ^nn++++=astronomy
sufficiently ^rb++++=sufficiently
to ^to++++=to
