One ^pn++++=One,
four ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
fifty ^cd++++=fifty-five.
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wonder ^vb++++=wonder
whether ^cs+who+++=whether
she ^pp3a+pp3+++=she
waits ^nns+++??+=waits.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
she ^pp3a+pp3+++=she
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
calm ^nn++++=calm
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
every ^at++++=every
woman ^nn++++=woman
becomes ^vbz++++=becomes
this ^dt+pdem+++=this
when ^wrb+who+++=when
a ^at++++=a
door ^nn++++=door
closes ^nns++++=closes:
: ^zz++++=EXTRAWORD
a ^at++++=a
mind ^nn++++=mind
running ^vwbg+++xvbg+=running
barefoot ^jj++++=barefoot
over ^in++++=over
broken ^vbd+++xvbn+=broken
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
she ^pp3a+pp3+++=she
has ^vbz+hvz+aux++=has
counted ^vprf+++xvbnx+=counted
too ^ql++++=too.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
all ^abn++++=all
over ^in++++=over
the ^ati++++=the
city ^nn++++=city
women ^nns++++=women
sit ^vb++++=sit
beside ^in+pl+++=beside
telephones ^nns++++=telephones,
, ^zz++++=EXTRAWORD
bargaining ^nn++++=bargaining
with ^in++++=with
God ^np++++=God,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
men ^nns++++=men
sleep ^nn++++=sleep
beautifully ^rb++++=beautifully.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
unfair ^jj+pred+++=unfair.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
men ^nns++++=men
suffer ^vb++++=suffer.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
this ^dt+dem+++=this
one ^pn++++=one.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=don't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
badly ^rb++++=badly.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
enough ^dt++++=enough
to ^to++++=to
reach ^vbi++++=reach
for ^in++++=for
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
hundred ^cd++++=hundred
and ^cc++++=and
fifty ^cd++++=fifty-six,
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
fifty ^cd++++=fifty-seven,
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
fifty ^cd++++=fifty-eight,
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
fifty ^cd++++=fifty-nine,
- ^zz++++=EXTRAWORD
nine ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
sixty ^cd++++=sixty.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
stop ^vb++++=stop
praying ^jj+++xvbg+=praying.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
lowers ^nn++++=lowers
the ^ati++++=the
dignity ^nn+nom+++=dignity
of ^in++++=of
religion ^nn++++=religion.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
wars ^nns++++=wars,
, ^zz++++=EXTRAWORD
sick ^jj+atrb+++=sick
children ^nns++++=children,
, ^zz++++=EXTRAWORD
ships ^nns++++=ships
in ^in++++=in
storms ^nns++++=storms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
occupying ^vbg+++xvbgx+=occupying
divine ^jj+atrb+++=divine
attention ^nn+nom+++=attention
with ^in++++=with
a ^at++++=a
telephone ^nn++++=telephone.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
surely ^rb++++=surely
omnipotence ^nn+nom+++=omnipotence
can ^md+pos+++=can
do ^vb+do+vrb++=do
several ^ap++++=several
things ^nns++++=things
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
Please ^uh++++=Please.
. ^zz++++=EXTRAWORD
Please ^uh++++=Please.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
hundred ^cd++++=hundred
and ^cc++++=and
sixty ^cd++++=sixty-one,
- ^zz++++=EXTRAWORD
one ^pn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
sixty ^cd++++=sixty-two,
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
sixty ^cd++++=sixty-three,
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
sixty ^cd++++=sixty-four,
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
sixty ^cd++++=sixty-five.
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
it ^pp3+it+++=it
rings ^vbz++++=rings,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
wait ^vb++++=wait
until ^in++++=until
the ^ati++++=the
second ^od++++=second
ring ^nn++++=ring.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
the ^ati++++=the
third ^nn++++=third.
. ^zz++++=EXTRAWORD
The ^ati++++=The
third ^nn++++=third
might ^md+pos+++=might
make ^vb++++=make
him ^pp3o+pp3+++=him
hang ^vb++++=hang
up ^rp++++=up.
. ^zz++++=EXTRAWORD
First ^od++++=First
ring ^vb++++=ring:
: ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
heart ^nn++++=heart
stops ^nns++++=stops.
. ^zz++++=EXTRAWORD
Second ^od++++=Second
ring ^nn++++=ring:
: ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
" ^zz++++="Hello?"
hello ^rb+dspt+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
says ^vbz+vpub+tht0++=says
my ^pp$+pp1+++=my
name ^nn++++=name.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
this ^dt+pdem+++=this?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
too ^ql++++=too
cruel ^jj++++=cruel.
. ^zz++++=EXTRAWORD
Also ^rb++++=Also
absurd ^jj++++=absurd.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
his ^pp$+pp3+++=his
breathing ^nvbg+++xvbg+=breathing
before ^in++++=before
his ^pp$+pp3+++=his
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
hundred ^cd++++=hundred
and ^cc++++=and
sixty ^cd++++=sixty-six,
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
sixty ^cd++++=sixty-seven,
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
sixty ^cd++++=sixty-eight,
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
sixty ^cd++++=sixty-nine,
- ^zz++++=EXTRAWORD
nine ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
seventy ^cd++++=seventy.
. ^zz++++=EXTRAWORD
The ^ati++++=The
clock ^nn++++=clock
is ^vbz+bez+vrb++=is
louder ^jjr+pred+++=louder
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+aux++=has
joined ^vprf+++xvbnx+=joined
against ^in++++=against
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Tick ^np+++??+=Tick:
: ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
wo ^&fw++++=won't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
Tick ^np+++??+=Tick:
: ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
wo ^&fw++++=won't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
telephone ^nn++++=telephone
says ^vbz+vpub+++=says
nothing ^pn++++=nothing
because ^cs+cos+++=because
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
more ^rbr++splt++=more
refined ^vpsv++agls+xvbnx+=refined.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
tear ^vb++++=tear
the ^ati++++=the
clock ^nn++++=clock
from ^in++++=from
the ^ati++++=the
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
would ^md+prd+++=would
not ^xnot++not++=not
know ^vb+vprv+++=know
when ^wrb+who+whcl++=when
five ^cd++++=five
hundred ^cd++++=hundred
came ^vbd+++xvbn+=came.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
hundred ^cd++++=hundred
and ^cc++++=and
seventy ^cd++++=seventy-one,
- ^zz++++=EXTRAWORD
one ^pn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
seventy ^cd++++=seventy-two,
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
seventy ^cd++++=seventy-three,
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
seventy ^cd++++=seventy-four,
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
seventy ^cd++++=seventy-five.
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
promised ^vbd+vpub++xvbnx+=promised.
. ^zz++++=EXTRAWORD
People ^nns++++=People
say ^vb+vpub+++=say
things ^nns++++=things
at ^in++++=at
doors ^nns++++=doors.
. ^zz++++=EXTRAWORD
Doors ^nns++++=Doors
make ^vb++++=make
liars ^nns++++=liars
of ^in++++=of
everyone ^pn++++=everyone.
. ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
soon ^rb+tm+++=soon."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Write
write ^vb++++=EXTRAWORD
to ^in++++=to
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
call ^vb++++=call."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+vrb++=are
little ^ap++++=little
coins ^nns++++=coins
paid ^vbd+++xvbn+=paid
to ^to++++=to
escape ^vbi++++=escape
the ^ati++++=the
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
kissed ^vbd+++xvbnx+=kissed
me ^pp1o+pp1+++=me
after ^in+strn+++=after.
. ^zz++++=EXTRAWORD
Tenderly ^rb++++=Tenderly.
. ^zz++++=EXTRAWORD
Unless ^cs+cnd+++=Unless
I ^pp1a+pp1+++=I
imagined ^vbd+vprv++xvbnx+=imagined
tenderness ^nns+nom+++=tenderness.
. ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
one ^cd1++++=one
imagine ^vb+vprv+++=imagine
pressure ^nn++++=pressure?
? ^zz++++=EXTRAWORD
Warmth ^nn++++=Warmth?
? ^zz++++=EXTRAWORD
The ^ati++++=The
pause ^nn++++=pause
before ^cs+sub+++=before
letting ^nn++++=letting
go ^vb++++=go?
? ^zz++++=EXTRAWORD
Yes ^uh++++=Yes.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
can ^md+pos+++=can
imagine ^vb+vprv+tht0++=imagine
anything ^pn++++=anything
when ^wrb+who+++=when
trained ^vpsv++by+xvbn+=trained
by ^in++++=by
need ^nn++++=need.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
hundred ^cd++++=hundred
and ^cc++++=and
seventy ^cd++++=seventy-six,
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
seventy ^cd++++=seventy-seven,
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
seventy ^cd++++=seventy-eight,
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
seventy ^cd++++=seventy-nine,
- ^zz++++=EXTRAWORD
nine ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
eighty ^cd++++=eighty.
. ^zz++++=EXTRAWORD
Suppose ^vb+vprv+tht0++=Suppose
I ^pp1a+pp1+++=I
call ^vb++++=call
and ^cc++++=and
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
delighted ^vpsv++agls+xvbnx+=delighted.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
possible ^jj+pred+++=possible.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
may ^md+pos+++=may
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
just ^rb+emph+++=just
about ^rb++++=about
to ^in++++=to
ring ^nn++++=ring."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
always ^rb++++=always
say ^vb+vpub+tht0++=say
that ^tht+vcmp+++=that.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
must ^md+nec+++=must
be ^vb+be+vrb++=be
thousands ^cds++++=thousands
of ^in++++=of
people ^nns++++=people
permanently ^rb++++=permanently
just ^rb+emph+++=just
about ^rb++++=about
to ^in++++=to
ring ^nn++++=ring.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
laugh ^vb++++=laugh.
. ^zz++++=EXTRAWORD
Sweetly ^rb++++=Sweetly.
. ^zz++++=EXTRAWORD
Gaily ^rb++++=Gaily.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
never ^rb++splt++=never
let ^vb+++xvbn+=let
him ^pp3o+pp3+++=him
hear ^vb+vprv+++=hear
the ^ati++++=the
graveyard ^nn+++??+=graveyard
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
built ^vprf+++xvbnx+=built
in ^in++++=in
this ^dt+dem+++=this
room ^nn++++=room.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
hundred ^cd++++=hundred
and ^cc++++=and
eighty ^cd++++=eighty-one,
- ^zz++++=EXTRAWORD
one ^pn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
eighty ^cd++++=eighty-two,
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
eighty ^cd++++=eighty-three,
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
eighty ^cd++++=eighty-four,
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
eighty ^cd++++=eighty-five.
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
At ^rb++++=At
five ^cd++++=five
hundred ^cd++++=hundred
I ^pp1a+pp1+++=I
call ^vb++++=call.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+aux++=is
settled ^vpsv++agls+xvbnx+=settled.
. ^zz++++=EXTRAWORD
A ^at++++=A
woman ^nn++++=woman
may ^md+pos+++=may
preserve ^vb++++=preserve
pride ^nn++++=pride
until ^in++++=until
five ^cd++++=five
hundred ^cd++++=hundred;
; ^zz++++=EXTRAWORD
beyond ^in++++=beyond
that ^cs+sub+++=that
it ^pp3+it+++=it
becomes ^vbz++++=becomes
vanity ^nn++++=vanity.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
say ^vb+vpub+++=say
the ^ati++++=the
book ^nn++++=book.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
the ^ati++++=the
train ^nn++++=train.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
simply ^rb+cnj+++=simply,
, ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
all ^abn++++=all
right ^jj++++=right?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Concern ^nn++++=Concern
is ^vbz+bez+vrb++=is
respectable ^jj+pred+++=respectable.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
will ^md+prd+++=will
hear ^vb+vprv+tht0++=hear
everything ^pn++++=everything
underneath ^in+strn+++=underneath.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
hundred ^cd++++=hundred
and ^cc++++=and
eighty ^cd++++=eighty-six,
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
eighty ^cd++++=eighty-seven,
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
eighty ^cd++++=eighty-eight,
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
eighty ^cd++++=eighty-nine,
- ^zz++++=EXTRAWORD
nine ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
ninety ^cd++++=ninety.
. ^zz++++=EXTRAWORD
Please ^uh++++=Please
let ^vb+++xvbn+=let
it ^pp3+it+++=it
ring ^nn++++=ring
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
Before ^in++++=Before
I ^pp1a+pp1+++=I
surrender ^nn+nom+++=surrender.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
I ^pp1a+pp1+++=I
learn ^vb+vprv+++=learn
exactly ^rb++++=exactly
how ^wrb+who+++=how
little ^rb++++=little
I ^pp1a+pp1+++=I
can ^md+pos+++=can
bear ^vb+vprv+++=bear.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
hundred ^cd++++=hundred
and ^cc++++=and
ninety ^cd++++=ninety-one,
- ^zz++++=EXTRAWORD
one ^pn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
ninety ^cd++++=ninety-two,
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
ninety ^cd++++=ninety-three,
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
ninety ^cd++++=ninety-four,
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
ninety ^cd++++=ninety-five.
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Was
that ^dt+dem+++=that
No ^at++++=No.
. ^zz++++=EXTRAWORD
Four ^cd++++=Four
hundred ^cd++++=hundred
and ^cc++++=and
five ^cd++++=five
left ^nn+++xvbn+=left.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
forever ^rb++++=forever.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
hundred ^cd++++=hundred
and ^cc++++=and
ninety ^cd++++=ninety-six,
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
ninety ^cd++++=ninety-seven,
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
ninety ^cd++++=ninety-eight,
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
ninety ^cd++++=ninety-nine,
- ^zz++++=EXTRAWORD
nine ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
two ^cd++++=two
hundred ^cd++++=hundred.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
hundred ^cd++++=hundred
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
At ^rb++++=At
five ^cd++++=five
hundred ^cd++++=hundred
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
lift ^vb++++=lift
the ^ati++++=the
receiver ^nn+nom+++=receiver.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
not ^xnot++not++=not
tremble ^vb++++=tremble.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
dial ^vb++++=dial
each ^dt++++=each
number ^nn++++=number
once ^rb+tm+++=once.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
calm ^nn++++=calm.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
hundred ^cd++++=hundred
and ^cc++++=and
one ^pn++++=one,
, ^zz++++=EXTRAWORD
two ^cd++++=two
hundred ^cd++++=hundred
and ^cc++++=and
two ^cd++++=two,
, ^zz++++=EXTRAWORD
two ^cd++++=two
hundred ^cd++++=hundred
and ^cc++++=and
three ^cd++++=three,
, ^zz++++=EXTRAWORD
two ^cd++++=two
hundred ^cd++++=hundred
and ^cc++++=and
four ^cd++++=four,
, ^zz++++=EXTRAWORD
two ^cd++++=two
hundred ^cd++++=hundred
and ^cc++++=and
five ^cd++++=five.
. ^zz++++=EXTRAWORD
Please ^uh++++=Please.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
hundred ^cd++++=hundred
and ^cc++++=and
six ^cd++++=six,
, ^zz++++=EXTRAWORD
two ^cd++++=two
hundred ^cd++++=hundred
and ^cc++++=and
seven ^cd++++=seven,
, ^zz++++=EXTRAWORD
two ^cd++++=two
hundred ^cd++++=hundred
and ^cc++++=and
eight ^cd++++=eight,
, ^zz++++=EXTRAWORD
two ^cd++++=two
hundred ^cd++++=hundred
and ^cc++++=and
nine ^cd++++=nine,
, ^zz++++=EXTRAWORD
two ^cd++++=two
hundred ^cd++++=hundred
and ^cc++++=and
ten ^cd++++=ten.
. ^zz++++=EXTRAWORD
