# ^zz++++=##
# ^zz++++=EXTRAWORD
Sketch ^nn++++=SKETCH
enchanted ^vbd+++xvbn+=enchanted.
. ^zz++++=EXTRAWORD
Enchantment ^nn+nom+++=Enchantment
is ^vbz+bez+vrb++=is
often ^rb++++=often
ignorance ^nn+nom+++=ignorance
frightened ^vbd+++xvbn+=frightened
into ^in++++=into
poetry ^nn++++=poetry.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
old ^jj+atrb+++=old
account ^nn++++=account,
, ^zz++++=EXTRAWORD
repeated ^j+++xvbn+=repeated
to ^in++++=to
me ^pp1o+pp1+++=me
by ^in++++=by
a ^at++++=a
half ^abn++++=half-blind
- ^zz++++=EXTRAWORD
blind ^jj+atrb+++=EXTRAWORD
navigator ^nn++++=navigator
in ^in++++=in
Callao ^np+++??+=Callao,
, ^zz++++=EXTRAWORD
told ^j+++xvbn+=told
of ^in++++=of
a ^at++++=a
Spanish ^jj+atrb+++=Spanish
vessel ^nn++++=vessel
that ^tht+rel+subj++=that
sailed ^vbd+++xvbn+=sailed
three ^cd++++=three
days ^nns++++=days
toward ^in++++=toward
a ^at++++=a
mountain ^nn++++=mountain
without ^in++++=without
nearing ^xvbg+++xvbg+=nearing
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
crew ^nn++++=crew
believed ^vbd+vprv++xvbn+=believed
the ^ati++++=the
peak ^nn++++=peak
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
demon ^nn++++=demon's
's ^$++++=EXTRAWORD
palace ^nn++++=palace.
. ^zz++++=EXTRAWORD
A ^at++++=A
friar ^nn++++=friar
displayed ^vbd+++xvbn+=displayed
a ^at++++=a
relic ^nn++++=relic;
; ^zz++++=EXTRAWORD
a ^at++++=a
gunner ^npt++++=gunner
fired ^vbd+++xvbn+=fired
a ^at++++=a
cannon ^nn++++=cannon;
; ^zz++++=EXTRAWORD
a ^at++++=a
sailor ^nn++++=sailor
jumped ^vbd+++xvbn+=jumped
overboard ^rb+pl+++=overboard
in ^in++++=in
terror ^nn++++=terror
and ^cc++++=and
was ^vbd+bedz+aux++=was
recovered ^vpsv++by+xvbnx+=recovered
by ^in++++=by
accident ^nn++++=accident.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
fourth ^od++++=fourth
morning ^nn++++=morning
the ^ati++++=the
mountain ^nn++++=mountain
lay ^vbd+++xvbn+=lay
astern ^rb+pl+++=astern.
. ^zz++++=EXTRAWORD
The ^ati++++=The
current ^jj++++=current
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
setting ^vbg+++xvbgx+=setting
sideways ^jjb++++=sideways
all ^abn++++=all
along ^in+strn+++=along.
. ^zz++++=EXTRAWORD
The ^ati++++=The
explanation ^nn+nom+++=explanation
is ^vbz+bez+vrb++=is
plain ^nn++++=plain.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
does ^vbz+doz+vrb++=does
plain ^jj+atrb+++=plain
explanation ^nn+nom+++=explanation
entirely ^rb+amp+++=entirely
banish ^vb++++=banish
strangeness ^nns+nom+++=strangeness?
? ^zz++++=EXTRAWORD
Name ^nn++++=Name
the ^ati++++=the
current ^nn++++=current,
, ^zz++++=EXTRAWORD
calculate ^nn+nom+++=calculate
its ^pp$+it+++=its
knots ^nns++++=knots,
, ^zz++++=EXTRAWORD
draw ^vb++++=draw
its ^pp$+it+++=its
arrow ^nn++++=arrow
on ^in++++=on
the ^ati++++=the
chart ^nn++++=chart
and ^cc++++=and
still ^rb++++=still
the ^ati++++=the
mountain ^nn++++=mountain
advances ^nns+nom+++=advances
while ^cs+sub+++=while
the ^ati++++=the
ship ^nn++++=ship
sails ^nns++++=sails
toward ^in++++=toward
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Science ^nn+nom+++=Science
describes ^vbz++++=describes
the ^ati++++=the
enchantment ^nn+nom+++=enchantment's
's ^$++++=EXTRAWORD
habits ^nns++++=habits;
; ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
it ^pp3+it+++=it
dismisses ^vbz+++??+=dismisses
the ^ati++++=the
enchantment ^nn+nom+++=enchantment
is ^vbz+bez+vrb++=is
another ^dt++++=another
matter ^nn++++=matter.
. ^zz++++=EXTRAWORD
From ^in++++=From
our ^pp$+pp1+++=our
summit ^nn++++=summit
we ^pp1a+pp1+++=we
saw ^vbd+vprv++xvbn+=saw
such ^abl++++=such
currents ^nns++++=currents
written ^vbd+++xvbn+=written
upon ^in++++=upon
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
Long ^rb++++=Long
bands ^nns++++=bands
crossed ^vbd+++xvbn+=crossed
one ^cd1++++=one
another ^dt++++=another,
, ^zz++++=EXTRAWORD
smooth ^jj++++=smooth
and ^cc+phrs+++=and
rough ^jj++++=rough,
, ^zz++++=EXTRAWORD
pale ^nn++++=pale
and ^cc++++=and
dark ^nn++++=dark.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
a ^at++++=a
tide ^nn++++=tide-rip
- ^zz++++=EXTRAWORD
rip ^vb++++=EXTRAWORD
sparkled ^vbd+++xvbn+=sparkled;
; ^zz++++=EXTRAWORD
there ^rn+pl+++=there
an ^at++++=an
oval ^nn++++=oval
of ^in++++=of
calm ^nn++++=calm
revolved ^vbd+++xvbn+=revolved
within ^in++++=within
ripples ^nns++++=ripples.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ocean ^npl++++=ocean
looked ^vbd+++xvbn+=looked
like ^in++++=like
a ^at++++=a
vast ^jj+atrb+++=vast
piece ^nn++++=piece
of ^in++++=of
watered ^vbd+++xvbn+=watered
silk ^nn++++=silk
slowly ^rb++++=slowly
twisted ^vpsv++by+xvbn+=twisted
by ^in++++=by
invisible ^jj+atrb+++=invisible
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
Cloud ^nn++++=Cloud-shadows
- ^zz++++=EXTRAWORD
shadows ^nps++++=EXTRAWORD
traveled ^vbd+++xvbn+=traveled
over ^in++++=over
Albemarle ^np+++??+=Albemarle.
. ^zz++++=EXTRAWORD
Under ^in++++=Under
one ^cd1++++=one
shadow ^nn++++=shadow
the ^ati++++=the
volcanic ^nn++++=volcanic
cones ^vbz+++??+=cones
vanished ^vprf+++xvbn+=vanished;
; ^zz++++=EXTRAWORD
emerging ^vbg+++xvbg+=emerging,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
have ^vbi++++=have
changed ^vbd+++xvbn+=changed
position ^nn+nom+++=position.
. ^zz++++=EXTRAWORD
Narborough ^np+++??+=Narborough
detached ^vbd+++xvbn+=detached
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
joined ^j+++xvbn+=joined
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
altered ^xvbn+++xvbn+=altered
color ^nn++++=color.
. ^zz++++=EXTRAWORD
For ^in++++=For
several ^ap++++=several
minutes ^nns++++=minutes
a ^at++++=a
low ^jj+atrb+++=low
island ^npl++++=island
appeared ^vbd+seem++xvbn+=appeared
westward ^rb++++=westward
where ^wrb+who+++=where
our ^pp$+pp1+++=our
chart ^nn++++=chart
showed ^vbd+vprv++xvbn+=showed
none ^rb++++=none.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
debated ^vbd+++xvbn+=debated
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mate ^nn++++=mate
swore ^vbd+vpub++xvbn+=swore
to ^in++++=to
land ^nn++++=land;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suspected ^vbd+vprv++xvbnx+=suspected
cloud ^nn++++=cloud;
; ^zz++++=EXTRAWORD
another ^dt++++=another
called ^jj+++xvbn+=called
it ^pp3+it+++=it
a ^at++++=a
whale ^nn++++=whale-spout
- ^zz++++=EXTRAWORD
spout ^vb++++=EXTRAWORD
magnified ^vpsv++by+xvbn+=magnified
by ^in++++=by
refraction ^nn+nom+++=refraction.
. ^zz++++=EXTRAWORD
Gradually ^rb++++=Gradually
it ^pp3+it+++=it
thinned ^vbd+++xvbn+=thinned
and ^cc+phrs+++=and
became ^vbd+++xvbn+=became
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
the ^ati++++=the
highest ^jjt+atrb+++=highest
seat ^nn++++=seat
of ^in++++=of
observation ^nn+nom+++=observation,
, ^zz++++=EXTRAWORD
uncertainty ^nn++++=uncertainty
sat ^vbd+++xvbn+=sat
beside ^in+pl+++=beside
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vbd+hvd+aux++=had
ascended ^vprf+++xvbnx+=ascended
to ^to++++=to
enlarge ^vbi++++=enlarge
knowledge ^nn++++=knowledge
and ^cc++++=and
discovered ^vbd+vprv++xvbn+=discovered
how ^wrb+who+whcl++=how
spacious ^jj+atrb+++=spacious
ignorance ^nn+nom+++=ignorance
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
-- ^--+clp+++=--##
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Sketch ^nn++++=SKETCH
Eighth ^od++++=EIGHTH
# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Descent ^nn++++=DESCENT
And ^cc++++=AND
After ^in++++=AFTER-VISION
- ^zz++++=EXTRAWORD
vision ^nn++++=EXTRAWORD
> ^zz++++=>
The ^ati++++=The
climber ^nn++++=climber
down ^in++++=down
from ^in++++=from
airy ^jj+atrb+++=airy
kingdoms ^nns+nom+++=kingdoms
fares ^nns++++=fares,
, ^zz++++=EXTRAWORD
> ^zz++++=>
With ^in++++=With
feathered ^jj+atrb+++=feathered
tumult ^nn++++=tumult
beating ^vwbg+++xvbg+=beating
round ^in++++=round
his ^pp$+pp3+++=his
head ^nn++++=head;
; ^zz++++=EXTRAWORD
> ^zz++++=>
He ^pp3a+pp3+++=He
bears ^nns++++=bears
no ^at++++=no
crown ^nn++++=crown,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^in++++=in
his ^pp$+pp3+++=his
bosom ^nn++++=bosom
bears ^nns++++=bears
> ^zz++++=>
The ^ati++++=The
doubtful ^jj+atrb+++=doubtful
speech ^nn++++=speech
of ^in++++=of
islands ^npl++++=islands
deemed ^vwbn+++xvbn+=deemed
dead ^jj++++=dead.
. ^zz++++=EXTRAWORD
Descent ^nn++++=Descent,
, ^zz++++=EXTRAWORD
in ^in++++=in
moral ^jj+atrb+++=moral
essays ^nns++++=essays,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
commonly ^rb++++=commonly
easier ^jjr+pred+++=easier
than ^in++++=than
ascent ^nn++++=ascent.
. ^zz++++=EXTRAWORD
On ^in++++=On
Rodondo ^np+++??+=Rodondo
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
merely ^rb+down+++=merely
different ^jj+pred+++=different
in ^in++++=in
terror ^nn++++=terror.
. ^zz++++=EXTRAWORD
Going ^vbg+++xvbg+=Going
upward ^jjb++++=upward,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
sees ^vbz+vprv+++=sees
the ^ati++++=the
next ^ap++++=next
hold ^nn++++=hold;
; ^zz++++=EXTRAWORD
going ^vbg+++xvbg+=going
down ^rp++++=down,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
sees ^vbz+vprv+++=sees
the ^ati++++=the
consequence ^nn+nom+++=consequence
of ^in++++=of
missing ^xvbg+++xvbg+=missing
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sea ^npl++++=sea
waited ^vbd+++xvbn+=waited
below ^rb++++=below
with ^in++++=with
an ^at++++=an
appearance ^nn+nom+++=appearance
of ^in++++=of
patience ^nn+nom+++=patience
inherited ^vbd+++xvbn+=inherited
from ^in++++=from
tortoises ^nn++++=tortoises.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
rope ^nn++++=rope,
, ^zz++++=EXTRAWORD
so ^ql++++=so
stout ^np++++=stout
when ^wrb+who+++=when
viewed ^xvbn+++xvbn+=viewed
from ^in++++=from
the ^ati++++=the
landing ^nvbg+++xvbg+=landing,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
offensively ^rb++++=offensively
slender ^jj++++=slender.
. ^zz++++=EXTRAWORD
Loose ^jj+atrb+++=Loose
stones ^nns++++=stones,
, ^zz++++=EXTRAWORD
dislodged ^jj++++=dislodged
by ^in++++=by
the ^ati++++=the
first ^od++++=first
man ^nn++++=man,
, ^zz++++=EXTRAWORD
bounded ^xvbn+++xvbn+=bounded
past ^jjb++++=past
the ^ati++++=the
others ^aps++++=others
and ^cc++++=and
disappeared ^vpsv++agls+xvbn+=disappeared
without ^in++++=without
report ^nn++++=report.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
descended ^vbd+++xvbn+=descended
backward ^jj++++=backward,
, ^zz++++=EXTRAWORD
embracing ^vbg+++xvbg+=embracing
the ^ati++++=the
tower ^nn++++=tower.
. ^zz++++=EXTRAWORD
The ^ati++++=The
birds ^nns++++=birds,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
failed ^vprf+++xvbn+=failed
to ^to+vcmp+++=to
prevent ^vbi++++=prevent
our ^pp$+pp1+++=our
invasion ^nn++++=invasion,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
appeared ^vbd+seem++xvbn+=appeared
determined ^jj+++xvbn+=determined
to ^to+jcmp+++=to
tax ^vb++++=tax
our ^pp$+pp1+++=our
departure ^nn++++=departure.
. ^zz++++=EXTRAWORD
Gulls ^nns++++=Gulls
struck ^vbd+++xvbn+=struck
at ^rb++++=at
our ^pp$+pp1+++=our
hats ^nns++++=hats;
; ^zz++++=EXTRAWORD
penguins ^nps++++=penguins
occupied ^vbd+++xvbn+=occupied
the ^ati++++=the
shelves ^nns++++=shelves;
; ^zz++++=EXTRAWORD
a ^at++++=a
booby ^nn+++??+=booby,
, ^zz++++=EXTRAWORD
seized ^xvbn+++xvbn+=seized
by ^in++++=by
panic ^vb++++=panic
at ^rb++++=at
the ^ati++++=the
wrong ^jj+atrb+++=wrong
instant ^nn+nom+++=instant,
, ^zz++++=EXTRAWORD
flew ^j+++xvbn+=flew
directly ^rb++++=directly
into ^in++++=into
the ^ati++++=the
mate ^nn++++=mate's
's ^$++++=EXTRAWORD
chest ^nn++++=chest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bird ^nn++++=bird
and ^cc++++=and
man ^nn++++=man
remained ^vbd+++xvbn+=remained
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
mutually ^rb++++=mutually
astonished ^vbd+++xvbn+=astonished
before ^in++++=before
separating ^nn++++=separating
with ^in++++=with
cries ^nns++++=cries.
. ^zz++++=EXTRAWORD
Halfway ^rb++++=Halfway
down ^in++++=down
we ^pp1a+pp1+++=we
paused ^vbd+++xvbn+=paused
where ^wrb+who+++=where
a ^at++++=a
projecting ^jj+atrb++xvbg+=projecting
stone ^nn++++=stone
offered ^vbd+++xvbn+=offered
rest ^nn++++=rest.
. ^zz++++=EXTRAWORD
The ^ati++++=The
afternoon ^nn++++=afternoon
sun ^nn++++=sun
had ^vbd+hvd+aux++=had
lowered ^vprf+++xvbnx+=lowered.
. ^zz++++=EXTRAWORD
Albemarle ^np+++??+=Albemarle
burned ^vbd+++xvbn+=burned
red ^jj++++=red
along ^in++++=along
its ^pp$+it+++=its
ridges ^nns++++=ridges,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
ravines ^nns+++??+=ravines
were ^vbd+bed+vrb++=were
already ^rb++++=already
black ^jj+pred+++=black.
. ^zz++++=EXTRAWORD
The ^ati++++=The
surrounding ^jj+atrb++xvbg+=surrounding
water ^nn++++=water
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
its ^pp$+it+++=its
noonday ^nn++++=noonday
glitter ^nn++++=glitter
and ^cc++++=and
taken ^vpsv++agls+xvbn+=taken
on ^rb+phrv+++=on
the ^ati++++=the
color ^nn++++=color
of ^in++++=of
tempered ^vwbn+++xvbn+=tempered
metal ^nn++++=metal.
. ^zz++++=EXTRAWORD
Flocks ^nns++++=Flocks
returning ^vwbg+++xvbg+=returning
to ^in++++=to
Rodondo ^np+++??+=Rodondo
crossed ^vbd+++xvbn+=crossed
the ^ati++++=the
light ^nn++++=light
in ^in++++=in
ordered ^jj+atrb++xvbn+=ordered
streams ^nns++++=streams.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
species ^nns++++=species
arrived ^vbd+++xvbn+=arrived
at ^rb++++=at
its ^pp$+it+++=its
own ^ap++++=own
elevation ^nn+nom+++=elevation,
, ^zz++++=EXTRAWORD
as ^ql++++=as
citizens ^nns++++=citizens
entering ^xvbg+++xvbg+=entering
separate ^nn+nom+++=separate
gates ^nns++++=gates
of ^in++++=of
a ^at++++=a
many ^ap++++=many-storied
- ^zz++++=EXTRAWORD
storied ^vbd+++xvbn+=EXTRAWORD
city ^npl++++=city.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
listened ^vbd+++xvbnx+=listened.
. ^zz++++=EXTRAWORD
From ^in++++=From
below ^in+pl+++=below
came ^vbd+++xvbn+=came
the ^ati++++=the
boom ^nn++++=boom
of ^in++++=of
caves ^nns++++=caves;
; ^zz++++=EXTRAWORD
from ^in++++=from
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
the ^ati++++=the
clatter ^nn++++=clatter
of ^in++++=of
bills ^nns++++=bills
and ^cc++++=and
endless ^jj+atrb+++=endless
cries ^nns++++=cries;
; ^zz++++=EXTRAWORD
from ^in++++=from
far ^rb+pl+++=far
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
faint ^jj++++=faint
through ^in++++=through
distance ^nn+nom+++=distance,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
ship ^nn++++=ship's
's ^$++++=EXTRAWORD
bell ^nn++++=bell
sounded ^vbd+++xvbn+=sounded.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
little ^ap++++=little
man ^nn++++=man-made
- ^zz++++=EXTRAWORD
made ^vprf+++xvbn+=EXTRAWORD
note ^nn++++=note,
, ^zz++++=EXTRAWORD
regular ^jj++++=regular
and ^cc++++=and
bronze ^nn++++=bronze,
, ^zz++++=EXTRAWORD
passed ^j+++xvbn+=passed
through ^in++++=through
the ^ati++++=the
wilderness ^nns+nom+++=wilderness
like ^in++++=like
a ^at++++=a
remembered ^jj+atrb++xvbn+=remembered
law ^nn++++=law.
. ^zz++++=EXTRAWORD
For ^in++++=For
an ^at++++=an
instant ^nn+nom+++=instant
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
the ^ati++++=the
tower ^nn++++=tower
itself ^ppl++++=itself
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
bell ^nn++++=bell,
, ^zz++++=EXTRAWORD
sunk ^jj+atrb++xvbn+=sunk
root ^nn++++=root-down
- ^zz++++=EXTRAWORD
down ^rp++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
ocean ^nn++++=ocean
and ^cc++++=and
rung ^vprf+++xvbn+=rung
by ^in++++=by
tides ^nns++++=tides.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
birds ^nns++++=birds
were ^vbd+bed+aux++=were
sparks ^np++++=sparks
shaken ^vwbn+++xvbn+=shaken
from ^in++++=from
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
its ^pp$+it+++=its
fish ^nn++++=fish,
, ^zz++++=EXTRAWORD
colored ^jj+atrb++xvbn+=colored
vibrations ^nns+nom+++=vibrations
below ^in+strn+++=below;
; ^zz++++=EXTRAWORD
the ^ati++++=the
islands ^nns++++=islands
around ^rp++++=around,
, ^zz++++=EXTRAWORD
lesser ^jjr+atrb+++=lesser
bells ^nns++++=bells
long ^rb++++=long
cracked ^vbd+++xvbn+=cracked
and ^cc++++=and
silent ^jj++++=silent.
. ^zz++++=EXTRAWORD
Who ^whp+who+whq++=Who
was ^vbd+bedz+aux++=was
the ^ati++++=the
ringer ^jjr++++=ringer?
? ^zz++++=EXTRAWORD
Wind ^nn++++=Wind?
? ^zz++++=EXTRAWORD
Moon ^np++++=Moon?
? ^zz++++=EXTRAWORD
Some ^dti++++=Some
submerged ^jj+atrb++xvbn+=submerged
hand ^nn++++=hand
of ^in++++=of
the ^ati++++=the
planet ^nn++++=planet?
? ^zz++++=EXTRAWORD
" ^zz++++="Lower
lower ^jjr++++=EXTRAWORD
away ^rp+pl+++=away!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
shouted ^vbd+vpub++xvbn+=shouted
the ^ati++++=the
mate ^nn++++=mate.
. ^zz++++=EXTRAWORD
Down ^rp++++=Down
we ^pp1a+pp1+++=we
went ^vbd+++xvbn+=went.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
last ^jj+atrb+++=last
ledge ^nn++++=ledge,
, ^zz++++=EXTRAWORD
timing ^nn++++=timing
the ^ati++++=the
swell ^nn++++=swell,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
jumped ^vbd+++xvbn+=jumped
into ^in++++=into
the ^ati++++=the
boat ^nn++++=boat.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
oar ^nn++++=oar
was ^vbd+bedz+aux++=was
nearly ^rb+down+splt++=nearly
lost ^vpsv++agls+xvbnx+=lost;
; ^zz++++=EXTRAWORD
two ^cd++++=two
men ^nns++++=men
shipped ^vbd+++xvbn+=shipped
water ^nn++++=water;
; ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
left ^jj+atrb++xvbn+=left
boot ^nn++++=boot
remained ^vbd+++xvbn+=remained
upon ^in++++=upon
Rodondo ^np+++??+=Rodondo,
, ^zz++++=EXTRAWORD
wedged ^xvbn+++xvbn+=wedged
in ^in++++=in
a ^at++++=a
crevice ^&fw++++=crevice
and ^cc++++=and
perhaps ^rb++++=perhaps
subsequently ^rb+tm+++=subsequently
adopted ^vpsv++by+xvbn+=adopted
by ^in++++=by
a ^at++++=a
penguin ^nn+++??+=penguin.
. ^zz++++=EXTRAWORD
Barefoot ^jj++++=Barefoot
and ^cc+phrs+++=and
triumphant ^jj++++=triumphant,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
helped ^vbd+++xvbnx+=helped
shove ^nn++++=shove
off ^in+strn+++=off.
. ^zz++++=EXTRAWORD
As ^ql++++=As
we ^pp1a+pp1+++=we
pulled ^vbd+++xvbn+=pulled
around ^rp++++=around
the ^ati++++=the
base ^nn++++=base,
, ^zz++++=EXTRAWORD
the ^ati++++=the
rock ^npl++++=rock
assumed ^vwbn+vprv++xvbn+=assumed
new ^jj+atrb+++=new
shapes ^nns++++=shapes
at ^in++++=at
every ^at++++=every
angle ^nn++++=angle.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
south ^np+pl+++=south
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
fortress ^nns+nom+++=fortress
with ^in++++=with
ruined ^jj+atrb++xvbn+=ruined
battlements ^nns+nom+++=battlements;
; ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
west ^np+pl+++=west,
, ^zz++++=EXTRAWORD
a ^at++++=a
mitred ^jj+++xvbn+=mitred
bishop ^npt++++=bishop;
; ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
north ^np+pl+++=north,
, ^zz++++=EXTRAWORD
the ^ati++++=the
black ^jj+atrb+++=black
hull ^np++++=hull
of ^in++++=of
a ^at++++=a
frigate ^nn+nom+++=frigate
standing ^vwbg+++xvbg+=standing
on ^in++++=on
end ^nn++++=end.
. ^zz++++=EXTRAWORD
Distance ^nn+nom+++=Distance
simplified ^vbd+++xvbn+=simplified
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
birds ^nns++++=birds
vanished ^vbd+++xvbn+=vanished
into ^in++++=into
a ^at++++=a
white ^jj+atrb+++=white
haze ^nn++++=haze
around ^in++++=around
the ^ati++++=the
summit ^nn++++=summit.
. ^zz++++=EXTRAWORD
Soon ^rb+tm+++=Soon
Rodondo ^np+++??+=Rodondo
was ^vbd+bedz+vrb++=was
again ^rb+tm+++=again
a ^at++++=a
tower ^nn++++=tower,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
a ^at++++=a
sail ^nn++++=sail,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
a ^at++++=a
pale ^jj+atrb+++=pale
tooth ^nn++++=tooth
at ^in++++=at
the ^ati++++=the
horizon ^nn++++=horizon.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fish ^nns++++=fish
followed ^vbd+vprv++xvbn+=followed
us ^pp1o+pp1+++=us
for ^in++++=for
a ^at++++=a
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
bright ^jj+atrb+++=bright
backs ^nns++++=backs
flashed ^vbd+++xvbn+=flashed
beneath ^in+pl+++=beneath
the ^ati++++=the
boat ^nn++++=boat,
, ^zz++++=EXTRAWORD
fearless ^jj++++=fearless
as ^ql++++=as
before ^in++++=before.
. ^zz++++=EXTRAWORD
Gradually ^rb++++=Gradually
the ^ati++++=the
water ^nn++++=water
deepened ^vbd+++xvbn+=deepened,
, ^zz++++=EXTRAWORD
the ^ati++++=the
colors ^nns++++=colors
faded ^vbd+++xvbn+=faded,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^pn++++=one
by ^in++++=by
one ^cd1++++=one
our ^pp$+pp1+++=our
escort ^nn++++=escort
disappeared ^vbd+seem++xvbn+=disappeared.
. ^zz++++=EXTRAWORD
Last ^ap++++=Last
remained ^jj+++xvbn+=remained
the ^ati++++=the
broad ^jj++++=broad
green ^jj++++=green
fellow ^jjb++++=fellow
or ^cc++++=or
his ^pp$+pp3+++=his
cousin ^nn++++=cousin
who ^whp+rel+subj++=who
turned ^vbd+++xvbn+=turned
sideways ^jjb++++=sideways
below ^in+pl+++=below
my ^pp$+pp1+++=my
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
showing ^vbg+vprv++xvbg+=showing
a ^at++++=a
golden ^jj+atrb+++=golden
eye ^nn++++=eye.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
sank ^vbd+++xvbnx+=sank
into ^in++++=into
blue ^nn++++=blue.
. ^zz++++=EXTRAWORD
Night ^nn++++=Night
came ^vbd+++xvbn+=came
while ^cs+sub+++=while
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
still ^rb++++=still
between ^in++++=between
rock ^nn++++=rock
and ^cc++++=and
ship ^nn++++=ship.
. ^zz++++=EXTRAWORD
Albemarle ^np++++=Albemarle's
's ^$++++=EXTRAWORD
peaks ^nns++++=peaks
darkened ^vbd+++xvbn+=darkened
against ^in++++=against
a ^at++++=a
copper ^nn++++=copper
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
No ^at++++=No
fires ^nns++++=fires
showed ^vbd+vprv++xvbn+=showed
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
no ^at++++=no
house ^nn++++=house-lamps,
- ^zz++++=EXTRAWORD
lamps ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no
signal ^nn++++=signal.
. ^zz++++=EXTRAWORD
Venus ^np++++=Venus
appeared ^vbd+seem++xvbn+=appeared
above ^jjb+atrb+++=above
one ^cd1++++=one
crater ^nn++++=crater;
