# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
White ^jj++++=White
Buckalong ^np+++??+=Buckalong."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
looked ^vbd+++xvbn+=looked
at ^rb++++=at
Sandy ^np++++=Sandy.
. ^zz++++=EXTRAWORD
" ^zz++++="Bought
bought ^vprf+++xvbn+=EXTRAWORD
him ^pp3o+pp3+++=him?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Billy ^np++++=Billy.
. ^zz++++=EXTRAWORD
" ^zz++++="From
from ^in++++=EXTRAWORD
who ^whp+rel+pied++=who?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Didn't
did ^vbd+dod+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
say ^vb+vpub+++=say."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Sandy ^np++++=Sandy
took ^vbd+++xvbn+=took
off ^rb+phrv+++=off
his ^pp$+pp3+++=his
spectacles ^nns++++=spectacles
and ^cc++++=and
polished ^jj++++=polished
them ^pp3o+pp3+++=them
for ^in++++=for
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time.
. ^zz++++=EXTRAWORD
The ^ati++++=The
police ^nns++++=police
could ^md+pos+++=could
do ^vb+do+vrb++=do
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
The ^ati++++=The
place ^nn++++=place
named ^vwbn+++xvbn+=named
by ^in++++=by
the ^ati++++=the
traveller ^nn+nom+++=traveller
lay ^vbd+++xvbn+=lay
beyond ^in++++=beyond
regular ^jj+atrb+++=regular
patrols ^nns++++=patrols,
, ^zz++++=EXTRAWORD
beyond ^in++++=beyond
telegraph ^nn++++=telegraph,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nearly ^rb+down+++=nearly
beyond ^in++++=beyond
maps ^nns++++=maps.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
might ^md+pos+++=might
be ^vb+be+aux++=be
found ^vpsv++agls+xvbnx+=found
there ^rn+pl+++=there
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
wished ^vbd+vprv++xvbnx+=wished
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
found ^vpsv++agls+xvbnx+=found,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
the ^ati++++=the
drover ^jjr++++=drover
evidently ^rb++++=evidently
did ^vbd+dod+vrb++=did
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
called ^vbd+++xvbn+=called
it ^pp3+it+++=it
theft ^nn++++=theft.
. ^zz++++=EXTRAWORD
Thompson ^np++++=Thompson
called ^vbd+++xvbn+=called
it ^pp3+it+++=it
gratitude ^nn++++=gratitude
badly ^rb++++=badly
expressed ^vbd+vpub++xvbn+=expressed.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
waited ^vbd+++xvbn+=waited
for ^in++++=for
Sandy ^nn++++=Sandy.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
he ^pp3a+pp3+++=he
put ^vbd+++xvbnx+=put
his ^pp$+pp3+++=his
spectacles ^nns++++=spectacles
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
mon ^&fw++++=mon
lied ^vbd+++xvbn+=lied,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
didna ^nn+++??+=didna
buy ^vb++++=buy
the ^ati++++=the
horrse ^nn+++??+=horrse
from ^in++++=from
Buckalong ^np+++??+=Buckalong."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
all ^abn++++=all.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
we ^pp1a+pp1+++=we
understood ^vbd+vprv++xvbn+=understood
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
better ^jjr++++=better
than ^cs+sub+++=than
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
at ^rb++++=at
the ^ati++++=the
time ^nn++++=time,
, ^zz++++=EXTRAWORD
why ^wrb+who+++=why
the ^ati++++=the
drover ^jjr++++=drover
had ^vbd+hvd+aux++=had
touched ^vprf+++xvbnx+=touched
the ^ati++++=the
pony ^nn++++=pony's
's ^$++++=EXTRAWORD
neck ^nn++++=neck
before ^in++++=before
leaving ^xvbg+++xvbg+=leaving,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
why ^wrb+who+++=why
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
twice ^rb++splt++=twice
repeated ^vprf+++xvbnx+=repeated
the ^ati++++=the
only ^rb+down+++=only
praise ^vb++++=praise
that ^dt+dem+++=that
mattered ^jj+++xvbn+=mattered.
. ^zz++++=EXTRAWORD
Fever ^nn++++=Fever
had ^vbd+hvd+aux++=had
forced ^vprf+++xvbnx+=forced
him ^pp3o+pp3+++=him
to ^to++++=to
sell ^vbi++++=sell
his ^pp$+pp3+++=his
old ^jj+atrb+++=old
companion ^nn++++=companion;
; ^zz++++=EXTRAWORD
health ^nn++++=health
had ^vbd+hvd+aux++=had
brought ^vprf+++xvbnx+=brought
him ^pp3o+pp3+++=him
back ^jjb++++=back
to ^in++++=to
reclaim ^nn+++??+=reclaim
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
the ^ati++++=the
fifteen ^cd++++=fifteen
notes ^nns++++=notes
had ^vbd+hvd+aux++=had
bought ^vprf+++xvbnx+=bought
the ^ati++++=the
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
merely ^rb+down+++=merely
held ^vbd+vprv++xvbn+=held
him ^pp3o+pp3+++=him
in ^in++++=in
trust ^nn++++=trust,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
question ^nn+nom+++=question
for ^in++++=for
lawyers ^nns+nom+++=lawyers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
none ^pn++++=none
within ^in++++=within
several ^ap++++=several
hundred ^cd++++=hundred
miles ^nns++++=miles.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
never ^rb++++=never
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
drover ^jjr++++=drover
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
White ^jj++++=White-When-Wanted.
- ^zz++++=EXTRAWORD
when ^wrb+who+++=EXTRAWORD
- ^zz++++=EXTRAWORD
wanted ^vbd+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then
a ^at++++=a
story ^nn++++=story
reached ^vbd+++xvbn+=reached
us ^pp1o+pp1+++=us
from ^in++++=from
the ^ati++++=the
outer ^jjb+atrb+++=outer
country ^nn++++=country:
: ^zz++++=EXTRAWORD
of ^in++++=of
a ^at++++=a
scarred ^jj+atrb++xvbn+=scarred
man ^nn++++=man
on ^in++++=on
a ^at++++=a
shabby ^jj+atrb+++=shabby
grey ^nn++++=grey
who ^whp+rel+subj++=who
could ^md+pos+++=could
yard ^vb++++=yard
clean ^jj++++=clean-skins
- ^zz++++=EXTRAWORD
skins ^nns++++=EXTRAWORD
no ^at++++=no
other ^ap++++=other
pair ^nn++++=pair
could ^md+pos+++=could
turn ^vb++++=turn;
; ^zz++++=EXTRAWORD
of ^in++++=of
a ^rb++++=a
little ^rb"++++=little
horse ^nn++++=horse
that ^tht+rel+++=that
travelled ^jj+++xvbn+=travelled
three ^cd++++=three
days ^nns++++=days
without ^in++++=without
failing ^xvbg+++xvbg+=failing;
; ^zz++++=EXTRAWORD
of ^in++++=of
a ^at++++=a
drover ^jjr++++=drover
who ^whp+who+++=who
refused ^vbd+++xvbn+=refused
fifty ^cd++++=fifty
pounds ^nns++++=pounds
and ^cc++++=and
said ^vbd+vpub++xvbn+=said
only ^rb+down+++=only
that ^dt+dem+++=that
the ^ati++++=the
pony ^nn++++=pony
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
for ^in++++=for
sale ^nn++++=sale.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
stories ^nns++++=stories
were ^vbd+bed+vrb++=were
lies ^nns++++=lies.
. ^zz++++=EXTRAWORD
Most ^ql+emph+++=Most
good ^jj+atrb+++=good
bush ^nn++++=bush
stories ^nns++++=stories
improve ^vb++++=improve
on ^in++++=on
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
but ^cc+cls+++=But
we ^pp1a+pp1+++=we
believed ^vbd+vprv++xvbn+=believed
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
