# ^zz++++=##
# ^zz++++=EXTRAWORD
Cock ^nn++++=Cock-eye
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
partly ^rb+down+++=partly
because ^cs+cos+++=because
Sloppy ^jj++++=Sloppy
liked ^jj+++xvbn+=liked
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dog ^nn++++=dog
followed ^vbd+vprv++xvbn+=followed
him ^pp3o+pp3+++=him
through ^rp++++=through
camp ^npl++++=camp,
, ^zz++++=EXTRAWORD
leaned ^j+++xvbn+=leaned
against ^in++++=against
his ^pp$+pp3+++=his
trousers ^nns+nom+++=trousers,
, ^zz++++=EXTRAWORD
entered ^j+++xvbn+=entered
the ^ati++++=the
saloon ^nn++++=saloon
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
entered ^vbd+++xvbnx+=entered,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
waited ^vbd+++xvbn+=waited
outside ^jjb++++=outside
the ^ati++++=the
store ^nn++++=store
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
transacted ^vbd+++xvbnx+=transacted
business ^nns+nom+++=business.
. ^zz++++=EXTRAWORD
" ^zz++++="Animals
animals ^nns+nom+++=EXTRAWORD
sometimes ^rb++++=sometimes
take ^vb++++=take
to ^in+vcmp+++=to
wicked ^jj+atrb+++=wicked
men ^nns++++=men,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Bunt ^np+++??+=Bunt
observed ^vbd+++xvbn+=observed.
. ^zz++++=EXTRAWORD
" ^zz++++="Maybe
maybe ^rb+hdg+++=EXTRAWORD
they ^pp3a+pp3+++=they're
're ^vb+ber+vrb++0=EXTRAWORD
missionary ^nn+nom+++=missionary-minded.
- ^zz++++=EXTRAWORD
minded ^jj+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
Anyway ^rb+dspt+++=Anyway
Sloppy ^jj+atrb+++=Sloppy
admired ^jj+atrb++xvbn+=admired
Cock ^nn++++=Cock-eye
- ^zz++++=EXTRAWORD
eye ^nn++++=EXTRAWORD
scandalous ^jj++++=scandalous.
. ^zz++++=EXTRAWORD
Blacklock ^np+++??+=Blacklock
kicked ^vbd+++xvbn+=kicked
him ^pp3o+pp3+++=him
considerable ^jj++++=considerable,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
the ^ati++++=the
dog ^nn++++=dog
mistook ^vbd+++xvbn+=mistook
for ^in++++=for
attention ^nn+nom+++=attention.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
discourage ^nn+nom+++=discourage
him ^pp3o+pp3+++=him
without ^in++++=without
killin ^nn+++??+=killin'
' ^zz++++=EXTRAWORD
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nobody ^pn++++=nobody
but ^cc++++=but
Blacklock ^np+++??+=Blacklock
desired ^vbd+vsua++xvbn+=desired
to ^to+vcmp+++=to
go ^vbi++++=go
that ^dt+pdem+++=that
far ^rb+pl+++=far."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
One ^cd1++++=One
afternoon ^nn++++=afternoon
Sloppy ^jj+atrb+++=Sloppy
followed ^jj+++xvbn+=followed
Blacklock ^np+++??+=Blacklock
out ^rp+pl+++=out
of ^in++++=of
town ^nn++++=town.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
bridge ^nn++++=bridge
Blacklock ^np+++??+=Blacklock
threw ^vbd+++xvbn+=threw
a ^at++++=a
branch ^nn++++=branch
into ^in++++=into
the ^ati++++=the
river ^nn++++=river
to ^to++++=to
be ^vbi+vbi+aux++=be
rid ^vpsv++agls+xvbnx+=rid
of ^in++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Sloppy ^jj++++=Sloppy
plunged ^jj+++xvbn+=plunged
from ^in++++=from
the ^ati++++=the
bank ^nn++++=bank,
, ^zz++++=EXTRAWORD
swam ^j+++xvbn+=swam
through ^in++++=through
the ^ati++++=the
current ^nn++++=current,
, ^zz++++=EXTRAWORD
seized ^j+++xvbn+=seized
the ^ati++++=the
branch ^nn++++=branch,
, ^zz++++=EXTRAWORD
overtook ^j+++xvbn+=overtook
Blacklock ^np+++??+=Blacklock
a ^at++++=a
quarter ^nn++++=quarter
mile ^nn++++=mile
up ^rp++++=up
the ^ati++++=the
trail ^nn++++=trail,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
laid ^vbd+++xvbn+=laid
it ^pp3+it+++=it
proudly ^rb++++=proudly
across ^in+pl+++=across
his ^pp$+pp3+++=his
boots ^nns++++=boots.
. ^zz++++=EXTRAWORD
" ^zz++++="Cock-eye
cock ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
eye ^nn++++=EXTRAWORD
throwed ^vbd+++xvbn+=throwed
it ^pp3+it+++=it
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Sloppy ^jj++++=Sloppy
fetched ^jj+++xvbn+=fetched
it ^pp3+it+++=it
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Blacklock ^np+++??+=Blacklock
pitched ^vbd+++xvbn+=pitched
it ^pp3+it+++=it
down ^in++++=down
a ^at++++=a
ravine ^nn++++=ravine.
. ^zz++++=EXTRAWORD
Sloppy ^jj+atrb+++=Sloppy
clumb ^nn+++??+=clumb
down ^rp++++=down,
, ^zz++++=EXTRAWORD
found ^j+++xvbn+=found
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
clumb ^nn+++??+=clumb
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fetched ^vbd+++xvbn+=fetched
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
By ^in++++=By
the ^ati++++=the
time ^nn++++=time
they ^pp3a+pp3+++=they
reached ^vbd+++xvbnx+=reached
the ^ati++++=the
cabin ^nn++++=cabin,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dog ^nn++++=dog
believed ^vbd+vprv+tht0+xvbn+=believed
a ^at++++=a
wonderful ^jj+atrb+++=wonderful
friendship ^nn+nom+++=friendship
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
established ^vpsv++agls+xvbnx+=established.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
evening ^nn++++=evening
Cock ^nn++++=Cock-eye
- ^zz++++=EXTRAWORD
eye ^nn++++=EXTRAWORD
come ^vb++++=come
into ^in+ppvb+++=into
Prosperity ^nn+nom+++=Prosperity
special ^jj++++=special
to ^to++++=to
complain ^vbi+vpub+++=complain.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
' ^zz++++='If
if ^cs+cnd+++=EXTRAWORD
that ^dt+dem+++=that
idiot ^nn++++=idiot
hound ^nn++++=hound
follows ^vbz+vprv+++=follows
me ^pp1o+pp1+++=me
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
shoot ^vb++++=shoot
him ^pp3o+pp3+++=him.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'That
' ^zz++++=EXTRAWORD
that ^dt+pdem+++=EXTRAWORD
would ^md+prd+++=would
be ^vb+be+vrb++=be
unlawful ^jj+pred+++=unlawful,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Dad ^npt++++=Dad
Weaver ^np++++=Weaver.
. ^zz++++=EXTRAWORD
" ^zz++++="'So's
' ^zz++++=EXTRAWORD
so ^ql++++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
stealin ^nn+++??+=stealin'
' ^zz++++=EXTRAWORD
dynamite ^nn++++=dynamite,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Colonel ^npt++++=Colonel
Jim ^np++++=Jim,
, ^zz++++=EXTRAWORD
keepin ^nn+++??+=keepin'
' ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
eye ^nn++++=eye
on ^in++++=on
Cock ^nn++++=Cock-eye.
- ^zz++++=EXTRAWORD
eye ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Blacklock
blacklock ^nn+++??+=EXTRAWORD
smiles ^vbz++++=smiles.
. ^zz++++=EXTRAWORD
' ^zz++++='You
you ^pp2+pp2+++=EXTRAWORD
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
catch ^vb++++=catch
whoever ^whp+who+++=whoever
does ^vbz+doz+vrb++=does
it ^pp3+it+++=it.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'We
' ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=EXTRAWORD
aim ^vb++++=aim
to ^to+vcmp+++=to,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
colonel ^nn++++=colonel."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Two ^cd++++=Two
nights ^nns++++=nights
later ^rbr+tm+++=later
another ^dt++++=another
case ^nn++++=case
of ^in++++=of
dynamite ^nn++++=dynamite
vanished ^vbd+++xvbn+=vanished
from ^in++++=from
the ^ati++++=the
mine ^nn++++=mine
magazine ^nn++++=magazine.
. ^zz++++=EXTRAWORD
Colonel ^npt++++=Colonel
Jim ^np++++=Jim
made ^vbd+++xvbn+=made
his ^pp$+pp3+++=his
plans ^nns++++=plans.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
told ^vbd+vpub++xvbnx+=told
Blacklock ^np+++??+=Blacklock
publicly ^rb++++=publicly
that ^cs+sub+++=that
the ^ati++++=the
marshal ^npt++++=marshal
intended ^vwbn+vsua++xvbn+=intended
to ^to+vcmp+++=to
search ^vbi++++=search
his ^pp$+pp3+++=his
cabin ^nn++++=cabin
at ^rb++++=at
dawn ^nn++++=dawn.
. ^zz++++=EXTRAWORD
The ^ati++++=The
announcement ^nn+nom+++=announcement
was ^vbd+bedz+vrb++=was
bait ^nn++++=bait.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
Blacklock ^np+++??+=Blacklock
had ^vbd+hvd+aux++=had
stolen ^vprf+++xvbnx+=stolen
powder ^nn++++=powder
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
move ^vb++++=move
it ^pp3+it+++=it
or ^cc++++=or
use ^nn++++=use
it ^pp3+it+++=it
before ^in++++=before
the ^ati++++=the
search ^nn++++=search.
. ^zz++++=EXTRAWORD
Shortly ^rb+tm+++=Shortly
after ^in++++=after
midnight ^nn++++=midnight
the ^ati++++=the
colonel ^nn++++=colonel,
, ^zz++++=EXTRAWORD
Dad ^npt++++=Dad
Weaver ^np++++=Weaver,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Bunt ^np+++??+=Bunt
rode ^vbd+++xvbn+=rode
quietly ^rb++++=quietly
out ^rp+pl+++=out
of ^in++++=of
Prosperity ^nn+nom+++=Prosperity,
, ^zz++++=EXTRAWORD
left ^j+++xvbn+=left
their ^pp$+pp3+++=their
horses ^nns++++=horses
in ^in++++=in
timber ^nn++++=timber,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
approached ^vbd+++xvbn+=approached
the ^ati++++=the
cabin ^nn++++=cabin
on ^in++++=on
foot ^nn++++=foot.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
moon ^nn++++=moon
was ^vbd+bedz+vrb++=was
about ^in++++=about
half ^abn++++=half
full ^jj++++=full,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Bunt ^np+++??+=Bunt,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
the ^ati++++=the
river ^nn++++=river
shone ^vbd+++xvbn+=shone
in ^in++++=in
pieces ^nns++++=pieces
between ^in++++=between
the ^ati++++=the
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
laid ^vbd+++xvbn+=laid
behind ^in+pl+++=behind
a ^at++++=a
deadfall ^nn+++??+=deadfall
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
could ^md+pos+++=could
see ^vb+vprv+++=see
the ^ati++++=the
cabin ^nn++++=cabin
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Dad ^np++++=Dad's
's ^$++++=EXTRAWORD
rheumatism ^nn+nom+++=rheumatism
objected ^vbd+vpub++xvbn+=objected
to ^in++++=to
the ^ati++++=the
ground ^nn++++=ground,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Colonel ^npt++++=Colonel
Jim ^np++++=Jim
objected ^vbd+vpub++xvbn+=objected
to ^in++++=to
Dad ^np++++=Dad's
's ^$++++=EXTRAWORD
objections ^nns+nom+++=objections,
, ^zz++++=EXTRAWORD
so ^ql++++=so
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
some ^dti++++=some
whisperin ^nn+++??+=whisperin'
' ^zz++++=EXTRAWORD
not ^xnot++not++=not
properly ^rb++++=properly
suited ^vbd+++xvbn+=suited
to ^in++++=to
detective ^nn++++=detective
work ^nn++++=work.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
waited ^vbd+++xvbn+=waited.
. ^zz++++=EXTRAWORD
" ^zz++++="About
about ^in++++=EXTRAWORD
three ^cd++++=three
in ^in++++=in
the ^ati++++=the
mornin ^nn+++??+=mornin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
door ^nn++++=door
opens ^vbz++++=opens
and ^cc++++=and
Cock ^nn++++=Cock-eye
- ^zz++++=EXTRAWORD
eye ^nn++++=EXTRAWORD
steps ^nns++++=steps
out ^rp+pl+++=out
with ^in++++=with
a ^at++++=a
sack ^nn++++=sack.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stands ^vbz++++=stands
listenin ^nn+++??+=listenin'.
'. ^nn+++??+=EXTRAWORD
His ^pp$+pp3+++=His
honest ^jj+atrb+++=honest
eye ^nn++++=eye
looks ^vbz++++=looks
up ^rp++++=up
the ^ati++++=the
trail ^nn++++=trail
and ^cc++++=and
his ^pp$+pp3+++=his
other ^ap++++=other
eye ^nn++++=eye
watches ^nns++++=watches
the ^ati++++=the
cabin ^nn++++=cabin,
, ^zz++++=EXTRAWORD
maybe ^rb+hdg+++=maybe
to ^to++++=to
see ^vbi+vprv+++=see
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
followin ^nn+++??+=followin'
' ^zz++++=EXTRAWORD
hisself ^nn+++??+=hisself.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
starts ^vbz++++=starts
downstream ^rb+pl+++=downstream.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
trail ^nn++++=trail
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Slow ^jj+atrb+++=Slow
work ^nn++++=work.
. ^zz++++=EXTRAWORD
Dad ^npt++++=Dad
kept ^vbd+++xvbn+=kept
steppin ^nn+++??+=steppin'
' ^zz++++=EXTRAWORD
on ^in++++=on
dry ^jj+atrb+++=dry
limbs ^nns++++=limbs
that ^tht+rel+subj++=that
had ^vb+hv+aux++=hadn't
n't ^xnot++not++0=EXTRAWORD
been ^vprf+ben+vrb+xvbn+=been
there ^rn+pl+++=there
till ^cs+sub+++=till
he ^pp3a+pp3+++=he
put ^vbd+++xvbnx+=put
his ^pp$+pp3+++=his
foot ^nn++++=foot
down ^in+strn+++=down.
. ^zz++++=EXTRAWORD
Cock ^nn++++=Cock-eye
- ^zz++++=EXTRAWORD
eye ^nn++++=EXTRAWORD
stops ^nns++++=stops
twice ^rb+cnj+++=twice,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
river ^nn++++=river
covers ^nns++++=covers
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
Finally ^rb++++=Finally
he ^pp3a+pp3+++=he
comes ^vbz++++=comes
to ^in++++=to
a ^at++++=a
pool ^nn++++=pool
below ^in+pl+++=below
a ^at++++=a
ledge ^nn++++=ledge
a ^at++++=a
deep ^jj+atrb+++=deep
black ^jj+atrb+++=black
hole ^nn++++=hole
where ^wrb+who+++=where
the ^ati++++=the
water ^nn++++=water
turns ^vbz++++=turns
once ^rb+tm+++=once
before ^in++++=before
runnin ^nn+++??+=runnin'
' ^zz++++=EXTRAWORD
out ^rp+pl+++=out
through ^in++++=through
a ^at++++=a
chute ^nn+++??+=chute.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^rn+pl+++=EXTRAWORD
he ^pp3a+pp3+++=he
takes ^vbz++++=takes
from ^in++++=from
the ^ati++++=the
sack ^nn++++=sack
a ^at++++=a
stick ^nn++++=stick
of ^in++++=of
dynamite ^nn++++=dynamite."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Bunt ^np+++??+=Bunt
paused ^vbd+++xvbn+=paused.
. ^zz++++=EXTRAWORD
Below ^rb++++=Below
us ^pp1o+pp1+++=us
a ^at++++=a
steer ^vb++++=steer
rose ^nn+++xvbn+=rose
heavily ^rb+cnj+++=heavily,
, ^zz++++=EXTRAWORD
turned ^j+++xvbn+=turned
in ^in++++=in
a ^at++++=a
circle ^nn++++=circle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lay ^jjb+++xvbn+=lay
down ^rp++++=down
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Along ^in++++=Along
the ^ati++++=the
eastern ^jj+atrb+++=eastern
horizon ^nn++++=horizon
the ^ati++++=the
blackness ^nns+nom+++=blackness
had ^vbd+hvd+aux++=had
thinned ^vprf+++xvbnx+=thinned
by ^in++++=by
the ^ati++++=the
smallest ^jjt+atrb+++=smallest
degree ^nn++++=degree,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
dawn ^nn++++=dawn
was ^vbd+bedz+vrb++=was
still ^rb++++=still
far ^rb+pl+++=far
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
" ^zz++++="Colonel
colonel ^npt++++=EXTRAWORD
Jim ^np++++=Jim
whispers ^nns+nom+++=whispers,
, ^zz++++=EXTRAWORD
' ^zz++++='Now
now ^rn+tm+++=EXTRAWORD
we ^pp1a+pp1+++=we've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
him ^pp3o+pp3+++=him.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Dad
dad ^npt++++=EXTRAWORD
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
' ^zz++++='Wait
wait ^vb++++=EXTRAWORD
till ^cs+sub+++=till
he ^pp3a+pp3+++=he
lights ^nns++++=lights
it ^pp3+it+++=it.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Cock-eye
cock ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
eye ^nn++++=EXTRAWORD
lays ^vbz++++=lays
the ^ati++++=the
stick ^nn++++=stick
on ^in++++=on
a ^at++++=a
rock ^nn++++=rock,
, ^zz++++=EXTRAWORD
cuts ^nns++++=cuts
his ^pp$+pp3+++=his
fuse ^nn++++=fuse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fits ^vbz++++=fits
the ^ati++++=the
cap ^nn++++=cap.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
neat ^jj+pred+++=neat
about ^in++++=about
such ^abl++++=such
work ^nn++++=work.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
may ^md+pos+++=may
be ^vb+be+vrb++=be
morally ^rb++++=morally
loose ^jj+pred+++=loose
and ^cc++++=and
still ^rb+atrb+++=still
object ^nn++++=object
to ^in++++=to
dynamite ^nn++++=dynamite
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
off ^in+pl+++=off
in ^in++++=in
his ^pp$+pp3+++=his
fingers ^nns+nom+++=fingers.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
strikes ^vbz++++=strikes
a ^at++++=a
match ^nn++++=match
on ^in++++=on
his ^pp$+pp3+++=his
pants ^nns++++=pants.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
match ^nn++++=match
flares ^vbz++++=flares
up ^rp++++=up.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
see ^vb+vprv+tht0++=see
his ^pp$+pp3+++=his
face ^nn++++=face
plain ^nn++++=plain,
, ^zz++++=EXTRAWORD
mean ^jj++++=mean
and ^cc+phrs+++=and
pleased ^jj+++xvbn+=pleased.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
touches ^nns++++=touches
it ^pp3+it+++=it
to ^in++++=to
the ^ati++++=the
fuse ^nn++++=fuse.
. ^zz++++=EXTRAWORD
" ^zz++++="'Hold!'
' ^zz++++=EXTRAWORD
hold ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
yells ^nns+++??+=yells
Dad ^npt++++=Dad
Weaver ^np++++=Weaver,
, ^zz++++=EXTRAWORD
rising ^nvbg+++xvbg+=rising
up ^rb+phrv+++=up
with ^in+ppvb+++=with
the ^ati++++=the
shotgun ^nn++++=shotgun.
. ^zz++++=EXTRAWORD
' ^zz++++='You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
under ^in++++=under
arrest ^nn++++=arrest!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
surprised ^jj+atrb++xvbn+=surprised
Cock ^nn++++=Cock-eye.
- ^zz++++=EXTRAWORD
eye ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
also ^rb++++=also
surprised ^jj+++xvbn+=surprised
Dad ^np++++=Dad's
's ^$++++=EXTRAWORD
rheumatism ^nn+nom+++=rheumatism,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
his ^pp$+pp3+++=his
knees ^nns++++=knees
straightened ^vbd+++xvbn+=straightened
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
in ^in++++=in
six ^cd++++=six
years ^nns++++=years.
. ^zz++++=EXTRAWORD
" ^zz++++="Blacklock
blacklock ^nn+++??+=EXTRAWORD
whirls ^nns+++??+=whirls
around ^rp++++=around.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dynamite ^nn++++=dynamite's
's ^vbz+bez+vrb++0=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
hand ^nn++++=hand
with ^in++++=with
the ^ati++++=the
fuse ^vb++++=fuse
spittin ^nn+++??+=spittin'.
'. ^nn+++??+=EXTRAWORD
For ^in++++=For
one ^cd1++++=one
fraction ^nn+nom+++=fraction
he ^pp3a+pp3+++=he
looks ^vbz++++=looks
ready ^jj++++=ready
to ^to+jcmp+++=to
throw ^vbi++++=throw
it ^pp3+it+++=it
at ^rb++++=at
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
would ^md+prd+++=would
have ^vb+hv+aux++=have
concluded ^vprf+++xvbnx+=concluded
the ^ati++++=the
legal ^jj+atrb+++=legal
proceedings ^nns++++=proceedings
informal ^jj++++=informal.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Colonel ^npt++++=Colonel
Jim ^np++++=Jim
puts ^vbz++++=puts
a ^at++++=a
rifle ^nn++++=rifle
on ^in++++=on
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="'Drop
' ^zz++++=EXTRAWORD
drop ^vb++++=EXTRAWORD
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
river ^nn++++=river!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
shouts ^vbz++++=shouts.
. ^zz++++=EXTRAWORD
" ^zz++++="Cock-eye
cock ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
eye ^nn++++=EXTRAWORD
calculates ^nns+nom+++=calculates.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
holds ^vbz+vprv+tht0++=holds
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
explodes ^nns+++??+=explodes.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
throws ^vbz++++=throws
it ^pp3+it+++=it
toward ^in++++=toward
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
gets ^vbz++++=gets
shot ^nn+++xvbn+=shot.
. ^zz++++=EXTRAWORD
So ^ql++++=So
he ^pp3a+pp3+++=he
swings ^vbz++++=swings
back ^jjb++++=back
and ^cc++++=and
pitches ^nns+++??+=pitches
it ^pp3+it+++=it
far ^rb+pl+++=far
out ^rp+pl+++=out
over ^in++++=over
the ^ati++++=the
pool ^nn++++=pool."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
this ^dt+dem+++=this
point ^nn++++=point
Bunt ^np+++??+=Bunt
leaned ^vbd+++xvbn+=leaned
toward ^in++++=toward
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
though ^cs+sub+++=though
we ^pp1a+pp1+++=we
sat ^vbd+++xvbn+=sat
under ^in++++=under
an ^at++++=an
Idaho ^np+++??+=Idaho
sky ^nn++++=sky
years ^nns++++=years
and ^cc++++=and
hundreds ^cds++++=hundreds
of ^in++++=of
miles ^nns++++=miles
from ^in++++=from
Prosperity ^nn+nom+++=Prosperity,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
voice ^nn++++=voice
dropped ^vbd+++xvbn+=dropped
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
men ^nns++++=men
behind ^in+pl+++=behind
the ^ati++++=the
deadfall ^nn+++??+=deadfall
might ^md+pos+++=might
still ^rb++++=still
be ^vb+be+aux++=be
discovered ^vpsv++agls+xvbnx+=discovered.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
none ^rb++++=none
of ^in++++=of
us ^pp1o+pp1+++=us
knew ^vbd+vprv++xvbn+=knew,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="was
was ^vbd+bedz+vrb++=EXTRAWORD
Sloppy ^jj+atrb+++=Sloppy
Weather ^nn++++=Weather
had ^vbd+hvd+aux++=had
followed ^vprf+++xvbnx+=followed
us ^pp1o+pp1+++=us."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
dog ^nn++++=dog
had ^vbd+hvd+aux++=had
slept ^vprf+++xvbnx+=slept
beneath ^in+pl+++=beneath
the ^ati++++=the
porch ^nn++++=porch
of ^in++++=of
the ^ati++++=the
boardinghouse ^nn+++??+=boardinghouse
until ^cs+sub+++=until
the ^ati++++=the
three ^cd++++=three
men ^nns++++=men
