He ^pp3a+pp3+++=He
were ^vbd+bed+vrb++=were.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
the ^ati++++=the
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
the ^ati++++=the
balcony ^nn++++=balcony,
, ^zz++++=EXTRAWORD
the ^ati++++=the
shining ^jj+++xvbg+=shining
river ^npl++++=river,
, ^zz++++=EXTRAWORD
the ^ati++++=the
distant ^jj+atrb+++=distant
church ^npl++++=church
tower ^nn++++=tower.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
noticed ^vbd+vprv++xvbnx+=noticed
that ^tht+vcmp+++=that
the ^ati++++=the
acacia ^nn+++??+=acacia
was ^vbd+bedz+aux++=was
displaced ^vpsv++agls+xvbnx+=displaced
about ^in++++=about
a ^at++++=a
foot ^nn++++=foot
to ^in++++=to
the ^ati++++=the
right ^nn++++=right,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
quivering ^vbg+++xvbgx+=quivering,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
leaves ^nns++++=leaves
were ^vbd+bed+vrb++=were
rustling ^jj+pred+++=rustling.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tree ^nn++++=tree
was ^vbd+bedz+aux++=was
shaken ^vpsv++agls+xvbnx+=shaken
violently ^rb+cnj+++=violently,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
heavy ^nn++++=heavy
panting ^vwbg+++xvbg+=panting
was ^vbd+bedz+vrb++=was
audible ^jj+pred+++=audible.
. ^zz++++=EXTRAWORD
In ^in++++=In
another ^dt++++=another
moment ^nn++++=moment
a ^at++++=a
hairy ^jj+atrb+++=hairy
brown ^jj+atrb+++=brown
hand ^nn++++=hand
had ^vbd+hvd+aux++=had
appeared ^vprf+++xvbnx+=appeared
and ^cc+phrs+++=and
clutched ^vbd+++xvbn+=clutched
the ^ati++++=the
balcony ^nn++++=balcony
railings ^nns+nom+++=railings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
another ^dt++++=another
the ^ati++++=the
face ^nn++++=face
of ^in++++=of
the ^ati++++=the
Malay ^nn++++=Malay
was ^vbd+bedz+aux++=was
peering ^vbg+++xvbgx+=peering
through ^in++++=through
these ^dt+dem+++=these
at ^in++++=at
the ^ati++++=the
man ^nn++++=man
on ^in++++=on
the ^ati++++=the
couch ^nn++++=couch.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
expression ^nn++++=expression
was ^vbd+bedz+vrb++=was
an ^at++++=an
unpleasant ^jj+atrb+++=unpleasant
grin ^nn++++=grin,
, ^zz++++=EXTRAWORD
by ^in++++=by
reason ^nn++++=reason
of ^in++++=of
the ^ati++++=the
krees ^nn++++=krees
he ^pp3a+pp3+++=he
held ^vbd+vprv++xvbnx+=held
between ^in++++=between
his ^pp$+pp3+++=his
teeth ^nns++++=teeth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
bleeding ^vbg+++xvbgx+=bleeding
from ^in++++=from
an ^at++++=an
ugly ^jj+atrb+++=ugly
wound ^nn+++xvbn+=wound
in ^in++++=in
his ^pp$+pp3+++=his
cheek ^nn++++=cheek.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hair ^nn++++=hair
wet ^nn++++=wet
to ^to++++=to
drying ^xvbg+++xvbg+=drying
stuck ^vbd+++xvbn+=stuck
out ^rp+pl+++=out
like ^in++++=like
horns ^nns++++=horns
from ^in++++=from
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
body ^nn++++=body
was ^vbd+bedz+vrb++=was
bare ^jj+pred+++=bare
save ^in++++=save
for ^in++++=for
the ^ati++++=the
wet ^jj+atrb+++=wet
trousers ^nns+nom+++=trousers
that ^tht+rel+subj++=that
clung ^vprf+++xvbn+=clung
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Bailey ^np++++=Bailey's
's ^$++++=EXTRAWORD
first ^rb++++=first
impulse ^nn++++=impulse
was ^vbd+bedz+vrb++=was
to ^in++++=to
spring ^nn++++=spring
from ^in++++=from
the ^ati++++=the
couch ^nn++++=couch,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
legs ^nns++++=legs
reminded ^vbd+vsua++xvbn+=reminded
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
impossible ^jj+pred+++=impossible.
. ^zz++++=EXTRAWORD
By ^in++++=By
means ^in"++++=means
of ^in"++++=of
the ^ati++++=the
balcony ^nn++++=balcony
and ^cc++++=and
tree ^nn++++=tree
the ^ati++++=the
man ^nn++++=man
slowly ^rb++++=slowly
raised ^vbd+++xvbn+=raised
himself ^ppl+pp3+++=himself
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
visible ^jj+pred+++=visible
to ^in++++=to
Mrs ^npt++++=Mrs
Green ^np++++=Green.
. ^zz++++=EXTRAWORD
With ^in++++=With
a ^at++++=a
choking ^jj+atrb++xvbg+=choking
cry ^nn++++=cry
she ^pp3a+pp3+++=she
made ^vbd+++xvbnx+=made
for ^in+ppvb+++=for
the ^ati++++=the
door ^nn++++=door
and ^cc++++=and
fumbled ^vpsv++agls+xvbn+=fumbled
with ^in++++=with
the ^ati++++=the
handle ^nn++++=handle.
. ^zz++++=EXTRAWORD
Bailey ^np++++=Bailey
thought ^vbd+++xvbn+=thought
swiftly ^rb++++=swiftly
and ^cc++++=and
clutched ^vbd+++xvbn+=clutched
a ^at++++=a
medicine ^nn++++=medicine
bottle ^nn++++=bottle
in ^in++++=in
either ^dtx++++=either
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
he ^pp3a+pp3+++=he
flung ^vbd+++xvbnx+=flung,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
smashed ^vbd+++xvbn+=smashed
against ^in++++=against
the ^ati++++=the
acacia ^nn+++??+=acacia.
. ^zz++++=EXTRAWORD
Silently ^rb++++=Silently
and ^cc+phrs+++=and
deliberately ^rb+cnj+++=deliberately,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
keeping ^vbg+++xvbg+=keeping
his ^pp$+pp3+++=his
bright ^jj+atrb+++=bright
eyes ^nns++++=eyes
fixed ^vbd+++xvbn+=fixed
on ^in++++=on
Bailey ^np++++=Bailey,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Malay ^nn++++=Malay
clambered ^vbd+++xvbn+=clambered
into ^in++++=into
the ^ati++++=the
balcony ^nn++++=balcony.
. ^zz++++=EXTRAWORD
Bailey ^np++++=Bailey,
, ^zz++++=EXTRAWORD
still ^rb++++=still
clutching ^vbg+++xvbg+=clutching
his ^pp$+pp3+++=his
second ^od++++=second
bottle ^nn++++=bottle,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
with ^in++++=with
a ^at++++=a
sickening ^jj++++=sickening,
, ^zz++++=EXTRAWORD
sinking ^vbg+++xvbg+=sinking
feeling ^nvbg+++xvbg+=feeling
about ^in++++=about
his ^pp$+pp3+++=his
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
watched ^j+++xvbn+=watched
first ^rb++++=first
one ^cd1++++=one
leg ^nn++++=leg
come ^vprf+++xvbn+=come
over ^in++++=over
the ^ati++++=the
railing ^nn+nom+++=railing
and ^cc++++=and
then ^rn+tm+++=then
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
Bailey ^np++++=Bailey's
's ^$++++=EXTRAWORD
impression ^nn++++=impression
that ^tht+ncmp+++=that
the ^ati++++=the
Malay ^nn++++=Malay
took ^vbd+++xvbn+=took
about ^in++++=about
an ^at++++=an
hour ^nn++++=hour
to ^to++++=to
get ^vbi++++=get
his ^pp$+pp3+++=his
second ^od++++=second
leg ^nn++++=leg
over ^in++++=over
the ^ati++++=the
rail ^nn++++=rail.
. ^zz++++=EXTRAWORD
The ^ati++++=The
period ^nn++++=period
that ^tht+rel+subj++=that
elapsed ^vwbn+++xvbn+=elapsed
before ^cs+sub+++=before
the ^ati++++=the
sitting ^jj+atrb++xvbg+=sitting
position ^nn+nom+++=position
was ^vbd+bedz+aux++=was
changed ^vpsv++agls+xvbnx+=changed
to ^in++++=to
a ^at++++=a
standing ^jj+atrb++xvbg+=standing
one ^cd1++++=one
seemed ^vbd+seem++xvbn+=seemed
enormous ^jj+atrb+++=enormous
days ^nns++++=days,
, ^zz++++=EXTRAWORD
weeks ^nns++++=weeks,
, ^zz++++=EXTRAWORD
possibly ^rb++++=possibly
a ^at++++=a
year ^nn++++=year
or ^cc++++=or
so ^rb++++=so.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
Bailey ^np++++=Bailey
had ^vb+hv+vrb++=had
no ^at++++=no
clear ^jj+atrb+++=clear
impression ^nn++++=impression
of ^in++++=of
anything ^pn++++=anything
going ^vbg+++xvbg+=going
on ^in++++=on
in ^in++++=in
his ^pp$+pp3+++=his
mind ^nn++++=mind
during ^in++++=during
that ^dt+dem+++=that
vast ^jj+atrb+++=vast
period ^nn++++=period,
, ^zz++++=EXTRAWORD
except ^in++++=except
a ^at++++=a
vague ^nn++++=vague
wonder ^vb++++=wonder
at ^rb++++=at
his ^pp$+pp3+++=his
inability ^nn+nom+++=inability
to ^to+ncmp+++=to
throw ^vbi++++=throw
the ^ati++++=the
second ^od++++=second
medicine ^nn++++=medicine
bottle ^nn++++=bottle.
. ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
the ^ati++++=the
Malay ^nn++++=Malay
glanced ^vbd+++xvbn+=glanced
over ^in++++=over
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
the ^ati++++=the
crack ^nn++++=crack
of ^in++++=of
a ^at++++=a
rifle ^nn++++=rifle.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
flung ^vbd+++xvbnx+=flung
up ^rp++++=up
his ^pp$+pp3+++=his
arms ^nns++++=arms
and ^cc++++=and
came ^vbd+++xvbn+=came
down ^rp++++=down
upon ^in++++=upon
the ^ati++++=the
couch ^nn++++=couch.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs
Green ^np++++=Green
began ^vbd+++xvbn+=began
a ^at++++=a
dismal ^nn++++=dismal
shriek ^vb++++=shriek
that ^cs+sub+++=that
seemed ^vprf+++xvbn+=seemed
likely ^jj++++=likely
to ^to+jcmp+++=to
last ^ap++++=last
until ^in++++=until
Doomsday ^nn++++=Doomsday.
. ^zz++++=EXTRAWORD
Bailey ^np++++=Bailey
stared ^vbd+++xvbn+=stared
at ^rb++++=at
the ^ati++++=the
brown ^jj+atrb+++=brown
body ^nn++++=body
with ^in++++=with
its ^pp$+it+++=its
shoulder ^nn+nom+++=shoulder
blade ^nn++++=blade
driven ^vwbn+++xvbn+=driven
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
that ^cs+sub+++=that
writhed ^vprf+++xvbn+=writhed
painfully ^rb++++=painfully
across ^in+pl+++=across
his ^pp$+pp3+++=his
legs ^nns++++=legs
and ^cc++++=and
rapidly ^rb++++=rapidly
staining ^nn++++=staining
and ^cc++++=and
soaking ^vbg+++xvbg+=soaking
the ^ati++++=the
spotless ^jj+atrb+++=spotless
bandages ^nns+nom+++=bandages.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
the ^ati++++=the
long ^jj+atrb+++=long
krees ^nn++++=krees,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
reddish ^jj+atrb+++=reddish
streaks ^nns++++=streaks
upon ^in++++=upon
its ^pp$+it+++=its
blade ^nn++++=blade,
, ^zz++++=EXTRAWORD
that ^cs+sub+++=that
lay ^jjb+++xvbn+=lay
an ^at++++=an
inch ^nn++++=inch
beyond ^in++++=beyond
the ^ati++++=the
trembling ^jj+atrb++xvbg+=trembling
brown ^jj+atrb+++=brown
fingers ^nns+nom+++=fingers
upon ^in++++=upon
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
at ^in++++=at
Mrs ^npt++++=Mrs
Green ^np++++=Green,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
backed ^vprf+++xvbnx+=backed
hard ^jj++++=hard
against ^in++++=against
the ^ati++++=the
door ^nn++++=door
and ^cc++++=and
was ^vbd+bedz+aux++=was
staring ^vbg+++xvbgx+=staring
at ^rb++++=at
the ^ati++++=the
body ^nn++++=body
and ^cc++++=and
shrieking ^vbg+++xvbg+=shrieking
in ^in++++=in
gusty ^jj+atrb+++=gusty
outbursts ^nns++++=outbursts
as ^cs+sub+++=as
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
would ^md+prd+++=would
wake ^vb++++=wake
the ^ati++++=the
dead ^nn++++=dead.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
the ^ati++++=the
body ^nn++++=body
was ^vbd+bedz+aux++=was
shaken ^vpsv++by+xvbnx+=shaken
by ^in++++=by
one ^cd1++++=one
last ^rb++++=last
convulsive ^jj+atrb+++=convulsive
effort ^nn++++=effort.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Malay ^nn++++=Malay
gripped ^vbd+++xvbn+=gripped
the ^ati++++=the
krees ^nn++++=krees,
, ^zz++++=EXTRAWORD
tried ^vb+++xvbn+=tried
to ^to+vcmp+++=to
raise ^vbi++++=raise
himself ^ppl+pp3+++=himself
with ^in++++=with
his ^pp$+pp3+++=his
left ^jj+atrb++xvbn+=left
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
collapsed ^jj+++xvbn+=collapsed.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
raised ^vbd+++xvbnx+=raised
his ^pp$+pp3+++=his
head ^nn++++=head,
, ^zz++++=EXTRAWORD
stared ^j+++xvbn+=stared
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
at ^in++++=at
Mrs ^npt++++=Mrs
Green ^np++++=Green,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
twisting ^vbg+++xvbg+=twisting
his ^pp$+pp3+++=his
face ^nn++++=face
round ^in++++=round
looked ^vbd+++xvbn+=looked
at ^rb++++=at
Bailey ^np++++=Bailey.
. ^zz++++=EXTRAWORD
With ^in++++=With
a ^at++++=a
gasping ^nn++++=gasping
groan ^vb++++=groan
the ^ati++++=the
dying ^jj+atrb++xvbg+=dying
man ^nn++++=man
succeeded ^vbd+++xvbn+=succeeded
in ^in++++=in
clutching ^xvbg+++xvbg+=clutching
the ^ati++++=the
bed ^nn++++=bed
clothes ^nns++++=clothes
with ^in++++=with
his ^pp$+pp3+++=his
disabled ^jj+atrb+++=disabled
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
a ^at++++=a
violent ^jj+atrb+++=violent
effort ^nn++++=effort,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
hurt ^xvbn+++xvbn+=hurt
Bailey ^np++++=Bailey's
's ^$++++=EXTRAWORD
legs ^nns++++=legs
exceedingly ^rb+cnj+++=exceedingly,
, ^zz++++=EXTRAWORD
writhed ^j+++xvbn+=writhed
sideways ^jjb++++=sideways
towards ^in++++=towards
what ^wdt+who+++=what
must ^md+nec+++=must
be ^vb+be+vrb++=be
his ^pp$+pp3+++=his
last ^jj+atrb+++=last
victim ^nn++++=victim.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
something ^pn++++=something
seemed ^vbd+seem++xvbn+=seemed
released ^vbd+++xvbn+=released
in ^in++++=in
Bailey ^np++++=Bailey's
's ^$++++=EXTRAWORD
mind ^nn++++=mind
and ^cc++++=and
he ^pp3a+pp3+++=he
brought ^vbd+++xvbnx+=brought
down ^rb+phrv+++=down
the ^ati++++=the
second ^od++++=second
bottle ^nn++++=bottle
with ^in++++=with
all ^abn++++=all
his ^pp$+pp3+++=his
strength ^nn++++=strength
on ^in+cmpx+++=on
to ^in"++++=to
the ^ati++++=the
Malay ^np++++=Malay's
's ^$++++=EXTRAWORD
face ^nn++++=face.
. ^zz++++=EXTRAWORD
The ^ati++++=The
krees ^nn++++=krees
fell ^vbd+++xvbn+=fell
heavily ^rb++++=heavily
upon ^in++++=upon
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
" ^zz++++="Easy
easy ^jj++++=EXTRAWORD
with ^in++++=with
those ^dt+dem+++=those
legs ^nns++++=legs,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Bailey ^np++++=Bailey,
, ^zz++++=EXTRAWORD
as ^ql++++=as
young ^jj+atrb+++=young
Fitzgibbon ^np+++??+=Fitzgibbon
and ^cc++++=and
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
boating ^jj+atrb++xvbg+=boating
party ^nn++++=party
lifted ^vbd+++xvbn+=lifted
the ^ati++++=the
body ^nn++++=body
off ^rp+pl+++=off
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Young ^jj+atrb+++=Young
Fitzgibbon ^np+++??+=Fitzgibbon
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
white ^np++++=white
in ^in++++=in
the ^ati++++=the
face ^nn++++=face.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
mean ^vb+vprv+++=mean
to ^to+vcmp+++=to
kill ^vbi++++=kill
him ^pp3o+pp3+++=him,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
just ^rb+emph+++=just
as ^rb++++=as
well ^rb+cnj+++=well,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vpsv++agls+xvbn+=said
bailey ^np++++=Bailey.
. ^zz++++=EXTRAWORD
