It ^pp3+it+++=It's
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
afore ^in++++=afore
I ^pp1a+pp1+++=I
left ^vbd+++xvbnx+=left
hould ^nn+++??+=hould
of ^in++++=of
the ^ati++++=the
flipper ^nn++++=flipper
of ^in++++=of
the ^ati++++=the
spalpeen ^jj+++xvbn+=spalpeen
( ^zz++++=(which
which ^whp+who+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
till ^in++++=till
afther ^jjr++++=afther
her ^pp$+pp3+++=her
leddyship ^nn+nom+++=leddyship's
's ^vbz+bez+vrb++0=EXTRAWORD
futman ^jj++++=futman
had ^vbd+hvd+aux++=had
kicked ^vprf+++xvbnx+=kicked
us ^pp1o+pp1+++=us
both ^abx++++=both
down ^in++++=down
the ^ati++++=the
stairs ^nns++++=stairs,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
giv ^nn+++??+=giv'd
'd ^md+prd+vrb++0=EXTRAWORD
it ^pp3+it+++=it
such ^abl++++=such
a ^at++++=a
nate ^nn++++=nate
little ^ap++++=little
broth ^nn++++=broth
of ^in++++=of
a ^at++++=a
squaze ^nn+++??+=squaze
as ^cs+sub+++=as
made ^vbd+++xvbn+=made
it ^pp3+it+++=it
all ^rb++++=all
up ^rp++++=up
into ^in++++=into
raspberry ^nn++++=raspberry
jam ^nn++++=jam.
. ^zz++++=EXTRAWORD
" ^zz++++="Woully
woully ^jj+atrb+++=EXTRAWORD
wou ^nn+++??+=wou,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
" ^zz++++="pully
pully ^jj+atrb+++=EXTRAWORD
wou ^nn+++??+=wou,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he
- ^zz++++=-"Cot
" ^zz++++=EXTRAWORD
cot ^nn++++=EXTRAWORD
tam ^nn+++??+=tam!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
jist ^nn++++=jist
the ^ati++++=the
thruth ^nn+++??+=thruth
of ^in++++=of
the ^ati++++=the
rason ^nn+++??+=rason
why ^wrb+who+++=why
he ^pp3a+pp3+++=he
wears ^vbz++++=wears
his ^pp$+pp3+++=his
lift ^nn++++=lift
hand ^nn++++=hand
in ^in++++=in
a ^at++++=a
sling ^nn++++=sling.
. ^zz++++=EXTRAWORD
