Puppy ^np+++??+=PUPPY
it ^pp3+it+++=it
back ^jjb++++=back
and ^cc++++=and
forth ^rb+cnj+++=forth,
, ^zz++++=EXTRAWORD
crawled ^vprf+++xvbn+=crawled
to ^in++++=to
a ^at++++=a
bowl ^nn++++=bowl
of ^in++++=of
water ^nn++++=water,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
lifting ^nvbg+++xvbg+=lifting
it ^pp3+it+++=it
to ^in++++=to
his ^pp$+pp3+++=his
lips ^nns++++=lips,
, ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
a ^at++++=a
drink ^nn++++=drink:
: ^zz++++=EXTRAWORD
a ^at++++=a
drink ^nn++++=drink
from ^in++++=from
a ^at++++=a
dog ^nn++++=dog's
's ^$++++=EXTRAWORD
bowl ^nn++++=bowl.
. ^zz++++=EXTRAWORD
Josh ^np+++??+=Josh
joined ^vbd+++xvbn+=joined
her ^pp$+pp3+++=her
at ^in++++=at
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
let ^vbd+++xvbnx+=let
him ^pp3o+pp3+++=him
look ^nn++++=look.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
should ^md+nec+++=should
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
the ^ati++++=the
world ^nn++++=world
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
all ^abn++++=all
lessons ^nns++++=lessons
and ^cc++++=and
iguanas ^nns+++??+=iguanas
and ^cc++++=and
Nintendo ^np+++??+=Nintendo.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
also ^rb++++=also
this ^dt+dem+++=this
muddy ^jj+atrb+++=muddy
simple ^jj+atrb+++=simple
boy ^nn++++=boy
tethered ^vbd+++xvbn+=tethered
like ^in++++=like
an ^at++++=an
animal ^nn++++=animal.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
remembered ^vbd+vprv++xvbnx+=remembered
coming ^vbg+++xvbg+=coming
out ^rb+phrv+++=out
of ^in+ppvb+++=of
the ^ati++++=the
closet ^nn++++=closet
to ^to++++=to
find ^vbi+vprv+++=find
her ^pp3o+pp3+++=her
mother ^npt++++=mother's
's ^$++++=EXTRAWORD
scattered ^vpsv++agls+xvbnx+=scattered
lingerie ^nn+++??+=lingerie
and ^cc++++=and
the ^ati++++=the
ditchdigger ^jjr+atrb+++=ditchdigger's
's ^vbz+bez+vrb++0=EXTRAWORD
metal ^nn++++=metal
hanger ^nn++++=hanger
full ^jj++++=full
of ^in++++=of
orange ^nn++++=orange
flags ^nns++++=flags.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
remembered ^vbd+vprv++xvbnx+=remembered
waiting ^vbg+++xvbg+=waiting
outside ^jjb++++=outside
the ^ati++++=the
junior ^jj++++=junior
high ^jj++++=high
in ^in++++=in
the ^ati++++=the
bitter ^jj++++=bitter
cold ^jj++++=cold,
, ^zz++++=EXTRAWORD
the ^ati++++=the
snow ^nn++++=snow
falling ^vwbg+++xvbg+=falling
harder ^jjr++++=harder,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
counted ^vbd+++xvbnx+=counted
over ^in++++=over
and ^cc++++=and
over ^in++++=over
to ^to++++=to
two ^cd++++=two
hundred ^cd++++=hundred,
, ^zz++++=EXTRAWORD
promising ^jj++++=promising
herself ^ppl+pp3+++=herself
each ^dt++++=each
time ^nn++++=time
that ^tht+rel+++=that
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
reached ^vbd+++xvbnx+=reached
two ^cd++++=two
hundred ^cd++++=hundred
she ^pp3a+pp3+++=she
would ^md+prd+++=would
begin ^vb++++=begin
the ^ati++++=the
long ^rb++++=long
walk ^nn++++=walk
back ^jjb++++=back
God ^np++++=God,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
have ^vb+hv+aux++=have
killed ^vprf+++xvbnx+=killed
for ^in++++=for
just ^rb+emph+++=just
one ^cd1++++=one
righteous ^jj+atrb+++=righteous
adult ^nn++++=adult
to ^to++++=to
confront ^vbi++++=confront
her ^pp3o+pp3+++=her
mother ^npt++++=mother,
, ^zz++++=EXTRAWORD
shake ^vb++++=shake
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
idiot ^nn++++=idiot,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
your ^pp$+pp2+++=your
child ^nn++++=child,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
child ^nn++++=child
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
" ^zz++++="
" ^zz++++="So
so ^ql++++=EXTRAWORD
what ^wdt+who+++=what
were ^vbd+bed+vrb++=were
you ^pp2+pp2+++=you
guys ^nns++++=guys
thinking ^vwbg+++xvbg+=thinking
of ^in++++=of
naming ^xvbg+++xvbg+=naming
him ^pp3o+pp3+++=him?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
woman ^nn++++=woman
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
coming ^vbg+++xvbg+=coming
out ^rb+phrv+++=out
of ^in+ppvb+++=of
the ^ati++++=the
kitchen ^nn++++=kitchen.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cruelty ^nn++++=cruelty
and ^cc++++=and
ignorance ^nn+nom+++=ignorance
just ^rb+emph+++=just
radiated ^vbd+++xvbn+=radiated
from ^in++++=from
her ^pp$+pp3+++=her
fat ^nn++++=fat
face ^nn++++=face,
, ^zz++++=EXTRAWORD
with ^in++++=with
its ^pp$+it+++=its
little ^jj++++=little
smear ^vb++++=smear
of ^in++++=of
lipstick ^nn++++=lipstick.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
afraid ^jj+pred+++=afraid
we ^pp1a+pp1+++=we
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+aux++=be
taking ^vbg+++xvbgx+=taking
him ^pp3o+pp3+++=him
after ^in++++=after
all ^abn++++=all,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Marie ^np++++=Marie
said ^vbd+vpub++xvbn+=said
coldly ^rb++++=coldly.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
an ^at++++=an
uproar ^nn++++=uproar
from ^in++++=from
Abbie ^np+++??+=Abbie!
! ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Josh ^np+++??+=Josh
she ^pp3a+pp3+++=she
would ^md+prd+++=would
have ^md"++pmd"++=have
to ^md+nec+++=to
praise ^vb++++=praise
him ^pp3o+pp3+++=him
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
maybe ^rb+hdg+++=maybe
buy ^vb++++=buy
him ^pp3o+pp3+++=him
the ^ati++++=the
Italian ^jj+atrb+++=Italian
Loaves ^nns++++=Loaves
Expansion ^nn++++=Expansion
Pak ^np+++??+=Pak
hissed ^vbd+++xvbn+=hissed
something ^pn++++=something
to ^in++++=to
Abbie ^np+++??+=Abbie,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
moving ^vbg+++xvbgx+=moving
out ^rp+pl+++=out
through ^in++++=through
the ^ati++++=the
trashed ^jj+atrb++xvbn+=trashed
kitchen ^nn++++=kitchen
( ^zz++++=(past
past ^jjb++++=EXTRAWORD
some ^dti++++=some
kind ^rb++++=kind
of ^rb"++++=of
crankshaft ^nn++++=crankshaft
on ^in++++=on
a ^at++++=a
cookie ^nn++++=cookie
sheet ^nn++++=sheet,
, ^zz++++=EXTRAWORD
past ^jjb++++=past
a ^at++++=a
partial ^jj+atrb+++=partial
red ^jj+atrb+++=red
pepper ^nn++++=pepper
afloat ^jj++++=afloat
in ^in++++=in
a ^at++++=a
can ^nn++++=can
of ^in++++=of
green ^jj+atrb+++=green
paint ^nn++++=paint)
) ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
lady ^nn++++=lady
of ^in++++=of
the ^ati++++=the
house ^nn++++=house
scuttled ^vbd+++xvbn+=scuttled
after ^in++++=after
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying,
, ^zz++++=EXTRAWORD
wait ^vb++++=wait,
, ^zz++++=EXTRAWORD
wait ^vb++++=wait,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
could ^md+pos+++=could
have ^vb+hv+vrb++=have
it ^pp3+it+++=it
free ^jj++++=free,
, ^zz++++=EXTRAWORD
please ^uh++++=please
take ^vb++++=take
it ^pp3+it+++=it
she ^pp3a+pp3+++=she
just ^rb+emph+++=just
really ^rb+emph+++=really
wanted ^vbd+++xvbn+=wanted
them ^pp3o+pp3+++=them
to ^to++++=to
have ^vbi++vrb++=have
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
Marie ^np++++=Marie
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
not ^xnot++not++=not
be ^vb+be+vrb++=be
possible ^jj+pred+++=possible
for ^in++++=for
them ^pp3o+pp3+++=them
to ^to++++=to
take ^vbi++++=take
it ^pp3+it+++=it
at ^in++++=at
this ^dt+dem+++=this
time ^nn++++=time,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
feeling ^xvbg+++xvbg+=feeling
being ^vbg+beg++xvbg+=being
that ^dt+dem+++=that
one ^cd1++++=one
really ^rb+emph+++=really
should ^md+nec+++=shouldn't
n't ^xnot++not++0=EXTRAWORD
possess ^nns+nom+++=possess
something ^pn++++=something
if ^cs+cnd+++=if
one ^cd1++++=one
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
up ^rp++++=up
to ^to++++=to
properly ^rb++splt++=properly
caring ^vbg+++xvbg+=caring
for ^in+ppvb+++=for
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,"
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
woman ^nn++++=woman
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
slumping ^jj+++xvbg+=slumping
in ^in++++=in
the ^ati++++=the
doorway ^nn++++=doorway,
, ^zz++++=EXTRAWORD
the ^ati++++=the
scrambling ^jj+atrb+++=scrambling
pup ^nn++++=pup
on ^in++++=on
one ^cd1++++=one
shoulder ^nn+nom+++=shoulder.
. ^zz++++=EXTRAWORD
Out ^rp+pl+++=Out
in ^in++++=in
the ^ati++++=the
Lexus ^np+++??+=Lexus,
, ^zz++++=EXTRAWORD
Abbie ^np+++??+=Abbie
began ^vbd+++xvbn+=began
to ^to++++=to
cry ^vbi++++=cry
softly ^rb+cnj+++=softly,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying,
, ^zz++++=EXTRAWORD
" ^zz++++="Really,
really ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
the ^ati++++=the
perfect ^jj+atrb+++=perfect
pup ^nn++++=pup
for ^in++++=for
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
nice ^jj+atrb+++=nice
pup ^nn++++=pup,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Marie ^np++++=Marie
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
going ^md"++pmd"++=going
to ^md+prd+++=to
contribute ^vb++++=contribute
to ^in++++=to
a ^at++++=a
situation ^nn+nom+++=situation
like ^in++++=like
this ^dt+dem+++=this
in ^in++++=in
even ^rb++++=even
the ^ati++++=the
smallest ^jjt+atrb+++=smallest
way ^nn++++=way.
. ^zz++++=EXTRAWORD
Simply ^rb++++=Simply
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
going ^md"++pmd"++=going
to ^md+prd+++=to
do ^vb++++=do
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boy ^nn++++=boy
came ^vbd+++xvbn+=came
to ^in++++=to
the ^ati++++=the
fence ^nn++++=fence.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
only ^rb+down+++=only
she ^pp3a+pp3+++=she
could ^md+pos+++=could
say ^vb+vpub+++=say
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
single ^jj+atrb+++=single
look ^nn++++=look,
, ^zz++++=EXTRAWORD
Life ^nn++++=Life
will ^md+prd+++=will
not ^xnot++not++=not
necessarily ^rb++++=necessarily
always ^rb++++=always
be ^vb+be+vrb++=be
like ^in++++=like
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
life ^nn++++=life
could ^md+pos+++=could
suddenly ^rb++splt++=suddenly
blossom ^vb++++=blossom
into ^in++++=into
something ^pn++++=something
wonderful ^jj++++=wonderful.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
can ^md+pos+++=can
happen ^vb+++??+=happen.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
happened ^vbd+++xvbn+=happened
to ^to+vcmp+++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
secret ^nn++++=secret
looks ^nns++++=looks,
, ^zz++++=EXTRAWORD
looks ^nns++++=looks
that ^tht+rel+++=that
conveyed ^jj+++xvbn+=conveyed
a ^at++++=a
world ^nn++++=world
of ^in++++=of
meaning ^xvbg+++xvbg+=meaning
with ^in++++=with
their ^pp$+pp3+++=their
subtle ^jj+atrb+++=subtle
blah ^nn+++??+=blah
blah ^nn+++??+=blah
blah ^nn+++??+=blah
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
all ^abn++++=all
bullshit ^nn+++??+=bullshit.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
bullshit ^nn+++??+=bullshit
was ^vbd+bedz+vrb++=was
a ^at++++=a
call ^nn++++=call
to ^in++++=to
Child ^nn++++=Child
Welfare ^nn++++=Welfare,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
she ^pp3a+pp3+++=she
knew ^vbd+vprv++xvbnx+=knew
Linda ^np++++=Linda
Berling ^np+nom++??+=Berling,
, ^zz++++=EXTRAWORD
a ^at++++=a
very ^ql+amp+++=very
no ^at++++=no-nonsense
- ^zz++++=EXTRAWORD
nonsense ^nn++++=EXTRAWORD
lady ^npt++++=lady
who ^whp+rel+subj++=who
would ^md+prd+++=would
snatch ^vb++++=snatch
this ^dt+dem+++=this
poor ^jj+atrb+++=poor
kid ^nn++++=kid
away ^rp+pl+++=away
so ^ql++++=so
fast ^rb++++=fast
it ^pp3+it+++=it
would ^md+prd+++=would
make ^vb++++=make
that ^dt+dem+++=that
fat ^nn++++=fat
mother ^nn++++=mother's
's ^vbz+bez+vrb++0=EXTRAWORD
thick ^jj+atrb+++=thick
head ^jjb+atrb+++=head
spin ^nn++++=spin.
. ^zz++++=EXTRAWORD
Callie ^np+++??+=Callie
shouted ^vbd+vpub++xvbn+=shouted,
, ^zz++++=EXTRAWORD
" ^zz++++="Bo,
bo ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
back ^jjb++++=back
in ^in++++=in
a ^at++++=a
sec ^nnu++++=sec!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and,
, ^zz++++=EXTRAWORD
swiping ^jj+++xvbg+=swiping
the ^ati++++=the
corn ^nn++++=corn
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
way ^nn++++=way
with ^in++++=with
her ^pp$+pp3+++=her
non ^&fw++++=non-pup
- ^zz++++=EXTRAWORD
pup ^nn++++=EXTRAWORD
arm ^nn++++=arm,
, ^zz++++=EXTRAWORD
walked ^j+++xvbn+=walked
until ^cs+sub+++=until
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing
but ^cc++++=but
corn ^nn++++=corn
and ^cc++++=and
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
small ^jj++++=small
it ^pp3+it+++=it
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
move ^vb++++=move
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
set ^vbd+++xvbnx+=set
it ^pp3+it+++=it
down ^rp++++=down,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
sniffed ^vbd+++xvbn+=sniffed
and ^cc+phrs+++=and
tumped ^vbd+++xvbn+=tumped
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
did ^vbd+dod+aux++=did
it ^pp3+it+++=it
matter ^nn++++=matter,
, ^zz++++=EXTRAWORD
drowned ^j+++xvbn+=drowned
in ^in++++=in
a ^at++++=a
bag ^nn++++=bag
or ^cc++++=or
starved ^vprf+++xvbn+=starved
in ^in++++=in
the ^ati++++=the
corn ^nn++++=corn?
? ^zz++++=EXTRAWORD
This ^dt+dem+++=This
way ^nn++++=way
Jimmy ^np++++=Jimmy
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
have ^md"++pmd"++=have
to ^md+nec+++=to
do ^vb++++=do
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
enough ^qlp++++=enough
to ^to++++=to
worry ^vbi+vprv+++=worry
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boy ^nn++++=boy
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
first ^rb++splt++=first
met ^vprf+++xvbnx+=met
with ^in+ppvb+++=with
hair ^nn++++=hair
to ^in++++=to
his ^pp$+pp3+++=his
waist ^nn++++=waist
was ^vbd+bedz+vrb++=was
now ^rn+tm+++=now
this ^dt+dem+++=this
old ^jj+atrb+++=old
man ^nn++++=man
shrunk ^jj++++=shrunk
with ^in++++=with
worry ^nn++++=worry.
. ^zz++++=EXTRAWORD
As ^in++++=As
far ^in"+pl+++=far
as ^in"++++=as
the ^ati++++=the
money ^nn++++=money,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
sixty ^cd++++=sixty
hidden ^jj+++xvbn+=hidden
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++0=She'd
'd ^md+prd+aux++=EXTRAWORD
give ^vb++++=give
him ^pp3o+pp3+++=him
twenty ^cd++++=twenty
of ^in++++=of
that ^dt+pdem+++=that
and ^cc++++=and
go ^vb++++=go,
, ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
people ^nns++++=people
who ^whp+rel+subj++=who
bought ^vbd+++xvbn+=bought
the ^ati++++=the
pup ^nn++++=pup
were ^vbd+bed+vrb++=were
supernice ^nn+++??+=supernice."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
look ^vb++++=look
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
look ^vb++++=look
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
in ^in++++=in
her ^pp$+pp3+++=her
head ^jjb++++=head
as ^ql++++=as
she ^pp3a+pp3+++=she
raced ^vbd+++xvbnx+=raced
away ^rp+pl+++=away
through ^in++++=through
the ^ati++++=the
corn ^nn++++=corn.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
walking ^vbg+++xvbgx+=walking
along ^in++++=along
Teallback ^np+++??+=Teallback
Road ^npl++++=Road
like ^in++++=like
a ^at++++=a
sportwalker ^jjr++++=sportwalker,
, ^zz++++=EXTRAWORD
like ^in++++=like
some ^dti++++=some
lady ^nn++++=lady
who ^whp+rel+subj++=who
walked ^vbd+++xvbn+=walked
every ^at++++=every
night ^nn++++=night
to ^to++++=to
get ^vbi++++=get
slim ^jj++++=slim,
, ^zz++++=EXTRAWORD
except ^cs+sub+++=except
that ^cs"++++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
nowhere ^rb+pl+++=nowhere
near ^in+pl+++=near
slim ^jj++++=slim,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
knew ^vbd+vprv+tht0+xvbnx+=knew
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
also ^rb++++=also
knew ^vbd+vprv++xvbn+=knew
that ^tht+vcmp+++=that
when ^wrb+who+++=when
sportwalking ^nvbg+++xvbg+=sportwalking
you ^pp2+pp2+++=you
did ^vbd+dod+aux++=did
not ^xnot++not++=not
wear ^vb++++=wear
jeans ^nns++++=jeans
and ^cc++++=and
unlaced ^jj+atrb++xvbn+=unlaced
hiking ^nn++++=hiking
boots ^nns++++=boots.
. ^zz++++=EXTRAWORD
Ha ^uh++++=Ha
ha ^uh++++=ha.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
stupid ^jj++++=stupid.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
just ^rb+emph+++=just
made ^vbd+++xvbn+=made
bad ^jj+atrb+++=bad
choices ^nns++++=choices.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
remembered ^vbd+vprv++xvbnx+=remembered
Sister ^nn++++=Sister
Lynette ^np+nom++??+=Lynette
saying ^vwbg+++xvbg+=saying,
, ^zz++++=EXTRAWORD
" ^zz++++="Callie,
callie ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
bright ^jj+pred+++=bright
enough ^dt++++=enough
but ^cc++++=but
you ^pp2+pp2+++=you
incline ^nn++++=incline
toward ^in++++=toward
that ^dt+pdem+++=that
which ^whp+rel+subj++=which
does ^vbz+doz+aux++=does
not ^xnot++not++=not
benefit ^vb++++=benefit
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Yep ^np+++??+=Yep,
, ^zz++++=EXTRAWORD
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
Sister ^nn++++=Sister,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
got ^vbd+++xvbn+=got
that ^dt+dem+++=that
right ^jj++++=right,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
the ^ati++++=the
nun ^nn++++=nun
in ^in++++=in
her ^pp$+pp3+++=her
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
what ^wdt+who+++=what
the ^ati++++=the
hell ^nn++++=hell.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
the ^ati++++=the
heck ^nn++++=heck.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
things ^nns++++=things
got ^vbd+++xvbn+=got
easier ^jjr++++=easier
moneywise ^rb+cnj+++=moneywise,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
get ^vb++++=get
some ^dti++++=some
decent ^jj+atrb+++=decent
tennis ^nn++++=tennis
shoes ^nns++++=shoes
and ^cc++++=and
start ^vb++++=start
walking ^vbg+++xvbg+=walking
and ^cc+phrs+++=and
get ^vb++++=get
slim ^jj++++=slim.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
start ^nn++++=start
night ^nn++++=night
school ^nn++++=school.
. ^zz++++=EXTRAWORD
Slimmer ^np+++??+=Slimmer.
. ^zz++++=EXTRAWORD
Maybe ^rb+hdg+++=Maybe
medical ^jj+atrb+++=medical
technology ^nn++++=technology.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
never ^rb++splt++=never
going ^md"++pmd"++=going
to ^md+prd+++=to
be ^vbi++vrb++=be
really ^rb+emph+++=really
slim ^jj++++=slim.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Jimmy ^nn++++=Jimmy
liked ^vbd+++xvbn+=liked
her ^pp$+pp3+++=her
the ^ati++++=the
way ^nn++++=way
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
she ^pp3a+pp3+++=she
liked ^vbd+++xvbnx+=liked
him ^pp3o+pp3+++=him
the ^ati++++=the
way ^nn++++=way
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
Which ^whp+who+++=Which
maybe ^rb+hdg+++=maybe
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
love ^nn++++=love
was ^vbd+bedz+vrb++=was:
: ^zz++++=EXTRAWORD
liking ^nc+++xvbg+=liking
someone ^pn++++=someone
how ^wrb+who+++=how
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
and ^cc++++=and
doing ^jj+atrb++xvbg+=doing
things ^nns++++=things
to ^to++++=to
help ^vbi++++=help
him ^pp3o+pp3+++=him
get ^vb++++=get
even ^rb++++=even
better ^jjr++++=better.
. ^zz++++=EXTRAWORD
Like ^in++++=Like
right ^jj++++=right
now ^rn+tm+++=now
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
helping ^vbg+++xvbgx+=helping
Jimmy ^np++++=Jimmy
by ^in++++=by
making ^xvbg+++xvbg+=making
his ^pp$+pp3+++=his
life ^nn++++=life
easier ^jjr++++=easier
by ^in++++=by
killing ^xvbg+++xvbg+=killing
something ^pn++++=something
so ^ql++++=so
he ^pp3a+pp3+++=he
no ^rb++++=no.
. ^zz++++=EXTRAWORD
All ^abn++++=All
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
doing ^vbg+++xvbgx+=doing
was ^vbd+bedz+aux++=was
walking ^vbg+++xvbgx+=walking,
, ^zz++++=EXTRAWORD
walking ^vbg+++xvbg+=walking
away ^rb+phrv+++=away
from ^in+ppvb+++=from
What ^wdt+who+++=What
had ^vb+hv+aux++=had
she ^pp3a+pp3+++=she
just ^rb+emph+++=just
said ^vbd+vpub++xvbn+=said?
? ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
good ^jj++++=good.
. ^zz++++=EXTRAWORD
Love ^nn++++=Love
was ^vbd+bedz+aux++=was
liking ^vbg+++xvbgx+=liking
someone ^pn++++=someone
how ^wrb+who+++=how
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
and ^cc++++=and
doing ^jj+atrb++xvbg+=doing
things ^nns++++=things
to ^to++++=to
help ^vbi++++=help
