Dusk ^nn++++=Dusk
present ^jj+atrb+++=present
and ^cc++++=and
the ^ati++++=the
moment ^nn++++=moment
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
the ^ati++++=the
figure ^nn++++=figure
there ^ex+pex+++=there
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
considerable ^jj+atrb+++=considerable
interval ^nn+nom+++=interval.
. ^zz++++=EXTRAWORD
A ^at++++=A
couple ^nn++++=couple
of ^in++++=of
minutes ^nns++++=minutes
later ^rbr+tm+++=later
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
his ^pp$+pp3+++=his
way ^nn++++=way
cautiously ^rb++++=cautiously
downstairs ^jjb++++=downstairs
and ^cc++++=and
was ^vbd+bedz+aux++=was
standing ^vbg+++xvbgx+=standing
on ^in++++=on
the ^ati++++=the
garden ^nn++++=garden
path ^nn++++=path
in ^in++++=in
the ^ati++++=the
moonlight ^nn++++=moonlight.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
as ^ql++++=as
he ^pp3a+pp3+++=he
stood ^vbd+++xvbnx+=stood
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
mind ^vb+++??+=mind
filled ^vbd+++xvbn+=filled
with ^in++++=with
the ^ati++++=the
stories ^nns++++=stories
the ^ati++++=the
proprietor ^nn++++=proprietor
had ^vbd+hvd+aux++=had
told ^vprf+++xvbnx+=told
a ^ap++++=a
few ^ap"++++=few
days ^nns++++=days
before ^cs+sub+++=before
of ^in++++=of
the ^ati++++=the
superstitions ^nns+nom+++=superstitions
that ^tht+rel+subj++=that
still ^rb++++=still
lived ^vbd+++xvbn+=lived
in ^in++++=in
the ^ati++++=the
popular ^jj+atrb+++=popular
imagination ^nn+nom+++=imagination
and ^cc++++=and
haunted ^jj+++xvbn+=haunted
this ^dt+dem+++=this
little ^jj+atrb+++=little,
, ^zz++++=EXTRAWORD
remote ^jj+atrb+++=remote
pine ^nn++++=pine-clad
- ^zz++++=EXTRAWORD
clad ^jj+atrb+++=EXTRAWORD
valley ^nn++++=valley.
. ^zz++++=EXTRAWORD
The ^ati++++=The
thought ^nn+++xvbn+=thought
of ^in++++=of
that ^dt+dem+++=that
girl ^nn++++=girl
sickened ^vwbn+++xvbn+=sickened
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
odour ^nn++++=odour
of ^in++++=of
newly ^rb++++=newly-turned
- ^zz++++=EXTRAWORD
turned ^vbd+++xvbn+=EXTRAWORD
earth ^nn++++=earth
remained ^vbd+++xvbn+=remained
in ^in++++=in
his ^pp$+pp3+++=his
nostrils ^nns++++=nostrils
and ^cc++++=and
made ^vbd+++xvbn+=made
his ^pp$+pp3+++=his
gorge ^nn+++??+=gorge
rise ^vb++++=rise.
. ^zz++++=EXTRAWORD
Utterly ^rb+amp+++=Utterly
and ^cc+phrs+++=and
vigorously ^rb++++=vigorously
he ^pp3a+pp3+++=he
rejected ^vbd+++xvbnx+=rejected
the ^ati++++=the
monstrous ^jj+atrb+++=monstrous
fictions ^nns+nom+++=fictions
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
for ^in++++=for
all ^abn++++=all
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
not ^xnot++not++=not
prevent ^vb++++=prevent
their ^pp$+pp3+++=their
touching ^jj+++xvbg+=touching
his ^pp$+pp3+++=his
imagination ^nn+nom+++=imagination
as ^ql++++=as
he ^pp3a+pp3+++=he
stood ^vbd+++xvbnx+=stood
there ^rn+pl+++=there
in ^in++++=in
the ^ati++++=the
early ^jj+atrb+++=early
hours ^nns++++=hours
of ^in++++=of
the ^ati++++=the
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
alone ^rb++++=alone
with ^in++++=with
night ^nn++++=night
and ^cc++++=and
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
The ^ati++++=The
spell ^nn++++=spell
was ^vbd+bedz+vrb++=was
undeniable ^jj+pred+++=undeniable;
; ^zz++++=EXTRAWORD
only ^rb+down+++=only
a ^at++++=a
mind ^nn++++=mind
without ^in++++=without
sensibility ^nn+nom+++=sensibility
could ^md+pos+++=could
have ^vb+hv+aux++=have
ignored ^vprf+++xvbnx+=ignored
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
searched ^vbd+++xvbnx+=searched
the ^ati++++=the
little ^ap++++=little
garden ^nn++++=garden
from ^in++++=from
end ^nn++++=end
to ^in++++=to
end ^nn++++=end.
. ^zz++++=EXTRAWORD
Empty ^jj++++=Empty!
! ^zz++++=EXTRAWORD
Opposite ^jj++++=Opposite
the ^ati++++=the
high ^jj+atrb+++=high
gate ^nn++++=gate
he ^pp3a+pp3+++=he
stopped ^vbd+++xvbnx+=stopped,
, ^zz++++=EXTRAWORD
peering ^vbg+++xvbg+=peering
through ^in++++=through
the ^ati++++=the
iron ^nn++++=iron
bars ^nns++++=bars,
, ^zz++++=EXTRAWORD
wet ^jj++++=wet
with ^in++++=with
dew ^nn++++=dew
to ^in++++=to
his ^pp$+pp3+++=his
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
Far ^rb+pl+++=Far
across ^in+pl+++=across
the ^ati++++=the
intervening ^jj+atrb++xvbg+=intervening
fields ^nns++++=fields
he ^pp3a+pp3+++=he
fancied ^vbd+++xvbnx+=fancied
something ^pn++++=something
moved ^vbd+++xvbn+=moved.
. ^zz++++=EXTRAWORD
A ^at++++=A
second ^od++++=second
later ^rbr+tm+++=later
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
sure ^jj+pred+++=sure
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Something ^pn++++=Something
down ^rp++++=down
there ^rn+pl+++=there
to ^in++++=to
the ^ati++++=the
right ^nn++++=right
beyond ^in++++=beyond
the ^ati++++=the
trees ^nns++++=trees
was ^vbd+bedz+vrb++=was
astir ^rb++++=astir.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
cemetery ^nn+nom+++=cemetery.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
this ^dt+dem+++=this
definite ^jj+atrb+++=definite
discovery ^nn+nom+++=discovery
sent ^vbd+++xvbn+=sent
a ^at++++=a
shudder ^nn++++=shudder
of ^in++++=of
terror ^nn++++=terror
and ^cc++++=and
disgust ^nn++++=disgust
through ^in++++=through
him ^pp3o+pp3+++=him
from ^in++++=from
head ^nn++++=head
to ^in++++=to
foot ^nn++++=foot.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
framed ^vbd+++xvbnx+=framed
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
his ^pp$+pp3+++=his
friend ^nn++++=friend
with ^in++++=with
his ^pp$+pp3+++=his
lips ^nns++++=lips,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
the ^ati++++=the
sound ^nn++++=sound
did ^vbd+dod+aux++=did
not ^xnot++not++=not
come ^vprf+++xvbn+=come
forth ^np++++=forth.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
deeper ^jjr+atrb+++=deeper
instinct ^nn++++=instinct
warned ^vbd+vpub++xvbn+=warned
him ^pp3o+pp3+++=him
to ^to++++=to
hold ^vbi+vprv+++=hold
it ^pp3+it+++=it
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead,
, ^zz++++=EXTRAWORD
after ^in++++=after
incredible ^jj+atrb+++=incredible
efforts ^nns++++=efforts,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
climbed ^vbd+++xvbnx+=climbed
that ^dt+dem+++=that
iron ^nn++++=iron
gate ^nn++++=gate
and ^cc++++=and
dropped ^vbd+++xvbn+=dropped
down ^rp++++=down
into ^in++++=into
the ^ati++++=the
soaking ^jj+atrb++xvbg+=soaking
grass ^nn++++=grass
upon ^in++++=upon
the ^ati++++=the
other ^ap++++=other
side ^nn++++=side.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
advantage ^nn+nom+++=advantage
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
cover ^nn++++=cover
he ^pp3a+pp3+++=he
could ^md+pos+++=could
find ^vb+vprv+++=find,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ran ^vbd+++xvbnx+=ran,
, ^zz++++=EXTRAWORD
swiftly ^rb++++=swiftly
and ^cc+phrs+++=and
stealthily ^rb+cnj+++=stealthily,
, ^zz++++=EXTRAWORD
towards ^in++++=towards
the ^ati++++=the
cemetery ^nn+nom+++=cemetery.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
way ^nn++++=way,
, ^zz++++=EXTRAWORD
without ^in++++=without
quite ^abl++++=quite
knowing ^jj+++xvbg+=knowing
why ^wrb+who+++=why
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
picked ^vbd+++xvbnx+=picked
up ^rp++++=up
a ^at++++=a
heavy ^jj+atrb+++=heavy
stick ^nn++++=stick;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
moment ^nn++++=moment
later ^rbr+tm+++=later
he ^pp3a+pp3+++=he
stood ^vbd+++xvbnx+=stood
beside ^in+pl+++=beside
the ^ati++++=the
low ^jj+atrb+++=low
wall ^nn++++=wall
that ^tht+rel+++=that
separated ^jj+++xvbn+=separated
the ^ati++++=the
fields ^nns++++=fields
from ^in++++=from
the ^ati++++=the
churchyard ^nn++++=churchyard
- ^zz++++=-stood
stood ^vbd+++xvbn+=EXTRAWORD
and ^cc+phrs+++=and
stared ^vbd+++xvbn+=stared.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There,
, ^zz++++=EXTRAWORD
beside ^in+pl+++=beside
the ^ati++++=the
tombstones ^nns+++??+=tombstones,
, ^zz++++=EXTRAWORD
with ^in++++=with
their ^pp$+pp3+++=their
hideous ^jj+atrb+++=hideous
metal ^nn++++=metal
wreaths ^nns++++=wreaths
and ^cc++++=and
crowns ^nns++++=crowns
of ^in++++=of
faded ^jj+atrb++xvbn+=faded
flowers ^nns+nom+++=flowers,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
out ^rp+pl+++=out
the ^ati++++=the
figure ^nn++++=figure
of ^in++++=of
his ^pp$+pp3+++=his
friend ^nn++++=friend;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
stooping ^vbg+++xvbgx+=stooping,
, ^zz++++=EXTRAWORD
crouched ^j+++xvbn+=crouched
down ^rp++++=down
upon ^in++++=upon
the ^ati++++=the
ground ^nn++++=ground;
; ^zz++++=EXTRAWORD
behind ^in+pl+++=behind
him ^pp3o+pp3+++=him
rose ^vbd+++xvbn+=rose
a ^at++++=a
couple ^nn++++=couple
of ^in++++=of
bushy ^jj+atrb+++=bushy
yew ^nn++++=yew
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
against ^in++++=against
the ^ati++++=the
dark ^nn++++=dark
of ^in++++=of
which ^whp+rel+pied++=which
his ^pp$+pp3+++=his
form ^nn++++=form
was ^vbd+bedz+vrb++=was
easily ^rb++++=easily
visible ^jj+pred+++=visible.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
alone ^rb++++=alone;
; ^zz++++=EXTRAWORD
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
bending ^nvbg+++xvbg+=bending
close ^jj++++=close
over ^rp++++=over
him ^pp3o+pp3+++=him
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
another ^dt++++=another
figure ^nn++++=figure
- ^zz++++=-a
a ^at++++=EXTRAWORD
slight ^jj++++=slight,
, ^zz++++=EXTRAWORD
shadowy ^jj+atrb+++=shadowy,
, ^zz++++=EXTRAWORD
slim ^jj+atrb+++=slim
figure ^nn++++=figure.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
time ^nn++++=time
the ^ati++++=the
big ^jj+atrb+++=big
man ^nn++++=man
found ^vbd+vprv++xvbn+=found
his ^pp$+pp3+++=his
voice ^nn++++=voice
and ^cc++++=and
called ^vbd+++xvbn+=called
aloud ^rb++++=aloud:
: ^zz++++=EXTRAWORD
' ^zz++++='Morton,
morton ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Morton ^np++++=Morton!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried.
. ^zz++++=EXTRAWORD
' ^zz++++='What,
what ^wdt+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
heaven ^nn++++=heaven,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
doing ^vbg+++xvbg+=doing?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
matter ^nn++++=matter?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
And ^cc++++=And
the ^ati++++=the
instant ^nn+nom+++=instant
his ^pp$+pp3+++=his
deep ^jj+atrb+++=deep
voice ^nn++++=voice
broke ^vbd+++xvbn+=broke
the ^ati++++=the
stillness ^nns+nom+++=stillness
of ^in++++=of
the ^ati++++=the
night ^nn++++=night
with ^in++++=with
its ^pp$+it+++=its
clamour ^nn++++=clamour,
, ^zz++++=EXTRAWORD
the ^ati++++=the
little ^jj+atrb+++=little
figure ^nn++++=figure,
, ^zz++++=EXTRAWORD
half ^abn++++=half
hiding ^jj+++xvbg+=hiding
his ^pp$+pp3+++=his
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
turned ^j+++xvbn+=turned
about ^in++++=about
and ^cc++++=and
faced ^vbd+++xvbn+=faced
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
saw ^vbd+vprv++xvbnx+=saw
a ^at++++=a
white ^jj+atrb+++=white
face ^nn++++=face
with ^in++++=with
shining ^xvbg+++xvbg+=shining
eyes ^nns++++=eyes
and ^cc++++=and
teeth ^nns++++=teeth
as ^ql++++=as
the ^ati++++=the
form ^nn++++=form
rose ^vbd+++xvbn+=rose;
; ^zz++++=EXTRAWORD
the ^ati++++=the
moonlight ^nn++++=moonlight
painted ^vbd+++xvbn+=painted
it ^pp3+it+++=it
with ^in++++=with
its ^pp$+it+++=its
own ^ap++++=own
strange ^jj+atrb+++=strange
pallor ^nn++++=pallor;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
weird ^jj+pred+++=weird,
, ^zz++++=EXTRAWORD
unreal ^jj++++=unreal,
, ^zz++++=EXTRAWORD
horrible ^jj++++=horrible;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
across ^in+pl+++=across
the ^ati++++=the
mouth ^nn++++=mouth,
, ^zz++++=EXTRAWORD
downwards ^rb++++=downwards
from ^in++++=from
the ^ati++++=the
lips ^nns++++=lips
to ^in++++=to
the ^ati++++=the
chin ^nn++++=chin,
, ^zz++++=EXTRAWORD
ran ^j+++xvbn+=ran
a ^at++++=a
deep ^jj+atrb+++=deep
stain ^nn++++=stain
of ^in++++=of
crimson ^nn+++??+=crimson.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
moment ^nn++++=moment
the ^ati++++=the
figure ^nn++++=figure
slid ^vbd+++xvbn+=slid
with ^in++++=with
a ^at++++=a
queer ^jj++++=queer,
, ^zz++++=EXTRAWORD
gliding ^vbg+++xvbg+=gliding
motion ^nn++++=motion
towards ^in++++=towards
the ^ati++++=the
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
disappeared ^vpsv++agls+xvbn+=disappeared
among ^in++++=among
the ^ati++++=the
yews ^nns+++??+=yews
and ^cc++++=and
tombstones ^nns+++??+=tombstones
in ^in++++=in
the ^ati++++=the
direction ^nn+nom+++=direction
of ^in++++=of
the ^ati++++=the
church ^nn++++=church.
. ^zz++++=EXTRAWORD
The ^ati++++=The
heavy ^jj+atrb+++=heavy
stick ^nn++++=stick,
, ^zz++++=EXTRAWORD
hurled ^xvbn+++xvbn+=hurled
whirling ^vbg+nom++xvbg+=whirling
after ^in++++=after
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
fell ^j+++xvbn+=fell
harmlessly ^rb++++=harmlessly
halfway ^rb+cnj+++=halfway,
, ^zz++++=EXTRAWORD
knocking ^vbg+++xvbg+=knocking
a ^at++++=a
metal ^nn++++=metal
cross ^nn++++=cross
from ^in++++=from
its ^pp$+it+++=its
perch ^nn++++=perch
upon ^in++++=upon
an ^at++++=an
upright ^jj+atrb+++=upright
grave ^nn++++=grave;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
man ^nn++++=man
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
thrown ^vprf+++xvbnx+=thrown
it ^pp3+it+++=it
raced ^vbd+++xvbn+=raced
full ^jj+atrb+++=full
speed ^nn++++=speed
towards ^in++++=towards
the ^ati++++=the
huddled ^jj+++xvbn+=huddled
up ^rp++++=up
figure ^nn++++=figure
of ^in++++=of
his ^pp$+pp3+++=his
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
hardly ^rb+down+++=hardly
noticing ^vbg+++xvbg+=noticing
the ^ati++++=the
thin ^jj++++=thin,
, ^zz++++=EXTRAWORD
wailing ^vbg+nom++xvbg+=wailing
cry ^vb++++=cry
that ^tht+vcmp+++=that
rose ^nn+++xvbn+=rose
trembling ^vwbg+++xvbg+=trembling
through ^in++++=through
the ^ati++++=the
night ^nn++++=night
air ^nn++++=air
from ^in++++=from
the ^ati++++=the
vanished ^jj+atrb++xvbn+=vanished
form ^nn++++=form.
. ^zz++++=EXTRAWORD
Nor ^cc+cls+neg++=Nor
did ^vbd+dod+vrb++=did
he ^pp3a+pp3+++=he
notice ^nn++++=notice
more ^rbr++++=more
particularly ^rb++++=particularly
that ^cs+sub+++=that
several ^ap++++=several
of ^in++++=of
the ^ati++++=the
graves ^nns++++=graves,
, ^zz++++=EXTRAWORD
newly ^rb++++=newly
made ^vbd+++xvbn+=made,
, ^zz++++=EXTRAWORD
showed ^jj+atrb++xvbn+=showed
signs ^nns++++=signs
of ^in++++=of
recent ^jj+atrb+++=recent
disturbance ^nn+nom+++=disturbance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
the ^ati++++=the
odour ^nn++++=odour
of ^in++++=of
turned ^vbd+++xvbn+=turned
earth ^nn++++=earth
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
noticed ^vprf+++xvbnx+=noticed
in ^in++++=in
the ^ati++++=the
room ^nn++++=room
grew ^vbd+++xvbn+=grew
stronger ^jjr++++=stronger.
. ^zz++++=EXTRAWORD
All ^abn++++=All
his ^pp$+pp3+++=his
attention ^nn+nom+++=attention
was ^vbd+bedz+aux++=was
concentrated ^vpsv++agls+xvbnx+=concentrated
upon ^in++++=upon
the ^ati++++=the
figure ^nn++++=figure
at ^in++++=at
his ^pp$+pp3+++=his
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
' ^zz++++='Morton,
morton ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
man ^nn++++=man,
, ^zz++++=EXTRAWORD
get ^vb++++=get
up ^rp++++=up!
! ^zz++++=EXTRAWORD
Wake ^vb++++=Wake
for ^in++++=for
God ^np++++=God's
's ^$++++=EXTRAWORD
sake ^nn++++=sake!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
walking ^vbg+++xvbgx+=walking
in ^in++++=in
- ^zz++++=-'
' ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
words ^nns++++=words
died ^vbd+++xvbn+=died
upon ^in++++=upon
his ^pp$+pp3+++=his
lips ^nns++++=lips.
. ^zz++++=EXTRAWORD
The ^ati++++=The
unnatural ^jj+atrb+++=unnatural
attitude ^nn++++=attitude
of ^in++++=of
his ^pp$+pp3+++=his
friend ^nn++++=friend's
's ^$++++=EXTRAWORD
shoulders ^nns+nom+++=shoulders,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
way ^nn++++=way
the ^ati++++=the
head ^nn++++=head
dropped ^vbd+++xvbn+=dropped
back ^jjb++++=back
to ^to++++=to
show ^vbi+vprv+++=show
the ^ati++++=the
neck ^nn++++=neck,
, ^zz++++=EXTRAWORD
struck ^j+++xvbn+=struck
him ^pp3o+pp3+++=him
like ^in++++=like
a ^at++++=a
blow ^nn++++=blow
in ^in++++=in
the ^ati++++=the
face ^nn++++=face.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
sign ^nn++++=sign
of ^in++++=of
movement ^nn+nom+++=movement.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lifted ^vbd+++xvbnx+=lifted
the ^ati++++=the
body ^nn++++=body
up ^rp++++=up
and ^cc++++=and
carried ^vbd+++xvbn+=carried
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
all ^abn++++=all
limp ^jj++++=limp
and ^cc+phrs+++=and
unresisting ^jj+++xvbg+=unresisting,
, ^zz++++=EXTRAWORD
by ^in++++=by
ways ^nns++++=ways
he ^pp3a+pp3+++=he
never ^rb++++=never
remembered ^vbd+vprv++xvbn+=remembered
afterwards ^rb+cnj+++=afterwards,
, ^zz++++=EXTRAWORD
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
inn ^nn++++=inn.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
all ^abn++++=all
a ^at++++=a
dreadful ^jj+atrb+++=dreadful
nightmare ^nn++++=nightmare
- ^zz++++=-a
a ^at++++=EXTRAWORD
nightmare ^nn++++=nightmare
that ^tht+rel+subj++=that
carried ^vwbn+++xvbn+=carried
over ^in++++=over
its ^pp$+it+++=its
ghastly ^jj+atrb+++=ghastly
horror ^nn++++=horror
into ^in++++=into
waking ^xvbg+++xvbg+=waking
life ^nn++++=life.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
the ^ati++++=the
proprietor ^nn++++=proprietor
and ^cc++++=and
his ^pp$+pp3+++=his
wife ^nn++++=wife
moved ^vbd+++xvbn+=moved
busily ^rb++++=busily
to ^to++++=to
and ^cc++++=and
fro ^rb++++=fro
about ^in++++=about
the ^ati++++=the
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^cs+sub+++=that
in ^in++++=in
due ^jj+atrb+++=due
course ^nn++++=course
the ^ati++++=the
village ^nn+nom+++=village
doctor ^nn++++=doctor
was ^vbd+bedz+vrb++=was
upon ^in++++=upon
the ^ati++++=the
scene ^nn++++=scene,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
giving ^vbg+++xvbgx+=giving
a ^at++++=a
muddled ^jj+atrb+++=muddled
and ^cc+phrs+++=and
feverish ^jj+atrb+++=feverish
description ^nn+nom+++=description
of ^in++++=of
all ^abn++++=all
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew,
, ^zz++++=EXTRAWORD
telling ^vbg+nom++xvbg+=telling
how ^wrb+who+++=how
his ^pp$+pp3+++=his
friend ^nn++++=friend
was ^vbd+bedz+vrb++=was
a ^at++++=a
confirmed ^jj+atrb++xvbn+=confirmed
sleep ^nn++++=sleep-walker
- ^zz++++=EXTRAWORD
walker ^np++++=EXTRAWORD
and ^cc++++=and
all ^rb++++=all
the ^ati++++=the
rest ^nn++++=rest.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
realize ^vb+vprv+++=realize
the ^ati++++=the
truth ^nn++++=truth
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
face ^nn++++=face
of ^in++++=of
the ^ati++++=the
doctor ^nn++++=doctor
as ^ql++++=as
he ^pp3a+pp3+++=he
straightened ^vbd+++xvbnx+=straightened
up ^rp++++=up
from ^in++++=from
the ^ati++++=the
long ^jj+atrb+++=long
examination ^nn+nom+++=examination.
. ^zz++++=EXTRAWORD
' ^zz++++='Will
will ^md+prd+++=EXTRAWORD
you ^pp2+pp2+++=you
wake ^nn++++=wake
him ^pp3o+pp3+++=him?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
heard ^vbd+vprv+tht0+xvbnx+=heard
himself ^ppl+pp3+++=himself
asking ^jj+++xvbg+=asking,
, ^zz++++=EXTRAWORD
' ^zz++++='or
or ^cc++++=EXTRAWORD
let ^vb+++xvbn+=let
him ^pp3o+pp3+++=him
sleep ^vb++++=sleep
it ^pp3+it+++=it
out ^rp+pl+++=out
till ^in++++=till
morning ^nn++++=morning?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
And ^cc++++=And
the ^ati++++=the
doctor ^nn++++=doctor's
's ^$++++=EXTRAWORD
expression ^nn++++=expression,
, ^zz++++=EXTRAWORD
even ^rb++++=even
before ^cs+sub+++=before
the ^ati++++=the
reply ^nn++++=reply
came ^vbd+++xvbn+=came
to ^to++++=to
confirm ^vbi+vpub+++=confirm
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
told ^j+++xvbn+=told
him ^pp3o+pp3+++=him
the ^ati++++=the
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
' ^zz++++='Ah,
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
monsieur ^npt++++=monsieur,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
friend ^nn++++=friend
will ^md+prd+++=will
not ^xnot++not++=not
ever ^rb++++=ever
wake ^vb++++=wake
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
fear ^vb++++=fear!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
the ^ati++++=the
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see;
; ^zz++++=EXTRAWORD
h ^zz++++=h
las ^np++++=las,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
sudden ^jj+atrb+++=sudden
failure ^nn++++=failure
of ^in++++=of
the ^ati++++=the
heart! ^nn+++??+=heart!'.The
'.the ^nn+++??+=EXTRAWORD
final ^jj+atrb+++=final
scenes ^nns++++=scenes
in ^in++++=in
the ^ati++++=the
little ^jj+atrb+++=little
tragedy ^nn++++=tragedy
which ^whp+rel+subj++=which
