Sailormen ^np+++??+=Sailormen
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
why ^wrb+who+++=why,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
all ^abn++++=all
your ^pp$+pp2+++=your
silly ^jj+atrb+++=silly
fault ^nn++++=fault.
. ^zz++++=EXTRAWORD
Arter ^np+++??+=Arter
you ^pp2+pp2+++=you
came ^vbd+++xvbn+=came
pawing ^jj+++xvbg+=pawing
through ^in++++=through
my ^pp$+pp1+++=my
pockets ^nns++++=pockets
when ^wrb+who+++=when
you ^pp2+pp2+++=you
thought ^vbd+++xvbn+=thought
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
asleep ^jj+pred+++=asleep
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
frightened ^vbd+++xvbn+=frightened
and ^cc++++=and
' ^zz++++='id
id ^nn+++??+=EXTRAWORD
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Where?"
where ^wrb+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
the ^ati++++=the
second ^od++++=second
mate ^nn++++=mate's
's ^$++++=EXTRAWORD
mattress ^nns+nom+++=mattress,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Jimmy ^np++++=Jimmy.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+aux++=was
tidying ^vbg+++xvbgx+=tidying
up ^rp++++=up
down ^rp++++=down
aft ^jjb++++=aft
and ^cc++++=and
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
a ^at++++=a
' ^zz++++='ole
ole ^np++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
underneath ^in+pl+++=underneath
side ^nn++++=side
of ^in++++=of
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
mattress ^nns+nom+++=mattress
and ^cc++++=and
I ^pp1a+pp1+++=I
shoved ^vbd+++xvbnx+=shoved
it ^pp3+it+++=it
in ^in++++=in
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
poked ^vbd+++xvbn+=poked
it ^pp3+it+++=it
in ^in++++=in
with ^in++++=with
a ^at++++=a
bit ^nn++++=bit
of ^in++++0=o'
stick ^nn++++=stick."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
' ^zz++++='ow
ow ^nn+++??+=EXTRAWORD
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
going ^md"++pmd"++=going
to ^md+prd+++=to
get ^vb++++=get
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
scratching ^nvbg+++xvbg+=scratching
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
' ^zz++++='ead.
ead ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
wot ^wpr++++=wot
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
seeing ^vbg+vprv++xvbg+=seeing
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
not ^xnot++not++=not
allowed ^vbd+++xvbn+=allowed
aft ^jjb++++=aft
now ^rn+tm+++=now,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Jimmy ^np++++=Jimmy.
. ^zz++++=EXTRAWORD
" ^zz++++="One
one ^pn++++=EXTRAWORD
of ^in++++=of
us ^pp1o+pp1+++=us'll
'll ^md+prd+++0=EXTRAWORD
' ^zz++++='ave
ave ^nn+++??+=EXTRAWORD
to ^to++++=to
make ^vbi++++=make
a ^at++++=a
dash ^nn++++=dash
for ^in++++=for
it ^pp3+it+++=it
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
get ^vb++++=get
to ^to+vcmp+++=to
London ^vb++++=London.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
mind ^nn++++=mind
if ^cs+cnd+++=if
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
any ^dti++++=any
' ^zz++++='ankypanky
ankypanky ^nn+++??+=EXTRAWORD
on ^in++++=on
your ^pp$+pp2+++=your
part ^nn++++=part,
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
give ^vb++++=give
the ^ati++++=the
show ^nn++++=show
away ^rp+pl+++=away
myself ^ppl+pp1+++=myself."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
cook ^nn++++=cook
came ^vbd+++xvbn+=came
down ^in++++=down
just ^rb+emph+++=just
then ^rn+tm+++=then
and ^cc++++=and
we ^pp1a+pp1+++=we
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
to ^to++++=to
leave ^vbi++++=leave
off ^in+pl+++=off
talking ^xvbg+++xvbg+=talking,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+++=see
that ^tht+vcmp+++=that
Bill ^nn++++=Bill
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
pleased ^jj+++xvbn+=pleased
at ^rb++++=at
finding ^vbg+++xvbg+=finding
that ^tht+vcmp+++=that
the ^ati++++=the
money ^nn++++=money
' ^zz++++='adn't
ad ^&fw++++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
been ^vprf+ben+aux+xvbn+=been
thrown ^vpsv++agls+xvbnx+=thrown
overboard ^rb+pl+++=overboard
that ^cs+sub+++=that
' ^zz++++='e
e ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
losing ^vbg+++xvbgx+=losing
sight ^nn++++=sight
of ^in++++0=o'
the ^ati++++=the
difficulty ^nn++++=difficulty
of ^in++++0=o'
getting ^nn++++=getting
at ^in++++=at
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
day ^nn++++=day
or ^cc++++=or
two ^cd++++=two,
, ^zz++++=EXTRAWORD
' ^zz++++='owever,
owever ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++='e
e ^zz++++=EXTRAWORD
see ^vb+vprv+++=see
it ^pp3+it+++=it
as ^ql++++=as
plain ^nn++++=plain
as ^cs+sub+++=as
me ^pp1o+pp1+++=me
and ^cc++++=and
Jimmy ^np++++=Jimmy
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
as ^in++++=as
time ^nn++++=time
went ^vwbn+++xvbn+=went
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
desprit ^nn+++??+=desprit,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
frightened ^jj+++xvbn+=frightened
us ^pp1o+pp1+++=us
both ^abx++++=both
by ^in++++=by
' ^zz++++='anging
anging ^jj+++xvbg+=EXTRAWORD
about ^in++++=about
aft ^jjb++++=aft
every ^at++++=every
chance ^nn++++=chance
' ^zz++++='e
e ^zz++++=EXTRAWORD
got ^vprf+++xvbn+=got.
. ^zz++++=EXTRAWORD
The ^ati++++=The
companion ^nn++++=companion-way
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
faced ^vwbn+++xvbn+=faced
the ^ati++++=the
wheel ^nn++++=wheel,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
about ^in++++=about
as ^ql++++=as
much ^ap++++=much
chance ^nn++++=chance
of ^in++++0=o'
getting ^xvbg+++xvbg+=getting
down ^rp++++=down
there ^rn+pl+++=there
without ^in++++=without
being ^nn+nn+aux++=being
seen ^vbd+vprv++xvbn+=seen
as ^ql++++=as
there ^ex+pex+++=there
would ^md+prd+++=would
be ^vb+be+vrb++=be
of ^in++++0=o'
taking ^xvbg+++xvbg+=taking
a ^at++++=a
man ^nn++++=man's
's ^vbz+bez+vrb++0=EXTRAWORD
false ^jj+atrb+++=false
teeth ^nn++++=teeth
out ^rp+pl+++=out
of ^in++++=of
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
mouth ^nn++++=mouth
without ^in++++=without
' ^zz++++='is
is ^vbz+bez+aux++=EXTRAWORD
knowing ^vbg+vprv++xvbgx+=knowing
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Jimmy ^np++++=Jimmy
went ^vbd+++xvbn+=went
down ^in++++=down
one ^cd1++++=one
day ^nn++++=day
while ^cs+sub+++=while
Bill ^nn++++=Bill
was ^vbd+bedz+vrb++=was
at ^rb++++=at
the ^ati++++=the
wheel ^nn++++=wheel
to ^to++++=to
look ^vbi++++=look
for ^in++++=for
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
knife ^nn++++=knife,
, ^zz++++=EXTRAWORD
wot ^wpr++++=wot
' ^zz++++='e
e ^zz++++=EXTRAWORD
thought ^vbd+++xvbn+=thought
' ^zz++++='e'd
e ^zz++++=EXTRAWORD
'd ^vbd+hvd+aux++0=EXTRAWORD
left ^vprf+++xvbnx+=left
down ^rp++++=down
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
' ^zz++++='ed
ed ^np++++=EXTRAWORD
' ^zz++++='ardly
ardly ^jj++++=EXTRAWORD
got ^vbd+++xvbn+=got
down ^rp++++=down
afore ^in++++=afore
Bill ^nn++++=Bill
saw ^vbd+vprv++xvbn+=saw
' ^zz++++='im
im ^&fw++++=EXTRAWORD
come ^vprf+++xvbn+=come
up ^rp++++=up
ag ^nn++++=ag'in,
'in, ^nn+++??+=EXTRAWORD
' ^zz++++='olding
olding ^jj+++xvbg+=EXTRAWORD
on ^in+cmpx+++=on
to ^in"++++=to
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
a ^at++++=a
mop ^nn++++=mop
which ^whp+rel+obj++=which
the ^ati++++=the
steward ^nn++++=steward
was ^vbd+bedz+aux++=was
using ^vbg+++xvbgx+=using.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
figure ^nn++++=figure
it ^pp3+it+++=it
out ^rp+pl+++=out
nohow ^nn+++??+=nohow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
think ^vbi+vprv+++=think
of ^in++++0=o'
the ^ati++++=the
second ^od++++=second
mate ^nn++++=mate,
, ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
man ^nn++++=man
with ^in++++=with
a ^at++++=a
large ^jj+atrb+++=large
fam ^nn+++??+=fam'ly,
'ly, ^nn+++??+=EXTRAWORD
who ^whp+rel+obj++=who
never ^rb++++=never
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
a ^at++++=a
penny ^nn++++=penny
in ^in++++=in
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
pocket ^nn++++=pocket,
, ^zz++++=EXTRAWORD
sleeping ^nvbg+++xvbg+=sleeping
every ^at++++=every
night ^nn++++=night
on ^in++++=on
a ^at++++=a
six ^cd++++=six
' ^zz++++='undered
undered ^jj+atrb++xvbn+=EXTRAWORD
pound ^nn++++=pound
mattress ^nns+nom+++=mattress,
, ^zz++++=EXTRAWORD
sent ^j+++xvbn+=sent
us ^pp1o+pp1+++=us
pretty ^rb++++=pretty
near ^in+pl+++=near
crazy ^nn++++=crazy.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
used ^md"++pmd"++=used
to ^to++++=to
talk ^vb++++=talk
it ^pp3+it+++=it
over ^in++++=over
whenever ^nn+nom+++=whenever
we ^pp1a+pp1+++=we
got ^vbd+++xvbn+=got
a ^at++++=a
chance ^nn++++=chance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Bill ^nn++++=Bill
and ^cc++++=and
Jimmy ^np++++=Jimmy
could ^md+pos+++=could
scarcely ^rb+down+++=scarcely
be ^vb+be+vrb++=be
civil ^jj+pred+++=civil
to ^in++++=to
each ^dt++++=each
other ^ap++++=other.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boy ^nn++++=boy
said ^vbd+vpub+tht0+xvbn+=said
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
Bill ^np++++=Bill's
's ^$++++=EXTRAWORD
fault ^nn++++=fault,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
' ^zz++++='e
e ^zz++++=EXTRAWORD
said ^vprf++tht0+xvbn+=said
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
boy ^nn++++=boy's.
's. ^nn+++??+=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
on ^in++++=on'y
'y ^nn+++??+=EXTRAWORD
thing ^nn++++=thing
I ^pp1a+pp1+++=I
can ^md+pos+++=can
see ^vb+vprv+++=see,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
day ^nn++++=day,
, ^zz++++=EXTRAWORD
" ^zz++++="is
is ^vbz+bez+vrb++=EXTRAWORD
for ^in++++=for
Bill ^nn++++=Bill
to ^to++++=to
' ^zz++++='ave
ave ^nn+++??+=EXTRAWORD
a ^at++++=a
touch ^nn++++=touch
of ^in++++=of
sunstroke ^nn+++??+=sunstroke
as ^in++++=as
' ^zz++++='e's
e ^zz++++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
leaving ^vbg+++xvbgx+=leaving
the ^ati++++=the
wheel ^nn++++=wheel
one ^cd1++++=one
day ^nn++++=day,
, ^zz++++=EXTRAWORD
tumble ^nn++++=tumble
' ^zz++++='ead-first
ead ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
first ^od++++=EXTRAWORD
down ^rp++++=down
the ^ati++++=the
companion ^nn++++=companion-way,
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
injure ^vb++++=injure
' ^zz++++='isself
isself ^nn+++??+=EXTRAWORD
so ^ql++++=so
severely ^rb++++=severely
that ^cs+sub+++=that
' ^zz++++='e
e ^zz++++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+aux++=be
moved ^vpsv++agls+xvbnx+=moved.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
they ^pp3a+pp3+++=they'll
'll ^md+prd+++0=EXTRAWORD
put ^vb+++xvbn+=put
' ^zz++++='im
im ^&fw++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
cabin ^nn++++=cabin
down ^rp++++=down
aft ^jjb++++=aft,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
p ^zz++++=p'raps
'raps ^nns+++??+0=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
' ^zz++++='ave
ave ^nn+++??+=EXTRAWORD
to ^to++++=to
go ^vbi++++=go
and ^cc++++=and
nurse ^nn++++=nurse
' ^zz++++='im.
im ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Anyway ^rb+cnj+++=Anyway,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
down ^rp++++=down
there ^rn+pl+++=there."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
very ^ql+amp+++=very
good ^jj+atrb+++=good
idea ^nn++++=idea,
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
says ^vbz+vpub+++=says.
. ^zz++++=EXTRAWORD
" ^zz++++="Ho,"
ho ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
at ^rb++++=at
me ^pp1o+pp1+++=me
as ^cs+sub+++=as
if ^cs+cnd+++=if
' ^zz++++='e
e ^zz++++=EXTRAWORD
would ^md+prd+++=would
eat ^vb++++=eat
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'd
i ^pp1a+pp1+++0=EXTRAWORD
'd ^md+prd+vrb++=EXTRAWORD
sooner ^rbr++++=sooner
you ^pp2+pp2+++=you
did ^vbd+dod+vrb++=did
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
boy ^nn++++=boy;
; ^zz++++=EXTRAWORD
" ^zz++++="still,
still ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
mind ^nn++++=mind
which ^whp+rel+obj++=which
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why
not ^xnot++not++=not
toss ^vb++++=toss
up ^rp++++=up
for ^in++++=for
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Get
get ^vb++++=EXTRAWORD
away ^rb+cnj+++=away,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
" ^zz++++="Get
get ^vb++++=EXTRAWORD
away ^rb+phrv+++=away
afore ^in++++=afore
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do
something ^pn++++=something
you ^pp2+pp2+++=you
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
like ^vb++++=like,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
blood ^nn++++=blood-thirsty
- ^zz++++=EXTRAWORD
thirsty ^jj+atrb+++=EXTRAWORD
little ^jj+atrb+++=little
murderer ^nn+nom+++=murderer."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
a ^at++++=a
plan ^nn++++=plan
myself ^ppl+pp1+++=myself,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
low ^jj+atrb+++=low
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
after ^in++++=after
the ^ati++++=the
boy ^nn++++=boy
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
' ^zz++++='opped
opped ^jj+++xvbn+=EXTRAWORD
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc+cls+++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+++=think
of ^in++++=of
nothing ^pn++++=nothing
better ^jjr++++=better
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
try ^vb++++=try
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
a ^at++++=a
word ^nn++++=word
to ^in++++=to
the ^ati++++=the
boy ^nn++++=boy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+++=think
of ^in++++0=o'
nothing ^pn++++=nothing
better ^jjr++++=better,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
night ^nn++++=night
just ^rb+emph+++=just
as ^ql++++=as
we ^pp1a+pp1+++=we
was ^vbd+bedz+aux++=was
making ^vbg+++xvbgx+=making
the ^ati++++=the
Channel ^npl++++=Channel
' ^zz++++='e
e ^zz++++=EXTRAWORD
tried ^vbd+++xvbn+=tried
' ^zz++++='is
is ^vbz+bez+aux++=EXTRAWORD
plan ^vb++++=plan.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
second ^od++++=second
mate ^nn++++=mate's
's ^$++++=EXTRAWORD
watch ^nn++++=watch,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by-and-by
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
by ^in++++=EXTRAWORD
' ^zz++++='e
e ^zz++++=EXTRAWORD
leans ^vbz++++=leans
over ^in++++=over
the ^ati++++=the
wheel ^nn++++=wheel
and ^cc++++=and
says ^vbz+vpub+++=says
to ^to+vcmp+++=to
' ^zz++++='im
im ^&fw++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
low ^jj+atrb+++=low
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
last ^rb++++=last
v ^zz++++=v'y'ge,
'y'ge, ^nn+++??+=EXTRAWORD
sir ^npt++++=sir."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,"
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
second ^od++++=second
mate ^nn++++=mate,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
a ^at++++=a
man ^nn++++=man
as ^ql++++=as
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
mind ^nn++++=mind
talking ^vwbg+++xvbg+=talking
to ^in++++=to
a ^at++++=a
man ^nn++++=man
before ^in++++=before
the ^ati++++=the
mast ^nn++++=mast.
. ^zz++++=EXTRAWORD
" ^zz++++="How's
how ^wrb+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
that ^dt+pdem+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
a ^at++++=a
berth ^nn+++??+=berth
ashore ^rb+cnj+++=ashore,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
ask ^vbi++++=ask
a ^at++++=a
favour ^nn++++=favour,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
second ^od++++=second
mate ^nn++++=mate
growled ^vbd+++xvbn+=growled
and ^cc+phrs+++=and
walked ^vbd+++xvbn+=walked
off ^in+pl+++=off
a ^at++++=a
pace ^nn++++=pace
or ^cc++++=or
two ^cd++++=two.
. ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
never ^rb++splt++=never
been ^vprf+ben+vrb+xvbnx+=been
so ^ql++++=so
' ^zz++++='appy
appy ^nn+++??+=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
on ^in++++=on
this ^dt+dem+++=this
ship ^nn++++=ship,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Bill ^nn++++=Bill;
; ^zz++++=EXTRAWORD
" ^zz++++="none
none ^pn++++=EXTRAWORD
of ^in++++=of
us ^pp1o+pp1+++=us
' ^zz++++='ave.
ave ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
was ^vbd+bedz+aux++=was
saying ^vbg+++xvbgx+=saying
so ^ql++++=so
the ^ati++++=the
other ^ap++++=other
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
everybody ^pn++++=everybody
agreed ^vbd+vpub++xvbn+=agreed
as ^ql++++=as
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
owing ^in+cmpx+++=owing
to ^in"++++=to
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
your ^pp$+pp2+++=your
kindness ^nns+nom+++=kindness
to ^in++++=to
all ^abn++++=all
of ^in++++=of
us ^pp1o+pp1+++=us."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
second ^od++++=second
mate ^nn++++=mate
coughed ^vbd+++xvbn+=coughed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Bill ^nn++++=Bill
could ^md+pos+++=could
see ^vb+vprv+++=see
as ^in++++=as
' ^zz++++='e
e ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
bit ^nn++++=bit
pleased ^vbd+++xvbn+=pleased.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
feeling ^xvbg+++xvbg+=feeling
came ^vbd+++xvbn+=came
over ^rp++++=over
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+pdem+++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
leave ^vb++++=leave
the ^ati++++=the
sea ^nn++++=sea
for ^in++++=for
good ^jj++++=good
I ^pp1a+pp1+++0=I'd
'd ^md+prd+vrb++=EXTRAWORD
like ^vb++++=like
to ^to+vcmp+++=to
' ^zz++++='ave
