High ^jj++++=High
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
is ^vbz+bez+aux++=is
crying ^vbg+++xvbgx+=crying.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
has ^vbz+hvz+vrb++=has
no ^at++++=no
shoes ^nns++++=shoes
or ^cc++++=or
stockings ^nns++++=stockings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
little ^ap++++=little
head ^jjb++++=head
is ^vbz+bez+vrb++=is
bare ^jj+pred+++=bare.
. ^zz++++=EXTRAWORD
Pluck ^np+++??+=Pluck
out ^rp+pl+++=out
my ^pp$+pp1+++=my
other ^ap++++=other
eye ^nn++++=eye,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
give ^vb++++=give
it ^pp3+it+++=it
to ^in++++=to
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp3o+pp3+++=her
father ^npt++++=father
will ^md+prd+++=will
not ^xnot++not++=not
beat ^vb+++xvbn+=beat
her ^pp$+pp3+++=her."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
stay ^vb++++=stay
with ^in++++=with
you ^pp2+pp2+++=you
one ^cd1++++=one
night ^nn++++=night
longer ^rbr++++=longer,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Swallow ^vb++++=Swallow,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
pluck ^vb+++??+=pluck
out ^rp+pl+++=out
your ^pp$+pp2+++=your
eye ^nn++++=eye.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
would ^md+prd+++=would
be ^vb+be+vrb++=be
quite ^rb++++=quite
blind ^jj+pred+++=blind
then ^rn+tm+++=then."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Swallow,
swallow ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Swallow ^vb++++=Swallow,
, ^zz++++=EXTRAWORD
little ^ap++++=little
Swallow ^vb++++=Swallow,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Prince ^nn++++=Prince,
, ^zz++++=EXTRAWORD
" ^zz++++="do
do ^vb+do+vrb++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
command ^nn++++=command
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^ql++++=So
he ^pp3a+pp3+++=he
plucked ^vbd+++xvbnx+=plucked
out ^rp+pl+++=out
the ^ati++++=the
Prince ^np++++=Prince's
's ^$++++=EXTRAWORD
other ^ap++++=other
eye ^nn++++=eye,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
darted ^vbd+++xvbn+=darted
down ^rp++++=down
with ^in++++=with
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
swooped ^vbd+++xvbnx+=swooped
past ^jjb++++=past
the ^ati++++=the
match ^nn++++=match-girl,
- ^zz++++=EXTRAWORD
girl ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
slipped ^vbd+++xvbn+=slipped
the ^ati++++=the
jewel ^nn++++=jewel
into ^in++++=into
the ^ati++++=the
palm ^nn++++=palm
of ^in++++=of
her ^pp$+pp3+++=her
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
a ^at++++=a
lovely ^jj+atrb+++=lovely
bit ^nn++++=bit
of ^in++++=of
glass ^nn++++=glass,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
the ^ati++++=the
little ^jj+atrb+++=little
girl ^nn++++=girl;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
ran ^vbd+++xvbnx+=ran
home ^nr++++=home,
, ^zz++++=EXTRAWORD
laughing ^vbg+++xvbg+=laughing.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
Swallow ^nn++++=Swallow
came ^vbd+++xvbn+=came
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
Prince ^nn++++=Prince.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
blind ^jj+pred+++=blind
now ^rn+tm+++=now,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="so
so ^ql++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
stay ^vb++++=stay
with ^in++++=with
you ^pp2+pp2+++=you
always ^rb++++=always."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
little ^ap++++=little
Swallow ^vb++++=Swallow,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
poor ^jj+atrb+++=poor
Prince ^nn++++=Prince,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=must
go ^vb++++=go
away ^rp+pl+++=away
to ^in++++=to
Egypt ^np++++=Egypt."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
stay ^vb++++=stay
with ^in++++=with
you ^pp2+pp2+++=you
always ^rb+cnj+++=always,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Swallow ^vb++++=Swallow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
slept ^vbd+++xvbnx+=slept
at ^rb++++=at
the ^ati++++=the
Prince ^np++++=Prince's
's ^$++++=EXTRAWORD
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
next ^ap++++=next
day ^nn++++=day
he ^pp3a+pp3+++=he
sat ^vbd+++xvbnx+=sat
on ^in++++=on
the ^ati++++=the
Prince ^np++++=Prince's
's ^$++++=EXTRAWORD
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
stories ^nns++++=stories
of ^in++++=of
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
in ^in++++=in
strange ^jj+atrb+++=strange
lands ^nns++++=lands.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
of ^in++++=of
the ^ati++++=the
red ^nn++++=red
ibises ^vbz++++=ibises,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
stand ^vb++++=stand
in ^in++++=in
long ^rb++++=long
rows ^nns++++=rows
on ^in++++=on
the ^ati++++=the
banks ^nns++++=banks
of ^in++++=of
the ^ati++++=the
Nile ^np++++=Nile,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
catch ^nn++++=catch
gold ^nn++++=gold-fish
- ^zz++++=EXTRAWORD
fish ^nns++++=EXTRAWORD
in ^in++++=in
their ^pp$+pp3+++=their
beaks ^nns++++=beaks;
; ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Sphinx ^np+++??+=Sphinx,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
as ^ql++++=as
old ^jj++++=old
as ^in++++=as
the ^ati++++=the
world ^nn++++=world
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lives ^nns++++=lives
in ^in++++=in
the ^ati++++=the
desert ^nn++++=desert,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
knows ^vbz+vprv+++=knows
everything ^pn++++=everything;
; ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
merchants ^nns+nom+++=merchants,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
walk ^vb++++=walk
slowly ^rb++++=slowly
by ^in++++=by
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
their ^pp$+pp3+++=their
camels ^nns+++??+=camels,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
carry ^vb++++=carry
amber ^jj+atrb+++=amber
beads ^nns++++=beads
in ^in++++=in
their ^pp$+pp3+++=their
hands ^nns++++=hands;
; ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
King ^nn++++=King
of ^in++++=of
the ^ati++++=the
Mountains ^nns++++=Mountains
of ^in++++=of
the ^ati++++=the
Moon ^nn++++=Moon,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
as ^ql++++=as
black ^np++++=black
as ^ql++++=as
ebony ^nn++++=ebony,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
worships ^nns+nom+++=worships
a ^at++++=a
large ^jj+atrb+++=large
crystal ^nn++++=crystal;
; ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
great ^jj+atrb+++=great
green ^nn++++=green
snake ^nn++++=snake
that ^tht+rel+subj++=that
sleeps ^vbz++++=sleeps
in ^in++++=in
a ^at++++=a
palm ^nn++++=palm-tree,
- ^zz++++=EXTRAWORD
tree ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
has ^vbz+hvz+vrb++=has
twenty ^cd++++=twenty
priests ^nns++++=priests
to ^to++++=to
feed ^vbi++++=feed
it ^pp3+it+++=it
with ^in++++=with
honey ^nn++++=honey-cakes;
- ^zz++++=EXTRAWORD
cakes ^nns++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
the ^ati++++=the
pygmies ^nns+++??+=pygmies
who ^whp+rel+subj++=who
sail ^vb++++=sail
over ^in++++=over
a ^at++++=a
big ^jj+atrb+++=big
lake ^nn++++=lake
on ^in++++=on
large ^jj+atrb+++=large
flat ^nn++++=flat
leaves ^nns++++=leaves,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
are ^vb+ber+vrb++=are
always ^rb++++=always
at ^in++++=at
war ^nn++++=war
with ^in++++=with
the ^ati++++=the
butterflies ^nns++++=butterflies.
. ^zz++++=EXTRAWORD
" ^zz++++="Dear
dear ^uh++++=EXTRAWORD
little ^ap++++=little
Swallow ^vb++++=Swallow,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Prince ^nn++++=Prince,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
tell ^vb++++=tell
me ^pp1o+pp1+++=me
of ^in++++=of
marvellous ^jj+atrb+++=marvellous
things ^nns++++=things,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
more ^rbr++++=more
marvellous ^jj++++=marvellous
than ^in++++=than
anything ^pn++++=anything
is ^vbz+bez+vrb++=is
the ^ati++++=the
suffering ^jj+++xvbg+=suffering
of ^in++++=of
men ^nns++++=men
and ^cc++++=and
of ^in++++=of
women ^nns++++=women.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
no ^at++++=no
Mystery ^nn+nom+++=Mystery
so ^ql++++=so
great ^np++++=great
as ^ql++++=as
Misery ^nn++++=Misery.
. ^zz++++=EXTRAWORD
Fly ^vb++++=Fly
over ^in++++=over
my ^pp$+pp1+++=my
city ^nn++++=city,
, ^zz++++=EXTRAWORD
little ^ap++++=little
Swallow ^vb++++=Swallow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tell ^vb++++=tell
me ^pp1o+pp1+++=me
what ^wdt+who+++=what
you ^pp2+pp2+++=you
see ^vb+vprv+++=see
there ^rn+pl+++=there."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^cs+sub+++=So
the ^ati++++=the
Swallow ^nn++++=Swallow
flew ^vbd+++xvbn+=flew
over ^in++++=over
the ^ati++++=the
great ^jj+atrb+++=great
city ^nn++++=city,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
rich ^nn++++=rich
making ^vwbg+++xvbg+=making
merry ^jj++++=merry
in ^in++++=in
their ^pp$+pp3+++=their
beautiful ^jj+atrb+++=beautiful
houses ^nns++++=houses,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
beggars ^nns++++=beggars
were ^vbd+bed+aux++=were
sitting ^vbg+++xvbgx+=sitting
at ^rb++++=at
the ^ati++++=the
gates ^nns++++=gates.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
flew ^vbd+++xvbnx+=flew
into ^in++++=into
dark ^jj+atrb+++=dark
lanes ^nns++++=lanes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
white ^jj+atrb+++=white
faces ^nns++++=faces
of ^in++++=of
starving ^xvbg+++xvbg+=starving
children ^nns++++=children
looking ^vwbg+++xvbg+=looking
out ^rp+pl+++=out
listlessly ^jj++++=listlessly
at ^rb++++=at
the ^ati++++=the
black ^jj+atrb+++=black
streets ^nns++++=streets.
. ^zz++++=EXTRAWORD
Under ^in++++=Under
the ^ati++++=the
archway ^nn++++=archway
of ^in++++=of
a ^at++++=a
bridge ^nn++++=bridge
two ^cd++++=two
little ^jj+atrb+++=little
boys ^nns++++=boys
were ^vbd+bed+aux++=were
lying ^vbg+++xvbgx+=lying
in ^in++++=in
one ^cd1++++=one
another ^dt++++=another's
's ^vbz+bez+vrb++0=EXTRAWORD
arms ^nns++++=arms
to ^to++++=to
try ^vbi++++=try
and ^cc+phrs+++=and
keep ^vb++++=keep
themselves ^ppls+pp3+++=themselves
warm ^jj++++=warm.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
hungry ^jj++++=hungry
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=must
not ^xnot++not++=not
lie ^vb++++=lie
here ^rn+pl+++=here,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
shouted ^vbd+vpub++xvbn+=shouted
the ^ati++++=the
Watchman ^nn+nom+++=Watchman,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
wandered ^vbd+++xvbnx+=wandered
out ^rp+pl+++=out
into ^in++++=into
the ^ati++++=the
rain ^nn++++=rain.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
flew ^vbd+++xvbnx+=flew
back ^jjb++++=back
and ^cc++++=and
told ^vbd+vpub++xvbn+=told
the ^ati++++=the
Prince ^npt++++=Prince
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
covered ^vpsv++agls+xvbnx+=covered
with ^in++++=with
fine ^jj+atrb+++=fine
gold ^nn++++=gold,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Prince ^nn++++=Prince,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=must
take ^vb++++=take
it ^pp3+it+++=it
off ^rp+pl+++=off,
, ^zz++++=EXTRAWORD
leaf ^nn++++=leaf
by ^in++++=by
leaf ^nn++++=leaf,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
give ^vb++++=give
it ^pp3+it+++=it
to ^in++++=to
my ^pp$+pp1+++=my
poor ^jj++++=poor;
; ^zz++++=EXTRAWORD
the ^ati++++=the
living ^jj+++xvbg+=living
always ^rb++++=always
think ^vb+vprv+++=think
that ^tht+vcmp+++=that
gold ^nn++++=gold
can ^md+pos+++=can
make ^vb++++=make
them ^pp3o+pp3+++=them
happy ^jj++++=happy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Leaf ^nn++++=Leaf
after ^cs+sub+++=after
leaf ^nn++++=leaf
of ^in++++=of
the ^ati++++=the
fine ^jj+atrb+++=fine
gold ^nn++++=gold
the ^ati++++=the
Swallow ^nn++++=Swallow
picked ^vbd+++xvbn+=picked
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
the ^ati++++=the
Happy ^jj+atrb+++=Happy
Prince ^npt++++=Prince
looked ^vbd+++xvbn+=looked
quite ^rb++++=quite
dull ^jj++++=dull
and ^cc++++=and
grey ^nn++++=grey.
. ^zz++++=EXTRAWORD
Leaf ^nn++++=Leaf
after ^cs+sub+++=after
leaf ^nn++++=leaf
of ^in++++=of
the ^ati++++=the
fine ^jj+atrb+++=fine
gold ^nn++++=gold
he ^pp3a+pp3+++=he
brought ^vbd+++xvbnx+=brought
to ^rb+phrv+++=to
the ^ati++++=the
poor ^jj++++=poor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
children ^nns++++=children's
's ^$++++=EXTRAWORD
faces ^nns++++=faces
grew ^vbd+++xvbn+=grew
rosier ^jjr++++=rosier,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
laughed ^vbd+++xvbnx+=laughed
and ^cc+phrs+++=and
played ^vbd+++xvbn+=played
games ^nns++++=games
in ^in++++=in
the ^ati++++=the
street ^nn++++=street.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
bread ^nn++++=bread
now ^rn+tm+++=now!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
cried ^vbd+++xvbnx+=cried.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
snow ^nn++++=snow
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^cs+sub+++=after
the ^ati++++=the
snow ^nn++++=snow
came ^vbd+++xvbn+=came
the ^ati++++=the
frost ^nn++++=frost.
. ^zz++++=EXTRAWORD
The ^ati++++=The
streets ^nns++++=streets
looked ^vbd+++xvbn+=looked
as ^cs+sub+++=as
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
made ^vpsv++agls+xvbnx+=made
of ^in++++=of
silver ^nn++++=silver,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
so ^ql+emph+++=so
bright ^jj++++=bright
and ^cc+phrs+++=and
glistening ^jj++++=glistening;
; ^zz++++=EXTRAWORD
long ^rb++++=long
icicles ^nns+++??+=icicles
like ^in++++=like
crystal ^nn++++=crystal
daggers ^nns+nom+++=daggers
hung ^vbd+++xvbn+=hung
down ^rp++++=down
from ^in++++=from
the ^ati++++=the
eaves ^nns++++=eaves
of ^in++++=of
the ^ati++++=the
houses ^nns++++=houses,
, ^zz++++=EXTRAWORD
everybody ^pn++++=everybody
went ^vbd+++xvbn+=went
about ^in+ppvb+++=about
in ^in++++=in
furs ^nns+++??+=furs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
little ^jj+atrb+++=little
boys ^nns++++=boys
wore ^vbd+++xvbn+=wore
scarlet ^jj+atrb+++=scarlet
caps ^nns++++=caps
and ^cc++++=and
skated ^vpsv++agls+xvbn+=skated
on ^in++++=on
the ^ati++++=the
ice ^nn++++=ice.
. ^zz++++=EXTRAWORD
The ^ati++++=The
poor ^jj++++=poor
little ^rb++++=little
Swallow ^vb++++=Swallow
grew ^vbd+++xvbn+=grew
colder ^jjr++++=colder
and ^cc+phrs+++=and
colder ^jjr++++=colder,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
would ^md+prd+++=would
not ^xnot++not++=not
leave ^vb++++=leave
the ^ati++++=the
Prince ^nn++++=Prince,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
loved ^vbd+++xvbnx+=loved
him ^pp3o+pp3+++=him
too ^ql++++=too
well ^rb++++=well.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
picked ^vbd+++xvbnx+=picked
up ^rp++++=up
crumbs ^nns++++=crumbs
outside ^jjb++++=outside
the ^ati++++=the
baker ^nn++++=baker's
's ^$++++=EXTRAWORD
door ^nn++++=door
when ^wrb+who+++=when
the ^ati++++=the
baker ^nn++++=baker
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
looking ^jj+++xvbg+=looking
and ^cc+phrs+++=and
tried ^vb+++xvbn+=tried
to ^to+vcmp+++=to
keep ^vbi++++=keep
himself ^ppl+pp3+++=himself
warm ^jj++++=warm
by ^in++++=by
flapping ^xvbg+++xvbg+=flapping
his ^pp$+pp3+++=his
wings ^nns++++=wings.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
at ^rb++++=at
last ^rb"++++=last
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
going ^md"++pmd"++=going
to ^md+prd+++=to
die ^vb++++=die.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
just ^rb+emph+++=just
strength ^nn++++=strength
to ^to++++=to
fly ^vbi++++=fly
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
Prince ^np++++=Prince's
's ^$++++=EXTRAWORD
shoulder ^nn+nom+++=shoulder
once ^rb+tm+++=once
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
" ^zz++++="Good-bye,
good ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
bye ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
dear ^uh++++=dear
Prince ^nn++++=Prince!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
murmured ^vbd+++xvbnx+=murmured,
, ^zz++++=EXTRAWORD
" ^zz++++="will
will ^md+prd+++=EXTRAWORD
you ^pp2+pp2+++=you
let ^vbd+++xvbn+=let
me ^pp1o+pp1+++=me
kiss ^vb++++=kiss
your ^pp$+pp2+++=your
hand ^nn++++=hand?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
glad ^jj+pred+++=glad
that ^tht+jcmp+++=that
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
going ^vbg+++xvbgx+=going
to ^in++++=to
Egypt ^np++++=Egypt
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
little ^ap++++=little
Swallow ^vb++++=Swallow,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Prince ^nn++++=Prince,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
stayed ^vprf+++xvbnx+=stayed
too ^ql++++=too
long ^rb++++=long
here ^rn+pl+++=here;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you
must ^md+nec+++=must
kiss ^vb++++=kiss
me ^pp1o+pp1+++=me
on ^in++++=on
the ^ati++++=the
lips ^nns++++=lips,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
love ^nn++++=love
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
to ^in++++=to
Egypt ^np++++=Egypt
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
going ^vbg+++xvbgx+=going,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Swallow ^nn++++=Swallow.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
going ^vbg+++xvbgx+=going
to ^in++++=to
the ^ati++++=the
House ^nn++++=House
of ^in++++=of
Death ^nn++++=Death.
. ^zz++++=EXTRAWORD
Death ^nn++++=Death
is ^vbz+bez+vrb++=is
the ^ati++++=the
brother ^nn++++=brother
of ^in++++=of
Sleep ^nn++++=Sleep,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
he ^pp3a+pp3+++=he
not ^xnot++not++=not?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
he ^pp3a+pp3+++=he
kissed ^vbd+++xvbnx+=kissed
the ^ati++++=the
Happy ^jj+atrb+++=Happy
Prince ^npt++++=Prince
on ^in++++=on
the ^ati++++=the
lips ^nns++++=lips,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fell ^vbd+++xvbn+=fell
down ^rp++++=down
dead ^jj++++=dead
at ^in++++=at
his ^pp$+pp3+++=his
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
At ^rb++++=At
that ^dt+dem+++=that
moment ^nn++++=moment
a ^at++++=a
curious ^jj++++=curious
crack ^jjb++++=crack
sounded ^jj+++xvbn+=sounded
inside ^jjb++++=inside
the ^ati++++=the
statue ^nn++++=statue,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
something ^pn++++=something
had ^vbd+hvd+aux++=had
broken ^vprf+++xvbnx+=broken.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fact ^nn++++=fact
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
the ^ati++++=the
leaden ^jj+atrb++xvbn+=leaden
heart ^nn++++=heart
had ^vbd+hvd+aux++=had
snapped ^vprf+++xvbnx+=snapped
right ^jj++++=right
in ^in++++=in
two ^cd++++=two.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
certainly ^rb++++=certainly
was ^vbd+bedz+vrb++=was
a ^at++++=a
dreadfully ^rb++++=dreadfully
hard ^jj+atrb+++=hard
frost ^np++++=frost.
. ^zz++++=EXTRAWORD
Early ^jj++++=Early
the ^ati++++=the
next ^ap++++=next
morning ^nn++++=morning
the ^ati++++=the
Mayor ^nn++++=Mayor
was ^vbd+bedz+aux++=was
walking ^vbg+++xvbgx+=walking
in ^in++++=in
the ^ati++++=the
square ^nn++++=square
below ^rb++++=below
in ^in++++=in
company ^nn++++=company
with ^in++++=with
the ^ati++++=the
Town ^nn++++=Town
Councillors ^nns++++=Councillors.
. ^zz++++=EXTRAWORD
As ^ql++++=As
they ^pp3a+pp3+++=they
passed ^vbd+++xvbnx+=passed
