Of ^in+emph+++=Of
They ^pp3a+pp3+++=They
never ^rb++++=never
do ^vb+do+vrb++=do
anything ^pn++++=anything
else ^rb+cnj+++=else,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
got ^vbd+++xvbnx+=got
up ^rp++++=up
and ^cc++++=and
took ^vbd+++xvbn+=took
some ^dti++++=some
yellow ^jj+atrb+++=yellow
grains ^nns++++=grains
out ^rp+pl+++=out
of ^in++++=of
a ^at++++=a
bag ^nn++++=bag
on ^in++++=on
the ^ati++++=the
roof ^nn++++=roof
of ^in++++=of
the ^ati++++=the
dove ^np++++=dove
house ^npl++++=house.
. ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
out ^rp+pl+++=out
in ^in++++=in
Rhodesia ^np++++=Rhodesia,
, ^zz++++=EXTRAWORD
Reggie ^np+++??+=Reggie,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
be ^vb+be+vrb++=be
sure ^jj+pred+++=sure
that ^tht+jcmp+++=that
is ^vbz+bez+vrb++=is
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
will ^md+prd+++=will
be ^vb+be+aux++=be
doing ^vbg+++xvbgx+=doing
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="
Reggie ^np+++??+=Reggie
gave ^vbd+++xvbn+=gave
no ^at++++=no
sign ^nn++++=sign
of ^in++++=of
having ^nn+nn+aux++=having
seen ^vbd+vprv++xvbn+=seen
the ^ati++++=the
doves ^nns++++=doves
or ^cc++++=or
of ^in++++=of
having ^nn+nn+aux++=having
heard ^vbd+vprv++xvbn+=heard
a ^at++++=a
word ^nn++++=word.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
moment ^nn++++=moment
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
conscious ^jj+pred+++=conscious
only ^rb+down+++=only
of ^in++++=of
the ^ati++++=the
immense ^jj+atrb+++=immense
effort ^nn++++=effort
it ^pp3+it+++=it
took ^vbd+++xvbn+=took
to ^to+vcmp+++=to
tear ^vb++++=tear
his ^pp$+pp3+++=his
secret ^nn++++=secret
out ^rp+pl+++=out
of ^in++++=of
himself ^ppl+pp3+++=himself
and ^cc++++=and
offer ^vb++++=offer
it ^pp3+it+++=it
to ^in++++=to
Anne ^np++++=Anne.
. ^zz++++=EXTRAWORD
" ^zz++++="Anne,
anne ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
you ^pp2+pp2+++=you
could ^md+pos+++=could
ever ^rb++++=ever
care ^nn++++=care
for ^in++++=for
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
done ^vpsv++agls+xvbnx+=done.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
in ^in++++=in
the ^ati++++=the
little ^ap++++=little
pause ^nn++++=pause
that ^tht+rel+subj++=that
followed ^vbn+vprv+tht0+xvbn+=followed
Reginald ^np++++=Reginald
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
garden ^nn++++=garden
open ^jj++++=open
to ^in++++=to
the ^ati++++=the
light ^nn++++=light,
, ^zz++++=EXTRAWORD
the ^ati++++=the
blue ^jj+atrb+++=blue
quivering ^jj+atrb++xvbg+=quivering
sky ^nn++++=sky,
, ^zz++++=EXTRAWORD
the ^ati++++=the
flutter ^nn++++=flutter
of ^in++++=of
leaves ^nns++++=leaves
on ^in++++=on
the ^ati++++=the
veranda ^nn++++=veranda
poles ^nn++++=poles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Anne ^np++++=Anne
turning ^vwbg+++xvbg+=turning
over ^in++++=over
the ^ati++++=the
grains ^nns++++=grains
of ^in++++=of
maize ^nn++++=maize
on ^rp++++=on
her ^pp3o+pp3+++=her
palm ^np++++=palm
with ^in++++=with
one ^cd1++++=one
finger ^nn++++=finger.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
slowly ^rb++++=slowly
she ^pp3a+pp3+++=she
shut ^vbd+++xvbnx+=shut
her ^pp$+pp3+++=her
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
new ^jj+atrb+++=new
world ^nn++++=world
faded ^vbd+++xvbn+=faded
as ^ql++++=as
she ^pp3a+pp3+++=she
murmured ^vbd+++xvbnx+=murmured
slowly ^rb+cnj+++=slowly,
, ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
never ^rb++++=never
in ^cs+sub+++=in
that ^cs"++++=that
way ^nn++++=way."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
scarcely ^rb+down+++=scarcely
time ^nn++++=time
to ^to++++=to
feel ^vbi+vprv+tht0++=feel
anything ^pn++++=anything
before ^cs+sub+++=before
she ^pp3a+pp3+++=she
walked ^vbd+++xvbnx+=walked
quickly ^rb++++=quickly
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
followed ^vbd+vprv+tht0+xvbnx+=followed
her ^pp$+pp3+++=her
down ^in++++=down
the ^ati++++=the
steps ^nns++++=steps,
, ^zz++++=EXTRAWORD
along ^in++++=along
the ^ati++++=the
garden ^nn++++=garden
path ^nn++++=path,
, ^zz++++=EXTRAWORD
under ^in++++=under
the ^ati++++=the
pink ^jj+atrb+++=pink
rose ^nn+++xvbn+=rose
arches ^nns++++=arches,
, ^zz++++=EXTRAWORD
across ^in+pl+++=across
the ^ati++++=the
lawn ^nn++++=lawn.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
gay ^jj+atrb+++=gay
herbaceous ^jj+atrb+++=herbaceous
border ^nn++++=border
behind ^in+pl+++=behind
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
Anne ^np++++=Anne
faced ^vwbn+++xvbn+=faced
Reginald ^np++++=Reginald.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
that ^cs+sub+++=that
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
awfully ^ql++++=awfully
fond ^jj++++=fond
of ^in++++=of
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But"
" ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
widened ^vbd+++xvbn+=widened
" ^zz++++="not
not ^xnot++not++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
way ^nn++++=way"
" ^zz++++=EXTRAWORD
a ^at++++=a
quiver ^nn++++=quiver
passed ^vbd+++xvbn+=passed
over ^rb+phrv+++=over
her ^pp$+pp3+++=her
face ^nn++++=face
" ^zz++++="one
one ^cd1++++=EXTRAWORD
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi++vrb++=be
fond ^jj++++=fond
of ^in+strn+++=of--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
lips ^nns++++=lips
parted ^vbd+++xvbn+=parted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
stop ^vb++++=stop
herself ^ppl+pp3+++=herself.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
began ^vbd+++xvbnx+=began
laughing ^nvbg+++xvbg+=laughing.
. ^zz++++=EXTRAWORD
" ^zz++++="There,
there ^rn+pl+++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
cried ^vbd+++xvbnx+=cried,
, ^zz++++=EXTRAWORD
" ^zz++++="it's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
your ^pp$+pp2+++=your
check ^vb+vprv+++=check
t ^zz++++=t-tie.
- ^zz++++=EXTRAWORD
tie ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
at ^rb++++=at
this ^dt+dem+++=this
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
one ^cd1++++=one
would ^md+prd+++=would
think ^vb+vprv+++=think
one ^cd1++++=one
really ^rb+emph+++=really
would ^md+prd+++=would
be ^vb+be+vrb++=be
solemn ^jj+pred+++=solemn,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
tie ^nn++++=tie
reminds ^vbz++++=reminds
me ^pp1o+pp1+++=me
fearfully ^rb++++=fearfully
of ^in++++=of
the ^ati++++=the
bow ^nn++++=bow-tie
- ^zz++++=EXTRAWORD
tie ^nn++++=EXTRAWORD
that ^tht+rel+obj++=that
cats ^nns++++=cats
wear ^nn++++=wear
in ^in++++=in
pictures ^nns++++=pictures!
! ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
please ^uh++++=please
forgive ^vb++++=forgive
me ^pp1o+pp1+++=me
for ^in++++=for
being ^xvbg+++xvbg+=being
so ^ql+emph+++=so
horrid ^jj++++=horrid,
, ^zz++++=EXTRAWORD
please ^uh++++=please!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Reggie ^np+++??+=Reggie
caught ^vbd+++xvbn+=caught
hold ^nn++++=hold
of ^in++++=of
her ^pp$+pp3+++=her
little ^ap++++=little
warm ^jj+atrb+++=warm
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
" ^zz++++="There's
there ^ex+pex+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
question ^nn+nom+++=question
of ^in++++=of
forgiving ^xvbg+++xvbg+=forgiving
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
quickly ^rb++++=quickly.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+whq++=EXTRAWORD
could ^md+pos+++=could
there ^ex+pex+++=there
be ^vb+be+vrb++=be?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
believe ^vb+vprv+tht0++=believe
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
why ^wrb+who+whcl++=why
I ^pp1a+pp1+++=I
make ^vb++++=make
you ^pp2+pp2+++=you
laugh ^vb++++=laugh.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
because ^cs+cos+++=because
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
so ^ql++++=so
far ^rb+pl+++=far
above ^rb++++=above
me ^pp1o+pp1+++=me
in ^in++++=in
every ^at++++=every
way ^nn++++=way
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
somehow ^rb++++=somehow
ridiculous ^jj+pred+++=ridiculous.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
see ^vb+vprv+tht0++=see
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
Anne ^np++++=Anne.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
were ^vbd+bed+vrb++=were
to ^to++++=to--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Anne ^np++++=Anne
squeezed ^vwbn+++xvbn+=squeezed
his ^pp$+pp3+++=his
hand ^nn++++=hand
hard ^jj++++=hard.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
all ^abn++++=all
wrong ^jj++++=wrong.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
far ^rb+pl+++=far
above ^rb++++=above
you ^pp2+pp2+++=you
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You're
're ^vb+ber+vrb++0=EXTRAWORD
much ^ap++++=much
better ^jjr++++=better
than ^cs+sub+++=than
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You're
're ^vb+ber+vrb++0=EXTRAWORD
marvellously ^rb++++=marvellously
unselfish ^jj+pred+++=unselfish
and ^cc++++=and
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
and ^cc+cls+++=and
kind ^nn++++=kind
and ^cc++++=and
simple ^jj++++=simple.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
none ^pn++++=none
of ^in++++=of
those ^dt+dem+++=those
things ^nns++++=things.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
the ^ati++++=the
most ^ql+emph+++=most
awful ^jj+atrb+++=awful
character ^nn+nom+++=character,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Anne ^np++++=Anne.
. ^zz++++=EXTRAWORD
" ^zz++++="Please
please ^uh++++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
interrupt ^vb++++=interrupt.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
besides ^rb++++=besides,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
the ^ati++++=the
point ^nn++++=point.
. ^zz++++=EXTRAWORD
The ^ati++++=The
point ^nn++++=point
is ^vbz+bez+vrb++=is"
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
shook ^vbd+++xvbnx+=shook
her ^pp$+pp3+++=her
head ^nn++++=head
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
possibly ^rb++++=possibly
marry ^vb++++=marry
a ^at++++=a
man ^nn++++=man
I ^pp1a+pp1+++=I
laughed ^vbd+++xvbnx+=laughed
at ^in+ppvb+++=at.
. ^zz++++=EXTRAWORD
Surely ^rb++++=Surely
you ^pp2+pp2+++=you
see ^vb+vprv+tht0++=see
that ^tht+vcmp+++=that.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
I ^pp1a+pp1+++=I
marry ^vb++++=marry--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
breathed ^vbd+++xvbn+=breathed
Anne ^np++++=Anne
softly ^rb++++=softly.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
broke ^vbd+++xvbnx+=broke
off ^rb+phrv+++=off.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
drew ^vbd+++xvbnx+=drew
her ^pp$+pp3+++=her
hand ^nn++++=hand
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looking ^vbg+++xvbg+=looking
at ^rb++++=at
Reggie ^np+++??+=Reggie
she ^pp3a+pp3+++=she
smiled ^vbd+++xvbnx+=smiled
strangely ^rb+cnj+++=strangely,
, ^zz++++=EXTRAWORD
dreamily ^rb++++=dreamily.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
man ^nn++++=man
I ^pp1a+pp1+++=I
marry ^vb++++=marry--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
Reggie ^vbi+++??+=Reggie
that ^dt+dem+++=that
a ^at++++=a
tall ^jj++++=tall,
, ^zz++++=EXTRAWORD
handsome ^jj++++=handsome,
, ^zz++++=EXTRAWORD
brilliant ^jj++++=brilliant
stranger ^jjr++++=stranger
stepped ^jj+++xvbn+=stepped
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
him ^pp3o+pp3+++=him
and ^cc++++=and
took ^vbd+++xvbn+=took
his ^pp$+pp3+++=his
place ^nn++++=place
the ^ati++++=the
kind ^rb++++=kind
of ^rb"++++=of
man ^nn++++=man
that ^tht+rel+obj++=that
Anne ^np++++=Anne
and ^cc++++=and
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
often ^rb++++=often
at ^in++++=at
the ^ati++++=the
theatre ^nn++++=theatre,
, ^zz++++=EXTRAWORD
walking ^vbg+++xvbg+=walking
on ^in+cmpx+++=on
to ^in"++++=to
the ^ati++++=the
stage ^nn++++=stage
from ^in++++=from
nowhere ^rb+cnj+++=nowhere,
, ^zz++++=EXTRAWORD
without ^in++++=without
a ^at++++=a
word ^nn++++=word
catching ^vwbg+++xvbg+=catching
the ^ati++++=the
heroine ^nn++++=heroine
in ^in++++=in
his ^pp$+pp3+++=his
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^in++++=after
one ^cd1++++=one
long ^jj+atrb+++=long,
, ^zz++++=EXTRAWORD
tremendous ^jj+atrb+++=tremendous
look ^nn++++=look,
, ^zz++++=EXTRAWORD
carrying ^jj+++xvbg+=carrying
her ^pp3o+pp3+++=her
off ^in+pl+++=off
to ^in++++=to
anywhere ^rb++++=anywhere
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Reggie ^np+++??+=Reggie
bowed ^vbd+++xvbn+=bowed
to ^in++++=to
his ^pp$+pp3+++=his
vision ^nn++++=vision.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
huskily ^rb++++=huskily.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+vrb++=EXTRAWORD
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Anne ^np++++=Anne.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
hope ^vb++++=hope
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
so ^rb+emph+++=so
horrid ^jj++++=horrid
about ^in++++=about
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
so ^ql+emph+++=so
hard ^jj++++=hard
to ^to+jcmp+++=to
explain ^vbi+vpub+++=explain.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+tht0++=know
I ^pp1a+pp1+++=I've
've ^vb+hv+vrb++0=EXTRAWORD
never ^rb++++=never--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stopped ^vbd+++xvbnx+=stopped.
. ^zz++++=EXTRAWORD
Reggie ^np+++??+=Reggie
looked ^vbd+++xvbn+=looked
at ^rb++++=at
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
smiling ^nvbg+++xvbg+=smiling.
. ^zz++++=EXTRAWORD
" ^zz++++="Isn't
is ^vbz+bez+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it
funny ^jj++++=funny?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can
say ^vb+vpub+tht0++=say
anything ^pn++++=anything
to ^in++++=to
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
always ^rb++++=always
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
able ^jj++++=able
to ^to+jcmp+++=to
from ^in++++=from
the ^ati++++=the
very ^ql+amp+++=very
beginning ^nvbg+++xvbg+=beginning."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
smile ^vbi++++=smile,
, ^zz++++=EXTRAWORD
to ^to++++=to
say ^vbi+vpub+++=say
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
glad ^jj+pred+++=glad."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
went ^vbd+++xvbnx+=went
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
never ^rb++splt++=never
known ^vprf+++xvbnx+=known
any ^dti++++=any
one ^cd1++++=one
I ^pp1a+pp1+++=I
like ^in++++=like
as ^ql++++=as
much ^ap++++=much
as ^ql++++=as
I ^pp1a+pp1+++=I
like ^vb++++=like
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
never ^rb++splt++=never
felt ^vprf+++xvbnx+=felt
so ^ql+emph+++=so
happy ^jj++++=happy
with ^in++++=with
any ^dti++++=any
one ^pn++++=one.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
sure ^jj+pred+++=sure
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
what ^wdt+who+++=what
people ^nns++++=people
and ^cc+cls+++=and
what ^wdt+who+++=what
books ^nns++++=books
mean ^vb+vprv+++=mean
when ^wrb+who+whcl++=when
they ^pp3a+pp3+++=they
talk ^nn++++=talk
about ^in++++=about
love ^nn++++=love.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
understand ^vb+vprv+++=understand?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
only ^rb+down+++=only
knew ^vbd+vprv++xvbn+=knew
how ^wrb+who+whcl++=how
horrid ^jj++++=horrid
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
we ^pp1a+pp1+++=we'd
'd ^md+prd+aux++0=EXTRAWORD
be ^vb+be+vrb++=be
like ^in+strn+++=like
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
like ^in++++=like
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Dove ^np++++=Dove."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
did ^vbd+dod+vrb++=did
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
That ^cs+sub+++=That
seemed ^vprf+++xvbn+=seemed
to ^to+vcmp+++=to
Reginald ^vbi++++=Reginald
final ^jj++++=final,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb++++=so
terribly ^rb++++=terribly
true ^jj++++=true
that ^tht+jcmp+++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=could
hardly ^rb+down+splt++=hardly
bear ^vb+vprv+tht0++=bear
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
drive ^vb++++=drive
it ^pp3+it+++=it
home ^nr++++=home,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
away ^rb+phrv+++=away
from ^in"++++=from
Anne ^np++++=Anne
and ^cc++++=and
looked ^vpsv++agls+xvbn+=looked
across ^in+pl+++=across
the ^ati++++=the
lawn ^nn++++=lawn.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
the ^ati++++=the
gardener ^nn+nom+++=gardener's
's ^$++++=EXTRAWORD
cottage ^nn+nom+++=cottage,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
dark ^jj+atrb+++=dark
ilex ^nn++++=ilex-tree
- ^zz++++=EXTRAWORD
tree ^nn++++=EXTRAWORD
beside ^in+pl+++=beside
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
A ^at++++=A
wet ^nn++++=wet,
, ^zz++++=EXTRAWORD
blue ^jj+atrb+++=blue
thumb ^nn++++=thumb
of ^in++++=of
transparent ^nn++++=transparent
smoke ^vb++++=smoke
hung ^vbd+++xvbn+=hung
above ^jjb++++=above
the ^ati++++=the
chimney ^nn++++=chimney.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
look ^vb++++=look
real ^jj++++=real.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
his ^pp$+pp3+++=his
throat ^nn++++=throat
ached ^vbd+++xvbn+=ached!
