[ ^zz++++=[This
is ^vbz+bez+vrb++=EXTRAWORD
my ^pp$+pp1+++=my
wish ^nn++++=wish
to ^to+ncmp+++=to
see ^vbi+vprv+++=see
the ^ati++++=the
mirrored ^jj+++xvbn+=mirrored
moon ^np++++=moon
on ^in++++=on
its ^pp$+it+++=its
untroubled ^jj+atrb++xvbn+=untroubled
face ^nn++++=face
and ^cc++++=and
hear ^vb+vprv+++=hear
the ^ati++++=the
voice ^nn++++=voice
of ^in++++=of
woman ^nn++++=woman
floating ^vwbg+++xvbg+=floating
over ^in++++=over
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Let ^jj+atrb++xvbn+=Let
perfumed ^jj+atrb++xvbn+=perfumed
breezes ^nns++++=breezes
pass ^vb++++=pass
through ^in++++=through
all ^abn++++=all
my ^pp$+pp1+++=my
draperies ^nns+nom+++=draperies!
! ^zz++++=EXTRAWORD
Ah ^uh++++=Ah,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
die ^vb++++=die,
, ^zz++++=EXTRAWORD
voluptuously ^jj++++=voluptuously
intoxicated ^jj+++xvbn+=intoxicated.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
eat ^vb++++=eat
of ^in++++=of
some ^dti++++=some
rare ^jj+atrb+++=rare
meat ^nn++++=meat,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
only ^rb+down+++=only
I ^pp1a+pp1+++=I
may ^md+pos+++=may
taste ^vb++++=taste,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
some ^dti++++=some
one ^cd1++++=one
sing ^vb++++=sing,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
damsels ^nns+++??+=damsels,
, ^zz++++=EXTRAWORD
lightly ^rb++++=lightly
draped ^jj++++=draped,
, ^zz++++=EXTRAWORD
serve ^vb++++=serve
me ^pp1o+pp1+++=me
from ^in++++=from
plates ^nns++++=plates
of ^in++++=of
gold ^nn++++=gold
and ^cc++++=and
watch ^vb++++=watch
my ^pp$+pp1+++=my
rest ^nn++++=rest.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
slave ^nn++++=slave
shall ^md+prd+++=shall
cut ^vb+++xvbn+=cut
her ^pp3o+pp3+++=her
sister ^npt++++=sister's
's ^$++++=EXTRAWORD
throat ^nn++++=throat,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
pleasure ^nn++++=pleasure
a ^at++++=a
favourite ^nn++++=favourite
with ^in++++=with
the ^ati++++=the
gods ^nns++++=gods
to ^in++++=to
mingle ^nn+++??+=mingle
the ^ati++++=the
perfume ^nn++++=perfume
of ^in++++=of
blood ^nn++++=blood
with ^in++++=with
that ^dt+dem+++=that
of ^in++++=of
food ^nn++++=food,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cries ^nns++++=cries
of ^in++++=of
victims ^nns++++=victims
soothe ^vb++++=soothe
my ^pp$+pp1+++=my
nerves ^nns++++=nerves.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
night ^nn++++=night
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
burn ^vb++++=burn
Rome ^np++++=Rome.
. ^zz++++=EXTRAWORD
The ^ati++++=The
flames ^nns++++=flames
shall ^md+prd+++=shall
light ^vb++++=light
up ^rp++++=up
heaven ^nn++++=heaven,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Tiber ^np+++??+=Tiber
shall ^md+prd+++=shall
roll ^vb++++=roll
in ^in++++=in
waves ^nns++++=waves
of ^in++++=of
fire ^nn++++=fire!
! ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
build ^vb++++=build
of ^in++++=of
aloes ^vbz+++??+=aloes
wood ^npl++++=wood
a ^at++++=a
stage ^nn++++=stage
to ^to++++=to
float ^vbi++++=float
upon ^in++++=upon
the ^ati++++=the
Italian ^jj+atrb+++=Italian
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Roman ^jj+atrb+++=Roman
populace ^nn++++=populace
shall ^md+prd+++=shall
throng ^vb++++=throng
thereto ^rb++++=thereto
chanting ^vbg+++xvbg+=chanting
my ^pp$+pp1+++=my
praise ^nn++++=praise.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
draperies ^nns+nom+++=draperies
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
of ^in++++=of
purple ^nn++++=purple,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
it ^pp3+it+++=it
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
have ^vb+hv+vrb++=have
a ^at++++=a
bed ^nn++++=bed
of ^in++++=of
eagles ^nns++++=eagles'
' ^zz++++=EXTRAWORD
plumage ^nn+nom+++=plumage.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
sit ^vb++++=sit,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
my ^pp$+pp1+++=my
side ^nn++++=side
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
the ^ati++++=the
loveliest ^jjt+atrb+++=loveliest
woman ^nn++++=woman
in ^in++++=in
the ^ati++++=the
empire ^nn++++=empire,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
all ^abn++++=all
the ^ati++++=the
universe ^nn++++=universe
applauds ^vbz++++=applauds
the ^ati++++=the
achievements ^nns+nom+++=achievements
of ^in++++=of
a ^at++++=a
god ^nn++++=god!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
though ^cs+sub+++=though
the ^ati++++=the
tempest ^nn++++=tempest
roar ^nn++++=roar
round ^rp++++=round
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
rage ^nn++++=rage
shall ^md+prd+++=shall
be ^vb+be+aux++=be
extinguished ^vpsv++agls+xvbnx+=extinguished
' ^zz++++='neath
neath ^in++++=EXTRAWORD
my ^pp$+pp1+++=my
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sounds ^nns++++=sounds
of ^in++++=of
music ^nn++++=music
shall ^md+prd+++=shall
o ^zz++++=o'ercome
'ercome ^nn+++??+=EXTRAWORD
the ^ati++++=the
clamor ^nn++++=clamor
of ^in++++=of
the ^ati++++=the
waves ^nns++++=waves!
! ^zz++++=EXTRAWORD
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
What ^wdt+who+++=What
didst ^nn+++??+=didst
thou ^pp2+pp2+++=thou
say ^vb+vpub+++=say?
? ^zz++++=EXTRAWORD
Vindex ^np+++??+=Vindex
revolts ^nns++++=revolts,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
legions ^nns+++??+=legions
fly ^vb++++=fly,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
women ^nns++++=women
flee ^vb++++=flee
in ^in++++=in
terror ^nn++++=terror?
? ^zz++++=EXTRAWORD
Silence ^nn+nom+++=Silence
and ^cc++++=and
tears ^nns++++=tears
alone ^rb++++=alone
remain ^vb++++=remain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
hear ^vb+vprv+++=hear
naught ^vbd+++xvbn+=naught
but ^cc++++=but
the ^ati++++=the
rolling ^jj+++xvbg+=rolling
of ^in++++=of
thunder ^nn++++=thunder.
. ^zz++++=EXTRAWORD
Must ^md+nec+++=Must
I ^pp1a+pp1+++=I
die ^vb++++=die,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now?
? ^zz++++=EXTRAWORD
Death ^nn++++=DEATH.
. ^zz++++=EXTRAWORD
Instantly ^rb+tm+++=Instantly!
! ^zz++++=EXTRAWORD
Nero ^np+++??+=NERO.
. ^zz++++=EXTRAWORD
Must ^md+nec+++=Must
I ^pp1a+pp1+++=I
give ^vb++++=give
up ^rb+phrv+++=up
my ^pp$+pp1+++=my
days ^nns++++=days
of ^in++++=of
feasting ^nn++++=feasting
and ^cc++++=and
delight ^nn++++=delight,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
spectacles ^nns++++=spectacles,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
triumphs ^nns++++=triumphs,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
chariots ^nns+++??+=chariots
and ^cc++++=and
the ^ati++++=the
applause ^nn++++=applause
of ^in++++=of
multitudes ^nns++++=multitudes?
? ^zz++++=EXTRAWORD
Death ^nn++++=DEATH.
. ^zz++++=EXTRAWORD
All ^abn++++=All!
! ^zz++++=EXTRAWORD
All ^abn++++=All!
! ^zz++++=EXTRAWORD
Satan ^np++++=SATAN.
. ^zz++++=EXTRAWORD
Haste ^nn++++=Haste,
, ^zz++++=EXTRAWORD
Master ^nn++++=Master
of ^in++++=of
the ^ati++++=the
World ^nn++++=World!
! ^zz++++=EXTRAWORD
One ^cd1++++=One
comes ^vbz++++=comes
One ^cd1++++=One
who ^whp+rel+subj++=who
will ^md+prd+++=will
put ^vb+++xvbn+=put
thee ^pp2+pp2+++=thee
to ^in++++=to
the ^ati++++=the
sword ^nn++++=sword.
. ^zz++++=EXTRAWORD
An ^at++++=An
emperor ^nn++++=emperor
knows ^vbz+vprv+++=knows
how ^wrb+who+whcl++=how
to ^to++++=to
die ^vbi++++=die!
! ^zz++++=EXTRAWORD
Nero ^np+++??+=NERO.
. ^zz++++=EXTRAWORD
Die ^vb++++=Die!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
scarce ^jj++++=scarce
begun ^vwbn+++xvbn+=begun
to ^to++++=to
live ^vbi++++=live!
! ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
great ^jj+atrb+++=great
deeds ^nns++++=deeds
I ^pp1a+pp1+++=I
should ^md+nec+++=should
accomplish ^vb++++=accomplish
deeds ^nns++++=deeds
that ^tht+rel+subj++=that
should ^md+nec+++=should
make ^vb++++=make
Olympus ^np+++??+=Olympus
tremble ^vb++++=tremble!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
fill ^vb++++=fill
up ^rp++++=up
the ^ati++++=the
bed ^nn++++=bed
of ^in++++=of
hoary ^nn++++=hoary
ocean ^nn++++=ocean
and ^cc++++=and
speed ^nn++++=speed
across ^in+pl+++=across
it ^pp3+it+++=it
in ^in++++=in
a ^at++++=a
triumphal ^jj+atrb+++=triumphal
car ^nn++++=car.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
still ^rb++splt++=still
live ^vb++++=live
would ^md+prd+++=would
see ^vb+vprv+++=see
the ^ati++++=the
sun ^nn++++=sun
once ^rb+tm+++=once
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Tiber ^np+++??+=Tiber,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Campagna ^np+++??+=Campagna,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Circus ^nn++++=Circus
on ^in++++=on
the ^ati++++=the
golden ^jj+atrb+++=golden
sands ^nns++++=sands.
. ^zz++++=EXTRAWORD
Ah ^uh++++=Ah!
! ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
me ^pp1o+pp1+++=me
live ^vb++++=live!
! ^zz++++=EXTRAWORD
Death ^nn++++=DEATH.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
give ^vb++++=give
thee ^pp2+pp2+++=thee
a ^at++++=a
mantle ^nn++++=mantle
for ^in++++=for
the ^ati++++=the
tomb ^nn++++=tomb,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
eternal ^jj+atrb+++=eternal
bed ^nn++++=bed
that ^tht+rel+subj++=that
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
softer ^jjr+pred+++=softer
and ^cc++++=and
more ^rbr++++=more
peaceful ^jj++++=peaceful
than ^in++++=than
the ^ati++++=the
Imperial ^jj+atrb+++=Imperial
couch ^nn++++=couch.
. ^zz++++=EXTRAWORD
Nero ^np+++??+=NERO.
. ^zz++++=EXTRAWORD
Yet ^rb+cnj+++=Yet,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
loth ^jj+pred+++=loth
to ^to++++=to
die ^vbi++++=die.
. ^zz++++=EXTRAWORD
Death ^nn++++=DEATH.
. ^zz++++=EXTRAWORD
Die ^vb++++=Die,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then!
! ^zz++++=EXTRAWORD
[ ^zz++++=[He
he ^pp3a+pp3+++=EXTRAWORD
gathers ^nns+nom+++=gathers
up ^rp++++=up
the ^ati++++=the
shroud ^nn++++=shroud,
, ^zz++++=EXTRAWORD
lying ^vbg+++xvbg+=lying
beside ^in+pl+++=beside
him ^pp3o+pp3+++=him
on ^in++++=on
the ^ati++++=the
ground ^nn++++=ground,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bears ^nns++++=bears
away ^rp+pl+++=away
nero ^np++++=Nero
wrapped ^vbd+++xvbn+=wrapped
in ^in++++=in
its ^pp$+it+++=its
folds ^nns++++=folds.]
. ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
