Eight ^cd++++=Eight
whisky ^nn++++=whisky
and ^cc++++=and
shook ^vbd+++xvbn+=shook
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
` ^zz++++=`Ah,'
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
` ^zz++++=`you
you ^pp2+pp2+++=EXTRAWORD
may ^md+pos+++=may
say ^vb+vpub+++=say
what ^wdt+who+whcl++=what
you ^pp2+pp2+++=you
like ^vb++++=like.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
woman ^nn++++=woman
like ^in++++=like
the ^ati++++=the
Parisienne ^np+++??+=Parisienne
for ^in++++=for
style ^nn++++=style,
, ^zz++++=EXTRAWORD
for ^in++++=for
go ^nn++++=go.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
` ^zz++++=`Then
then ^rn+tm+++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
an ^at++++=an
immoral ^jj+atrb+++=immoral
city ^nn++++=city,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Little ^ap++++=Little
Chandler ^np+nom+++=Chandler,
, ^zz++++=EXTRAWORD
with ^in++++=with
timid ^jj+atrb+++=timid
insistence ^nn+nom+++=insistence
` ^zz++++=`I
i ^pp1a+pp1+++=EXTRAWORD
mean ^jj++++=mean,
, ^zz++++=EXTRAWORD
compared ^j+++xvbn+=compared
with ^in++++=with
London ^np++++=London
or ^cc++++=or
Dublin ^np++++=Dublin?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
` ^zz++++=`London!'
london ^np++++=EXTRAWORD
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Ignatius ^np+++??+=Ignatius
Gallaher ^np+nom++??+=Gallaher.
. ^zz++++=EXTRAWORD
` ^zz++++=`It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
six ^cd++++=six
of ^in++++=of
one ^cd1++++=one
and ^cc++++=and
half ^nn++++=half
a ^at++++=a
dozen ^cd++++=dozen
of ^in++++=of
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
ask ^vb++++=ask
Hogan ^np+++??+=Hogan,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
boy ^nn++++=boy.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
showed ^vbd+vprv++xvbnx+=showed
him ^pp3o+pp3+++=him
a ^at++++=a
bit ^nn++++=bit
about ^in++++=about
London ^np++++=London
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
over ^in++++=over
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++0=He'd
'd ^md+prd+vrb++=EXTRAWORD
open ^jj++++=open
your ^pp$+pp2+++=your
eye. ^nn+++??+=eye...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
Tommy ^np++++=Tommy,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
make ^vb++++=make
punch ^nn++++=punch
of ^in++++=of
that ^dt+dem+++=that
whisky ^nn++++=whisky:
: ^zz++++=EXTRAWORD
liquor ^nn++++=liquor
up ^rp++++=up.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
` ^zz++++=`No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
really ^rb+emph+++=really.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
` ^zz++++=`O,
o ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
come ^vprf+++xvbn+=come
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
another ^dt++++=another
one ^cd1++++=one
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
any ^dti++++=any
harm ^nn++++=harm.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
is ^vbz+bez+aux++=is
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
The ^ati++++=The
same ^ap++++=same
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+++=suppose?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
` ^zz++++=`Well...
well. ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
all ^abn++++=all
right ^jj++++=right.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
` ^zz++++=`Franois,
franois ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
again. ^nn+++??+=again...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
you ^pp2+pp2+++=you
smoke ^nn++++=smoke,
, ^zz++++=EXTRAWORD
Tommy ^np++++=Tommy?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Ignatius ^np+++??+=Ignatius
Gallaher ^np+nom++??+=Gallaher
produced ^vbd+++xvbn+=produced
his ^pp$+pp3+++=his
cigar ^nn++++=cigar-case.
- ^zz++++=EXTRAWORD
case ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
friends ^nns++++=friends
lit ^vbd+++xvbn+=lit
their ^pp$+pp3+++=their
cigars ^nns++++=cigars
and ^cc++++=and
puffed ^vpsv++agls+xvbn+=puffed
at ^in++++=at
them ^pp3o+pp3+++=them
in ^in++++=in
silence ^nn+nom+++=silence
until ^cs+sub+++=until
their ^pp$+pp3+++=their
drinks ^nns++++=drinks
were ^vbd+bed+aux++=were
served ^vpsv++agls+xvbnx+=served.
. ^zz++++=EXTRAWORD
` ^zz++++=`I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you
my ^pp$+pp1+++=my
opinion ^nn++++=opinion,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Ignatius ^np+++??+=Ignatius
Gallaher ^np+nom++??+=Gallaher,
, ^zz++++=EXTRAWORD
emerging ^vbg+++xvbg+=emerging
after ^in++++=after
some ^dti++++=some
time ^nn++++=time
from ^in++++=from
the ^ati++++=the
clouds ^nns++++=clouds
of ^in++++=of
smoke ^nn++++=smoke
in ^in++++=in
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
refuge ^nn++++=refuge,
, ^zz++++=EXTRAWORD
` ^zz++++=`it's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
rum ^nn++++=rum
world ^nn++++=world.
. ^zz++++=EXTRAWORD
Talk ^nn++++=Talk
of ^in++++=of
immorality ^nn+nom+++=immorality!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
heard ^vprf+++xvbnx+=heard
of ^in++++=of
cases ^nns++++=cases
what ^wdt+who+++=what
am ^vb+bem+aux++=am
I ^pp1a+pp1+++=I
saying ^vbg+++xvbg+=saying?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
known ^vprf+++xvbnx+=known
them ^pp3o+pp3+++=them:
: ^zz++++=EXTRAWORD
cases ^nns++++=cases
of. ^nn+++??+=of...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
immorality. ^nn+++??+=immorality...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++='
Ignatius ^np+++??+=Ignatius
Gallaher ^np+nom++??+=Gallaher
puffed ^vbd+++xvbn+=puffed
thoughtfully ^rb++++=thoughtfully
at ^in++++=at
his ^pp$+pp3+++=his
cigar ^nn++++=cigar
and ^cc++++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
calm ^nn++++=calm
historian ^nn++++=historian's
's ^$++++=EXTRAWORD
tone ^nn++++=tone,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
proceeded ^vbd+++xvbnx+=proceeded
to ^in++++=to
sketch ^nn++++=sketch
for ^in++++=for
his ^pp$+pp3+++=his
friend ^nn++++=friend
some ^dti++++=some
pictures ^nns++++=pictures
of ^in++++=of
the ^ati++++=the
corruption ^nn+nom+++=corruption
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
rife ^jj+pred+++=rife
abroad ^rb+pl+++=abroad.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
summarized ^vbd+++xvbnx+=summarized
the ^ati++++=the
vices ^nns++++=vices
of ^in++++=of
many ^ap++++=many
capitals ^nns+nom+++=capitals
and ^cc++++=and
seemed ^vbd+seem++xvbn+=seemed
inclined ^jj+++xvbn+=inclined
to ^to+jcmp+++=to
award ^vbi++++=award
the ^ati++++=the
palm ^nn++++=palm
to ^in++++=to
Berlin ^np++++=Berlin.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
things ^nns++++=things
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
vouch ^nn+++??+=vouch
for ^in++++=for
( ^zz++++=(his
his ^pp$+pp3+++=EXTRAWORD
friends ^nns++++=friends
had ^vbd+hvd+aux++=had
told ^vprf+++xvbnx+=told
him ^pp3o+pp3+++=him),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
of ^in++++=of
others ^aps++++=others
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
had ^vb+hv+vrb++=had
personal ^jj+atrb+++=personal
experience ^nn+nom+++=experience.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
spared ^vbd+++xvbnx+=spared
neither ^dt++neg++=neither
rank ^nn++++=rank
nor ^cc++neg++=nor
caste ^nn++++=caste.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
revealed ^vbd+vprv++xvbnx+=revealed
many ^ap++++=many
of ^in++++=of
the ^ati++++=the
secrets ^nns++++=secrets
of ^in++++=of
religious ^jj+atrb+++=religious
houses ^nns++++=houses
on ^in++++=on
the ^ati++++=the
Continent ^nn++++=Continent
and ^cc++++=and
described ^vbd+++xvbn+=described
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
practices ^nns++++=practices
which ^whp+rel+subj++=which
were ^vbd+bed+vrb++=were
fashionable ^jj+pred+++=fashionable
in ^in++++=in
high ^jj+atrb+++=high
society ^nn++++=society,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ended ^vpsv++by+xvbn+=ended
by ^in++++=by
telling ^xvbg+++xvbg+=telling,
, ^zz++++=EXTRAWORD
with ^in++++=with
details ^nns++++=details,
, ^zz++++=EXTRAWORD
a ^at++++=a
story ^nn++++=story
about ^in++++=about
an ^at++++=an
English ^jj+atrb+++=English
duchess ^nns+nom+++=duchess
a ^at++++=a
story ^nn++++=story
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
to ^to+vcmp+++=to
be ^vbi++vrb++=be
true ^jj+pred+++=true.
. ^zz++++=EXTRAWORD
Little ^ap++++=Little
chandler ^np+nom+++=chandler
was ^vbd+bedz+aux++=was
astonished ^vpsv++agls+xvbnx+=astonished.
. ^zz++++=EXTRAWORD
` ^zz++++=`Ah,
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
well ^rb+cnj+++=well,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Ignatius ^np+++??+=Ignatius
Gallaher ^np+nom++??+=Gallaher,
, ^zz++++=EXTRAWORD
` ^zz++++=`here
here ^rn+pl+++=EXTRAWORD
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
in ^in++++=in
old ^jj+atrb+++=old
jog ^nn+++??+=jog-along
- ^zz++++=EXTRAWORD
along ^in++++=EXTRAWORD
Dublin ^np++++=Dublin
where ^wrb+who+++=where
nothing ^pn++++=nothing
is ^vbz+bez+aux++=is
known ^vpsv++agls+xvbnx+=known
of ^in++++=of
such ^abl++++=such
things ^nns++++=things.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
` ^zz++++=`How
how ^wrb+who+++=EXTRAWORD
dull ^jj++++=dull
you ^pp2+pp2+++=you
must ^md+nec+++=must
find ^vb+vprv+tht0++=find
it ^pp3+it+++=it,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Little ^ap++++=Little
Chandler ^np+nom+++=Chandler,
, ^zz++++=EXTRAWORD
` ^zz++++=`after
after ^cs+sub+++=EXTRAWORD
all ^abn++++=all
the ^ati++++=the
other ^ap++++=other
places ^nns++++=places
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
seen ^vprf+++xvbnx+=seen!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
` ^zz++++=`Well,'
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Ignatius ^np+++??+=Ignatius
Gallaher ^np+nom++??+=Gallaher,
, ^zz++++=EXTRAWORD
` ^zz++++=`it's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
relaxation ^nn+nom+++=relaxation
to ^to++++=to
come ^vbi++++=come
over ^in++++=over
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
after ^in++++=after
all ^abn++++=all,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
old ^jj+atrb+++=old
country ^nn++++=country,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
help ^nn++++=help
having ^vwbg+hvg++xvbg+=having
a ^at++++=a
certain ^jj++++=certain
feeling ^jj+++xvbg+=feeling
for ^in++++=for
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
human ^jj+atrb+++=human
nature. ^nn+++??+=nature...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
tell ^vb++++=tell
me ^pp1o+pp1+++=me
something ^pn++++=something
about ^in++++=about
yourself ^ppl+pp2+++=yourself.
. ^zz++++=EXTRAWORD
Hogan ^np+++??+=Hogan
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me
you ^pp2+pp2+++=you
had. ^nn+++??+=had...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
tasted ^vprf+++xvbn+=tasted
the ^ati++++=the
joys ^nns++++=joys
of ^in++++=of
connubial ^jj+atrb+++=connubial
bliss ^nn++++=bliss.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
years ^nns++++=years
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Little ^ap++++=Little
Chandler ^np+nom+++=Chandler
blushed ^vbd+++xvbn+=blushed
and ^cc+phrs+++=and
smiled ^vbd+++xvbn+=smiled.
. ^zz++++=EXTRAWORD
` ^zz++++=`Yes,'
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
` ^zz++++=`I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+aux++=was
married ^vpsv++agls+xvbnx+=married
last ^rb++++=last
May ^md+pos+++=May
twelve ^cd++++=twelve
months ^nns++++=months.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
` ^zz++++=`I
i ^pp1a+pp1+++=EXTRAWORD
hope ^vb++++=hope
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
too ^ql++++=too
late ^jj++++=late
in ^in++++=in
the ^ati++++=the
day ^nn++++=day
to ^to++++=to
offer ^vbi++++=offer
my ^pp$+pp1+++=my
best ^jjt+atrb+++=best
wishes ^nns++++=wishes,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Ignatius ^np+++??+=Ignatius
Gallaher ^np+nom++??+=Gallaher.
. ^zz++++=EXTRAWORD
` ^zz++++=`I
i ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
your ^pp$+pp2+++=your
address ^nns+nom+++=address
or ^cc++++=or
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done
so ^pn++++=so
at ^rb++++=at
the ^ati++++=the
time ^nn++++=time.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
extended ^vbd+++xvbnx+=extended
his ^pp$+pp3+++=his
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
Little ^jj+atrb+++=Little
Chandler ^np+nom+++=Chandler
took ^vbd+++xvbn+=took.
. ^zz++++=EXTRAWORD
` ^zz++++=`Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Tommy ^np++++=Tommy,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
` ^zz++++=`I
i ^pp1a+pp1+++=EXTRAWORD
wish ^vb+vprv+tht0++=wish
you ^pp2+pp2+++=you
and ^cc++++=and
yours ^pp$$++++=yours
every ^at++++=every
joy ^nn++++=joy
in ^in++++=in
life ^nn++++=life,
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
chap ^nn++++=chap,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tons ^nns++++=tons
of ^in++++=of
money ^nn++++=money,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
may ^md+pos+++=may
you ^pp2+pp2+++=you
never ^rb++++=never
die ^vb++++=die
till ^cs+sub+++=till
I ^pp1a+pp1+++=I
shoot ^vb++++=shoot
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
wish ^nn++++=wish
of ^in++++=of
a ^at++++=a
sincere ^jj+atrb+++=sincere
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
an ^at++++=an
old ^jj+atrb+++=old
friend ^nn++++=friend.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+tht0++=know
that ^tht+vcmp+++=that?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
` ^zz++++=`I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+tht0++=know
that ^tht+vcmp+++=that,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Little ^ap++++=Little
Chandler ^np+nom+++=Chandler.
. ^zz++++=EXTRAWORD
` ^zz++++=`Any
any ^dti++++=EXTRAWORD
youngsters ^nns+nom+++=youngsters?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Ignatius ^np+++??+=Ignatius
Gallaher ^np+nom++??+=Gallaher.
. ^zz++++=EXTRAWORD
Little ^ap++++=Little
Chandler ^np+nom+++=Chandler
blushed ^vbd+++xvbn+=blushed
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
` ^zz++++=`We
we ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
one ^cd1++++=one
child ^nn++++=child,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
` ^zz++++=`Son
son ^nn++++=EXTRAWORD
or ^cc++++=or
daughter ^nn+nom+++=daughter?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
` ^zz++++=`A
a ^rb++++=EXTRAWORD
little ^rb"++++=little
boy ^nn++++=boy.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Ignatius ^np+++??+=Ignatius
Gallaher ^np+nom++??+=Gallaher
slapped ^vbd+++xvbn+=slapped
his ^pp$+pp3+++=his
friend ^nn++++=friend
sonorously ^rb++++=sonorously
on ^in++++=on
the ^ati++++=the
back ^nn++++=back.
. ^zz++++=EXTRAWORD
` ^zz++++=`Bravo,'
bravo ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
` ^zz++++=`I
i ^pp1a+pp1+++=EXTRAWORD
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
doubt ^vb++++=doubt
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Tommy ^np++++=Tommy.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Little ^ap++++=Little
Chandler ^np+nom+++=Chandler
smiled ^vbd+++xvbn+=smiled,
, ^zz++++=EXTRAWORD
looked ^j+++xvbn+=looked
confusedly ^rb++++=confusedly
at ^in++++=at
his ^pp$+pp3+++=his
glass ^nn++++=glass
and ^cc++++=and
bit ^nn++++=bit
his ^pp$+pp3+++=his
lower ^jjr+atrb+++=lower
lip ^nn++++=lip
with ^in++++=with
three ^cd++++=three
childishly ^rb++++=childishly
white ^jj+atrb+++=white
front ^jjb+atrb+++=front
teeth ^nns++++=teeth.
. ^zz++++=EXTRAWORD
` ^zz++++=`I
i ^pp1a+pp1+++=EXTRAWORD
hope ^nn++++=hope
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
spend ^vb++++=spend
an ^at++++=an
evening ^nn++++=evening
with ^in++++=with
us ^pp1o+pp1+++=us,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
` ^zz++++=`before
before ^cs+sub+++=EXTRAWORD
you ^pp2+pp2+++=you
go ^vb++++=go
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
wife ^nn++++=wife
will ^md+prd+++=will
be ^vb+be+aux++=be
delighted ^jj++agls+xvbnx+=delighted
to ^to+jcmp+++=to
meet ^vbi++++=meet
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
can ^md+pos+++=can
have ^vb+hv+vrb++=have
a ^rb++++=a
little ^rb"++++=little
music ^nn++++=music
and ^cc++++=and--'
-- ^--+clp+++=EXTRAWORD
' ^zz++++=EXTRAWORD
` ^zz++++=`Thanks
thanks ^rb+dspt+++=EXTRAWORD
awfully ^ql++++=awfully,
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
chap ^nn++++=chap,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Ignatius ^np+++??+=Ignatius
Gallaher ^np+nom++??+=Gallaher,
, ^zz++++=EXTRAWORD
` ^zz++++=`I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
sorry ^uh++++=sorry
we ^pp1a+pp1+++=we
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
meet ^vb++++=meet
earlier ^jjr++++=earlier.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
must ^md+nec+++=must
leave ^vb++++=leave
tomorrow ^nr+tm+++=tomorrow
night ^nn++++=night.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
` ^zz++++=`Tonight,
tonight ^nr+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
perhaps. ^nn+++??+=perhaps...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
? ^zz++++=?`
` ^zz++++=EXTRAWORD
` ^zz++++=`I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
awfully ^ql++++=awfully
sorry ^uh++++=sorry,
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
man ^nn++++=man.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
see ^vb+vprv+tht0++=see
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
over ^in++++=over
here ^rn+pl+++=here
with ^in++++=with
another ^dt++++=another
fellow ^jjb++++=fellow,
, ^zz++++=EXTRAWORD
clever ^jj+atrb+++=clever
young ^jj+atrb+++=young
chap ^nn++++=chap
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
arranged ^vbd+vsua++xvbn+=arranged
to ^to+vcmp+++=to
go ^vbi++++=go
to ^in++++=to
a ^rb++++=a
little ^rb"++++=little
card ^nn++++=card-party.
- ^zz++++=EXTRAWORD
party ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
for ^in++++=for
that. ^nn+++??+=that...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++='
` ^zz++++=`O,
o ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^cs+sub+++=in
that ^cs"++++=that
case. ^nn+++??+=case...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++='
` ^zz++++=`But
but ^cc+cls+++=EXTRAWORD
who ^whp+who+++=who
knows ^vbz+vprv+++=knows?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Ignatius ^np+++??+=Ignatius
Gallaher ^np+nom++??+=Gallaher
considerately ^jj++++=considerately.
. ^zz++++=EXTRAWORD
` ^zz++++=`Next
next ^ap++++=EXTRAWORD
year ^nn++++=year
I ^pp1a+pp1+++=I
may ^md+pos+++=may
take ^vb++++=take
a ^rb++++=a
little ^rb"++++=little
skip ^vb++++=skip
over ^in++++=over
here ^rn+pl+++=here
now ^rn+tm+++=now
that ^cs+sub+++=that
