Side ^nn++++=Side
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc+cls+++=EXTRAWORD
what ^wdt+who+++=what
does ^vbz+doz+aux++=does
that ^dt+dem+++=that
say ^vb+vpub+++=say
to ^to+vcmp+++=to
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
her ^pp$+pp3+++=her
go ^vb++++=go
her ^pp$+pp3+++=her
way ^nn++++=way,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
and ^cc++++=and
her ^pp$+pp3+++=her
cat ^nn++++=cat.
. ^zz++++=EXTRAWORD
Au ^&fw++++=Au
r ^zz++++=r'voir,
'voir, ^nn+++??+=EXTRAWORD
' ^zz++++='sieurs,
sieurs ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++='dame."
dame ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And,
, ^zz++++=EXTRAWORD
rattling ^jj++++=rattling
a ^at++++=a
couple ^nn++++=couple
of ^in++++=of
sous ^&fw++++=sous
into ^in++++=into
the ^ati++++=the
little ^jj+atrb+++=little
urn ^nn++++=urn
reserved ^vbd+++xvbn+=reserved
for ^in++++=for
tips ^nns++++=tips,
, ^zz++++=EXTRAWORD
the ^ati++++=the
policeman ^nn+nom+++=policeman
took ^vbd+++xvbn+=took
his ^pp$+pp3+++=his
departure ^nn++++=departure,
, ^zz++++=EXTRAWORD
amid ^in++++=amid
a ^at++++=a
chorus ^nn++++=chorus
of ^in++++=of
" ^zz++++="Merci,
merci ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++0=m'sieu',
sieu ^nn+++??+=EXTRAWORD
', ^nn+++??+=EXTRAWORD
au ^&fw++++=au
r ^zz++++=r'voir,
'voir, ^nn+++??+=EXTRAWORD
my ^pp$+pp1+++0=m'sieu',"
sieu ^nn+++??+=EXTRAWORD
'," ^nn+++??+=EXTRAWORD
from ^in++++=from
Hippolyte ^np+++??+=Hippolyte
and ^cc++++=and
his ^pp$+pp3+++=his
duck ^nn++++=duck-clad
- ^zz++++=EXTRAWORD
clad ^jj+atrb+++=EXTRAWORD
aids ^nns++++=aids.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said
remained ^vbd+++xvbn+=remained
behind ^in+strn+++=behind.
. ^zz++++=EXTRAWORD
All ^abn++++=All
day ^nn++++=day
Madame ^npt++++=Madame
Sergeot ^np+++??+=Sergeot
pondered ^vbd+++xvbn+=pondered
upon ^in++++=upon
the ^ati++++=the
incident ^nn++++=incident
of ^in++++=of
the ^ati++++=the
morning ^nn++++=morning
and ^cc++++=and
Abel ^np+++??+=Abel
Flique ^np++++=Flique's
's ^$++++=EXTRAWORD
comments ^nns+nom+++=comments
thereupon ^rb+cnj+++=thereupon,
, ^zz++++=EXTRAWORD
seeking ^vbg+++xvbg+=seeking
out ^rp+pl+++=out
some ^dti++++=some
more ^rbr++++=more
plausible ^jj+atrb+++=plausible
reason ^nn++++=reason
for ^in++++=for
this ^dt+dem+++=this
hitherto ^rb++++=hitherto
unsuspected ^jj+atrb+++=unsuspected
enmity ^nn++++=enmity
than ^in++++=than
the ^ati++++=the
mere ^jjb+atrb+++=mere
contrast ^nn++++=contrast
between ^in++++=between
her ^pp$+pp3+++=her
material ^nn++++=material
conditions ^nns+nom+++=conditions
and ^cc++++=and
those ^dt+dem+++=those
of ^in++++=of
Madame ^npt++++=Madame
Caille ^np+++??+=Caille
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
her ^pp$+pp3+++=her
to ^to++++=to
afford ^vbi++++=afford.
. ^zz++++=EXTRAWORD
For ^in+strn+++=For,
, ^zz++++=EXTRAWORD
to ^in++++=to
a ^at++++=a
natural ^jj+atrb+++=natural
placidity ^nn+nom+++=placidity
of ^in++++=of
temperament ^nn+nom+++=temperament,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
manifested ^vbd+++xvbn+=manifested
itself ^ppl++++=itself
in ^in++++=in
a ^at++++=a
reluctance ^nn+nom+++=reluctance
to ^to+ncmp+++=to
incur ^vb+++??+=incur
the ^ati++++=the
displeasure ^nn++++=displeasure
of ^in++++=of
any ^dti++++=any
one ^pn++++=one,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
lately ^rb+tm+splt++=lately
added ^vpsv++agls+xvbn+=added
in ^in++++=in
Esp ^np+++??+=Esp
rance ^nn++++=rance
a ^at++++=a
shrewd ^jj+atrb+++=shrewd
commercial ^jj+atrb+++=commercial
instinct ^nn++++=instinct,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
told ^vbd+vpub++xvbn+=told
her ^pp$+pp3+++=her
that ^cs+sub+++=that
the ^ati++++=the
fortunes ^nns++++=fortunes
of ^in++++=of
the ^ati++++=the
Salon ^nn++++=Salon
Malakoff ^np+++??+=Malakoff
might ^md+pos+++=might
readily ^rb++++=readily
be ^vb+be+aux++=be
imperilled ^vpsv++by+xvbnx+=imperilled
by ^in++++=by
an ^at++++=an
unfriendly ^jj+atrb+++=unfriendly
tongue ^nn++++=tongue.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
quartier ^jjr++++=quartier,
, ^zz++++=EXTRAWORD
gossip ^nn++++=gossip
spread ^vbd+++xvbn+=spread
quickly ^rb++++=quickly
and ^cc++++=and
took ^vbd+++xvbn+=took
deep ^jj+atrb+++=deep
root ^nn++++=root.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
quite ^rb++++=quite
imaginably ^jj+pred+++=imaginably
within ^in++++=within
the ^ati++++=the
power ^nn++++=power
of ^in++++=of
Madame ^npt++++=Madame
Caille ^np+++??+=Caille
to ^to++++=to
circulate ^nn+nom+++=circulate
such ^abl++++=such
rumours ^nns++++=rumours
of ^in++++=of
Sergeot ^np+++??+=Sergeot
dishonesty ^nn++++=dishonesty
as ^ql++++=as
should ^md+nec+++=should
draw ^vb++++=draw
their ^pp$+pp3+++=their
lately ^rb+tm+++=lately
won ^vbd+++xvbn+=won
custom ^nn++++=custom
from ^in++++=from
them ^pp3o+pp3+++=them
and ^cc++++=and
leave ^nn++++=leave
but ^cc++++=but
empty ^jj+atrb+++=empty
chairs ^nns++++=chairs
and ^cc++++=and
discontent ^nn++++=discontent
where ^wrb+who+++=where
now ^rn+tm+++=now
all ^rb++++=all
was ^vbd+bedz+vrb++=was
prosperity ^nn+nom+++=prosperity
and ^cc++++=and
satisfaction ^nn+nom+++=satisfaction.
. ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
there ^ex+pex+++=there
came ^vbd+++xvbn+=came
to ^in++++=to
her ^pp3o+pp3+++=her
the ^ati++++=the
memory ^nn++++=memory
of ^in++++=of
that ^dt+dem+++=that
visit ^nn++++=visit
which ^whp+who+++=which
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
never ^rb++splt++=never
returned ^vprf+++xvbnx+=returned.
. ^zz++++=EXTRAWORD
Mon ^np+++??+=Mon
Dieu ^np+++??+=Dieu!
! ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
that ^dt+dem+++=that
reason ^nn++++=reason
enough ^dt++++=enough?
? ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She,
, ^zz++++=EXTRAWORD
the ^ati++++=the
youngest ^jjt+atrb+++=youngest
patronne ^nn+++??+=patronne
in ^in++++=in
the ^ati++++=the
quartier ^jjr++++=quartier,
, ^zz++++=EXTRAWORD
to ^to++++=to
ignore ^vbi++++=ignore
deliberately ^rb++++=deliberately
the ^ati++++=the
friendly ^jj+atrb+++=friendly
call ^nn++++=call
of ^in++++=of
a ^at++++=a
neighbour ^nn++++=neighbour!
! ^zz++++=EXTRAWORD
At ^rb++++=At
least ^rb"++++=least
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
too ^ql++++=too
late ^jj++++=late
to ^in++++=to
make ^vbi++++=make
amends ^nns++++=amends.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
business ^nns+nom+++=business
lagged ^vprf+++xvbn+=lagged
a ^rb++++=a
little ^rb"++++=little
in ^in++++=in
the ^ati++++=the
late ^jj+atrb+++=late
afternoon ^nn++++=afternoon,
, ^zz++++=EXTRAWORD
Madame ^npt++++=Madame
Sergeot ^np+++??+=Sergeot
slipped ^vbd+++xvbn+=slipped
from ^in++++=from
her ^pp$+pp3+++=her
desk ^nn++++=desk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
after ^in++++=after
a ^at++++=a
furtive ^jj+atrb+++=furtive
touch ^nn++++=touch
to ^in++++=to
her ^pp$+pp3+++=her
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
went ^j+++xvbn+=went
in ^in++++=in
next ^ap++++=next
door ^nn++++=door,
, ^zz++++=EXTRAWORD
to ^to++++=to
pour ^vbi++++=pour
oil ^nn++++=oil
upon ^in++++=upon
the ^ati++++=the
troubled ^jj+atrb++xvbn+=troubled
waters ^nns++++=waters.
. ^zz++++=EXTRAWORD
Madame ^npt++++=Madame
Caille ^np+++??+=Caille,
, ^zz++++=EXTRAWORD
throned ^j+++xvbn+=throned
at ^rb++++=at
her ^pp$+pp3+++=her
counter ^nn++++=counter,
, ^zz++++=EXTRAWORD
received ^j+++xvbn+=received
her ^pp$+pp3+++=her
visitor ^nn++++=visitor
with ^in++++=with
unexampled ^jj+atrb++xvbn+=unexampled
frigidity ^nn+nom+++=frigidity.
. ^zz++++=EXTRAWORD
" ^zz++++="Ah,
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
come ^vprf+++xvbn+=come
to ^to++++=to
make ^vbi++++=make
some ^dti++++=some
purchases ^nns++++=purchases,
, ^zz++++=EXTRAWORD
no ^at++++=no
doubt ^nn++++=doubt."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Eggs,
eggs ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
madame ^npt++++=madame,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
her ^pp$+pp3+++=her
visitor ^nn++++=visitor,
, ^zz++++=EXTRAWORD
disconcerted ^j+++xvbn+=disconcerted,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
tactfully ^rb++++=tactfully
accepting ^vbg+vprv++xvbg+=accepting
the ^ati++++=the
hint ^nn++++=hint.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
best ^jjt+atrb+++=best
quality ^nn+nom+++=quality
or ^cc++++=or
? ^zz++++=?"
" ^zz++++=EXTRAWORD
demanded ^jj+++xvbn+=demanded
Alexandrine ^np+++??+=Alexandrine,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
suggestion ^nn+nom+++=suggestion
of ^in++++=of
a ^at++++=a
sneer ^nn++++=sneer.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
best ^jjt++++=best,
, ^zz++++=EXTRAWORD
evidently ^rb+cnj+++=evidently,
, ^zz++++=EXTRAWORD
madame ^npt++++=madame.
. ^zz++++=EXTRAWORD
Six ^cd++++=Six,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
please ^uh++++=please.
. ^zz++++=EXTRAWORD
Spring ^vb++++=Spring
weather ^nn++++=weather
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
seem ^vb+seem+++=seem."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
To ^in++++=To
this ^dt+dem+++=this
generality ^nn+nom+++=generality
the ^ati++++=the
other ^ap++++=other
made ^vprf+++xvbn+=made
no ^at++++=no
reply ^nn++++=reply.
. ^zz++++=EXTRAWORD
Descending ^vbg+++xvbg+=Descending
from ^in++++=from
her ^pp$+pp3+++=her
stool ^nn++++=stool,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
blew ^vbd+++xvbnx+=blew
sharply ^rb++++=sharply
into ^in++++=into
a ^at++++=a
small ^jj+atrb+++=small
paper ^nn++++=paper
bag ^nn++++=bag,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
distending ^jj+++xvbg+=distending
it ^pp3+it+++=it
into ^in++++=into
a ^at++++=a
miniature ^nn++++=miniature
balloon ^nn++++=balloon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
began ^vbd+++xvbn+=began
selecting ^vbg+++xvbg+=selecting
the ^ati++++=the
eggs ^nns++++=eggs
from ^in++++=from
a ^at++++=a
basket ^nn++++=basket,
, ^zz++++=EXTRAWORD
holding ^vbg+vprv++xvbg+=holding
each ^dt++++=each
one ^pn++++=one
to ^in++++=to
the ^ati++++=the
light ^nn++++=light,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
dusting ^vbg+++xvbg+=dusting
it ^pp3+it+++=it
with ^in++++=with
exaggerated ^vprf+++xvbn+=exaggerated
care ^nn++++=care
before ^in++++=before
placing ^xvbg+++xvbg+=placing
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
bag ^nn++++=bag.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
thus ^rb+cnj+splt++=thus
employed ^vpsv++agls+xvbnx+=employed
Zut ^np+++??+=Zut
advanced ^vbd+++xvbn+=advanced
from ^in++++=from
a ^at++++=a
secluded ^jj+atrb+++=secluded
corner ^nn++++=corner,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
stretching ^nvbg+++xvbg+=stretching
her ^pp3o+pp3+++=her
fore ^jjb+atrb+++=fore
legs ^nns++++=legs
slowly ^rb++++=slowly
to ^in++++=to
their ^pp$+pp3+++=their
utmost ^jjb++++=utmost
length ^rb+cnj+++=length,
, ^zz++++=EXTRAWORD
greeted ^j+++xvbn+=greeted
her ^pp$+pp3+++=her
acquaintance ^nn+nom+++=acquaintance
of ^in++++=of
the ^ati++++=the
morning ^nn++++=morning
with ^in++++=with
a ^at++++=a
yawn ^nn++++=yawn.
. ^zz++++=EXTRAWORD
Finding ^vbg+++xvbg+=Finding
in ^in++++=in
the ^ati++++=the
cat ^nn++++=cat
an ^at++++=an
outlet ^nn++++=outlet
for ^in++++=for
her ^pp$+pp3+++=her
embarrassment ^nn+nom+++=embarrassment,
, ^zz++++=EXTRAWORD
Esp ^np+++??+=Esp
rance ^nn++++=rance
made ^vbd+++xvbn+=made
another ^dt++++=another
effort ^nn++++=effort
to ^to+ncmp+++=to
give ^vbi++++=give
the ^ati++++=the
interview ^nn++++=interview
a ^at++++=a
friendly ^jj+atrb+++=friendly
turn ^nn++++=turn.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=is
beautiful ^jj+pred+++=beautiful,
, ^zz++++=EXTRAWORD
madame ^npt++++=madame,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
matou ^nn+++??+=matou,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
female ^nn++++=female,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
Madame ^npt++++=Madame
Caille ^np+++??+=Caille,
, ^zz++++=EXTRAWORD
turning ^nvbg+++xvbg+=turning
abruptly ^rb++++=abruptly
from ^in++++=from
the ^ati++++=the
basket ^nn++++=basket,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
she ^pp3a+pp3+++=she
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
care ^nn++++=care
for ^in++++=for
strangers ^nns+nom+++=strangers."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
second ^od++++=second
snub ^vb++++=snub
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
calculated ^vbd+vprv++xvbn+=calculated
to ^to++++=to
encourage ^nn+nom+++=encourage
neighbourly ^jj+atrb+++=neighbourly
overtures ^nns++++=overtures,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Madame ^npt++++=Madame
Sergeot ^np+++??+=Sergeot
had ^vbd+hvd+aux++=had
felt ^vprf+++xvbnx+=felt
herself ^ppl+pp3+++=herself
to ^to++++=to
be ^vbi++vrb++=be
in ^in++++=in
the ^ati++++=the
wrong ^jj++++=wrong,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
to ^to++++=to
be ^vbi+vbi+aux++=be
so ^ql++++=so
readily ^rb++++=readily
repulsed ^vbd+++xvbn+=repulsed.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=do
not ^xnot++not++=not
see ^vb+vprv+++=see
Monsieur ^npt++++=Monsieur
Caille ^np+++??+=Caille
at ^in++++=at
the ^ati++++=the
Salon ^nn++++=Salon
Malakoff ^np+++??+=Malakoff,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
continued ^vbd+++xvbnx+=continued.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
should ^md+nec+++=should
be ^vb+be+aux++=be
enchanted ^vpsv++agls+xvbnx+=enchanted"
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
husband ^nn++++=husband
shaves ^vbz+++??+=shaves
himself ^ppl+pp3+++=himself,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
retorted ^vbd+++xvbn+=retorted
Alexandrine ^np+++??+=Alexandrine,
, ^zz++++=EXTRAWORD
with ^in++++=with
renewed ^jj+atrb++xvbn+=renewed
dignity ^nn+nom+++=dignity.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
his ^pp$+pp3+++=his
hair ^nn++++=hair"
" ^zz++++=EXTRAWORD
ventured ^vbd+++xvbn+=ventured
Esp ^np+++??+=Esp
rance ^nn++++=rance.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
cut ^vbd+++xvbnx+=cut
it ^pp3+it+++=it!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
thundered ^vbd+++xvbn+=thundered
her ^pp$+pp3+++=her
foe ^nn++++=foe.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
Madame ^npt++++=Madame
Sergeot ^np+++??+=Sergeot
made ^vbd+++xvbn+=made
a ^at++++=a
false ^jj+atrb+++=false
move ^nn++++=move.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
laughed ^vbd+++xvbnx+=laughed.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
in ^in++++=in
confusion ^nn++++=confusion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
striving ^nvbg+++xvbg+=striving,
, ^zz++++=EXTRAWORD
too ^ql++++=too
late ^jj++++=late,
, ^zz++++=EXTRAWORD
to ^in++++=to
retrieve ^nn+++??+=retrieve
herself ^ppl+pp3+++=herself
" ^zz++++="Pardon,
pardon ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
madame ^npt++++=madame,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
added ^vbd+vpub++xvbnx+=added,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
it ^pp3+it+++=it
seems ^vbz+seem+++=seems
droll ^nn+++??+=droll
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
After ^in++++=After
all ^abn++++=all,
, ^zz++++=EXTRAWORD
ten ^cd++++=ten
sous ^&fw++++=sous
is ^vbz+bez+vrb++=is
a ^at++++=a
sum ^nn++++=sum
so ^rb+emph+++=so
small ^jj++++=small"
" ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
unfortunately ^rb+cnj+++=unfortunately,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
broke ^vbd+++xvbn+=broke
in ^rb+phrv+++=in
Madame ^npt++++=Madame
Caille ^np+++??+=Caille,
, ^zz++++=EXTRAWORD
" ^zz++++="has
has ^vbz+hvz+vrb++=EXTRAWORD
not ^xnot++not++=not
the ^ati++++=the
wherewithal ^nn+nom+++=wherewithal
to ^to++++=to
buy ^vbi++++=buy
mirrors ^nns++++=mirrors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pay ^nn++++=pay
itself ^ppl++++=itself
frescoes ^nns++++=frescoes
and ^cc++++=and
appareils ^nns+++??+=appareils
antiseptiques ^nns+++??+=antiseptiques!
! ^zz++++=EXTRAWORD
The ^ati++++=The
eggs ^nns++++=eggs
are ^vb+ber+vrb++=are
twenty ^cd++++=twenty-four
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
sous ^&fw++++=sous
but ^cc++++=but
we ^pp1a+pp1+++=we
do ^vb+do+vrb++=do
not ^xnot++not++=not
pride ^np++++=pride
ourselves ^ppls+pp1+++=ourselves
upon ^in++++=upon
our ^pp$+pp1+++=our
eggs ^nns++++=eggs.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
you ^pp2+pp2+++=you
had ^vb+hv+aux++=had
better ^jjr++++=better
seek ^vb++++=seek
them ^pp3o+pp3+++=them
elsewhere ^rb++++=elsewhere
for ^in++++=for
the ^ati++++=the
future ^jjb++++=future!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
For ^in++++=For
sole ^jjb+atrb+++=sole
reply ^nn++++=reply
Madame ^npt++++=Madame
Sergeot ^np+++??+=Sergeot
had ^vb+hv+vrb++=had
recourse ^nn++++=recourse
to ^in++++=to
her ^pp$+pp3+++=her
expressive ^jj+atrb+++=expressive
shrug ^nn++++=shrug,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
laying ^nvbg+++xvbg+=laying
two ^cd++++=two
francs ^nns++++=francs
upon ^in++++=upon
the ^ati++++=the
counter ^nn++++=counter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gathering ^nvbg+++xvbg+=gathering
up ^rp++++=up
the ^ati++++=the
sous ^nn++++=sous
which ^whp+rel+obj++=which
Alexandrine ^np+++??+=Alexandrine
rather ^rb++++=rather
hurled ^vbd+++xvbn+=hurled
at ^rb++++=at
than ^in++++=than
handed ^vbd+++xvbn+=handed
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
took ^vbd+++xvbnx+=took
her ^pp$+pp3+++=her
way ^nn++++=way
toward ^in++++=toward
the ^ati++++=the
door ^nn++++=door
with ^in++++=with
all ^abn++++=all
the ^ati++++=the
dignity ^nn+nom+++=dignity
at ^rb++++=at
her ^pp3o+pp3+++=her
command ^nn++++=command.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Madame ^npt++++=Madame
Caille ^np+++??+=Caille,
, ^zz++++=EXTRAWORD
feeling ^nvbg+++xvbg+=feeling
her ^pp3o+pp3+++=her
snub ^vb++++=snub
to ^to++++=to
have ^vbi+vbi+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
insufficient ^jj++++=insufficient,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
not ^xnot++not++=not
let ^vb+++xvbn+=let
her ^pp$+pp3+++=her
go ^vb++++=go
without ^in++++=without
a ^at++++=a
final ^nn++++=final
thrust ^vbd+++xvbn+=thrust.
. ^zz++++=EXTRAWORD
" ^zz++++="Perhaps
perhaps ^rb++++=EXTRAWORD
your ^pp$+pp2+++=your
husband ^nn++++=husband
will ^md+prd+++=will
be ^vb+be+vrb++=be
so ^ql+emph+++=so
amiable ^jj++++=amiable
as ^in++++=as
to ^in++++=to
shampoo ^nn+++??+=shampoo
my ^pp$+pp1+++=my
cat ^nn++++=cat!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
shouted ^vbd+vpub++xvbnx+=shouted.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
like ^vbi++++=like
your ^pp$+pp2+++=your
' ^zz++++='Salon'!"
salon ^nn++++=EXTRAWORD
'!" ^nn+++??+=EXTRAWORD
But ^cc++++=But
Esp ^np+++??+=Esp
rance ^nn++++=rance,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
for ^in++++=for
concord ^nn++++=concord's
's ^$++++=EXTRAWORD
sake ^nn++++=sake
inclined ^jj+++xvbn+=inclined
to ^to+jcmp+++=to
tolerate ^nn+nom+++=tolerate
all ^abn++++=all
rudeness ^nns+nom+++=rudeness
to ^in++++=to
herself ^ppl+pp3+++=herself,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
prepared ^jj+++xvbn+=prepared
to ^to+jcmp+++=to
hear ^vbi+vprv+tht0++=hear
Hippolyte ^np+++??+=Hippolyte
insulted ^vbd+++xvbn+=insulted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
wheeling ^vbg+nom++xvbg+=wheeling
at ^in++++=at
the ^ati++++=the
doorway ^nn++++=doorway,
, ^zz++++=EXTRAWORD
flung ^j+++xvbn+=flung
all ^abn++++=all
her ^pp3o+pp3+++=her
resentment ^nn+nom+++=resentment
into ^in++++=into
two ^cd++++=two
words ^nns++++=words.
. ^zz++++=EXTRAWORD
" ^zz++++="Mal
mal ^&fw++++=EXTRAWORD
lev ^nn+++??+=lev
e ^zz++++=e!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Gueuse!"
gueuse ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
screamed ^vbd+++xvbn+=screamed
Alexandrine ^np+++??+=Alexandrine
from ^in++++=from
the ^ati++++=the
desk ^nn++++=desk.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
so ^ql++++=so
they ^pp3a+pp3+++=they
parted ^vbd+++xvbnx+=parted.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
even ^rb++++=even
at ^rb++++=at
this ^dt+dem+++=this
