Mme ^npt++++=Mme.
the ^ati++++=the
very ^ap+amp+++=very
hour ^nn++++=hour
when ^wrb+who+++=when
Sister ^nn++++=Sister
Agathe ^np+++??+=Agathe
looked ^vbd+++xvbn+=looked
up ^rp++++=up
at ^in++++=at
the ^ati++++=the
clock ^nn++++=clock,
, ^zz++++=EXTRAWORD
Adrienne ^np+++??+=Adrienne,
, ^zz++++=EXTRAWORD
clad ^jj++++=clad
in ^in++++=in
a ^at++++=a
charming ^jj+atrb++xvbg+=charming
negligee ^nn+nom+++=negligee,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
reclining ^vbg+++xvbgx+=reclining
indolently ^jj++++=indolently
in ^in++++=in
the ^ati++++=the
depths ^nns++++=depths
of ^in++++=of
a ^at++++=a
luxurious ^jj+atrb+++=luxurious
armchair ^nn++++=armchair.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bright ^jj+atrb+++=bright
room ^nn++++=room
was ^vbd+bedz+vrb++=was
in ^in++++=in
its ^pp$+it+++=its
accustomed ^xvbn+++xvbn+=accustomed
state ^nn++++=state
of ^in++++=of
picturesque ^jj+atrb+++=picturesque
disorder ^nn+nom+++=disorder.
. ^zz++++=EXTRAWORD
Musical ^jj+atrb+++=Musical
scores ^nns++++=scores
were ^vbd+bed+aux++=were
scattered ^vpsv++agls+xvbnx+=scattered
upon ^in++++=upon
the ^ati++++=the
open ^jj+atrb+++=open
piano ^nn++++=piano.
. ^zz++++=EXTRAWORD
Thrown ^xvbn+++xvbn+=Thrown
carelessly ^rb++++=carelessly
over ^in++++=over
the ^ati++++=the
backs ^nns++++=backs
of ^in++++=of
chairs ^nns++++=chairs
were ^vbd+bed+aux++=were
puzzling ^nvbg+++xvbg+=puzzling
and ^cc++++=and
astonishing ^jj++++=astonishing-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
garments ^nns+nom+++=garments.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
large ^jj+atrb+++=large
gilded ^jj+atrb++xvbn+=gilded
cage ^nn++++=cage
near ^in+pl+++=near
the ^ati++++=the
window ^nn++++=window
perched ^vbd+++xvbn+=perched
a ^at++++=a
clumsy ^jj+atrb+++=clumsy
green ^jj+atrb+++=green
parrot ^nn++++=parrot.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
blinked ^vbd+++xvbnx+=blinked
stupidly ^rb++++=stupidly
at ^in++++=at
a ^at++++=a
young ^jj+atrb+++=young
girl ^nn++++=girl
in ^in++++=in
street ^nn++++=street
dress ^nn++++=dress
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
exerting ^vbg+++xvbgx+=exerting
herself ^ppl+pp3+++=herself
to ^to++++=to
make ^vbi++++=make
him ^pp3o+pp3+++=him
talk ^nn++++=talk.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
center ^nn++++=center
of ^in++++=of
the ^ati++++=the
room ^nn++++=room
stood ^vbd+++xvbn+=stood
Sophie ^np++++=Sophie,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
thorn ^nn++++=thorn
in ^in++++=in
her ^pp3o+pp3+++=her
mistress ^nns+nom+++=mistress
s ^zz++++=s
side ^nn++++=side.
. ^zz++++=EXTRAWORD
With ^in++++=With
hands ^nns++++=hands
plunged ^vwbn+++xvbn+=plunged
in ^in++++=in
the ^ati++++=the
deep ^jj+atrb+++=deep
pockets ^nns++++=pockets
of ^in++++=of
her ^pp$+pp3+++=her
apron ^nn++++=apron,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
white ^jj+atrb+++=white
starched ^jj+atrb++xvbn+=starched
cap ^nn++++=cap
quivering ^vwbg+++xvbg+=quivering
with ^in++++=with
each ^dt++++=each
emphatic ^jj+atrb+++=emphatic
motion ^nn++++=motion
of ^in++++=of
her ^pp$+pp3+++=her
grizzled ^jj+atrb+++=grizzled
head ^nn++++=head,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
holding ^vbg+vprv++xvbgx+=holding
forth ^np++++=forth,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
evident ^jj+atrb+++=evident
ennui ^nn++++=ennui
of ^in++++=of
the ^ati++++=the
two ^cd++++=two
young ^jj+atrb+++=young
women ^nns++++=women.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
saying ^vbg+++xvbgx+=saying:
: ^zz++++=EXTRAWORD
" ^zz++++="Heaven
heaven ^nn++++=EXTRAWORD
knows ^vbz+vprv+tht0++=knows
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
stood ^vprf+++xvbnx+=stood
enough ^qlp++++=enough
in ^in++++=in
the ^ati++++=the
six ^cd++++=six
years ^nns++++=years
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
with ^in++++=with
Mademoiselle ^np+++??+=Mademoiselle;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
never ^rb++++=never
such ^abl++++=such
indignities ^nns+nom+++=indignities
as ^ql++++=as
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
had ^md"++pmd"++=had
to ^md+nec+++=to
endure ^vb++++=endure
in ^in++++=in
the ^ati++++=the
past ^jjb++++=past
two ^cd++++=two
weeks ^nns++++=weeks
at ^in+cmpx+++=at
the ^in"++++=the
hands ^in"++++=hands
of ^in"++++=of
that ^dt+dem+++=that
man ^nn++++=man
who ^whp+rel+subj++=who
calls ^vbz++++=calls
himself ^ppl+pp3+++=himself
a ^at++++=a
manager ^nn++++=manager!
! ^zz++++=EXTRAWORD
The ^ati++++=The
very ^ql+amp+++=very
first ^rb++++=first
day ^nn++++=day-and
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
good ^jj++++=good
enough ^qlp++++=enough
to ^to++++=to
notify ^vbi++++=notify
him ^pp3o+pp3+++=him
at ^rb++++=at
once ^rb"+tm+++=once
of ^in++++=of
Mademoiselle ^np++++=Mademoiselle's
's ^$++++=EXTRAWORD
flight ^nn++++=flight-he
- ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
arrives ^vbz++++=arrives
like ^in++++=like
a ^at++++=a
lion ^nn++++=lion;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
tell ^vb++++=tell
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
lion ^nn++++=lion.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
insists ^nns+nom+++=insists
upon ^in++++=upon
knowing ^xvbg+++xvbg+=knowing
Mademoiselle ^np++++=Mademoiselle's
's ^$++++=EXTRAWORD
whereabouts ^nn++++=whereabouts.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
can ^md+pos+++=can
I ^pp1a+pp1+++=I
tell ^vb++++=tell
him ^pp3o+pp3+++=him
any ^dti++++=any
more ^rbr++++=more
than ^in++++=than
the ^ati++++=the
statue ^nn++++=statue
out ^rp+pl+++=out
there ^rn+pl+++=there
in ^in++++=in
the ^ati++++=the
square ^nn++++=square?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
calls ^nns++++=calls
me ^pp1o+pp1+++=me
a ^at++++=a
liar ^nn++++=liar!
! ^zz++++=EXTRAWORD
Me ^pp1o+pp1+++=Me,
, ^zz++++=EXTRAWORD
me ^pp1o+pp1+++=me-a
- ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
liar ^nn++++=liar!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
declares ^vbz+vpub+tht0++=declares
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
ruined ^vpsv++agls+xvbnx+=ruined.
. ^zz++++=EXTRAWORD
The ^ati++++=The
public ^nn++++=public
will ^md+prd+++=will
not ^xnot++not++=not
stand ^vb++++=stand
La ^&fw++++=La
Petite ^jj+atrb+++=Petite
Gilberta ^np+++??+=Gilberta
in ^in++++=in
the ^ati++++=the
role ^nn++++=role
which ^whp+rel+obj++=which
Mademoiselle ^np+++??+=Mademoiselle
has ^vbz+hvz+aux++=has
made ^vprf+++xvbnx+=made
so ^pn+emph+++=so
famous ^jj++++=famous-La
- ^zz++++=EXTRAWORD
la ^&fw++++=EXTRAWORD
Petite ^jj+atrb+++=Petite
Gilberta ^np+++??+=Gilberta,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
dances ^nns++++=dances
like ^in++++=like
a ^at++++=a
jointed ^jj+atrb++xvbn+=jointed
wooden ^jj+atrb+++=wooden
figure ^nn++++=figure
and ^cc++++=and
sings ^vbz++++=sings
like ^in++++=like
a ^at++++=a
tra ^nn+++??+=tra
n ^zz++++=n
e ^zz++++=e
of ^in++++=of
a ^at++++=a
caf ^nn+++??+=caf
chantant ^nn+nom+++=chantant.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
were ^vbd+bed+aux++=were
to ^to++++=to
tell ^vbi++++=tell
La ^&fw++++=La
Gilberta ^np+++??+=Gilberta
that ^tht+rel+++=that,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
easily ^rb++++=easily
might ^md+pos+++=might,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
guarantee ^nn+nom+++=guarantee
it ^pp3+it+++=it
would ^md+prd+++=would
not ^xnot++not++=not
be ^vb+be+vrb++=be
well ^rb++++=well
for ^in++++=for
the ^ati++++=the
few ^ap++++=few
straggling ^jj+atrb+++=straggling
hairs ^nns++++=hairs
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
left ^vprf+++xvbnx+=left
on ^in++++=on
that ^dt+dem+++=that
miserable ^jj+atrb+++=miserable
head ^nn++++=head
of ^in++++=of
his ^pp$+pp3+++=his!
! ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
could ^md+pos+++=could
he ^pp3a+pp3+++=he
do ^vb+do+vrb++=do?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
obliged ^jj++agls+xvbnx+=obliged
to ^to+jcmp+++=to
inform ^vbi++++=inform
the ^ati++++=the
public ^jj++++=public
that ^dt+dem+++=that
Mademoiselle ^np+++??+=Mademoiselle
was ^vbd+bedz+vrb++=was
ill ^jj+pred+++=ill;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
began ^vbd+++xvbn+=began
my ^pp$+pp1+++=my
real ^jj+atrb+++=real
torment ^nn+nom+++=torment!
! ^zz++++=EXTRAWORD
Answering ^vbg+++xvbg+=Answering
this ^dt+dem+++=this
one ^cd1++++=one
and ^cc++++=and
that ^cs+sub+++=that
one ^pn++++=one
with ^in++++=with
their ^pp$+pp3+++=their
cards ^nns++++=cards,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
flowers ^nns+nom+++=flowers,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
dainties ^nns++++=dainties
in ^in++++=in
covered ^jj+atrb++xvbn+=covered
dishes ^nns++++=dishes!
! ^zz++++=EXTRAWORD
which ^whp+who+++=which,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
admit ^vb+vpub+++=admit,
, ^zz++++=EXTRAWORD
saved ^xvbn+++xvbn+=saved
Florine ^np+++??+=Florine
and ^cc++++=and
me ^pp1o+pp1+++=me
much ^ap++++=much
cooking ^nvbg+++xvbg+=cooking.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
all ^rb++++=all
the ^ati++++=the
while ^cs+sub+++=while
having ^vbg+hvg++xvbg+=having
to ^to++++=to
tell ^vbi++++=tell
them ^pp3o+pp3+++=them
that ^cs+sub+++=that
the ^ati++++=the
physician ^nn++++=physician
had ^vbd+hvd+aux++=had
advised ^vprf+++xvbnx+=advised
for ^in++++=for
Mademoiselle ^np+++??+=Mademoiselle
a ^at++++=a
rest ^nn++++=rest
of ^in++++=of
two ^cd++++=two
weeks ^nns++++=weeks
at ^in++++=at
some ^dti++++=some
watering ^jj+++xvbg+=watering-place,
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
forgotten ^vprf+++xvbnx+=forgotten!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Adrienne ^np+++??+=Adrienne
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
contemplating ^vbg+++xvbgx+=contemplating
old ^jj+atrb+++=old
Sophie ^np++++=Sophie
with ^in++++=with
quizzical ^jj++++=quizzical,
, ^zz++++=EXTRAWORD
half ^abn++++=half-closed
- ^zz++++=EXTRAWORD
closed ^jj+atrb++xvbn+=EXTRAWORD
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pelting ^jj++++=pelting
her ^pp$+pp3+++=her
with ^in++++=with
hot ^jj++++=hot-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
roses ^nns++++=roses
which ^whp+rel+obj++=which
lay ^jjb+++xvbn+=lay
in ^in++++=in
her ^pp$+pp3+++=her
lap ^nn++++=lap,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
which ^whp+rel+obj++=which
she ^pp3a+pp3+++=she
nipped ^vbd+++xvbnx+=nipped
off ^in+pl+++=off
short ^nn++++=short
from ^in++++=from
their ^pp$+pp3+++=their
graceful ^jj+atrb+++=graceful
stems ^nns++++=stems
for ^in++++=for
that ^dt+dem+++=that
purpose ^nn++++=purpose.
. ^zz++++=EXTRAWORD
Each ^ppls++++=Each
rose ^vbd+++xvbn+=rose
struck ^vprf+++xvbn+=struck
Sophie ^np++++=Sophie
full ^jj++++=full
in ^in++++=in
the ^ati++++=the
face ^nn++++=face;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
disconcert ^nn+++??+=disconcert
her ^pp3o+pp3+++=her
or ^cc++++=or
once ^rb+tm+++=once
stem ^nn++++=stem
the ^ati++++=the
torrent ^nn++++=torrent
of ^in++++=of
her ^pp$+pp3+++=her
talk ^nn++++=talk.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Adrienne ^np+++??+=Adrienne!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
entreated ^vbd+++xvbn+=entreated
the ^ati++++=the
young ^jj+atrb+++=young
girl ^nn++++=girl
at ^in++++=at
the ^ati++++=the
parrot ^nn++++=parrot's
's ^$++++=EXTRAWORD
cage ^nn++++=cage.
. ^zz++++=EXTRAWORD
" ^zz++++="Make
make ^vb++++=EXTRAWORD
her ^pp3o+pp3+++=her
hush ^vb++++=hush;
; ^zz++++=EXTRAWORD
please ^uh++++=please
do ^vb+do+vrb++=do
something ^pn++++=something.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
can ^md+pos+++=can
you ^pp2+pp2+++=you
ever ^rb++++=ever
expect ^vb+vprv+++=expect
Zozo ^np+++??+=Zozo
to ^to++++=to
talk ^vbi++++=talk?
? ^zz++++=EXTRAWORD
A ^at++++=A
dozen ^cd++++=dozen
times ^nns++++=times
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
on ^in++++=on
the ^ati++++=the
point ^nn++++=point
of ^in++++=of
saying ^xvbg+++xvbg+=saying
something ^pn++++=something!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
tell ^vb++++=tell
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
stupefies ^vbz++++=stupefies
him ^pp3o+pp3+++=him
with ^in++++=with
her ^pp$+pp3+++=her
chatter ^nn++++=chatter.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
good ^jj+atrb+++=good
Sophie ^np++++=Sophie,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
remarked ^vprf+++xvbn+=remarked
Adrienne ^np+++??+=Adrienne,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
changing ^jj+++xvbg+=changing
her ^pp3o+pp3+++=her
attitude ^nn++++=attitude,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
see ^vb+vprv+tht0++=see
the ^ati++++=the
roses ^nns++++=roses
are ^vb+ber+vrb++=are
all ^abn++++=all
used ^jj+++xvbn+=used
up ^rp++++=up.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
assure ^vb++++=assure
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
anything ^pn++++=anything
at ^in++++=at
hand ^nn++++=hand
goes ^vbz++++=goes,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
carelessly ^rb++++=carelessly
picking ^vbg+++xvbg+=picking
up ^rp++++=up
a ^at++++=a
book ^nn++++=book
from ^in++++=from
the ^ati++++=the
table ^nn++++=table
beside ^in+pl+++=beside
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
this ^dt+pdem+++=this?
? ^zz++++=EXTRAWORD
Mons ^npt++++=Mons.
. ^zz++++=EXTRAWORD
Zola ^np+++??+=Zola!
! ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
I ^pp1a+pp1+++=I
warn ^vb+vpub+tht0++=warn
you ^pp2+pp2+++=you,,
, ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Sophie ^np++++=Sophie,
, ^zz++++=EXTRAWORD
the ^ati++++=the
weightiness ^nns+nom+++=weightiness,
, ^zz++++=EXTRAWORD
the ^ati++++=the
heaviness ^nns+nom+++=heaviness
of ^in++++=of
Mons ^np++++=Mons.
. ^zz++++=EXTRAWORD
Zola ^np+++??+=Zola
are ^vb+ber+vrb++=are
such ^abl++++=such
that ^dt+dem+++=that
they ^pp3a+pp3+++=they
cannot ^md+pos+not++=cannot
fail ^vb++++=fail
to ^to+vcmp+++=to
prostrate ^nn+nom+++=prostrate
you ^pp2+pp2+++=you;
; ^zz++++=EXTRAWORD
thankful ^jj++++=thankful
you ^pp2+pp2+++=you
may ^md+pos+++=may
be ^vb+be+vrb++=be
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
leave ^vb++++=leave
you ^pp2+pp2+++=you
with ^in++++=with
energy ^nn++++=energy
to ^to++++=to
regain ^vbi++++=regain
your ^pp$+pp2+++=your
feet ^nns++++=feet."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Mademoiselle's
mademoiselle ^np++++=EXTRAWORD
's ^$++++=EXTRAWORD
pleasantries ^nns++++=pleasantries
are ^vb+ber+vrb++=are
all ^abn++++=all
very ^ql+amp+++=very
well ^rb++++=well;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
to ^to++++=to
be ^vbi+vbi+aux++=be
shown ^vpsv++agls+xvbnx+=shown
the ^ati++++=the
door ^nn++++=door
for ^in++++=for
it ^pp3+it+++=it-if
- ^zz++++=EXTRAWORD
if ^cs+cnd+++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
to ^to++++=to
be ^vbi+vbi+aux++=be
crippled ^vpsv++agls+xvbnx+=crippled
for ^in++++=for
it ^pp3+it+++=it-I
- ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
Mademoiselle ^np+++??+=Mademoiselle
is ^vbz+bez+vrb++=is
a ^at++++=a
woman ^nn++++=woman
without ^in++++=without
conscience ^nn+nom+++=conscience
and ^cc++++=and
without ^in++++=without
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
To ^in++++=To
torture ^nn++++=torture
a ^at++++=a
man ^nn++++=man
as ^ql++++=as
she ^pp3a+pp3+++=she
does ^vbz+doz+vrb++=does!
! ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man?
? ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
an ^at++++=an
angel ^nn++++=angel
" ^zz++++="Each
each ^ppls++++=EXTRAWORD
day ^np++++=day
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
come ^vprf+++xvbn+=come
with ^in++++=with
sad ^jj+atrb+++=sad
visage ^nn++++=visage
and ^cc++++=and
drooping ^jj++++=drooping
mien ^jj+++xvbn+=mien.
. ^zz++++=EXTRAWORD
' ^zz++++='No
no ^at++++=EXTRAWORD
news ^nn++++=news,
, ^zz++++=EXTRAWORD
Sophie ^np++++=Sophie?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'None,
' ^zz++++=EXTRAWORD
none ^pn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Henri ^np++++=Henri.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Have
have ^vb+hv+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
no ^at++++=no
idea ^nn++++=idea
where ^wrb+who+++=where
she ^pp3a+pp3+++=she
has ^vbz+hvz+aux++=has
gone ^vprf+++xvbnx+=gone?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Not
not ^xnot++not++=EXTRAWORD
any ^dti++++=any
more ^rbr++++=more
than ^in++++=than
the ^ati++++=the
statue ^nn++++=statue
in ^in++++=in
the ^ati++++=the
square ^nn++++=square,
, ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur.
. ^zz++++=EXTRAWORD
' ^zz++++='Is
is ^vbz+bez+vrb++=EXTRAWORD
it ^pp3+it+++=it
perhaps ^rb++++=perhaps
possible ^jj++++=possible
that ^tht+jcmp+++=that
she ^pp3a+pp3+++=she
may ^md+pos+++=may
not ^xnot++not++=not
return ^vb++++=return
at ^rb++++=at
all ^abn++++=all?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
with ^in++++=with
his ^pp$+pp3+++=his
face ^nn++++=face
blanching ^vwbg+++xvbg+=blanching
like ^in++++=like
that ^dt+dem+++=that
curtian ^jj++++=curtian.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
assure ^vb++++=assure
him ^pp3o+pp3+++=him
you ^pp2+pp2+++=you
will ^md+prd+++=will
be ^vb+be+vrb++=be
back ^jjb+pred+++=back
at ^in++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
fortnight ^nn++++=fortnight.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
entreat ^nn+++??+=entreat
him ^pp3o+pp3+++=him
to ^to++++=to
have ^vbi++vrb++=have
patience ^nn+nom+++=patience.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
drags ^vbz+++??+=drags
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
desole ^nn+++??+=desole,
, ^zz++++=EXTRAWORD
about ^in++++=about
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
picking ^vbg+++xvbg+=picking
up ^rp++++=up
Mademoiselle ^np++++=Mademoiselle's
's ^$++++=EXTRAWORD
fan ^nn++++=fan,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
gloves ^nns++++=gloves,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
music ^nn++++=music,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turning ^nvbg+++xvbg+=turning
them ^pp3o+pp3+++=them
over ^in++++=over
and ^cc++++=and
over ^rb++++=over
in ^in++++=in
his ^pp$+pp3+++=his
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
Mademoiselle ^np++++=Mademoiselle's
's ^$++++=EXTRAWORD
slipper ^nn++++=slipper,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
she ^pp3a+pp3+++=she
took ^vbd+++xvbnx+=took
off ^rb+phrv+++=off
to ^to++++=to
throw ^vbi++++=throw
at ^rb++++=at
me ^pp1o+pp1+++=me
in ^in++++=in
the ^ati++++=the
impatience ^nn+nom+++=impatience
of ^in++++=of
her ^pp$+pp3+++=her
departure ^nn++++=departure,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
purposely ^rb++++=purposely
left ^vbd+++xvbn+=left
lying ^vbg+++xvbg+=lying
where ^wrb+who+++=where
it ^pp3+it+++=it
fell ^vbd+++xvbn+=fell
on ^in+ppvb+++=on
the ^ati++++=the
chiffonier ^jjr++++=chiffonier-he
- ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
kissed ^vbd+++xvbnx+=kissed
it ^pp3+it+++=it-I
- ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
saw ^vbd+vprv+tht0+xvbnx+=saw
him ^pp3o+pp3+++=him
do ^vb+do+vrb++=do
it ^pp3+it+++=it-and
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
thrust ^nn+++xvbn+=thrust
it ^pp3+it+++=it
into ^in++++=into
his ^pp$+pp3+++=his
pocket ^nn++++=pocket,
, ^zz++++=EXTRAWORD
thinking ^nvbg+++xvbg+=thinking
himself ^ppl+pp3+++=himself
unobserved ^jj++++=unobserved.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
same ^ap++++=same
song ^np++++=song
each ^ppls++++=each
day ^np++++=day.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
beg ^vb++++=beg
him ^pp3o+pp3+++=him
to ^to++++=to
eat ^vbi++++=eat
a ^rb++++=a
little ^rb"++++=little
good ^jj+atrb+++=good
soup ^nn++++=soup
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
prepared ^vprf+++xvbnx+=prepared.
. ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
cannot ^md+pos+not++=cannot
eat ^vb++++=eat,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
dear ^jj+atrb+++=dear
Sophie ^np++++=Sophie.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
night ^nn++++=night
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
and ^cc+phrs+++=and
stood ^vbd+++xvbn+=stood
long ^rb++++=long
gazing ^vbg+++xvbg+=gazing
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
window ^nn++++=window
at ^in++++=at
the ^ati++++=the
stars ^nns++++=stars.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
wiping ^vbg+++xvbgx+=wiping
his ^pp$+pp3+++=his
eyes ^nns++++=eyes;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
