Extract ^nn++++=Extract
and ^cc+cls+++=and
produced ^vbd+++xvbn+=produced
a ^at++++=a
plate ^nn++++=plate
of ^in++++=of
biscuits ^nns++++=biscuits,
, ^zz++++=EXTRAWORD
another ^dt++++=another
of ^in++++=of
dried ^xvbn+++xvbn+=dried
figs ^nns++++=figs,
, ^zz++++=EXTRAWORD
a ^at++++=a
glass ^nn++++=glass,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
two ^cd++++=two
decanters ^nns+nom+++=decanters.
. ^zz++++=EXTRAWORD
" ^zz++++="Sherry
sherry ^nn++++=EXTRAWORD
and ^cc++++=and
Madeira ^np++++=Madeira,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=is
also ^rb++++=also
a ^at++++=a
cold ^jj+atrb+++=cold
pie ^nn++++=pie
in ^in++++=in
the ^ati++++=the
larder ^nn++++=larder,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
care ^nn++++=care
for ^in++++=for
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
biscuit ^nn++++=biscuit
will ^md+prd+++=will
serve ^vb++++=serve,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
replied ^vbd+vpub++xvbnx+=replied.
. ^zz++++=EXTRAWORD
" ^zz++++="To
to ^to++++=EXTRAWORD
tell ^vbi++++=tell
the ^ati++++=the
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
more ^rbr++++=more
for ^in++++=for
the ^ati++++=the
bucket ^nn++++=bucket
than ^in++++=than
the ^ati++++=the
manger ^&fw++++=manger,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
grooms ^nns++++=grooms
say ^vb+vpub+++=say:
: ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
brandy ^nn++++=brandy
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were
tasting ^vbg+++xvbgx+=tasting
just ^rb+emph+++=just
now ^rn+tm+++=now
is ^vbz+bez+vrb++=is
more ^rbr++++=more
to ^in++++=to
my ^pp$+pp1+++=my
mind ^nn++++=mind
than ^in++++=than
wine ^nn++++=wine."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=is
no ^at++++=no
water ^nn++++=water
handy ^jj++++=handy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
soaked ^vprf+++xvbnx+=soaked
in ^in++++=in
enough ^qlp++++=enough
to ^to++++=to-night
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
to ^in++++=to
last ^ap++++=last
me ^pp1o+pp1+++=me
with ^in++++=with
this ^dt+dem+++=this
bottle ^nn++++=bottle."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
pulled ^vbd+++xvbnx+=pulled
over ^in++++=over
a ^at++++=a
chair ^nn++++=chair,
, ^zz++++=EXTRAWORD
laid ^j+++xvbn+=laid
my ^pp$+pp1+++=my
pistol ^nn++++=pistol
on ^in++++=on
the ^ati++++=the
table ^nn++++=table,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
held ^vbd+vprv++xvbn+=held
out ^rp+pl+++=out
the ^ati++++=the
glass ^nn++++=glass
for ^in++++=for
him ^pp3o+pp3+++=him
to ^to++++=to
fill ^vbi++++=fill.
. ^zz++++=EXTRAWORD
Having ^xvbg+++xvbg+=Having
done ^vwbn+++xvbn+=done
so ^pn++++=so,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
helped ^vbd+++xvbnx+=helped
himself ^ppl+pp3+++=himself
to ^in++++=to
a ^at++++=a
glass ^nn++++=glass
and ^cc++++=and
a ^at++++=a
chair ^nn++++=chair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down
facing ^jj+++xvbg+=facing
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+aux++=was
speaking ^vbg+++xvbgx+=speaking,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
of ^in++++=of
my ^pp$+pp1+++=my
late ^jj+atrb+++=late
butler ^np++++=butler,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
sip ^nn++++=sip
at ^rb++++=at
his ^pp$+pp3+++=his
brandy ^nn++++=brandy.
. ^zz++++=EXTRAWORD
" ^zz++++="Does
does ^vbz+doz+aux++=EXTRAWORD
it ^pp3+it+++=it
strike ^vb++++=strike
you ^pp2+pp2+++=you
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
confronted ^xvbn+++xvbn+=confronted
with ^in++++=with
moral ^jj+atrb+++=moral
delinquency ^nn++++=delinquency,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
apt ^jj+pred+++=apt
to ^to+jcmp+++=to
let ^vbi++++=let
my ^pp$+pp1+++=my
indignation ^nn+nom+++=indignation
get ^vb++++=get
the ^ati++++=the
better ^nn++++=better
of ^in++++=of
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
at ^rb++++=at
all ^abn++++=all,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
answered ^vbd+vpub++xvbnx+=answered
heartily ^rb+cnj+++=heartily,
, ^zz++++=EXTRAWORD
refilling ^nn+nom+++=refilling
my ^pp$+pp1+++=my
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
appeared ^vbd+seem++xvbn+=appeared
that ^tht+vcmp+++=that
another ^dt++++=another
reply ^nn++++=reply
would ^md+prd+++=would
have ^vb+hv+aux++=have
pleased ^vprf+++xvbnx+=pleased
him ^pp3o+pp3+++=him
better ^jjr++++=better.
. ^zz++++=EXTRAWORD
" ^zz++++="H'm.
h ^zz++++=EXTRAWORD
'm. ^nn++be+??+0=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
hoping ^vbg+vprv+tht0+xvbgx+=hoping
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
visited ^vprf+++xvbnx+=visited
his ^pp$+pp3+++=his
offence ^nn+nom+++=offence
too ^rb++++=too
strongly ^rb+amp+++=strongly.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
clergyman ^nn+nom+++=clergyman,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
bound ^jj++agls+xvbnx+=bound
to ^to+jcmp+++=to
be ^vbi++vrb++=be
severe ^jj+pred+++=severe;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
upon ^in++++=upon
my ^pp$+pp1+++=my
word ^nn++++=word,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
Parkinson ^np+++??+=Parkinson
left ^vbd+++xvbn+=left
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
felt ^vprf+++xvbnx+=felt
like ^in++++=like
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
has ^vbz+hvz+aux++=has
lost ^vprf+++xvbnx+=lost
a ^at++++=a
limb ^nn++++=limb."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
drummed ^vbd+++xvbnx+=drummed
with ^in++++=with
his ^pp$+pp3+++=his
fingers ^nns+nom+++=fingers
on ^in++++=on
the ^ati++++=the
cloth ^nn++++=cloth
for ^in++++=for
a ^ap++++=a
few ^ap"++++=few
moments ^nns+nom+++=moments,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vpsv++agls+xvbn+=went
on ^in++++=on-"One
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
one ^cd1++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
a ^at++++=a
natural ^jj+atrb+++=natural
disposition ^nn+nom+++=disposition
to ^to++++=to
forgive ^vbi++++=forgive
butlers ^nns+nom+++=butlers--Pharaoh,
-- ^--+clp+++=EXTRAWORD
pharaoh ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
for ^in++++=for
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
felt ^j+++xvbn+=felt
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
hovers ^nn++++=hovers
around ^in++++=around
butlers ^nns+nom+++=butlers
an ^at++++=an
atmosphere ^nn++++=atmosphere
in ^in++++=in
which ^whp+rel+pied++=which
common ^jj+atrb+++=common
ethics ^nn++++=ethics
lose ^vb++++=lose
their ^pp$+pp3+++=their
pertinence ^nn+nom+++=pertinence.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
mine ^nn++++=mine
was ^vbd+bedz+vrb++=was
a ^at++++=a
rare ^jj+atrb+++=rare
bird ^nn++++=bird--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
black ^jj+atrb+++=black
swan ^nn++++=swan
among ^in++++=among
butlers ^nns+nom+++=butlers!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
butler ^nn++++=butler:
: ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
quick ^jj++++=quick
and ^cc++++=and
brightly ^rb++++=brightly
gifted ^jj+atrb+++=gifted
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
the ^ati++++=the
accuracy ^nn+nom+++=accuracy
of ^in++++=of
his ^pp$+pp3+++=his
taste ^nn++++=taste,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
unusual ^jj+atrb+++=unusual
scope ^nn++++=scope
of ^in++++=of
his ^pp$+pp3+++=his
endeavour ^nn++++=endeavour,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=will
be ^vb+be+vrb++=be
able ^jj+pred+++=able
to ^to+jcmp+++=to
form ^vb++++=form
some ^dti++++=some
opinion ^nn++++=opinion
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
assure ^vb++++=assure
you ^pp2+pp2+++=you
he ^pp3a+pp3+++=he
modelled ^vbd+++xvbnx+=modelled
himself ^ppl+pp3+++=himself
upon ^in++++=upon
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
bowed ^vbd+++xvbnx+=bowed,
, ^zz++++=EXTRAWORD
over ^in++++=over
my ^pp$+pp1+++=my
brandy ^nn++++=brandy.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
a ^at++++=a
scholar ^nn++++=scholar:
: ^zz++++=EXTRAWORD
yet ^rb++++=yet
I ^pp1a+pp1+++=I
employed ^vbd+++xvbnx+=employed
him ^pp3o+pp3+++=him
to ^to++++=to
read ^vbn+vprv++xvbn+=read
aloud ^rb++++=aloud
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
derived ^vbd+++xvbn+=derived
pleasure ^nn++++=pleasure
from ^in++++=from
his ^pp$+pp3+++=his
intonation ^nn+nom+++=intonation.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
talk ^nn++++=talk
with ^in++++=with
refinement ^nn+nom+++=refinement:
: ^zz++++=EXTRAWORD
yet ^rb++++=yet
he ^pp3a+pp3+++=he
learned ^vbd+vprv++xvbnx+=learned
to ^to+vcmp+++=to
answer ^vb++++=answer
me ^pp1o+pp1+++=me
in ^in++++=in
language ^nn+nom+++=language
as ^in++++=as
precise ^jj++++=precise
as ^ql++++=as
my ^pp$+pp1+++=my
own ^ap++++=own.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
cast ^nn+++xvbn+=cast-off
- ^zz++++=EXTRAWORD
off ^in+pl+++=EXTRAWORD
garments ^nns+nom+++=garments
fitted ^vwbn+++xvbn+=fitted
him ^pp3o+pp3+++=him
not ^xnot++not++=not
more ^rbr++++=more
irreproachably ^jj++++=irreproachably
than ^in++++=than
did ^vbd+dod+vrb++=did
my ^pp$+pp1+++=my
amenities ^nns+nom+++=amenities
of ^in++++=of
manner ^nn++++=manner.
. ^zz++++=EXTRAWORD
Divest ^np+++??+=Divest
him ^pp3o+pp3+++=him
of ^in++++=of
his ^pp$+pp3+++=his
tray ^nn++++=tray,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
would ^md+prd+++=would
find ^vb+vprv+++=find
his ^pp$+pp3+++=his
mode ^nn++++=mode
of ^in++++=of
entering ^xvbg+++xvbg+=entering
a ^at++++=a
room ^nn++++=room
hardly ^rb+down+++=hardly
distinguishable ^jj++++=distinguishable
from ^in++++=from
my ^pp$+pp1+++=my
own ^ap++++=own--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
same ^ap++++=same
urbanity ^nn+nom+++=urbanity,
, ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
alertness ^nns+nom+++=alertness
of ^in++++=of
carriage ^nn+nom+++=carriage,
, ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
superfine ^nn+++??+=superfine
deference ^nn+nom+++=deference
towards ^in++++=towards
the ^ati++++=the
weaker ^jjr+atrb+++=weaker
sex ^nn++++=sex.
. ^zz++++=EXTRAWORD
All ^abn++++=All--all
-- ^--+clp+++=EXTRAWORD
all ^abn++++=EXTRAWORD
my ^pp$+pp1+++=my
idiosyncrasies ^nns++++=idiosyncrasies
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
reflected ^vbd+vprv++xvbn+=reflected
in ^in++++=in
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
can ^md+pos+++=can
you ^pp2+pp2+++=you
doubt ^vb++++=doubt
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
gratified ^vpsv++agls+xvbnx+=gratified?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
my ^pp$+pp1+++=my
alter ^vb++++=alter
ego ^nn++++=ego--which,
-- ^--+clp+++=EXTRAWORD
which ^whp+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
way ^nn++++=way,
, ^zz++++=EXTRAWORD
makes ^vbz++++=makes
it ^pp3+it+++=it
harder ^jjr++++=harder
for ^in++++=for
me ^pp1o+pp1+++=me
to ^in++++=to
pardon ^nn++++=pardon
his ^pp$+pp3+++=his
behaviour ^nn++++=behaviour
with ^in++++=with
the ^ati++++=the
cook ^nn++++=cook."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Look
look ^vb++++=EXTRAWORD
here ^rn+pl+++=here,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
broke ^vbd+++xvbnx+=broke
in ^rb+phrv+++=in;
; ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
want ^vb++++=want
a ^at++++=a
new ^jj+atrb+++=new
butler ^np++++=butler?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
really ^rb+emph+++=really
grasp ^nn++++=grasp
that ^tht+rel+++=that
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
retorted ^vbd+++xvbnx+=retorted.
. ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
" ^zz++++="let
let ^vb+++xvbn+=EXTRAWORD
me ^pp1o+pp1+++=me
cease ^vb++++=cease
to ^to++++=to
be ^vbi++vrb++=be
your ^pp$+pp2+++=your
burglar ^nn+++??+=burglar
and ^cc++++=and
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
continue ^vb++++=continue
here ^rn+pl+++=here
as ^ql++++=as
your ^pp$+pp2+++=your
butler ^nn++++=butler."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
leant ^vbd+++xvbnx+=leant
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
spreading ^vbg+++xvbg+=spreading
out ^rp+pl+++=out
the ^ati++++=the
fingers ^nns+nom+++=fingers
of ^in++++=of
each ^dt++++=each
hand ^nn++++=hand
on ^in++++=on
the ^ati++++=the
table ^nn++++=table's
's ^$++++=EXTRAWORD
edge ^nn++++=edge.
. ^zz++++=EXTRAWORD
" ^zz++++="Believe
believe ^vb+vprv+++=EXTRAWORD
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
might ^md+pos+++=might
do ^vb+do+vrb++=do
worse ^jjr++++=worse.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
my ^pp$+pp1+++=my
time ^nn++++=time
a ^at++++=a
demy ^nn+++??+=demy
of ^in++++=of
Magdalen ^np++++=Magdalen
College ^nn++++=College,
, ^zz++++=EXTRAWORD
Oxford ^np++++=Oxford,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
retain ^vb++++=retain
some ^dti++++=some
Greek ^nn++++=Greek
and ^cc++++=and
Latin ^nn++++=Latin.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
undertake ^vb++++=undertake
to ^to++++=to
read ^vbn+vprv++xvbn+=read
the ^ati++++=the
Fathers ^nns+nom+++=Fathers
with ^in++++=with
an ^at++++=an
accent ^nn++++=accent
that ^tht+rel+subj++=that
shall ^md+prd+++=shall
not ^xnot++not++=not
offend ^vb++++=offend
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
taste ^nn++++=taste
in ^in++++=in
wine ^nn++++=wine
is ^vbz+bez+vrb++=is
none ^pn++++=none
the ^ati++++=the
worse ^nn++++=worse
for ^in++++=for
having ^nn+nn+aux++=having
been ^vprf+ben+aux+xvbn+=been
formed ^vpsv++agls+xvbnx+=formed
in ^in++++=in
other ^ap++++=other
men ^nns++++=men's
's ^$++++=EXTRAWORD
cellars ^nns++++=cellars.
. ^zz++++=EXTRAWORD
Moreover ^nn+nom+++=Moreover,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
shall ^md+prd+++=shall
engage ^vb++++=engage
the ^ati++++=the
ugliest ^jjt+atrb+++=ugliest
cook ^nn++++=cook
in ^in++++=in
Christendom ^nn+nom+++=Christendom,
, ^zz++++=EXTRAWORD
so ^ql++++=so
long ^rb++++=long
as ^ql++++=as
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
your ^pp$+pp2+++=your
butler ^nn++++=butler.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
taken ^vprf+++xvbnx+=taken
a ^at++++=a
liking ^vb++++=liking
to ^in+vcmp+++=to
you-that ^vb+++??+=you-that's
's ^nns+bez+++0=EXTRAWORD
flat ^jj++++=flat--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
I ^pp1a+pp1+++=I
apply ^vb++++=apply
for ^in++++=for
the ^ati++++=the
post ^nn++++=post."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
give ^vb++++=give
forty ^cd++++=forty
pounds ^nns++++=pounds
a ^at++++=a
year ^nn++++=year,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
cheap ^jj+pred+++=cheap
at ^rb++++=at
that ^dt+dem+++=that
price ^nn++++=price."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
filled ^vbd+++xvbnx+=filled
up ^rp++++=up
his ^pp$+pp3+++=his
glass ^nn++++=glass,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
up ^rp++++=up
at ^in++++=at
me ^pp1o+pp1+++=me
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
so ^rb++++=so
with ^in++++=with
the ^ati++++=the
air ^nn++++=air
of ^in++++=of
one ^cd1++++=one
digesting ^nvbg+++xvbg+=digesting
a ^at++++=a
problem ^nn++++=problem.
. ^zz++++=EXTRAWORD
From ^in++++=From
first ^rb++++=first
to ^in++++=to
last ^ap++++=last
his ^pp$+pp3+++=his
face ^nn++++=face
was ^vbd+bedz+vrb++=was
grave ^jj+pred+++=grave
as ^ql++++=as
a ^at++++=a
judge ^nn++++=judge's.
's. ^nn+++??+=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
are ^vb+ber+vrb++=are
too ^ql++++=too
impulsive ^jj++++=impulsive,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
answer ^nn++++=answer,
, ^zz++++=EXTRAWORD
after ^in++++=after
a ^at++++=a
minute ^nn++++=minute's
's ^$++++=EXTRAWORD
silence ^nn+nom+++=silence;
; ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
your ^pp$+pp2+++=your
speech ^nn++++=speech
smacks ^nns+++??+=smacks
of ^in++++=of
the ^ati++++=the
amateur ^nn++++=amateur.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
' ^zz++++='Let
let ^vb+++xvbn+=EXTRAWORD
me ^pp1o+pp1+++=me
cease ^vb++++=cease
to ^to++++=to
be ^vbi++vrb++=be
your ^pp$+pp2+++=your
burglar ^nn+++??+=burglar
and ^cc++++=and
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
be ^vb+be+vrb++=be
your ^pp$+pp2+++=your
butler ^nn++++=butler.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
The ^ati++++=The
aspiration ^nn+nom+++=aspiration
is ^vbz+bez+vrb++=is
respectable ^jj+pred+++=respectable;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
man ^nn++++=man
might ^md+pos+++=might
as ^rb++splt++=as
well ^rb++++=well
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
' ^zz++++='Let
let ^vb+++xvbn+=EXTRAWORD
me ^pp1o+pp1+++=me
cease ^vb++++=cease
to ^to++++=to
write ^vbi++++=write
sermons ^nns++++=sermons,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
me ^pp1o+pp1+++=me
paint ^vb++++=paint
pictures ^nns++++=pictures.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
And ^cc++++=And
truly ^rb+cnj+++=truly,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
impress ^nns+nom+++=impress
me ^pp1o+pp1+++=me
as ^ql++++=as
no ^at++++=no
expert ^nn++++=expert
even ^rb++++=even
in ^in++++=in
your ^pp$+pp2+++=your
present ^jj+atrb+++=present
trade ^nn++++=trade."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="On
on ^in++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
argued ^vbd+vpub++xvbnx+=argued,
, ^zz++++=EXTRAWORD
" ^zz++++="consider
consider ^nn+nom+++=EXTRAWORD
the ^ati++++=the
moderation ^nn+nom+++=moderation
of ^in++++=of
my ^pp$+pp1+++=my
demands ^nns++++=demands;
; ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
alone ^rb++++=alone
should ^md+nec+++=should
convince ^vb++++=convince
you ^pp2+pp2+++=you
of ^in++++=of
my ^pp$+pp1+++=my
desire ^nn++++=desire
to ^to+ncmp+++=to
turn ^vbi++++=turn
over ^in++++=over
a ^at++++=a
new ^jj+atrb+++=new
leaf ^nn++++=leaf.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ask ^vb++++=ask
for ^in+ppvb+++=for
a ^at++++=a
month ^nn++++=month's
's ^$++++=EXTRAWORD
trial ^nn++++=trial;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
at ^rb++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
that ^dt+dem+++=that
time ^nn++++=time
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
suit ^vb++++=suit,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
shall ^md+prd+++=shall
say ^vb+vpub+++=say
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
march ^vb++++=march
from ^in++++=from
your ^pp$+pp2+++=your
door ^nn++++=door
with ^in++++=with
nothing ^pn++++=nothing
in ^in++++=in
my ^pp$+pp1+++=my
pocket ^nn++++=pocket
but ^cc++++=but
my ^pp$+pp1+++=my
month ^nn++++=month's
's ^$++++=EXTRAWORD
wages ^nns++++=wages.
