To ^to++++=To-night
drenched ^vpsv++agls+xvbnx+=drenched
with ^in++++=with
sweat ^nn++++=sweat
from ^in++++=from
my ^pp$+pp1+++=my
helmet ^nn++++=helmet
to ^in++++=to
my ^pp$+pp1+++=my
gaiters ^nns+nom+++=gaiters
when ^wrb+who+++=when
the ^ati++++=the
gray ^np++++=gray
stumbled ^vbd+++xvbn+=stumbled,
, ^zz++++=EXTRAWORD
recovered ^j+++xvbn+=recovered
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pulled ^vbd+++xvbn+=pulled
up ^rp++++=up
dead ^jj++++=dead
lame ^jj++++=lame.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
brute ^jjb++++=brute
was ^vbd+bedz+aux++=was
used ^vpsv++agls+xvbnx+=used
up ^rp++++=up
altogether ^nn+nom+++=altogether.
. ^zz++++=EXTRAWORD
Edith ^np++++=Edith
Copleigh ^np+++??+=Copleigh
was ^vbd+bedz+vrb++=was
in ^in++++=in
a ^at++++=a
sad ^jj+atrb+++=sad
state ^nn++++=state,
, ^zz++++=EXTRAWORD
plastered ^xvbn+++xvbn+=plastered
with ^in++++=with
dust ^nn++++=dust,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
helmet ^nn++++=helmet
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
crying ^nvbg+++xvbg+=crying
bitterly ^rb++++=bitterly.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
let ^vbd+++xvbn+=let
me ^pp1o+pp1+++=me
alone ^rb++++=alone?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
only ^ap+down+++=only
wanted ^vb+++xvbn+=wanted
to ^to+vcmp+++=to
get ^vbi++++=get
away ^rb+phrv+++=away
and ^cc++++=and
go ^vb++++=go
home ^nr++++=home.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
Please ^uh++++=PLEASE
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
go ^vb++++=go!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^md"++pmd"++=have
got ^vb++pmd"+xvbnx+=got
to ^to+vcmp+pmd++=to
come ^vb++++=come
back ^jjb++++=back
with ^in++++=with
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Miss ^npt++++=Miss
Copleigh ^np++++=Copleigh.
. ^zz++++=EXTRAWORD
Saumarez ^np+++??+=Saumarez
has ^vbz+hvz+vrb++=has
something ^pn++++=something
to ^to++++=to
say ^vbi+vpub+++=say
to ^to+vcmp+++=to
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
foolish ^jj+atrb+++=foolish
way ^nn++++=way
of ^in++++=of
putting ^xvbg+++xvbg+=putting
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
hardly ^rb+down+++=hardly
knew ^vbd+vprv++xvbn+=knew
Miss ^npt++++=Miss
Copleigh ^np++++=Copleigh;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
playing ^vbg+++xvbgx+=playing
Providence ^np+nom++??+=Providence
at ^in++++=at
the ^ati++++=the
cost ^nn++++=cost
of ^in++++=of
my ^pp$+pp1+++=my
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
tell ^vb++++=tell
her ^pp$+pp3+++=her
in ^in++++=in
as ^in++++=as
many ^ap++++=many
words ^nns++++=words
what ^wdt+who+++=what
Saumarez ^np+++??+=Saumarez
had ^vbd+hvd+aux++=had
told ^vprf+++xvbnx+=told
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
he ^pp3a+pp3+++=he
could ^md+pos+++=could
do ^vb+do+vrb++=do
that ^cs+sub+++=that
better ^jjr++++=better
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
All ^abn++++=All
her ^pp3o+pp3+++=her
pretence ^nn+nom+++=pretence
about ^in++++=about
being ^nn+nn+aux++=being
tired ^vbd+++xvbn+=tired
and ^cc++++=and
wanting ^vb+++xvbg+=wanting
to ^to+vcmp+++=to
go ^vbi++++=go
home ^nr++++=home
broke ^vbd+++xvbn+=broke
down ^rp++++=down,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
rocked ^vbd+++xvbnx+=rocked
herself ^ppl+pp3+++=herself
to ^to++++=to
and ^cc++++=and
fro ^rb++++=fro
in ^in++++=in
the ^ati++++=the
saddle ^nn++++=saddle
as ^ql++++=as
she ^pp3a+pp3+++=she
sobbed ^vbd+++xvbnx+=sobbed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
hot ^jj+atrb+++=hot
wind ^nn++++=wind
blew ^vbd+++xvbn+=blew
her ^pp$+pp3+++=her
black ^jj+atrb+++=black
hair ^nn++++=hair
to ^in++++=to
leeward ^rb++++=leeward.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
not ^xnot++not++=not
going ^md"++pmd"++=going
to ^md+prd+++=to
repeat ^vb++++=repeat
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
utterly ^rb+amp+++=utterly
unstrung ^nn+++??+=unstrung.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
please ^uh++++=please,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
cynical ^jj+atrb+++=cynical
Miss ^npt++++=Miss
Copleigh ^np++++=Copleigh.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
was ^vbd+bedz+vrb++=was
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
an ^at++++=an
utter ^jjb+atrb+++=utter
stranger ^nn+nom+++=stranger
to ^in++++=to
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
tell ^vbi++++=tell
her ^pp$+pp3+++=her
that ^cs+sub+++=that
Saumarez ^np+++??+=Saumarez
loved ^vbd+++xvbn+=loved
her ^pp$+pp3+++=her
and ^cc++++=and
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
to ^to++++=to
come ^vbi++++=come
back ^jjb++++=back
to ^to++++=to
hear ^vbi+vprv+tht0++=hear
him ^pp3o+pp3+++=him
say ^vb+vpub+++=say
so ^ql++++=so!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+tht0++=believe
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
myself ^ppl+pp1+++=myself
understood ^vbd+vprv++xvbn+=understood,
, ^zz++++=EXTRAWORD
for ^in++++=for
she ^pp3a+pp3+++=she
gathered ^vbd+++xvbnx+=gathered
the ^ati++++=the
gray ^np++++=gray
together ^nn+nom+++=together
and ^cc++++=and
made ^vbd+++xvbn+=made
him ^pp3o+pp3+++=him
hobble ^nn+++??+=hobble
somehow ^rb+cnj+++=somehow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
set ^vbd+++xvbn+=set
off ^rb+phrv+++=off
for ^in++++=for
the ^ati++++=the
tomb ^nn++++=tomb,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
storm ^nn++++=storm
went ^vbd+++xvbn+=went
thundering ^jj++++=thundering
down ^in++++=down
to ^in++++=to
Umballa ^np+++??+=Umballa
and ^cc++++=and
a ^ap++++=a
few ^ap"++++=few
big ^jj+atrb+++=big
drops ^nns++++=drops
of ^in++++=of
warm ^jj+atrb+++=warm
rain ^nn++++=rain
fell ^vbd+++xvbn+=fell.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
out ^rp+pl+++=out
that ^cs+sub+++=that
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
standing ^vbg+++xvbgx+=standing
close ^in+cmpx+++=close
to ^in++++=to
Saumarez ^np+++??+=Saumarez
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
proposed ^vbd+vsua++xvbnx+=proposed
to ^in++++=to
her ^pp3o+pp3+++=her
sister ^npt++++=sister
and ^cc++++=and
had ^vbd+hvd+aux++=had
wanted ^vprf+++xvbnx+=wanted
to ^to+vcmp+++=to
go ^vbi++++=go
home ^nr++++=home
and ^cc++++=and
cry ^nn++++=cry
in ^in++++=in
peace ^nn++++=peace,
, ^zz++++=EXTRAWORD
as ^in++++=as
an ^at++++=an
English ^jj+atrb+++=English
girl ^nn++++=girl
should ^md+nec+++=should.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
dabbled ^vbd+++xvbnx+=dabbled
her ^pp3o+pp3+++=her
eyes ^nns++++=eyes
with ^in++++=with
her ^pp$+pp3+++=her
pocket ^nn++++=pocket-handkerchief
- ^zz++++=EXTRAWORD
handkerchief ^nn++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
went ^vbd+++xvbn+=went
along ^in+strn+++=along,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
babbled ^vpsv++agls+xvbn+=babbled
to ^in++++=to
me ^pp1o+pp1+++=me
out ^rp+pl+++=out
of ^in++++=of
sheer ^jjb+atrb+++=sheer
lightness ^nns+nom+++=lightness
of ^in++++=of
heart ^nn++++=heart
and ^cc++++=and
hysteria ^nn++++=hysteria.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
perfectly ^rb+amp+++=perfectly
unnatural ^jj+pred+++=unnatural;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
all ^abn++++=all
right ^jj++++=right
at ^rb++++=at
the ^ati++++=the
time ^nn++++=time
and ^cc++++=and
in ^in++++=in
the ^ati++++=the
place ^nn++++=place.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
world ^nn++++=world
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
the ^ati++++=the
two ^cd++++=two
Copleigh ^np+++??+=Copleigh
girls ^nns++++=girls,
, ^zz++++=EXTRAWORD
Saumarez ^np+++??+=Saumarez
and ^cc++++=and
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
ringed ^jj++++=ringed
in ^in++++=in
with ^in++++=with
the ^ati++++=the
lightning ^nn++++=lightning
and ^cc++++=and
the ^ati++++=the
dark ^nn++++=dark;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
guidance ^nn+nom+++=guidance
of ^in++++=of
this ^dt+dem+++=this
misguided ^jj+atrb+++=misguided
world ^nn++++=world
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
lie ^vbi++++=lie
in ^in++++=in
my ^pp$+pp1+++=my
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
we ^pp1a+pp1+++=we
returned ^vbd+++xvbn+=returned
to ^in++++=to
the ^ati++++=the
tomb ^nn++++=tomb
in ^in++++=in
the ^ati++++=the
deep ^jj+atrb+++=deep,
, ^zz++++=EXTRAWORD
dead ^jj+atrb+++=dead
stillness ^nns+nom+++=stillness
that ^tht+rel+subj++=that
followed ^vbd+vprv++xvbn+=followed
the ^ati++++=the
storm ^nn++++=storm,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dawn ^nn++++=dawn
was ^vbd+bedz+aux++=was
just ^rb+emph+splt++=just
breaking ^vbg+++xvbgx+=breaking
and ^cc++++=and
nobody ^pn++++=nobody
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
waiting ^vbg+++xvbgx+=waiting
for ^in++++=for
our ^pp$+pp1+++=our
return ^nn++++=return.
. ^zz++++=EXTRAWORD
Saumarez ^np+++??+=Saumarez
most ^ap+emph+++=most
of ^in++++=of
all ^abn++++=all.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
face ^nn++++=face
was ^vbd+bedz+vrb++=was
white ^jj+pred+++=white
and ^cc++++=and
drawn ^vbd+++xvbn+=drawn.
. ^zz++++=EXTRAWORD
As ^ql++++=As
Miss ^npt++++=Miss
Copleigh ^np++++=Copleigh
and ^cc++++=and
I ^pp1a+pp1+++=I
limped ^vbd+++xvbnx+=limped
up ^rp++++=up,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
forward ^rb+phrv+++=forward
to ^in+ppvb+++=to
meet ^vbi++++=meet
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
helped ^vbd+++xvbnx+=helped
her ^pp$+pp3+++=her
down ^in++++=down
from ^in++++=from
her ^pp$+pp3+++=her
saddle ^nn++++=saddle,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
kissed ^vbd+++xvbnx+=kissed
her ^pp$+pp3+++=her
before ^in++++=before
all ^abn++++=all
the ^ati++++=the
picnic ^nn++++=picnic.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
like ^in++++=like
a ^at++++=a
scene ^nn++++=scene
in ^in++++=in
a ^at++++=a
theatre ^nn++++=theatre,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
likeness ^nns+nom+++=likeness
was ^vbd+bedz+aux++=was
heightened ^vpsv++by+xvbnx+=heightened
by ^in++++=by
all ^abn++++=all
the ^ati++++=the
dustwhite ^nn++++=dustwhite,
, ^zz++++=EXTRAWORD
ghostly ^jj++++=ghostly-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
men ^nns++++=men
and ^cc++++=and
women ^nns++++=women
under ^in++++=under
the ^ati++++=the
orange ^nn++++=orange-trees,
- ^zz++++=EXTRAWORD
trees ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
clapping ^vbg+++xvbg+=clapping
their ^pp$+pp3+++=their
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
watching ^vbg+++xvbgx+=watching
a ^at++++=a
play ^nn++++=play--at
-- ^--+clp+++=EXTRAWORD
at ^in++++=EXTRAWORD
Saumarez ^np++++=Saumarez's
's ^$++++=EXTRAWORD
choice ^nn++++=choice.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
knew ^vbd+vprv+tht0+xvbn+=knew
anything ^pn++++=anything
so ^ql++++=so
un ^np++++=un-English
- ^zz++++=EXTRAWORD
english ^jj++++=EXTRAWORD
in ^in++++=in
my ^pp$+pp1+++=my
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Lastly ^rb+cnj+++=Lastly,
, ^zz++++=EXTRAWORD
Saumarez ^np+++??+=Saumarez
said ^vbd+vpub+tht0+xvbn+=said
we ^pp1a+pp1+++=we
must ^md+nec+++=must
all ^rb++splt++=all
go ^vb++++=go
home ^nr++++=home
or ^cc++++=or
the ^ati++++=the
Station ^nn+nom+++=Station
would ^md+prd+++=would
come ^vb++++=come
out ^rp+pl+++=out
to ^to++++=to
look ^vbi++++=look
for ^in++++=for
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Would ^md+prd+++=WOULD
I ^pp1a+pp1+++=I
be ^vb+be+vrb++=be
good ^jj+pred+++=good
enough ^qlp++++=enough
to ^to++++=to
ride ^vbi++++=ride
home ^nr++++=home
with ^in++++=with
Maud ^np++++=Maud
Copleigh ^np+++??+=Copleigh?
? ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
would ^md+prd+++=would
give ^vb++++=give
me ^pp1o+pp1+++=me
greater ^jjr+atrb+++=greater
pleasure ^nn++++=pleasure,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
formed ^vbd+++xvbn+=formed
up ^rp++++=up,
, ^zz++++=EXTRAWORD
six ^cd++++=six
couples ^nns++++=couples
in ^in++++=in
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vbd+++xvbn+=went
back ^jjb++++=back
two ^cd++++=two
by ^in++++=by
two ^cd++++=two;
; ^zz++++=EXTRAWORD
Saumarez ^np+++??+=Saumarez
walking ^vwbg+++xvbg+=walking
at ^rb++++=at
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
Edith ^np++++=Edith
Copleigh ^np+++??+=Copleigh,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
riding ^vbg+++xvbgx+=riding
his ^pp$+pp3+++=his
horse ^nn++++=horse.
. ^zz++++=EXTRAWORD
The ^ati++++=The
air ^nn++++=air
was ^vbd+bedz+aux++=was
cleared ^vpsv++agls+xvbnx+=cleared;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
little ^jj++++=little
by ^in++++=by
little ^jj++++=little,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
sun ^nn++++=sun
rose ^vbd+++xvbn+=rose,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv+tht0+xvbnx+=felt
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
all ^abn++++=all
dropping ^jj+++xvbg+=dropping
back ^jjb++++=back
again ^rb+tm+++=again
into ^in++++=into
ordinary ^jj+atrb+++=ordinary
men ^nns++++=men
and ^cc++++=and
women ^nns++++=women
and ^cc++++=and
that ^tht+vcmp+++=that
the ^ati++++=the
" ^zz++++="Great
great ^jj+atrb+++=EXTRAWORD
Pop ^np++++=Pop
Picnic ^nn++++=Picnic"
" ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
thing ^nn++++=thing
altogether ^nn+nom+++=altogether
apart ^in++++=apart
and ^cc++++=and
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
world ^nn++++=world--never
-- ^--+clp+++=EXTRAWORD
never ^rb++++=EXTRAWORD
to ^to++++=to
happen ^vbi+v+++=happen
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
with ^in++++=with
the ^ati++++=the
dust ^nn++++=dust-storm
- ^zz++++=EXTRAWORD
storm ^nn++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
tingle ^nn++++=tingle
in ^in++++=in
the ^ati++++=the
hot ^jj+atrb+++=hot
air ^nn++++=air.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
tired ^jj+++xvbn+=tired
and ^cc++++=and
limp ^nn++++=limp,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
good ^jj+atrb+++=good
deal ^nn++++=deal
ashamed ^jj++++=ashamed
of ^in++++=of
myself ^ppl+pp1+++=myself
as ^ql++++=as
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
in ^rb+phrv+++=in
for ^in+ppvb+++=for
a ^at++++=a
bath ^nn++++=bath
and ^cc++++=and
some ^dti++++=some
sleep ^nn++++=sleep.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
a ^at++++=a
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
version ^nn++++=version
of ^in++++=of
this ^dt+dem+++=this
story ^nn++++=story,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
will ^md+prd+++=will
never ^rb++++=never
be ^vb+be+aux++=be
written ^vpsv++agls+xvbnx+=written
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
unless ^cs+cnd+++=unless
maud ^np++++=Maud
copleigh ^np++++=Copleigh
cares ^vbz++++=cares
to ^in++++=to
try ^nn++++=try.
. ^zz++++=EXTRAWORD
