July ^nr++++=JULY
and ^cc+cls+++=and
how ^wrb+who+++=how,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
thus ^rb+cnj+splt++=thus
lost ^vprf+++xvbnx+=lost
one ^cd1++++=one
whom ^whp+rel+obj++=whom
she ^pp3a+pp3+++=she
now ^rn+tm+++=now
regarded ^vbd+++xvbn+=regarded
as ^ql++++=as
her ^pp$+pp3+++=her
only ^rb+down+++=only
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
wept ^vbd+++xvbnx+=wept
with ^in++++=with
remorse ^nn++++=remorse
and ^cc++++=and
rage ^nn++++=rage.
. ^zz++++=EXTRAWORD
At ^rb++++=At
that ^dt+dem+++=that
moment ^nn++++=moment
I ^pp1a+pp1+++=I
appeared ^vbd+seem++xvbnx+=appeared.
. ^zz++++=EXTRAWORD
" ^zz++++="O,
o ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Winzy ^np+++??+=Winzy!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
exclaimed ^vbd+++xvbnx+=exclaimed,
, ^zz++++=EXTRAWORD
" ^zz++++="take
take ^vb++++=EXTRAWORD
me ^pp1o+pp1+++=me
to ^in++++=to
your ^pp$+pp2+++=your
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
cot ^nn++++=cot;
; ^zz++++=EXTRAWORD
swiftly ^rb++++=swiftly
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
leave ^vb++++=leave
the ^ati++++=the
detested ^jj+atrb++xvbn+=detested
luxuries ^nns++++=luxuries
and ^cc++++=and
wretchedness ^nns+nom+++=wretchedness
of ^in++++=of
this ^dt+dem+++=this
noble ^jj+atrb+++=noble
dwelling ^nvbg+++xvbg+=dwelling--take
-- ^--+clp+++=EXTRAWORD
take ^vb++++=EXTRAWORD
me ^pp1o+pp1+++=me
to ^in++++=to
poverty ^nn++++=poverty
and ^cc++++=and
happiness ^nns+nom+++=happiness."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
clasped ^vbd+++xvbnx+=clasped
her ^pp$+pp3+++=her
in ^in++++=in
my ^pp$+pp1+++=my
arms ^nns++++=arms
with ^in++++=with
transport ^nn++++=transport.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
lady ^nn++++=lady
was ^vbd+bedz+vrb++=was
speechless ^jj+pred+++=speechless
with ^in++++=with
fury ^nn++++=fury,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
broke ^vbd+++xvbn+=broke
forth ^rp++++=forth
into ^in++++=into
invective ^jj++++=invective
only ^rb+down+++=only
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
far ^rb+pl+++=far
on ^in++++=on
our ^pp$+pp1+++=our
road ^nn++++=road
to ^in++++=to
my ^pp$+pp1+++=my
natal ^np++++=natal
cottage ^nn+nom+++=cottage.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
mother ^npt++++=mother
received ^vbd+++xvbn+=received
the ^ati++++=the
fair ^jj++++=fair
fugitive ^jj++++=fugitive,
, ^zz++++=EXTRAWORD
escaped ^j+++xvbn+=escaped
from ^in++++=from
a ^at++++=a
gilt ^jj+atrb+++=gilt
cage ^nn++++=cage
to ^in++++=to
nature ^nn++++=nature
and ^cc++++=and
liberty ^nn++++=liberty,
, ^zz++++=EXTRAWORD
with ^in++++=with
tenderness ^nns+nom+++=tenderness
and ^cc++++=and
joy ^nn++++=joy;
; ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
father ^nn++++=father,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
loved ^vbd+++xvbn+=loved
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
welcomed ^j+++xvbn+=welcomed
her ^pp$+pp3+++=her
heartily ^rb++++=heartily;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
day ^nn++++=day
of ^in++++=of
rejoicing ^xvbg+++xvbg+=rejoicing,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
did ^vbd+dod+aux++=did
not ^xnot++not++=not
need ^vb++++=need
the ^ati++++=the
addition ^nn+nom+++=addition
of ^in++++=of
the ^ati++++=the
celestial ^jj+atrb+++=celestial
potion ^nn++++=potion
of ^in++++=of
the ^ati++++=the
alchymist ^nn+nom+++=alchymist
to ^in++++=to
steep ^jj++++=steep
me ^pp1o+pp1+++=me
in ^in++++=in
delight ^nn++++=delight.
. ^zz++++=EXTRAWORD
Soon ^rb+tm+++=Soon
after ^in++++=after
this ^dt+dem+++=this
eventful ^jj+atrb+++=eventful
day ^nn++++=day,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
became ^vbd+++xvbnx+=became
the ^ati++++=the
husband ^nn++++=husband
of ^in++++=of
Bertha ^np+++??+=Bertha.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ceased ^vbd+++xvbnx+=ceased
to ^to++++=to
be ^vbi++vrb++=be
the ^ati++++=the
scholar ^nn++++=scholar
of ^in++++=of
Cornelius ^np+++??+=Cornelius,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
continued ^vbd+++xvbnx+=continued
his ^pp$+pp3+++=his
friend ^nn++++=friend.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
always ^rb++++=always
felt ^vbd+vprv++xvbn+=felt
grateful ^jj++++=grateful
to ^to+jcmp+++=to
him ^pp3o+pp3+++=him
for ^in++++=for
having ^xvbg+++xvbg+=having,
, ^zz++++=EXTRAWORD
unawares ^rb+cnj+++=unawares,
, ^zz++++=EXTRAWORD
procured ^j+++xvbn+=procured
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
delicious ^jj+atrb+++=delicious
draught ^nn++++=draught
of ^in++++=of
a ^at++++=a
divine ^jj+atrb+++=divine
elixir ^nn+++??+=elixir,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead
of ^in++++=of
curing ^j++++=curing
me ^pp1o+pp1+++=me
of ^in++++=of
love ^nn++++=love
( ^zz++++=(sad
sad ^jj+atrb+++=EXTRAWORD
cure ^nn++++=cure!
! ^zz++++=EXTRAWORD
solitary ^jj+atrb+++=solitary
and ^cc+phrs+++=and
joyless ^jj+atrb+++=joyless
remedy ^nn++++=remedy
for ^in++++=for
evils ^nns++++=evils
which ^whp+rel+subj++=which
seem ^vb+seem+++=seem
blessings ^nns++++=blessings
to ^in++++=to
the ^ati++++=the
memory ^nn++++=memory),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
inspired ^vprf+++xvbnx+=inspired
me ^pp1o+pp1+++=me
with ^in++++=with
courage ^nn+nom+++=courage
and ^cc++++=and
resolution ^nn+nom+++=resolution,
, ^zz++++=EXTRAWORD
thus ^rb+cnj+++=thus
winning ^jj+++xvbg+=winning
for ^in++++=for
me ^pp1o+pp1+++=me
an ^at++++=an
inestimable ^jj+atrb+++=inestimable
treasure ^nn++++=treasure
in ^in++++=in
my ^pp$+pp1+++=my
Bertha ^np+++??+=Bertha.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
often ^rb++++=often
called ^vbd+++xvbn+=called
to ^in++++=to
mind ^vb++++=mind
that ^tht+vcmp+obj++=that
period ^nn++++=period
of ^in++++=of
trance ^nn++++=trance-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
inebriation ^nn+nom+++=inebriation
with ^in++++=with
wonder ^nn++++=wonder.
. ^zz++++=EXTRAWORD
The ^ati++++=The
drink ^nn++++=drink
of ^in++++=of
Cornelius ^np+++??+=Cornelius
had ^vb+hv+aux++=had
not ^xnot++not++=not
fulfilled ^vbd+++xvbn+=fulfilled
the ^ati++++=the
task ^nn++++=task
for ^in++++=for
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
affirmed ^vbd+++xvbnx+=affirmed
that ^tht+vcmp+++=that
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
prepared ^vpsv++agls+xvbnx+=prepared,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
its ^pp$+it+++=its
effects ^nns++++=effects
were ^vbd+bed+vrb++=were
more ^rbr++++=more
potent ^jj+pred+++=potent
and ^cc+phrs+++=and
blissful ^jj++++=blissful
than ^in++++=than
words ^nns++++=words
can ^md+pos+++=can
express ^jjb++++=express.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
faded ^vprf+++xvbnx+=faded
by ^in++++=by
degrees ^nns+nom+++=degrees,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
they ^pp3a+pp3+++=they
lingered ^vbd+++xvbnx+=lingered
long ^jj++++=long--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
painted ^jj+atrb++xvbn+=painted
life ^nn++++=life
in ^in++++=in
hues ^nns++++=hues
of ^in++++=of
splendour ^nn++++=splendour.
. ^zz++++=EXTRAWORD
Bertha ^np+++??+=Bertha
often ^rb++++=often
wondered ^vbd+vprv++xvbn+=wondered
at ^rb++++=at
my ^pp$+pp1+++=my
lightness ^nns+nom+++=lightness
of ^in++++=of
heart ^nn++++=heart
and ^cc++++=and
unaccustomed ^jj+atrb+++=unaccustomed
gaiety ^nn++++=gaiety;
; ^zz++++=EXTRAWORD
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
rather ^rb++++=rather
serious ^jj++++=serious,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
even ^rb++++=even
sad ^jj++++=sad,
, ^zz++++=EXTRAWORD
in ^in++++=in
my ^pp$+pp1+++=my
disposition ^nn+nom+++=disposition.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
loved ^vbd+++xvbnx+=loved
me ^pp1o+pp1+++=me
the ^ati++++=the
better ^nn++++=better
for ^in++++=for
my ^pp$+pp1+++=my
cheerful ^jj+atrb+++=cheerful
temper ^nn++++=temper,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
our ^pp$+pp1+++=our
days ^nns++++=days
were ^vbd+bed+vrb++=were
winged ^jj+pred+++=winged
by ^in++++=by
joy ^nn++++=joy.
. ^zz++++=EXTRAWORD
Five ^cd++++=Five
years ^nns++++=years
afterwards ^rb+tm+++=afterwards
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
suddenly ^rb++splt++=suddenly
summoned ^vpsv++agls+xvbnx+=summoned
to ^to+vcmp+++=to
the ^ati++++=the
bedside ^nn++++=bedside
of ^in++++=of
the ^ati++++=the
dying ^jj+++xvbg+=dying
Cornelius ^np+++??+=Cornelius.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
sent ^vprf+++xvbnx+=sent
for ^in++++=for
me ^pp1o+pp1+++=me
in ^in++++=in
haste ^nn++++=haste,
, ^zz++++=EXTRAWORD
conjuring ^nn++++=conjuring
my ^pp$+pp1+++=my
instant ^nn+nom+++=instant
presence ^nn+nom+++=presence.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv+tht0+xvbnx+=found
him ^pp3o+pp3+++=him
stretched ^vbd+++xvbn+=stretched
on ^in++++=on
his ^pp$+pp3+++=his
pallet ^nn++++=pallet,
, ^zz++++=EXTRAWORD
enfeebled ^xvbn+++xvbn+=enfeebled
even ^rb++++=even
to ^in++++=to
death ^nn++++=death;
; ^zz++++=EXTRAWORD
all ^abn++++=all
of ^in++++=of
life ^nn++++=life
that ^tht+rel+++=that
yet ^cc++++=yet
remained ^vbd+++xvbn+=remained
animated ^vbd+++xvbn+=animated
his ^pp$+pp3+++=his
piercing ^jj+atrb++xvbg+=piercing
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
fixed ^vpsv++agls+xvbnx+=fixed
on ^in++++=on
a ^at++++=a
glass ^nn++++=glass
vessel ^nn++++=vessel,
, ^zz++++=EXTRAWORD
full ^jj++++=full
of ^in++++=of
a ^at++++=a
roseate ^jj+atrb+++=roseate
liquid ^nn++++=liquid.
. ^zz++++=EXTRAWORD
" ^zz++++="Behold,"
behold ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
broken ^jj+atrb++xvbn+=broken
and ^cc+phrs+++=and
inward ^jjb+atrb+++=inward
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
" ^zz++++="the
the ^ati++++=EXTRAWORD
vanity ^nn++++=vanity
of ^in++++=of
human ^jj+atrb+++=human
wishes ^nns++++=wishes!
! ^zz++++=EXTRAWORD
a ^at++++=a
second ^od++++=second
time ^nn++++=time
my ^pp$+pp1+++=my
hopes ^nns++++=hopes
are ^vb+ber+vrb++=are
about ^md"++pmd"++=about
to ^md+prd+++=to
be ^vbi+vbi+aux++=be
crowned ^vprf+++xvbn+=crowned,
, ^zz++++=EXTRAWORD
a ^at++++=a
second ^od++++=second
time ^nn++++=time
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
destroyed ^vpsv++agls+xvbnx+=destroyed.
. ^zz++++=EXTRAWORD
Look ^vb++++=Look
at ^rb++++=at
that ^dt+dem+++=that
liquor ^nn++++=liquor--you
-- ^--+clp+++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
remember ^nn+nom+++=remember
five ^cd++++=five
years ^nns++++=years
ago ^rb++++=ago
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
prepared ^vprf+++xvbnx+=prepared
the ^ati++++=the
same ^ap++++=same,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
same ^ap++++=same
success; ^nn+++??+=success;--then,
-- ^--+clp+++=EXTRAWORD
then ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^ql++++=as
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
thirsting ^jj+atrb++xvbg+=thirsting
lips ^nns++++=lips
expected ^vwbn+++xvbn+=expected
to ^to+vcmp+++=to
taste ^vbi++++=taste
the ^ati++++=the
immortal ^jj+atrb+++=immortal
elixir ^nn+++??+=elixir--you
-- ^--+clp+++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
dashed ^vbd+++xvbn+=dashed
it ^pp3+it+++=it
from ^in++++=from
me ^pp1o+pp1+++=me!
! ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
present ^vb++++=present
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
too ^ql++++=too
late ^jj++++=late."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
spoke ^vbd+++xvbnx+=spoke
with ^in++++=with
difficulty ^nn++++=difficulty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fell ^vbd+++xvbn+=fell
back ^rb+phrv+++=back
on ^in+ppvb+++=on
his ^pp$+pp3+++=his
pillow ^nn++++=pillow.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
help ^vb++++=help
saying, ^nn+++??+=saying,-"How,
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
how ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
revered ^jj+atrb+++=revered
master ^nn++++=master,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
a ^at++++=a
cure ^nn++++=cure
for ^in++++=for
love ^nn++++=love
restore ^vb++++=restore
you ^pp2+pp2+++=you
to ^in++++=to
life ^nn++++=life?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
faint ^jj+atrb+++=faint
smile ^nn++++=smile
gleamed ^vbd+++xvbn+=gleamed
across ^in+pl+++=across
his ^pp$+pp3+++=his
face ^nn++++=face
as ^ql++++=as
I ^pp1a+pp1+++=I
listened ^vbd+++xvbnx+=listened
earnestly ^rb++++=earnestly
to ^in++++=to
his ^pp$+pp3+++=his
scarcely ^rb+down+++=scarcely
intelligible ^jj+atrb+++=intelligible
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
cure ^nn++++=cure
for ^in++++=for
love ^nn++++=love
and ^cc++++=and
for ^in++++=for
all ^abn++++=all
things ^nns++++=things--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
Elixir ^np+++??+=Elixir
of ^in++++=of
Immortality ^nn+nom+++=Immortality.
. ^zz++++=EXTRAWORD
Ah ^uh++++=Ah!
! ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
now ^rn+tm+++=now
I ^pp1a+pp1+++=I
might ^md+pos+++=might
drink ^vb++++=drink,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
live ^vb++++=live
for ^in+ppvb+++=for
ever ^rb"++++=ever!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke,
, ^zz++++=EXTRAWORD
a ^at++++=a
golden ^jj+atrb+++=golden
flash ^nn++++=flash
gleamed ^vbd+++xvbn+=gleamed
from ^in++++=from
the ^ati++++=the
fluid ^nn++++=fluid;
; ^zz++++=EXTRAWORD
a ^at++++=a
well ^rb++++=well-remembered
- ^zz++++=EXTRAWORD
remembered ^vbd+vprv+tht0+xvbn+=EXTRAWORD
fragrance ^nn+nom+++=fragrance
stole ^vbd+++xvbn+=stole
over ^in++++=over
the ^ati++++=the
air ^nn++++=air;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
raised ^vbd+++xvbnx+=raised
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
all ^abn++++=all
weak ^jj++++=weak
as ^ql++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was-strength
- ^zz++++=EXTRAWORD
strength ^nn++++=EXTRAWORD
seemed ^vbd+seem++xvbn+=seemed
miraculously ^rb++++=miraculously
to ^in++++=to
re ^in++++=re-enter
- ^zz++++=EXTRAWORD
enter ^vb++++=EXTRAWORD
his ^pp$+pp3+++=his
frame ^nn++++=frame--he
-- ^--+clp+++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
stretched ^vbd+++xvbnx+=stretched
forth ^np++++=forth
his ^pp$+pp3+++=his
hand ^nn++++=hand--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
loud ^jj+atrb+++=loud
explosion ^nn++++=explosion
startled ^vbd+++xvbn+=startled
me ^pp1o+pp1+++=me--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
ray ^nn++++=ray
of ^in++++=of
fire ^nn++++=fire
shot ^vbd+++xvbn+=shot
up ^rp++++=up
from ^in++++=from
the ^ati++++=the
elixir ^nn+++??+=elixir,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
glass ^nn++++=glass
vessel ^nn++++=vessel
which ^whp+rel+subj++=which
contained ^vbd+++xvbn+=contained
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
shivered ^vpsv++agls+xvbnx+=shivered
to ^in++++=to
atoms ^nns++++=atoms!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
turned ^vbd+++xvbnx+=turned
my ^pp$+pp1+++=my
eyes ^nns++++=eyes
towards ^in++++=towards
the ^ati++++=the
philosopher ^nn+nom+++=philosopher;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen
back ^rp++++=back--his
-- ^--+clp+++=EXTRAWORD
his ^pp$+pp3+++=EXTRAWORD
eyes ^nns++++=eyes
were ^vbd+bed+vrb++=were
glassy ^nn+++??+=glassy--his
-- ^--+clp+++=EXTRAWORD
his ^pp$+pp3+++=EXTRAWORD
features ^nns++++=features
rigid ^jj++++=rigid--he
-- ^--+clp+++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
dead ^jj+pred+++=dead!
! ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
lived ^vbd+++xvbnx+=lived,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
to ^to++++=to
live ^vbi++++=live
for ^in+ppvb+++=for
ever ^rb"++++=ever!
! ^zz++++=EXTRAWORD
So ^ql++++=So
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
unfortunate ^jj+atrb+++=unfortunate
alchymist ^nn+nom+++=alchymist,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
a ^ap++++=a
few ^ap"++++=few
days ^nns++++=days
I ^pp1a+pp1+++=I
believed ^vbd+vprv+tht0+xvbnx+=believed
his ^pp$+pp3+++=his
words ^nns++++=words.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remembered ^vbd+vprv++xvbnx+=remembered
the ^ati++++=the
glorious ^jj+atrb+++=glorious
drunkenness ^nns+nom+++=drunkenness
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
followed ^vprf++tht0+xvbnx+=followed
my ^pp$+pp1+++=my
stolen ^jj+atrb++xvbn+=stolen
draught ^nn++++=draught.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
reflected ^vbd+vprv++xvbnx+=reflected
on ^in++++=on
the ^ati++++=the
change ^nn++++=change
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
felt ^vprf+++xvbnx+=felt
in ^in++++=in
my ^pp$+pp1+++=my
frame ^nn++++=frame--in
-- ^--+clp+++=EXTRAWORD
in ^in++++=EXTRAWORD
my ^pp$+pp1+++=my
soul ^nn++++=soul.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bounding ^jj+atrb++xvbg+=bounding
elasticity ^nn+nom+++=elasticity
of ^in++++=of
the ^ati++++=the
one ^pn++++=one--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
buoyant ^jj+atrb+++=buoyant
lightness ^nns+nom+++=lightness
of ^in++++=of
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
surveyed ^vbd+++xvbnx+=surveyed
myself ^ppl+pp1+++=myself
in ^in++++=in
a ^at++++=a
mirror ^nn++++=mirror,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
could ^md+pos+++=could
perceive ^vb+vprv+++=perceive
no ^at++++=no
change ^nn++++=change
in ^in++++=in
my ^pp$+pp1+++=my
features ^nns++++=features
during ^in++++=during
the ^ati++++=the
space ^nn++++=space
of ^in++++=of
the ^ati++++=the
five ^cd++++=five
years ^nns++++=years
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
elapsed ^vwbn+++xvbn+=elapsed.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remembered ^vbd+vprv++xvbnx+=remembered
the ^ati++++=the
radiant ^jj+atrb+++=radiant
hues ^nns++++=hues
and ^cc++++=and
grateful ^jj+atrb+++=grateful
scent ^nn++++=scent
of ^in++++=of
that ^dt+dem+++=that
delicious ^jj+atrb+++=delicious
beverage ^nn+nom+++=beverage--worthy
-- ^--+clp+++=EXTRAWORD
worthy ^jj++++=EXTRAWORD
the ^ati++++=the
gift ^nn++++=gift
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
capable ^jj+pred+++=capable
of ^in++++=of
bestowing ^xvbg+++xvbg+=bestowing----I
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
Immortal ^jj++++=IMMORTAL!
! ^zz++++=EXTRAWORD
A ^ap++++=A
few ^ap"++++=few
days ^nns++++=days
after ^cs+sub+++=after
I ^pp1a+pp1+++=I
laughed ^vbd+++xvbnx+=laughed
at ^in+ppvb+++=at
my ^pp$+pp1+++=my
credulity ^nn+nom+++=credulity.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
proverb ^nn++++=proverb,
, ^zz++++=EXTRAWORD
that ^cs+sub+++=that
" ^zz++++="a
a ^at++++=EXTRAWORD
prophet ^nn++++=prophet
is ^vbz+bez+aux++=is
least ^rbt++splt++=least
regarded ^vpsv++agls+xvbnx+=regarded
in ^in++++=in
his ^pp$+pp3+++=his
own ^ap++++=own
country ^nn++++=country,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
true ^jj+pred+++=true
with ^in++++=with
respect ^nn++++=respect
to ^in++++=to
me ^pp1o+pp1+++=me
and ^cc++++=and
my ^pp$+pp1+++=my
defunct ^nn+++??+=defunct
master ^nn++++=master.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
loved ^vbd+++xvbnx+=loved
him ^pp3o+pp3+++=him
as ^in++++=as
a ^at++++=a
man ^nn++++=man--I
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
respected ^vbd+++xvbnx+=respected
him ^pp3o+pp3+++=him
as ^in++++=as
a ^at++++=a
sage ^nn++++=sage--but
-- ^--+clp+++=EXTRAWORD
but ^cc+cls+++=EXTRAWORD
I ^pp1a+pp1+++=I
derided ^vbd+++xvbnx+=derided
the ^ati++++=the
notion ^nn++++=notion
that ^tht+ncmp+++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=could
command ^vb++++=command
the ^ati++++=the
powers ^nns++++=powers
of ^in++++=of
darkness ^nns+nom+++=darkness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
laughed ^vpsv++agls+xvbn+=laughed
at ^in+ppvb+++=at
the ^ati++++=the
superstitious ^jj+atrb+++=superstitious
fears ^nns++++=fears
with ^in++++=with
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
regarded ^vpsv++by+xvbnx+=regarded
by ^in++++=by
the ^ati++++=the
vulgar ^nn++++=vulgar.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
wise ^jj+atrb+++=wise
philosopher ^nn+nom+++=philosopher,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
had ^vb+hv+vrb++=had
no ^at++++=no
acquaintance ^nn+nom+++=acquaintance
with ^in++++=with
any ^dti++++=any
spirits ^nns++++=spirits
but ^cc++++=but
those ^dt+dem+++=those
clad ^jj++++=clad
in ^in++++=in
flesh ^nn++++=flesh
and ^cc++++=and
blood ^nn++++=blood.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
science ^nn+nom+++=science
was ^vbd+bedz+vrb++=was
simply ^rb++++=simply
human ^jj+pred+++=human;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
human ^jj+atrb+++=human
science ^nn+nom+++=science,
