Of ^in++++=Of
few ^ap"++++=few.
. ^zz++++=EXTRAWORD
All ^abn++++=All
of ^in++++=of
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
bore ^j+++xvbn+=bore
out ^rp+pl+++=out
the ^ati++++=the
notes ^nns++++=notes
in ^rb++++=in
full ^rb"++++=full.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
often ^rb++splt++=often
wondered ^vprf+++xvbnx+=wondered
if ^cs+cnd+++=if
all ^abn++++=all
the ^ati++++=the
objects ^nns++++=objects
of ^in++++=of
the ^ati++++=the
professor ^nn++++=professor's
's ^vbz+bez+aux++0=EXTRAWORD
questioning ^xvbg+++xvbg+=questioning
felt ^vprf+++xvbn+=felt
as ^cs+sub+++=as
puzzled ^vbd+++xvbn+=puzzled
as ^ql++++=as
did ^vbd+dod+vrb++=did
this ^dt+dem+++=this
fraction ^nn+nom+++=fraction.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
well ^rb++++=well
that ^cs+sub+++=that
no ^at++++=no
explanation ^nn+nom+++=explanation
shall ^md+prd+++=shall
ever ^rb++++=ever
reach ^nn++++=reach
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
press ^nn++++=press
cuttings ^nns++++=cuttings,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
intimated ^vprf+++xvbnx+=intimated,
, ^zz++++=EXTRAWORD
touched ^j+++xvbn+=touched
on ^in++++=on
cases ^nns++++=cases
of ^in++++=of
panic ^nn++++=panic,
, ^zz++++=EXTRAWORD
mania ^nn++++=mania,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
eccentricity ^nn+nom+++=eccentricity
during ^in++++=during
the ^ati++++=the
given ^jj+atrb++xvbn+=given
period ^nn++++=period.
. ^zz++++=EXTRAWORD
Professor ^npt++++=Professor
Angell ^np+++??+=Angell
must ^md+nec+++=must
have ^vb+hv+aux++=have
employed ^vprf+++xvbnx+=employed
a ^at++++=a
cutting ^jj+atrb++xvbg+=cutting
bureau ^nn++++=bureau,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
extracts ^nns++++=extracts
was ^vbd+bedz+vrb++=was
tremendous ^jj+pred+++=tremendous,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sources ^nns++++=sources
scattered ^vbd+++xvbn+=scattered
throughout ^in++++=throughout
the ^ati++++=the
globe ^nn++++=globe.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
was ^vbd+bedz+vrb++=was
a ^at++++=a
nocturnal ^jj+atrb+++=nocturnal
suicide ^nn++++=suicide
in ^in++++=in
London ^np++++=London,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
a ^at++++=a
lone ^jjb++++=lone
sleeper ^jjr++++=sleeper
had ^vbd+hvd+aux++=had
leaped ^vprf+++xvbnx+=leaped
from ^in++++=from
a ^at++++=a
window ^nn++++=window
after ^in++++=after
a ^at++++=a
shocking ^jj+atrb++xvbg+=shocking
cry ^nn++++=cry.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
likewise ^rb+cnj+++=likewise
a ^at++++=a
rambling ^jj+atrb+++=rambling
letter ^nn++++=letter
to ^in++++=to
the ^ati++++=the
editor ^nn++++=editor
of ^in++++=of
a ^at++++=a
paper ^nn++++=paper
in ^in++++=in
South ^np+pl+++=South
America ^np++++=America,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
a ^at++++=a
fanatic ^nn++++=fanatic
deduces ^vbz++++=deduces
a ^at++++=a
dire ^jjb++++=dire
future ^jjb++++=future
from ^in++++=from
visions ^nns++++=visions
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
seen ^vprf+++xvbnx+=seen.
. ^zz++++=EXTRAWORD
A ^at++++=A
dispatch ^nn++++=dispatch
from ^in++++=from
California ^np++++=California
describes ^vbz++++=describes
a ^at++++=a
theosophist ^nn+nom+++=theosophist
colony ^nn++++=colony
as ^ql++++=as
donning ^jj+atrb++xvbg+=donning
white ^jj+atrb+++=white
robes ^nns++++=robes
en ^&fw++++=en
masse ^&fw++++=masse
for ^in++++=for
some ^dti++++=some
" ^zz++++="glorious
glorious ^jj+atrb+++=EXTRAWORD
fulfilment ^nn+nom+++=fulfilment"
" ^zz++++=EXTRAWORD
which ^whp+who+++=which
never ^rb++++=never
arrives ^vbz++++=arrives,
, ^zz++++=EXTRAWORD
whilst ^cs+sub+++=whilst
items ^nns++++=items
from ^in++++=from
India ^np++++=India
speak ^vb++++=speak
guardedly ^jj++++=guardedly
of ^in++++=of
serious ^jj+atrb+++=serious
native ^jj+atrb+++=native
unrest ^nn++++=unrest
towards ^in++++=towards
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
March ^nn++++=March.
. ^zz++++=EXTRAWORD
Voodoo ^np+++??+=Voodoo
orgies ^nns++++=orgies
multiply ^vb++++=multiply
in ^in++++=in
Haiti ^np+++??+=Haiti,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
African ^jj+atrb+++=African
outposts ^nns+++??+=outposts
report ^vb++++=report
ominous ^jj+atrb+++=ominous
mutterings ^nns+++??+=mutterings.
. ^zz++++=EXTRAWORD
American ^jj+atrb+++=American
officers ^nns+nom+++=officers
in ^in++++=in
the ^ati++++=the
Philippines ^np+++??+=Philippines
find ^vb+vprv+++=find
certain ^jj+atrb+++=certain
tribes ^nns++++=tribes
bothersome ^nn+++??+=bothersome
about ^in++++=about
this ^dt+dem+++=this
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
New ^jj+atrb+++=New
York ^np++++=York
policemen ^nns++++=policemen
are ^vb+ber+aux++=are
mobbed ^vpsv++by+xvbnx+=mobbed
by ^in++++=by
hysterical ^jj+atrb+++=hysterical
Levantines ^np+++??+=Levantines
on ^in++++=on
the ^ati++++=the
night ^nn++++=night
of ^in++++=of
22 ^cd++++=22-23
- ^zz++++=EXTRAWORD
23 ^cd++++=EXTRAWORD
March ^nn++++=March.
. ^zz++++=EXTRAWORD
The ^ati++++=The
west ^np+pl+++=west
of ^in++++=of
Ireland ^np++++=Ireland,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
full ^jj+pred+++=full
of ^in++++=of
wild ^jj+atrb+++=wild
rumour ^nn++++=rumour
and ^cc++++=and
legendry ^nn++++=legendry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
fantastic ^jj+atrb+++=fantastic
painter ^nn++++=painter
named ^vbd+++xvbn+=named
Ardois ^np+++??+=Ardois-Bonnot
- ^zz++++=EXTRAWORD
bonnot ^nn+++??+=EXTRAWORD
hangs ^vbz++++=hangs
a ^at++++=a
blasphemous ^jj+atrb+++=blasphemous
Dream ^nn++++=Dream
Landscape ^nn++++=Landscape
in ^in++++=in
the ^ati++++=the
Paris ^np++++=Paris
spring ^nn++++=spring
salon ^nn++++=salon
of ^in++++=of
1926 ^cd+date+++=1926.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
so ^rb+emph+++=so
numerous ^jj++++=numerous
are ^vb+ber+vrb++=are
the ^ati++++=the
recorded ^jj+atrb++xvbn+=recorded
troubles ^nns++++=troubles
in ^in++++=in
insane ^jj+atrb+++=insane
asylums ^nns+++??+=asylums
that ^tht+rel+++=that
only ^rb+down+++=only
a ^at++++=a
miracle ^nn++++=miracle
can ^md+pos+++=can
have ^vb+hv+aux++=have
stopped ^vprf+++xvbnx+=stopped
the ^ati++++=the
medical ^jj+atrb+++=medical
fraternity ^nn+nom+++=fraternity
from ^in++++=from
noting ^xvbg+++xvbg+=noting
strange ^jj+atrb+++=strange
parallelisms ^nns+nom+++=parallelisms
and ^cc++++=and
drawing ^xvbg+++xvbg+=drawing
mystified ^vbd+++xvbn+=mystified
conclusions ^nns++++=conclusions.
. ^zz++++=EXTRAWORD
A ^at++++=A
weird ^jj+atrb+++=weird
bunch ^nn++++=bunch
of ^in++++=of
cuttings ^nns++++=cuttings,
, ^zz++++=EXTRAWORD
all ^abn++++=all
told ^vbd+vpub++xvbn+=told;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
can ^md+pos+++=can
at ^in++++=at
this ^dt+dem+++=this
date ^nn++++=date
scarcely ^rb+down+++=scarcely
envisage ^nn+nom+++=envisage
the ^ati++++=the
callous ^jj+atrb+++=callous
rationalism ^nn+nom+++=rationalism
with ^in++++=with
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
set ^vbd+++xvbnx+=set
them ^pp3o+pp3+++=them
aside ^rp++++=aside.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
then ^rn+tm+splt++=then
convinced ^jj++agls+xvbnx+=convinced
that ^tht+jcmp+++=that
young ^jj+atrb+++=young
Wilcox ^np++++=Wilcox
had ^vbd+hvd+aux++=had
known ^vprf+++xvbnx+=known
of ^in++++=of
the ^ati++++=the
older ^nn++++=older
matters ^nns+nom+++=matters
mentioned ^vpsv++by+xvbn+=mentioned
by ^in++++=by
the ^ati++++=the
professor ^nn++++=professor.
. ^zz++++=EXTRAWORD
The ^ati++++=The
older ^jjr+atrb+++=older
matters ^nns+nom+++=matters
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
the ^ati++++=the
sculptor ^nn++++=sculptor's
's ^$++++=EXTRAWORD
vision ^nn++++=vision
and ^cc++++=and
bas ^nns+++??+=bas-relief
- ^zz++++=EXTRAWORD
relief ^nn++++=EXTRAWORD
so ^rb+emph+++=so
significant ^jj++++=significant
to ^in++++=to
my ^pp$+pp1+++=my
uncle ^npt++++=uncle
formed ^vbd+++xvbn+=formed
the ^ati++++=the
subject ^nn++++=subject
of ^in++++=of
the ^ati++++=the
second ^od++++=second
half ^nn++++=half
of ^in++++=of
his ^pp$+pp3+++=his
long ^jj+atrb+++=long
manuscript ^nn++++=manuscript.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
appears ^vbz+seem+++=appears,
, ^zz++++=EXTRAWORD
Professor ^npt++++=Professor
Angell ^np+++??+=Angell
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
the ^ati++++=the
hellish ^jj+atrb+++=hellish
outlines ^nns++++=outlines
of ^in++++=of
the ^ati++++=the
nameless ^jj+atrb+++=nameless
monstrosity ^nn+nom+++=monstrosity,
, ^zz++++=EXTRAWORD
puzzled ^j+++xvbn+=puzzled
over ^in++++=over
the ^ati++++=the
unknown ^jj+atrb+++=unknown
hieroglyphics ^nns++++=hieroglyphics,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
heard ^vbd+vprv++xvbn+=heard
the ^ati++++=the
ominous ^jj+atrb+++=ominous
syllables ^nns++++=syllables
which ^whp+rel+subj++=which
can ^md+pos+++=can
be ^vb+be+aux++=be
rendered ^vpsv++agls+xvbnx+=rendered
only ^rb+down+++=only
as ^in++++=as
" ^zz++++="Cthulhu";
cthulhu ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
this ^dt+dem+++=this
in ^in++++=in
so ^ql+emph+++=so
stirring ^jj+++xvbg+=stirring
and ^cc+phrs+++=and
horrible ^jj++++=horrible
a ^at++++=a
connection ^nn+nom+++=connection
that ^tht+rel+obj++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
small ^jj+atrb+++=small
wonder ^nn++++=wonder
he ^pp3a+pp3+++=he
pursued ^vbd+++xvbnx+=pursued
young ^jj+atrb+++=young
Wilcox ^np++++=Wilcox
with ^in++++=with
queries ^nns+nom+++=queries
and ^cc++++=and
demands ^nns++++=demands
for ^in++++=for
data ^nns++++=data.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
earlier ^jjr+atrb+++=earlier
experience ^nn+nom+++=experience
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
in ^in++++=in
1908 ^cd+date+++=1908,
, ^zz++++=EXTRAWORD
seventeen ^cd++++=seventeen
years ^nns++++=years
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
American ^jj+atrb+++=American
Archaeological ^jj+atrb+++=Archaeological
Society ^nn++++=Society
held ^vbd+vprv++xvbn+=held
its ^pp$+it+++=its
annual ^jj++++=annual
meeting ^jj+++xvbg+=meeting
in ^in++++=in
St ^npt++++=St
Louis ^np++++=Louis.
. ^zz++++=EXTRAWORD
Professor ^npt++++=Professor
Angell ^np+++??+=Angell,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
befitted ^vbd+++xvbn+=befitted
one ^pn++++=one
of ^in++++=of
his ^pp$+pp3+++=his
authority ^nn+nom+++=authority
and ^cc++++=and
attainments ^nns+nom+++=attainments,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
had ^vb+hv+vrb++=had
a ^at++++=a
prominent ^jj+atrb+++=prominent
part ^nn++++=part
in ^in++++=in
all ^abn++++=all
the ^ati++++=the
deliberations ^nns+nom+++=deliberations,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
first ^rb++++=first
to ^to++++=to
be ^vbi+vbi+aux++=be
approached ^vpsv++by+xvbnx+=approached
by ^in++++=by
the ^ati++++=the
several ^ap++++=several
outsiders ^nns+nom+++=outsiders
who ^whp+rel+subj++=who
took ^vbd+++xvbn+=took
advantage ^nn+nom+++=advantage
of ^in++++=of
the ^ati++++=the
convocation ^nn+nom+++=convocation
to ^to++++=to
offer ^vbi++++=offer
questions ^nns+nom+++=questions
for ^in++++=for
correct ^nn++++=correct
answering ^vwbg+++xvbg+=answering
and ^cc++++=and
problems ^nns++++=problems
for ^in++++=for
expert ^jj+atrb+++=expert
solution ^nn+nom+++=solution.
. ^zz++++=EXTRAWORD
The ^ati++++=The
chief ^nn++++=chief
of ^in++++=of
these ^dt+dem+++=these
outsiders ^nns+nom+++=outsiders,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
a ^at++++=a
short ^jj+atrb+++=short
time ^nn++++=time
the ^ati++++=the
focus ^nn++++=focus
of ^in++++=of
interest ^nn++++=interest
for ^in++++=for
the ^ati++++=the
entire ^jjb+atrb+++=entire
meeting ^nvbg+++xvbg+=meeting,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
commonplace ^jj++++=commonplace-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
middle ^jjb++++=middle-aged
- ^zz++++=EXTRAWORD
aged ^jj+atrb+++=EXTRAWORD
man ^nn++++=man
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
travelled ^vprf+++xvbnx+=travelled
all ^abn++++=all
the ^ati++++=the
way ^nn++++=way
from ^in++++=from
New ^jj+atrb+++=New
Orleans ^nns+nom++??+=Orleans
for ^rb++++=for
certain ^rb"++++=certain
special ^jj+atrb+++=special
information ^nn+nom+++=information
unobtainable ^jj++++=unobtainable
from ^in++++=from
any ^dti++++=any
local ^jj+atrb+++=local
source ^nn++++=source.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
name ^nn++++=name
was ^vbd+bedz+vrb++=was
John ^np++++=John
Raymond ^np++++=Raymond
Legrasse ^np+++??+=Legrasse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
by ^in++++=by
profession ^nn++++=profession
an ^at++++=an
inspector ^nn++++=inspector
of ^in++++=of
police ^nns++++=police.
. ^zz++++=EXTRAWORD
With ^in++++=With
him ^pp3o+pp3+++=him
he ^pp3a+pp3+++=he
bore ^vbd+++xvbnx+=bore
the ^ati++++=the
subject ^nn++++=subject
of ^in++++=of
his ^pp$+pp3+++=his
visit ^nn++++=visit,
, ^zz++++=EXTRAWORD
a ^at++++=a
grotesque ^jj++++=grotesque,
, ^zz++++=EXTRAWORD
repulsive ^jj++++=repulsive,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
apparently ^rb++++=apparently
very ^ql+amp+++=very
ancient ^jj+atrb+++=ancient
stone ^nn++++=stone
statuette ^nn+nom+++=statuette
whose ^whp+rel+obj++=whose
origin ^nn++++=origin
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
at ^rb++++=at
a ^at++++=a
loss ^nn++++=loss
to ^to++++=to
determine ^vbi++++=determine.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
must ^md+nec+++=must
not ^xnot++not++=not
be ^vb+be+aux++=be
fancied ^vpsv++agls+xvbnx+=fancied
that ^tht+vcmp+++=that
Inspector ^nn++++=Inspector
Legrasse ^np+++??+=Legrasse
had ^vb+hv+vrb++=had
the ^ati++++=the
least ^rbt++++=least
interest ^nn++++=interest
in ^in++++=in
archaeology ^nn++++=archaeology.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
contrary ^nn+nom+++=contrary,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
wish ^nn++++=wish
for ^in++++=for
enlightenment ^nn+nom+++=enlightenment
was ^vbd+bedz+aux++=was
prompted ^vpsv++by+xvbnx+=prompted
by ^in++++=by
purely ^rb++++=purely
professional ^jj+atrb+++=professional
considerations ^nns+nom+++=considerations.
. ^zz++++=EXTRAWORD
The ^ati++++=The
statuette ^nn+nom+++=statuette,
, ^zz++++=EXTRAWORD
idol ^nn++++=idol,
, ^zz++++=EXTRAWORD
fetish ^jj++++=fetish,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
whatever ^nn+nom+++=whatever
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
captured ^vpsv++agls+xvbnx+=captured
some ^dti++++=some
months ^nns++++=months
before ^in++++=before
in ^in++++=in
the ^ati++++=the
wooden ^jj+atrb+++=wooden
swamps ^nns++++=swamps
south ^np+pl+++=south
of ^in++++=of
New ^jj+atrb+++=New
Orleans ^nns+nom++??+=Orleans
during ^in++++=during
a ^at++++=a
raid ^nn++++=raid
on ^in++++=on
a ^at++++=a
supposed ^jj+atrb++xvbn+=supposed
voodoo ^nn+++??+=voodoo
meeting ^vwbg+++xvbg+=meeting;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
singular ^nn++++=singular
and ^cc++++=and
hideous ^jj++++=hideous
were ^vbd+bed+vrb++=were
the ^ati++++=the
rites ^nns++++=rites
connected ^vbd+++xvbn+=connected
with ^in++++=with
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
police ^nns++++=police
could ^md+pos+++=could
not ^xnot++not++=not
but ^cc++++=but
realize ^vb+vprv+++=realize
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
stumbled ^vprf+++xvbnx+=stumbled
on ^in+ppvb+++=on
a ^at++++=a
dark ^jj+atrb+++=dark
cult ^nn++++=cult
totally ^rb+amp+++=totally
unknown ^jj++++=unknown
to ^in++++=to
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
infinitely ^rb++++=infinitely
more ^rbr++++=more
diabolic ^jj++++=diabolic
than ^in++++=than
even ^rb++++=even
the ^ati++++=the
blackest ^nn++++=blackest
of ^in++++=of
the ^ati++++=the
African ^jj+atrb+++=African
voodoo ^nn+++??+=voodoo
circles ^nns++++=circles.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
its ^pp$+it+++=its
origin ^nn++++=origin,
, ^zz++++=EXTRAWORD
apart ^in++++=apart
from ^in"++++=from
the ^ati++++=the
erratic ^jj+atrb+++=erratic
and ^cc+phrs+++=and
unbelievable ^jj+atrb+++=unbelievable
tales ^nns++++=tales
extorted ^vbd+++xvbn+=extorted
from ^in++++=from
the ^ati++++=the
captured ^jj+atrb++xvbn+=captured
members ^nns+nom+++=members,
, ^zz++++=EXTRAWORD
absolutely ^rb+amp+++=absolutely
nothing ^pn++++=nothing
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi+vbi+aux++=be
discovered ^vpsv++agls+xvbnx+=discovered;
; ^zz++++=EXTRAWORD
hence ^rb+cnj+++=hence
the ^ati++++=the
anxiety ^nn++++=anxiety
of ^in++++=of
the ^ati++++=the
police ^nns++++=police
for ^in++++=for
any ^dti++++=any
antiquarian ^jj+atrb+++=antiquarian
lore ^nn++++=lore
which ^whp+rel+subj++=which
might ^md+pos+++=might
help ^vb++++=help
them ^pp3o+pp3+++=them
to ^to++++=to
place ^vbi++++=place
the ^ati++++=the
frightful ^jj+atrb+++=frightful
symbol ^nn++++=symbol,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
through ^in++++=through
it ^pp3+it+++=it
track ^nn++++=track
down ^rp++++=down
the ^ati++++=the
cult ^nn++++=cult
to ^in++++=to
its ^pp$+it+++=its
fountain ^npl++++=fountain-head.
- ^zz++++=EXTRAWORD
head ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Inspector ^nn++++=Inspector
Legrasse ^np+++??+=Legrasse
was ^vbd+bedz+aux++=was
scarcely ^rb+down+splt++=scarcely
prepared ^vpsv++agls+xvbnx+=prepared
for ^in++++=for
the ^ati++++=the
sensation ^nn+nom+++=sensation
which ^whp+rel+obj++=which
his ^pp$+pp3+++=his
offering ^xvbg+++xvbg+=offering
created ^vprf+++xvbn+=created.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
sight ^nn++++=sight
of ^in++++=of
the ^ati++++=the
thing ^nn++++=thing
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
enough ^qlp++++=enough
to ^to++++=to
throw ^vbi++++=throw
the ^ati++++=the
assembled ^jj+atrb++xvbn+=assembled
men ^nns++++=men
of ^in++++=of
science ^nn+nom+++=science
into ^in++++=into
a ^at++++=a
state ^nn++++=state
of ^in++++=of
tense ^jj+atrb+++=tense
excitement ^nn+nom+++=excitement,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
lost ^vbd+++xvbnx+=lost
no ^at++++=no
time ^nn++++=time
in ^in++++=in
crowding ^xvbg+++xvbg+=crowding
around ^rp++++=around
him ^pp3o+pp3+++=him
to ^in++++=to
gaze ^nn++++=gaze
at ^in++++=at
the ^ati++++=the
diminutive ^jj+atrb+++=diminutive
figure ^nn++++=figure
whose ^whp+rel+obj++=whose
utter ^jjb+atrb+++=utter
strangeness ^nns+nom+++=strangeness
and ^cc++++=and
air ^nn++++=air
of ^in++++=of
genuinely ^rb++++=genuinely
abysmal ^jj+atrb+++=abysmal
antiquity ^nn+nom+++=antiquity
hinted ^vbd+vpub++xvbn+=hinted
so ^pn++++=so
potently ^rb++++=potently
at ^in++++=at
unopened ^vbd+++xvbn+=unopened
and ^cc++++=and
archaic ^jj+atrb+++=archaic
vistas ^nns++++=vistas.
. ^zz++++=EXTRAWORD
No ^at++++=No
recognized ^jj+++xvbn+=recognized
school ^npl++++=school
of ^in++++=of
sculpture ^nn++++=sculpture
had ^vbd+hvd+aux++=had
animated ^vprf+++xvbnx+=animated
this ^dt+dem+++=this
terrible ^jj+atrb+++=terrible
object ^nn++++=object,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
centuries ^nns++++=centuries
and ^cc++++=and
even ^rb++++=even
thousands ^cds++++=thousands
of ^in++++=of
years ^nns++++=years
seemed ^vbd+seem++xvbn+=seemed
recorded ^vbd+vpub++xvbn+=recorded
in ^in++++=in
its ^pp$+it+++=its
dim ^jj+atrb+++=dim
and ^cc+phrs+++=and
greenish ^jj+atrb+++=greenish
surface ^nn++++=surface
of ^in++++=of
unplaceable ^jj+atrb+++=unplaceable
stone ^nn++++=stone.
. ^zz++++=EXTRAWORD
The ^ati++++=The
figure ^nn++++=figure,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
finally ^rb++splt++=finally
passed ^vpsv++agls+xvbnx+=passed
slowly ^rb++++=slowly
from ^in++++=from
man ^nn++++=man
to ^in++++=to
man ^nn++++=man
for ^in++++=for
close ^nn++++=close
and ^cc++++=and
careful ^jj+atrb+++=careful
study ^nn++++=study,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
between ^in++++=between
seven ^cd++++=seven
and ^cc++++=and
eight ^cd++++=eight
inches ^nns++++=inches
in ^in++++=in
height ^nn++++=height,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
exquisitely ^rb++++=exquisitely
artistic ^jj+atrb+++=artistic
workmanship ^nn+nom+++=workmanship.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
represented ^vbd+++xvbn+=represented
a ^at++++=a
monster ^nn+nom+++=monster
of ^in++++=of
vaguely ^rb++++=vaguely
anthropoid ^nn+++??+=anthropoid
outline ^nn++++=outline,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
with ^in++++=with
an ^at++++=an
octopus ^nn++++=octopus-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
head ^jjb++++=head
whose ^whp+who+++=whose
face ^nn++++=face
was ^vbd+bedz+vrb++=was
a ^at++++=a
mass ^nn++++=mass
of ^in++++=of
feelers ^nns+nom+++=feelers,
, ^zz++++=EXTRAWORD
a ^at++++=a
scaly ^jj++++=scaly,
, ^zz++++=EXTRAWORD
rubbery ^jj++++=rubbery-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
body ^nn++++=body,
, ^zz++++=EXTRAWORD
prodigious ^jj+atrb+++=prodigious
claws ^nns++++=claws
on ^in++++=on
hind ^jjb+atrb+++=hind
and ^cc+phrs+++=and
fore ^jjb+atrb+++=fore
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
long ^jj+atrb+++=long,
, ^zz++++=EXTRAWORD
narrow ^jj+atrb+++=narrow
wings ^nns++++=wings
behind ^in+strn+++=behind.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
seemed ^vbd+seem++xvbn+=seemed
instinct ^nn++++=instinct
with ^in++++=with
a ^at++++=a
fearsome ^nn+++??+=fearsome
and ^cc++++=and
unnatural ^jj+atrb+++=unnatural
malignancy ^nn++++=malignancy,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
of ^in++++=of
a ^at++++=a
somewhat ^rb+down+++=somewhat
bloated ^jj+atrb++xvbn+=bloated
corpulence ^nn+nom+++=corpulence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
squatted ^vbd+++xvbn+=squatted
evilly ^jj++++=evilly
on ^in++++=on
a ^at++++=a
rectangular ^jj+atrb+++=rectangular
block ^nn++++=block
or ^cc++++=or
pedestal ^nn+nom+++=pedestal
covered ^vbd+++xvbn+=covered
with ^in++++=with
undecipherable ^jj+atrb+++=undecipherable
characters ^nns+nom+++=characters.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tips ^nns++++=tips
of ^in++++=of
the ^ati++++=the
wings ^nns++++=wings
