Sparrow ^np+++??+=SPARROW
clueless ^jj++++=clueless,
, ^zz++++=EXTRAWORD
standing ^vbg+++xvbg+=standing
there ^rn+pl+++=there
at ^rb++++=at
the ^ati++++=the
altar ^nn++++=altar
of ^in++++=of
the ^ati++++=the
church ^nn++++=church
with ^in++++=with
no ^at++++=no
bell ^nn++++=bell
in ^in++++=in
its ^pp$+it+++=its
tower ^nn++++=tower,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
would ^md+prd+++=would
think ^vb+vprv+++=think:
: ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+aux++=is
not ^xnot++not++=not
going ^vbg+++xvbg+=going
to ^in++++=to
end ^nn++++=end
well ^rb++++=well."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
it ^pp3+it+++=it
may ^md+pos+++=may
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
still ^rb++++=still
may ^md+pos+++=may
not ^xnot++not++=not
end ^nn++++=end
well ^rb++++=well.
. ^zz++++=EXTRAWORD
Life ^nn++++=Life
being ^vwbg+beg++xvbg+=being,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
long ^rb++++=long.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
ended ^vbd+++xvbn+=ended
badly ^rb++++=badly
yet ^rb++++=yet.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
ended ^vbd+++xvbn+=ended
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
in ^cs+sub+++=in
that ^cs"++++=that
store ^nn++++=store,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
will ^md+prd+++=will
often ^rb++splt++=often
hear ^vb+vprv+++=hear
him ^pp3o+pp3+++=him
singing ^nvbg+++xvbg+=singing
her ^pp3o+pp3+++=her
praises ^nns++++=praises,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
she ^pp3a+pp3+++=she
is ^vbz+bez+vrb++=is
nearby ^jjb+pred+++=nearby
or ^cc++++=or
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
same ^ap++++=same
with ^in++++=with
her ^pp$+pp3+++=her:
: ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
is ^vbz+bez+aux++=is
always ^rb++splt++=always
singing ^vbg+++xvbgx+=singing
his ^pp$+pp3+++=his
praises ^nns++++=praises,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
nearby ^jjb+pred+++=nearby
or ^cc++++=or
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
Seeing ^vbg+vprv++xvbg+=Seeing
her ^pp$+pp3+++=her
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
does ^vbz+doz+aux++=does
not ^xnot++not++=not
think ^vb+vprv+++=think
" ^zz++++="looks
looks ^nns++++=EXTRAWORD
like ^in++++=like
bird ^nn++++=bird"
" ^zz++++=EXTRAWORD
but ^cc++++=but
" ^zz++++="small,
small ^jj+atrb+++=EXTRAWORD
, ^zz++++=EXTRAWORD
glowing ^jj+++xvbg+=glowing
lady ^npt++++=lady."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
moves ^vbz++++=moves
around ^rp++++=around
the ^ati++++=the
store ^nn++++=store
with ^in++++=with
a ^at++++=a
theatrical ^jj+atrb+++=theatrical
beneficence ^nn+nom+++=beneficence,
, ^zz++++=EXTRAWORD
seeming ^vbg+seem++xvbg+=seeming
to ^to+vcmp+++=to
take ^vbi++++=take
a ^at++++=a
fastidious ^jj+atrb+++=fastidious
pleasure ^nn++++=pleasure
in ^in++++=in
helping ^xvbg+++xvbg+=helping
customers ^nns+nom+++=customers
with ^in++++=with
even ^rb++++=even
the ^ati++++=the
smallest ^jjt+atrb+++=smallest
things ^nns++++=things,
, ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
even ^rb++++=even
helping ^vbg+++xvbg+=helping
a ^at++++=a
customer ^nn+nom+++=customer
too ^ql++++=too
much ^ap++++=much,
, ^zz++++=EXTRAWORD
for ^in++++=for
too ^ql++++=too
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
at ^rb++++=at
all ^abn++++=all
ashamed ^jj++++=ashamed
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seems ^vbz+seem+++=seems,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
seen ^vpsv++agls+xvbnx+=seen
working ^jj+++xvbg+=working
in ^in++++=in
his ^pp$+pp3+++=his
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
store ^nn++++=store,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
so ^ql++++=so
often ^rb++++=often
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi++vrb++=be
formerly ^rb+tm+++=formerly.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
over ^in++++=over
time ^nn++++=time,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mother ^nn++++=mother
has ^vbz+hvz+aux++=has
become ^vprf+++xvbn+=become,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
might ^md+pos+++=might
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
subservient ^jj++++=subservient
to ^in+strn+++=to,
, ^zz++++=EXTRAWORD
even ^rb++++=even
adoring ^jj++++=adoring
of ^in+strn+++=of,
, ^zz++++=EXTRAWORD
the ^ati++++=the
couple ^nn++++=couple
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
become ^vprf+++xvbn+=become,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
nearby ^jjb+pred+++=nearby
or ^cc++++=or
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
especially ^rb++++=especially
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
sing ^vb++++=sing
their ^pp$+pp3+++=their
praises ^nns++++=praises,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
devoted ^vpsv++agls+xvbnx+=devoted,
, ^zz++++=EXTRAWORD
absolutely ^rb+amp+++=absolutely
devoted ^jj+++xvbn+=devoted
to ^in++++=to
each ^dt++++=each
other ^ap++++=other,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
way ^nn++++=way
she ^pp3a+pp3+++=she
will ^md+prd+++=will
most ^ql+emph+++=most
often ^rb++++=often
put ^vb++++=put
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
