Violent ^jj+atrb+++=VIOLENT
here ^rn+pl+++=here
with ^in++++=with
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Like ^in++++=Like
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
something ^pn++++=something
really ^rb+emph+++=really
bugging ^jj+++xvbg+=bugging
you ^pp2+pp2+++=you;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
this ^dt+dem+++=this
stuff ^nn++++=stuff
about ^in++++=about
having ^xvbg+++xvbg+=having
the ^ati++++=the
hots ^nn++++=hots
for ^in++++=for
a ^at++++=a
corpse ^nn++++=corpse
is ^vbz+bez+vrb++=is
just ^rb+emph+++=just
your ^pp$+pp2+++=your
way ^nn++++=way
of ^in++++=of
sidestepping ^xvbg+++xvbg+=sidestepping
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
prod ^vb++++=prod.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
learned ^vprf++tht0+xvbnx+=learned
the ^ati++++=the
reluctant ^jj+atrb+++=reluctant
revelations ^nns+nom+++=revelations
were ^vbd+bed+vrb++=were
often ^rb++++=often
the ^ati++++=the
most ^ql+emph+++=most
significant ^jj++++=significant,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
no ^at++++=no
patient ^nn++++=patient
was ^vbd+bedz+aux++=was
obliged ^jj++agls+xvbnx+=obliged
to ^to+jcmp+++=to
make ^vbi++++=make
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
we ^pp1a+pp1+++=we
got ^vbd+++xvbn+=got
back ^rb+phrv+++=back
to ^in++++=to
headquarters ^nns+nom+++=headquarters,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
this ^dt+dem+++=this
envelope ^nn++++=envelope
on ^in++++=on
my ^pp$+pp1+++=my
father ^nn++++=father's
's ^$++++=EXTRAWORD
desk ^nn++++=desk.
. ^zz++++=EXTRAWORD
. ^zz++++=.
. ^zz++++=.
. ^zz++++=."
" ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
now ^rn+tm+++=now,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Larsen ^np++++=Larsen,
, ^zz++++=EXTRAWORD
" ^zz++++="he's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
back ^jjb++++=back;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you're
're ^vb+ber+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
deliver ^vb++++=deliver
him ^pp3o+pp3+++=him
to ^in++++=to
daddy ^npt++++=daddy
as ^in++++=as
a ^at++++=a
Father ^np++++=Father's
's ^$++++=EXTRAWORD
Day ^nn++++=Day
present ^jj++++=present--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
glanced ^vbd+++xvbnx+=glanced
at ^in++++=at
his ^pp$+pp3+++=his
1984 ^cd+date+++=1984
calendar ^nn++++=calendar--"two
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
months ^nns++++=months
late ^jj++++=late."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
exactly ^rb++++=exactly."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then,
then ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
exactly ^rb++++=exactly?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Jimmy ^nn++++=Jimmy
laid ^vbd+++xvbn+=laid
a ^at++++=a
folded ^jj+atrb++xvbn+=folded
piece ^nn++++=piece
of ^in++++=of
paper ^nn++++=paper
on ^in++++=on
the ^ati++++=the
desk ^nn++++=desk.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
note ^nn++++=note."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Larsen ^np++++=Larsen's
's ^$++++=EXTRAWORD
face ^vb++++=face
soured ^vbd+++xvbn+=soured.
. ^zz++++=EXTRAWORD
" ^zz++++="Anyone
anyone ^pn++++=EXTRAWORD
ever ^rb++++=ever
tell ^vb++++=tell
you ^pp2+pp2+++=you
you ^pp2+pp2+++=you
watch ^vb++++=watch
too ^ql++++=too
much ^ap++++=much
television ^nn++++=television?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
read ^vbd+vprv++xvbnx+=read
the ^ati++++=the
note ^nn++++=note,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
expression ^nn++++=expression
grim ^jj++++=grim,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
became ^vbd+++xvbn+=became
haughty ^jj++++=haughty.
. ^zz++++=EXTRAWORD
" ^zz++++="Ziss
ziss ^nns+++??+=EXTRAWORD
fellow ^jjb++++=fellow
iss ^vbz+bez+aux++=iss
obviously ^rb+amp+splt++=obviously
overzexed ^vpsv++agls+xvbnx+=overzexed;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
zen ^rn++++=zen,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=aren't
n't ^xnot++not++0=EXTRAWORD
ve ^nn+++??+=ve
all ^abn++++=all?
? ^zz++++=EXTRAWORD
Ven ^np+++??+=Ven
he ^pp3a+pp3+++=he
vas ^nns+++??+=vas
a ^at++++=a
kinder ^jjr++++=kinder,
, ^zz++++=EXTRAWORD
hiss ^vb++++=hiss
mama ^npt++++=mama
locked ^vbd+++xvbn+=locked
him ^pp3o+pp3+++=him
in ^in++++=in
ze ^ati++++=ze
closet ^nn++++=closet
ven ^vbd+++xvbn+=ven
she ^pp3a+pp3+++=she
caught ^vbd+++xvbnx+=caught
him ^pp3o+pp3+++=him
veering ^vbg+++xvbg+=veering
her ^pp$+pp3+++=her
undervear ^nn+++??+=undervear--hoo-ha!--undt
-- ^--+clp+++=EXTRAWORD
hoo-ha! ^nn+++??+=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
undt ^jj+++??+=EXTRAWORD
ven ^jj+++xvbn+=ven
he ^pp3a+pp3+++=he
vas ^nns+++??+=vas
in ^in++++=in
dere ^nns++++=dere,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
seen ^vbd+vprv++xvbnx+=seen
papa ^npt++++=papa
t ^zz++++=t'rough
'rough ^nn+++??+=EXTRAWORD
da ^np++++=da
keyhole ^nn++++=keyhole
makin ^nn+++??+=makin'
' ^zz++++=EXTRAWORD
nice ^jj++++=nice-nice
- ^zz++++=EXTRAWORD
nice ^jj++++=EXTRAWORD
mit ^&fw++++=mit
a ^at++++=a
floozie ^nn+++??+=floozie."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jimmy ^np++++=Jimmy's
's ^$++++=EXTRAWORD
expression ^nn++++=expression
was ^vbd+bedz+vrb++=was
granite ^nn++++=granite.
. ^zz++++=EXTRAWORD
" ^zz++++="Seriously,
seriously ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
already ^rb++++=already
know ^vb+vprv+++=know
as ^ql++++=as
much ^ap++++=much
as ^ql++++=as
I ^pp1a+pp1+++=I
could ^md+pos+++=could
tell ^vb++++=tell
you ^pp2+pp2+++=you
about ^in++++=about
this ^dt+dem+++=this
guy ^np++++=guy--maybe,
-- ^--+clp+++=EXTRAWORD
maybe ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
even ^rb++++=even
more--i ^nn+++??+=more--I'd
'd ^md+prd+aux++0=EXTRAWORD
be ^vb+be+aux++=be
worried ^vpsv++agls+xvbnx+=worried
about ^in++++=about
your ^pp$+pp2+++=your
future ^jjb++++=future
as ^in++++=as
a ^at++++=a
cop ^nn++++=cop."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Think
think ^vb+vprv+tht0++=EXTRAWORD
he ^pp3a+pp3+++=he
wants ^vbz++++=wants
to ^to+vcmp+++=to
get ^vbi++++=get
caught ^vbd+++xvbn+=caught?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Hell,
hell ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no.
. ^zz++++=EXTRAWORD
Anymore ^np+++??+=Anymore
than ^in++++=than
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
break ^vbi++++=break
your ^pp$+pp2+++=your
neck ^nn++++=neck
when ^wrb+who+++=when
you ^pp2+pp2+++=you
go ^vb++++=go
on ^in++++=on
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
super ^jj+atrb+++=super
coasters ^nns+nom+++=coasters
at ^in++++=at
Cedar ^nn++++=Cedar
Point ^nn++++=Point.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mean ^jj++++=mean,
, ^zz++++=EXTRAWORD
besides ^rb++++=besides
hating ^jj+atrb++xvbg+=hating
women ^nns++++=women--which,
-- ^--+clp+++=EXTRAWORD
which ^whp+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hope ^vb++++=hope
to ^to+vcmp+++=to
God ^vb++++=God,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
already ^rb++splt++=already
figured ^vprf+++xvbnx+=figured
out ^rp+pl+++=out--he
-- ^--+clp+++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
likes ^nns++++=likes
excitement ^nn+nom+++=excitement."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc+cls+++=EXTRAWORD
why ^wrb+who+++=why
did ^vbd+dod+vrb++=did
he ^pp3a+pp3+++=he
stop ^vb++++=stop
for ^in++++=for
seven ^cd++++=seven
years ^nns++++=years,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
go ^vb++++=go
back ^jjb++++=back
to ^in++++=to
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="One
one ^cd1++++=EXTRAWORD
sure ^jj+atrb+++=sure
way ^nn++++=way
to ^to++++=to
find ^vbi+vprv+++=find
out ^rp+pl+++=out."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What?"
what ^wdt+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Have
have ^vb+hv+aux++=EXTRAWORD
him ^pp3o+pp3+++=him
make ^vb++++=make
an ^at++++=an
appointment ^nn+nom+++=appointment
with ^in++++=with
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Judy ^np++++=Judy
Franklin ^np++++=Franklin
was ^vbd+bedz+vrb++=was
Lucy ^np++++=Lucy
Welch ^np++++=Welch's
's ^$++++=EXTRAWORD
sister ^nn++++=sister.
. ^zz++++=EXTRAWORD
Lieutenant ^npt+nom+++=Lieutenant
Peyton ^np+++??+=Peyton
could ^md+pos+++=could
see ^vb+vprv+tht0++=see
a ^at++++=a
resemblance ^nn+nom+++=resemblance
muddied ^vwbn+++xvbn+=muddied
by ^in++++=by
drink ^nn++++=drink
and ^cc++++=and
fat ^nn++++=fat.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
brown ^jj++++=brown,
, ^zz++++=EXTRAWORD
boy ^nn++++=boy-length
- ^zz++++=EXTRAWORD
length ^nn++++=EXTRAWORD
hair ^nn++++=hair
was ^vbd+bedz+vrb++=was
flecked ^jj+pred+++=flecked
with ^in++++=with
gray ^np++++=gray.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
face ^nn++++=face
was ^vbd+bedz+vrb++=was
cosmetically ^rb++++=cosmetically
embalmed ^jj+pred+++=embalmed.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
a ^at++++=a
Georgia ^np+++??+=Georgia
accent ^nn++++=accent.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
wimp ^nn+++??+=wimp
she ^pp3a+pp3+++=she
married ^vbd+++xvbnx+=married
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
kill ^vb++++=kill
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
boyfriend ^nn+++??+=boyfriend
did ^vbd+dod+vrb++=did."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
them ^pp3o+pp3+++=them
under ^in++++=under
observation ^nn+nom+++=observation,
, ^zz++++=EXTRAWORD
ma ^npt++++=ma'am."
'am." ^nn+++??+=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
should ^md+nec+++=should
have ^vb+hv+vrb++=have
their ^pp$+pp3+++=their
rear ^jjb+atrb+++=rear
ends ^nns++++=ends
in ^in++++=in
jail ^nn++++=jail."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why?"
why ^wrb+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
body ^nn++++=body
tightened ^vbd+++xvbn+=tightened
with ^in++++=with
rage ^nn++++=rage.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
mean ^jj++++=mean,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
makes ^vbz++++=makes
you ^pp2+pp2+++=you
suspect ^jj++++=suspect
them ^pp3o+pp3+++=them?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
his ^pp$+pp3+++=his
notebook ^nn++++=notebook
from ^in++++=from
a ^at++++=a
drawer ^nn++++=drawer,
, ^zz++++=EXTRAWORD
placed ^xvbn+++xvbn+=placed
it ^pp3+it+++=it
open ^jj++++=open
on ^in++++=on
the ^ati++++=the
desk ^nn++++=desk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
poised ^vbd+++xvbn+=poised
a ^at++++=a
pen ^nn++++=pen
over ^in++++=over
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
relaxed ^vbd+++xvbnx+=relaxed
a ^rb++++=a
little ^rb"++++=little.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
only ^ap+down+++=only
met ^vprf+++xvbn+=met
Welch ^np++++=Welch
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
back ^jjb++++=back
in ^in++++=in
1977 ^cd+date+++=1977,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
Lucy ^np++++=Lucy
brought ^vbd+++xvbn+=brought
him ^pp3o+pp3+++=him
home ^nr++++=home
for ^in++++=for
a ^at++++=a
Fourth ^od++++=Fourth
of ^in++++=of
July ^nr++++=July
picnic ^nn++++=picnic.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=weren't
n't ^xnot++not++0=EXTRAWORD
married ^vbd+++xvbn+=married
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
think ^vb+vprv+tht0++=think
she ^pp3a+pp3+++=she
just ^rb+emph+++=just
met ^vbd+++xvbn+=met
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Did ^vbd+dod+vrb++=Didn't
n't ^xnot++not++0=EXTRAWORD
like ^in++++=like
him ^pp3o+pp3+++=him
then ^rn+tm+++=then.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
time ^nn++++=time
I ^pp1a+pp1+++=I
turned ^vbd+++xvbnx+=turned
around ^rp++++=around,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
hangin ^nn+++??+=hangin'
' ^zz++++=EXTRAWORD
around ^in++++=around
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
or ^cc+cls+++=or
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
far ^rb+pl+++=far
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
watchin ^nn+++??+=watchin'
' ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
the ^ati++++=the
way ^nn++++=way
he ^pp3a+pp3+++=he
watched ^vbd+++xvbnx+=watched
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
been ^vb+vbd+vrb+xvbnx+=been
in ^in++++=in
enough ^qlp++++=enough
bars ^nns++++=bars
to ^to++++=to
know ^vbi+vprv+++=know
when ^wrb+who+whcl++=when
a ^at++++=a
man ^nn++++=man
watches ^nns++++=watches
you ^pp2+pp2+++=you
that ^dt+dem+++=that
way ^nn++++=way,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
no ^at++++=no
part ^nn++++=part
of ^in++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Couldn't
could ^md+pos+++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
understand ^vb+vprv+++=understand
what ^wdt+who+whcl++=what
she ^pp3a+pp3+++=she
seen ^vbd+vprv++xvbnx+=seen
in ^in++++=in
him ^pp3o+pp3+++=him
till ^cs+sub+++=till
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
out ^rp+pl+++=out
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
money ^nn++++=money."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Some ^dti++++=Some
of ^in++++=of
his ^pp$+pp3+++=his
feeling ^nvbg+++xvbg+=feeling
about ^in++++=about
that ^dt+pdem+++=that
must ^md+nec+++=must
have ^vb+hv+aux++=have
shown ^vprf+++xvbnx+=shown
in ^in++++=in
his ^pp$+pp3+++=his
face ^nn++++=face.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
have ^md"++pmd"++=have
to ^md+nec+++=to
live ^vb++++=live
on ^in++++=on
what ^wdt+who+++=what
was ^vbd+bedz+aux++=was
left ^vpsv++agls+xvbnx+=left
of ^in++++=of
your ^pp$+pp2+++=your
daddy ^npt++++=daddy's
's ^$++++=EXTRAWORD
paycheck ^nn+++??+=paycheck
from ^in++++=from
his ^pp$+pp3+++=his
ladies ^nns++++=ladies
and ^cc++++=and
his ^pp$+pp3+++=his
drinking ^nvbg+++xvbg+=drinking."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
you ^pp2+pp2+++=you
met ^vbd+++xvbn+=met
him ^pp3o+pp3+++=him
only ^rb+down+++=only
once ^cs+tm+++=once;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you're
're ^vb+ber+aux++0=EXTRAWORD
basing ^vbg+++xvbgx+=basing
a ^at++++=a
murder ^nn++++=murder
accusation ^nn+nom+++=accusation
on ^in++++=on
that ^dt+pdem+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
letters ^nns+nom+++=letters
she ^pp3a+pp3+++=she
sent ^vbd+++xvbnx+=sent
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
just ^rb+emph+++=just
like ^in++++=like
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was--jealous
-- ^--+clp+++=EXTRAWORD
jealous ^jj++++=EXTRAWORD
and ^cc++++=and
clingy ^nn+++??+=clingy
and ^cc++++=and
all ^abn++++=all-around
- ^zz++++=EXTRAWORD
around ^rp++++=EXTRAWORD
weird ^jj++++=weird."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
any ^dti++++=any
of ^in++++=of
these ^dt+dem+++=these
letters ^nns+nom+++=letters?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
now ^rn+tm+++=now
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=don't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
threw ^vbd+++xvbnx+=threw
them ^pp3o+pp3+++0='em
out ^rp+pl+++=out
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time
ago ^rb++++=ago."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Are ^vb+ber+vrb++=Aren't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
the ^ati++++=the
sentimental ^jj+atrb+++=sentimental
bitch ^nn++++=bitch?
? ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
all ^abn++++=all
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
against ^in++++=against
Welch ^np++++=Welch
is ^vbz+bez+vrb++=is
hearsay ^nn++++=hearsay?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What
about ^in++++=about
Dimke ^np+++??+=Dimke?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
tensed ^vbd+++xvbnx+=tensed
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
suppose ^vb+vprv+tht0++=suppose
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
say ^vb+vpub+tht0++=say
that ^tht+vcmp+++=that
was ^vbd+bedz+vrb++=was
hearsay ^nn++++=hearsay
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
specially ^rb++++=specially
since ^cs+sub+++=since
she ^pp3a+pp3+++=she
never ^rb++++=never
said ^vbd+vpub++xvbn+=said
nothin ^nn+++??+=nothin'
' ^zz++++=EXTRAWORD
right ^jj++++=right
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
a ^at++++=a
sister ^nn++++=sister
knows ^vbz+vprv+++=knows.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
just ^rb+emph+++=just
go ^vb++++=go
out ^rp+pl+++=out
there ^rn+pl+++=there--he
-- ^--+clp+++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
lives ^nns++++=lives
out ^rp+pl+++=out
in ^in++++=in
Flat ^jj+atrb+++=Flat
Rock ^nn++++=Rock--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
take ^vb++++=take
a ^at++++=a
look ^vb++++=look
at ^rb++++=at
that ^dt+dem+++=that
wife ^nn++++=wife
of ^in++++=of
his ^pp$+pp3+++=his.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
coulda ^vb+++??+=coulda
done ^vbd+++xvbn+=done
that ^dt+dem+++=that
to ^in++++=to
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
coulda ^vb+++??+=coulda
done ^vbd+++xvbn+=done
this ^dt+dem+++=this
to ^in++++=to
Lucy ^np++++=Lucy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Good
good ^jj+atrb+++=EXTRAWORD
point ^nn++++=point."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
thought ^vbd+++xvbnx+=thought
it ^pp3+it+++=it
best ^jjt++++=best
not ^xnot++not++=not
to ^to++++=to
mention ^nn+nom+++=mention
having ^vbg+hvg++xvbg+=having
already ^rb++++=already
done ^vwbn+++xvbn+=done
so ^pn++++=so
and ^cc++++=and
coming ^nvbg+++xvbg+=coming
to ^in++++=to
the ^ati++++=the
same ^ap++++=same
conclusion ^nn++++=conclusion,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
seeking ^vbg+++xvbg+=seeking
someone ^pn++++=someone
much ^ap++++=much
deadlier ^jjr++++=deadlier
than ^in++++=than
Welch ^np++++=Welch
or ^cc++++=or
Dimke ^np+++??+=Dimke.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
now ^rn+tm+splt++=now
drawing ^vbg+++xvbgx+=drawing
an ^at++++=an
unflattering ^jj+atrb+++=unflattering
caricature ^nn++++=caricature
of ^in++++=of
the ^ati++++=the
mayor ^nn++++=mayor
of ^in++++=of
Detroit ^np+++??+=Detroit.
. ^zz++++=EXTRAWORD
Lieutenant ^npt+nom+++=Lieutenant
Peyton ^np+++??+=Peyton
was ^vbd+bedz+vrb++=was
obviously ^rb+amp+++=obviously
uneasy ^jj+pred+++=uneasy
the ^ati++++=the
next ^ap++++=next
few ^ap++++=few
days ^nns++++=days.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
finally ^rb++++=finally
told ^vbd+vpub++xvbn+=told
Jimmy ^nn++++=Jimmy
why ^wrb+who+++=why
over ^in++++=over
lunch ^nn++++=lunch.
. ^zz++++=EXTRAWORD
" ^zz++++="Remember
remember ^nn+nom+++=EXTRAWORD
the ^ati++++=the
last ^jj+atrb+++=last
time ^nn++++=time
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
after ^in++++=after
this ^dt+dem+++=this
guy ^np++++=guy;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
in ^in++++=in
one ^cd1++++=one
night ^nn++++=night,
, ^zz++++=EXTRAWORD
real ^rb+emph+++=real
nervous ^jj++++=nervous,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
glanced ^vpsv++agls+xvbn+=glanced
over ^in++++=over
my ^pp$+pp1+++=my
shoulder ^nn+nom+++=shoulder
like ^in++++=like
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
someone ^pn++++=someone
was ^vbd+bedz+aux++=was
