Horrible ^jj++++=Horrible
beyond ^in++++=beyond
the ^ati++++=the
bounds ^nns++++=bounds
of ^in++++=of
infinity ^nn+nom+++=infinity
and ^cc++++=and
drawn ^vbd+++xvbn+=drawn
down ^rp++++=down
demons ^nns++++=demons
from ^in++++=from
the ^ati++++=the
stars. ^nn+++??+=stars...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
harnessed ^jj++++=harnessed
the ^ati++++=the
shadows ^nps++++=shadows
that ^tht+rel+obj++=that
stride ^nn++++=stride
from ^in++++=from
world ^nn++++=world
to ^in++++=to
world ^nn++++=world
to ^to++++=to
sow ^vbi++++=sow
death ^nn++++=death
and ^cc++++=and
madness. ^nn+++??+=madness...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Space ^nn++++=Space
belongs ^vbz++++=belongs
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
hear ^vb+vprv+++=hear?
? ^zz++++=EXTRAWORD
Things ^nns++++=Things
are ^vb+ber+aux++=are
hunting ^vbg+++xvbgx+=hunting
me ^pp1o+pp1+++=me
now ^rn+tm+++=now
the ^ati++++=the
things ^nns++++=things
that ^tht+rel+subj++=that
devour ^vb++++=devour
and ^cc+phrs+++=and
dissolve ^vb++++=dissolve
but ^cc++++=but
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
to ^to++++=to
elude ^vbi++++=elude
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
you ^pp2+pp2+++=you
they ^pp3a+pp3+++=they
will ^md+prd+++=will
get ^vb++++=get,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
got ^vbd+++xvbnx+=got
the ^ati++++=the
servants. ^nn+++??+=servants...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Stirring ^nvbg+++xvbg+=Stirring,
, ^zz++++=EXTRAWORD
dear ^jj+atrb+++=dear
sir ^npt++++=sir?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub+tht0+xvbnx+=told
you ^pp2+pp2+++=you
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
dangerous ^jj+pred+++=dangerous
to ^to++++=to
move ^vbi++++=move,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
saved ^vprf+++xvbnx+=saved
you ^pp2+pp2+++=you
so ^ql++++=so
far ^rb+pl+++=far
by ^in++++=by
telling ^xvbg+++xvbg+=telling
you ^pp2+pp2+++=you
to ^to++++=to
keep ^vbi++++=keep
still ^jj+pred+++=still
saved ^vwbn+++xvbn+=saved
you ^pp2+pp2+++=you
to ^to++++=to
see ^vbi+vprv+++=see
more ^ql++++=more
sights ^nns++++=sights
and ^cc++++=and
to ^to++++=to
listen ^vbi++++=listen
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
had ^vbd+hvd+aux++=had
moved ^vprf+++xvbnx+=moved,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
at ^rb++++=at
you ^pp2+pp2+++=you
long ^rb++++=long
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
worry ^vb+vprv+++=worry,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
hurt ^xvbn+++xvbn+=hurt
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
hurt ^vb+++xvbn+=hurt
the ^ati++++=the
servants ^nns+nom+++=servants
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
seeing ^vb+++xvbg+=seeing
that ^tht+vcmp+++=that
made ^vprf+++xvbn+=made
the ^ati++++=the
poor ^jj+atrb+++=poor
devils ^nns++++=devils
scream ^vb++++=scream
so ^rb++++=so.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
pets ^nns++++=pets
are ^vb+ber+vrb++=are
not ^xnot++not++=not
pretty ^rb+cnj+++=pretty,
, ^zz++++=EXTRAWORD
for ^in++++=for
they ^pp3a+pp3+++=they
come ^vb++++=come
out ^rb+phrv+++=out
of ^in+ppvb+++=of
places ^nns++++=places
where ^wrb+who+++=where
aesthetic ^jj+atrb+++=aesthetic
standards ^nns++++=standards
are ^vb+ber+vrb++=are
very ^ql+amp+++=very
different ^jj++++=different.
. ^zz++++=EXTRAWORD
Disintegration ^nn+nom+++=Disintegration
is ^vbz+bez+vrb++=is
quite ^rb++++=quite
painless ^jj+pred+++=painless,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
assure ^vb++++=assure
you ^pp2+pp2+++=you
- ^zz++++=-but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
you ^pp2+pp2+++=you
to ^to++++=to
see ^vbi+vprv+++=see
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
almost ^rb+hdg+++=almost
saw ^vbd+vprv++xvbn+=saw
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
how ^wrb+who+whcl++=how
to ^to++++=to
stop ^vbi++++=stop.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
are ^vb+ber+vrb++=are
curious ^jj+pred+++=curious?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
always ^rb++++=always
knew ^vbd+vprv+tht0+xvbn+=knew
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were
no ^at++++=no
scientist ^nn+nom+++=scientist.
. ^zz++++=EXTRAWORD
Trembling ^jj+++xvbg+=Trembling,
, ^zz++++=EXTRAWORD
eh ^uh++++=eh.
. ^zz++++=EXTRAWORD
Trembling ^jj+++xvbg+=Trembling
with ^in++++=with
anxiety ^nn++++=anxiety
to ^to++++=to
see ^vbi+vprv+++=see
the ^ati++++=the
ultimate ^jj+atrb+++=ultimate
things ^nns++++=things
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
discovered ^vprf+++xvbnx+=discovered.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
move ^vb++++=move,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then?
? ^zz++++=EXTRAWORD
Tired ^j+++xvbn+=Tired?
? ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
worry ^vb+vprv+++=worry,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
for ^in++++=for
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
coming. ^nn+++??+=coming...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Look ^vb++++=Look,
, ^zz++++=EXTRAWORD
look ^vb++++=look,
, ^zz++++=EXTRAWORD
curse ^vb++++=curse
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
look. ^nn+++??+=look...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
just ^rb+emph+++=just
over ^in++++=over
your ^pp$+pp2+++=your
left ^jj+atrb++xvbn+=left
shoulder.. ^nn+++??+=shoulder..."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
What ^wdt+who+++=What
remains ^vbz++++=remains
to ^to++++=to
be ^vbi+vbi+aux++=be
told ^vpsv++agls+xvbnx+=told
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
brief ^jj++++=brief,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
may ^md+pos+++=may
be ^vb+be+vrb++=be
familiar ^jj+pred+++=familiar
to ^in++++=to
you ^pp2+pp2+++=you
from ^in++++=from
the ^ati++++=the
newspaper ^nn+nom+++=newspaper
accounts ^nns++++=accounts.
. ^zz++++=EXTRAWORD
The ^ati++++=The
police ^nns++++=police
heard ^vbd+vprv++xvbn+=heard
a ^at++++=a
shot ^nn+++xvbn+=shot
in ^in++++=in
the ^ati++++=the
old ^jj+atrb+++=old
Tillinghast ^np+++??+=Tillinghast
house ^nn++++=house
and ^cc++++=and
found ^vbd+vprv++xvbn+=found
us ^pp1o+pp1+++=us
there ^rn+pl+++=there
Tillinghast ^np+++??+=Tillinghast
dead ^jj++++=dead
and ^cc++++=and
me ^pp1o+pp1+++=me
unconscious ^jj++++=unconscious.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
arrested ^vbd+++xvbnx+=arrested
me ^pp1o+pp1+++=me
because ^cs+cos+++=because
the ^ati++++=the
revolver ^nn+nom+++=revolver
was ^vbd+bedz+vrb++=was
in ^in++++=in
my ^pp$+pp1+++=my
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
released ^vbd+++xvbn+=released
me ^pp1o+pp1+++=me
in ^in++++=in
three ^cd++++=three
hours ^nns++++=hours,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
they ^pp3a+pp3+++=they
found ^vbd+vprv+tht0+xvbnx+=found
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
apoplexy ^nn+++??+=apoplexy
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
finished ^vprf+++xvbnx+=finished
Tillinghast ^np+++??+=Tillinghast
and ^cc++++=and
saw ^vbd+vprv++xvbn+=saw
that ^tht+vcmp+++=that
my ^pp$+pp1+++=my
shot ^nn+++xvbn+=shot
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
directed ^vpsv++agls+xvbnx+=directed
at ^rb++++=at
the ^ati++++=the
noxious ^jj+atrb+++=noxious
machine ^nn++++=machine
which ^whp+rel+obj++=which
now ^rn+tm+++=now
lay ^jjb+++xvbn+=lay
hopelessly ^rb++++=hopelessly
shattered ^vbd+++xvbn+=shattered
on ^in++++=on
the ^ati++++=the
laboratory ^nn++++=laboratory
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
tell ^vb++++=tell
very ^ql+amp+++=very
much ^ap++++=much
of ^in++++=of
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
feared ^vbd+vprv+tht0+xvbnx+=feared
the ^ati++++=the
coroner ^nn++++=coroner
would ^md+prd+++=would
be ^vb+be+vrb++=be
skeptical ^jj+pred+++=skeptical;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
from ^in++++=from
the ^ati++++=the
evasive ^jj+atrb+++=evasive
outline ^nn++++=outline
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
give ^vb++++=give,
, ^zz++++=EXTRAWORD
the ^ati++++=the
doctor ^nn++++=doctor
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
undoubtedly ^rb++splt++=undoubtedly
been ^vprf+ben+aux+xvbnx+=been
hypnotized ^vpsv++by+xvbnx+=hypnotized
by ^in++++=by
the ^ati++++=the
vindictive ^nn++++=vindictive
and ^cc++++=and
homicidal ^jj+atrb+++=homicidal
madman ^nn++++=madman.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wish ^vb+vprv+tht0++=wish
I ^pp1a+pp1+++=I
could ^md+pos+++=could
believe ^vb+vprv+++=believe
that ^tht+vcmp+++=that
doctor ^nn++++=doctor.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
would ^md+prd+++=would
help ^vb++++=help
my ^pp$+pp1+++=my
shaky ^jj+atrb+++=shaky
nerves ^nns++++=nerves
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
could ^md+pos+++=could
dismiss ^vb++++=dismiss
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
now ^rn+tm+++=now
have ^md"++pmd"++=have
to ^md+nec+++=to
think ^vb+vprv+++=think
of ^in++++=of
the ^ati++++=the
air ^nn++++=air
and ^cc++++=and
the ^ati++++=the
sky ^nn++++=sky
about ^in++++=about
and ^cc++++=and
above ^rb++++=above
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
feel ^vb+vprv+++=feel
alone ^jj++++=alone
or ^cc+phrs+++=or
comfortable ^jj++++=comfortable,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
hideous ^jj+atrb+++=hideous
sense ^nn++++=sense
of ^in++++=of
pursuit ^nn++++=pursuit
sometimes ^rb++++=sometimes
comes ^vbz++++=comes
chillingly ^jj++++=chillingly
on ^rp++++=on
me ^pp1o+pp1+++=me
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
weary ^jj+pred+++=weary.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
prevents ^vbz++++=prevents
me ^pp1o+pp1+++=me
from ^in++++=from
believing ^xvbg+++xvbg+=believing
the ^ati++++=the
doctor ^nn++++=doctor
is ^vbz+bez+vrb++=is
one ^cd1++++=one
simple ^jj+atrb+++=simple
fact ^nn++++=fact
that ^tht+ncmp+++=that
the ^ati++++=the
police ^nns++++=police
never ^rb++++=never
found ^vbd+vprv++xvbn+=found
the ^ati++++=the
bodies ^nns++++=bodies
of ^in++++=of
those ^dt+dem+++=those
servants ^nns+nom+++=servants
whom ^whp+rel+obj++=whom
they ^pp3a+pp3+++=they
say ^vb+vpub+++=say
crawford ^np++++=Crawford
tillinghast ^np++++=Tillinghast
murdered ^jj++++=murdered.
. ^zz++++=EXTRAWORD
