Those ^dt+dem+++=Those
I ^pp1a+pp1+++=I
s ^zz++++=s'pose."
'pose." ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
have ^vb+hv+aux++=have
showed ^vprf+++xvbnx+=showed
him ^pp3o+pp3+++=him
a ^at++++=a
live ^jj+atrb+++=live
impulse ^nn++++=impulse
that ^tht+rel+subj++=that
would ^md+prd+++=would
have ^vb+hv+aux++=have
surprised ^vprf+++xvbnx+=surprised
him ^pp3o+pp3+++=him
about ^in++++=about
then ^rn+tm+++=then.
. ^zz++++=EXTRAWORD
In ^in++++=In
those ^dt+dem+++=those
days ^nns++++=days
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
considered ^vpsv++agls+xvbnx+=considered
a ^at++++=a
pretty ^rb++++=pretty
handsome ^jj+atrb+++=handsome
feller ^nn++++=feller
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
Jim ^np++++=Jim
beat ^vbd+++xvbn+=beat
before ^in++++=before
the ^ati++++=the
draw ^nn++++=draw
on ^in++++=on
looks ^nns++++=looks,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
continues ^vbz++++=continues
makin ^nn+++??+=makin'
' ^zz++++=EXTRAWORD
matters ^nns+nom+++=matters
worse ^jjr++++=worse.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
desperate ^jj++++=desperate
too ^rb++++=too.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
the ^ati++++=the
worst ^jjt++++=worst
I ^pp1a+pp1+++=I
ever ^rb++++=ever
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vb+hv+vrb++=had
an ^at++++=an
awful ^jj+atrb+++=awful
fight ^nn++++=fight
with ^in++++=with
him ^pp3o+pp3+++=him
up ^rp++++=up
here ^rn+pl+++=here
on ^in++++=on
the ^ati++++=the
line ^nn++++=line
of ^in++++=of
the ^ati++++=the
Territory ^nn++++=Territory.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
shot ^vbd+++xvbnx+=shot
Martin ^np++++=Martin
and ^cc++++=and
me ^pp1o+pp1+++=me
before ^cs+sub+++=before
we ^pp1a+pp1+++=we
got ^vbd+++xvbn+=got
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Ye ^pp2+pp2+++=Ye
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
take ^vbi++++=take
him ^pp3o+pp3+++=him
alive ^jj++++=alive,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
chances ^nns+nom+++=chances
on ^in++++=on
gettin ^nn+++??+=gettin'
' ^zz++++=EXTRAWORD
hurt ^vbd+++xvbn+=hurt.
. ^zz++++=EXTRAWORD
" ^zz++++="Thank
thank ^vb++++=EXTRAWORD
ye ^pp2+pp2+++=ye,
, ^zz++++=EXTRAWORD
Miss ^npt++++=Miss;
; ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
arm ^nn++++=arm
does ^vbz+doz+vrb++=does
ache ^nn++++=ache
considerable ^jj++++=considerable;
; ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you'd
'd ^md+prd+vrb++0=EXTRAWORD
jest ^rb++++=jest
as ^ql++++=as
soon ^rb+tm+++=soon
dress ^vb++++=dress
it ^pp3+it+++=it--Oh,
-- ^--+clp+++=EXTRAWORD
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
no ^at++++=no
braver ^jjr+atrb+++=braver'n
'n ^nn+++??+=EXTRAWORD
anybody ^pn++++=anybody
else ^rb+cnj+++=else,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
guess ^vb++++=guess.
. ^zz++++=EXTRAWORD
Nice ^jj++++=Nice
of ^in++++=of
ye ^pp2+pp2+++=ye
to ^to++++=to
say ^vbi+vpub+++=say
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
anyhow ^rb+cnj+++=anyhow,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
grinnin ^nn+++??+=grinnin'
' ^zz++++=EXTRAWORD
out ^rp+pl+++=out
into ^in++++=into
the ^ati++++=the
kitchen ^nn++++=kitchen
with ^in++++=with
the ^ati++++=the
girls ^nns++++=girls
to ^to++++=to
fix ^vbi++++=fix
up ^rp++++=up
his ^pp$+pp3+++=his
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
man ^nn++++=man
insisted ^vbd+vpub++xvbn+=insisted
on ^in++++=on
havin ^nn+++??+=havin'
' ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
feet ^nns++++=feet
bound ^vwbn+++xvbn+=bound
together ^nn+nom+++=together
and ^cc++++=and
me ^pp1o+pp1+++=me
fastened ^vbd+++xvbn+=fastened
to ^in++++=to
a ^at++++=a
chair ^nn++++=chair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
yes ^uh++++=yes,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
you ^pp2+pp2+++=you
can ^md+pos+++=can
watch ^vb++++=watch
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
in ^in++++=in
my ^pp$+pp1+++=my
house ^nn++++=house
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
a ^at++++=a
share ^nn++++=share
of ^in++++=of
the ^ati++++=the
responsibility ^nn+nom+++=responsibility
upon ^in++++=upon
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
'd ^md+prd+vrb++=had
experience ^nn+nom+++=experience
with ^in++++=with
desperate ^jj+atrb+++=desperate
characters ^nns+nom+++=characters
and ^cc++++=and
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
sure ^jj+pred+++=sure
that ^tht+jcmp+++=that
this ^dt+dem+++=this
young ^jj+atrb+++=young
reprobate ^nn+nom+++=reprobate
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
escape ^vb++++=escape
his ^pp$+pp3+++=his
just ^rb+emph+++=just
punishment ^nn+nom+++=punishment.
. ^zz++++=EXTRAWORD
Are ^vb+ber+vrb++=Are
you ^pp2+pp2+++=you
sure ^jj++++=sure
you ^pp2+pp2+++=you
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
need ^nn++++=need
more ^rbr++++=more
help ^vb++++=help
gettin ^nn+++??+=gettin'
' ^zz++++=EXTRAWORD
him ^pp3o+pp3+++=him
home ^nr++++=home?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
go ^vb++++=go
with ^in++++=with
you ^pp2+pp2+++=you
if ^cs+cnd+++=if--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Thank
thank ^vb++++=EXTRAWORD
ye ^pp2+pp2+++=ye,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
interrupted ^xvbn+++xvbn+=interrupted
Hollis ^np++++=Hollis.
. ^zz++++=EXTRAWORD
" ^zz++++="We've
we ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
chased ^vprf+++xvbnx+=chased
the ^ati++++=the
scoundrel ^nn++++=scoundrel
four ^cd++++=four
hundred ^cd++++=hundred
miles ^nns++++=miles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
reckon ^vb+vprv+++=reckon,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
we ^pp1a+pp1+++=we've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
can ^md+pos+++=can
keep ^vb++++=keep
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^in++++=At
supper ^nn++++=supper,
, ^zz++++=EXTRAWORD
Jim ^np++++=Jim
with ^in++++=with
his ^pp$+pp3+++=his
arm ^nn++++=arm
in ^in++++=in
a ^at++++=a
new ^jj+atrb+++=new
sling ^nn++++=sling,
, ^zz++++=EXTRAWORD
sat ^j+++xvbn+=sat
between ^in++++=between
the ^ati++++=the
two ^cd++++=two
girls ^nns++++=girls
who ^whp+rel+obj++=who
cooed ^jj+++xvbn+=cooed
over ^rp++++=over
him ^pp3o+pp3+++=him
and ^cc++++=and
took ^vbd+++xvbn+=took
turns ^vbz++++=turns
feedin ^nn+++??+=feedin'
' ^zz++++=EXTRAWORD
him ^pp3o+pp3+++=him
till ^in++++=till
it ^pp3+it+++=it
made ^vbd+++xvbn+=made
me ^pp1o+pp1+++=me
sick ^jj++++=sick.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
man ^nn++++=man
had ^vb+hv+vrb++=had
a ^at++++=a
nigger ^nn++++=nigger
move ^nn++++=move
my ^pp$+pp1+++=my
chair ^nn++++=chair
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
foot ^nn++++=foot
of ^in++++=of
the ^ati++++=the
table ^nn++++=table
and ^cc++++=and
bring ^vb++++=bring
me ^pp1o+pp1+++=me
a ^at++++=a
plate ^nn++++=plate
of ^in++++=of
coarse ^jj+atrb+++=coarse
grub ^nn++++=grub
after ^cs+sub+++=after
they ^pp3a+pp3+++=they
all ^abn++++=all
finished ^jj+atrb++xvbn+=finished
eatin ^nn+++??+=eatin'.
'. ^nn+++??+=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
tied ^vprf+++xvbnx+=tied
my ^pp$+pp1+++=my
ankles ^nns++++=ankles
to ^in++++=to
the ^ati++++=the
lower ^nn++++=lower
rung ^vprf+++xvbn+=rung
of ^in++++=of
the ^ati++++=the
chair ^nn++++=chair
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
says ^vbz+vpub+++=says
to ^to+vcmp+++=to
the ^ati++++=the
nigger ^nn++++=nigger,
, ^zz++++=EXTRAWORD
" ^zz++++="Those
those ^dt+dem+++=EXTRAWORD
cords ^nns++++=cords
have ^vb+hv+vrb++=have
plum ^jj++++=plum
stopped ^jj+++xvbn+=stopped
my ^pp$+pp1+++=my
circulation ^nn+nom+++=circulation,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
ease ^nn++++=ease
them ^pp3o+pp3+++0='em
up ^rp++++=up
a ^rb++++=a
little ^rb"++++=little,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
straight ^rb++++=straight
up ^rp++++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
touch ^nn++++=touch
them ^pp3o+pp3+++=them
knots ^nns++++=knots,
, ^zz++++=EXTRAWORD
Sam ^nn++++=Sam!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
roared ^vbd+++xvbnx+=roared.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
to ^to++++=to
secure ^vbi++++=secure
a ^at++++=a
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
try ^vb++++=try
any ^dti++++=any
of ^in++++=of
your ^pp$+pp2+++=your
games ^nns++++=games
in ^in++++=in
my ^pp$+pp1+++=my
house ^nn++++=house,
, ^zz++++=EXTRAWORD
either ^dtx++++=either,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
young ^jj+atrb+++=young
fiend ^nn++++=fiend.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
never ^rb++splt++=never
forgive ^vb++++=forgive
myself ^ppl+pp1+++=myself
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
escaped ^vbd+++xvbn+=escaped."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ate ^vbd+++xvbnx+=ate
everything ^pn++++=everything
I ^pp1a+pp1+++=I
could ^md+pos+++=could
reach ^vb++++=reach,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
much ^rb+cnj+++=much,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked
for ^in+ppvb+++=for
the ^ati++++=the
butter ^nn++++=butter
he ^pp3a+pp3+++=he
glared ^vbd+++xvbnx+=glared
at ^in++++=at
me ^pp1o+pp1+++=me
and ^cc++++=and
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="Butter's
butter ^nn++++=EXTRAWORD
's ^$++++=EXTRAWORD
too ^ql++++=too
good ^jj++++=good
for ^in++++=for
horse ^nn++++=horse-thieves;
- ^zz++++=EXTRAWORD
thieves ^nns++++=EXTRAWORD
; ^zz++++=EXTRAWORD
eat ^vb++++=eat
what ^wdt+who+++=what's
's ^vbz+bez+vrb++0=EXTRAWORD
before ^in++++=before
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Every ^at++++=Every
time ^nn++++=time
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
catch ^vb++++=catch
the ^ati++++=the
eye ^nn++++=eye
of ^in++++=of
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
girls ^nns++++=girls
and ^cc++++=and
kind ^rb+hdg+++=kind
of ^rb"+hdg"+++=of
grin ^nn++++=grin
and ^cc++++=and
look ^vb++++=look
enticing ^jj++++=enticing,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
shiver ^vb++++=shiver
and ^cc+phrs+++=and
tell ^vb++++=tell
Jim ^np++++=Jim
that ^tht+rel+obj++=that
the ^ati++++=the
marks ^nns++++=marks
of ^in++++=of
my ^pp$+pp1+++=my
depravity ^nn+nom+++=depravity
stood ^vbd+++xvbn+=stood
out ^rp+pl+++=out
on ^in++++=on
my ^pp$+pp1+++=my
face ^nn++++=face
like ^in++++=like
warts ^nns++++=warts
on ^in++++=on
a ^at++++=a
toad ^nn+++??+=toad.
. ^zz++++=EXTRAWORD
Jim ^np++++=Jim
and ^cc++++=and
the ^ati++++=the
boys ^nns++++=boys
would ^md+prd+++=would
all ^rb++++=all
grin ^nn++++=grin
like ^in++++=like
idiots ^nns+++??+=idiots
and ^cc++++=and
invent ^vb++++=invent
a ^at++++=a
new ^jj+atrb+++=new
crime ^nn++++=crime
for ^in++++=for
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
square ^nn++++=square,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++0=I'd
'd ^vbd+hvd+aux++=EXTRAWORD
worked ^vprf+++xvbnx+=worked
nights ^nns++++=nights
from ^in++++=from
the ^ati++++=the
age ^nn++++=age
of ^in++++=of
three ^cd++++=three
I ^pp1a+pp1+++=I
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done
half ^abn++++=half
they ^pp3a+pp3+++=they
blamed ^vbd+++xvbnx+=blamed
me ^pp1o+pp1+++=me
for ^in+strn+++=for.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
put ^vbd+++xvbnx+=put
it ^pp3+it+++=it
to ^in++++=to
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
so ^rb+emph+++=so
strong ^jj++++=strong
that ^dt+pdem+++=that
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
in ^rb+phrv+++=in
he ^pp3a+pp3+++=he
chained ^vbd+++xvbnx+=chained
me ^pp1o+pp1+++=me
to ^in++++=to
Sam ^np++++=Sam,
, ^zz++++=EXTRAWORD
the ^ati++++=the
cross ^jj++++=cross-eyed
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
nigger ^nn++++=nigger
that ^tht+rel+subj++=that
stood ^vprf+++xvbn+=stood
behind ^rp+pl+++=behind
me ^pp1o+pp1+++=me
at ^in++++=at
supper ^nn++++=supper,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vbd+++xvbn+=made
us ^pp1o+pp1+++=us
sleep ^nn++++=sleep
on ^in++++=on
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub++xvbnx+=told
Sam ^nn++++=Sam
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
cut ^vbd+++xvbnx+=cut
a ^at++++=a
man ^nn++++=man's
's ^$++++=EXTRAWORD
throat ^nn++++=throat
once ^rb+tm+++=once
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
snored ^vbd+++xvbnx+=snored,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
nigger ^nn++++=nigger
never ^rb++++=never
closed ^vbd+++xvbn+=closed
an ^at++++=an
eye ^nn++++=eye
all ^rb++++=all
night ^nn++++=night.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
tryin ^nn+++??+=tryin'
' ^zz++++=EXTRAWORD
to ^to++++=to
get ^vbi++++=get
even ^rb++++=even
with ^in++++=with
somebody ^pn++++=somebody.
. ^zz++++=EXTRAWORD
After ^in++++=After
breakfast ^nn++++=breakfast,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
it ^pp3+it+++=it
came ^vbd+++xvbn+=came
time ^nn++++=time
to ^to++++=to
leave ^vbi++++=leave,
, ^zz++++=EXTRAWORD
Donnelly ^np++++=Donnelly
untied ^vbd+++xvbn+=untied
my ^pp$+pp1+++=my
feet ^nns++++=feet
and ^cc++++=and
led ^vbd+++xvbn+=led
me ^pp1o+pp1+++=me
out ^rp+pl+++=out
into ^in++++=into
the ^ati++++=the
yard ^nn++++=yard,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
girls ^nns++++=girls
were ^vbd+bed+vrb++=were
hangin ^nn+++??+=hangin'
' ^zz++++=EXTRAWORD
around ^rp++++=around
the ^ati++++=the
Colonel ^nn++++=Colonel
and ^cc++++=and
Jim ^np++++=Jim,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
preparin ^nn+++??+=preparin'
' ^zz++++=EXTRAWORD
to ^to++++=to
settle ^vbi++++=settle
up ^rp++++=up.
. ^zz++++=EXTRAWORD
As ^ql++++=As
we ^pp1a+pp1+++=we
rode ^vbd+++xvbn+=rode
up ^rp++++=up
the ^ati++++=the
evening ^nn++++=evening
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
noticed ^vprf+++xvbnx+=noticed
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
turned ^vbd+++xvbn+=turned
in ^rb+phrv+++=in
from ^in++++=from
the ^ati++++=the
road ^npl++++=road
through ^in++++=through
a ^at++++=a
lane ^nn++++=lane,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
the ^ati++++=the
fence ^nn++++=fence
was ^vbd+bedz+vrb++=was
too ^ql++++=too
high ^np++++=high
to ^to++++=to
jump ^vbi++++=jump,
, ^zz++++=EXTRAWORD
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
threw ^vbd+++xvbnx+=threw
my ^pp$+pp1+++=my
leg ^nn++++=leg
over ^in++++=over
Black ^jj+atrb+++=Black
Hawk ^np+++??+=Hawk,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hit ^vbd+++xvbnx+=hit
Donnelly ^np++++=Donnelly
a ^at++++=a
swat ^nn+++??+=swat
in ^in++++=in
the ^ati++++=the
neck ^nn++++=neck,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
a ^at++++=a
stage ^nn++++=stage-fall,
- ^zz++++=EXTRAWORD
fall ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
swept ^vbd+++xvbnx+=swept
through ^in++++=through
the ^ati++++=the
gate ^nn++++=gate
and ^cc++++=and
down ^in++++=down
the ^ati++++=the
lane ^nn++++=lane.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
man ^nn++++=man
cut ^vbd+++xvbn+=cut
the ^ati++++=the
halter ^nn++++=halter
off ^in+pl+++=off
one ^pn++++=one
of ^in++++=of
his ^pp$+pp3+++=his
Mexican ^jj+atrb+++=Mexican
war ^nn++++=war-whoops,
- ^zz++++=EXTRAWORD
whoops ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
broke ^vpsv++agls+xvbn+=broke
through ^in++++=through
the ^ati++++=the
house ^npl++++=house
on ^in++++=on
the ^ati++++=the
run ^nn+++xvbn+=run,
, ^zz++++=EXTRAWORD
appearin ^nn+++??+=appearin'
' ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
front ^jjb+atrb+++=front
door ^nn++++=door
with ^in++++=with
his ^pp$+pp3+++=his
shot ^nn+++xvbn+=shot-gun
- ^zz++++=EXTRAWORD
gun ^nn++++=EXTRAWORD
just ^rb+emph+++=just
as ^ql++++=as
I ^pp1a+pp1+++=I
checked ^vbd+++xvbnx+=checked
up ^rp++++=up
to ^to++++=to
make ^vbi++++=make
the ^ati++++=the
turn ^nn++++=turn
onto ^in++++=onto
the ^ati++++=the
main ^jjb++++=main
road ^npl++++=road.
. ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
swung ^vbd+++xvbnx+=swung
around ^rb+cnj+++=around,
, ^zz++++=EXTRAWORD
doubled ^xvbn+++xvbn+=doubled
over ^in++++=over
the ^ati++++=the
horse ^nn++++=horse's
's ^$++++=EXTRAWORD
neck ^nn++++=neck,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
let ^vbd+++xvbnx+=let
drive ^nn++++=drive
with ^in++++=with
his ^pp$+pp3+++=his
old ^jj+atrb+++=old
blunderbuss ^nns+++??+=blunderbuss,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
caught ^vbd+++xvbnx+=caught
two ^cd++++=two
buckshot ^nn+++??+=buckshot
in ^in++++=in
my ^pp$+pp1+++=my
right ^jj++++=right
arm ^vb++++=arm
where ^wrb+who+++=where
you ^pp2+pp2+++=you
see ^vb+vprv+++=see
them ^pp3o+pp3+++=them
marks ^nns++++=marks.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
sense ^nn++++=sense
enough ^dt++++=enough
to ^to++++=to
hang ^vbi++++=hang
on ^in++++=on
and ^cc++++=and
ride ^nn++++=ride
for ^in++++=for
my ^pp$+pp1+++=my
life ^nn++++=life,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
the ^ati++++=the
old ^jj+atrb+++=old
fire ^nn++++=fire-eater
- ^zz++++=EXTRAWORD
eater ^jjr++++=EXTRAWORD
would ^md+prd+++=would
reckon ^vb+vprv+tht0++=reckon
it ^pp3+it+++=it
a ^at++++=a
pleasure ^nn++++=pleasure
to ^to++++=to
put ^vbi++++=put
an ^at++++=an
end ^nn++++=end
to ^in++++=to
such ^abl++++=such
a ^at++++=a
wretch ^nn++++=wretch
as ^cs+sub+++=as
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
half ^abn++++=half
a ^at++++=a
chance ^nn++++=chance.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
him ^pp3o+pp3+++=him
howl ^nn++++=howl,
, ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
on ^in++++=on
boys ^nns++++=boys!
! ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We'll
'll ^md+prd+++0=EXTRAWORD
get ^vb++++=get
him ^pp3o+pp3+++=him
yet ^rb+cnj+++=yet,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and,
, ^zz++++=EXTRAWORD
over ^in++++=over
my ^pp$+pp1+++=my
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
him ^pp3o+pp3+++=him
jump ^nn++++=jump
one ^pn++++=one
of ^in++++=of
his ^pp$+pp3+++=his
loose ^jj+atrb+++=loose
horses ^nns++++=horses
standin ^nn+++??+=standin'
' ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
yard ^nn++++=yard
and ^cc++++=and
come ^vb++++=come
tearin ^nn+++??+=tearin'
' ^zz++++=EXTRAWORD
down ^rp++++=down
the ^ati++++=the
lane ^nn++++=lane,
, ^zz++++=EXTRAWORD
ahead ^rb+pl+++=ahead
of ^in++++=of
the ^ati++++=the
befuddled ^jj+++xvbn+=befuddled
sheriff ^npt++++=sheriff
and ^cc++++=and
posse ^nn++++=posse,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
white ^jj+atrb+++=white
hair ^nn++++=hair
streamin ^nn+++??+=streamin'
' ^zz++++=EXTRAWORD
and ^cc++++=and
