Any ^dti++++=Any
and ^cc+cls+++=and
his ^pp$+pp3+++=his
fingers ^nns+nom+++=fingers
fiddled ^vbd+++xvbn+=fiddled
absently ^rb++++=absently
with ^in++++=with
the ^ati++++=the
big ^jj+atrb+++=big
bow ^nn++++=bow
at ^rb++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
her ^pp$+pp3+++=her
braid ^nn++++=braid.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
there ^rn+pl+++=there?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Gertie ^np+++??+=Gertie,
, ^zz++++=EXTRAWORD
sympathetically ^rb++++=sympathetically.
. ^zz++++=EXTRAWORD
" ^zz++++="Girlie,
girlie ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=haven't
n't ^xnot++not++0=EXTRAWORD
saved ^vbd+++xvbn+=saved
twelve ^cd++++=twelve
dollars ^nns++++=dollars
since ^cs+sub+++=since
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
no ^at++++=no
tightwad ^nn+++??+=tightwad,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
believe ^vb+vprv+++=believe
in ^in++++=in
packing ^xvbg+++xvbg+=packing
everything ^pn++++=everything
away ^rp+pl+++=away
into ^in++++=into
a ^at++++=a
white ^jj+atrb+++=white
marble ^nn++++=marble
mausoleum ^nn++++=mausoleum,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
still ^rb++++=still
a ^at++++=a
gink ^nn+++??+=gink
kind ^rb+hdg+++=kind
of ^rb"+hdg"+++=of
whispers ^nns+nom+++=whispers
to ^in++++=to
himself ^ppl+pp3+++=himself
that ^cs+sub+++=that
some ^dti++++=some
day ^nn++++=day
he ^pp3a+pp3+++=he'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
furnishing ^nn++++=furnishing
up ^rp++++=up
a ^at++++=a
kitchen ^nn++++=kitchen
pantry ^nn++++=pantry
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh!"
oh ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Gertie ^np+++??+=Gertie.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
mention ^nn+nom+++=mention
in ^in++++=in
passing ^xvbg+++xvbg+=passing,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
continued ^vbd+++xvbn+=continued
Gus ^np++++=Gus,
, ^zz++++=EXTRAWORD
winding ^nvbg+++xvbg+=winding
the ^ati++++=the
ribbon ^nn++++=ribbon
bow ^nn++++=bow
around ^rp++++=around
his ^pp$+pp3+++=his
finger ^nn++++=finger,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
last ^jj+atrb+++=last
hour ^nn++++=hour
or ^cc++++=or
so ^ql++++=so
that ^cs+sub+++=that
whisper ^vb+vpub+++=whisper
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
swelling ^nn+nom+++=swelling
to ^in++++=to
a ^at++++=a
shout ^nn++++=shout."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh!"
oh ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Gertie ^np+++??+=Gertie
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
buy ^vb++++=buy
a ^at++++=a
secondhand ^jj+atrb+++=secondhand
gas ^nn++++=gas
stove ^nn++++=stove
with ^in++++=with
what ^wdt+who+++=what
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
saved ^vprf+++xvbnx+=saved
in ^in++++=in
the ^ati++++=the
last ^ap++++=last
half ^abn++++=half-year
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
Back ^jjb+atrb+++=Back
home ^nr++++=home
they ^pp3a+pp3+++=they
used ^md"++pmd"++=used
to ^to++++=to
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
a ^at++++=a
regular ^jj+atrb+++=regular
little ^jj+atrb+++=little
village ^nn+nom+++=village
John ^np++++=John
Drew ^vbd+++xvbn+=Drew,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
so ^ql++++=so
dressy ^vb+++??+=dressy.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
here ^rn+pl+++=here
I ^pp1a+pp1+++=I
look ^vb++++=look
like ^in++++=like
a ^at++++=a
yokel ^nn+++??+=yokel
on ^in++++=on
circus ^nn++++=circus
day ^nn++++=day
compared ^vbd+++xvbn+=compared
to ^in++++=to
the ^ati++++=the
other ^ap++++=other
fellows ^nns++++=fellows
in ^in++++=in
the ^ati++++=the
store ^nn++++=store.
. ^zz++++=EXTRAWORD
All ^abn++++=All
they ^pp3a+pp3+++=they
need ^vb++++=need
is ^vbz+bez+vrb++=is
a ^at++++=a
field ^nn++++=field
glass ^nn++++=glass
strung ^vwbn+++xvbn+=strung
over ^in++++=over
their ^pp$+pp3+++=their
shoulder ^nn+nom+++=shoulder
to ^to++++=to
make ^vbi++++=make
them ^pp3o+pp3+++=them
look ^vb++++=look
like ^in++++=like
a ^at++++=a
clothing ^nn++++=clothing
ad ^&fw++++=ad
in ^in++++=in
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
a ^at++++=a
popular ^jj+atrb+++=popular
magazine ^nn++++=magazine.
. ^zz++++=EXTRAWORD
Say ^vb+vpub+++=Say,
, ^zz++++=EXTRAWORD
girlie ^nn++++=girlie,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
the ^ati++++=the
prettiest ^jjt+atrb+++=prettiest
hair ^nn++++=hair
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
seen ^vprf+++xvbnx+=seen
since ^cs+sub+++=since
I ^pp1a+pp1+++=I
blew ^vbd+++xvbnx+=blew
in ^in++++=in
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
Look ^vb++++=Look
at ^rb++++=at
that ^dt+dem+++=that
braid ^nn++++=braid!
! ^zz++++=EXTRAWORD
Thick ^jj++++=Thick
as ^in++++=as
a ^at++++=a
rope ^nn++++=rope!
! ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
relation ^nn+nom+++=relation
to ^in++++=to
the ^ati++++=the
piles ^nns++++=piles
of ^in++++=of
jute ^nn+++??+=jute
that ^tht+rel+obj++=that
the ^ati++++=the
Flossies ^np+++??+=Flossies
here ^rn+pl+++=here
stack ^nn++++=stack
on ^in++++=on
their ^pp$+pp3+++=their
heads ^nns++++=heads.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
shines ^vbz++++=shines!
! ^zz++++=EXTRAWORD
Like ^in++++=Like
satin ^nn++++=satin."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
ought ^md+nec+++=ought
to ^in+strn+++=to,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Gertrude ^np++++=Gertrude,
, ^zz++++=EXTRAWORD
wearily ^rb++++=wearily.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
brush ^nn++++=brush
it ^pp3+it+++=it
a ^at++++=a
hundred ^cd++++=hundred
strokes ^nns+++??+=strokes
every ^at++++=every
night ^nn++++=night.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
so ^ql++++=so
beat ^vb+++xvbn+=beat
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
fall ^nn++++=fall
asleep ^jj++++=asleep
with ^in++++=with
my ^pp$+pp1+++=my
brush ^nn++++=brush
in ^in++++=in
the ^ati++++=the
air ^nn++++=air.
. ^zz++++=EXTRAWORD
The ^ati++++=The
manager ^nn++++=manager
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
stand ^vb++++=stand
for ^in+ppvb+++=for
any ^dti++++=any
romping ^jj+atrb+++=romping
curls ^nns++++=curls
or ^cc++++=or
hooks ^nns++++=hooks-and-eyes
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
eyes ^nns++++=EXTRAWORD
that ^tht+rel+subj++=that
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
connect ^vb++++=connect.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
keeps ^vbz++++=keeps
me ^pp1o+pp1+++=me
so ^rb+emph+++=so
busy ^jj++++=busy
being ^jj+++xvbg+=being
beautiful ^jj++++=beautiful,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+++=what
the ^ati++++=the
society ^nn++++=society
writers ^nns+nom+++=writers
call ^vb++++=call
` ^zz++++=`well
well ^rb++++=EXTRAWORD
groomed ^vbd+++xvbn+=groomed,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
time ^nn++++=time
to ^in++++=to
sew ^nn+++??+=sew
the ^ati++++=the
buttons ^nns++++=buttons
on ^in++++=on
my ^pp$+pp1+++=my
underclothes ^nns+++??+=underclothes."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
get ^vb++++=get
some ^dti++++=some
amusement ^nn+nom+++=amusement
in ^in++++=in
the ^ati++++=the
evening ^nn++++=evening?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
marveled ^jj+++xvbn+=marveled
Gus ^np++++=Gus.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
was ^vbd+bedz+aux++=was
the ^ati++++=the
matter ^nn++++=matter
with ^in++++=with
you ^pp2+pp2+++=you
and ^cc++++=and
the ^ati++++=the
other ^ap++++=other
girls ^nns++++=girls
in ^in++++=in
the ^ati++++=the
store ^nn++++=store?
? ^zz++++=EXTRAWORD
Can ^md+pos+++=Can't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
hit ^vbd+++xvbn+=hit
it ^pp3+it+++=it
off ^in+strn+++=off?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Me?
me ^pp1o+pp1+++=EXTRAWORD
? ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
guess ^vb++++=guess
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
too ^ql++++=too
woodsy ^vb+++??+=woodsy
for ^in++++=for
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
out ^rp+pl+++=out
with ^in++++=with
them ^pp3o+pp3+++=them
a ^at++++=a
couple ^nn++++=couple
of ^in++++=of
times ^nns++++=times.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
guess ^vb++++=guess
they ^pp3a+pp3+++=they're
're ^vb+ber+vrb++0=EXTRAWORD
nice ^jj+atrb+++=nice
girls ^nns++++=girls
all ^abn++++=all
right ^jj++++=right;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
what ^wdt+who+++=what
you ^pp2+pp2+++=you
call ^vb++++=call
a ^at++++=a
broader ^jjr+atrb+++=broader
way ^nn++++=way
of ^in++++=of
looking ^xvbg+++xvbg+=looking
at ^rb++++=at
things ^nns++++=things
than ^cs+sub+++=than
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have.
. ^zz++++=EXTRAWORD
Living ^jj+++xvbg+=Living
in ^in++++=in
a ^rb++++=a
little ^rb"++++=little
town ^nn++++=town
all ^rb++++=all
your ^pp$+pp2+++=your
life ^nn++++=life
makes ^vbz++++=makes
you ^pp2+pp2+++=you
narrow ^vb++++=narrow.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
girls! ^nn+++??+=girls!--Well,
-- ^--+clp+++=EXTRAWORD
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
maybe ^rb+hdg+++=maybe
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
get ^vb++++=get
educated ^jj+++xvbn+=educated
up ^in+cmpx+++=up
to ^in"++++=to
their ^pp$+pp3+++=their
plane ^nn++++=plane
some ^dti++++=some
day ^nn++++=day,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but----"
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+vrb++=don't!"
n't ^xnot++not++0=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
hissed ^vbd+++xvbn+=hissed
Gus ^np++++=Gus.
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
can ^md+pos+++=can
help ^vb++++=help
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
ca ^np++++=can't,"
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
Gertie ^np+++??+=Gertie,
, ^zz++++=EXTRAWORD
sweetly ^rb++++=sweetly.
. ^zz++++=EXTRAWORD
" ^zz++++="My,
my ^pp$+pp1+++=EXTRAWORD
, ^zz++++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
this ^dt+dem+++=this
a ^at++++=a
grand ^jj+atrb+++=grand
night ^nn++++=night!
! ^zz++++=EXTRAWORD
Evenings ^nns++++=Evenings
like ^in++++=like
this ^dt+dem+++=this
I ^pp1a+pp1+++=I
used ^vbd+++xvbnx+=used
to ^in++++=to
love ^vb++++=love
to ^to+vcmp+++=to
putter ^vb++++=putter
around ^in++++=around
the ^ati++++=the
yard ^nn++++=yard
after ^in++++=after
supper ^nn++++=supper,
, ^zz++++=EXTRAWORD
sprinkling ^nn+nom+++=sprinkling
the ^ati++++=the
grass ^nn++++=grass
and ^cc++++=and
weeding ^nvbg+++xvbg+=weeding
the ^ati++++=the
radishes ^nns++++=radishes.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
the ^ati++++=the
greatest ^jjt+atrb+++=greatest
kid ^nn++++=kid
to ^in++++=to
fool ^jjb++++=fool
around ^rb++++=around
with ^in++++=with
a ^at++++=a
hose ^nn++++=hose.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
flowers ^nns+nom+++=flowers!
! ^zz++++=EXTRAWORD
Say ^vb+vpub+++=Say,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
just ^rb+emph+++=just
grow ^vb++++=grow
for ^in++++=for
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
have ^vbi+vbi+aux++=have
seen ^vprf+++xvbn+=seen
my ^pp$+pp1+++=my
pansies ^nns++++=pansies
and ^cc++++=and
nasturtiums ^nns+++??+=nasturtiums
last ^rb++++=last
summer ^nn++++=summer."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
fingers ^nns+nom+++=fingers
of ^in++++=of
the ^ati++++=the
Kid ^nn++++=Kid
Next ^ap++++=Next
Door ^nn++++=Door
wandered ^vbd+++xvbn+=wandered
until ^cs+sub+++=until
they ^pp3a+pp3+++=they
found ^vbd+vprv++xvbnx+=found
Gertie ^np+++??+=Gertie's.
's. ^nn+++??+=EXTRAWORD
They ^pp3a+pp3+++=They
clasped ^vbd+++xvbnx+=clasped
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+dem+++=EXTRAWORD
thing ^nn++++=thing
just ^rb+emph+++=just
points ^nns++++=points
one ^cd1++++=one
way ^nn++++=way,
, ^zz++++=EXTRAWORD
little ^ap++++=little
one ^pn++++=one.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
just ^rb+emph+++=just
as ^ql++++=as
plain ^nn++++=plain
as ^ql++++=as
a ^at++++=a
path ^nn++++=path
leading ^vwbg+++xvbg+=leading
up ^in+cmpx+++=up
to ^in"++++=to
a ^at++++=a
cozy ^np++++=cozy
little ^rb++++=little
three ^cd++++=three-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
flat ^nn++++=flat
up ^rp++++=up
here ^rn+pl+++=here
on ^in++++=on
the ^ati++++=the
North ^np+pl+++=North
Side ^nn++++=Side
somewhere ^rb++++=somewhere.
. ^zz++++=EXTRAWORD
See ^vb+vprv+++=See
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
With ^in++++=With
me ^pp1o+pp1+++=me
and ^cc++++=and
you ^pp2+pp2+++=you
married ^vbd+++xvbn+=married,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
playing ^vbg+++xvbg+=playing
at ^in+ppvb+++=at
housekeeping ^jj+++xvbg+=housekeeping
in ^in++++=in
a ^at++++=a
parlor ^nn++++=parlor
and ^cc++++=and
bedroom ^nn++++=bedroom
and ^cc++++=and
kitchen ^nn++++=kitchen?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
both ^abx++++=both
of ^in++++=of
us ^pp1o+pp1+++=us
going ^vbg+++xvbg+=going
down ^in++++=down
town ^nn++++=town
to ^in++++=to
work ^nn++++=work
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
just ^rb+emph+++=just
the ^ati++++=the
same ^ap++++=same
as ^ql++++=as
we ^pp1a+pp1+++=we
do ^vb+do+vrb++=do
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
not ^xnot++not++=not
the ^ati++++=the
same ^ap++++=same,
, ^zz++++=EXTRAWORD
either ^dtx++++=either."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Wake
wake ^vb++++=EXTRAWORD
up ^rp++++=up,
, ^zz++++=EXTRAWORD
little ^ap++++=little
boy ^nn++++=boy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Gertie ^np+++??+=Gertie,
, ^zz++++=EXTRAWORD
prying ^jj++++=prying
her ^pp$+pp3+++=her
fingers ^nns+nom+++=fingers
away ^in+pl+++=away
from ^in"++++=from
those ^dt+dem+++=those
other ^ap++++=other
detaining ^jj+atrb++xvbg+=detaining
ones ^pn++++=ones.
. ^zz++++=EXTRAWORD
" ^zz++++="I'd
i ^pp1a+pp1+++0=EXTRAWORD
'd ^md+prd+vrb++=EXTRAWORD
fit ^nn++++=fit
into ^in++++=into
a ^at++++=a
three ^cd++++=three-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
flat ^nn++++=flat
like ^in++++=like
a ^at++++=a
whale ^nn++++=whale
in ^in++++=in
a ^at++++=a
kitchen ^nn++++=kitchen
sink ^nn++++=sink.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
going ^vbg+++xvbgx+=going
back ^jjb++++=back
to ^in++++=to
Beloit ^np+++??+=Beloit,
, ^zz++++=EXTRAWORD
Wisconsin ^np+++??+=Wisconsin.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
learned ^vprf+++xvbnx+=learned
my ^pp$+pp1+++=my
lesson ^nn++++=lesson
all ^abn++++=all
right ^jj++++=right.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
fellow ^jjb++++=fellow
there ^rn+pl+++=there
waiting ^nvbg+++xvbg+=waiting
for ^in++++=for
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
used ^md"++pmd"++=used
to ^to++++=to
think ^vb+vprv+tht0++=think
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
too ^ql++++=too
slow ^vb++++=slow.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he's
's ^vbz+bez+aux++0=EXTRAWORD
got ^vpsv++agls+xvbnx+=got
the ^ati++++=the
nicest ^jjt++++=nicest
little ^ap++++=little
painting ^jj+++xvbg+=painting
and ^cc++++=and
paper ^nn++++=paper-hanging
- ^zz++++=EXTRAWORD
hanging ^vbg+++xvbg+=EXTRAWORD
business ^nns+nom+++=business
you ^pp2+pp2+++=you
ever ^rb++++=ever
saw ^vbd+vprv++xvbn+=saw,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
making ^jj+atrb++xvbg+=making
money ^nn++++=money.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He's
's ^vbz+bez+vrb++0=EXTRAWORD
secretary ^nn+nom+++=secretary
of ^in++++=of
the ^ati++++=the
K ^zz++++=K.
. ^zz++++=EXTRAWORD
P. ^np++++=P.'s
's ^$++++=EXTRAWORD
back ^jjb+atrb+++=back
home ^nr++++=home.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
give ^vb++++=give
some ^dti++++=some
swell ^nn++++=swell
little ^ap++++=little
dances ^nns++++=dances
during ^in++++=during
the ^ati++++=the
winter ^nn++++=winter,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
for ^in++++=for
the ^ati++++=the
married ^jj+atrb++xvbn+=married
members ^nns+nom+++=members.
. ^zz++++=EXTRAWORD
In ^in++++=In
five ^cd++++=five
years ^nns++++=years
we ^pp1a+pp1+++=we'll
'll ^md+prd+++0=EXTRAWORD
own ^ap++++=own
our ^pp$+pp1+++=our
home ^nr++++=home,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
vegetable ^nn++++=vegetable
garden ^nn++++=garden
in ^in++++=in
the ^ati++++=the
back ^nn++++=back.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
frog ^jj+++??+=frog,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
me ^pp1o+pp1+++=me
for ^in++++=for
the ^ati++++=the
puddle ^nn+++??+=puddle."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Gus ^np++++=Gus
stood ^vbd+++xvbn+=stood
up ^rp++++=up
slowly ^rb++++=slowly.
. ^zz++++=EXTRAWORD
Gertie ^np+++??+=Gertie
felt ^vbd+vprv++xvbn+=felt
a ^rb++++=a
little ^rb"++++=little
pang ^nn++++=pang
of ^in++++=of
compunction ^nn+nom+++=compunction
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
saw ^vbd+vprv++xvbnx+=saw
what ^wdt+who+whcl++=what
a ^at++++=a
boy ^nn++++=boy
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
when ^wrb+who+whcl++=when
I ^pp1a+pp1+++=I've
've ^vb+hv+vrb++0=EXTRAWORD
enjoyed ^vprf+++xvbnx+=enjoyed
a ^at++++=a
talk ^nn++++=talk
like ^in++++=like
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
heard ^vprf+++xvbnx+=heard
about ^in++++=about
these ^dt+dem+++=these
dawn ^nn++++=dawn
teas ^nns++++=teas,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
never ^rb++++=never
thought ^nn+++xvbn+=thought
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
go ^vb++++=go
to ^to++++=to
one ^pn++++=one,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Good-night,
good ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
girlie ^nn++++=girlie,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
interrupted ^xvbn+++xvbn+=interrupted
Gus ^np++++=Gus,
, ^zz++++=EXTRAWORD
abruptly ^rb++++=abruptly.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
dreamless ^jj+atrb+++=dreamless
couch ^nn++++=couch
for ^in++++=for
mine ^nn++++=mine.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
a ^at++++=a
big ^jj+atrb+++=big
sale ^nn++++=sale
on ^in++++=on
in ^in++++=in
tan ^nn++++=tan
and ^cc++++=and
black ^jj+atrb+++=black
seconds ^nns++++=seconds
to ^to++++=to-morrow."
- ^zz++++=EXTRAWORD
morrow." ^nn++++=EXTRAWORD
