Henry ^np++++=Henry
" ^zz++++=EXTRAWORD
- ^zz++++=-"She
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
right ^jj+pred+++=right,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
half ^abn++++=half
to ^in++++=to
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
half ^abn++++=half
aloud ^rb+cnj+++=aloud,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
stood ^vbd+++xvbnx+=stood
gazing ^vbg+++xvbg+=gazing
at ^in++++=at
her ^pp$+pp3+++=her
with ^in++++=with
inquiring ^jj+atrb+++=inquiring
eyes ^nns++++=eyes
after ^cs+sub+++=after
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
greeted ^vprf+++xvbnx+=greeted
him ^pp3o+pp3+++=him
cordially ^rb++++=cordially.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
was ^vbd+bedz+aux++=was
right ^jj+pred+++=right?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Something
something ^pn++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
girl ^nn++++=girl
said ^vbd+vpub++xvbn+=said
about ^in++++=about
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
tell ^vb++++=tell
you ^pp2+pp2+++=you
some ^dti++++=some
day ^nn++++=day,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
you ^pp2+pp2+++=you
better ^jjr++++=better."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Was
was ^vbd+bedz+vrb++=EXTRAWORD
it ^pp3+it+++=it
a ^at++++=a
compliment ^nn+nom+++=compliment?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Tell
tell ^vb++++=EXTRAWORD
me ^pp1o+pp1+++=me
now ^rn+tm+++=now."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
wait ^vb++++=wait."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
came ^vbd+++xvbnx+=came
to ^to++++=to
know ^vbi+vprv+tht0++=know
her ^pp$+pp3+++=her
better ^jjr++++=better;
; ^zz++++=EXTRAWORD
to ^to++++=to
know ^vbi+vprv+tht0++=know
her ^pp$+pp3+++=her
very ^ql+amp+++=very
well ^rb++++=well.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
see ^vb+vprv+++=see
her ^pp$+pp3+++=her
very ^ql+amp+++=very
often ^rb+cnj+++=often,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
of ^in++++=of
her ^pp3o+pp3+++=her
a ^at++++=a
great ^jj+atrb+++=great
deal ^nn++++=deal.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
find ^vbi+vprv+++=find
in ^in++++=in
her ^pp3o+pp3+++=her
a ^at++++=a
sympathy ^nn++++=sympathy
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
needed ^vbd+++xvbnx+=needed.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
reminded ^vbd+vsua++xvbn+=reminded
him ^pp3o+pp3+++=him
of ^in++++=of
the ^ati++++=the
past ^nn++++=past.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
awoke ^vbd+++xvbnx+=awoke
from ^in++++=from
his ^pp$+pp3+++=his
lethargy ^nn++++=lethargy;
; ^zz++++=EXTRAWORD
began ^j+++xvbn+=began
to ^to++++=to
work ^vbi++++=work
once ^rb+tm+++=once
more ^rbr++++=more
in ^in++++=in
the ^ati++++=the
old ^jj+atrb+++=old
way ^nn++++=way;
; ^zz++++=EXTRAWORD
mixed ^j+++xvbn+=mixed
among ^in++++=among
men ^nns++++=men
again ^rb+tm+++=again;
; ^zz++++=EXTRAWORD
grew ^j+++xvbn+=grew
brighter ^jjr++++=brighter.
. ^zz++++=EXTRAWORD
" ^zz++++="Henry
henry ^np++++=EXTRAWORD
Floyd ^np+++??+=Floyd
is ^vbz+bez+aux++=is
growing ^vbg+++xvbgx+=growing
younger ^jjr++++=younger,
, ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead
of ^in++++=of
older ^jjr++++=older,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
someone ^pn++++=someone
said ^vbd+vpub++xvbn+=said
of ^in++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="His
his ^pp$+pp3+++=EXTRAWORD
health ^nn++++=health
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
bad ^jj++++=bad,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
a ^at++++=a
doctor ^nn++++=doctor.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+aux++=is
improving ^vbg+++xvbgx+=improving.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
at ^rb++++=at
one ^cd1++++=one
time ^nn++++=time
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
going ^md"++pmd"++=going
to ^md+prd+++=to
die ^vb++++=die."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+aux++=is
getting ^vbg+++xvbgx+=getting
rich ^jj++++=rich,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
a ^at++++=a
broker ^nn++++=broker,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
schoolmate ^nn+nom+++=schoolmate
of ^in++++=of
his ^pp$+pp3+++=his.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
see ^vb+vprv+tht0++=see
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
just ^rb+emph+splt++=just
invented ^vprf+++xvbnx+=invented
a ^at++++=a
new ^jj++++=new
something ^pn++++=something
or ^cc++++=or
other ^ap++++=other
to ^to++++=to
relieve ^vbi++++=relieve
children ^nns++++=children
with ^in++++=with
hip ^nn++++=hip
or ^cc++++=or
ankle ^nn++++=ankle-joint
- ^zz++++=EXTRAWORD
joint ^jjb+atrb+++=EXTRAWORD
disease ^nn++++=disease."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
capital ^nn++++=capital
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
too ^ql++++=too;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
being ^vbg+beg+aux+xvbg+=being
taken ^vprf+++xvbn+=taken
up ^rb+phrv+++=up
by ^in++++=by
the ^ati++++=the
profession ^nn++++=profession.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
use ^nn++++=use
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
curious ^jj+atrb+++=curious
thing ^nn++++=thing
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
should ^md+nec+++=should
have ^vb+hv+aux++=have
hit ^vprf+++xvbnx+=hit
on ^in+ppvb+++=on
that ^dt+pdem+++=that
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
a ^at++++=a
surgeon ^nn++++=surgeon.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
studied ^vprf+++xvbnx+=studied
anatomy ^nn++++=anatomy
as ^in++++=as
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
fad ^nn+++??+=fad,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
does ^vbz+doz+vrb++=does
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
Haile ^np+++??+=Haile
Tabb ^np++++=Tabb's
's ^$++++=EXTRAWORD
boys ^nns++++=boys
was ^vbd+bedz+aux++=was
bedridden ^vpsv++agls+xvbnx+=bedridden,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
great ^jj+atrb+++=great
friend ^nn++++=friend
of ^in++++=of
his ^pp$+pp3+++=his,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^cs+sub+++=that
set ^nn+++xvbn+=set
him ^pp3o+pp3+++=him
at ^in++++=at
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+tht0++=think
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
so ^ql++++=so
much ^ap++++=much
of ^in++++=of
a ^at++++=a
crank ^nn++++=crank
as ^ql++++=as
he ^pp3a+pp3+++=he
used ^md"++pmd"++=used
to ^to++++=to
be ^vbi++vrb++=be,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
someone ^pn++++=someone.
. ^zz++++=EXTRAWORD
The ^ati++++=The
broker ^nn++++=broker
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
his ^pp$+pp3+++=his
schoolmate ^nn+nom+++=schoolmate
met ^vpsv++agls+xvbn+=met
Floyd ^np+++??+=Floyd
next ^ap++++=next
day ^nn++++=day.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
see ^vb+vprv+tht0++=see
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
having ^vbg+hvg++xvbg+=having
a ^at++++=a
great ^jj+atrb+++=great
stroke ^nn++++=stroke
of ^in++++=of
luck ^nn++++=luck,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Have
have ^vb+hv+vrb++=EXTRAWORD
I ^pp1a+pp1+++=I?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes.
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
in ^in++++=in
the ^ati++++=the
papers ^nns++++=papers,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
your ^pp$+pp2+++=your
discovery ^nn+nom+++=discovery,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
invention ^nn+nom+++=invention,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
whatever ^nn+nom+++=whatever
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
taken ^vpsv++agls+xvbnx+=taken
up ^rb+phrv+++=up."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh!
oh ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
yes ^uh++++=yes
- ^zz++++=-that?
that ^dt+pdem+++=EXTRAWORD
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+vrb++=has."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
congratulate ^nn+nom+++=congratulate
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Thank
thank ^vb++++=EXTRAWORD
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
would ^md+prd+++=would
not ^xnot++not++=not
mind ^nn++++=mind
looking ^vwbg+++xvbg+=looking
into ^in++++=into
that ^dt+pdem+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
interesting ^jj+pred+++=interesting."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
might ^md+pos+++=might
take ^vb++++=take
an ^at++++=an
interest ^nn++++=interest
in ^in++++=in
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
think ^vb+vprv+++=think
so ^rb++++=so."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
much ^rb++++=much
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
ask ^vb++++=ask
for ^in+ppvb+++=for
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="`Ask
` ^zz++++=EXTRAWORD
ask ^vb++++=EXTRAWORD
for ^in+ppvb+++=for
it ^pp3+it+++=it?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Ask ^vb++++=Ask
for ^in+ppvb+++=for
what ^wdt+who+++=what?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
an ^at++++=an
interest ^nn++++=interest
in ^in++++=in
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
either ^dtx++++=either
a ^at++++=a
part ^nn++++=part
or ^cc++++=or
the ^ati++++=the
whole ^nn++++=whole?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What?"
what ^wdt+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
make ^vb++++=make
a ^at++++=a
good ^jj+atrb+++=good
thing ^nn++++=thing
out ^rp+pl+++=out
of ^in++++=of
it ^pp3+it+++=it
- ^zz++++=-out
out ^rp+pl+++=EXTRAWORD
of ^in++++=of
your ^pp$+pp2+++=your
patent ^nn++++=patent."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
patent ^nn++++=patent!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=haven't
n't ^xnot++not++0=EXTRAWORD
any ^dti++++=any
patent ^nn++++=patent."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What!
what ^wdt+who+++=EXTRAWORD
! ^zz++++=EXTRAWORD
No ^at++++=No
patent ^jj++++=patent?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No.
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
for ^in++++=for
the ^ati++++=the
good ^nn++++=good
of ^in++++=of
people ^nns++++=people
generally ^rb+down+++=generally."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
got ^vbd+++xvbn+=got
a ^at++++=a
patent ^nn++++=patent?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Couldn't
could ^md+pos+++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
get ^vb++++=get
a ^at++++=a
patent ^nn++++=patent?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+aux++=be
bound ^vpsv++agls+xvbnx+=bound
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
have ^vb+hv+aux++=have
got ^vprf+++xvbnx+=got
a ^at++++=a
patent ^nn++++=patent."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh!
oh ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
no ^at++++=no,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+++=think
so ^rb++++=so."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you
what ^wdt+who+++=what,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
turn ^vb++++=turn
your ^pp$+pp2+++=your
talents ^nns++++=talents
to ^in++++=to
account ^nn++++=account,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
his ^pp$+pp3+++=his
friend ^nn++++=friend.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
I ^pp1a+pp1+++=I
ought ^md+nec+++=ought."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
could ^md+pos+++=could
be ^vb+be+vrb++=be
a ^at++++=a
rich ^jj+atrb+++=rich
man ^nn++++=man."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
care ^vb+vprv+++=care
to ^to+vcmp+++=to
be ^vbi++vrb++=be
rich ^jj+pred+++=rich."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What!
what ^wdt+who+++=EXTRAWORD
! ^zz++++=EXTRAWORD
Oh ^uh++++=Oh!
! ^zz++++=EXTRAWORD
nonsense ^nn++++=nonsense.
. ^zz++++=EXTRAWORD
Everyone ^pn++++=Everyone
does ^vbz+doz+vrb++=does."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+vrb++=do
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
live ^vbi++++=live."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
live ^vb++++=live."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
maybe ^rb+hdg+++=maybe
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
some ^dti++++=some
day ^nn++++=day."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
merely ^rb+down+++=merely
exist ^vb++++=exist."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
should ^md+nec+++=should
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
be ^vbi++vrb++=be
rich ^jj+pred+++=rich?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="To
to ^to++++=EXTRAWORD
live ^vbi++++=live
- ^zz++++=-to
to ^to++++=EXTRAWORD
buy ^vbi++++=buy
what ^wdt+who+++=what
you ^pp2+pp2+++=you
want ^vb++++=want."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want
sympathy ^nn++++=sympathy,
, ^zz++++=EXTRAWORD
love ^nn++++=love;
; ^zz++++=EXTRAWORD
can ^md+pos+++=can
one ^cd1++++=one
buy ^vb++++=buy
that ^dt+pdem+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes
yes ^uh++++=EXTRAWORD
- ^zz++++=-even
even ^rb++++=EXTRAWORD
that ^dt+pdem+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
cannot ^md+pos+not++=cannot.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
only ^rb+down+++=only
one ^cd1++++=one
sort ^rb+hdg+++=sort
of ^rb"+hdg"+++=of
woman ^nn++++=woman
to ^to++++=to
be ^vbi+vbi+aux++=be
bought ^vpsv++agls+xvbnx+=bought."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
come ^vprf+++xvbn+=come
and ^cc+phrs+++=and
see ^vb+vprv+++=see
me ^pp1o+pp1+++=me
sometimes ^rb+cnj+++=sometimes,
, ^zz++++=EXTRAWORD
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
very ^ql+amp+++=very
much ^ap++++=much
obliged ^jj+++xvbn+=obliged
to ^to+jcmp+++=to
you ^pp2+pp2+++=you;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
can ^md+pos+++=can."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why?
why ^wrb+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
lots ^nns++++=lots
of ^in++++=of
rich ^jj+atrb+++=rich
men ^nns++++=men
come ^vb++++=come
to ^in++++=to
my ^pp$+pp1+++=my
house ^nn++++=house.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You'd
'd ^md+prd+aux++0=EXTRAWORD
find ^vb+vprv+tht0++=find
it ^pp3+it+++=it
to ^in++++=to
your ^pp$+pp2+++=your
advantage ^nn+nom+++=advantage
if ^cs+cnd+++=if
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
come ^vprf+++xvbn+=come."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Thank
thank ^vb++++=EXTRAWORD
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
could ^md+pos+++=could
make ^vb++++=make
big ^jj+atrb+++=big
money ^nn++++=money
together ^nn+nom+++=together
if ^cs+cnd+++=if
-- ^--+clp+++=----"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
paused ^vbd+++xvbnx+=paused.
. ^zz++++=EXTRAWORD
Floyd ^np+++??+=Floyd
was ^vbd+bedz+aux++=was
looking ^vbg+++xvbgx+=looking
at ^rb++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Could
could ^md+pos+++=EXTRAWORD
we ^pp1a+pp1+++=we?
? ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
- ^zz++++=-what?"
what ^wdt+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
would ^md+prd+++=would
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
use ^vb++++=use
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Thank
thank ^vb++++=EXTRAWORD
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Floyd ^np+++??+=Floyd.
. ^zz++++=EXTRAWORD
" ^zz++++="Perhaps
perhaps ^rb++++=EXTRAWORD
we ^pp1a+pp1+++=we
could ^md+pos+++=could."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
come ^vb++++=come?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
fact ^nn++++=fact
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=haven't
n't ^xnot++not++0=EXTRAWORD
