Hans ^np++++=Hans
splendors ^nns++++=splendors
of ^in++++=of
Weimar ^np+++??+=Weimar.
. ^zz++++=EXTRAWORD
One ^pn++++=One,
, ^zz++++=EXTRAWORD
two ^cd++++=two,
, ^zz++++=EXTRAWORD
three ^cd++++=three
years ^nns++++=years
went ^vwbn+++xvbn+=went
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
during ^in++++=during
the ^ati++++=the
whole ^jj+atrb+++=whole
time ^nn++++=time
he ^pp3a+pp3+++=he
received ^vbd+++xvbnx+=received
only ^rb+down+++=only
two ^cd++++=two
letters ^nns+nom+++=letters.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
came ^vpsv++by+xvbn+=came
by ^in++++=by
the ^ati++++=the
carrier ^nn++++=carrier,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
other ^ap++++=other
a ^at++++=a
traveller ^nn+nom+++=traveller
brought ^vbd+++xvbn+=brought.
. ^zz++++=EXTRAWORD
The ^ati++++=The
way ^nn++++=way
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
long ^rb++++=long
and ^cc++++=and
difficult ^jj++++=difficult,
, ^zz++++=EXTRAWORD
with ^in++++=with
many ^ap++++=many
turnings ^nns+++??+=turnings
and ^cc++++=and
windings ^nns+++??+=windings
through ^in++++=through
towns ^nns++++=towns
and ^cc++++=and
villages ^nns+nom+++=villages.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
often ^rb++++=often
had ^vb+hv+vrb++=had
Anthony ^np++++=Anthony
and ^cc++++=and
Molly ^np++++=Molly
heard ^vbd+vprv++xvbn+=heard
the ^ati++++=the
story ^nn++++=story
of ^in++++=of
Tristan ^np+++??+=Tristan
and ^cc++++=and
Isolda ^np+++??+=Isolda,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Anthony ^np++++=Anthony
had ^vbd+hvd+aux++=had
thought ^vprf+++xvbnx+=thought
the ^ati++++=the
story ^nn++++=story
applied ^vwbn+++xvbn+=applied
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
Tristan ^np+++??+=Tristan
means ^vbz+vprv+++=means
born ^vbd+++xvbn+=born
in ^in++++=in
sorrow ^nn++++=sorrow,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
Anthony ^np++++=Anthony
certainly ^rb++++=certainly
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not;
; ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
was ^vbd+bedz+vrb++=was
it ^pp3+it+++=it
likely ^jj++++=likely
he ^pp3a+pp3+++=he
would ^md+prd+++=would
ever ^rb++splt++=ever
say ^vb+vpub+++=say
of ^in++++=of
Molly ^np++++=Molly
as ^ql++++=as
Tristan ^np+++??+=Tristan
said ^vbd+vpub++xvbn+=said
of ^in++++=of
Isolda ^np+++??+=Isolda,
, ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
has ^vbz+hvz+aux++=has
forgotten ^vprf+++xvbnx+=forgotten
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
in ^in++++=in
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
Isolda ^np+++??+=Isolda
had ^vb+hv+vrb++=had
not ^xnot++not++=not
forgotten ^jj+++xvbn+=forgotten
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
faithful ^jj+atrb+++=faithful
friend ^nn++++=friend;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
both ^abx++++=both
were ^vbd+bed+aux++=were
laid ^vpsv++agls+xvbnx+=laid
in ^in++++=in
their ^pp$+pp3+++=their
graves ^nns++++=graves,
, ^zz++++=EXTRAWORD
one ^pn++++=one,
, ^zz++++=EXTRAWORD
on ^in++++=on
each ^dt++++=each
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
church ^nn++++=church,
, ^zz++++=EXTRAWORD
the ^ati++++=the
linden ^np++++=linden-trees
- ^zz++++=EXTRAWORD
trees ^nns++++=EXTRAWORD
that ^tht+rel+subj++=that
grew ^vpsv++by+xvbn+=grew
by ^in++++=by
each ^dt++++=each
grave ^jj++++=grave
spread ^xvbn+++xvbn+=spread
over ^in++++=over
the ^ati++++=the
roof ^nn++++=roof,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
bending ^nvbg+++xvbg+=bending
towards ^in++++=towards
each ^dt++++=each
other ^ap++++=other,
, ^zz++++=EXTRAWORD
mingled ^j+++xvbn+=mingled
their ^pp$+pp3+++=their
blossoms ^nns+++??+=blossoms
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
Anthony ^np++++=Anthony
thought ^vbd+++xvbn+=thought
it ^pp3+it+++=it
a ^at++++=a
very ^ql+amp+++=very
beautiful ^jj+atrb+++=beautiful
but ^cc+phrs+++=but
mournful ^jj+atrb+++=mournful
story ^nn++++=story;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
he ^pp3a+pp3+++=he
never ^rb++++=never
feared ^vbd+vprv+tht0+xvbn+=feared
anything ^pn++++=anything
so ^rb+emph+++=so
sad ^jj++++=sad
would ^md+prd+++=would
happen ^vb+++??+=happen
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him
and ^cc++++=and
Molly ^np++++=Molly,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
passed ^vbd+++xvbnx+=passed
the ^ati++++=the
spot ^nn++++=spot,
, ^zz++++=EXTRAWORD
whistling ^jj++++=whistling
the ^ati++++=the
air ^nn++++=air
of ^in++++=of
a ^at++++=a
song ^nn++++=song,
, ^zz++++=EXTRAWORD
composed ^xvbn+++xvbn+=composed
by ^in++++=by
the ^ati++++=the
minstrel ^nn++++=minstrel
Walter ^np++++=Walter,
, ^zz++++=EXTRAWORD
called ^j+++xvbn+=called
the ^ati++++=the
" ^zz++++="Willow
willow ^nn++++=EXTRAWORD
bird ^nn++++=bird,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
beginning ^vbg+++xvbg+=beginning
One ^cd1++++=One
stanza ^nn+++??+=stanza
pleased ^vbd+++xvbn+=pleased
him ^pp3o+pp3+++=him
exceedingly ^rb++++=exceedingly
This ^dt+dem+++=This
song ^nn++++=song
was ^vbd+bedz+vrb++=was
often ^rb++++=often
in ^in++++=in
his ^pp$+pp3+++=his
mouth ^nn++++=mouth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
sung ^vbd+++xvbnx+=sung
or ^cc+phrs+++=or
whistled ^vbd+++xvbn+=whistled
it ^pp3+it+++=it
on ^in++++=on
a ^at++++=a
moonlight ^nn++++=moonlight
night ^nn++++=night,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
rode ^vbd+++xvbnx+=rode
on ^in++++=on
horseback ^nn++++=horseback
along ^in++++=along
the ^ati++++=the
deep ^jj+atrb+++=deep,
, ^zz++++=EXTRAWORD
hollow ^jj+atrb+++=hollow
way ^nn++++=way,
, ^zz++++=EXTRAWORD
on ^in++++=on
his ^pp$+pp3+++=his
road ^nn++++=road
to ^in++++=to
Weimar ^np+++??+=Weimar,
, ^zz++++=EXTRAWORD
to ^to++++=to
visit ^vbi++++=visit
Molly ^np++++=Molly.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wished ^vbd+vprv++xvbnx+=wished
to ^to+vcmp+++=to
arrive ^vbi++++=arrive
unexpectedly ^rb+cnj+++=unexpectedly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
indeed ^qlp++++=indeed
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
received ^vpsv++agls+xvbnx+=received
with ^in++++=with
a ^at++++=a
hearty ^jj+atrb+++=hearty
welcome ^nn++++=welcome,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
introduced ^vpsv++agls+xvbn+=introduced
to ^in++++=to
plenty ^nn++++=plenty
of ^in++++=of
grand ^jj+atrb+++=grand
and ^cc+phrs+++=and
pleasant ^jj+atrb+++=pleasant
company ^nn++++=company,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
overflowing ^vbg+++xvbg+=overflowing
winecups ^nns+++??+=winecups
were ^vbd+bed+aux++=were
passed ^vpsv++agls+xvbnx+=passed
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
A ^at++++=A
pretty ^jj+atrb+++=pretty
room ^nn++++=room
and ^cc++++=and
a ^at++++=a
good ^jj+atrb+++=good
bed ^nn++++=bed
were ^vbd+bed+aux++=were
provided ^vpsv++agls+xvbnx+=provided
for ^in+ppvb+++=for
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
his ^pp$+pp3+++=his
reception ^nn+nom+++=reception
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
expected ^vprf+++xvbnx+=expected
and ^cc+phrs+++=and
dreamed ^vbd+vprv+tht0+xvbn+=dreamed
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
not ^xnot++not++=not
comprehend ^vb+++??+=comprehend
his ^pp$+pp3+++=his
own ^ap++++=own
feelings ^nns+nom+++=feelings
nor ^cc++neg++=nor
the ^ati++++=the
feelings ^nns+nom+++=feelings
of ^in++++=of
others ^aps++++=others;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
easily ^rb++splt++=easily
understood ^vpsv++agls+xvbnx+=understood
how ^wrb+who+whcl++=how
a ^at++++=a
person ^nn++++=person
can ^md+pos+++=can
be ^vb+be+aux++=be
admitted ^vpsv++agls+xvbnx+=admitted
into ^in++++=into
a ^at++++=a
house ^nn++++=house
or ^cc++++=or
a ^at++++=a
family ^nn++++=family
without ^in++++=without
becoming ^xvbg+++xvbg+=becoming
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
converse ^nn++++=converse
in ^in++++=in
company ^nn++++=company
with ^in++++=with
those ^dt+dem+++=those
we ^pp1a+pp1+++=we
meet ^vb++++=meet,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
converse ^nn++++=converse
with ^in++++=with
our ^pp$+pp1+++=our
fellow ^jjb++++=fellow-travellers
- ^zz++++=EXTRAWORD
travellers ^nns+nom+++=EXTRAWORD
in ^in++++=in
a ^at++++=a
stage ^nn++++=stage-coach,
- ^zz++++=EXTRAWORD
coach ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
on ^in++++=on
a ^at++++=a
journey ^nn++++=journey;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
know ^vb+vprv+tht0++=know
nothing ^pn++++=nothing
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
perhaps ^rb++++=perhaps
all ^rb++++=all
the ^ati++++=the
while ^cs+sub+++=while
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
incommoding ^vbg+++xvbgx+=incommoding
one ^cd1++++=one
another ^dt++++=another,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
each ^dt++++=each
is ^vbz+bez+aux++=is
wishing ^vbg+++xvbgx+=wishing
himself ^ppl+pp3+++=himself
or ^cc++++=or
his ^pp$+pp3+++=his
neighbor ^nn++++=neighbor
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Something ^pn++++=Something
of ^in++++=of
this ^dt+dem+++=this
kind ^nn++++=kind
Anthony ^np++++=Anthony
felt ^vbd+vprv++xvbn+=felt
when ^wrb+who+whcl++=when
Molly ^np++++=Molly
talked ^vbd+++xvbn+=talked
to ^in++++=to
him ^pp3o+pp3+++=him
of ^in++++=of
old ^jj+atrb+++=old
times ^nns++++=times.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
a ^at++++=a
straightforward ^jj+atrb+++=straightforward
girl ^nn++++=girl,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
tell ^vb++++=tell
you ^pp2+pp2+++=you
myself ^ppl+pp1+++=myself
how ^wrb+who+++=how
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
great ^jj+atrb+++=great
changes ^nns++++=changes
since ^cs+sub+++=since
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
children ^nns++++=children
together ^nn+nom+++=together;
; ^zz++++=EXTRAWORD
everything ^pn++++=everything
is ^vbz+bez+vrb++=is
different ^jj+pred+++=different,
, ^zz++++=EXTRAWORD
both ^abx++++=both
inwardly ^rb++++=inwardly
and ^cc+phrs+++=and
outwardly ^rb++++=outwardly.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
cannot ^md+pos+not++=cannot
control ^vb++++=control
our ^pp$+pp1+++=our
wills ^nns++++=wills,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
the ^ati++++=the
feelings ^nns+nom+++=feelings
of ^in++++=of
our ^pp$+pp1+++=our
hearts ^nns++++=hearts,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
force ^nn++++=force
of ^in++++=of
custom ^nn++++=custom.
. ^zz++++=EXTRAWORD
Anthony ^np++++=Anthony,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
make ^vb++++=make
an ^at++++=an
enemy ^nn++++=enemy
of ^in++++=of
you ^pp2+pp2+++=you
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
far ^rb+pl+++=far
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Believe ^vb+vprv+++=Believe
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
entertain ^vb++++=entertain
for ^in++++=for
you ^pp2+pp2+++=you
the ^ati++++=the
kindest ^jjt+atrb+++=kindest
wishes ^nns++++=wishes
in ^in++++=in
my ^pp$+pp1+++=my
heart ^nn++++=heart;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^to++++=to
feel ^vbi+vprv+++=feel
for ^in+ppvb+++=for
you ^pp2+pp2+++=you
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
now ^rn+tm+++=now
know ^vb+vprv+++=know
can ^md+pos+++=can
be ^vb+be+aux++=be
felt ^vpsv++agls+xvbnx+=felt
for ^in+ppvb+++=for
another ^dt++++=another
man ^nn++++=man,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
never ^rb++++=never
be ^vb+be+vrb++=be.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must
try ^vb++++=try
and ^cc+phrs+++=and
reconcile ^vb++++=reconcile
yourself ^ppl+pp2+++=yourself
to ^in++++=to
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
Farewell ^nn++++=Farewell,
, ^zz++++=EXTRAWORD
Anthony ^np++++=Anthony."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Anthony ^np++++=Anthony
also ^rb++++=also
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Farewell."
farewell ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
a ^at++++=a
tear ^nn++++=tear
came ^vbd+++xvbn+=came
into ^in+ppvb+++=into
his ^pp$+pp3+++=his
eye ^nn++++=eye;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
felt ^vbd+vprv+tht0+xvbnx+=felt
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
no ^at++++=no
longer ^rbr++++=longer
Molly ^np++++=Molly's
's ^$++++=EXTRAWORD
friend ^nn++++=friend.
. ^zz++++=EXTRAWORD
Hot ^jj+atrb+++=Hot
iron ^nn++++=iron
and ^cc++++=and
cold ^jj+atrb+++=cold
iron ^nn++++=iron
alike ^rb++++=alike
take ^vb++++=take
the ^ati++++=the
skin ^nn++++=skin
from ^in++++=from
our ^pp$+pp1+++=our
lips ^nns++++=lips,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
feel ^vb+vprv+++=feel
the ^ati++++=the
same ^ap++++=same
sensation ^nn+nom+++=sensation
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
kiss ^vb++++=kiss
either ^dtx++++=either;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Anthony ^np++++=Anthony's
's ^$++++=EXTRAWORD
kiss ^vb++++=kiss
was ^vbd+bedz+vrb++=was
now ^rn+tm+++=now
the ^ati++++=the
kiss ^nn++++=kiss
of ^in++++=of
hatred ^nn++++=hatred,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
kiss ^nn++++=kiss
of ^in++++=of
love ^nn++++=love.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
four ^cd++++=four-and-twenty
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
twenty ^cd++++=EXTRAWORD
hours ^nns++++=hours
Anthony ^np++++=Anthony
was ^vbd+bedz+vrb++=was
back ^jjb+pred+++=back
again ^rb+tm+++=again
to ^in++++=to
Eisenach ^np+++??+=Eisenach,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
horse ^nn++++=horse
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
rode ^vbd+++xvbnx+=rode
was ^vbd+bedz+aux++=was
entirely ^rb+amp+splt++=entirely
ruined ^vpsv++agls+xvbnx+=ruined.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
matters ^nns+nom+++=matters
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he;
; ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
ruined ^vpsv++agls+xvbnx+=ruined
also ^rb++++=also.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
destroy ^vb++++=destroy
everything ^pn++++=everything
that ^dt+pdem+++=that
can ^md+pos+++=can
remind ^vb++++=remind
me ^pp1o+pp1+++=me
of ^in++++=of
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
of ^in++++=of
Lady ^nn++++=Lady
Halle ^np+++??+=Halle,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Lady ^nn++++=Lady
Venus ^np++++=Venus,
, ^zz++++=EXTRAWORD
the ^ati++++=the
heathen ^jj+atrb+++=heathen
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
break ^vb++++=break
down ^rp++++=down
the ^ati++++=the
apple ^nn++++=apple-tree,
- ^zz++++=EXTRAWORD
tree ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tear ^nn++++=tear
it ^pp3+it+++=it
up ^rp++++=up
by ^in++++=by
the ^ati++++=the
roots ^nns++++=roots;
; ^zz++++=EXTRAWORD
never ^rb++++=never
more ^ql++++=more
shall ^md+prd+++=shall
it ^pp3+it+++=it
blossom ^vb++++=blossom
or ^cc++++=or
bear ^nn++++=bear
fruit ^nn++++=fruit."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
apple ^nn++++=apple-tree
- ^zz++++=EXTRAWORD
tree ^nn++++=EXTRAWORD
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
broken ^vbd+++xvbn+=broken
down ^rp++++=down;
; ^zz++++=EXTRAWORD
for ^in++++=for
Anthony ^np++++=Anthony
himself ^ppl+pp3+++=himself
was ^vbd+bedz+aux++=was
struck ^vpsv++agls+xvbnx+=struck
with ^in++++=with
a ^at++++=a
fever ^nn++++=fever,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
caused ^vbd+++xvbn+=caused
him ^pp3o+pp3+++=him
to ^to++++=to
break ^vbi++++=break
down ^rp++++=down,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
confined ^jj+++xvbn+=confined
him ^pp3o+pp3+++=him
to ^in++++=to
his ^pp$+pp3+++=his
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
something ^pn++++=something
occurred ^vbd+++xvbn+=occurred
to ^to++++=to
raise ^vbi++++=raise
him ^pp3o+pp3+++=him
up ^rp++++=up
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
was ^vbd+bedz+aux++=was
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
A ^at++++=A
medicine ^nn++++=medicine
was ^vbd+bedz+aux++=was
offered ^vpsv++agls+xvbnx+=offered
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
obliged ^jj++agls+xvbnx+=obliged
to ^to+jcmp+++=to
take ^vbi++++=take:
: ^zz++++=EXTRAWORD
a ^at++++=a
bitter ^nn++++=bitter
remedy ^vb++++=remedy,
, ^zz++++=EXTRAWORD
at ^in++++=at
which ^whp+rel+pied++=which
the ^ati++++=the
sick ^jj+atrb+++=sick
body ^nn++++=body
and ^cc++++=and
the ^ati++++=the
oppressed ^jj+atrb+++=oppressed
spirit ^nn++++=spirit
alike ^rb++++=alike
shuddered ^vbd+++xvbn+=shuddered.
. ^zz++++=EXTRAWORD
Anthony ^np++++=Anthony's
's ^$++++=EXTRAWORD
father ^npt++++=father
lost ^vbd+++xvbn+=lost
all ^abn++++=all
his ^pp$+pp3+++=his
property ^nn++++=property,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
from ^in++++=from
being ^nn+nn+aux++=being
known ^vbd+vprv++xvbn+=known
as ^ql++++=as
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
richest ^jjt+atrb+++=richest
merchants ^nns+nom+++=merchants,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
became ^vbd+++xvbnx+=became
very ^ql+amp+++=very
poor ^jj++++=poor.
. ^zz++++=EXTRAWORD
Dark ^jj+atrb+++=Dark
days ^nns++++=days,
, ^zz++++=EXTRAWORD
heavy ^jj+atrb+++=heavy
trials ^nns++++=trials,
, ^zz++++=EXTRAWORD
with ^in++++=with
poverty ^nn++++=poverty
at ^in++++=at
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
rolling ^jj+++xvbg+=rolling
into ^in++++=into
the ^ati++++=the
house ^nn++++=house
upon ^in++++=upon
them ^pp3o+pp3+++=them
like ^in++++=like
the ^ati++++=the
waves ^nns++++=waves
of ^in++++=of
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
Sorrow ^nn++++=Sorrow
and ^cc++++=and
suffering ^xvbg+++xvbg+=suffering
deprived ^xvbn+++xvbn+=deprived
Anthony ^np++++=Anthony's
's ^$++++=EXTRAWORD
father ^nn++++=father
of ^in++++=of
his ^pp$+pp3+++=his
strength ^nn++++=strength,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
something ^pn++++=something
else ^rb+cnj+++=else
to ^to++++=to
think ^vbi+vprv+++=think
of ^in++++=of
besides ^rb+cnj+++=besides
nursing ^nn++++=nursing
his ^pp$+pp3+++=his
love ^nn++++=love-sorrows
- ^zz++++=EXTRAWORD
sorrows ^nns++++=EXTRAWORD
and ^cc++++=and
his ^pp$+pp3+++=his
anger ^nn++++=anger
against ^in++++=against
Molly ^np++++=Molly.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^md"++pmd"++=had
to ^md+nec+++=to
take ^vb++++=take
his ^pp$+pp3+++=his
father ^nn++++=father's
's ^$++++=EXTRAWORD
place ^nn++++=place,
, ^zz++++=EXTRAWORD
to ^to++++=to
give ^vbi++++=give
orders ^nns++++=orders,
, ^zz++++=EXTRAWORD
to ^in++++=to
act ^nn++++=act
with ^in++++=with
energy ^nn++++=energy,
, ^zz++++=EXTRAWORD
to ^to++++=to
help ^vbi++++=help,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
to ^to++++=to
go ^vbi++++=go
out ^rp+pl+++=out
into ^in++++=into
the ^ati++++=the
world ^nn++++=world
and ^cc++++=and
earn ^vb++++=earn
his ^pp$+pp3+++=his
bread ^nn++++=bread.
. ^zz++++=EXTRAWORD
Anthony ^np++++=Anthony
went ^vbd+++xvbn+=went
to ^in++++=to
Bremen ^np+++??+=Bremen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there
he ^pp3a+pp3+++=he
learnt ^vbd+vprv++xvbnx+=learnt
what ^wdt+who+whcl++=what
poverty ^nn++++=poverty
and ^cc++++=and
hard ^jj++++=hard
living ^jj+++xvbg+=living
really ^rb+emph+++=really
were ^vbd+bed+vrb++=were.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
things ^nns++++=things
often ^rb++++=often
harden ^vb+++xvbn+=harden
the ^ati++++=the
character ^nn+nom+++=character,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
sometimes ^rb++++=sometimes
soften ^vb++++=soften
the ^ati++++=the
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
even ^rb++++=even
too ^ql++++=too
much ^ap++++=much.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
different ^jj++++=different
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
people ^nn++++=people
in ^in++++=in
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
appeared ^vb+++xvbn+=appeared
to ^to+vcmp+++=to
Anthony ^vbi++++=Anthony
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
to ^to++++=to
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
thought ^vprf+++xvbnx+=thought
in ^in++++=in
his ^pp$+pp3+++=his
childhood ^nn+nom+++=childhood!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What
to ^in++++=to
