Did ^vbd+dod+aux++=Did
glanced ^vbd+++xvbnx+=glanced
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
cuckoo ^nn++++=cuckoo
caught ^vbd+++xvbn+=caught
him ^pp3o+pp3+++=him
squarely ^rb++++=squarely
in ^in++++=in
the ^ati++++=the
eye ^nn++++=eye.
. ^zz++++=EXTRAWORD
Down ^rp++++=Down
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went,
, ^zz++++=EXTRAWORD
hammer ^nn++++=hammer
and ^cc++++=and
chair ^nn++++=chair
and ^cc++++=and
everything ^pn++++=everything,
, ^zz++++=EXTRAWORD
hitting ^vbg+++xvbg+=hitting
the ^ati++++=the
floor ^nn++++=floor
with ^in++++=with
a ^at++++=a
tremendous ^jj+atrb+++=tremendous
crash ^nn++++=crash.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
moment ^nn++++=moment
the ^ati++++=the
cuckoo ^nn++++=cuckoo
paused ^vbd+++xvbn+=paused,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
small ^jj+atrb+++=small
body ^nn++++=body
poised ^vbd+++xvbn+=poised
rigidly ^rb++++=rigidly.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
it ^pp3+it+++=it
went ^vbd+++xvbn+=went
back ^rp++++=back
inside ^jjb++++=inside
its ^pp$+it+++=its
house ^nn++++=house.
. ^zz++++=EXTRAWORD
The ^ati++++=The
door ^nn++++=door
snapped ^vbd+++xvbn+=snapped
tight ^jj++++=tight-shut
- ^zz++++=EXTRAWORD
shut ^vbd+++xvbn+=EXTRAWORD
after ^in++++=after
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
lay ^vbd+++xvbn+=lay
on ^rb+phrv+++=on
the ^ati++++=the
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
stretched ^xvbn+++xvbn+=stretched
out ^rp+pl+++=out
grotesquely ^rb+cnj+++=grotesquely,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
head ^jjb++++=head
bent ^jj+++xvbn+=bent
over ^in++++=over
to ^to++++=to
one ^cd1++++=one
side ^nn++++=side.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
moved ^vbd+++xvbn+=moved
or ^cc+phrs+++=or
stirred ^vbd+++xvbn+=stirred.
. ^zz++++=EXTRAWORD
The ^ati++++=The
room ^nn++++=room
was ^vbd+bedz+vrb++=was
completely ^rb+amp+++=completely
silent ^jj+pred+++=silent,
, ^zz++++=EXTRAWORD
except ^in+strn+++=except,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
ticking ^jj+++xvbg+=ticking
of ^in++++=of
the ^ati++++=the
clock ^nn++++=clock.
. ^zz++++=EXTRAWORD
***** ^nn+++??+=*****
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
see ^vb+vprv+++=see,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Doris ^np++++=Doris
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
face ^nn++++=face
tight ^jj++++=tight.
. ^zz++++=EXTRAWORD
Bob ^np++++=Bob
put ^vbd+++xvbn+=put
his ^pp$+pp3+++=his
arm ^vb++++=arm
around ^rp++++=around
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
steadying ^jj++++=steadying
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="Doctor,"
doctor ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Bob ^np++++=Bob
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="can
can ^md+pos+++=EXTRAWORD
I ^pp1a+pp1+++=I
ask ^vb++++=ask
you ^pp2+pp2+++=you
something ^pn++++=something?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
doctor ^nn++++=doctor
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
it ^pp3+it+++=it
very ^ql+amp+++=very
easy ^jj++++=easy
to ^to+jcmp+++=to
break ^vbi++++=break
your ^pp$+pp2+++=your
neck ^nn++++=neck,
, ^zz++++=EXTRAWORD
falling ^nvbg+++xvbg+=falling
from ^in++++=from
so ^rb+emph+++=so
low ^jj++++=low
a ^at++++=a
chair ^nn++++=chair?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
very ^ql+amp+++=very
far ^rb+pl+++=far
to ^to++++=to
fall ^vbi++++=fall.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wonder ^vb++++=wonder
if ^cs+cnd+++=if
it ^pp3+it+++=it
might ^md+pos+++=might
not ^xnot++not++=not
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
an ^at++++=an
accident ^nn++++=accident.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
there ^rn+pl+++=there
any ^dti++++=any
chance ^nn++++=chance
it ^pp3+it+++=it
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
" ^zz++++="
" ^zz++++="Suicide?"
suicide ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
doctor ^nn++++=doctor
rubbed ^vbd+++xvbn+=rubbed
his ^pp$+pp3+++=his
jaw ^nn++++=jaw.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
never ^rb++++=never
heard ^vbd+vprv++xvbn+=heard
of ^in++++=of
anyone ^pn++++=anyone
committing ^jj+atrb++xvbg+=committing
suicide ^nn++++=suicide
that ^tht+rel+obj++=that
way ^nn++++=way.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
an ^at++++=an
accident ^nn++++=accident;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
positive ^jj+pred+++=positive."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
mean ^jj+atrb+++=mean
suicide ^nn++++=suicide,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Bob ^np++++=Bob
murmured ^vbd+++xvbn+=murmured
under ^in++++=under
his ^pp$+pp3+++=his
breath ^nn++++=breath,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
up ^rp++++=up
at ^in++++=at
the ^ati++++=the
clock ^nn++++=clock
on ^in++++=on
the ^ati++++=the
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
meant ^vbd+vprv+tht0+xvbnx+=meant
something ^pn++++=something
else ^rb+cnj+++=else."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
but ^cc++++=But
no ^at++++=no
one ^cd1++++=one
heard ^vbd+vprv++xvbn+=heard
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
