' ^zz++++='Way
, ^zz++++=EXTRAWORD
sensible ^jj+atrb+++=sensible
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
looked ^vprf+++xvbnx+=looked
upon ^in++++=upon
some ^dti++++=some
of ^in++++=of
her ^pp$+pp3+++=her
mates ^nns++++=mates
and ^cc++++=and
their ^pp$+pp3+++=their
fleeting ^jj+atrb+++=fleeting
love ^nn++++=love-affairs
- ^zz++++=EXTRAWORD
affairs ^nns++++=EXTRAWORD
with ^in++++=with
grave ^nn++++=grave
wonder ^vb++++=wonder.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
eligible ^jj+atrb+++=eligible
young ^jj+atrb+++=young
men ^nns++++=men
used ^vwbn+++xvbn+=used
to ^in++++=to
eye ^nn++++=eye
her ^pp$+pp3+++=her
in ^in++++=in
church ^nn++++=church
and ^cc++++=and
look ^nn++++=look
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
passed ^vbd+++xvbnx+=passed
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she
never ^rb++++=never
knew ^vbd+vprv+tht0+xvbn+=knew
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
call ^vbi++++=call
on ^in+ppvb+++=on
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
venture ^nn++++=venture.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
went ^vbd+++xvbnx+=went
out ^rp+pl+++=out
seldom ^rb++++=seldom.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
one ^cd1++++=one
girl ^nn++++=girl
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
whom ^whp+rel+obj++=whom
she ^pp3a+pp3+++=she
used ^md"++pmd"++=used
to ^to++++=to
visit ^vb++++=visit
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
running ^jj+++xvbg+=running
in ^in++++=in
of ^in++++=of
an ^at++++=an
afternoon ^nn++++=afternoon
with ^in++++=with
her ^pp$+pp3+++=her
work ^nn++++=work.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
lived ^vbd+++xvbnx+=lived
quite ^rb++++=quite
near ^in+strn+++=near,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
name ^nn++++=name
was ^vbd+bedz+vrb++=was
Ellen ^np++++=Ellen
Ives ^np+++??+=Ives.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
a ^at++++=a
plain ^nn++++=plain,
, ^zz++++=EXTRAWORD
silent ^jj+atrb+++=silent
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
spring ^vb++++=spring
when ^wrb+who+++=when
Ada ^np+++??+=Ada
came ^vbd+++xvbn+=came
to ^to++++=to
enjoy ^vbi++++=enjoy
her ^pp$+pp3+++=her
legacy ^nn++++=legacy.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
worked ^vbd+++xvbnx+=worked
in ^in++++=in
her ^pp3o+pp3+++=her
garden ^npl++++=garden
a ^at++++=a
good ^jj+atrb+++=good
deal ^nn++++=deal.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
hired ^vbd+++xvbnx+=hired
a ^at++++=a
man ^nn++++=man
to ^in++++=to
plant ^nn++++=plant
vegetables ^nns++++=vegetables,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
she ^pp3a+pp3+++=she
weeded ^vbd+++xvbnx+=weeded
and ^cc+phrs+++=and
tended ^vbd+++xvbn+=tended
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vbd+++xvbn+=made
a ^at++++=a
flower ^nn++++=flower
garden ^nn++++=garden
for ^in++++=for
herself ^ppl+pp3+++=herself.
. ^zz++++=EXTRAWORD
The ^ati++++=The
box ^nn++++=box-border
- ^zz++++=EXTRAWORD
border ^nn++++=EXTRAWORD
of ^in++++=of
Angeline ^np++++=Angeline's
's ^$++++=EXTRAWORD
old ^jj+atrb+++=old
flower ^nn++++=flower
garden ^nn++++=garden
still ^rb++++=still
remained ^vbd+++xvbn+=remained,
, ^zz++++=EXTRAWORD
outlining ^vbg+++xvbg+=outlining
vigorously ^rb++++=vigorously
the ^ati++++=the
heart ^nn++++=heart
and ^cc++++=and
diamond ^nn++++=diamond
shaped ^vbd+++xvbn+=shaped
beds ^nns++++=beds,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
pinks ^nns+++??+=pinks
and ^cc++++=and
marigolds ^vbz+++??+=marigolds
used ^md"++pmd"++=used
to ^to++++=to
grow ^vb++++=grow.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
of ^in++++=of
the ^ati++++=the
hardy ^jj+atrb+++=hardy
perennials ^nns+nom+++=perennials
came ^vbd+++xvbn+=came
bravely ^rb++++=bravely
again ^rb+tm+++=again
this ^dt+dem+++=this
spring ^nn++++=spring.
. ^zz++++=EXTRAWORD
Angeline ^np++++=Angeline's
's ^$++++=EXTRAWORD
flowering ^nn++++=flowering
almonds ^nns++++=almonds
and ^cc++++=and
blue ^jj+atrb+++=blue
columbine ^nn+++??+=columbine
and ^cc++++=and
spider ^nn++++=spider-lilies
- ^zz++++=EXTRAWORD
lilies ^nns++++=EXTRAWORD
blossomed ^vbd+++xvbn+=blossomed
out ^rp+pl+++=out
to ^in++++=to
her ^pp$+pp3+++=her
memory ^nn++++=memory.
. ^zz++++=EXTRAWORD
The ^ati++++=The
small ^jj+atrb+++=small
front ^jjb+atrb+++=front
yard ^nn++++=yard
was ^vbd+bedz+vrb++=was
all ^abn++++=all
taken ^jj+++xvbn+=taken
up ^rp++++=up
by ^in++++=by
the ^ati++++=the
flower ^nn++++=flower
garden ^nn++++=garden.
. ^zz++++=EXTRAWORD
The ^ati++++=The
vegetable ^nn++++=vegetable
garden ^nn++++=garden
lay ^vbd+++xvbn+=lay
behind ^in+ppvb+++=behind
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
A ^at++++=A
row ^nn++++=row
of ^in++++=of
lusty ^jj+atrb+++=lusty
currant ^nn+nom+++=currant
bushes ^nns++++=bushes
divided ^vwbn+++xvbn+=divided
Ada ^np++++=Ada's
's ^$++++=EXTRAWORD
land ^nn++++=land
on ^in++++=on
one ^cd1++++=one
side ^nn++++=side
from ^in++++=from
a ^at++++=a
neighbor ^nn++++=neighbor's.
's. ^nn+++??+=EXTRAWORD
One ^cd1++++=One
afternoon ^nn++++=afternoon
she ^pp3a+pp3+++=she
stood ^vbd+++xvbnx+=stood
at ^rb++++=at
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
picking ^vbg+++xvbg+=picking
some ^dti++++=some
currants ^nns+nom+++=currants
for ^in++++=for
her ^pp$+pp3+++=her
tea ^nn++++=tea.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
methodical ^jj+pred+++=methodical
in ^in++++=in
her ^pp$+pp3+++=her
habits ^nns++++=habits.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
her ^pp$+pp3+++=her
little ^jj++++=little
white ^jj++++=white-covered
- ^zz++++=EXTRAWORD
covered ^jj+atrb++xvbn+=EXTRAWORD
table ^nn++++=table
set ^vbd+++xvbn+=set
against ^in+ppvb+++=against
the ^ati++++=the
kitchen ^nn++++=kitchen
wall ^nn++++=wall
for ^in++++=for
her ^pp$+pp3+++=her
solitary ^jj+atrb+++=solitary
meal ^nn++++=meal,
, ^zz++++=EXTRAWORD
three ^cd++++=three
times ^nns++++=times
a ^at++++=a
day ^nn++++=day,
, ^zz++++=EXTRAWORD
after ^in++++=after
Angeline ^np++++=Angeline's
's ^$++++=EXTRAWORD
old ^jj+atrb+++=old
fashion ^nn++++=fashion.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
out ^rp+pl+++=out
Angeline ^np++++=Angeline's
's ^$++++=EXTRAWORD
silver ^nn++++=silver
spoons ^nns++++=spoons,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
blue ^jj++++=blue-and-white
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
white ^jj+atrb+++=EXTRAWORD
ware ^nn++++=ware,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
Brittania ^np+++??+=Brittania
teapot ^nn++++=teapot.
. ^zz++++=EXTRAWORD
The ^ati++++=The
currants ^nns+nom+++=currants
were ^vbd+bed+aux++=were
growing ^vbg+++xvbgx+=growing
scanty ^jj++++=scanty
on ^in++++=on
the ^ati++++=the
bushes ^nns++++=bushes.
. ^zz++++=EXTRAWORD
Ada ^np+++??+=Ada
had ^md"++pmd"++=had
to ^md+nec+++=to
pick ^vb++++=pick
here ^rn+pl+++=here
and ^cc++++=and
there ^rn+pl+++=there
as ^ql++++=as
she ^pp3a+pp3+++=she
could ^md+pos+++=could.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
come ^vprf+++xvbn+=come
over ^in++++=over
this ^dt+dem+++=this
side ^nn++++=side,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
find ^vb+vprv+++=find
them ^pp3o+pp3+++0='em
thick ^jj++++=thick,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
a ^at++++=a
voice ^nn++++=voice
suddenly ^rb++++=suddenly.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
started ^vbd+++xvbnx+=started
violently ^rb++++=violently.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
mean ^vb+vprv+++=mean
to ^to+vcmp+++=to
scare ^vbi++++=scare
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ended ^vpsv++agls+xvbn+=ended
in ^in++++=in
a ^at++++=a
kindly ^rb++++=kindly
laugh ^nn++++=laugh.
. ^zz++++=EXTRAWORD
Ada ^np+++??+=Ada
saw ^vbd+vprv++xvbn+=saw
Sylvester ^np+nom++??+=Sylvester
Noble ^jj++++=Noble
standing ^jj+++xvbg+=standing
under ^in++++=under
an ^at++++=an
old ^jj+atrb+++=old
apple ^nn++++=apple
tree ^nn++++=tree
on ^in++++=on
his ^pp$+pp3+++=his
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
bushes ^nns++++=bushes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
apple ^nn++++=apple
tree ^nn++++=tree
was ^vbd+bedz+vrb++=was
old ^jj+pred+++=old
and ^cc+phrs+++=and
scraggly ^jj++++=scraggly.
. ^zz++++=EXTRAWORD
Half ^abn++++=Half
of ^in++++=of
the ^ati++++=the
branches ^nns++++=branches
were ^vbd+bed+vrb++=were
dead ^jj+pred+++=dead
and ^cc+phrs+++=and
covered ^jj+++xvbn+=covered
with ^in++++=with
gray ^np++++=gray
moss ^np++++=moss.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
dipped ^vbd+++xvbnx+=dipped
down ^rp++++=down
into ^in++++=into
the ^ati++++=the
grass ^nn++++=grass.
. ^zz++++=EXTRAWORD
The ^ati++++=The
grass ^nn++++=grass
was ^vbd+bedz+vrb++=was
tall ^jj+pred+++=tall
and ^cc+phrs+++=and
bending ^jj+++xvbg+=bending,
, ^zz++++=EXTRAWORD
the ^ati++++=the
daisies ^nns++++=daisies
and ^cc++++=and
buttercups ^nns++++=buttercups
were ^vbd+bed+vrb++=were
as ^ql++++=as
high ^np++++=high
as ^ql++++=as
the ^ati++++=the
grass ^nn++++=grass.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
and ^cc++++=and
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
some ^dti++++=some
little ^jj+atrb+++=little
bushes ^nns++++=bushes
of ^in++++=of
pink ^jj+atrb+++=pink
roses ^nns++++=roses,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
looked ^vbd+++xvbn+=looked
half ^abn++++=half
smothered ^jj+++xvbn+=smothered.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^rb++++=a
little ^rb"++++=little
furrow ^nn+++??+=furrow
of ^in++++=of
prostrate ^jj+atrb+++=prostrate
flowers ^nns+nom+++=flowers
which ^whp+rel+obj++=which
marked ^jj+++xvbn+=marked
Sylvester ^np+nom+++=Sylvester's
's ^$++++=EXTRAWORD
track ^nn++++=track
from ^in++++=from
the ^ati++++=the
house ^nn++++=house-door.
- ^zz++++=EXTRAWORD
door ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
tall ^jj+pred+++=tall
and ^cc+phrs+++=and
sinewy ^jj++++=sinewy;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
head ^nn++++=head,
, ^zz++++=EXTRAWORD
with ^in++++=with
its ^pp$+it+++=its
yellow ^jj+atrb+++=yellow
hair ^nn++++=hair
and ^cc++++=and
yellow ^nn++++=yellow,
, ^zz++++=EXTRAWORD
straggling ^jj+atrb+++=straggling
beard ^nn++++=beard,
, ^zz++++=EXTRAWORD
towered ^j+++xvbn+=towered
up ^rp++++=up
among ^in++++=among
the ^ati++++=the
apple ^nn++++=apple
boughs ^nns++++=boughs.
. ^zz++++=EXTRAWORD
Ada ^np+++??+=Ada
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him
hesitatingly ^rb++++=hesitatingly.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
knew ^vbd+vprv++xvbnx+=knew
who ^whp+wpr+whcl++=who
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
never ^rb++splt++=never
spoken ^vprf+++xvbnx+=spoken
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="You'd
you ^pp2+pp2+++=EXTRAWORD
'd ^md"+hvd+pmd"++0=EXTRAWORD
better ^md++++=better
come ^vprf+++xvbn+=come
over ^in++++=over
this ^dt+dem+++=this
side ^nn++++=side.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
have ^vb+hv+aux++=haven't
n't ^xnot++not++0=EXTRAWORD
been ^vprf+ben+aux+xvbn+=been
touched ^vpsv++agls+xvbnx+=touched
here ^rn+pl+++=here."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Thank
thank ^vb++++=EXTRAWORD
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
right ^jj++++=right
through ^in++++=through
here ^rn+pl+++=here."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ada ^np+++??+=Ada
found ^vbd+vprv++xvbn+=found
herself ^ppl+pp3+++=herself
in ^in++++=in
Sylvester ^np+nom++??+=Sylvester
Noble ^np++++=Noble's
's ^$++++=EXTRAWORD
yard ^nn++++=yard.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
began ^vbd+++xvbnx+=began
picking ^vbg+++xvbg+=picking
the ^ati++++=the
currants ^nns+nom+++=currants
confusedly ^rb++++=confusedly.
. ^zz++++=EXTRAWORD
Sylvester ^np+nom++??+=Sylvester
stood ^vbd+++xvbn+=stood
watching ^vbg+++xvbg+=watching
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
get ^vb++++=get
them ^pp3o+pp3+++0='em
before ^in++++=before?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
but ^cc++++=but
they ^pp3a+pp3+++=they
belonged ^vbd+++xvbnx+=belonged
to ^in++++=to
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Course
course ^nn++++=EXTRAWORD
they ^pp3a+pp3+++=they
do ^vb+do+vrb++=don't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They're
're ^vb+ber+vrb++0=EXTRAWORD
your ^pp$+pp2+++=your
bushes ^nns++++=bushes."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Ada ^np++++=Ada's
's ^$++++=EXTRAWORD
little ^ap++++=little
dish ^nn++++=dish
was ^vbd+bedz+vrb++=was
full ^jj+pred+++=full,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
looked ^vbd+++xvbnx+=looked
up ^rp++++=up
in ^in++++=in
Sylvester ^np+nom+++=Sylvester's
's ^$++++=EXTRAWORD
face ^nn++++=face
timidly ^jj++++=timidly
before ^cs+sub+++=before
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
through ^in++++=through
into ^in++++=into
her ^pp$+pp3+++=her
own ^ap++++=own
yard ^nn++++=yard.
. ^zz++++=EXTRAWORD
" ^zz++++="Thank
thank ^vb++++=EXTRAWORD
you ^pp2+pp2+++=you
for ^in++++=for
telling ^xvbg+++xvbg+=telling
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
welcome ^jj+pred+++=welcome.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
ask ^vbi++++=ask
you ^pp2+pp2+++=you
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
ever ^rb++++=ever
feel ^vb+vprv+++=feel
afraid ^jj++++=afraid,
, ^zz++++=EXTRAWORD
alone ^rb++++=alone
there ^rn+pl+++=there
in ^in++++=in
the ^ati++++=the
house ^nn++++=house?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
much ^rb++++=much."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
any ^dti++++=any
of ^in++++=of
my ^pp$+pp1+++=my
business ^nns+nom+++=business,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
have ^vb+hv+vrb++=haven't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
got ^vbd+++xvbn+=got
any ^dti++++=any
folks ^nns++++=folks
that ^tht+rel+subj++=that
could ^md+pos+++=could
come ^vb++++=come
and ^cc+phrs+++=and
live ^vb++++=live
with ^in+ppvb+++=with
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=haven't
n't ^xnot++not++0=EXTRAWORD
got ^vprf+++xvbn+=got
any ^dti++++=any
folks ^nns++++=folks.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
suppose ^vb+vprv+tht0++=suppose
I ^pp1a+pp1+++=I
could ^md+pos+++=could
have ^vb+hv+aux++=have
somebody ^pn++++=somebody
come ^vb++++=come,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
' ^zz++++='em."
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Seems
seems ^vbz+seem+++=EXTRAWORD
to ^to+vcmp+++=to
me ^vbi++++=me
I ^pp1a+pp1+++=I
would ^md+prd+++=would,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
get ^vb++++=get
along ^rp++++=along
well ^rb++++=well
enough ^qlp++++=enough.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
hardly ^rb+down+++=hardly
ever ^rb++++=ever
afraid ^jj++++=afraid."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well
well ^rb++++=EXTRAWORD
" ^zz++++="
Sylvester ^np+nom++??+=Sylvester
hesitated ^vbd+++xvbn+=hesitated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
blond ^jj+atrb+++=blond
face ^nn++++=face
flushed ^vbd+++xvbn+=flushed.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+aux++=was
just ^rb+emph+splt++=just
going ^md"++pmd"++=going
to ^md+prd+++=to
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
as ^ql++++=as
you ^pp2+pp2+++=you
knew ^vbd+vprv++xvbn+=knew,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
sleep ^nn++++=sleep
here ^rn+pl+++=here
on ^in++++=on
this ^dt+dem+++=this
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
wake ^vb++++=wake
at ^rb++++=at
the ^ati++++=the
least ^rbt++++=least
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
was ^vbd+bedz+aux++=was
to ^to++++=to
have ^vbi++vrb++=have
a ^rb++++=a
little ^rb"++++=little
bell ^nn++++=bell,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
to ^in++++=to
ring ^nn++++=ring
it ^pp3+it+++=it
if ^cs+cnd+++=if
anything ^pn++++=anything
scared ^vbd+++xvbn+=scared
you ^pp2+pp2+++=you
in ^in++++=in
the ^ati++++=the
night ^nn++++=night,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
hear ^vb+vprv+tht0++=hear
it ^pp3+it+++=it
quicker ^jjr++++=quicker
than ^in++++=than
lightning ^nn++++=lightning."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Thank
thank ^vb++++=EXTRAWORD
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Miss
miss ^npt++++=EXTRAWORD
Laurence ^np+nom+++=Laurence
used ^md"++pmd"++=used
to ^to++++=to
have ^vbi++vrb++=have
one ^pn++++=one.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
where ^wrb+who+whcl++=where
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ada ^np+++??+=Ada
remembered ^vwbn+vprv++xvbn+=remembered.
. ^zz++++=EXTRAWORD
The ^ati++++=The
little ^jj+atrb+++=little
brass ^nn++++=brass
bell ^nn++++=bell
stood ^vbd+++xvbn+=stood
on ^in++++=on
the ^ati++++=the
bureau ^nn++++=bureau
in ^in++++=in
the ^ati++++=the
bedroom ^nn++++=bedroom
where ^wrb+who+++=where
Angeline ^np+++??+=Angeline
had ^vbd+hvd+aux++=had
slept ^vprf+++xvbnx+=slept.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
ring ^vb++++=ring
it ^pp3+it+++=it
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
get ^vb++++=get
scared ^jj+++xvbn+=scared."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
girl ^nn++++=girl
had ^vbd+hvd+aux++=had
felt ^vprf+++xvbnx+=felt
sometimes ^rb+cnj+++=sometimes,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
silent ^jj+atrb+++=silent
house ^nn++++=house,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
horror ^nn++++=horror
of ^in++++=of
loneliness ^nns+nom+++=loneliness
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
worse ^jjr+pred+++=worse
than ^in++++=than
legitimate ^nn++++=legitimate
fear ^vb++++=fear.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
lain ^vprf+++xvbn+=lain
awake ^jj+atrb+++=awake
nights ^nns++++=nights,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
not ^xnot++not++=not
owned ^vbd+++xvbn+=owned
to ^in++++=to
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
young ^jj+atrb+++=young
persistency ^nn++++=persistency
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
in ^in++++=in
the ^ati++++=the
least ^rbt++++=least
affected ^vbd+++xvbn+=affected.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
this ^dt+dem+++=this
she ^pp3a+pp3+++=she
never ^rb++++=never
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
Angeline ^np++++=Angeline's
