Moistening ^np+++??+=Moistening
his ^pp$+pp3+++=his
back ^jjb++++=back
to ^in++++=to
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon.
. ^zz++++=EXTRAWORD
Sick ^jj++++=Sick
at ^in++++=at
heart ^nn++++=heart
the ^ati++++=the
adipose ^nn+++??+=adipose
steward ^nn++++=steward
went ^vbd+++xvbn+=went
back ^jjb++++=back
to ^in++++=to
his ^pp$+pp3+++=his
domain ^nn++++=domain.
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
the ^ati++++=the
cabins ^nns++++=cabins
neat ^jj++++=neat
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
sing ^vb++++=sing
the ^ati++++=the
little ^ap++++=little
song ^nn++++=song
with ^in++++=with
the ^ati++++=the
chorus ^nn++++=chorus
of ^in++++=of
" ^zz++++="oo
oo ^uh++++=EXTRAWORD
la ^&fw++++=la
las ^np++++=las."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
deep ^jj+atrb+++=deep
displeasure ^nn++++=displeasure
in ^cs+sub+++=in
that ^cs"++++=that
Norman ^np++++=Norman's
's ^$++++=EXTRAWORD
eye ^nn++++=eye,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon
to ^in++++=to
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
does ^vbz+doz+aux++=does
not ^xnot++not++=not
believe ^vb+vprv+++=believe
that ^tht+vcmp+++=that
the ^ati++++=the
passenger ^nn+nom+++=passenger
is ^vbz+bez+aux++=is
to ^to++++=to
blame ^vbi++++=blame.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
goose ^nn++++=goose
is ^vbz+bez+aux++=is
cooked ^vpsv++agls+xvbnx+=cooked,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
poor ^jj+atrb+++=poor
Alphonse ^np++++=Alphonse.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must
appeal ^vb++++=appeal
to ^in++++=to
the ^ati++++=the
chief ^jjb+atrb+++=chief
steward ^nn++++=steward."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
To ^in++++=To
the ^ati++++=the
chief ^jjb+atrb+++=chief
steward ^nn++++=steward,
, ^zz++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
elaborate ^jj+atrb+++=elaborate
office ^nn++++=office
in ^in++++=in
the ^ati++++=the
first ^od++++=first
class ^nn++++=class,
, ^zz++++=EXTRAWORD
went ^j+++xvbn+=went
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon,
, ^zz++++=EXTRAWORD
nervously ^rb++++=nervously
opening ^jj+++xvbg+=opening
and ^cc+phrs+++=and
shutting ^jj+++xvbg+=shutting
his ^pp$+pp3+++=his
fat ^nn++++=fat
fists ^nns++++=fists.
. ^zz++++=EXTRAWORD
The ^ati++++=The
chief ^jjb+atrb+++=chief
steward ^nn++++=steward,
, ^zz++++=EXTRAWORD
a ^at++++=a
tun ^nn+++??+=tun
of ^in++++=of
a ^at++++=a
man ^nn++++=man,
, ^zz++++=EXTRAWORD
bigger ^jjr++++=bigger
even ^rb++++=even
than ^in++++=than
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon,
, ^zz++++=EXTRAWORD
peeped ^j+++xvbn+=peeped
at ^in++++=at
his ^pp$+pp3+++=his
visitor ^nn++++=visitor
from ^in++++=from
beneath ^in+pl+++=beneath
waggish ^jj++++=waggish,
, ^zz++++=EXTRAWORD
furry ^nn++++=furry
eyebrows ^nns++++=eyebrows.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
visitor ^nn++++=visitor
timidly ^rb++++=timidly.
. ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
twenty ^cd++++=twenty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
years ^nns++++=years,
, ^zz++++=EXTRAWORD
three ^cd++++=three
months ^nns++++=months
and ^cc++++=and
a ^at++++=a
day ^nn++++=day,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
second ^od++++=second-class
- ^zz++++=EXTRAWORD
class ^nn++++=EXTRAWORD
steward ^nn++++=steward
on ^in++++=on
the ^ati++++=the
Voltaire ^np+++??+=Voltaire,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
never ^rb++++=never
monsieur ^npt++++=monsieur
the ^ati++++=the
chief ^jjb+atrb+++=chief
steward ^nn++++=steward,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
there ^ex+pex+++=there
been ^vprf+ben+vrb+xvbn+=been
a ^at++++=a
complaint ^nn++++=complaint,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
little ^jj+atrb+++=little
complaint ^nn++++=complaint
against ^in++++=against
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
hundred ^cd++++=hundred
and ^cc++++=and
twenty ^cd++++=twenty-seven
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
trips ^nns++++=trips
have ^vb+hv+aux++=have
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
never ^rb++++=never
has ^vbz+hvz+vrb++=has
a ^at++++=a
single ^jj+atrb+++=single
passenger ^nn+nom+++=passenger
said ^vbd+vpub++xvbn+=said----"
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
sorry ^uh++++=sorry,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
interrupted ^vwbn+++xvbn+=interrupted
the ^ati++++=the
chief ^jjb+atrb+++=chief
steward ^nn++++=steward,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
make ^vb++++=make
you ^pp2+pp2+++=you
a ^at++++=a
first ^od++++=first-class
- ^zz++++=EXTRAWORD
class ^nn++++=EXTRAWORD
steward ^nn++++=steward.
. ^zz++++=EXTRAWORD
No ^at++++=No
vacancies ^nns++++=vacancies.
. ^zz++++=EXTRAWORD
Next ^ap++++=Next
year ^nn++++=year,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps;
; ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
year ^nn++++=year
after ^in+strn+++=after----"
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
that ^dt+pdem+++=that,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon
miserably ^rb++++=miserably.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
this ^dt+pdem+++=this."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
held ^vbd+vprv++xvbnx+=held
out ^rp+pl+++=out
his ^pp$+pp3+++=his
hand ^nn++++=hand
so ^ql++++=so
that ^cs+sub+++=that
the ^ati++++=the
chief ^jjb+atrb+++=chief
steward ^nn++++=steward
could ^md+pos+++=could
see ^vb+vprv+tht0++=see
its ^pp$+it+++=its
contents ^nns++++=contents.
. ^zz++++=EXTRAWORD
" ^zz++++="Ah?"
ah ^uh++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
the ^ati++++=the
chief ^jjb+atrb+++=chief
steward ^nn++++=steward,
, ^zz++++=EXTRAWORD
arching ^jj++++=arching
his ^pp$+pp3+++=his
furry ^nn++++=furry
brows ^nns++++=brows.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
this ^dt+dem+++=this
perhaps ^rb++++=perhaps
a ^at++++=a
bribe ^nn++++=bribe,
, ^zz++++=EXTRAWORD
monsieur ^npt++++=monsieur?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Monsieur
monsieur ^npt++++=EXTRAWORD
the ^ati++++=the
chief ^jjb+atrb+++=chief
steward ^nn++++=steward
is ^vbz+bez+vrb++=is
good ^jj+pred+++=good
enough ^qlp++++=enough
to ^in++++=to
jest ^rb+cnj+++=jest,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Pettipon ^np+++??+=Pettipon,
, ^zz++++=EXTRAWORD
standing ^vbg+++xvbg+=standing
first ^rb++++=first
on ^in++++=on
one ^cd1++++=one
foot ^nn++++=foot
and ^cc++++=and
then ^rn+tm+++=then
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
in ^in++++=in
his ^pp$+pp3+++=his
embarrassment ^nn+nom+++=embarrassment,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
assure ^vb++++=assure
you ^pp2+pp2+++=you
that ^cs+sub+++=that
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
most ^ql+emph+++=most
serious ^jj+atrb+++=serious
blow ^nn++++=blow
to ^in++++=to
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Blow?"
blow ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
repeated ^vprf+++xvbn+=repeated
the ^ati++++=the
chief ^jjb+atrb+++=chief
steward ^nn++++=steward.
. ^zz++++=EXTRAWORD
" ^zz++++="Blow?
blow ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
it ^pp3+it+++=it
that ^cs+sub+++=that
in ^in++++=in
the ^ati++++=the
second ^od++++=second
class ^nn++++=class
one ^cd1++++=one
comes ^vbz++++=comes
to ^in++++=to
blows ^nns++++=blows
with ^in++++=with
them ^pp3o+pp3+++=them?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
knows ^vbz+vprv+++=knows
about ^in++++=about
it ^pp3+it+++=it
all ^rb+cnj+++=all,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
thought ^nn+++xvbn+=thought
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+aux++=is
making ^vbg+++xvbgx+=making
game ^nn++++=game
of ^in++++=of
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
moon ^np++++=moon
face ^nn++++=face
stricken ^jj++++=stricken
and ^cc+phrs+++=and
appealing ^jj+++xvbg+=appealing,
, ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon
addressed ^vbd+++xvbn+=addressed
the ^ati++++=the
chief ^jjb+atrb+++=chief
steward ^nn++++=steward.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
brought ^vbd+++xvbnx+=brought
it ^pp3+it+++=it
with ^in++++=with
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
monsieur ^npt++++=monsieur
the ^ati++++=the
chief ^jjb+atrb+++=chief
steward ^nn++++=steward.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
my ^pp$+pp1+++=my
reasons ^nns++++=reasons----"
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+++=EXTRAWORD
brought ^vwbn+++xvbn+=brought
what ^wdt+who+++=what
with ^in++++=with
whom ^whp+rel+pied++=whom?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
queried ^vbd+++xvbn+=queried
the ^ati++++=the
chief ^jjb+atrb+++=chief
steward ^nn++++=steward
with ^in++++=with
a ^at++++=a
trace ^nn++++=trace
of ^in++++=of
asperity ^nn+nom+++=asperity.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
passenger ^nn+nom+++=passenger
brought ^vbd+++xvbn+=brought
this ^dt+dem+++=this
aboard ^in+pl+++=aboard
with ^in++++=with
him ^pp3o+pp3+++=him,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
explained ^vbd+vpub++xvbn+=explained
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
good ^jj+atrb+++=good
reasons ^nns++++=reasons,
, ^zz++++=EXTRAWORD
monsieur ^npt++++=monsieur,
, ^zz++++=EXTRAWORD
for ^in++++=for
making ^xvbg+++xvbg+=making
so ^ql+emph+++=so
grave ^jj++++=grave
a ^at++++=a
charge ^nn++++=charge.
. ^zz++++=EXTRAWORD
Did ^vbd+dod+aux++=Did
I ^pp1a+pp1+++=I
not ^xnot++not++=not
say ^vb+vpub+++=say
to ^to+vcmp+++=to
Georges ^vb+++??+=Georges
Prunier ^np+++??+=Prunier--he
-- ^--+clp+++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=is
in ^in++++=in
charge ^in"++++=charge
of ^in"++++=of
the ^ati++++=the
corridor ^nn++++=corridor
next ^in+cmpx+++=next
to ^in++++=to
mine-- ^nn+++??+=mine--'Georges,
'georges, ^nn+++??+=EXTRAWORD
old ^jj+atrb+++=old
oyster ^nn++++=oyster,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
hairy ^jj++++=hairy
fellow ^jjb++++=fellow
in ^in++++=in
C ^zz++++=C
346 ^cd++++=346
has ^vbz+hvz+vrb++=has
a ^at++++=a
look ^nn++++=look
of ^in++++=of
itchiness ^nns+nom+++=itchiness
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
fancy ^vb+vprv+++=fancy.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
be ^vb+be+vrb++=be
on ^in++++=on
my ^pp$+pp1+++=my
guard ^nn++++=guard.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
ask ^vb++++=ask
Georges ^np+++??+=Georges
Prunier ^np+++??+=Prunier--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
thoroughly ^rb+amp+++=thoroughly
reliable ^jj++++=reliable
fellow ^jjb++++=fellow,
, ^zz++++=EXTRAWORD
monsieur ^npt++++=monsieur,
, ^zz++++=EXTRAWORD
a ^at++++=a
wearer ^nn++++=wearer
of ^in++++=of
the ^ati++++=the
military ^jj+atrb+++=military
medal ^nn++++=medal,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
son ^nn++++=son
of ^in++++=of
the ^ati++++=the
leading ^jj+++xvbg+=leading
veterinarian ^jj++++=veterinarian
in ^in++++=in
Amiens ^np+++??+=Amiens--if
-- ^--+clp+++=EXTRAWORD
if ^cs+cnd+++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
say ^vb+vpub+tht0++=say
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Georges ^np+++??+=Georges
said ^vbd+vpub++xvbn+=said----"
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
chief ^jjb+atrb+++=chief
steward ^nn++++=steward
held ^vbd+vprv++xvbn+=held
up ^rp++++=up
a ^at++++=a
silencing ^nn++++=silencing
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
" ^zz++++="Stop,
stop ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
pray ^vb+vsua+tht0++=pray
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
before ^in++++=before
my ^pp$+pp1+++=my
head ^jjb+atrb+++=head
bursts ^nns++++=bursts,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
commanded ^vbd+vpub++xvbnx+=commanded.
. ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
repartee ^nn+nom+++=repartee
with ^in++++=with
Georges ^np+++??+=Georges
is ^vbz+bez+vrb++=is
most ^ql+emph+++=most
affecting ^nvbg+++xvbg+=affecting,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
see ^vb+vprv+++=see
how ^wrb+who+whcl++=how
it ^pp3+it+++=it
concerns ^vbz++++=concerns
a ^at++++=a
busy ^jj+atrb+++=busy
man ^nn++++=man
like ^in++++=like
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
the ^ati++++=the
passenger ^nn+nom+++=passenger
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he
found ^vbd+vprv++xvbnx+=found
this ^dt+dem+++=this
in ^in++++=in
his ^pp$+pp3+++=his
berth ^nn+++??+=berth!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
wailed ^vbd+++xvbn+=wailed
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon,
, ^zz++++=EXTRAWORD
wringing ^vbg+++xvbg+=wringing
his ^pp$+pp3+++=his
great ^jj+atrb+++=great
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
compliments ^nns+nom+++=compliments
to ^in++++=to
monsieur ^npt++++=monsieur
the ^ati++++=the
passenger ^nn+nom+++=passenger,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
chief ^jjb+atrb+++=chief
steward ^nn++++=steward,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
tell ^vb++++=tell
him ^pp3o+pp3+++=him
that ^dt+dem+++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
reward ^nn++++=reward."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
sure ^jj+pred+++=sure
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
angry ^jj+pred+++=angry
with ^in++++=with
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon
to ^in++++=to
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
" ^zz++++="These
these ^dt+dem+++=EXTRAWORD
sly ^jj++++=sly,
, ^zz++++=EXTRAWORD
smiling ^jj+++xvbg+=smiling,
, ^zz++++=EXTRAWORD
fat ^nn++++=fat
fellows ^nns++++=fellows!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
convince ^vb++++=convince
him ^pp3o+pp3+++=him
of ^in++++=of
my ^pp$+pp1+++=my
innocence ^nn+nom+++=innocence."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon
laid ^vbd+++xvbn+=laid
an ^at++++=an
imploring ^jj+atrb++xvbg+=imploring
hand ^nn++++=hand
on ^in++++=on
the ^ati++++=the
chief ^jjb+atrb+++=chief
steward ^nn++++=steward's
's ^$++++=EXTRAWORD
sleeve ^nn++++=sleeve.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can
only ^rb+down+splt++=only
say ^vb+vpub+++=say,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon
in ^in++++=in
the ^ati++++=the
accents ^nns++++=accents
of ^in++++=of
a ^at++++=a
man ^nn++++=man
on ^in++++=on
the ^ati++++=the
gallows ^np++++=gallows,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
all ^rb++++=all
within ^in++++=within
the ^ati++++=the
power ^nn++++=power
of ^in++++=of
one ^cd1++++=one
poor ^jj++++=poor
human ^jj++++=human
to ^to++++=to
prevent ^vbi++++=prevent
this ^dt+dem+++=this
dreadful ^jj+atrb+++=dreadful
occurrence ^nn+nom+++=occurrence.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hope ^nn++++=hope
monsieur ^npt++++=monsieur
the ^ati++++=the
chief ^jjb+atrb+++=chief
steward ^nn++++=steward
will ^md+prd+++=will
believe ^vb+vprv+tht0++=believe
that ^tht+vcmp+++=that.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
deny ^vb+vpub+++=deny
that ^tht+vcmp+++=that
the ^ati++++=the
thing ^nn++++=thing
exists" ^nn+++??+=exists"--as
-- ^--+clp+++=EXTRAWORD
as ^ql++++=EXTRAWORD
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke
he ^pp3a+pp3+++=he
sadly ^rb++++=sadly
contemplated ^vbd+++xvbn+=contemplated
the ^ati++++=the
palm ^nn++++=palm
of ^in++++=of
his ^pp$+pp3+++=his
hand ^nn++++=hand--"and
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
evidence ^nn+nom+++=evidence
is ^vbz+bez+vrb++=is
against ^in++++=against
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
in ^in++++=in
my ^pp$+pp1+++=my
heart ^nn++++=heart
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
innocent ^jj+pred+++=innocent.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
only ^rb+down+++=only
hope ^vb++++=hope
that ^tht+vcmp+++=that
monsieur ^npt++++=monsieur
will ^md+prd+++=will
take ^vb++++=take
into ^in++++=into
account ^nn++++=account
my ^pp$+pp1+++=my
long ^jj+atrb+++=long
and ^cc+phrs+++=and
blameless ^jj+atrb+++=blameless
service ^nn++++=service,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
twenty ^cd++++=twenty-seven
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
trips ^nns++++=trips,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
twenty ^cd++++=twenty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
years ^nns++++=years,
, ^zz++++=EXTRAWORD
three ^cd++++=three
months ^nns++++=months
and ^cc++++=and----"
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
dear ^jj+atrb+++=dear
Pettipon ^np+++??+=Pettipon,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
chief ^jjb+atrb+++=chief
steward ^nn++++=steward
with ^in++++=with
a ^at++++=a
ponderous ^jj+atrb+++=ponderous
jocosity ^nn+nom+++=jocosity,
, ^zz++++=EXTRAWORD
" ^zz++++="try
try ^vb++++=EXTRAWORD
to ^to+vcmp+++=to
bear ^vbi+vprv+++=bear
your ^pp$+pp2+++=your
cross ^nn++++=cross.
. ^zz++++=EXTRAWORD
The ^ati++++=The
only ^ap+down+++=only
way ^nn++++=way
the ^ati++++=the
Voltaire ^np+++??+=Voltaire
can ^md+pos+++=can
atone ^vb++++=atone
for ^in++++=for
this ^dt+dem+++=this
monstrous ^jj+atrb+++=monstrous
sin ^nn++++=sin
of ^in++++=of
yours ^pp$$++++=yours
is ^vbz+bez+aux++=is
to ^to++++=to
be ^vbi+vbi+aux++=be
sunk ^vpsv++agls+xvbnx+=sunk,
, ^zz++++=EXTRAWORD
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
and ^cc+phrs+++=and
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
afraid ^jj+pred+++=afraid
the ^ati++++=the
captain ^nn++++=captain
and ^cc++++=and
Monsieur ^npt++++=Monsieur
Ronssoy ^np+++??+=Ronssoy
might ^md+pos+++=might
object ^vb++++=object.
. ^zz++++=EXTRAWORD
Get ^vb++++=Get
along ^in++++=along
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think
up ^rb+phrv+++=up
a ^at++++=a
suitable ^jj+atrb+++=suitable
penance ^nn+nom+++=penance
for ^in++++=for
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
with ^in++++=with
slow ^jj+atrb+++=slow,
, ^zz++++=EXTRAWORD
despairing ^jj+atrb++xvbg+=despairing
steps ^nns++++=steps
to ^in++++=to
his ^pp$+pp3+++=his
quarters ^nns+nom+++=quarters
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon
said ^vbd+vpub++xvbn+=said
to ^to+vcmp+++=to
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
clear ^jj+pred+++=clear
