General ^jj+atrb+++=General
while ^cs+sub+++=while
the ^ati++++=the
dog ^nn++++=dog
held ^vbd+vprv++xvbn+=held
him ^pp3o+pp3+++=him
helpless ^jj++++=helpless,
, ^zz++++=EXTRAWORD
easily ^rb++++=easily
dispatched ^vprf+++xvbn+=dispatched
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
story ^nn++++=story
is ^vbz+bez+vrb++=is
of ^in++++=of
the ^ati++++=the
usual ^jj+atrb+++=usual
ghastliness ^nns+nom+++=ghastliness
relieved ^vwbn+++xvbn+=relieved
by ^in++++=by
a ^at++++=a
touch ^nn++++=touch
of ^in++++=of
the ^ati++++=the
comic ^nn++++=comic.
. ^zz++++=EXTRAWORD
Colonel ^npt++++=Colonel
Robert ^np++++=Robert
Elliott ^np+++??+=Elliott
was ^vbd+bedz+aux++=was
shot ^vpsv++by+xvbnx+=shot
by ^in++++=by
the ^ati++++=the
Indians ^nn++++=Indians
near ^in+pl+++=near
the ^ati++++=the
northern ^jj+atrb+++=northern
line ^nn++++=line
of ^in++++=of
Hamilton ^np++++=Hamilton
County ^nn++++=County.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
them ^pp3o+pp3+++=them
sprang ^vbd+++xvbn+=sprang
upon ^in++++=upon
him ^pp3o+pp3+++=him
to ^in++++=to
scalp ^nn++++=scalp
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^in++++=at
a ^at++++=a
touch ^nn++++=touch
the ^ati++++=the
poor ^jj+atrb+++=poor
man ^nn++++=man's
's ^$++++=EXTRAWORD
wig ^nn++++=wig
came ^vbd+++xvbn+=came
off ^rp+pl+++=off
in ^in++++=in
his ^pp$+pp3+++=his
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lifted ^vbd+++xvbnx+=lifted
it ^pp3+it+++=it
and ^cc++++=and
was ^vbd+bedz+aux++=was
heard ^vpsv++agls+xvbnx+=heard
to ^to+vcmp+++=to
say ^vbi+vpub+++=say
with ^in++++=with
an ^at++++=an
oath ^nn++++=oath,
, ^zz++++=EXTRAWORD
" ^zz++++="Lie!"
lie ^vb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
stared ^vbd+++xvbnx+=stared
at ^rb++++=at
his ^pp$+pp3+++=his
trophy ^nn++++=trophy
in ^in++++=in
bewilderment ^nn+nom+++=bewilderment.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
the ^ati++++=the
later ^rbr+tm+++=later
captives ^nns++++=captives
of ^in++++=of
the ^ati++++=the
Indians ^nn++++=Indians
was ^vbd+bedz+vrb++=was
a ^at++++=a
boy ^nn++++=boy
of ^in++++=of
eleven ^cd++++=eleven
named ^xvbn+++xvbn+=named
O ^zz++++=O.
. ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
Spencer ^np++++=Spencer,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
seized ^vpsv++agls+xvbnx+=seized
near ^in+pl+++=near
Cincinnati ^np+++??+=Cincinnati
in ^in++++=in
1792 ^cd+date+++=1792,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
carried ^vpsv++agls+xvbn+=carried
to ^in++++=to
a ^at++++=a
Shawnee ^np+++??+=Shawnee
village ^nn+nom+++=village
on ^in++++=on
the ^ati++++=the
Maumee ^np+++??+=Maumee,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
taken ^vpsv++agls+xvbnx+=taken
into ^in++++=into
a ^at++++=a
family ^nn++++=family.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
case ^nn++++=case
is ^vbz+bez+vrb++=is
peculiarly ^rb++++=peculiarly
interesting ^jj+pred+++=interesting
because ^cs+cos+++=because
Washington ^np++++=Washington
himself ^ppl+pp3+++=himself
asked ^vbd+vsua++xvbn+=asked
his ^pp$+pp3+++=his
release ^nn++++=release
through ^in++++=through
the ^ati++++=the
British ^jj+atrb+++=British
governor ^nn++++=governor
of ^in++++=of
Canada ^np++++=Canada;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
at ^rb++splt++=at
last ^rb"++++=last
returned ^vbd+++xvbn+=returned
to ^in++++=to
his ^pp$+pp3+++=his
friends ^nns++++=friends
by ^in++++=by
canoe ^nn+++??+=canoe
to ^in++++=to
Detroit ^np+++??+=Detroit,
, ^zz++++=EXTRAWORD
by ^in++++=by
sailing ^xvbg+++xvbg+=sailing
vessel ^nn++++=vessel
to ^in++++=to
Erie ^np+++??+=Erie,
, ^zz++++=EXTRAWORD
by ^in++++=by
land ^nn++++=land
to ^in++++=to
Albany ^np++++=Albany,
, ^zz++++=EXTRAWORD
by ^in++++=by
water ^nn++++=water
to ^in++++=to
New ^jj+atrb+++=New
York ^np++++=York,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
land ^nn++++=land
through ^in++++=through
Pennsylvania ^np+++??+=Pennsylvania
to ^in++++=to
Cincinnati ^np+++??+=Cincinnati.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
two ^cd++++=two
years ^nns++++=years
in ^in++++=in
getting ^xvbg+++xvbg+=getting
back ^jjb++++=back
to ^in++++=to
his ^pp$+pp3+++=his
friends ^nns++++=friends.
. ^zz++++=EXTRAWORD
. ^zz++++=.
The ^ati++++=The
next ^ap++++=next
settlement ^nn+nom+++=settlement
in ^in++++=in
Ohio ^np+++??+=Ohio,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
first ^rb++++=first
within ^in++++=within
the ^ati++++=the
Virginia ^np++++=Virginia
Military ^jj+atrb+++=Military
District ^nn++++=District,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
at ^in++++=at
Massie ^np++++=Massie's
's ^$++++=EXTRAWORD
Station ^nn+nom+++=Station,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
Manchester ^np+nom+++=Manchester,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
Colonel ^npt++++=Colonel
Nathaniel ^np++++=Nathaniel
Massie ^np+++??+=Massie,
, ^zz++++=EXTRAWORD
with ^in++++=with
thirty ^cd++++=thirty
families ^nns++++=families,
, ^zz++++=EXTRAWORD
arrived ^j+++xvbn+=arrived
in ^in++++=in
1790 ^cd+date+++=1790.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
at ^rb++++=at
once ^rb"+tm+++=once
made ^vbd+++xvbn+=made
themselves ^ppls+pp3+++=themselves
safe ^jj++++=safe
in ^in++++=in
an ^at++++=an
inclosure ^nn++++=inclosure
of ^in++++=of
strong ^jj+atrb+++=strong
pickets ^nns++++=pickets,
, ^zz++++=EXTRAWORD
fortified ^j+++xvbn+=fortified
with ^in++++=with
blockhouses ^nns+++??+=blockhouses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^in++++=as
the ^ati++++=the
woods ^nns++++=woods
and ^cc++++=and
rivers ^nns++++=rivers
abounded ^vbd+++xvbn+=abounded
in ^in++++=in
game ^nn++++=game
and ^cc++++=and
fish ^nn++++=fish,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
began ^vbd+++xvbnx+=began
to ^to++++=to
lead ^vbi++++=lead
a ^at++++=a
life ^nn++++=life
of ^in++++=of
as ^ql++++=as
much ^ap++++=much
comfort ^nn++++=comfort
as ^ql++++=as
people ^nns++++=people
could ^md+pos+++=could
enjoy ^vb++++=enjoy
who ^whp+who+++=who
were ^vbd+bed+aux++=were
surrounded ^vpsv++by+xvbnx+=surrounded
by ^in++++=by
a ^at++++=a
wilderness ^nns+nom+++=wilderness,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
lurking ^jj+atrb++xvbg+=lurking
danger ^nn++++=danger
of ^in++++=of
captivity ^nn+nom+++=captivity
and ^cc++++=and
death ^nn++++=death
on ^in++++=on
every ^at++++=every
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
Six ^cd++++=Six
years ^nns++++=years
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
Colonel ^npt++++=Colonel
Massie ^np+++??+=Massie
laid ^vbd+++xvbn+=laid
out ^rb+phrv+++=out
the ^ati++++=the
town ^nn++++=town
of ^in++++=of
Chillicothe ^np+++??+=Chillicothe,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
became ^vbd+++xvbn+=became
the ^ati++++=the
first ^od++++=first
capital ^nn++++=capital
of ^in++++=of
Ohio ^np+++??+=Ohio,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
year ^nn++++=year,
, ^zz++++=EXTRAWORD
1796 ^cd+date+++=1796,
, ^zz++++=EXTRAWORD
the ^ati++++=the
earliest ^jjt+atrb+++=earliest
settlers ^nns+nom+++=settlers
from ^in++++=from
Connecticut ^np+++??+=Connecticut
landed ^vbd+++xvbn+=landed
at ^rb++++=at
Conneaut ^np+++??+=Conneaut
in ^in++++=in
Ashtabula ^np+++??+=Ashtabula
County ^nn++++=County.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
led ^vpsv++by+xvbnx+=led
by ^in++++=by
Moses ^np++++=Moses
Cleaveland ^np+++??+=Cleaveland,
, ^zz++++=EXTRAWORD
a ^at++++=a
lawyer ^nn++++=lawyer
of ^in++++=of
Canterbury ^np++++=Canterbury,
, ^zz++++=EXTRAWORD
Connecticut ^np+++??+=Connecticut,
, ^zz++++=EXTRAWORD
a ^at++++=a
man ^nn++++=man
of ^in++++=of
substance ^nn+nom+++=substance
and ^cc++++=and
ability ^nn+nom+++=ability,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
from ^in+ppvb+++=from
Buffalo ^np+++??+=Buffalo,
, ^zz++++=EXTRAWORD
some ^dti++++=some
by ^in++++=by
land ^nn++++=land
and ^cc++++=and
some ^dti++++=some
by ^in++++=by
water ^nn++++=water,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
arrived ^vbd+++xvbnx+=arrived
within ^in++++=within
a ^ap++++=a
few ^ap"++++=few
hours ^nns++++=hours
of ^in++++=of
one ^cd1++++=one
another ^dt++++=another.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
Fourth ^od++++=Fourth
of ^in++++=of
July ^nr++++=July,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Cleaveland ^np+++??+=Cleaveland
wrote ^vbd+vprv++xvbn+=wrote
in ^in++++=in
his ^pp$+pp3+++=his
journal ^nn++++=journal:
: ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
gave ^vbd+++xvbn+=gave
three ^cd++++=three
cheers ^nns++++=cheers
and ^cc++++=and
christened ^vbd+++xvbn+=christened
the ^ati++++=the
place ^nn++++=place
Fort ^nn++++=Fort
Independence ^nn+nom+++=Independence;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
after ^in++++=after
many ^ap++++=many
difficulties ^nns++++=difficulties,
, ^zz++++=EXTRAWORD
perplexities ^nns+nom+++=perplexities,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hardships ^nns+nom+++=hardships
were ^vbd+bed+aux++=were
surmounted ^vpsv++agls+xvbnx+=surmounted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
on ^in++++=on
the ^ati++++=the
good ^jj+atrb+++=good
and ^cc+phrs+++=and
promised ^jj+atrb++xvbn+=promised
land ^nn++++=land,
, ^zz++++=EXTRAWORD
felt ^vb+++xvbn+=felt
that ^tht+vcmp+++=that
a ^at++++=a
just ^rb+emph+++=just
tribute ^nn++++=tribute
of ^in++++=of
respect ^nn++++=respect
to ^in++++=to
the ^ati++++=the
day ^nn++++=day
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
paid ^vbd+++xvbn+=paid.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
in ^in++++=in
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
including ^in++++=including
women ^nns++++=women
and ^cc++++=and
children ^nns++++=children,
, ^zz++++=EXTRAWORD
fifty ^cd++++=fifty
in ^in++++=in
number ^nn++++=number.
. ^zz++++=EXTRAWORD
The ^ati++++=The
men ^nns++++=men,
, ^zz++++=EXTRAWORD
under ^in++++=under
Captain ^nn++++=Captain
Tinker ^np+++??+=Tinker,
, ^zz++++=EXTRAWORD
ranged ^j+++xvbn+=ranged
themselves ^ppls+pp3+++=themselves
on ^in++++=on
the ^ati++++=the
beach ^nn++++=beach
and ^cc++++=and
fired ^vbd+++xvbn+=fired
a ^at++++=a
federal ^jj+atrb+++=federal
salute ^nn++++=salute
of ^in++++=of
fifteen ^cd++++=fifteen
rounds ^nns++++=rounds,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
the ^ati++++=the
sixteenth ^nn++++=sixteenth
in ^in++++=in
honor ^nn++++=honor
of ^in++++=of
New ^jj+atrb+++=New
Connecticut ^np+++??+=Connecticut.
. ^zz++++=EXTRAWORD
Drank ^j+++xvbn+=Drank
several ^ap++++=several
toasts.. ^nn+++??+=toasts....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Closed ^j+++xvbn+=Closed
with ^in++++=with
three ^cd++++=three
cheers ^nns++++=cheers.
. ^zz++++=EXTRAWORD
Drank ^j+++xvbn+=Drank
several ^ap++++=several
pails ^nns+++??+=pails
of ^in++++=of
grog ^nn+++??+=grog.
. ^zz++++=EXTRAWORD
Supped ^np+++??+=Supped
and ^cc++++=and
retired ^vpsv++agls+xvbn+=retired
in ^in++++=in
good ^jj+atrb+++=good
order ^nn++++=order."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
the ^ati++++=the
order ^nn++++=order
of ^in++++=of
the ^ati++++=the
four ^cd++++=four
lawful ^jj+atrb+++=lawful
settlements ^nns+nom+++=settlements
in ^in++++=in
the ^ati++++=the
Ohio ^np+++??+=Ohio
country ^nn++++=country:
: ^zz++++=EXTRAWORD
first ^od++++=first
that ^dt+dem+++=that
of ^in++++=of
the ^ati++++=the
Massachusetts ^np+++??+=Massachusetts
men ^nns++++=men
at ^in++++=at
Marietta ^np+++??+=Marietta
in ^in++++=in
July ^nr++++=July,
, ^zz++++=EXTRAWORD
1788 ^cd+date+++=1788;
; ^zz++++=EXTRAWORD
next ^ap++++=next,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
of ^in++++=of
the ^ati++++=the
New ^jj+atrb+++=New
Jersey ^np++++=Jersey
men ^nns++++=men
at ^in++++=at
Cincinnati ^np+++??+=Cincinnati
in ^in++++=in
December ^nr+nom+++=December,
, ^zz++++=EXTRAWORD
1788 ^cd+date+++=1788;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
that ^cs+sub+++=that
of ^in++++=of
the ^ati++++=the
Virginia ^np++++=Virginia
men ^nns++++=men
at ^in++++=at
Manchester ^np+nom+++=Manchester
in ^in++++=in
1790 ^cd+date+++=1790;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
that ^cs+sub+++=that
of ^in++++=of
the ^ati++++=the
connecticut ^np++++=Connecticut
men ^nns++++=men
at ^in++++=at
conneaut ^np++++=Conneaut
in ^in++++=in
1796 ^cd+date+++=1796.
. ^zz++++=EXTRAWORD
