Sitting ^vbg+++xvbg+=Sitting
pressing ^vbg+++xvbgx+=pressing--I
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can
barely ^rb+down+splt++=barely
escape ^vb++++=escape
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
let ^vbd+++xvbn+=let
me ^pp1o+pp1+++=me
go ^vb++++=go
this ^dt+dem+++=this
instant ^nn+nom+++=instant.
. ^zz++++=EXTRAWORD
Would ^md+prd+++=Would
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
my ^pp$+pp1+++=my
blood ^nn++++=blood
on ^in++++=on
your ^pp$+pp2+++=your
hands ^nns++++=hands?
? ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
you ^pp2+pp2+++=you
face ^vb++++=face
the ^ati++++=the
Virgin ^nn++++=Virgin
with ^in++++=with
that ^dt+pdem+++=that?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
senora ^nn+++??+=senora--senora----"
-- ^--+clp+++=EXTRAWORD
senora ^nn+++??+=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
head ^jjb++++=head
swam ^vbd+++xvbn+=swam,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^abn++++=all
her ^pp3o+pp3+++=her
senses ^nns++++=senses
were ^vbd+bed+vrb++=were
afloat ^jj+pred+++=afloat
in ^in++++=in
a ^at++++=a
sea ^nn++++=sea
of ^in++++=of
agonies ^nns++++=agonies.
. ^zz++++=EXTRAWORD
Still ^rb++++=Still
she ^pp3a+pp3+++=she
looked ^vbd+++xvbnx+=looked
down ^rp++++=down
into ^in++++=into
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
as ^ql++++=as
he ^pp3a+pp3+++=he
continued ^vbd+++xvbnx+=continued
his ^pp$+pp3+++=his
pleadings ^nns+++??+=pleadings,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
outlines ^nns++++=outlines
of ^in++++=of
his ^pp$+pp3+++=his
body ^nn++++=body
were ^vbd+bed+vrb++=were
wavering ^jj+pred+++=wavering
and ^cc+phrs+++=and
uncertain ^jj++++=uncertain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
inexpressible ^jj++++=inexpressible
suffering ^xvbg+++xvbg+=suffering
numbed ^xvbn+++xvbn+=numbed
her ^pp$+pp3+++=her
faculties ^nns++++=faculties.
. ^zz++++=EXTRAWORD
Still ^rb++++=Still
she ^pp3a+pp3+++=she
listened ^vbd+++xvbnx+=listened
vaguely ^rb++++=vaguely
to ^in++++=to
his ^pp$+pp3+++=his
outpouring ^nvbg+++xvbg+=outpouring
of ^in++++=of
speech ^nn++++=speech;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
until ^in++++=until
her ^pp3o+pp3+++=her
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
with ^in++++=with
two ^cd++++=two
of ^in++++=of
his ^pp$+pp3+++=his
vaqueros ^nns+++??+=vaqueros,
, ^zz++++=EXTRAWORD
dashed ^xvbn+++xvbn+=dashed
up ^rp++++=up
on ^in++++=on
horseback ^nn++++=horseback
that ^tht+rel+obj++=that
either ^dtx++++=either
of ^in++++=of
these ^dt+dem+++=these
two ^cd++++=two
strangely ^rb++++=strangely
situated ^xvbn+++xvbn+=situated
sufferers ^nns+nom+++=sufferers
was ^vbd+bedz+vrb++=was
aware ^jj+pred+++=aware
of ^in++++=of
his ^pp$+pp3+++=his
approach ^nn++++=approach.
. ^zz++++=EXTRAWORD
Seeing ^jj+++xvbg+=Seeing
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
Violante ^np+++??+=Violante
threw ^vbd+++xvbn+=threw
her ^pp$+pp3+++=her
arms ^nns++++=arms
abroad ^rb+cnj+++=abroad,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
pistol ^nn++++=pistol
went ^vbd+++xvbn+=went
flying ^jj+++xvbg+=flying
to ^in++++=to
the ^ati++++=the
ground ^nn++++=ground;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
she ^pp3a+pp3+++=she
sank ^vbd+++xvbnx+=sank
down ^rp++++=down
to ^in++++=to
the ^ati++++=the
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
brilliant ^jj+atrb+++=brilliant
sunshine ^nn++++=sunshine
became ^vbd+++xvbn+=became
night ^nn++++=night
and ^cc++++=and
the ^ati++++=the
shining ^jj+atrb++xvbg+=shining
glories ^nns++++=glories
of ^in++++=of
the ^ati++++=the
day ^nn++++=day
all ^abn++++=all
nothingness ^nns+nom+++=nothingness.
. ^zz++++=EXTRAWORD
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
She ^pp3a+pp3+++=She
awoke ^vbd+++xvbnx+=awoke
and ^cc+phrs+++=and
found ^vbd+vprv+tht0+xvbn+=found
herself ^ppl+pp3+++=herself
lying ^vbg+++xvbg+=lying
on ^rp++++=on
her ^pp3o+pp3+++=her
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
with ^in++++=with
her ^pp$+pp3+++=her
husband ^nn++++=husband
sitting ^vwbg+++xvbg+=sitting
beside ^in+pl+++=beside
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
caressing ^jj+++xvbg+=caressing
her ^pp3o+pp3+++=her
hands ^nns++++=hands
and ^cc++++=and
watching ^jj+++xvbg+=watching
her ^pp3o+pp3+++=her
anxiously ^rb++++=anxiously.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^rb++++=a
little ^rb"++++=little
time ^nn++++=time
before ^cs+sub+++=before
she ^pp3a+pp3+++=she
could ^md+pos+++=could
summon ^vb++++=summon
her ^pp$+pp3+++=her
faculties ^nns++++=faculties
to ^to++++=to
exercise ^vbi++++=exercise
and ^cc++++=and
to ^in++++=to
an ^at++++=an
understanding ^jj+++xvbg+=understanding
of ^in++++=of
her ^pp$+pp3+++=her
husband ^nn++++=husband's
's ^vbz+bez+vrb++0=EXTRAWORD
endearing ^jj+atrb+++=endearing
words ^nns++++=words;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
seeing ^jj+++xvbg+=seeing
him ^pp3o+pp3+++=him
safe ^jj++++=safe
with ^in++++=with
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
next ^ap++++=next
thought ^vprf+++xvbn+=thought
was ^vbd+bedz+vrb++=was
of ^in++++=of
Velasco ^np+++??+=Velasco.
. ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
Basilio ^np++++=Basilio?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
asked ^vbd+vsua++xvbnx+=asked,
, ^zz++++=EXTRAWORD
starting ^nvbg+++xvbg+=starting
up ^rp++++=up
and ^cc++++=and
looking ^vbg+++xvbg+=looking
fearfully ^rb++++=fearfully
about ^rb++++=about.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=is
safe ^jj+pred+++=safe,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
dear ^nn++++=dear
one ^pn++++=one.
. ^zz++++=EXTRAWORD
Think ^vb+vprv+++=Think
no ^at++++=no
more ^rbr++++=more
of ^in++++=of
Basilio ^np++++=Basilio,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
would ^md+prd+++=would
have ^vb+hv+aux++=have
harmed ^vprf+++xvbnx+=harmed
my ^pp$+pp1+++=my
Violante ^np+++??+=Violante.
. ^zz++++=EXTRAWORD
Be ^vb+be+vrb++=Be
calm ^nn++++=calm,
, ^zz++++=EXTRAWORD
for ^in++++=for
my ^pp$+pp1+++=my
sake ^nn++++=sake,
, ^zz++++=EXTRAWORD
sweet ^jj+atrb+++=sweet
wife ^nn++++=wife."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ca ^np++++=can't,
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ca ^np++++=can't!
n't ^xnot++not++0=EXTRAWORD
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must
tell ^vb++++=tell
me ^pp1o+pp1+++=me
about ^in++++=about
Basilio ^np++++=Basilio."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
frightened ^nn++++=frightened
whisper ^vb+vpub+++=whisper,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
asked ^vbd+vsua++xvbnx+=asked,
, ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+aux++=EXTRAWORD
you ^pp2+pp2+++=you
kill ^vb++++=kill
him ^pp3o+pp3+++=him?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
loved ^jj+atrb++xvbn+=loved
one ^pn++++=one;
; ^zz++++=EXTRAWORD
Basilio ^np++++=Basilio
is ^vbz+bez+vrb++=is
alive ^jj+pred+++=alive."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
sank ^vbd+++xvbnx+=sank
back ^jjb++++=back
upon ^in++++=upon
her ^pp$+pp3+++=her
pillow ^nn++++=pillow.
. ^zz++++=EXTRAWORD
" ^zz++++="God
god ^np++++=EXTRAWORD
be ^vb+be+aux++=be
praised ^vpsv++agls+xvbnx+=praised!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
whispered ^vbd+vpub++xvbnx+=whispered.
. ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
she ^pp3a+pp3+++=she
started ^vbd+++xvbnx+=started
again ^rb+tm+++=again
and ^cc++++=and
looked ^vbd+++xvbn+=looked
keenly ^rb++++=keenly
into ^in++++=into
her ^pp$+pp3+++=her
husband ^nn++++=husband's
's ^$++++=EXTRAWORD
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
never ^rb++splt++=never
deceived ^vprf+++xvbnx+=deceived
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
hurriedly ^rb++++=hurriedly
said ^vbd+vpub++xvbn+=said;
; ^zz++++=EXTRAWORD
" ^zz++++="but,
but ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Robert ^np++++=Robert,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
know ^vb+vprv+++=know
the ^ati++++=the
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
Have ^vb+hv+vrb++=Have
no ^at++++=no
fear ^nn++++=fear--I
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can
bear ^vb+vprv+tht0++=bear
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
For ^in++++=For
God ^np++++=God's
's ^$++++=EXTRAWORD
sake ^nn++++=sake,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
tell ^vb++++=tell
me ^pp1o+pp1+++=me
the ^ati++++=the
truth ^nn++++=truth!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Alarmed ^vbd+++xvbn+=Alarmed,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
her ^pp$+pp3+++=her
in ^in++++=in
his ^pp$+pp3+++=his
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Be
be ^vb+be+vrb++=EXTRAWORD
calm ^nn++++=calm,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
Violante ^np+++??+=Violante;
; ^zz++++=EXTRAWORD
for ^in++++=for
as ^in++++=as
the ^ati++++=the
Almighty ^jj++++=Almighty
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
witness ^nns+nom+++=witness,
, ^zz++++=EXTRAWORD
Basilio ^np++++=Basilio
is ^vbz+bez+vrb++=is
alive ^jj+pred+++=alive."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Alive!
alive ^jj++++=EXTRAWORD
! ^zz++++=EXTRAWORD
alive ^jj++++=alive!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
cried ^vbd+++xvbnx+=cried;
; ^zz++++=EXTRAWORD
" ^zz++++="what
what ^wdt+who+whq++=EXTRAWORD
does ^vbz+doz+aux++=does
that ^dt+dem+++=that
mean ^jj++++=mean?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
are ^vb+ber+aux++=are
keeping ^vbg+++xvbgx+=keeping
something ^pn++++=something
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
husband ^nn++++=husband.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
your ^pp$+pp2+++=your
passionate ^jj+atrb+++=passionate
nature ^nn++++=nature
too ^ql++++=too
well ^rb++++=well--you
-- ^--+clp+++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
could ^md+pos+++=could
not ^xnot++not++=not
let ^vb+++xvbn+=let
him ^pp3o+pp3+++=him
off ^in+pl+++=off
so ^ql++++=so
easily ^rb++++=easily.
. ^zz++++=EXTRAWORD
Tell ^vb++++=Tell
me ^pp1o+pp1+++=me
the ^ati++++=the
whole ^jj+atrb+++=whole
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
Robert ^np++++=Robert,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
go ^vb++++=go
mad ^jj++++=mad!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
frantic ^jj+atrb+++=frantic
earnestness ^nns+nom+++=earnestness
in ^in++++=in
this ^dt+dem+++=this
that ^dt+pdem+++=that
would ^md+prd+++=would
have ^vb+hv+aux++=have
made ^vprf+++xvbnx+=made
evasion ^nn+++??+=evasion
unwise ^jj++++=unwise.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will,
, ^zz++++=EXTRAWORD
Violante ^np+++??+=Violante;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will.
. ^zz++++=EXTRAWORD
Listen ^vb++++=Listen--for
-- ^--+clp+++=EXTRAWORD
for ^in++++=EXTRAWORD
upon ^in++++=upon
my ^pp$+pp1+++=my
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
the ^ati++++=the
whole ^jj+atrb+++=whole
truth ^nn++++=truth:
: ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
you ^pp2+pp2+++=you
drop ^vb++++=drop
the ^ati++++=the
pistol ^nn++++=pistol
and ^cc++++=and
sink ^nn++++=sink
back ^jjb++++=back
upon ^in++++=upon
the ^ati++++=the
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
had ^vbd+hvd+aux++=had
fainted ^vprf+++xvbnx+=fainted.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ordered ^vbd+vsua++xvbnx+=ordered
the ^ati++++=the
vaqueros ^nns+++??+=vaqueros
to ^to++++=to
secure ^vbi++++=secure
the ^ati++++=the
weapon ^nn++++=weapon
and ^cc++++=and
make ^vb++++=make
Basilio ^np++++=Basilio
descend ^vb++++=descend
to ^in++++=to
the ^ati++++=the
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
ran ^vbd+++xvbnx+=ran
upstairs ^jjb++++=upstairs,
, ^zz++++=EXTRAWORD
placed ^xvbn+++xvbn+=placed
you ^pp2+pp2+++=you
on ^in++++=on
the ^ati++++=the
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
loosened ^j+++xvbn+=loosened
your ^pp$+pp2+++=your
clothing ^nn++++=clothing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
did ^vbd+dod+vrb++=did
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
could ^md+pos+++=could
to ^to++++=to
restore ^vbi++++=restore
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
you ^pp2+pp2+++=you
remained ^vbd+++xvbn+=remained
unconscious ^jj++++=unconscious----"
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Basilio!
basilio ^np++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Basilio ^np++++=Basilio!
! ^zz++++=EXTRAWORD
tell ^vb++++=tell
me ^pp1o+pp1+++=me
about ^rb++++=about
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
went ^vbd+++xvbnx+=went
to ^in++++=to
the ^ati++++=the
window ^nn++++=window
and ^cc++++=and
sent ^vbd+++xvbn+=sent
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
men ^nns++++=men
to ^in++++=to
the ^ati++++=the
hacienda ^nn+++??+=hacienda
for ^in++++=for
a ^at++++=a
doctor ^nn++++=doctor
for ^in++++=for
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
told ^vbd+vpub++xvbn+=told
the ^ati++++=the
other ^ap++++=other
to ^to++++=to
bring ^vbi++++=bring
Basilio ^np++++=Basilio
to ^in++++=to
this ^dt+dem+++=this
room ^nn++++=room.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
came ^vbd+++xvbnx+=came
in ^in++++=in
very ^ql+amp+++=very
weak ^jj++++=weak
and ^cc+phrs+++=and
trembling ^jj+++xvbg+=trembling,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen
from ^in++++=from
the ^ati++++=the
vine ^nn++++=vine
and ^cc++++=and
was ^vbd+bedz+aux++=was
slightly ^rb+down+splt++=slightly
stunned ^vpsv++agls+xvbnx+=stunned,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
much ^ap++++=much
hurt ^vbd+++xvbn+=hurt.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
expected ^vbd+vprv++xvbnx+=expected
me ^pp1o+pp1+++=me
to ^to++++=to
kill ^vbi++++=kill
him ^pp3o+pp3+++=him
here ^rn+pl+++=here
in ^in++++=in
this ^dt+dem+++=this
room ^nn++++=room,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
do ^vb+do+vrb++=do
that ^dt+pdem+++=that--I
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
afraid ^jj+pred+++=afraid
on ^in++++=on
your ^pp$+pp2+++=your
account ^nn++++=account,
, ^zz++++=EXTRAWORD
Violante ^np+++??+=Violante.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
quiet ^nn++++=quiet
and ^cc++++=and
ill ^jj++++=ill----"
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Hurry,
hurry ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Robert ^np++++=Robert,
, ^zz++++=EXTRAWORD
hurry ^np++++=hurry!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
said ^vbd+vpub+tht0+xvbnx+=said
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
spoke ^vbd+++xvbnx+=spoke
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
hung ^vbd+++xvbnx+=hung
his ^pp$+pp3+++=his
head ^nn++++=head
and ^cc++++=and
asked ^vbd+vsua++xvbn+=asked
me ^pp1o+pp1+++=me
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
would ^md+prd+++=would
let ^vb+++xvbn+=let
him ^pp3o+pp3+++=him
pray ^vb+vsua+++=pray.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
I ^pp1a+pp1+++=I
would ^md+prd+++=would
not ^xnot++not++=not
kill ^vb++++=kill
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
A ^at++++=A
great ^jj++++=great
light ^jj++++=light
broke ^vbd+++xvbn+=broke
over ^in++++=over
his ^pp$+pp3+++=his
face ^nn++++=face.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
fell ^vbd+++xvbnx+=fell
at ^rb++++=at
my ^pp$+pp1+++=my
feet ^nns++++=feet
and ^cc++++=and
clasped ^vbd+++xvbn+=clasped
my ^pp$+pp1+++=my
knees ^nns++++=knees
and ^cc++++=and
kissed ^vbd+++xvbn+=kissed
my ^pp$+pp1+++=my
boots ^nns++++=boots
and ^cc++++=and
wept ^vpsv++agls+xvbn+=wept
like ^in++++=like
a ^at++++=a
child ^nn++++=child.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
pitiful ^jj+pred+++=pitiful,
, ^zz++++=EXTRAWORD
Violante ^np+++??+=Violante."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Poor
poor ^jj+atrb+++=EXTRAWORD
Basilio ^np++++=Basilio!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
begged ^vbd+++xvbnx+=begged
me ^pp1o+pp1+++=me
to ^to++++=to
punish ^vbi++++=punish
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
removed ^vbd+++xvbnx+=removed
his ^pp$+pp3+++=his
shirt ^nn++++=shirt
and ^cc++++=and
implored ^vbd+++xvbn+=implored
me ^pp1o+pp1+++=me
to ^to++++=to
beat ^vbi++++=beat
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
I ^pp1a+pp1+++=I
would ^md+prd+++=would
not ^xnot++not++=not
touch ^nn++++=touch
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub+tht0+xvbnx+=said
he ^pp3a+pp3+++=he
would ^md+prd+++=would
be ^vb+be+vrb++=be
your ^pp$+pp2+++=your
slave ^nn++++=slave
and ^cc++++=and
mine ^pp$$++++=mine
all ^abn++++=all
his ^pp$+pp3+++=his
life ^nn++++=life;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
insisted ^vbd+vpub++xvbnx+=insisted
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
must ^md+nec+++=must
make ^vb++++=make
some ^dti++++=some
physical ^jj+atrb+++=physical
atonement ^nn+nom+++=atonement--he
-- ^--+clp+++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
must ^md+nec+++=must
be ^vb+be+aux++=be
punished ^vpsv++agls+xvbnx+=punished.
. ^zz++++=EXTRAWORD
' ^zz++++='Very
very ^ql+amp+++=EXTRAWORD
well ^rb+cnj+++=well,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
turned ^vbd+++xvbnx+=turned
to ^in++++=to
Nicolas ^np+++??+=Nicolas
and ^cc++++=and
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
to ^to++++=to
give ^vbi++++=give
Basilio ^np++++=Basilio
some ^dti++++=some
light ^nn++++=light
punishment ^nn+nom+++=punishment,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
that ^dt+pdem+++=that
would ^md+prd+++=would
relieve ^vb++++=relieve
his ^pp$+pp3+++=his
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
Nicolas ^np+++??+=Nicolas
took ^vbd+++xvbn+=took
him ^pp3o+pp3+++=him
down ^rp++++=down
and ^cc++++=and
lashed ^vbd+++xvbn+=lashed
him ^pp3o+pp3+++=him
to ^in++++=to
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
a ^at++++=a
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turned ^vbd+++xvbn+=turned
the ^ati++++=the
animal ^nn++++=animal
into ^in++++=into
the ^ati++++=the
horse ^nn++++=horse-corral.
- ^zz++++=EXTRAWORD
corral ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Nicolas ^np+++??+=Nicolas
came ^vbd+++xvbn+=came
back ^jjb++++=back
and ^cc++++=and
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
replied ^vbd+vpub++xvbnx+=replied
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
all ^abn++++=all
right ^jj++++=right,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
as ^ql++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
I ^pp1a+pp1+++=I
could ^md+pos+++=could
leave ^vb++++=leave
you ^pp2+pp2+++=you
I ^pp1a+pp1+++=I
would ^md+prd+++=would
go ^vb++++=go
and ^cc++++=and
release ^nn++++=release
Basilio ^np++++=Basilio.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
I ^pp1a+pp1+++=I
told ^vbd+vpub++xvbnx+=told
Nicolas ^np+++??+=Nicolas
to ^to++++=to
go ^vbi++++=go
to ^in++++=to
the ^ati++++=the
