We ^pp1a+pp1+++=We,
way ^nn++++=way
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
country ^nn++++=country
could ^md+pos+++=could
acknowledge ^vb+vpub+++=acknowledge
the ^ati++++=the
long ^jj+atrb+++=long
services ^nns++++=services
and ^cc++++=and
brave ^jj+atrb+++=brave
career ^nn++++=career
of ^in++++=of
such ^abl++++=such
a ^at++++=a
friend ^nn++++=friend
and ^cc++++=and
benefactor ^nn++++=benefactor?
? ^zz++++=EXTRAWORD
Since ^cs+sub+++=Since
George ^np++++=George's
's ^$++++=EXTRAWORD
time ^nn++++=time
humor ^nn++++=humor
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
converted ^vpsv++agls+xvbnx+=converted.
. ^zz++++=EXTRAWORD
Comus ^&fw++++=Comus
and ^cc++++=and
his ^pp$+pp3+++=his
wicked ^jj+atrb+++=wicked
satyrs ^nns+++??+=satyrs
and ^cc++++=and
leering ^jj+atrb+++=leering
fauns ^nns+++??+=fauns
have ^vb+hv+aux++=have
disappeared ^vprf+++xvbnx+=disappeared,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fled ^vpsv++agls+xvbn+=fled
into ^in++++=into
the ^ati++++=the
lowest ^jjt+atrb+++=lowest
haunts ^nns++++=haunts;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Comus ^np++++=Comus's
's ^$++++=EXTRAWORD
lady ^npt++++=lady
( ^zz++++=(if
if ^cs+cnd+++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
a ^at++++=a
taste ^nn++++=taste
for ^in++++=for
humor ^nn++++=humor,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
be ^vb+be+aux++=be
doubted ^vpsv++agls+xvbnx+=doubted)
) ^zz++++=EXTRAWORD
might ^md+pos+++=might
take ^vb++++=take
up ^rb+phrv+++=up
our ^pp$+pp1+++=our
funny ^jj+atrb+++=funny
picture ^nn++++=picture-books
- ^zz++++=EXTRAWORD
books ^nns++++=EXTRAWORD
without ^in++++=without
the ^ati++++=the
slightest ^jjt+atrb+++=slightest
precautionary ^nn+nom+++=precautionary
squeamishness ^nns+nom+++=squeamishness.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
can ^md+pos+++=can
be ^vb+be+vrb++=be
purer ^jjr+pred+++=purer
than ^in++++=than
the ^ati++++=the
charming ^jj+atrb++xvbg+=charming
fancies ^nns++++=fancies
of ^in++++=of
Richard ^np++++=Richard
Doyle ^np+++??+=Doyle?
? ^zz++++=EXTRAWORD
In ^in++++=In
all ^rb++++=all
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Punch ^np++++=Punch's
's ^$++++=EXTRAWORD
huge ^jj+atrb+++=huge
galleries ^nns+nom+++=galleries
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
we ^pp1a+pp1+++=we
walk ^nn++++=walk
as ^ql++++=as
safely ^rb++++=safely
as ^ql++++=as
through ^in++++=through
Miss ^npt++++=Miss
Pinkerton ^np++++=Pinkerton's
's ^$++++=EXTRAWORD
schoolrooms ^vbz+++??+=schoolrooms?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
as ^ql++++=as
we ^pp1a+pp1+++=we
look ^vb++++=look
at ^rb++++=at
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Punch ^np++++=Punch's
's ^$++++=EXTRAWORD
pictures ^nns++++=pictures,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
Illustrated ^jj+atrb++xvbn+=Illustrated
News ^nn++++=News
pictures ^nns++++=pictures,
, ^zz++++=EXTRAWORD
at ^rb++++=at
all ^abn++++=all
the ^ati++++=the
pictures ^nns++++=pictures
in ^in++++=in
the ^ati++++=the
book ^nn++++=book-shop
- ^zz++++=EXTRAWORD
shop ^nn++++=EXTRAWORD
windows ^nns++++=windows
at ^in++++=at
this ^dt+dem+++=this
Christmas ^np++++=Christmas
season ^nn++++=season,
, ^zz++++=EXTRAWORD
as ^in++++=as
oldsters ^nns+nom+++=oldsters,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
feel ^vb+vprv+++=feel
a ^at++++=a
certain ^jj+atrb+++=certain
pang ^nn++++=pang
of ^in++++=of
envy ^nn++++=envy
against ^in++++=against
the ^ati++++=the
youngsters ^nns+nom+++=youngsters--they
-- ^--+clp+++=EXTRAWORD
they ^pp3a+pp3+++=EXTRAWORD
are ^vb+ber+vrb++=are
too ^ql++++=too
well ^rb++++=well
off ^rp+pl+++=off.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
had ^vb+hv+aux++=hadn't
n't ^xnot++not++0=EXTRAWORD
We ^pp1a+pp1+++=WE
picture ^nn++++=picture-books?
- ^zz++++=EXTRAWORD
books ^nns++++=EXTRAWORD
? ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
were ^vbd+bed+vrb++=were
we ^pp1a+pp1+++=we
flogged ^vbd+++xvbn+=flogged
so ^ql++++=so?
? ^zz++++=EXTRAWORD
A ^at++++=A
plague ^nn++++=plague
on ^in++++=on
the ^ati++++=the
lictors ^nns++++=lictors
and ^cc++++=and
their ^pp$+pp3+++=their
rods ^nns++++=rods
in ^in++++=in
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
Plancus ^np+++??+=Plancus!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
after ^in++++=after
this ^dt+dem+++=this
rambling ^jj+atrb+++=rambling
preface ^nn++++=preface,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
arrived ^vpsv++agls+xvbnx+=arrived
at ^rb++++=at
the ^ati++++=the
subject ^nn++++=subject
in ^in++++=in
hand ^nn++++=hand--Mr.
-- ^--+clp+++=EXTRAWORD
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
John ^np++++=John
Leech ^np++++=Leech
and ^cc++++=and
his ^pp$+pp3+++=his
" ^zz++++="Pictures
pictures ^nns++++=EXTRAWORD
of ^in++++=of
Life ^nn++++=Life
and ^cc++++=and
Character ^nn+nom+++=Character,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
collection ^nn+nom+++=collection
of ^in++++=of
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Punch ^np++++=Punch.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
book ^nn++++=book
is ^vbz+bez+vrb++=is
better ^jjr+pred+++=better
than ^in++++=than
plum ^nn++++=plum-cake
- ^zz++++=EXTRAWORD
cake ^nn++++=EXTRAWORD
at ^in++++=at
Christmas ^np++++=Christmas.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
an ^at++++=an
enduring ^jj+atrb++xvbg+=enduring
plum ^nn++++=plum-cake,
- ^zz++++=EXTRAWORD
cake ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
you ^pp2+pp2+++=you
may ^md+pos+++=may
eat ^vb++++=eat
and ^cc++++=and
which ^whp+rel+obj++=which
you ^pp2+pp2+++=you
may ^md+pos+++=may
slice ^vb++++=slice
and ^cc+phrs+++=and
deliver ^vb++++=deliver
to ^in++++=to
your ^pp$+pp2+++=your
friends ^nns++++=friends;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
which ^whp+who+++=which,
, ^zz++++=EXTRAWORD
having ^vbg+++xvbg+=having
cut ^nn+++xvbn+=cut
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
may ^md+pos+++=may
come ^vprf+++xvbn+=come
again ^rb+tm+++=again
and ^cc++++=and
welcome ^nn++++=welcome,
, ^zz++++=EXTRAWORD
from ^in++++=from
year ^nn++++=year's
's ^$++++=EXTRAWORD
end ^nn++++=end
to ^in++++=to
year ^nn++++=year's
's ^$++++=EXTRAWORD
end ^nn++++=end.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
frontispiece ^nn++++=frontispiece
you ^pp2+pp2+++=you
see ^vb+vprv+++=see
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Punch ^np++++=Punch
examining ^vwbg+++xvbg+=examining
the ^ati++++=the
pictures ^nns++++=pictures
in ^in++++=in
his ^pp$+pp3+++=his
gallery ^nn+nom+++=gallery--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
portly ^jj++++=portly,
, ^zz++++=EXTRAWORD
well ^rb+dspt+++=well-dressed,
- ^zz++++=EXTRAWORD
dressed ^xvbn+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
middle ^jjb++++=middle-aged,
- ^zz++++=EXTRAWORD
aged ^jj+atrb+++=EXTRAWORD
, ^zz++++=EXTRAWORD
respectable ^jj+atrb+++=respectable
gentleman ^nn+nom+++=gentleman,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
white ^jj+atrb+++=white
neck ^nn++++=neck-cloth,
- ^zz++++=EXTRAWORD
cloth ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
polite ^jj+atrb+++=polite
evening ^nn++++=evening
costume ^nn++++=costume--smiling
-- ^--+clp+++=EXTRAWORD
smiling ^jj+++xvbg+=EXTRAWORD
in ^in++++=in
a ^at++++=a
very ^ql+amp+++=very
bland ^np++++=bland
and ^cc++++=and
agreeable ^jj+atrb+++=agreeable
manner ^nn++++=manner
upon ^in++++=upon
one ^pn++++=one
of ^in++++=of
his ^pp$+pp3+++=his
pleasant ^jj+atrb+++=pleasant
drawings ^nns++++=drawings,
, ^zz++++=EXTRAWORD
taken ^xvbn+++xvbn+=taken
out ^rp+pl+++=out
of ^in++++=of
one ^pn++++=one
of ^in++++=of
his ^pp$+pp3+++=his
handsome ^jj+atrb+++=handsome
portfolios ^nns+++??+=portfolios.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Punch ^np++++=Punch
has ^vbz+hvz+vrb++=has
very ^ql+amp+++=very
good ^jj+atrb+++=good
reason ^nn++++=reason
to ^in++++=to
smile ^nn++++=smile
at ^in++++=at
the ^ati++++=the
work ^nn++++=work
and ^cc++++=and
be ^vb+be+aux++=be
satisfied ^vpsv++agls+xvbnx+=satisfied
with ^in++++=with
the ^ati++++=the
artist ^nn++++=artist.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Leech ^np++++=Leech,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
chief ^jjb+atrb+++=chief
contributor ^nn++++=contributor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
some ^dti++++=some
kindred ^nn++++=kindred
humorists ^nns+nom+++=humorists,
, ^zz++++=EXTRAWORD
with ^in++++=with
pencil ^nn++++=pencil
and ^cc++++=and
pen ^nn++++=pen
have ^vb+hv+aux++=have
served ^vprf+++xvbnx+=served
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Punch ^np++++=Punch
admirably ^rb++++=admirably.
. ^zz++++=EXTRAWORD
Time ^nn++++=Time
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
remember ^nn+nom+++=remember
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
P. ^np++++=P.'s
's ^$++++=EXTRAWORD
history ^nn++++=history
rightly ^rb+cnj+++=rightly,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
wear ^vb++++=wear
silk ^nn++++=silk
stockings ^nns++++=stockings
nor ^cc++neg++=nor
well ^rb++++=well-made
- ^zz++++=EXTRAWORD
made ^xvbn+++xvbn+=EXTRAWORD
clothes ^nns++++=clothes
( ^zz++++=(the
the ^ati++++=EXTRAWORD
little ^jj+atrb+++=little
dorsal ^jj+atrb+++=dorsal
irregularity ^nn+nom+++=irregularity
in ^in++++=in
his ^pp$+pp3+++=his
figure ^nn++++=figure
is ^vbz+bez+vrb++=is
almost ^rb+hdg+++=almost
an ^at++++=an
ornament ^nn+nom+++=ornament
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
excellent ^jj++++=excellent
a ^at++++=a
tailor ^nn++++=tailor
has ^vbz+hvz+vrb++=has
he ^pp3a+pp3+++=he).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
of ^in++++=of
humble ^jj+atrb+++=humble
beginnings ^nns++++=beginnings.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
said ^vpsv++tht0+xvbnx+=said
he ^pp3a+pp3+++=he
kept ^vbd+++xvbnx+=kept
a ^at++++=a
ragged ^jj+atrb+++=ragged
little ^jj+atrb+++=little
booth ^nn++++=booth,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
put ^vbd+++xvbnx+=put
up ^rb+phrv+++=up
at ^in++++=at
corners ^nns+nom+++=corners
of ^in++++=of
streets ^nns++++=streets;
; ^zz++++=EXTRAWORD
associated ^j+++xvbn+=associated
with ^in++++=with
beadles ^nns+++??+=beadles,
, ^zz++++=EXTRAWORD
policemen ^nns++++=policemen,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
own ^ap++++=own
ugly ^jj+atrb+++=ugly
wife ^nn++++=wife
( ^zz++++=(whom
whom ^whp+wpor+++=EXTRAWORD
he ^pp3a+pp3+++=he
treated ^vbd+++xvbnx+=treated
most ^ql+emph+++=most
scandalously ^rb++++=scandalously),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
persons ^nns++++=persons
in ^in++++=in
a ^at++++=a
low ^jj+atrb+++=low
station ^nn+nom+++=station
of ^in++++=of
life ^nn++++=life;
; ^zz++++=EXTRAWORD
earning ^vbg+++xvbg+=earning
a ^at++++=a
precarious ^jj+atrb+++=precarious
livelihood ^nn+nom+++=livelihood
by ^in++++=by
the ^ati++++=the
cracking ^jj+++xvbg+=cracking
of ^in++++=of
wild ^jj+atrb+++=wild
jokes ^nns++++=jokes,
, ^zz++++=EXTRAWORD
the ^ati++++=the
singing ^jj+++xvbg+=singing
of ^in++++=of
ribald ^jj+atrb+++=ribald
songs ^nns++++=songs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
halfpence ^nns+nom+++=halfpence
extorted ^vbd+++xvbn+=extorted
from ^in++++=from
passers ^nns+nom+++=passers-by.
- ^zz++++=EXTRAWORD
by ^in+strn+++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
the ^ati++++=the
Satyric ^np+++??+=Satyric
genius ^nn++++=genius
we ^pp1a+pp1+++=we
spoke ^vbd+++xvbn+=spoke
of ^in++++=of
anon ^nn+++??+=anon:
: ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cracks ^nns++++=cracks
his ^pp$+pp3+++=his
jokes ^nns++++=jokes
still ^rb+cnj+++=still,
, ^zz++++=EXTRAWORD
for ^in++++=for
satire ^nn++++=satire
must ^md+nec+++=must
live ^vb++++=live;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
combed ^vpsv++agls+xvbnx+=combed,
, ^zz++++=EXTRAWORD
washed ^xvbn+++xvbn+=washed,
, ^zz++++=EXTRAWORD
neatly ^rb++++=neatly
clothed ^vbd+++xvbn+=clothed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
perfectly ^rb+amp+++=perfectly
presentable ^jj++++=presentable.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
goes ^vbz++++=goes
into ^in++++=into
the ^ati++++=the
very ^ql+amp+++=very
best ^jjt+atrb+++=best
company ^nn++++=company;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
keeps ^vbz++++=keeps
a ^at++++=a
stud ^nn++++=stud
at ^in++++=at
Melton ^np++++=Melton;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
has ^vbz+hvz+vrb++=has
a ^at++++=a
moor ^npl++++=moor
in ^in++++=in
Scotland ^np++++=Scotland;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
rides ^vbz++++=rides
in ^in++++=in
the ^ati++++=the
Park ^nn++++=Park;
; ^zz++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
his ^pp$+pp3+++=his
stall ^nn++++=stall
at ^rb++++=at
the ^ati++++=the
Opera ^nn++++=Opera;
; ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
constantly ^rb++splt++=constantly
dining ^vbg+++xvbgx+=dining
out ^rp+pl+++=out
at ^in++++=at
clubs ^nns++++=clubs
and ^cc++++=and
in ^in++++=in
private ^jj+atrb+++=private
society ^nn++++=society;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
goes ^vbz++++=goes
every ^at++++=every
night ^nn++++=night
in ^in++++=in
the ^ati++++=the
season ^nn++++=season
to ^in++++=to
balls ^nns++++=balls
and ^cc++++=and
parties ^nns++++=parties,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
you ^pp2+pp2+++=you
see ^vb+vprv+++=see
the ^ati++++=the
most ^ql+emph+++=most
beautiful ^jj+atrb+++=beautiful
women ^nns++++=women
possible ^jj++++=possible.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+aux++=is
welcomed ^vpsv++agls+xvbnx+=welcomed
amongst ^in++++=amongst
his ^pp$+pp3+++=his
new ^jj+atrb+++=new
friends ^nns++++=friends
the ^ati++++=the
great ^jj++++=great;
; ^zz++++=EXTRAWORD
though ^rb+cnj+++=though,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
good ^jj+atrb+++=good
old ^jj+atrb+++=old
English ^jj+atrb+++=English
gentleman ^nn+nom+++=gentleman
of ^in++++=of
the ^ati++++=the
song ^nn++++=song,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
does ^vbz+doz+aux++=does
not ^xnot++not++=not
forget ^vb+vprv+++=forget
the ^ati++++=the
small ^nn++++=small.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
pats ^nns++++=pats
the ^ati++++=the
heads ^nns++++=heads
of ^in++++=of
street ^nn++++=street
boys ^nns++++=boys
and ^cc++++=and
girls ^nns++++=girls;
; ^zz++++=EXTRAWORD
relishes ^vbz++++=relishes
the ^ati++++=the
jokes ^nns++++=jokes
of ^in++++=of
Jack ^np++++=Jack
the ^ati++++=the
costermonger ^jjr++++=costermonger
and ^cc++++=and
Bob ^np++++=Bob
the ^ati++++=the
dustman ^nn++++=dustman;
; ^zz++++=EXTRAWORD
good ^jj++++=good-naturedly
- ^zz++++=EXTRAWORD
naturedly ^jj+atrb+++=EXTRAWORD
spies ^nns++++=spies
out ^rp+pl+++=out
Molly ^np++++=Molly
the ^ati++++=the
cook ^nn++++=cook
flirting ^vwbg+++xvbg+=flirting
with ^in++++=with
policeman ^nn+nom+++=policeman
X ^zz++++=X,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Mary ^np++++=Mary
the ^ati++++=the
nursemaid ^nn++++=nursemaid
as ^ql++++=as
she ^pp3a+pp3+++=she
listens ^vbz++++=listens
to ^in++++=to
the ^ati++++=the
fascinating ^jj+atrb+++=fascinating
guardsman ^nn+nom+++=guardsman.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
used ^vbd+++xvbnx+=used
rather ^rb++++=rather
to ^to++++=to
laugh ^vbi++++=laugh
at ^in+ppvb+++=at
guardsmen ^nns++++=guardsmen,
, ^zz++++=EXTRAWORD
" ^zz++++="plungers,"
plungers ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
other ^ap++++=other
military ^jj+atrb+++=military
men ^nns++++=men;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
until ^cs+sub+++=until
latter ^ap++++=latter
days ^nns++++=days
very ^ql+amp+++=very
contemptuous ^jj++++=contemptuous
in ^in++++=in
his ^pp$+pp3+++=his
behavior ^nn++++=behavior
towards ^in++++=towards
Frenchmen ^np+++??+=Frenchmen.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
has ^vbz+hvz+vrb++=has
a ^at++++=a
natural ^jj+atrb+++=natural
antipathy ^nn++++=antipathy
to ^in++++=to
pomp ^nn++++=pomp,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
swagger ^jjr++++=swagger,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fierce ^jj+atrb+++=fierce
demeanor ^nn++++=demeanor.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
now ^rn+tm+++=now
that ^cs+sub+++=that
the ^ati++++=the
guardsmen ^nns++++=guardsmen
are ^vb+ber+aux++=are
gone ^vpsv++agls+xvbnx+=gone
to ^in++++=to
war ^nn++++=war,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
dandies ^nns++++=dandies
of ^in++++=of
" ^zz++++="The
the ^ati++++=EXTRAWORD
Rag" ^np+++??+=Rag"--dandies
-- ^--+clp+++=EXTRAWORD
dandies ^nns++++=EXTRAWORD
no ^at++++=no
more ^ql++++=more--are
-- ^--+clp+++=EXTRAWORD
are ^vb+ber+aux++=EXTRAWORD
battling ^nvbg+++xvbg+=battling
like ^in++++=like
heroes ^nns++++=heroes
at ^in++++=at
Balaklava ^np+++??+=Balaklava
and ^cc++++=and
Inkermann* ^np+++??+=Inkermann*
by ^in++++=by
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
their ^pp$+pp3+++=their
heroic ^jj+atrb+++=heroic
allies ^nns++++=allies,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Punch ^np++++=Punch's
's ^$++++=EXTRAWORD
laughter ^nn+nom+++=laughter
is ^vbz+bez+aux++=is
changed ^vpsv++agls+xvbnx+=changed
to ^in++++=to
hearty ^jj+atrb+++=hearty
respect ^nn++++=respect
and ^cc++++=and
enthusiasm ^nn++++=enthusiasm.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
against ^in++++=against
courage ^nn+nom+++=courage
and ^cc++++=and
honor ^nn++++=honor
he ^pp3a+pp3+++=he
wars ^nns++++=wars:
: ^zz++++=EXTRAWORD
but ^cc+cls+++=but
this ^dt+dem+++=this
great ^jj+atrb+++=great
moralist ^nn+nom+++=moralist--must
-- ^--+clp+++=EXTRAWORD
must ^md+nec+++=EXTRAWORD
it ^pp3+it+++=it
be ^vb+be+vrb++=be
owned? ^nn+++??+=owned?--has
-- ^--+clp+++=EXTRAWORD
has ^vbz+hvz+vrb++=EXTRAWORD
some ^dti++++=some
popular ^jj+atrb+++=popular
British ^jj+atrb+++=British
prejudices ^nns++++=prejudices,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
these ^dt+dem+++=these
led ^jj+++xvbn+=led
him ^pp3o+pp3+++=him
in ^in++++=in
peace ^nn++++=peace
time ^nn++++=time
to ^to++++=to
laugh ^vbi++++=laugh
at ^in+ppvb+++=at
soldiers ^nns+nom+++=soldiers
and ^cc++++=and
Frenchmen ^np+++??+=Frenchmen.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
those ^dt+dem+++=those
hulking ^xvbg+++xvbg+=hulking
footmen ^vprf+++xvbn+=footmen
who ^whp+who+++=who
accompanied ^vbd+++xvbn+=accompanied
the ^ati++++=the
carriages ^nns+nom+++=carriages
to ^in++++=to
the ^ati++++=the
opening ^jj+++xvbg+=opening
of ^in++++=of
Parliament ^nn+nom+++=Parliament
the ^ati++++=the
other ^ap++++=other
day ^nn++++=day,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
form ^vb++++=form
a ^at++++=a
plush ^jj+atrb+++=plush
brigade ^nn++++=brigade,
, ^zz++++=EXTRAWORD
wear ^vb++++=wear
only ^rb+down+++=only
gunpowder ^nn+nom+++=gunpowder
in ^in++++=in
their ^pp$+pp3+++=their
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
strike ^nn++++=strike
with ^in++++=with
their ^pp$+pp3+++=their
great ^jj+atrb+++=great
canes ^nns++++=canes
on ^in++++=on
the ^ati++++=the
enemy ^nn++++=enemy,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Punch ^np++++=Punch
would ^md+prd+++=would
leave ^vb++++=leave
off ^in+pl+++=off
laughing ^xvbg+++xvbg+=laughing
at ^rb++++=at
Jeames ^np+++??+=Jeames,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
meanwhile ^rb++++=meanwhile
remains ^vbz++++=remains
among ^in++++=among
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
to ^in++++=to
all ^abn++++=all
outward ^jjb+atrb+++=outward
appearance ^nn+nom+++=appearance
regardless ^rb++++=regardless
of ^in++++=of
satire ^nn++++=satire,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
calmly ^rb++++=calmly
consuming ^vbg+++xvbg+=consuming
his ^pp$+pp3+++=his
five ^cd++++=five
meals ^nns++++=meals
per ^nnu++++=per
diem ^nn+++??+=diem.
. ^zz++++=EXTRAWORD
Against ^in++++=Against
lawyers ^nns+nom+++=lawyers,
, ^zz++++=EXTRAWORD
beadles ^nns+++??+=beadles,
, ^zz++++=EXTRAWORD
bishops ^npt++++=bishops
and ^cc++++=and
clergy ^nns++++=clergy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
authorities ^nns+nom+++=authorities,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Punch ^np++++=Punch
is ^vbz+bez+vrb++=is
still ^rb++++=still
rather ^rb++++=rather
bitter ^jj++++=bitter.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
the ^ati++++=the
Papal ^jj+atrb+++=Papal
aggression ^nn++++=aggression
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
prodigiously ^rb++++=prodigiously
angry ^jj+pred+++=angry;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
chief ^jjb+atrb+++=chief
misfortunes ^nns++++=misfortunes
which ^whp+rel+subj++=which
happened ^vbd+++xvbn+=happened
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him
at ^rb++++=at
that ^dt+dem+++=that
period ^nn++++=period
was ^vbd+bedz+vrb++=was
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
through ^in++++=through
the ^ati++++=the
violent ^jj+atrb+++=violent
opinions ^nns++++=opinions
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
expressed ^vbd+vpub++xvbnx+=expressed
regarding ^in++++=regarding
the ^ati++++=the
Roman ^jj+atrb+++=Roman
Catholic ^jj+atrb+++=Catholic
hierarchy ^nn++++=hierarchy,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
lost ^vbd+++xvbnx+=lost
the ^ati++++=the
invaluable ^jj+atrb+++=invaluable
services ^nns++++=services,
, ^zz++++=EXTRAWORD
the ^ati++++=the
