Human ^jj+atrb+++=Human
! ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
moment ^nn++++=moment
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan's
's ^$++++=EXTRAWORD
character ^nn+nom+++=character
was ^vbd+bedz+aux++=was
gone ^vpsv++agls+xvbnx+=gone;
; ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
he ^pp3a+pp3+++=he
figured ^vbd+++xvbnx+=figured
in ^in++++=in
the ^ati++++=the
police ^nns++++=police-court
- ^zz++++=EXTRAWORD
court ^nn++++=EXTRAWORD
under ^in++++=under
some ^dti++++=some
disgraceful ^jj+atrb+++=disgraceful
charge ^nn++++=charge,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
landladies ^nns++++=landladies
could ^md+pos+++=could
hardly ^rb+down+++=hardly
have ^vb+hv+aux++=have
felt ^vprf+++xvbnx+=felt
more ^rbr++++=more
shocked ^jj+++xvbn+=shocked
and ^cc+phrs+++=and
professed ^jj+++xvbn+=professed
themselves ^ppls+pp3+++=themselves
more ^rbr++++=more
disgusted ^jj+++xvbn+=disgusted.
. ^zz++++=EXTRAWORD
The ^ati++++=The
intelligence ^nn+nom+++=intelligence
spread ^vbd+++xvbn+=spread.
. ^zz++++=EXTRAWORD
Women ^nns++++=Women
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
of ^in++++=of
their ^pp$+pp3+++=their
way ^nn++++=way
to ^in++++=to
have ^vbi++vrb++=have
a ^at++++=a
sight ^nn++++=sight
of ^in++++=of
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Elderfield ^np++++=Elderfield's
's ^$++++=EXTRAWORD
house ^npl++++=house;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
hung ^vbd+++xvbnx+=hung
about ^in++++=about
for ^in++++=for
a ^at++++=a
glimpse ^nn++++=glimpse
of ^in++++=of
that ^dt+dem+++=that
sinister ^jj+atrb+++=sinister
person ^nn++++=person
herself ^ppl+pp3+++=herself.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
robbed ^vprf+++xvbnx+=robbed
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
every ^at++++=every
one ^pn++++=one,
, ^zz++++=EXTRAWORD
of ^in++++=of
a ^at++++=a
possible ^jj+atrb+++=possible
share ^nn++++=share
in ^in++++=in
Islington ^np++++=Islington's
's ^$++++=EXTRAWORD
prize ^nn++++=prize
lodger ^jjr++++=lodger.
. ^zz++++=EXTRAWORD
Had ^vb+hv+aux++=Had
it ^pp3+it+++=it
been ^vprf+ben+vrb+xvbn+=been
one ^pn++++=one
of ^in++++=of
themselves ^ppls+pp3+++=themselves
they ^pp3a+pp3+++=they
could ^md+pos+++=could
have ^vb+hv+aux++=have
borne ^vprf+++xvbnx+=borne
the ^ati++++=the
chagrin ^nn++++=chagrin;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
woman ^nn++++=woman
whom ^whp+rel+obj++=whom
not ^xnot++not++=not
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
knew ^vbd+vprv++xvbn+=knew,
, ^zz++++=EXTRAWORD
an ^at++++=an
alien ^jj++++=alien!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What
base ^nn++++=base
arts ^nns++++=arts
had ^vb+hv+aux++=had
she ^pp3a+pp3+++=she
practised ^vbd+++xvbnx+=practised?
? ^zz++++=EXTRAWORD
Ah ^uh++++=Ah,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
better ^jjr+pred+++=better
not ^xnot++not++=not
to ^to++++=to
inquire ^vbi++++=inquire
too ^ql++++=too
closely ^rb++++=closely
into ^in++++=into
the ^ati++++=the
secrets ^nns++++=secrets
of ^in++++=of
that ^dt+dem+++=that
lodging ^nn++++=lodging-house.
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Though ^cs+sub+++=Though
every ^at++++=every
effort ^nn++++=effort
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
to ^to+vcmp+++=to
learn ^vbi+vprv+++=learn
the ^ati++++=the
time ^nn++++=time
and ^cc++++=and
place ^nn++++=place
of ^in++++=of
the ^ati++++=the
ceremony ^nn++++=ceremony,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan's
's ^$++++=EXTRAWORD
landladies ^nns++++=landladies
had ^vb+hv+vrb++=had
the ^ati++++=the
mortification ^nn+nom+++=mortification
to ^to++++=to
hear ^vbi+vprv+++=hear
of ^in++++=of
his ^pp$+pp3+++=his
wedding ^nn++++=wedding
only ^rb+down+++=only
when ^wrb+who+++=when
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
showed ^vb+++xvbn+=showed
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt
the ^ati++++=the
disgracefulness ^nns+nom+++=disgracefulness
of ^in++++=of
his ^pp$+pp3+++=his
behaviour ^nn++++=behaviour;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
utterly ^rb+amp+++=utterly
lost ^jj+++xvbn+=lost
to ^to++++=to
shame ^vbi++++=shame.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
could ^md+pos+++=could
only ^rb+down+++=only
be ^vb+be+aux++=be
hoped ^vpsv++agls+xvbnx+=hoped
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
would ^md+prd+++=would
not ^xnot++not++=not
know ^vb+vprv+++=know
the ^ati++++=the
bitterness ^nns+nom+++=bitterness
of ^in++++=of
repentance ^nn+nom+++=repentance.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
till ^cs+sub+++=till
he ^pp3a+pp3+++=he
found ^vbd+vprv+tht0+xvbnx+=found
himself ^ppl+pp3+++=himself
actually ^rb+amp+++=actually
living ^jj+++xvbg+=living
in ^in++++=in
the ^ati++++=the
house ^npl++++=house
at ^rb++++=at
Wood ^nn++++=Wood
Green ^npl++++=Green
did ^vbd+dod+vrb++=did
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan
realize ^vb+vprv+++=realize
how ^wrb+who+whcl++=how
little ^rb++++=little
his ^pp$+pp3+++=his
own ^ap++++=own
will ^md+prd+++=will
had ^vb+hv+aux++=had
had ^md"++pmd"++=had
to ^md+nec+++=to
do ^vb++++=do
with ^in++++=with
the ^ati++++=the
recent ^jj+atrb+++=recent
course ^nn++++=course
of ^in++++=of
events ^nns++++=events.
. ^zz++++=EXTRAWORD
Certainly ^rb+cnj+++=Certainly,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
love ^vb++++=love
to ^to+vcmp+++=to
the ^ati++++=the
widow ^nn++++=widow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
asked ^vprf+++xvbnx+=asked
her ^pp$+pp3+++=her
to ^to++++=to
marry ^vbi++++=marry
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
from ^in++++=from
that ^cs+sub+++=that
point ^nn++++=point
onward ^jjb++++=onward
he ^pp3a+pp3+++=he
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
have ^vbi++++=have
put ^vbd+++xvbn+=put
himself ^ppl+pp3+++=himself
entirely ^rb+amp+++=entirely
in ^in++++=in
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Elderfield ^np++++=Elderfield's
's ^$++++=EXTRAWORD
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
granting ^vbg+++xvbg+=granting
every ^at++++=every
request ^nn++++=request,
, ^zz++++=EXTRAWORD
meeting ^nvbg+++xvbg+=meeting
half ^abn++++=half-way
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
every ^at++++=every
suggestion ^nn+nom+++=suggestion
she ^pp3a+pp3+++=she
offered ^vbd+++xvbnx+=offered,
, ^zz++++=EXTRAWORD
becoming ^vbg+++xvbg+=becoming,
, ^zz++++=EXTRAWORD
in ^rb++++=in
short ^rb"++++=short,
, ^zz++++=EXTRAWORD
quite ^rb++++=quite
a ^at++++=a
different ^jj++++=different
kind ^rb++++=kind
of ^rb"++++=of
man ^nn++++=man
from ^in++++=from
his ^pp$+pp3+++=his
former ^ap++++=former
self ^nn++++=self.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
sensible ^jj++++=sensible
of ^in++++=of
a ^at++++=a
moment ^nn++++=moment's
's ^$++++=EXTRAWORD
reluctance ^nn+nom+++=reluctance;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
enjoyed ^vbd+++xvbnx+=enjoyed
the ^ati++++=the
novel ^nn++++=novel
sense ^nn++++=sense
of ^in++++=of
yielding ^xvbg+++xvbg+=yielding
himself ^ppl+pp3+++=himself
to ^in++++=to
affectionate ^jj+atrb+++=affectionate
guidance ^nn+nom+++=guidance.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
wits ^nns++++=wits
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
wool ^nn++++=wool-gathering;
- ^zz++++=EXTRAWORD
gathering ^vbg+++xvbg+=EXTRAWORD
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
returned ^vbd+++xvbnx+=returned
to ^in++++=to
him ^pp3o+pp3+++=him
only ^rb+down+++=only
after ^in++++=after
the ^ati++++=the
short ^jj+atrb+++=short
honeymoon ^nn++++=honeymoon
at ^in++++=at
Brighton ^np++++=Brighton,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
stood ^vbd+++xvbnx+=stood
upon ^in++++=upon
his ^pp$+pp3+++=his
own ^ap++++=own
hearth ^nn++++=hearth-rug,
- ^zz++++=EXTRAWORD
rug ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looked ^vpsv++agls+xvbn+=looked
round ^rb++++=round
at ^rb++++=at
the ^ati++++=the
new ^jj+atrb+++=new
furniture ^nn++++=furniture
and ^cc++++=and
ornaments ^nns+nom+++=ornaments
which ^whp+rel+subj++=which
symbolized ^vbd+++xvbn+=symbolized
a ^at++++=a
new ^nn++++=new
beginning ^vwbg+++xvbg+=beginning
of ^in++++=of
life ^nn++++=life.
. ^zz++++=EXTRAWORD
The ^ati++++=The
admirable ^jj+atrb+++=admirable
landlady ^nn++++=landlady
had ^vbd+hvd+aux++=had
shown ^vprf+++xvbnx+=shown
herself ^ppl+pp3+++=herself
energetic ^jj++++=energetic,
, ^zz++++=EXTRAWORD
clear ^jj++++=clear-headed,
- ^zz++++=EXTRAWORD
headed ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
full ^jj++++=full
of ^in++++=of
resource ^nn++++=resource;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
she ^pp3a+pp3+++=she
who ^whp+who+++=who
chose ^vbd+++xvbn+=chose
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
transacted ^jj+++xvbn+=transacted
all ^abn++++=all
the ^ati++++=the
business ^nns+nom+++=business
in ^in++++=in
connection ^nn+nom+++=connection
with ^in++++=with
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan
had ^vb+hv+aux++=had
merely ^rb+down+splt++=merely
run ^vprf+++xvbnx+=run
about ^in++++=about
in ^in++++=in
her ^pp$+pp3+++=her
company ^nn++++=company
from ^in++++=from
place ^nn++++=place
to ^to++++=to
place ^vbi++++=place,
, ^zz++++=EXTRAWORD
smiling ^jj+atrb++xvbg+=smiling
approval ^nn+nom+++=approval
and ^cc++++=and
signing ^nvbg+++xvbg+=signing
cheques ^nns++++=cheques.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
could ^md+pos+++=could
have ^vb+hv+aux++=have
gone ^vprf+++xvbnx+=gone
to ^in++++=to
work ^nn++++=work
more ^rbr++++=more
prudently ^rb+cnj+++=prudently,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
obtained ^vwbn+++xvbn+=obtained
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
wanted ^vbd+++xvbnx+=wanted
at ^in++++=at
smaller ^jjr+atrb+++=smaller
outlay ^nn++++=outlay;
; ^zz++++=EXTRAWORD
for ^in++++=for
all ^abn++++=all
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
recovered ^xvbn+++xvbn+=recovered
something ^pn++++=something
like ^in++++=like
his ^pp$+pp3+++=his
normal ^jj+atrb+++=normal
frame ^nn++++=frame
of ^in++++=of
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
viewed ^xvbn+++xvbn+=viewed
the ^ati++++=the
results ^nns++++=results
with ^in++++=with
consternation ^nn+nom+++=consternation.
. ^zz++++=EXTRAWORD
Left ^j+++xvbn+=Left
to ^in++++=to
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
have ^vb+hv+aux++=have
taken ^vprf+++xvbnx+=taken
a ^at++++=a
very ^ql+amp+++=very
small ^jj+atrb+++=small
house ^nn++++=house,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
furnished ^jj+++xvbn+=furnished
it ^pp3+it+++=it
much ^rb++++=much
in ^in++++=in
the ^ati++++=the
style ^nn++++=style
of ^in++++=of
Islington ^np+++??+=Islington
lodgings ^nns++++=lodgings;
; ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
occupied ^vbd+++xvbnx+=occupied
a ^at++++=a
ten ^cd++++=ten-roomed
- ^zz++++=EXTRAWORD
roomed ^jj+++xvbn+=EXTRAWORD
' ^zz++++='villa',
villa ^np++++=EXTRAWORD
', ^nn+++??+=EXTRAWORD
with ^in++++=with
appointments ^nns+nom+++=appointments
which ^whp+rel+subj++=which
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
him ^vbi++++=him
luxurious ^jj++++=luxurious,
, ^zz++++=EXTRAWORD
aristocratic ^jj++++=aristocratic.
. ^zz++++=EXTRAWORD
True ^jj++++=True,
, ^zz++++=EXTRAWORD
the ^ati++++=the
expenditure ^nn++++=expenditure
was ^vbd+bedz+vrb++=was
of ^in++++=of
no ^at++++=no
moment ^nn++++=moment
to ^in++++=to
a ^at++++=a
man ^nn++++=man
in ^in++++=in
his ^pp$+pp3+++=his
position ^nn+nom+++=position,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+aux++=was
no ^at++++=no
fear ^vb++++=fear
that ^tht+vcmp+++=that
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan
would ^md+prd+++=would
involve ^vb++++=involve
him ^pp3o+pp3+++=him
in ^in++++=in
dangerous ^jj+atrb+++=dangerous
extravagance ^nn+nom+++=extravagance;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
always ^rb++splt++=always
lived ^vprf+++xvbnx+=lived
with ^in+ppvb+++=with
such ^abl++++=such
excessive ^jj+atrb+++=excessive
economy ^nn++++=economy
that ^tht+rel+obj++=that
the ^ati++++=the
sudden ^jj+atrb+++=sudden
change ^nn++++=change
to ^in++++=to
a ^at++++=a
life ^nn++++=life
correspondent ^nn++++=correspondent
with ^in++++=with
his ^pp$+pp3+++=his
income ^nn++++=income
could ^md+pos+++=could
not ^xnot++not++=not
but ^cc++++=but
make ^vb++++=make
him ^pp3o+pp3+++=him
uncomfortable ^jj++++=uncomfortable.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
seen ^vb+++xvbn+=seen
to ^to+vcmp+++=to
it ^pp3+it+++=it
that ^cs+sub+++=that
her ^pp3o+pp3+++=her
personal ^jj+atrb+++=personal
appearance ^nn+nom+++=appearance
harmonized ^vbd+++xvbn+=harmonized
with ^in++++=with
the ^ati++++=the
new ^jj+atrb+++=new
surroundings ^nns++++=surroundings.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
dressed ^vbd+++xvbnx+=dressed
herself ^ppl+pp3+++=herself
and ^cc++++=and
her ^pp$+pp3+++=her
young ^jj+atrb+++=young
daughter ^nn+nom+++=daughter
with ^in++++=with
careful ^jj+atrb+++=careful
appropriateness ^nns+nom+++=appropriateness.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
display ^nn++++=display,
, ^zz++++=EXTRAWORD
no ^at++++=no
purchase ^nn++++=purchase
of ^in++++=of
gewgaws ^nns+++??+=gewgaws--merely
-- ^--+clp+++=EXTRAWORD
merely ^rb+down+++=EXTRAWORD
garments ^nns+nom+++=garments
of ^in++++=of
good ^jj+atrb+++=good
quality ^nn+nom+++=quality,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^cs+sub+++=as
became ^vbd+++xvbn+=became
people ^nns++++=people
in ^in++++=in
easy ^jj+atrb+++=easy
circumstances ^nns+nom+++=circumstances.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
impressed ^vbd+++xvbnx+=impressed
upon ^in++++=upon
her ^pp$+pp3+++=her
husband ^nn++++=husband
that ^tht+rel+obj++=that
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
return ^nn++++=return
to ^in++++=to
the ^ati++++=the
habits ^nns++++=habits
of ^in++++=of
her ^pp$+pp3+++=her
earlier ^jjr+atrb+++=earlier
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
first ^od++++=first
marriage ^nn+nom+++=marriage
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
sad ^jj+atrb+++=sad
mistake ^nn++++=mistake;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
brought ^vprf+++xvbnx+=brought
her ^pp$+pp3+++=her
down ^rp++++=down
in ^in++++=in
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
she ^pp3a+pp3+++=she
felt ^vbd+vprv++xvbnx+=felt
restored ^vbd+++xvbn+=restored
to ^in++++=to
her ^pp$+pp3+++=her
natural ^jj+atrb+++=natural
position ^nn+nom+++=position.
. ^zz++++=EXTRAWORD
After ^in++++=After
a ^at++++=a
week ^nn++++=week
of ^in++++=of
restlessness ^nns+nom+++=restlessness,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan
resumed ^vbd+++xvbn+=resumed
his ^pp$+pp3+++=his
daily ^jj+atrb+++=daily
visits ^nns++++=visits
to ^in++++=to
the ^ati++++=the
shop ^nn++++=shop
in ^in++++=in
Upper ^jjb+atrb+++=Upper
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
sat ^vbd+++xvbnx+=sat
as ^in++++=as
usual ^nn++++=usual
among ^in++++=among
the ^ati++++=the
books ^nns++++=books
and ^cc++++=and
the ^ati++++=the
correspondence ^nn+nom+++=correspondence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
assure ^vbi++++=assure
himself ^ppl+pp3+++=himself
that ^dt+dem+++=that
all ^abn++++=all
would ^md+prd+++=would
henceforth ^rb++++=henceforth
be ^vb+be+vrb++=be
well ^rb++++=well
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
No ^at++++=No
more ^rbr++++=more
changing ^jj+++xvbg+=changing
from ^in++++=from
house ^npl++++=house
to ^in++++=to
house ^npl++++=house;
; ^zz++++=EXTRAWORD
a ^at++++=a
really ^rb+emph+++=really
comfortable ^jj+atrb+++=comfortable
home ^nr++++=home
in ^in++++=in
which ^whp+rel+pied++=which
to ^to++++=to
spend ^vbi++++=spend
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
his ^pp$+pp3+++=his
days ^nns++++=days;
; ^zz++++=EXTRAWORD
a ^at++++=a
kind ^nn++++=kind
and ^cc++++=and
most ^ql+emph+++=most
capable ^jj+atrb+++=capable
wife ^nn++++=wife
to ^to++++=to
look ^vbi++++=look
after ^in+ppvb+++=after
all ^abn++++=all
his ^pp$+pp3+++=his
needs ^nns++++=needs,
, ^zz++++=EXTRAWORD
to ^in++++=to
humour ^nn++++=humour
all ^rb++++=all
his ^pp$+pp3+++=his
little ^jj+atrb+++=little
habits ^nns++++=habits.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
not ^xnot++not++=not
have ^vb+hv+aux++=have
taken ^vprf+++xvbnx+=taken
a ^at++++=a
wiser ^nn++++=wiser
step ^vb++++=step.
. ^zz++++=EXTRAWORD
For ^in++++=For
all ^abn++++=all
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
something ^pn++++=something,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
yet ^rb++++=yet
understand ^vb+vprv+++=understand
what ^wdt+who+whcl++=what
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
perception ^nn+nom+++=perception
of ^in++++=of
a ^at++++=a
change ^nn++++=change
not ^xnot++not++=not
for ^in++++=for
the ^ati++++=the
better ^nn++++=better
flashed ^vbd+++xvbn+=flashed
upon ^in++++=upon
him ^pp3o+pp3+++=him
one ^cd1++++=one
evening ^nn++++=evening
in ^in++++=in
the ^ati++++=the
second ^od++++=second
week ^nn++++=week,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
home ^nr++++=home
an ^at++++=an
hour ^nn++++=hour
later ^rbr+tm+++=later
than ^in++++=than
his ^pp$+pp3+++=his
wont ^nn++++=wont.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
always ^rb++++=always
stood ^vbd+++xvbn+=stood
waiting ^vbg+++xvbg+=waiting
for ^in++++=for
him ^pp3o+pp3+++=him
at ^in++++=at
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
no ^at++++=no
smile ^nn++++=smile
as ^ql++++=as
he ^pp3a+pp3+++=he
entered ^vbd+++xvbnx+=entered.
. ^zz++++=EXTRAWORD
' ^zz++++='Why
why ^wrb+who+whq++=EXTRAWORD
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
late ^jj++++=late?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
asked ^vbd+vsua++xvbnx+=asked,
, ^zz++++=EXTRAWORD
in ^in++++=in
her ^pp$+pp3+++=her
clear ^jj+atrb+++=clear,
, ^zz++++=EXTRAWORD
restrained ^jj+atrb++xvbn+=restrained
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
' ^zz++++='Oh--something
oh ^uh++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
something ^pn++++=EXTRAWORD
or ^cc++++=or
other ^ap++++=other
kept ^vbd+++xvbn+=kept
me ^pp1o+pp1+++=me.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
would ^md+prd+++=would
not ^xnot++not++=not
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan
quietly ^rb++++=quietly
insisted ^vbd+vpub++xvbn+=insisted
on ^in++++=on
a ^at++++=a
full ^jj+atrb+++=full
explanation ^nn+nom+++=explanation
of ^in++++=of
the ^ati++++=the
delay ^nn++++=delay,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
her ^pp$+pp3+++=her
unsatisfactory ^jj++++=unsatisfactory.
. ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
hope ^nn++++=hope
you ^pp2+pp2+++=you
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
irregular ^nn++++=irregular
in ^in++++=in
your ^pp$+pp2+++=your
habits ^nns++++=habits,
, ^zz++++=EXTRAWORD
Archibald ^np++++=Archibald,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
with ^in++++=with
gentle ^jj+atrb+++=gentle
admonition ^nn+nom+++=admonition.
. ^zz++++=EXTRAWORD
' ^zz++++='What
what ^wdt+who+++=EXTRAWORD
I ^pp1a+pp1+++=I
always ^rb++++=always
liked ^vbd+++xvbn+=liked
in ^in++++=in
you ^pp2+pp2+++=you
was ^vbd+bedz+vrb++=was
your ^pp$+pp2+++=your
methodical ^jj+atrb+++=methodical
way ^nn++++=way
of ^in++++=of
living ^xvbg+++xvbg+=living.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
very ^ql+amp+++=very
uncomfortable ^jj++++=uncomfortable
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
never ^rb++++=never
know ^vb+vprv+++=know
when ^wrb+who+whcl++=when
to ^to++++=to
expect ^vbi+vprv+tht0++=expect
you ^pp2+pp2+++=you.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
dear ^nn++++=dear,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but--business,
-- ^--+clp+++=EXTRAWORD
business ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see--'
-- ^--+clp+++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='But
