Half ^abn++++=Half
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
language ^nn+nom+++=language
was ^vbd+bedz+aux++=was
interpreted ^vpsv++agls+xvbnx+=interpreted,
, ^zz++++=EXTRAWORD
a ^at++++=a
deep ^jj+atrb+++=deep
but ^cc+phrs+++=but
smothered ^jj+atrb++xvbn+=smothered
resentment ^nn+nom+++=resentment
was ^vbd+bedz+aux++=was
felt ^vpsv++agls+xvbnx+=felt;
; ^zz++++=EXTRAWORD
more ^rbr++++=more
especially ^rb++++=especially
at ^in++++=at
the ^ati++++=the
taunts ^nns++++=taunts
touching ^vwbg+++xvbg+=touching
the ^ati++++=the
manner ^nn++++=manner
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
whites ^nns++++=whites
had ^vbd+hvd+aux++=had
overcome ^vprf+++xvbnx+=overcome
the ^ati++++=the
red ^jj+atrb+++=red
men ^nns++++=men.
. ^zz++++=EXTRAWORD
Truth ^nn++++=Truth
is ^vbz+bez+vrb++=is
hard ^jj+pred+++=hard
to ^to+jcmp+++=to
be ^vbi+vbi+aux++=be
borne ^vpsv++agls+xvbnx+=borne,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
individual ^nn+nom+++=individual,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
people ^nns++++=people,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
will ^md+prd+++=will
treat ^vb++++=treat
a ^at++++=a
thousand ^cd++++=thousand
injurious ^jj+atrb+++=injurious
lies ^nns++++=lies
with ^in++++=with
contempt ^nn++++=contempt,
, ^zz++++=EXTRAWORD
feel ^vb+vprv+++=feel
all ^abn++++=all
their ^pp$+pp3+++=their
ire ^nn++++=ire
aroused ^vbd+++xvbn+=aroused
at ^rb++++=at
one ^cd1++++=one
reproach ^nn++++=reproach
that ^tht+rel+subj++=that
has ^vbz+hvz+vrb++=has
its ^pp$+it+++=its
foundation ^nn+nom+++=foundation
in ^in++++=in
fact ^nn++++=fact.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
the ^ati++++=the
anger ^nn++++=anger
that ^tht+rel+obj++=that
the ^ati++++=the
corporal ^nn+nom+++=corporal's
's ^$++++=EXTRAWORD
words ^nns++++=words
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
in ^in++++=in
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
awaken ^vb++++=awaken,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
successfully ^rb++++=successfully
repressed ^jj+pred+++=repressed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
the ^ati++++=the
disappointment ^nn+nom+++=disappointment
of ^in++++=of
seeing ^vb+vprv++xvbg+=seeing
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
life ^nn++++=life
was ^vbd+bedz+aux++=was
spared ^vpsv++agls+xvbnx+=spared
for ^in++++=for
the ^ati++++=the
torture ^nn++++=torture.
. ^zz++++=EXTRAWORD
" ^zz++++="Brother,"
brother ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Bough ^nn++++=Bough
of ^in++++=of
the ^ati++++=the
Oak ^nn++++=Oak,
, ^zz++++=EXTRAWORD
again ^rb+tm+++=again
placing ^vbg+++xvbg+=placing
himself ^ppl+pp3+++=himself
before ^in++++=before
the ^ati++++=the
captive ^nn++++=captive,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+vrb++=have
a ^at++++=a
stout ^jj+atrb+++=stout
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
made ^vpsv++agls+xvbnx+=made
of ^in++++=of
stone ^nn++++=stone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
of ^in++++=of
flesh ^nn++++=flesh.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
our ^pp$+pp1+++=our
hearts ^nns++++=hearts
be ^vb+be+vrb++=be
of ^in++++=of
dog ^nn++++=dog's
's ^$++++=EXTRAWORD
meat ^nn++++=meat,
, ^zz++++=EXTRAWORD
yours ^pp$$++++=yours
is ^vbz+bez+vrb++=is
of ^in++++=of
stone ^nn++++=stone.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
you ^pp2+pp2+++=you
say ^vb+vpub+++=say
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pale ^jj++++=pale-faces
- ^zz++++=EXTRAWORD
faces ^vbz++++=EXTRAWORD
did ^vbd+dod+aux++=did
come ^vb++++=come
at ^rb++++=at
first ^rb"++++=first
in ^in++++=in
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
canoes ^nns++++=canoes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
but ^cc++++=but
few ^ap++++=few
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
are ^vb+ber+vrb++=are
ashamed ^jj+pred+++=ashamed,
, ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true.
. ^zz++++=EXTRAWORD
A ^ap++++=A
few ^ap"++++=few
pale ^jj++++=pale-faces
- ^zz++++=EXTRAWORD
faces ^nns++++=EXTRAWORD
drove ^vbd+++xvbn+=drove
toward ^in++++=toward
the ^ati++++=the
setting ^jj+atrb++xvbg+=setting
sun ^nn++++=sun
many ^ap++++=many
Injins ^np+++??+=Injins.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
we ^pp1a+pp1+++=we
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
driven ^vpsv++agls+xvbnx+=driven
any ^dti++++=any
further ^jjb++++=further.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
mean ^vb+vprv+++=mean
to ^to+vcmp+++=to
stop ^vbi++++=stop
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
begin ^vb++++=begin
to ^to++++=to
take ^vbi++++=take
all ^abn++++=all
the ^ati++++=the
scalps ^nns+++??+=scalps
we ^pp1a+pp1+++=we
can ^md+pos+++=can.
. ^zz++++=EXTRAWORD
A ^at++++=A
great ^jj++++=great
chief ^jjb++++=chief,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
belongs ^vbz++++=belongs
to ^in++++=to
no ^ati++neg++=no
one ^cd1++++=one
tribe ^nn++++=tribe,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
belongs ^vbz++++=belongs
to ^in++++=to
all ^abn++++=all
tribes ^nns++++=tribes,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
speaks ^vbz++++=speaks
all ^abn++++=all
tongues ^nns++++=tongues,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
sent ^vpsv++by+xvbnx+=sent
by ^in++++=by
the ^ati++++=the
Great ^jj+atrb+++=Great
Spirit ^nn++++=Spirit
to ^to++++=to
arouse ^vbi++++=arouse
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
has ^vbz+hvz+aux++=has
done ^vprf+++xvbnx+=done
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
came ^vbd+++xvbnx+=came
from ^in+ppvb+++=from
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
the ^ati++++=the
lake ^nn++++=lake
with ^in++++=with
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
kept ^vbd+++xvbn+=kept
his ^pp$+pp3+++=his
eye ^nn++++=eye
on ^in++++=on
your ^pp$+pp2+++=your
scalp ^nn++++=scalp.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
has ^vbz+hvz+aux++=has
meant ^vprf+++xvbnx+=meant
to ^to+vcmp+++=to
take ^vbi++++=take
it ^pp3+it+++=it
from ^in++++=from
the ^ati++++=the
first ^rb++++=first.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
waited ^vbd+++xvbnx+=waited
only ^rb+down+++=only
for ^in++++=for
an ^at++++=an
opportunity ^nn+nom+++=opportunity.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
opportunity ^nn+nom+++=opportunity
has ^vbz+hvz+aux++=has
come ^vprf+++xvbn+=come,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
now ^rn+tm+++=now
mean ^vb+vprv+++=mean
to ^to+vcmp+++=to
do ^vbi++++=do
as ^ql++++=as
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
told ^vprf+++xvbnx+=told
us ^pp1o+pp1+++=us
we ^pp1a+pp1+++=we
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
do ^vb++++=do.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
right ^jj+pred+++=right.
. ^zz++++=EXTRAWORD
Squaws ^np+++??+=Squaws
are ^vb+ber+vrb++=are
in ^in++++=in
a ^at++++=a
hurry ^nn++++=hurry;
; ^zz++++=EXTRAWORD
warriors ^nns++++=warriors
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
to ^to++++=to
wait ^vbi++++=wait.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
would ^md+prd+++=would
kill ^vb++++=kill
you ^pp2+pp2+++=you
at ^rb++++=at
once ^rb"+tm+++=once,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hang ^vb++++=hang
your ^pp$+pp2+++=your
scalp ^nn++++=scalp
on ^in++++=on
our ^pp$+pp1+++=our
pole ^nn++++=pole,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
would ^md+prd+++=would
not ^xnot++not++=not
be ^vb+be+vrb++=be
right ^jj+pred+++=right.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
do ^vbi++++=do
what ^wdt+who+++=what
is ^vbz+bez+vrb++=is
right ^jj+pred+++=right.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
poor ^jj+atrb+++=poor
Injins ^np+++??+=Injins,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
know ^vb+vprv+++=know
but ^cc++++=but
little ^jj++++=little,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
know ^vb+vprv+++=know
what ^wdt+who+++=what
is ^vbz+bez+vrb++=is
right ^jj+pred+++=right.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
right ^nn+pred+++=right
to ^to+ncmp+++=to
torment ^nn+nom+++=torment
so ^ql++++=so
great ^np++++=great
a ^at++++=a
brave ^jj++++=brave,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
mean ^vb+vprv+++=mean
to ^to+vcmp+++=to
do ^vbi++++=do
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
only ^rb+down+++=only
just ^rb+emph+++=just
to ^in++++=to
you ^pp2+pp2+++=you
to ^to++++=to
do ^vbi++++=do
so ^rb++++=so.
. ^zz++++=EXTRAWORD
An ^at++++=An
old ^jj+atrb+++=old
warrior ^nn++++=warrior
who ^whp+rel+subj++=who
has ^vbz+hvz+aux++=has
seen ^vprf+++xvbnx+=seen
so ^ql++++=so
many ^ap++++=many
enemies ^nns++++=enemies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
who ^whp+rel+subj++=who
has ^vbz+hvz+vrb++=has
so ^rb+emph+++=so
big ^jj++++=big
a ^at++++=a
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
ought ^md+nec+++=ought
not ^xnot++not++=not
to ^to++++=to
be ^vbi+vbi+aux++=be
knocked ^vpsv++agls+xvbnx+=knocked
in ^in++++=in
the ^ati++++=the
head ^nn++++=head
like ^in++++=like
a ^at++++=a
pappoose ^nn+++??+=pappoose
or ^cc++++=or
a ^at++++=a
squaw ^nn+++??+=squaw.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
his ^pp$+pp3+++=his
right ^nn++++=right
to ^to+ncmp+++=to
be ^vbi+vbi+aux++=be
tormented ^vpsv++agls+xvbnx+=tormented.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
are ^vb+ber+aux++=are
getting ^vbg+++xvbgx+=getting
ready ^jj++++=ready,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shall ^md+prd+++=shall
soon ^rb+tm+splt++=soon
begin ^vb++++=begin.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
my ^pp$+pp1+++=my
brother ^nn++++=brother
can ^md+pos+++=can
tell ^vb++++=tell
us ^pp1o+pp1+++=us
a ^at++++=a
new ^jj+atrb+++=new
way ^nn++++=way
of ^in++++=of
tormenting ^xvbg+++xvbg+=tormenting,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
willing ^jj+pred+++=willing
to ^to+jcmp+++=to
try ^vbi++++=try
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Should ^md+nec+++=Should
we ^pp1a+pp1+++=we
not ^xnot++not++=not
make ^vb++++=make
out ^rp+pl+++=out
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
pale ^jj++++=pale-faces,
- ^zz++++=EXTRAWORD
faces ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
brother ^nn++++=brother
will ^md+prd+++=will
remember ^nn+nom+++=remember
who ^whp+who+++=who
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
mean ^vb+vprv+++=mean
to ^to+vcmp+++=to
do ^vbi++++=do
our ^pp$+pp1+++=our
best ^jjt++++=best,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
hope ^vb++++=hope
to ^to+vcmp+++=to
make ^vbi++++=make
his ^pp$+pp3+++=his
heart ^nn++++=heart
soft ^jj++++=soft.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
we ^pp1a+pp1+++=we
do ^vb+do+vrb++=do
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
great ^jj++++=great
will ^md+prd+++=will
be ^vb+be+vrb++=be
our ^pp$+pp1+++=our
honor ^nn++++=honor.
. ^zz++++=EXTRAWORD
Should ^md+nec+++=Should
we ^pp1a+pp1+++=we
not ^xnot++not++=not
do ^vb+do+vrb++=do
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
cannot ^md+pos+not++=cannot
help ^vb++++=help
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
shall ^md+prd+++=shall
try ^vb++++=try."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
now ^rn+tm+++=now
the ^ati++++=the
corporal ^nn+nom+++=corporal's
's ^$++++=EXTRAWORD
turn ^nn++++=turn
to ^to++++=to
put ^vbi++++=put
in ^rb+phrv+++=in
a ^at++++=a
rebutter ^nn++++=rebutter.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
without ^in++++=without
any ^dti++++=any
failure ^nn++++=failure
in ^in++++=in
will ^md+prd+++=will
or ^cc++++=or
performance ^nn+nom+++=performance.
. ^zz++++=EXTRAWORD
By ^in++++=By
this ^dt+dem+++=this
time ^nn++++=time
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
so ^ql++++=so
well ^rb++++=well
warmed ^vbd+++xvbn+=warmed
as ^in++++=as
to ^in"++++=to
think ^vb+vprv+++=think
or ^cc++++=or
care ^nn++++=care
very ^ql+amp+++=very
little ^ap++++=little
about ^in++++=about
the ^ati++++=the
saplings ^nns+nom+++=saplings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
overlook ^vbi+vprv+++=overlook
the ^ati++++=the
pain ^nn++++=pain
they ^pp3a+pp3+++=they
might ^md+pos+++=might
occasion ^vb++++=occasion.
. ^zz++++=EXTRAWORD
" ^zz++++="Dogs
dogs ^nns++++=EXTRAWORD
can ^md+pos+++=can
do ^vb+do+vrb++=do
little ^jj++++=little
but ^cc++++=but
bark ^nn++++=bark;
; ^zz++++=EXTRAWORD
' ^zz++++='specially
specially ^rb++++=EXTRAWORD
Injin ^np+++??+=Injin
dogs ^nns++++=dogs,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Injins
injins ^vbz+++??+=EXTRAWORD
themselves ^ppls+pp3+++=themselves
are ^vb+ber+vrb++=are
little ^ap++++=little
better ^jjr++++=better
than ^in++++=than
their ^pp$+pp3+++=their
own ^ap++++=own
dogs ^nns++++=dogs.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
can ^md+pos+++=can
bark ^vb++++=bark,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
to ^to++++=to
bite ^vbi++++=bite.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+vrb++=have
many ^ap++++=many
great ^jj+atrb+++=great
chiefs ^nns++++=chiefs
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
are ^vb+ber+vrb++=are
panthers ^nns+nom+++=panthers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
some ^dti++++=some
bears ^nns++++=bears,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
some ^dti++++=some
buffaloes ^nns+++??+=buffaloes;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
where ^wrb+who+whq++=where
are ^vb+ber+vrb++=are
your ^pp$+pp2+++=your
weasels ^vbz+++??+=weasels?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
fit ^nn++++=fit
you ^pp2+pp2+++=you
now ^rn+tm+++=now
these ^dt+dem+++=these
twenty ^cd++++=twenty
years ^nns++++=years,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
never ^rb++++=never
have ^vb+hv+aux++=have
I ^pp1a+pp1+++=I
known ^vbd+vprv+tht0+xvbnx+=known
ye ^pp2+pp2+++=ye
to ^to++++=to
stand ^vbi++++=stand
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
baggonet ^nn+++??+=baggonet.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
Injin ^np+++??+=Injin
natur ^&fw++++=natur'
' ^zz++++=EXTRAWORD
to ^to++++=to
do ^vbi++++=do
that ^dt+pdem+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
the ^ati++++=the
corporal ^nn+nom+++=corporal,
, ^zz++++=EXTRAWORD
without ^in++++=without
knowing ^xvbg+++xvbg+=knowing
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
some ^dti++++=some
such ^abl++++=such
reproach ^nn++++=reproach
to ^in++++=to
the ^ati++++=the
aboriginal ^jj+atrb+++=aboriginal
warriors ^nns++++=warriors
of ^in++++=of
America ^np++++=America
as ^in++++=as
the ^ati++++=the
English ^nn++++=English
used ^md"++pmd"++=used
to ^to++++=to
throw ^vb++++=throw
into ^in++++=into
the ^ati++++=the
teeth ^nns++++=teeth
of ^in++++=of
ourselves ^ppls+pp1+++=ourselves
that ^cs+sub+++=that
of ^in++++=of
not ^xnot++not++=not
standing ^vbg+++xvbg+=standing
up ^in+cmpx+++=up
to ^in"++++=to
a ^at++++=a
weapon ^nn++++=weapon
which ^whp+rel+obj++=which
neither ^dt++neg++=neither
party ^nn++++=party
possessed ^vbd+++xvbn+=possessed.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
matter ^nn++++=matter
of ^in++++=of
great ^jj+atrb+++=great
triumph ^nn++++=triumph
that ^tht+rel+obj++=that
the ^ati++++=the
Americans ^nns+nom+++=Americans
would ^md+prd+++=would
not ^xnot++not++=not
stand ^vb++++=stand
the ^ati++++=the
charge ^nn++++=charge
of ^in++++=of
the ^ati++++=the
bayonet ^nn++++=bayonet
at ^in++++=at
the ^ati++++=the
renowned ^jj+atrb+++=renowned
fight ^nn++++=fight
on ^in++++=on
Breed ^nn++++=Breed's,
's, ^nn+++??+=EXTRAWORD
for ^in++++=for
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
well ^rb++splt++=well
known ^vpsv++agls+xvbnx+=known
that ^tht+vcmp+++=that
not ^xnot++not++=not
one ^cd1++++=one
man ^nn++++=man
in ^in++++=in
five ^cd++++=five
among ^in++++=among
the ^ati++++=the
colonists ^nns+nom+++=colonists
had ^vb+hv+vrb++=had
any ^dti++++=any
such ^abl++++=such
weapon ^nn++++=weapon
at ^rb++++=at
all ^abn++++=all
to ^to++++=to
" ^zz++++="stand
stand ^vb++++=EXTRAWORD
up ^rp++++=up"
" ^zz++++=EXTRAWORD
with ^in+strn+++=with.
. ^zz++++=EXTRAWORD
A ^at++++=A
different ^jj+atrb+++=different
story ^nn++++=story
was ^vbd+bedz+aux++=was
told ^vpsv++agls+xvbnx+=told
at ^rb++++=at
Guildford ^np++++=Guildford,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Stony ^jj+atrb+++=Stony
Point ^nn++++=Point,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Eutaw ^np+++??+=Eutaw,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Bennington ^np+++??+=Bennington,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Bemis ^np+++??+=Bemis'
' ^zz++++=EXTRAWORD
Heights ^nns++++=Heights,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fifty ^cd++++=fifty
other ^ap++++=other
places ^nns++++=places
that ^tht+rel+subj++=that
might ^md+pos+++=might
be ^vb+be+aux++=be
named ^vpsv++agls+xvbnx+=named,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
the ^ati++++=the
troops ^nns++++=troops
were ^vbd+bed+aux++=were
furnished ^vpsv++agls+xvbnx+=furnished
with ^in++++=with
bayonets ^nns+++??+=bayonets.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
found ^vpsv++agls+xvbnx+=found
that ^tht+vcmp+++=that
the ^ati++++=the
Americans ^nns+nom+++=Americans
could ^md+pos+++=could
use ^vb++++=use
them ^pp3o+pp3+++=them
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
others ^aps++++=others,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
might ^md+pos+++=might
it ^pp3+it+++=it
have ^vb+hv+aux++=have
proved ^vprf+++xvbnx+=proved
with ^in++++=with
the ^ati++++=the
red ^jj+atrb+++=red
men ^nns++++=men,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
their ^pp$+pp3+++=their
discipline ^nn++++=discipline,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
mode ^nn++++=mode
of ^in++++=of
fighting ^xvbg+++xvbg+=fighting,
, ^zz++++=EXTRAWORD
scarce ^jj++++=scarce
admitted ^jj+++xvbn+=admitted
of ^in++++=of
such ^abl++++=such
systematic ^jj+atrb+++=systematic
charges ^nns++++=charges.
. ^zz++++=EXTRAWORD
All ^abn++++=All
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
the ^ati++++=the
corporal ^npt+nom+++=corporal
overlooked ^vbd+vprv++xvbn+=overlooked,
, ^zz++++=EXTRAWORD
much ^ap++++=much
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
were ^vbd+bed+vrb++=were
a ^at++++=a
regular ^jj+atrb+++=regular
historian ^nn++++=historian
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
writing ^vbg+++xvbgx+=writing
to ^to++++=to
make ^vbi++++=make
out ^rp+pl+++=out
a ^at++++=a
case ^nn++++=case.
. ^zz++++=EXTRAWORD
" ^zz++++="Harkee,
harkee ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
brother ^nn++++=brother,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
you ^pp2+pp2+++=you
will ^md+prd+++=will
call ^vb++++=call
me ^pp1o+pp1+++=me
brother ^nn++++=brother;
; ^zz++++=EXTRAWORD
though ^rb+cnj+++=though,
, ^zz++++=EXTRAWORD
Heaven ^nn++++=Heaven
be ^vb+be+aux++=be
praised ^vpsv++agls+xvbnx+=praised,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
a ^at++++=a
drop ^nn++++=drop
of ^in++++=of
nigger ^nn++++=nigger
or ^cc++++=or
Injin ^np+++??+=Injin
blood ^nn++++=blood
runs ^nns++++=runs
in ^in++++=in
my ^pp$+pp1+++=my
veins ^nns++++=veins,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
resumed ^vbd+++xvbn+=resumed
the ^ati++++=the
corporal ^nn+nom+++=corporal.
. ^zz++++=EXTRAWORD
" ^zz++++="Harken,
harken ^vb+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
friend ^nn++++=friend
redskin ^nn+++??+=redskin,
, ^zz++++=EXTRAWORD
answer ^nn++++=answer
me ^pp1o+pp1+++=me
one ^cd1++++=one
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
Did ^vbd+dod+aux++=Did
you ^pp2+pp2+++=you
ever ^rb++++=ever
hear ^vb+vprv+++=hear
of ^in++++=of
such ^abl++++=such
a ^at++++=a
man ^nn++++=man
as ^in++++=as
Mad ^jj+atrb+++=Mad
Anthony ^np++++=Anthony?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
the ^ati++++=the
tickler ^nn++++=tickler
for ^in++++=for
your ^pp$+pp2+++=your
infernal ^jj+atrb+++=infernal
tribes ^nns++++=tribes!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
pulled ^vbd+++xvbn+=pulled
no ^at++++=no
saplings ^nns+nom+++=saplings
together ^nn+nom+++=together
for ^in++++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
put ^vbd+++xvbnx+=put
you ^pp2+pp2+++=you
up ^rb+phrv+++=up
