Than ^in++++=Than
infamous ^jj++++=infamous,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
deserted ^vpsv++by+xvbn+=deserted
by ^in++++=by
all ^abn++++=all
the ^ati++++=the
world ^nn++++=world
besides ^in+strn+++=besides.
. ^zz++++=EXTRAWORD
So ^ql++++=So
will ^md+prd+++=will
it ^pp3+it+++=it
be ^vb+be+vrb++=be
with ^in++++=with
my ^pp$+pp1+++=my
associate ^nn+nom+++=associate.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
fates ^nns++++=fates
appear ^vb+seem+++=appear
inseparably ^rb++++=inseparably
blended ^vbd+++xvbn+=blended.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
belief ^nn++++=belief,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
find ^vb+vprv+tht0++=find
him ^pp3o+pp3+++=him
mingling ^vbg+nom++xvbg+=mingling
with ^in++++=with
my ^pp$+pp1+++=my
earliest ^jjt+atrb+++=earliest
recollections ^nns+nom+++=recollections,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
came ^vbd+++xvbn+=came
into ^in+ppvb+++=into
existence ^nn+nom+++=existence
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
as ^ql++++=as
my ^pp$+pp1+++=my
shadow ^nn++++=shadow
follows ^vbz+vprv+++=follows
me ^pp1o+pp1+++=me
into ^in++++=into
the ^ati++++=the
sunshine ^nn++++=sunshine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^cs+sub+++=that
hereafter ^nn+nom+++=hereafter,
, ^zz++++=EXTRAWORD
as ^ql++++=as
heretofore ^vb+++??+=heretofore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
brightness ^nns+nom+++=brightness
or ^cc++++=or
gloom ^nn++++=gloom
of ^in++++=of
my ^pp$+pp1+++=my
fortunes ^nns++++=fortunes
will ^md+prd+++=will
shine ^vb++++=shine
upon ^in+strn+++=upon,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
darken ^jj+++xvbn+=darken,
, ^zz++++=EXTRAWORD
the ^ati++++=the
face ^nn++++=face
of ^in++++=of
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir.
. ^zz++++=EXTRAWORD
As ^ql++++=As
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
young ^jj++++=young
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
now ^rn+tm+++=now
near ^in+pl+++=near
the ^ati++++=the
summer ^nn++++=summer
noon ^nn++++=noon
with ^in++++=with
both ^abx++++=both
of ^in++++=of
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
long ^rb++++=long
life ^nn++++=life
be ^vb+be+aux++=be
granted ^vpsv++agls+xvbnx+=granted,
, ^zz++++=EXTRAWORD
shall ^md+prd+++=shall
each ^ppls++++=each
count ^npt++++=count
his ^pp$+pp3+++=his
own ^ap++++=own
wrinkles ^nns++++=wrinkles
on ^in++++=on
the ^ati++++=the
other's ^ap$++++=other's
brow ^nn++++=brow
and ^cc++++=and
his ^pp$+pp3+++=his
white ^jj+atrb+++=white
hairs ^nns++++=hairs
on ^in++++=on
the ^ati++++=the
other's ^ppls++++=other's
head ^jjb++++=head.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
when ^wrb+who+++=when
the ^ati++++=the
coffin ^nn++++=coffin-lid
- ^zz++++=EXTRAWORD
lid ^nn++++=EXTRAWORD
shall ^md+prd+++=shall
have ^vb+hv+aux++=have
closed ^vprf+++xvbnx+=closed
over ^rp++++=over
me ^pp1o+pp1+++=me
and ^cc++++=and
that ^dt+dem+++=that
face ^nn++++=face
and ^cc++++=and
form ^nn++++=form,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
truly ^rb++++=truly
than ^in++++=than
the ^ati++++=the
lover ^nn++++=lover
swears ^vbz++++=swears
it ^pp3+it+++=it
to ^in++++=to
his ^pp$+pp3+++=his
beloved ^jj++++=beloved,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
the ^ati++++=the
sole ^jjb+atrb+++=sole
light ^nn++++=light
of ^in++++=of
his ^pp$+pp3+++=his
existence ^nn+nom+++=existence,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
shall ^md+prd+++=shall
be ^vb+be+aux++=be
laid ^vpsv++agls+xvbnx+=laid
in ^cs+sub+++=in
that ^cs"++++=that
dark ^jj+atrb+++=dark
chamber ^nn++++=chamber,
, ^zz++++=EXTRAWORD
whither ^jjr++++=whither
his ^pp$+pp3+++=his
swift ^jj+atrb+++=swift
and ^cc+phrs+++=and
secret ^jj+atrb+++=secret
footsteps ^nns++++=footsteps
cannot ^md+pos+not++=cannot
bring ^vb++++=bring
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
what ^wdt+who+whq++=what
is ^vbz+bez+aux++=is
to ^to++++=to
become ^vbi++++=become
of ^in++++=of
poor ^jj+atrb+++=poor
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir?
? ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
he ^pp3a+pp3+++=he
have ^vb+hv+vrb++=have
the ^ati++++=the
fortitude ^nn++++=fortitude,
, ^zz++++=EXTRAWORD
with ^in++++=with
my ^pp$+pp1+++=my
other ^ap++++=other
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
to ^to++++=to
take ^vbi++++=take
a ^at++++=a
last ^rb++++=last
look ^vb++++=look
at ^rb++++=at
my ^pp$+pp1+++=my
pale ^nn++++=pale
countenance ^nn+nom+++=countenance?
? ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
he ^pp3a+pp3+++=he
walk ^nn++++=walk
foremost ^jj++++=foremost
in ^in++++=in
the ^ati++++=the
funeral ^nn++++=funeral
train ^nn++++=train?
? ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
he ^pp3a+pp3+++=he
come ^vb++++=come
often ^rb++++=often
and ^cc++++=and
haunt ^nn++++=haunt
around ^in++++=around
my ^pp$+pp1+++=my
grave ^nn++++=grave,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
weed ^nn++++=weed
away ^rp+pl+++=away
the ^ati++++=the
nettles ^nns++++=nettles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
plant ^nn++++=plant
flowers ^nns+nom+++=flowers
amid ^in++++=amid
the ^ati++++=the
verdure ^nn+++??+=verdure,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
scrape ^vb++++=scrape
the ^ati++++=the
moss ^np++++=moss
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
letters ^nns+nom+++=letters
of ^in++++=of
my ^pp$+pp1+++=my
burial ^nn++++=burial-stone?
- ^zz++++=EXTRAWORD
stone ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
he ^pp3a+pp3+++=he
linger ^vb++++=linger
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
lived ^vprf+++xvbnx+=lived,
, ^zz++++=EXTRAWORD
to ^to++++=to
remind ^vbi++++=remind
the ^ati++++=the
neglectful ^jj+atrb+++=neglectful
world ^nn++++=world
of ^in++++=of
one ^cd1++++=one
who ^whp+rel+obj++=who
staked ^jj+++xvbn+=staked
much ^ap++++=much
to ^to++++=to
win ^vbi++++=win
a ^at++++=a
name ^nn++++=name,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
will ^md+prd+++=will
not ^xnot++not++=not
then ^rn+tm+++=then
care ^vb++++=care
whether ^cs+who+++=whether
he ^pp3a+pp3+++=he
lost ^vbd+++xvbnx+=lost
or ^cc+phrs+++=or
won ^vbd+++xvbn+=won?
? ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
thus ^rb+cnj+++=thus
will ^md+prd+++=will
he ^pp3a+pp3+++=he
prove ^vb+vprv+tht0++=prove
his ^pp$+pp3+++=his
deep ^jj+atrb+++=deep
fidelity ^nn+nom+++=fidelity.
. ^zz++++=EXTRAWORD
O ^zz++++=O,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
terror ^nn++++=terror,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
this ^dt+dem+++=this
friend ^nn++++=friend
of ^in++++=of
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
after ^in++++=after
our ^pp$+pp1+++=our
last ^jj+atrb+++=last
farewell ^nn++++=farewell,
, ^zz++++=EXTRAWORD
should ^md+nec+++=should
step ^vb++++=step
into ^in++++=into
the ^ati++++=the
crowded ^jj+++xvbn+=crowded
street ^npl++++=street,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
roam ^vb++++=roam
along ^in++++=along
our ^pp$+pp1+++=our
old ^jj+atrb+++=old
frequented ^jj+atrb++xvbn+=frequented
path ^nn++++=path
by ^in++++=by
the ^ati++++=the
still ^rb+atrb+++=still
waters ^nns++++=waters,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
sit ^vb++++=sit
down ^rb+phrv+++=down
in ^in++++=in
the ^ati++++=the
domestic ^jj+atrb+++=domestic
circle ^nn++++=circle
where ^wrb+who+++=where
our ^pp$+pp1+++=our
faces ^nns++++=faces
are ^vb+ber+vrb++=are
most ^ql+emph+++=most
familiar ^jj++++=familiar
and ^cc+phrs+++=and
beloved ^jj++++=beloved!
! ^zz++++=EXTRAWORD
No ^at++++=No;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
the ^ati++++=the
rays ^nns++++=rays
of ^in++++=of
heaven ^nn++++=heaven
shall ^md+prd+++=shall
bless ^vb++++=bless
me ^pp1o+pp1+++=me
no ^at++++=no
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
the ^ati++++=the
thoughtful ^jj+atrb+++=thoughtful
lamplight ^nn++++=lamplight
gleam ^nn++++=gleam
upon ^in++++=upon
my ^pp$+pp1+++=my
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
the ^ati++++=the
cheerful ^jj+atrb+++=cheerful
fireside ^nn++++=fireside
gladden ^vbd+++xvbn+=gladden
the ^ati++++=the
meditative ^jj+atrb+++=meditative
man ^nn++++=man,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
task ^nn++++=task
fulfilled ^vwbn+++xvbn+=fulfilled,
, ^zz++++=EXTRAWORD
shall ^md+prd+++=shall
this ^dt+dem+++=this
mysterious ^jj++++=mysterious
being ^xvbg+++xvbg+=being
vanish ^vb++++=vanish
from ^in++++=from
the ^ati++++=the
earth ^nn++++=earth
forever ^rb++++=forever.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
will ^md+prd+++=will
pass ^vb++++=pass
to ^in++++=to
the ^ati++++=the
dark ^jj+atrb+++=dark
realm ^nn++++=realm
of ^in++++=of
nothingness ^nns+nom+++=nothingness,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
will ^md+prd+++=will
not ^xnot++not++=not
find ^vb+vprv+++=find
me ^pp1o+pp1+++=me
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
something ^pn++++=something
fearful ^jj++++=fearful
in ^in++++=in
bearing ^xvbg+++xvbg+=bearing
such ^abl++++=such
a ^at++++=a
relation ^nn+nom+++=relation
to ^in++++=to
a ^at++++=a
creature ^nn++++=creature
so ^rb++++=so
imperfectly ^rb++++=imperfectly
known ^jj+++xvbn+=known,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
idea ^nn++++=idea
that ^tht+ncmp+++=that,
, ^zz++++=EXTRAWORD
to ^in++++=to
a ^at++++=a
certain ^jj+atrb+++=certain
extent ^nn++++=extent,
, ^zz++++=EXTRAWORD
all ^abn++++=all
which ^whp+who+++=which
concerns ^vbz++++=concerns
myself ^ppl+pp1+++=myself
will ^md+prd+++=will
be ^vb+be+aux++=be
reflected ^vpsv++agls+xvbnx+=reflected
in ^in++++=in
its ^pp$+it+++=its
consequences ^nns+nom+++=consequences
upon ^in++++=upon
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
we ^pp1a+pp1+++=we
feel ^vb+vprv+++=feel
that ^tht+vcmp+++=that
another ^ppls++++=another
is ^vbz+bez+aux++=is
to ^to++++=to
share ^vbi++++=share
the ^ati++++=the
self ^nn++++=self-same
- ^zz++++=EXTRAWORD
same ^ap++++=EXTRAWORD
fortune ^nn++++=fortune
with ^in++++=with
ourselves ^ppls+pp1+++=ourselves
we ^pp1a+pp1+++=we
judge ^nn++++=judge
more ^rbr++++=more
severely ^rb++++=severely
of ^in++++=of
our ^pp$+pp1+++=our
prospects ^nns++++=prospects,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
withhold ^vb++++=withhold
our ^pp$+pp1+++=our
confidence ^nn+nom+++=confidence
from ^in++++=from
that ^dt+dem+++=that
delusive ^jj+atrb+++=delusive
magic ^nn++++=magic
which ^whp+rel+subj++=which
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
shed ^vbi++++=shed
an ^at++++=an
infallibility ^nn+nom+++=infallibility
of ^in++++=of
happiness ^nns+nom+++=happiness
over ^in++++=over
our ^pp$+pp1+++=our
own ^ap++++=own
pathway ^nn++++=pathway.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
late ^jj+atrb+++=late
years ^nns++++=years,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
much ^ap++++=much
to ^to++++=to
sadden ^vbi++++=sadden
my ^pp$+pp1+++=my
intercourse ^nn+++??+=intercourse
with ^in++++=with
Monsieur ^npt++++=Monsieur
de ^&fw++++=de
Miroir ^np+++??+=Miroir.
. ^zz++++=EXTRAWORD
Had ^vb+hv+vrb++=Had
not ^xnot++not++=not
our ^pp$+pp1+++=our
union ^nn++++=union
been ^vprf+ben+vrb+xvbn+=been
a ^at++++=a
necessary ^jj+atrb+++=necessary
condition ^nn+nom+++=condition
of ^in++++=of
our ^pp$+pp1+++=our
life ^nn++++=life,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
estranged ^vpsv++agls+xvbnx+=estranged
ere ^nn+++??+=ere
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
In ^in++++=In
early ^jj+atrb+++=early
youth ^nn++++=youth,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
my ^pp$+pp1+++=my
affections ^nns+nom+++=affections
were ^vbd+bed+vrb++=were
warm ^jj+pred+++=warm
and ^cc+phrs+++=and
free ^jj++++=free,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
loved ^vbd+++xvbnx+=loved
him ^pp3o+pp3+++=him
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
could ^md+pos+++=could
always ^rb++splt++=always
spend ^vb++++=spend
a ^at++++=a
pleasant ^jj+atrb+++=pleasant
hour ^nn++++=hour
in ^in++++=in
his ^pp$+pp3+++=his
society ^nn++++=society,
, ^zz++++=EXTRAWORD
chiefly ^rb++++=chiefly
because ^cs+cos+++=because
it ^pp3+it+++=it
gave ^vbd+++xvbn+=gave
me ^pp1o+pp1+++=me
an ^at++++=an
excellent ^jj+atrb+++=excellent
opinion ^nn++++=opinion
of ^in++++=of
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
Speechless ^jj++++=Speechless
as ^ql++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir
had ^vb+hv+vrb++=had
then ^rn+tm+++=then
a ^at++++=a
most ^ql+emph+++=most
agreeable ^jj+atrb+++=agreeable
way ^nn++++=way
of ^in++++=of
calling ^xvbg+++xvbg+=calling
me ^pp1o+pp1+++=me
a ^at++++=a
handsome ^jj++++=handsome
fellow ^jjb++++=fellow;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
returned ^j+++xvbn+=returned
the ^ati++++=the
compliment ^nn+nom+++=compliment;
; ^zz++++=EXTRAWORD
so ^ql++++=so
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
the ^ati++++=the
more ^ql++++=more
we ^pp1a+pp1+++=we
kept ^vbd+++xvbn+=kept
each ^ppls++++=each
other's ^ppls++++=other's
company ^nn++++=company,
, ^zz++++=EXTRAWORD
the ^ati++++=the
greater ^jjr+atrb+++=greater
coxcombs ^nns+++??+=coxcombs
we ^pp1a+pp1+++=we
mutually ^rb++++=mutually
grew ^vbd+++xvbn+=grew.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
neither ^dt++neg++=neither
of ^in++++=of
us ^pp1o+pp1+++=us
need ^nn++++=need
apprehend ^nn+++??+=apprehend
any ^dti++++=any
such ^abl++++=such
misfortune ^nn++++=misfortune
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
we ^pp1a+pp1+++=we
chance ^nn++++=chance
to ^to+ncmp+++=to
meet ^vbi++++=meet,
, ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
chance ^nn++++=chance
oftener ^rbr++++=oftener
than ^in++++=than
design ^nn++++=design,
, ^zz++++=EXTRAWORD
each ^dt++++=each
glances ^nns+nom+++=glances
sadly ^rb++++=sadly
at ^in++++=at
the ^ati++++=the
other's ^ap$++++=other's
forehead ^nn++++=forehead,
, ^zz++++=EXTRAWORD
dreading ^jj+atrb++xvbg+=dreading
wrinkles ^nns++++=wrinkles
there ^rn+pl+++=there;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
our ^pp$+pp1+++=our
temples ^nns++++=temples,
, ^zz++++=EXTRAWORD
whence ^wrb+who+++=whence
the ^ati++++=the
hair ^nn++++=hair
is ^vbz+bez+vrb++=is
thinning ^jj+pred+++=thinning
away ^rp+pl+++=away
too ^ql++++=too
early ^jj++++=early;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
the ^ati++++=the
sunken ^jj+atrb+++=sunken
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
no ^at++++=no
longer ^rbr++++=longer
shed ^nn+++xvbn+=shed
a ^at++++=a
gladsome ^nn+++??+=gladsome
light ^jj++++=light
over ^in++++=over
the ^ati++++=the
whole ^jj+atrb+++=whole
face ^nn++++=face.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
involuntarily ^rb++++=involuntarily
peruse ^nn+++??+=peruse
him ^pp3o+pp3+++=him
as ^in++++=as
a ^at++++=a
record ^nn++++=record
of ^in++++=of
my ^pp$+pp1+++=my
heavy ^jj+atrb+++=heavy
youth ^nn++++=youth,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
wasted ^vpsv++agls+xvbnx+=wasted
in ^in++++=in
sluggishness ^nns+nom+++=sluggishness
for ^in++++=for
lack ^nn++++=lack
of ^in++++=of
hope ^nn++++=hope
and ^cc++++=and
impulse ^nn++++=impulse,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
equally ^rb++++=equally
thrown ^vbd+++xvbn+=thrown
away ^rb+phrv+++=away
in ^in++++=in
toil ^nn++++=toil
that ^tht+rel+subj++=that
had ^vb+hv+vrb++=had
no ^at++++=no
wise ^jj+atrb+++=wise
motive ^nn++++=motive
and ^cc++++=and
has ^vbz+hvz+aux++=has
accomplished ^vprf+++xvbnx+=accomplished
no ^at++++=no
good ^jj+atrb+++=good
end ^nn++++=end.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
perceive ^vb+vprv+++=perceive
that ^tht+vcmp+++=that
the ^ati++++=the
tranquil ^jj+atrb+++=tranquil
gloom ^nn++++=gloom
of ^in++++=of
a ^at++++=a
disappointed ^jj+atrb++xvbn+=disappointed
soul ^nn++++=soul
has ^vbz+hvz+aux++=has
darkened ^vprf+++xvbnx+=darkened
through ^in++++=through
his ^pp$+pp3+++=his
countenance ^nn+nom+++=countenance,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
blackness ^nns+nom+++=blackness
of ^in++++=of
the ^ati++++=the
future ^nn++++=future
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
mingle ^vbi+++??+=mingle
with ^in++++=with
the ^ati++++=the
shadows ^nps++++=shadows
of ^in++++=of
the ^ati++++=the
past ^jjb++++=past,
, ^zz++++=EXTRAWORD
giving ^jj+++xvbg+=giving
him ^pp3o+pp3+++=him
the ^ati++++=the
aspect ^nn++++=aspect
of ^in++++=of
a ^at++++=a
fated ^jj+atrb+++=fated
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
it ^pp3+it+++=it
too ^rb++++=too
wild ^jj++++=wild
a ^at++++=a
thought ^vprf+++xvbn+=thought
that ^tht+vcmp+++=that
my ^pp$+pp1+++=my
fate ^nn++++=fate
may ^md+pos+++=may
have ^vb+hv+aux++=have
assumed ^vprf+++xvbnx+=assumed
this ^dt+dem+++=this
image ^nn++++=image
of ^in++++=of
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
haunts ^nns++++=haunts
me ^pp1o+pp1+++=me
with ^in++++=with
such ^abl++++=such
inevitable ^jj+atrb+++=inevitable
pertinacity ^nn+nom+++=pertinacity,
, ^zz++++=EXTRAWORD
originating ^jj+++xvbg+=originating
every ^at++++=every
act ^nn++++=act
which ^whp+rel+obj++=which
it ^pp3+it+++=it
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
imitate ^nn+nom+++=imitate,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
it ^pp3+it+++=it
deludes ^nns+++??+=deludes
me ^pp1o+pp1+++=me
by ^in++++=by
pretending ^vb+++xvbg+=pretending
to ^to+vcmp+++=to
share ^vbi++++=share
the ^ati++++=the
events ^nns++++=events
of ^in++++=of
which ^whp+rel+pied++=which
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
merely ^rb+down+++=merely
the ^ati++++=the
emblem ^nn++++=emblem
and ^cc++++=and
the ^ati++++=the
prophecy ^nn++++=prophecy?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
banish ^vb++++=banish
this ^dt+dem+++=this
idea ^nn++++=idea,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
it ^pp3+it+++=it
will ^md+prd+++=will
throw ^vb++++=throw
too ^ql++++=too
deep ^jj++++=deep
an ^at++++=an
awe ^nn++++=awe
round ^in++++=round
my ^pp$+pp1+++=my
companion ^nn++++=companion.
. ^zz++++=EXTRAWORD
At ^in++++=At
our ^pp$+pp1+++=our
next ^ap++++=next
meeting ^nvbg+++xvbg+=meeting,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
if ^cs+cnd+++=if
it ^pp3+it+++=it
be ^vb+be+vrb++=be
at ^in++++=at
midnight ^nn++++=midnight
or ^cc++++=or
in ^in++++=in
solitude ^nn++++=solitude,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
fear ^vb++++=fear
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
glance ^vb++++=glance
aside ^rp++++=aside
and ^cc++++=and
shudder ^nn++++=shudder;
; ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
case ^nn++++=case,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir
is ^vbz+bez+vrb++=is
extremely ^rb+amp+++=extremely
sensitive ^jj+pred+++=sensitive
to ^in++++=to
ill ^jj++++=ill-treatment,
- ^zz++++=EXTRAWORD
treatment ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
also ^rb++++=also
will ^md+prd+++=will
avert ^vb++++=avert
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
and ^cc++++=and
express ^jjb+atrb+++=express
horror ^nn++++=horror
or ^cc++++=or
disgust ^nn++++=disgust.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
no ^at++++=no;
; ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
unworthy ^jj+pred+++=unworthy
of ^in++++=of
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
As ^in++++=As
of ^in"++++=of
old ^jj++++=old
I ^pp1a+pp1+++=I
sought ^vbd+++xvbnx+=sought
his ^pp$+pp3+++=his
society ^nn++++=society
for ^in++++=for
the ^ati++++=the
bewitching ^jj+atrb+++=bewitching
dreams ^nps++++=dreams
of ^in++++=of
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
love ^nn++++=love
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
inspired ^vbd+++xvbnx+=inspired,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
fancied ^vbd+++xvbnx+=fancied
a ^at++++=a
bright ^jj+atrb+++=bright
fortune ^nn++++=fortune
in ^in++++=in
his ^pp$+pp3+++=his
aspect ^nn++++=aspect,
, ^zz++++=EXTRAWORD
so ^ql++++=so
now ^rn+tm+++=now
will ^md+prd+++=will
I ^pp1a+pp1+++=I
hold ^nn++++=hold
daily ^jj+atrb+++=daily
and ^cc+phrs+++=and
long ^jj+atrb+++=long
communion ^nn++++=communion
with ^in++++=with
hint ^nn++++=hint
for ^in+cmpx+++=for
the ^in"++++=the
sake ^in"++++=sake
of ^in"++++=of
the ^ati++++=the
stern ^jj+atrb+++=stern
lessons ^nns++++=lessons
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
will ^md+prd+++=will
teach ^vb+vsua+tht0++=teach
my ^pp$+pp1+++=my
manhood ^nn+nom+++=manhood.
. ^zz++++=EXTRAWORD
With ^in++++=With
folded ^xvbn+++xvbn+=folded
arms ^nns++++=arms
we ^pp1a+pp1+++=we
will ^md+prd+++=will
sit ^vb++++=sit
face ^nn++++=face
to ^to++++=to
face ^vbi++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lengthen ^vb++++=lengthen
out ^rp+pl+++=out
our ^pp$+pp1+++=our
silent ^jj+atrb+++=silent
converse ^nn++++=converse
till ^cs+sub+++=till
a ^at++++=a
wiser ^jjr+atrb+++=wiser
cheerfulness ^nns+nom+++=cheerfulness
shall ^md+prd+++=shall
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
