Philo ^np+++??+=Philo
I ^pp1a+pp1+++=I
come ^vb++++=come
to ^in++++=to
another ^dt++++=another
railroad ^nn++++=railroad,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
come ^vb++++=come
to ^in++++=to
a ^at++++=a
river ^nn++++=river,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
run ^vbd+++xvbnx+=run
across ^in+ppvb+++=across
a ^at++++=a
boat ^nn++++=boat,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^to++++=to
take ^vbi++++=take
that ^dt+dem+++=that
boat ^nn++++=boat
and ^cc++++=and
float ^vb++++=float
a ^at++++=a
ways ^nns++++=ways.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
says ^vbz+vpub+tht0++=says
nobody ^pn++++=nobody
is ^vbz+bez+vrb++=is
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^to++++=to
know ^vbi+vprv+tht0++=know
anything ^pn++++=anything
about ^in++++=about
what ^wdt+who+++=what
we ^pp1a+pp1+++=we
did ^vbd+dod+vrb++=did
to ^in++++=to
the ^ati++++=the
Chicken ^nn++++=Chicken,
, ^zz++++=EXTRAWORD
over ^in++++=over
there ^rn+pl+++=there
in ^in++++=in
Chicago ^np++++=Chicago,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mean ^vb+vprv+tht0++=mean
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Nobody ^pn++++=Nobody
is ^vbz+bez+vrb++=is.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
Sal ^np+++??+=Sal
know ^vb+vprv+++=know
all ^rb++++=all
three ^cd++++=three
of ^in++++=of
us ^pp1o+pp1+++=us
was ^vbd+bedz+vrb++=was
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
out ^rp+pl+++=out
on ^in++++=on
that ^dt+dem+++=that
job ^nn++++=job
that ^tht+rel+++=that
night ^nn++++=night?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
when ^wrb+who+++=when
the ^ati++++=the
Chicken ^nn++++=Chicken
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
come ^vb++++=come
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
she ^pp3a+pp3+++=she
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^to++++=to
guess ^vbi++++=guess
something ^pn++++=something
happened ^vbd+++xvbn+=happened
to ^to+vcmp+++=to
the ^ati++++=the
Chicken ^nn++++=Chicken?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She's
she ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^to++++=to
think ^vbi+vprv+tht0++=think
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
a ^at++++=a
rich ^nn++++=rich
haul ^vb++++=haul,
, ^zz++++=EXTRAWORD
like ^in++++=like
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
up ^rp++++=up
and ^cc++++=and
quit ^vb++++=quit
her ^pp$+pp3+++=her,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Wixy ^np+++??+=Wixy.
. ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
she ^pp3a+pp3+++=she'll
'll ^md+prd+++0=EXTRAWORD
think ^vb+vprv+++=think."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
what ^wdt+who+++=what
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
does ^vbz+doz+vrb++=does?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Sandlot ^np+++??+=Sandlot.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
and ^cc++++=and
him ^pp3o+pp3+++=him
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
boardin ^nn+++??+=boardin'
' ^zz++++=EXTRAWORD
with ^in++++=with
Mother ^nn++++=Mother
Smith ^np++++=Smith,
, ^zz++++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
they ^pp3a+pp3+++=they?
? ^zz++++=EXTRAWORD
Ai ^vb+be+++=Ain't
n't ^xnot++not++0=EXTRAWORD
Mother ^nn++++=Mother
Smith ^np++++=Smith
been ^vprf+ben+vrb+xvbn+=been
handin ^nn+++??+=handin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
Chicken ^nn++++=Chicken
money ^nn++++=money
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
needed ^vbd+++xvbnx+=needed
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
said ^vbd+vpub+tht0+xvbnx+=said
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
workin ^nn+++??+=workin'
' ^zz++++=EXTRAWORD
up ^rp++++=up
this ^dt+dem+++=this
job ^nn++++=job
with ^in++++=with
us ^pp1o+pp1+++=us?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
bet ^vbd+vpub+tht0+xvbnx+=bet
the ^ati++++=the
Chicken ^nn++++=Chicken
owed ^vbd+++xvbn+=owed
Mother ^nn++++=Mother
Smith ^np++++=Smith
a ^at++++=a
hundred ^cd++++=hundred
dollars ^nns++++=dollars,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
come ^vb++++=come
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
what ^wdt+who+++=what?
? ^zz++++=EXTRAWORD
Sal ^np+++??+=Sal
will ^md+prd+++=will
say ^vb+vpub+tht0++=say
she ^pp3a+pp3+++=she
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
got ^vbd+++xvbn+=got
no ^at++++=no
money ^nn++++=money
because ^cs+cos+++=because
the ^ati++++=the
Chicken ^nn++++=Chicken
quit ^vb++++=quit
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mother ^nn++++=Mother
Smith ^np++++=Smith
will ^md+prd+++=will--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Wixy ^np+++??+=Wixy.
. ^zz++++=EXTRAWORD
" ^zz++++="She'll
she ^pp3a+pp3+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
send ^vb++++=send
word ^nn++++=word
to ^in++++=to
every ^at++++=every
crook ^nn++++=crook
in ^in++++=in
the ^ati++++=the
country ^nn++++=country
to ^in++++=to
spot ^nn++++=spot
the ^ati++++=the
Chicken ^nn++++=Chicken,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
know ^vb+vprv+tht0++=know
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
when ^wrb+who+++=when
word ^nn++++=word
comes ^vbz++++=comes
back ^jjb++++=back
that ^cs+sub+++=that
there ^ex+pex+++=there
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
no ^at++++=no
trace ^nn++++=trace
of ^in++++=of
him ^pp3o+pp3+++=him--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You've
you ^pp2+pp2+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
lost ^vprf+++xvbnx+=lost
your ^pp$+pp2+++=your
nerve ^nn++++=nerve,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+aux++0=EXTRAWORD
what ^wdt+who+++=what
ails ^vbz++++=ails
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Wixy ^np+++??+=Wixy
scornfully ^rb++++=scornfully.
. ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ai ^vb+be+++=ain't,"
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Sandlot ^np+++??+=Sandlot
insisted ^vbd+vpub++xvbn+=insisted.
. ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
heard ^vprf+++xvbnx+=heard
plenty ^nn++++=plenty
of ^in++++=of
fellers ^nns+nom+++=fellers
tell ^vb++++=tell
how ^wrb+who+++=how
Mother ^nn++++=Mother
Smith ^np++++=Smith
keeps ^vbz++++=keeps
tabs ^nns+++??+=tabs
on ^in++++=on
anybody ^pn++++=anybody
that ^dt+pdem+++=that
tries ^vbz++++=tries
to ^to+vcmp+++=to
do ^vbi++++=do
her ^pp$+pp3+++=her
out ^rp+pl+++=out
of ^in++++=of
ten ^cd++++=ten
cents ^nns++++=cents
even ^rb++++=even.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
maybe ^rb+hdg+++=maybe
the ^ati++++=the
Chicken ^nn++++=Chicken
promised ^vbd+++xvbn+=promised
to ^to+vcmp+++=to
come ^vbi++++=come
back ^jjb++++=back
that ^dt+dem+++=that
night ^nn++++=night
and ^cc++++=and
pay ^vb++++=pay
up ^rp++++=up.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
bet ^vbd+vpub+tht0+xvbnx+=bet
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
bet ^vbd+vpub+tht0+xvbnx+=bet
he ^pp3a+pp3+++=he
_was_ ^nn+++??+=_was_
sour ^jj++++=sour
on ^in++++=on
Sal ^np+++??+=Sal.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
bet ^vbd+vpub++xvbnx+=bet
Mother ^nn++++=Mother
Smith ^np++++=Smith
knew ^vbd+vprv+tht0+xvbn+=knew
it ^pp3+it+++=it
all ^rb++++=all
the ^ati++++=the
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
come ^vb++++=come
back ^jjb++++=back
that ^dt+dem+++=that
night ^nn++++=night
she ^pp3a+pp3+++=she
sent ^vbd+++xvbnx+=sent
out ^rp+pl+++=out
word ^nn++++=word
to ^in++++=to
spot ^nn++++=spot
him ^pp3o+pp3+++=him
or ^cc++++=or
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
bet ^vbd+vpub+tht0+xvbnx+=bet
you ^pp2+pp2+++=you!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You've
you ^pp2+pp2+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
lost ^vprf+++xvbnx+=lost
your ^pp$+pp2+++=your
nerve ^nn++++=nerve!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Wixy ^np+++??+=Wixy
drunkenly ^jj++++=drunkenly.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
never ^rb++++=never
did ^vbd+dod+aux++=did
have ^vb+hv+vrb++=have
no ^at++++=no
nerve ^nn++++=nerve.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You're
're ^vb+ber+vrb++0=EXTRAWORD
so ^ql+emph+++=so
scared ^jj+++xvbn+=scared
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
seein ^nn+++??+=seein'
' ^zz++++=EXTRAWORD
ghosts ^nns++++=ghosts."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
right ^jj++++=right!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Sandlot ^np+++??+=Sandlot,
, ^zz++++=EXTRAWORD
rising ^nvbg+++xvbg+=rising.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
see ^vb+vprv+++=see
ghosts ^nns++++=ghosts,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
see ^vb+vprv+++=see
them ^pp3o+pp3+++=them
by ^in++++=by
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
go ^vb++++=go--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Goo'-bye!"
goo ^nn+++??+=EXTRAWORD
'-bye!" ^nn+++??+=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Wixy ^np+++??+=Wixy
carelessly ^rb+cnj+++=carelessly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
finished ^vbd+++xvbn+=finished
the ^ati++++=the
last ^rb++++=last
drop ^vb++++=drop
in ^in++++=in
his ^pp$+pp3+++=his
bottle ^nn++++=bottle.
. ^zz++++=EXTRAWORD
" ^zz++++="Goo'-bye,
goo ^nn+++??+=EXTRAWORD
'-bye, ^nn+++??+=EXTRAWORD
ol ^nn+++??+=ol'
' ^zz++++=EXTRAWORD
Sandlot ^np+++??+=Sandlot!
! ^zz++++=EXTRAWORD
Goo ^np+++??+=Goo'-bye!"
'-bye!" ^nn+++??+=EXTRAWORD
Sandlot ^np+++??+=Sandlot
hesitated ^vbd+++xvbn+=hesitated
a ^at++++=a
moment ^nn++++=moment
and ^cc++++=and
then ^rn+tm+++=then
arose ^vbd+++xvbn+=arose
and ^cc++++=and,
, ^zz++++=EXTRAWORD
after ^in++++=after
a ^at++++=a
parting ^jj+atrb++xvbg+=parting
glance ^nn++++=glance
at ^in++++=at
Wixy ^np+++??+=Wixy,
, ^zz++++=EXTRAWORD
struck ^j+++xvbn+=struck
out ^rp+pl+++=out
across ^in+pl+++=across
the ^ati++++=the
drying ^jj+atrb++xvbg+=drying
floor ^nn++++=floor
of ^in++++=of
the ^ati++++=the
brick ^nn++++=brick-yard,
- ^zz++++=EXTRAWORD
yard ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
lost ^vpsv++agls+xvbnx+=lost
in ^in++++=in
the ^ati++++=the
darkness ^nns+nom+++=darkness.
. ^zz++++=EXTRAWORD
Wixy ^np+++??+=Wixy
blinked ^vbd+++xvbn+=blinked
and ^cc+phrs+++=and
balanced ^vbd+++xvbn+=balanced
the ^ati++++=the
empty ^jj+atrb+++=empty
bottle ^nn++++=bottle
in ^in++++=in
his ^pp$+pp3+++=his
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
" ^zz++++="He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
afraid ^jj++++=afraid!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
boasted ^vbd+vpub++xvbnx+=boasted
to ^in++++=to
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
" ^zz++++="He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
coward ^nn++++=coward.
. ^zz++++=EXTRAWORD
' ^zz++++='Fraid
fraid ^nn+++??+=EXTRAWORD
of ^in++++=of
dark ^nn++++=dark.
. ^zz++++=EXTRAWORD
' ^zz++++='Fraid
fraid ^nn+++??+=EXTRAWORD
of ^in++++=of
ghosts ^nns++++=ghosts.
. ^zz++++=EXTRAWORD
Los ^np+++??+=Los'
' ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
nerve ^nn++++=nerve.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ain ^ap++++=ain'
' ^zz++++=EXTRAWORD
' ^zz++++='fraid."
fraid ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
arose ^vbd+++xvbnx+=arose
to ^in++++=to
his ^pp$+pp3+++=his
feet ^nns++++=feet
unsteadily ^rb++++=unsteadily.
. ^zz++++=EXTRAWORD
" ^zz++++="Sandlot's
sandlot ^nn+++??+=EXTRAWORD
's ^$++++=EXTRAWORD
coward ^nn++++=coward!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
threw ^vpsv++agls+xvbn+=threw
down ^in++++=down
the ^ati++++=the
empty ^jj+atrb+++=empty
bottle ^nn++++=bottle
with ^in++++=with
a ^at++++=a
motion ^nn++++=motion
of ^in++++=of
disgust ^nn++++=disgust
at ^in++++=at
the ^ati++++=the
cowardice ^nn++++=cowardice
of ^in++++=of
Sandlot ^np+++??+=Sandlot.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bottle ^nn++++=bottle
burst ^vbd+++xvbn+=burst
with ^in++++=with
a ^at++++=a
jangling ^nn++++=jangling
of ^in++++=of
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
loose ^jj+atrb+++=loose
board ^nn++++=board
roof ^nn++++=roof
Philo ^np+++??+=Philo
Gubb ^np+++??+=Gubb
raised ^vbd+++xvbn+=raised
his ^pp$+pp3+++=his
head ^jjb++++=head
suddenly ^rb++++=suddenly.
. ^zz++++=EXTRAWORD
For ^in++++=For
an ^at++++=an
instant ^nn+nom+++=instant
he ^pp3a+pp3+++=he
imagined ^vbd+vprv+tht0+xvbnx+=imagined
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
disembodied ^jj+atrb++xvbn+=disembodied
spirit ^nn++++=spirit,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
body ^nn++++=body
having ^xvbg+++xvbg+=having
been ^vprf+ben+aux+xvbn+=been
dissolved ^vpsv++agls+xvbnx+=dissolved
in ^in++++=in
benzine ^nn+++??+=benzine,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^ql++++=as
he ^pp3a+pp3+++=he
became ^vbd+++xvbnx+=became
wider ^jjr++++=wider
awake ^jj++++=awake
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
conscious ^jj+pred+++=conscious
of ^in++++=of
a ^at++++=a
noise ^nn++++=noise
beneath ^in+pl+++=beneath
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Wixy ^np+++??+=Wixy
was ^vbd+bedz+aux++=was
shifting ^vbg+++xvbgx+=shifting
twenty ^cd++++=twenty
or ^cc++++=or
thirty ^cd++++=thirty
bricks ^nns++++=bricks
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen
from ^in++++=from
the ^ati++++=the
kiln ^nn++++=kiln
upon ^in++++=upon
a ^at++++=a
truss ^nns+++??+=truss
of ^in++++=of
straw ^nn++++=straw,
, ^zz++++=EXTRAWORD
used ^xvbn+++xvbn+=used
the ^ati++++=the
last ^jj+atrb+++=last
winter ^nn++++=winter
to ^to++++=to
cover ^vbi++++=cover
new ^jj++++=new-moulded
- ^zz++++=EXTRAWORD
moulded ^vbd+++xvbn+=EXTRAWORD
bricks ^nns++++=bricks
to ^to++++=to
protect ^vbi++++=protect
them ^pp3o+pp3+++=them
from ^in++++=from
the ^ati++++=the
frost ^nn++++=frost
against ^in++++=against
their ^pp$+pp3+++=their
drying ^nvbg+++xvbg+=drying.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
preparing ^vbg+++xvbgx+=preparing
a ^at++++=a
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
muttered ^vbd+++xvbnx+=muttered
to ^in++++=to
himself ^ppl+pp3+++=himself
as ^ql++++=as
he ^pp3a+pp3+++=he
worked ^vbd+++xvbnx+=worked,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Philo ^np+++??+=Philo
Gubb ^np+++??+=Gubb,
, ^zz++++=EXTRAWORD
placing ^nvbg+++xvbg+=placing
his ^pp$+pp3+++=his
eye ^nn++++=eye
to ^in++++=to
a ^at++++=a
crack ^nn++++=crack
between ^in++++=between
the ^ati++++=the
boards ^nns++++=boards
of ^in++++=of
the ^ati++++=the
roof ^nn++++=roof,
, ^zz++++=EXTRAWORD
tried ^vb+++xvbn+=tried
to ^to+vcmp+++=to
observe ^vbi+vprv+++=observe
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
darkness ^nns+nom+++=darkness
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
absolute ^jj++++=absolute
he ^pp3a+pp3+++=he
could ^md+pos+++=could
see ^vb+vprv+tht0++=see
nothing ^pn++++=nothing
whatever ^nn+nom+++=whatever.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
heard ^vbd+vprv++xvbnx+=heard
Wixy ^np+++??+=Wixy
stretch ^nn++++=stretch
out ^rp+pl+++=out
on ^in++++=on
the ^ati++++=the
straw ^nn++++=straw,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
a ^at++++=a
minute ^nn++++=minute
more ^ql++++=more
he ^pp3a+pp3+++=he
heard ^vbd+vprv++xvbnx+=heard
the ^ati++++=the
heavy ^jj++++=heavy
breathing ^jj+++xvbg+=breathing
of ^in++++=of
a ^at++++=a
sleeper ^nn++++=sleeper.
. ^zz++++=EXTRAWORD
Wixy ^np+++??+=Wixy
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
letting ^vbg+++xvbg+=letting
any ^dti++++=any
cowardice ^nn++++=cowardice
disturb ^vb++++=disturb
his ^pp$+pp3+++=his
repose ^nn++++=repose,
, ^zz++++=EXTRAWORD
at ^rb++++=at
all ^abn++++=all
events ^nns++++=events,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Philo ^np+++??+=Philo
Gubb ^np+++??+=Gubb
considered ^vwbn+vprv++xvbn+=considered
how ^wrb+who+whcl++=how
he ^pp3a+pp3+++=he
could ^md+pos+++=could
best ^jjt++++=best
get ^vb++++=get
himself ^ppl+pp3+++=himself
off ^in+pl+++=off
the ^ati++++=the
roof ^nn++++=roof.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sleeping ^jj+atrb++xvbg+=sleeping
man ^nn++++=man
was ^vbd+bedz+vrb++=was
immediately ^rb+tm+++=immediately
beneath ^in+pl+++=beneath
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
the ^ati++++=the
ladder ^nn++++=ladder
was ^vbd+bedz+vrb++=was
a ^at++++=a
full ^jj++++=full
ten ^cd++++=ten
yards ^nns++++=yards
away ^rp+pl+++=away;
; ^zz++++=EXTRAWORD
every ^at++++=every
motion ^nn++++=motion
made ^vbd+++xvbn+=made
the ^ati++++=the
loose ^jj+atrb+++=loose
boards ^nns++++=boards
complain ^vb+vpub+++=complain.
. ^zz++++=EXTRAWORD
Looking ^vbg+++xvbg+=Looking
down ^rp++++=down,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gubb ^np++++=Gubb
saw ^vbd+vprv++xvbn+=saw
that ^tht+vcmp+++=that
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
kiln ^nn++++=kiln
reached ^vbd+++xvbn+=reached
within ^in++++=within
a ^ap++++=a
few ^ap"++++=few
feet ^nns++++=feet
of ^in++++=of
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
lay ^vbd+++xvbnx+=lay,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
the ^ati++++=the
partially ^rb+down+++=partially
removed ^xvbn+++xvbn+=removed
sides ^nns++++=sides
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
a ^at++++=a
series ^nn++++=series
of ^in++++=of
giant ^jjb+atrb+++=giant
steps ^nns++++=steps.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gubb ^np++++=Gubb
loosened ^vbd+++xvbn+=loosened
his ^pp$+pp3+++=his
pistols ^nns++++=pistols
in ^in++++=in
his ^pp$+pp3+++=his
belt ^nn++++=belt.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
the ^ati++++=the
chicken ^nn++++=chicken
thief ^nn++++=thief
so ^pn++++=so
near ^rb++++=near,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
meant ^vbd+vprv++xvbnx+=meant
to ^to+vcmp+++=to
capture ^vbi++++=capture
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
With ^in++++=With
the ^ati++++=the
utmost ^jjb+atrb+++=utmost
care ^nn++++=care
he ^pp3a+pp3+++=he
slid ^vbd+++xvbnx+=slid
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
boards ^nns++++=boards
of ^in++++=of
the ^ati++++=the
roof ^nn++++=roof
aside ^rp++++=aside
and ^cc++++=and
put ^vb+++xvbn+=put
his ^pp$+pp3+++=his
long ^jj+atrb+++=long
legs ^nns++++=legs
into ^in++++=into
the ^ati++++=the
opening ^jj+++xvbg+=opening
thus ^rb+cnj+++=thus
made ^vbd+++xvbn+=made,
, ^zz++++=EXTRAWORD
feeling ^nvbg+++xvbg+=feeling
for ^in++++=for
the ^ati++++=the
kiln ^nn++++=kiln
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
touched ^vbd+++xvbnx+=touched
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
a ^at++++=a
firm ^jj+atrb+++=firm
footing ^nn++++=footing
on ^in++++=on
it ^pp3+it+++=it
he ^pp3a+pp3+++=he
lowered ^vbd+++xvbnx+=lowered
the ^ati++++=the
upper ^jjb+atrb+++=upper
part ^nn++++=part
of ^in++++=of
