Heavy ^jj+atrb+++=Heavy
done ^vprf+++xvbnx+=done,
, ^zz++++=EXTRAWORD
Mitia ^np+++??+=Mitia,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
think ^vb+vprv+++=think,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
old ^jj+atrb+++=old
Anfisa ^np+++??+=Anfisa
had ^vbd+hvd+aux++=had
lived ^vprf+++xvbnx+=lived?
? ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
good ^jj+atrb+++=good
joke ^nn++++=joke!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
have ^vb+hv+aux++=have
liked ^vprf+++xvbnx+=liked
to ^to+vcmp+++=to
have ^vbi++++=have
seen ^vprf+++xvbn+=seen
how ^wrb+who+whcl++=how
she ^pp3a+pp3+++=she's
's ^vbz+bez+aux++0=EXTRAWORD
have ^vb+hv+aux++=have
settled ^vprf+++xvbnx+=settled
him ^pp3o+pp3+++=him!
! ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
the ^ati++++=the
right ^jj+atrb+++=right
sort ^nn++++=sort
of ^in++++=of
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
mother ^nn++++=mother!
! ^zz++++=EXTRAWORD
a ^at++++=a
real ^rb+emph+++=real
plucky ^jj+atrb+++=plucky
one ^pn++++=one,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was!
! ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
well ^rb++splt++=well
matched ^vpsv++agls+xvbnx+=matched!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mitia ^np+++??+=Mitia
remained ^vbd+++xvbn+=remained
silent ^jj++++=silent,
, ^zz++++=EXTRAWORD
leaning ^vbg+++xvbg+=leaning
on ^in++++=on
the ^ati++++=the
pole ^nn++++=pole,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
staring ^vbg+++xvbg+=staring
at ^rb++++=at
the ^ati++++=the
water ^nn++++=water.
. ^zz++++=EXTRAWORD
Sergei ^np+++??+=Sergei
ceased ^vbd+++xvbn+=ceased
talking ^vbg+++xvbg+=talking.
. ^zz++++=EXTRAWORD
Forward ^rb++++=Forward
on ^in++++=on
the ^ati++++=the
raft ^nn++++=raft
was ^vbd+bedz+aux++=was
heard ^vpsv++tht0+xvbnx+=heard
a ^at++++=a
woman ^nn++++=woman's
's ^vbz+bez+vrb++0=EXTRAWORD
shrill ^jj+atrb+++=shrill
laugh ^nn++++=laugh,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
the ^ati++++=the
deeper ^jjr+atrb+++=deeper
laugh ^nn++++=laugh
of ^in++++=of
a ^at++++=a
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
figures ^nns++++=figures,
, ^zz++++=EXTRAWORD
blurred ^xvbn+++xvbn+=blurred
by ^in++++=by
the ^ati++++=the
mist ^nn++++=mist,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
nearly ^rb+down+++=nearly
invisible ^jj+pred+++=invisible
to ^in++++=to
Sergei ^np+++??+=Sergei,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
watched ^j+++xvbn+=watched
them ^pp3o+pp3+++=them
curiously ^rb++++=curiously.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
appeared ^vbd+seem++xvbn+=appeared
as ^ql++++=as
a ^at++++=a
tall ^jj+atrb+++=tall
figure ^nn++++=figure,
, ^zz++++=EXTRAWORD
standing ^vbg+++xvbg+=standing
with ^in++++=with
legs ^nns++++=legs
wide ^jj++++=wide
apart ^in+strn+++=apart,
, ^zz++++=EXTRAWORD
holding ^vbg+vprv++xvbg+=holding
a ^at++++=a
pole ^nn++++=pole,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
half ^abn++++=half
turned ^jj+++xvbn+=turned
toward ^in++++=toward
a ^at++++=a
shorter ^jjr+atrb+++=shorter
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
figure ^nn++++=figure,
, ^zz++++=EXTRAWORD
leaning ^vbg+++xvbg+=leaning
on ^in++++=on
another ^dt++++=another
pole ^nn++++=pole,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
standing ^nvbg+++xvbg+=standing
a ^ap++++=a
few ^ap"++++=few
paces ^nns++++=paces
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
shook ^vbd+++xvbnx+=shook
her ^pp$+pp3+++=her
forefinger ^nn+nom+++=forefinger
at ^in++++=at
the ^ati++++=the
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
giggled ^vbd+++xvbn+=giggled
provokingly ^jj++++=provokingly.
. ^zz++++=EXTRAWORD
Sergei ^np+++??+=Sergei
turned ^vbd+++xvbn+=turned
away ^rb+phrv+++=away
his ^pp$+pp3+++=his
head ^nn++++=head
with ^in++++=with
a ^at++++=a
sigh ^nn++++=sigh,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^cs+sub+++=after
a ^ap++++=a
few ^ap"++++=few
moment ^nn++++=moment's
's ^$++++=EXTRAWORD
silence ^nn+nom+++=silence
began ^vbd+++xvbn+=began
to ^to++++=to
speak ^vbi++++=speak
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
" ^zz++++="Confound
confound ^vb++++=EXTRAWORD
it ^pp3+it+++=it
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
how ^wrb+who+++=how
jolly ^rb++++=jolly
they ^pp3a+pp3+++=they
seem ^vb+seem+++=seem
together ^nn+nom+++=together;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
good ^jj++++=good
to ^to+jcmp+++=to
see ^vbi+vprv+++=see!
! ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
something ^pn++++=something
like ^in++++=like
that ^dt+pdem+++=that?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
a ^at++++=a
waif ^nn+++??+=waif
and ^cc++++=and
a ^at++++=a
stray ^jj++++=stray!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
never ^rb++splt++=never
leave ^vb++++=leave
such ^abl++++=such
a ^at++++=a
woman ^nn++++=woman!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
always ^rb++++=always
have ^vb+hv+vrb++=have
my ^pp$+pp1+++=my
arms ^nns++++=arms
round ^in++++=round
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there'd
'd ^md+prd+aux++0=EXTRAWORD
be ^vb+be+vrb++=be
no ^at++++=no
mistake ^nn++++=mistake
about ^in++++=about
my ^pp$+pp1+++=my
loving ^jj+++xvbg+=loving
the ^ati++++=the
little ^jj+atrb+++=little
devil ^nn++++=devil!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
never ^rb++++=never
had ^vb+hv+vrb++=had
any ^dti++++=any
luck ^nn++++=luck
with ^in++++=with
women ^nns++++=women!
! ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
like ^in++++=like
ginger ^nn++++=ginger
hair ^nn++++=hair
women ^nns++++=women
do ^vb+do+vrb++=don't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
woman ^nn++++=woman
with ^in++++=with
fancies ^nns++++=fancies,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
is ^vbz+bez+vrb++=is!
! ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
sly ^jj+atrb+++=sly
little ^jj+atrb+++=little
devil ^nn++++=devil!
! ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wants ^vbz++++=wants
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
life ^nn++++=life!
! ^zz++++=EXTRAWORD
Are ^vb+ber+vrb++=Are
you ^pp2+pp2+++=you
asleep ^jj++++=asleep,
, ^zz++++=EXTRAWORD
Mitia ^np+++??+=Mitia?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
Mitia ^np+++??+=Mitia
quietly ^rb++++=quietly.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
going ^md"++pmd"++=going
to ^md+prd+++=to
live ^vb++++=live?
? ^zz++++=EXTRAWORD
To ^to++++=To
tell ^vbi++++=tell
the ^ati++++=the
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
as ^ql++++=as
solitary ^jj++++=solitary
as ^ql++++=as
a ^at++++=a
post ^nn++++=post!
! ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
seems ^vbz+seem+++=seems
pretty ^rb++++=pretty
hard ^jj++++=hard!
! ^zz++++=EXTRAWORD
Where ^wrb+who+whq++=Where
can ^md+pos+++=can
you ^pp2+pp2+++=you
go ^vb++++=go?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
earn ^vb++++=earn
your ^pp$+pp2+++=your
living ^nvbg+++xvbg+=living
among ^in++++=among
strangers ^nns+nom+++=strangers.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You're
're ^vb+ber+vrb++0=EXTRAWORD
too ^ql++++=too
absurd ^jj++++=absurd!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
stand ^vb++++=stand
up ^rp++++=up
for ^in++++=for
himself ^ppl+pp3+++=himself?
? ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man's
's ^$++++=EXTRAWORD
got ^vbd+++xvbn+=got
to ^to+vcmp+++=to
have ^vbi++vrb++=have
teeth ^nns++++=teeth
and ^cc++++=and
claws ^nns++++=claws
in ^in++++=in
this ^dt+dem+++=this
world ^nn++++=world!
! ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They'll
'll ^md+prd+++0=EXTRAWORD
all ^rb++++=all
have ^vb+hv+vrb++=have
a ^at++++=a
go ^nn++++=go
at ^in++++=at
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
you ^pp2+pp2+++=you
stick ^vb++++=stick
up ^rb+phrv+++=up
for ^in+ppvb+++=for
yourself ^ppl+pp2+++=yourself?
? ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
would ^md+prd+++=would
you ^pp2+pp2+++=you
set ^vbd+++xvbn+=set
about ^in+ppvb+++=about
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
Damn ^vb++++=Damn
it ^pp3+it+++=it
all ^rb++++=all;
; ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
devil ^nn++++=devil
could ^md+pos+++=could
you ^pp2+pp2+++=you
go ^vb++++=go?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I,"
i ^pp1a+pp1+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mitia ^np+++??+=Mitia,
, ^zz++++=EXTRAWORD
suddenly ^rb++++=suddenly
arousing ^vbg+++xvbg+=arousing
herself ^ppl+pp3+++=herself;
; ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
go ^vb++++=go
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
go ^vb++++=go
in ^in++++=in
the ^ati++++=the
autumn ^nn++++=autumn
to ^in++++=to
the ^ati++++=the
Caucasian ^np+++??+=Caucasian
Mountains ^nns++++=Mountains,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
will ^md+prd+++=will
be ^vb+be+vrb++=be
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
it ^pp3+it+++=it
all ^rb++++=all.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
God ^nn++++=God!
! ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
only ^rb+down+++=only
I ^pp1a+pp1+++=I
could ^md+pos+++=could
get ^vb++++=get
away ^rb+phrv+++=away
from ^in"++++=from
you ^pp2+pp2+++=you
all ^rb++++=all!
! ^zz++++=EXTRAWORD
Soulless ^np+++??+=Soulless,
, ^zz++++=EXTRAWORD
godless ^jj+atrb+++=godless
men ^nns++++=men!
! ^zz++++=EXTRAWORD
To ^to++++=To
get ^vbi++++=get
away ^rb+phrv+++=away
from ^in"++++=from
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
my ^pp$+pp1+++=my
only ^rb+down+++=only
hope ^nn++++=hope!
! ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
live ^vb++++=live
for ^in+ppvb+++=for?
? ^zz++++=EXTRAWORD
Where ^wrb+who+whq++=Where
is ^vbz+bez+vrb++=is
your ^pp$+pp2+++=your
God ^nn++++=God?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He's
's ^vbz+bez+vrb++0=EXTRAWORD
nothing ^pn++++=nothing
but ^cc++++=but
a ^at++++=a
name ^nn++++=name!
! ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
live ^vb++++=live
in ^in++++=in
Christ ^np++++=Christ?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
are ^vb+ber+vrb++=are
wolves ^nps++++=wolves;
; ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are!
! ^zz++++=EXTRAWORD
But ^cc+cls+++=But
over ^in++++=over
there ^rn+pl+++=there
live ^jj++++=live
other ^ap++++=other
men ^nns++++=men,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
souls ^nns++++=souls
live ^vb++++=live
in ^in++++=in
Christ ^np++++=Christ.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
hearts ^nns++++=hearts
contain ^vb++++=contain
love ^nn++++=love,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
athirst ^nn+++??+=athirst
for ^in++++=for
the ^ati++++=the
salvation ^nn+nom+++=salvation
of ^in++++=of
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
you ^pp2+pp2+++=you
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
beasts ^nns++++=beasts,
, ^zz++++=EXTRAWORD
spewing ^jj+++xvbg+=spewing
out ^rp+pl+++=out
filth ^nn++++=filth.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
other ^ap++++=other
men ^nns++++=men
there ^ex+pex+++=there
are ^vb+ber+vrb++=are;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
called ^vbd+++xvbnx+=called
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
must ^md+nec+++=must
go ^vb++++=go
to ^in++++=to
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
gave ^vbd+++xvbnx+=gave
me ^pp1o+pp1+++=me
the ^ati++++=the
book ^nn++++=book
of ^in++++=of
Holy ^jj+atrb+++=Holy
Writ ^np+++??+=Writ,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
said ^vbd+vpub++xvbnx+=said:
: ^zz++++=EXTRAWORD
' ^zz++++='Read,
read ^vb+vprv++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
man ^nn++++=man
of ^in++++=of
God ^np++++=God,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
beloved ^jj+atrb+++=beloved
brother ^nn++++=brother,
, ^zz++++=EXTRAWORD
read ^j+++xvbn+=read
the ^ati++++=the
word ^nn++++=word
of ^in++++=of
truth ^nn++++=truth!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
And ^cc++++=And
I ^pp1a+pp1+++=I
read ^vbd+vprv++xvbnx+=read,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
soul ^nn++++=soul
was ^vbd+bedz+aux++=was
renewed ^vpsv++by+xvbnx+=renewed
by ^in++++=by
the ^ati++++=the
word ^nn++++=word
of ^in++++=of
God ^nn++++=God.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
go ^vb++++=go
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
leave ^vb++++=leave
all ^abn++++=all
you ^pp2+pp2+++=you
ravening ^jj+++xvbg+=ravening
wolves ^nps++++=wolves.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
are ^vb+ber+aux++=are
rending ^vbg+++xvbgx+=rending
each ^ppls++++=each
other's ^ppls++++=other's
flesh ^nn++++=flesh!
! ^zz++++=EXTRAWORD
Accursed ^np+++??+=Accursed
be ^vb+be+vrb++=be
ye ^pp2+pp2+++=ye!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mitia ^np+++??+=Mitia
spoke ^vbd+++xvbn+=spoke
in ^in++++=in
a ^at++++=a
passionate ^jj+atrb+++=passionate
whisper ^nn++++=whisper,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
overpowered ^vpsv++by+xvbn+=overpowered
by ^in++++=by
the ^ati++++=the
intensity ^nn+nom+++=intensity
of ^in++++=of
his ^pp$+pp3+++=his
contemplative ^jj+atrb+++=contemplative
rapture ^nn++++=rapture,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
anger ^nn++++=anger
with ^in++++=with
the ^ati++++=the
ravening ^jj+++xvbg+=ravening
wolves ^nps++++=wolves,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
desire ^nn++++=desire
to ^to+ncmp+++=to
be ^vbi++vrb++=be
with ^in++++=with
those ^dt+dem+++=those
other ^ap++++=other
men ^nns++++=men,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
souls ^nns++++=souls
aspired ^vbd+++xvbn+=aspired
toward ^in++++=toward
the ^ati++++=the
salvation ^nn+nom+++=salvation
of ^in++++=of
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
Sergei ^np+++??+=Sergei
was ^vbd+bedz+aux++=was
taken ^vpsv++agls+xvbnx+=taken
aback ^rb++++=aback.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
remained ^vbd+++xvbnx+=remained
quiet ^nn++++=quiet
for ^in++++=for
some ^dti++++=some
time ^nn++++=time,
, ^zz++++=EXTRAWORD
open ^jj++++=open-mouthed,
- ^zz++++=EXTRAWORD
mouthed ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
holding ^vbg+vprv+tht0+xvbg+=holding
his ^pp$+pp3+++=his
pipe ^nn++++=pipe
in ^in++++=in
his ^pp$+pp3+++=his
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
a ^ap++++=a
few ^ap"++++=few
moments ^nns+nom+++=moments'
' ^zz++++=EXTRAWORD
thought ^nn+++xvbn+=thought
he ^pp3a+pp3+++=he
glanced ^vbd+++xvbnx+=glanced
round ^rb+cnj+++=round,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vpsv++agls+xvbn+=said
in ^in++++=in
a ^at++++=a
deep ^jj+atrb+++=deep,
, ^zz++++=EXTRAWORD
rough ^jj+atrb+++=rough
voice ^nn++++=voice:
: ^zz++++=EXTRAWORD
" ^zz++++="Damn
damn ^vb++++=EXTRAWORD
it ^pp3+it+++=it
all ^rb++++=all!
! ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why
you ^pp2+pp2+++=you're
're ^vb+ber+aux++0=EXTRAWORD
turned ^vpsv++agls+xvbnx+=turned
a ^at++++=a
bad ^jj++++=bad
' ^zz++++='un
un ^&fw++++=EXTRAWORD
all ^rb++++=all
at ^rb++++=at
once ^rb"+tm+++=once!
! ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
did ^vbd+dod+vrb++=did
you ^pp2+pp2+++=you
read ^vbd+vprv++xvbn+=read
that ^dt+dem+++=that
book ^nn++++=book?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
likely ^jj++++=likely
an ^at++++=an
evil ^nn++++=evil
one ^pn++++=one.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
be ^vb+be+vrb++=be
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
be ^vb+be+vrb++=be
off ^in+strn+++=off!
! ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
an ^at++++=an
end ^nn++++=end
of ^in++++=of
you ^pp2+pp2+++=you!
! ^zz++++=EXTRAWORD
Be ^vb+be+vrb++=Be
off ^in+pl+++=off
with ^in++++=with
you ^pp2+pp2+++=you
before ^cs+sub+++=before
you ^pp2+pp2+++=you
become ^vb++++=become
a ^at++++=a
regular ^jj+atrb+++=regular
beast ^nn++++=beast
yourself ^ppl+pp2+++=yourself!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
these ^dt+dem+++=these
fellows ^nns++++=fellows
in ^in++++=in
the ^ati++++=the
Caucasus ^np+++??+=Caucasus?
? ^zz++++=EXTRAWORD
Monks ^nns++++=Monks?
? ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
what ^wdt+who+++=what?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
the ^ati++++=the
fire ^nn++++=fire
of ^in++++=of
Mitia ^np++++=Mitia's
's ^$++++=EXTRAWORD
spirit ^nn++++=spirit
died ^vbd+++xvbn+=died
down ^rp++++=down
as ^ql++++=as
quickly ^rb++++=quickly
as ^ql++++=as
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
kindled ^vpsv++agls+xvbnx+=kindled
to ^in++++=to
a ^at++++=a
flame ^nn++++=flame;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
gasped ^vbd+++xvbnx+=gasped
with ^in++++=with
the ^ati++++=the
exertion ^nn+nom+++=exertion
as ^ql++++=as
he ^pp3a+pp3+++=he
worked ^vbd+++xvbnx+=worked
the ^ati++++=the
pole ^nn++++=pole,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
muttered ^vpsv++agls+xvbn+=muttered
to ^in++++=to
himself ^ppl+pp3+++=himself
below ^rb++++=below
his ^pp$+pp3+++=his
breath ^nn++++=breath.
. ^zz++++=EXTRAWORD
Sergei ^np+++??+=Sergei
waited ^vbd+++xvbn+=waited
some ^dti++++=some
time ^nn++++=time
for ^in++++=for
the ^ati++++=the
answer ^nn++++=answer
which ^whp+rel+subj++=which
did ^vbd+dod+aux++=did
not ^xnot++not++=not
come ^vb++++=come.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
simple ^jj++++=simple,
, ^zz++++=EXTRAWORD
hardy ^np++++=hardy
nature ^nn++++=nature
was ^vbd+bedz+aux++=was
quelled ^vpsv++by+xvbnx+=quelled
by ^in++++=by
the ^ati++++=the
grim ^jj++++=grim
and ^cc++++=and
death ^nn++++=death-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
stillness ^nns+nom+++=stillness
of ^in++++=of
the ^ati++++=the
night ^nn++++=night.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
recall ^vbi+vprv+++=recall
the ^ati++++=the
fullness ^nns+nom+++=fullness
of ^in++++=of
life ^nn++++=life,
, ^zz++++=EXTRAWORD
to ^to++++=to
wake ^vbi++++=wake
the ^ati++++=the
solitude ^nn++++=solitude
with ^in++++=with
sound ^nn++++=sound,
, ^zz++++=EXTRAWORD
to ^to++++=to
disturb ^vbi++++=disturb
and ^cc++++=and
trouble ^nn++++=trouble
the ^ati++++=the
hidden ^jj+atrb++xvbn+=hidden
meditative ^jj+atrb+++=meditative
silence ^nn+nom+++=silence
of ^in++++=of
the ^ati++++=the
leaden ^jj+atrb++xvbn+=leaden
mass ^nn++++=mass
of ^in++++=of
water ^nn++++=water,
, ^zz++++=EXTRAWORD
flowing ^vbg+++xvbg+=flowing
slowly ^rb++++=slowly
to ^in++++=to
the ^ati++++=the
sea ^nn++++=sea;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
the ^ati++++=the
dull ^jj+atrb+++=dull,
, ^zz++++=EXTRAWORD
threatening ^jj+atrb+++=threatening
clouds ^nns++++=clouds
hanging ^vwbg+++xvbg+=hanging
motionless ^jj++++=motionless
in ^in++++=in
the ^ati++++=the
air ^nn++++=air.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
other ^ap++++=other
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
raft ^nn++++=raft
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
life ^nn++++=life,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
called ^vbd+++xvbn+=called
on ^in+ppvb+++=on
him ^pp3o+pp3+++=him
to ^to++++=to
live ^vbi++++=live.
