Solomon ^np++++=SOLOMON
Jehovah ^np++++=Jehovah
and ^cc++++=and
the ^ati++++=the
Continental ^jj+atrb+++=Continental
Congress ^nns+nom+++=Congress,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
angle ^nn++++=angle
down ^in++++=down
the ^ati++++=the
river ^nn++++=river
a ^at++++=a
mile ^nn++++=mile
or ^cc++++=or
so ^ql++++=so?
? ^zz++++=EXTRAWORD
Certainly ^rb++++=Certainly
she ^pp3a+pp3+++=she
would ^md+prd+++=would.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
door ^nn++++=door
is ^vbz+bez+vrb++=is
there ^rn+pl+++=there
in ^in++++=in
Europe ^np++++=Europe
at ^in++++=at
which ^whp+rel+pied++=which
the ^ati++++=the
American ^jj+atrb+++=American
girl ^nn++++=girl
is ^vbz+bez+vrb++=is
afraid ^jj+pred+++=afraid
to ^to+jcmp+++=to
knock ^vbi++++=knock?
? ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
wait ^vb++++=wait
a ^at++++=a
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
ask ^vb++++=ask
for ^in+ppvb+++=for
fried ^jj+atrb+++=fried
chicken ^nn++++=chicken
and ^cc++++=and
pancakes ^nns+++??+=pancakes
in ^in++++=in
Norwegian ^jj++++=Norwegian?
? ^zz++++=EXTRAWORD
Kylling ^np+nom++??+=KYLLING
Og ^np+++??+=OG
Pandekage ^np+nom++??+=PANDEKAGE?
? ^zz++++=EXTRAWORD
How ^wrb+who+++=How
fierce ^jj++++=fierce
it ^pp3+it+++=it
sounds ^vbz++++=sounds!
! ^zz++++=EXTRAWORD
All ^abn++++=All
right ^jj++++=right
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
Run ^j+++xvbn+=Run
along ^in++++=along
and ^cc++++=and
fish ^nn++++=fish."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
river ^nn++++=river
welcomes ^vbz++++=welcomes
me ^pp1o+pp1+++=me
like ^in++++=like
an ^at++++=an
old ^jj+atrb+++=old
friend ^nn++++=friend.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tune ^nn++++=tune
that ^tht+rel+obj++=that
it ^pp3+it+++=it
sings ^vbz++++=sings
is ^vbz+bez+vrb++=is
the ^ati++++=the
same ^ap++++=same
that ^cs+sub+++=that
the ^ati++++=the
flowing ^jj+atrb++xvbg+=flowing
water ^nn++++=water
repeats ^vbz+vpub+++=repeats
all ^abn++++=all
around ^rp++++=around
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
otherwise ^rb+cnj+++=otherwise
do ^vb+do+vrb++=do
the ^ati++++=the
lively ^jj+atrb+++=lively
rapids ^nns+++??+=rapids
carry ^vb++++=carry
the ^ati++++=the
familiar ^jj+atrb+++=familiar
air ^nn++++=air,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
larger ^nn++++=larger
falls ^vbz++++=falls
drone ^nn++++=drone
out ^rp+pl+++=out
a ^at++++=a
burly ^jj+atrb+++=burly
bass ^nn++++=bass,
, ^zz++++=EXTRAWORD
along ^in++++=along
the ^ati++++=the
west ^np+pl+++=west
branch ^nn++++=branch
of ^in++++=of
the ^ati++++=the
Penobscot ^np+++??+=Penobscot,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
down ^in++++=down
the ^ati++++=the
valley ^nn++++=valley
of ^in++++=of
the ^ati++++=the
Bouquet ^nn++++=Bouquet.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
here ^rn+pl+++=here
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
no ^at++++=no
forests ^nns++++=forests
to ^to++++=to
conceal ^vbi++++=conceal
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
the ^ati++++=the
stream ^nn++++=stream.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
lies ^vbz++++=lies
as ^ql++++=as
free ^jj++++=free
to ^to+jcmp+++=to
the ^ati++++=the
view ^nn++++=view
as ^in++++=as
a ^at++++=a
child ^nn++++=child's
's ^$++++=EXTRAWORD
thought ^vbd+++xvbn+=thought.
. ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
follow ^vb+vprv+++=follow
on ^in++++=on
from ^in++++=from
pool ^nn++++=pool
to ^in++++=to
pool ^nn++++=pool,
, ^zz++++=EXTRAWORD
picking ^vbg+++xvbg+=picking
out ^rp+pl+++=out
a ^at++++=a
good ^jj+atrb+++=good
trout ^nn++++=trout
here ^rn+pl+++=here
and ^cc++++=and
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
from ^in++++=from
a ^at++++=a
rocky ^jj+atrb+++=rocky
corner ^npl++++=corner
edged ^vbd+++xvbn+=edged
with ^in++++=with
foam ^nn++++=foam,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
from ^in++++=from
a ^at++++=a
swift ^jj+atrb+++=swift
gravelly ^jj+atrb+++=gravelly
run ^nn+++xvbn+=run,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
from ^in++++=from
a ^at++++=a
snug ^nn++++=snug
hiding ^vwbg+++xvbg+=hiding-place
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
that ^tht+rel+obj++=that
the ^ati++++=the
current ^nn++++=current
has ^vbz+hvz+aux++=has
hollowed ^vprf+++xvbnx+=hollowed
out ^rp+pl+++=out
beneath ^in+pl+++=beneath
the ^ati++++=the
bank ^nn++++=bank,
, ^zz++++=EXTRAWORD
all ^abn++++=all
the ^ati++++=the
way ^nn++++=way
I ^pp1a+pp1+++=I
can ^md+pos+++=can
see ^vb+vprv+++=see
the ^ati++++=the
fortress ^nns+nom+++=fortress
far ^rb+pl+++=far
above ^rb++++=above
me ^pp1o+pp1+++=me
on ^in++++=on
the ^ati++++=the
hillside ^nn++++=hillside.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
as ^ql++++=as
sure ^jj++++=sure
that ^tht+jcmp+++=that
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
already ^rb++splt++=already
surrendered ^vprf+++xvbnx+=surrendered
to ^in++++=to
Graygown ^np+++??+=Graygown
as ^cs+sub+++=as
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
could ^md+pos+++=could
discern ^vb++++=discern
her ^pp$+pp3+++=her
white ^jj+atrb+++=white
banner ^nn++++=banner
of ^in++++=of
crochet ^nn++++=crochet-work
- ^zz++++=EXTRAWORD
work ^nn++++=EXTRAWORD
floating ^vwbg+++xvbg+=floating
from ^in++++=from
the ^ati++++=the
battlements ^nns+nom+++=battlements.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
before ^in++++=before
dark ^jj++++=dark,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
climb ^vb++++=climb
the ^ati++++=the
hill ^nn++++=hill
with ^in++++=with
a ^at++++=a
heavy ^jj+atrb+++=heavy
basket ^nn++++=basket
of ^in++++=of
fish ^nn++++=fish.
. ^zz++++=EXTRAWORD
The ^ati++++=The
castle ^nn++++=castle
gate ^nn++++=gate
is ^vbz+bez+vrb++=is
open ^jj+pred+++=open.
. ^zz++++=EXTRAWORD
The ^ati++++=The
scent ^nn++++=scent
of ^in++++=of
chicken ^nn++++=chicken
and ^cc++++=and
pancakes ^nns+++??+=pancakes
salutes ^nns++++=salutes
the ^ati++++=the
weary ^jj+atrb+++=weary
pilgrim ^nn++++=pilgrim.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
cosy ^jj+atrb+++=cosy
little ^jj+atrb+++=little
parlour ^nn++++=parlour,
, ^zz++++=EXTRAWORD
adorned ^xvbn+++xvbn+=adorned
with ^in++++=with
fluffy ^jj+atrb+++=fluffy
mats ^nns++++=mats
and ^cc++++=and
pictures ^nns++++=pictures
framed ^vbd+++xvbn+=framed
in ^in++++=in
pine ^nn++++=pine-cones,
- ^zz++++=EXTRAWORD
cones ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
lit ^xvbn+++xvbn+=lit
by ^in++++=by
a ^at++++=a
hanging ^jj+atrb++xvbg+=hanging
lamp ^nn++++=lamp
with ^in++++=with
glass ^nn++++=glass
pendants ^nns+nom+++=pendants,
, ^zz++++=EXTRAWORD
sits ^vbz++++=sits
the ^ati++++=the
mistress ^nns+nom+++=mistress
of ^in++++=of
the ^ati++++=the
occasion ^nn++++=occasion,
, ^zz++++=EXTRAWORD
calmly ^rb++++=calmly
triumphant ^jj++++=triumphant
and ^cc+phrs+++=and
plying ^jj+++xvbg+=plying
her ^pp3o+pp3+++=her
crochet ^nn++++=crochet-needle.
- ^zz++++=EXTRAWORD
needle ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
something ^pn++++=something
mysterious ^jj++++=mysterious
about ^in++++=about
a ^at++++=a
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
fancy ^nn++++=fancy-work.
- ^zz++++=EXTRAWORD
work ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
have ^vbi++++=have
all ^abn++++=all
the ^ati++++=the
soothing ^jj+atrb+++=soothing
charm ^nn++++=charm
of ^in++++=of
the ^ati++++=the
tobacco ^nn++++=tobacco-plant,
- ^zz++++=EXTRAWORD
plant ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
without ^in++++=without
its ^pp$+it+++=its
inconveniences ^nns+nom+++=inconveniences.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
to ^to++++=to
see ^vbi+vprv+++=see
her ^pp$+pp3+++=her
tranquillity ^nn+nom+++=tranquillity,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
relaxes ^vbz++++=relaxes
her ^pp$+pp3+++=her
mind ^nn++++=mind
and ^cc++++=and
busies ^nns+++??+=busies
her ^pp3o+pp3+++=her
fingers ^nns+nom+++=fingers
with ^in++++=with
a ^at++++=a
bit ^nn++++=bit
of ^in++++=of
tatting ^nn++++=tatting
or ^cc++++=or
embroidery ^nn+nom+++=embroidery
or ^cc++++=or
crochet ^nn++++=crochet,
, ^zz++++=EXTRAWORD
gives ^vbz++++=gives
me ^pp1o+pp1+++=me
a ^at++++=a
sense ^nn++++=sense
of ^in++++=of
being ^xvbg+++xvbg+=being
domesticated ^jj++++=domesticated,
, ^zz++++=EXTRAWORD
a ^at++++=a
" ^zz++++="homey"
homey ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
feeling ^nvbg+++xvbg+=feeling,
, ^zz++++=EXTRAWORD
anywhere ^rb++++=anywhere
in ^in++++=in
the ^ati++++=the
wide ^jj+atrb+++=wide
world ^nn++++=world.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
ever ^rb++++=ever
go ^vb++++=go
to ^in++++=to
Norway ^np++++=Norway,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
must ^md+nec+++=must
be ^vb+be+vrb++=be
sure ^jj+pred+++=sure
to ^to+jcmp+++=to
see ^vbi+vprv+++=see
the ^ati++++=the
Loenvand ^np+++??+=Loenvand.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
set ^vb+++xvbn+=set
out ^rb+phrv+++=out
from ^in++++=from
the ^ati++++=the
comfortable ^jj+atrb+++=comfortable
hotel ^npl++++=hotel
at ^rb++++=at
Faleide ^np+++??+=Faleide,
, ^zz++++=EXTRAWORD
go ^vb++++=go
up ^rp++++=up
the ^ati++++=the
Indvik ^np+++??+=Indvik
Fjord ^np+++??+=Fjord
in ^in++++=in
a ^at++++=a
rowboat ^nn+++??+=rowboat,
, ^zz++++=EXTRAWORD
cross ^nn++++=cross
over ^in++++=over
a ^at++++=a
two ^cd++++=two-mile
- ^zz++++=EXTRAWORD
mile ^nn++++=EXTRAWORD
hill ^nn++++=hill
on ^in++++=on
foot ^nn++++=foot
or ^cc++++=or
by ^in++++=by
carriage ^nn+nom+++=carriage,
, ^zz++++=EXTRAWORD
spend ^vb++++=spend
a ^at++++=a
happy ^jj+atrb+++=happy
day ^nn++++=day
on ^in++++=on
the ^ati++++=the
lake ^nn++++=lake,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
return ^nn++++=return
to ^in++++=to
your ^pp$+pp2+++=your
inn ^nn++++=inn
in ^in++++=in
time ^nn++++=time
for ^in++++=for
a ^at++++=a
late ^jj+atrb+++=late
supper ^nn++++=supper.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lake ^nn++++=lake
is ^vbz+bez+vrb++=is
perhaps ^rb++++=perhaps
the ^ati++++=the
most ^ql+emph+++=most
beautiful ^jj++++=beautiful
in ^in++++=in
Norway ^np++++=Norway.
. ^zz++++=EXTRAWORD
Long ^rb++++=Long
and ^cc++++=and
narrow ^jj++++=narrow,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
lies ^vbz++++=lies
like ^in++++=like
a ^at++++=a
priceless ^jj+atrb+++=priceless
emerald ^nn++++=emerald
of ^in++++=of
palest ^jjt+atrb+++=palest
green ^nn++++=green,
, ^zz++++=EXTRAWORD
hidden ^j+++xvbn+=hidden
and ^cc+phrs+++=and
guarded ^jj+++xvbn+=guarded
by ^in++++=by
jealous ^jj+atrb+++=jealous
mountains ^nns++++=mountains.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
fed ^vpsv++by+xvbnx+=fed
by ^in++++=by
huge ^jj+atrb+++=huge
glaciers ^nns+nom+++=glaciers,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
hang ^nn++++=hang
over ^in++++=over
the ^ati++++=the
shoulders ^nns+nom+++=shoulders
of ^in++++=of
the ^ati++++=the
hills ^nns++++=hills
like ^in++++=like
ragged ^jj+atrb+++=ragged
cloaks ^nns+++??+=cloaks
of ^in++++=of
ice ^nn++++=ice.
. ^zz++++=EXTRAWORD
As ^ql++++=As
we ^pp1a+pp1+++=we
row ^nn++++=row
along ^in++++=along
the ^ati++++=the
shore ^nn++++=shore,
, ^zz++++=EXTRAWORD
trolling ^nn+nom+++=trolling
in ^rb++++=in
vain ^rb"++++=vain
for ^in++++=for
the ^ati++++=the
trout ^nns++++=trout
that ^tht+rel+subj++=that
live ^vb++++=live
in ^in++++=in
the ^ati++++=the
ice ^nn++++=ice-cold
- ^zz++++=EXTRAWORD
cold ^jj+atrb+++=EXTRAWORD
water ^nn++++=water,
, ^zz++++=EXTRAWORD
fragments ^nns+nom+++=fragments
of ^in++++=of
the ^ati++++=the
tattered ^jj+atrb+++=tattered
cloth ^nn++++=cloth-of-silver
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
silver ^nn++++=EXTRAWORD
far ^rb+pl+++=far
above ^rb++++=above
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
opposite ^jj+atrb+++=opposite
side ^nn++++=side,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
loosened ^vpsv++by+xvbnx+=loosened
by ^in++++=by
the ^ati++++=the
touch ^nn++++=touch
of ^in++++=of
the ^ati++++=the
summer ^nn++++=summer
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fall ^nn++++=fall
from ^in++++=from
the ^ati++++=the
precipice ^nn++++=precipice.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
drift ^nn++++=drift
downward ^jjb++++=downward,
, ^zz++++=EXTRAWORD
at ^rb++++=at
first ^rb"++++=first,
, ^zz++++=EXTRAWORD
as ^ql++++=as
noiselessly ^rb++++=noiselessly
as ^ql++++=as
thistledowns ^nns+++??+=thistledowns;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
they ^pp3a+pp3+++=they
strike ^vb++++=strike
the ^ati++++=the
rocks ^nns++++=rocks
and ^cc++++=and
come ^vb++++=come
crashing ^vbg+++xvbg+=crashing
towards ^in++++=towards
the ^ati++++=the
lake ^nn++++=lake
with ^in++++=with
the ^ati++++=the
hollow ^jj+atrb+++=hollow
roar ^nn++++=roar
of ^in++++=of
an ^at++++=an
avalanche ^nn++++=avalanche.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
the ^ati++++=the
lake ^nn++++=lake
we ^pp1a+pp1+++=we
find ^vb+vprv+++=find
ourselves ^ppls+pp1+++=ourselves
in ^in++++=in
an ^at++++=an
enormous ^jj+atrb+++=enormous
amphitheatre ^nn+++??+=amphitheatre
of ^in++++=of
mountains ^nns++++=mountains.
. ^zz++++=EXTRAWORD
Glaciers ^nns+nom+++=Glaciers
are ^vb+ber+aux++=are
peering ^vbg+++xvbgx+=peering
down ^rp++++=down
upon ^in++++=upon
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
Snow ^np++++=Snow-fields
- ^zz++++=EXTRAWORD
fields ^nns++++=EXTRAWORD
glare ^nn++++=glare
at ^rb++++=at
us ^pp1o+pp1+++=us
with ^in++++=with
glistening ^jj+atrb+++=glistening
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
Black ^jj+atrb+++=Black
crags ^nns+++??+=crags
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
bend ^vbi++++=bend
above ^rb++++=above
us ^pp1o+pp1+++=us
with ^in++++=with
an ^at++++=an
eternal ^jj+atrb+++=eternal
frown ^nn++++=frown.
. ^zz++++=EXTRAWORD
Streamers ^nns+nom++??+=Streamers
of ^in++++=of
foam ^nn++++=foam
float ^nn++++=float
from ^in++++=from
the ^ati++++=the
forehead ^nn++++=forehead
of ^in++++=of
the ^ati++++=the
hills ^nns++++=hills
and ^cc++++=and
the ^ati++++=the
lips ^nns++++=lips
of ^in++++=of
the ^ati++++=the
dark ^jj+atrb+++=dark
ravines ^nns+++??+=ravines.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^rb++++=a
little ^rb"++++=little
river ^nn++++=river
of ^in++++=of
cold ^nn++++=cold,
, ^zz++++=EXTRAWORD
pure ^jj+atrb+++=pure
water ^nn++++=water
flowing ^vwbg+++xvbg+=flowing
from ^in++++=from
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
rivers ^nns++++=rivers
of ^in++++=of
ice ^nn++++=ice,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
pleasant ^jj+atrb+++=pleasant
shelter ^nn++++=shelter
of ^in++++=of
young ^jj+atrb+++=young
trees ^nns++++=trees
and ^cc++++=and
bushes ^nns++++=bushes
growing ^vwbg+++xvbg+=growing
among ^in++++=among
the ^ati++++=the
debris ^nn++++=debris
of ^in++++=of
shattered ^xvbn+++xvbn+=shattered
rocks ^nns++++=rocks;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there
we ^pp1a+pp1+++=we
build ^vb++++=build
our ^pp$+pp1+++=our
camp ^nn++++=camp-fire
- ^zz++++=EXTRAWORD
fire ^nn++++=EXTRAWORD
and ^cc++++=and
eat ^vb++++=eat
our ^pp$+pp1+++=our
lunch ^nn++++=lunch.
. ^zz++++=EXTRAWORD
Hunger ^nn++++=Hunger
is ^vbz+bez+vrb++=is
a ^at++++=a
most ^ql+emph+++=most
impudent ^jj+atrb+++=impudent
appetite ^nn++++=appetite.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
makes ^vbz++++=makes
a ^at++++=a
man ^nn++++=man
forget ^vb+vprv+++=forget
all ^rb++++=all
the ^ati++++=the
proprieties ^nns+++??+=proprieties.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
place ^nn++++=place
is ^vbz+bez+vrb++=is
there ^rn+pl+++=there
so ^ql++++=so
lofty ^np++++=lofty,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
awful ^jj++++=awful,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
will ^md+prd+++=will
not ^xnot++not++=not
dare ^vb++++=dare
to ^to+vcmp+++=to
sit ^vbi++++=sit
down ^rb+phrv+++=down
in ^in++++=in
it ^pp3+it+++=it
and ^cc++++=and
partake ^vb++++=partake
of ^in++++=of
food ^nn++++=food?
? ^zz++++=EXTRAWORD
Even ^rb++++=Even
on ^in++++=on
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
Mount ^nn++++=Mount
Sinai ^np++++=Sinai,
, ^zz++++=EXTRAWORD
the ^ati++++=the
elders ^nns++++=elders
of ^in++++=of
Israel ^np++++=Israel
spread ^vbd+++xvbn+=spread
their ^pp$+pp3+++=their
out ^rp+pl+++=out-of-door
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
door ^nn++++=EXTRAWORD
table ^nn++++=table,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
did ^vbd+dod+aux++=did
eat ^vb++++=eat
and ^cc++++=and
drink ^nn++++=drink."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
the ^ati++++=the
Tarn ^np+++??+=Tarn
of ^in++++=of
the ^ati++++=the
Elk ^np+++??+=Elk
at ^in++++=at
this ^dt+dem+++=this
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
as ^ql++++=as
it ^pp3+it+++=it
looked ^vbd+++xvbn+=looked
in ^in++++=in
the ^ati++++=the
clear ^jj+atrb+++=clear
sunlight ^nn++++=sunlight
of ^in++++=of
that ^dt+dem+++=that
August ^nr++++=August
afternoon ^nn++++=afternoon,
, ^zz++++=EXTRAWORD
ten ^cd++++=ten
years ^nns++++=years
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
Far ^rb+pl+++=Far
down ^rp++++=down
in ^in++++=in
a ^at++++=a
hollow ^nn++++=hollow
of ^in++++=of
the ^ati++++=the
desolate ^jj+atrb+++=desolate
hills ^nns++++=hills
it ^pp3+it+++=it
nestles ^vbz+++??+=nestles,
, ^zz++++=EXTRAWORD
four ^cd++++=four
thousand ^cd++++=thousand
feet ^nns++++=feet
above ^in+pl+++=above
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
The ^ati++++=The
moorland ^nn++++=moorland
trail ^nn++++=trail
hangs ^vbz++++=hangs
high ^jj++++=high
above ^jjb++++=above
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
mile ^nn++++=mile
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
every ^at++++=every
curve ^nn++++=curve
of ^in++++=of
the ^ati++++=the
treeless ^jj+atrb+++=treeless
shore ^nn++++=shore,
, ^zz++++=EXTRAWORD
every ^at++++=every
shoal ^nn++++=shoal
and ^cc++++=and
reef ^nn++++=reef
in ^in++++=in
the ^ati++++=the
light ^jj+atrb+++=light
green ^nn++++=green
water ^nn++++=water
is ^vbz+bez+vrb++=is
clearly ^rb++++=clearly
visible ^jj+pred+++=visible.
. ^zz++++=EXTRAWORD
With ^in++++=With
a ^at++++=a
powerful ^jj+atrb+++=powerful
field ^nn++++=field-glass
- ^zz++++=EXTRAWORD
glass ^nn++++=EXTRAWORD
one ^cd1++++=one
can ^md+pos+++=can
almost ^rb+hdg+splt++=almost
see ^vb+vprv+++=see
the ^ati++++=the
large ^jj+atrb+++=large
trout ^nn++++=trout
for ^in++++=for
which ^whp+rel+pied++=which
the ^ati++++=the
pond ^nn++++=pond
is ^vbz+bez+vrb++=is
famous ^jj+pred+++=famous.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shelter ^nn++++=shelter-hut
- ^zz++++=EXTRAWORD
hut ^nn++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
bank ^nn++++=bank
is ^vbz+bez+aux++=is
built ^vpsv++agls+xvbnx+=built
of ^in++++=of
rough ^jj+atrb+++=rough
gray ^np++++=gray
stones ^nns++++=stones,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
roof ^nn++++=roof
is ^vbz+bez+vrb++=is
leaky ^nn+++??+=leaky
to ^in++++=to
the ^ati++++=the
light ^nn++++=light
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
to ^in++++=to
the ^ati++++=the
weather ^nn++++=weather.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
two ^cd++++=two
beds ^nns++++=beds
in ^in++++=in
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
one ^pn++++=one
for ^in++++=for
my ^pp$+pp1+++=my
guide ^nn++++=guide
and ^cc++++=and
one ^pn++++=one
for ^in++++=for
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
practicable ^jj+atrb+++=practicable
fireplace ^nn++++=fireplace,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
soon ^rb+tm+splt++=soon
filled ^vpsv++agls+xvbnx+=filled
with ^in++++=with
a ^at++++=a
blaze ^nn++++=blaze
of ^in++++=of
comfort ^nn++++=comfort.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
also ^rb++++=also
a ^at++++=a
random ^rb++++=random
library ^npl+nom+++=library
of ^in++++=of
novels ^nns++++=novels,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
former ^ap++++=former
fishermen ^nns++++=fishermen
have ^vb+hv+aux++=have
thoughtfully ^rb++splt++=thoughtfully
left ^vprf+++xvbnx+=left
behind ^rb+phrv+++=behind
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
like ^vb++++=like
strong ^jj++++=strong
reading ^jj+++xvbg+=reading
in ^in++++=in
the ^ati++++=the
wilderness ^nns+nom+++=wilderness.
. ^zz++++=EXTRAWORD
Give ^vb++++=Give
me ^pp1o+pp1+++=me
a ^at++++=a
story ^nn++++=story
with ^in++++=with
plenty ^nn++++=plenty
of ^in++++=of
danger ^nn++++=danger
and ^cc++++=and
wholesome ^jj++++=wholesome
fighting ^jj+++xvbg+=fighting
in ^in++++=in
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
Three ^cd++++=Three
Musketeers ^nns+nom++??+=Musketeers,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
or ^cc++++=or
" ^zz++++="Treasure
treasure ^nn++++=EXTRAWORD
Island ^nn++++=Island,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
or ^cc++++=or
" ^zz++++="The
the ^ati++++=EXTRAWORD
Afghan ^np++++=Afghan's
's ^$++++=EXTRAWORD
Knife ^nn++++=Knife."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Intricate ^jj+atrb+++=Intricate
studies ^nns++++=studies
of ^in++++=of
social ^jj+atrb+++=social
dilemmas ^nns++++=dilemmas
and ^cc++++=and
tales ^nns++++=tales
of ^in++++=of
mild ^jj++++=mild
