Over ^in++++=Over
going ^vbg+++xvbgx+=going
on ^in++++=on
Wednesday ^nr++++=Wednesday.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'By
' ^zz++++=EXTRAWORD
by ^in++++=EXTRAWORD
stage ^nn++++=stage
or ^cc++++=or
packet ^nn++++=packet?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
father ^npt++++=father
asked ^vbd+vsua++xvbn+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="'Oh,
' ^zz++++=EXTRAWORD
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
take ^vb++++=take
the ^ati++++=the
canal ^nn++++=canal
to ^in++++=to
the ^ati++++=the
lake ^nn++++=lake,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
get ^vb++++=get
the ^ati++++=the
boat ^nn++++=boat
for ^in++++=for
Buffalo ^np+++??+=Buffalo
there ^rn+pl+++=there,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
uncle ^npt++++=uncle
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
went ^vbd+++xvbnx+=went
on ^in++++=on
to ^to++++=to
speak ^vbi++++=speak
of ^in++++=of
the ^ati++++=the
trip ^nn++++=trip
to ^in++++=to
New ^jj+atrb+++=New
York ^np++++=York,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
much ^ap++++=much
easier ^jjr++++=easier
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
then ^rn+tm+++=then
than ^in++++=than
it ^pp3+it+++=it
used ^md"++pmd"++=used
to ^to++++=to
be ^vbi++vrb++=be
when ^wrb+who+++=when
you ^pp2+pp2+++=you
had ^md"++pmd"++=had
to ^md+nec+++=to
go ^vb++++=go
by ^in++++=by
stage ^nn++++=stage
over ^in++++=over
the ^ati++++=the
mountains ^nns++++=mountains
to ^in++++=to
Philadelphia ^np++++=Philadelphia
and ^cc++++=and
on ^in++++=on
by ^in++++=by
stage ^nn++++=stage
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
got ^vbd+++xvbn+=got
the ^ati++++=the
Erie ^np+++??+=Erie
Canal ^nn++++=Canal
packet ^nn++++=packet
at ^in++++=at
Buffalo ^np+++??+=Buffalo
and ^cc++++=and
the ^ati++++=the
Hudson ^np++++=Hudson
River ^nn++++=River
steamboat ^nn+++??+=steamboat
at ^rb++++=at
Albany ^np++++=Albany,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reached ^vprf+++xvbn+=reached
New ^jj+atrb+++=New
York ^np++++=York
in ^in++++=in
four ^cd++++=four
or ^cc++++=or
five ^cd++++=five
days ^nns++++=days,
, ^zz++++=EXTRAWORD
in ^in++++=in
great ^jj+atrb+++=great
comfort ^nn++++=comfort
without ^in++++=without
the ^ati++++=the
least ^rbt++++=least
fatigue ^nn++++=fatigue.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vb+hv+aux++=had
all ^abn++++=all
risen ^vwbn+++xvbn+=risen
and ^cc++++=and
my ^pp$+pp1+++=my
aunt ^nn++++=aunt
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
out ^rp+pl+++=out
with ^in++++=with
her ^pp$+pp3+++=her
sisters ^nns+nom+++=sisters-in-law
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
law ^nn++++=EXTRAWORD
to ^to++++=to
help ^vbi++++=help
them ^pp3o+pp3+++=them
get ^vb++++=get
their ^pp$+pp3+++=their
wraps ^nns+++??+=wraps.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
they ^pp3a+pp3+++=they
returned ^vbd+++xvbnx+=returned,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
talking ^vbg+++xvbgx+=talking
of ^in++++=of
the ^ati++++=the
journey ^nn++++=journey,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
for ^in++++=for
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
my ^pp$+pp1+++=my
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
laughing ^vbg+++xvbg+=laughing
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
' ^zz++++='Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Richard ^np++++=Richard
may ^md+pos+++=may
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
easy ^jj++++=easy;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
somehow ^rb++++=somehow
Felix ^np++++=Felix
never ^rb++++=never
expects ^vbz++++=expects
to ^to++++=to
get ^vbi++++=get
home ^nr++++=home
alive ^jj++++=alive.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
ever ^rb++++=ever
heard ^vbd+vprv+tht0+xvbn+=heard
my ^pp$+pp1+++=my
uncle ^nn++++=uncle
laugh ^nn++++=laugh,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
can ^md+pos+++=can
remember ^nn+nom+++=remember
how ^wrb+who+++=how
he ^pp3a+pp3+++=he
smiled ^vbd+++xvbnx+=smiled
at ^in++++=at
my ^pp$+pp1+++=my
aunt ^nn++++=aunt's
's ^vbz+bez+aux++0=EXTRAWORD
laughing ^vbg+++xvbgx+=laughing,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
put ^vbd+++xvbnx+=put
his ^pp$+pp3+++=his
hand ^nn++++=hand
on ^rp++++=on
her ^pp3o+pp3+++=her
shoulder ^nn+nom+++=shoulder;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
somehow ^rb++++=somehow
a ^at++++=a
very ^ql+amp+++=very
sad ^jj+atrb+++=sad
smile ^nn++++=smile.
. ^zz++++=EXTRAWORD
On ^in++++=On
Wednesday ^nr++++=Wednesday
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
allowed ^vb++pmd"+xvbnx+=allowed
to ^to+vcmp+pmd++=to
go ^vb++++=go
with ^in++++=with
my ^pp$+pp1+++=my
aunt ^nn++++=aunt
and ^cc++++=and
cousin ^nn++++=cousin
to ^to++++=to
see ^vbi+vprv+++=see
him ^pp3o+pp3+++=him
off ^in+pl+++=off
on ^in++++=on
the ^ati++++=the
packet ^nn++++=packet,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
came ^vbd+++xvbn+=came
up ^rp++++=up
from ^in++++=from
Cincinnati ^np+++??+=Cincinnati
early ^jj++++=early
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
lain ^vprf+++xvbn+=lain
awake ^jj++++=awake
most ^ap+emph+++=most
of ^in++++=of
the ^ati++++=the
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
nearly ^rb+down+++=nearly
overslept ^vbd+++xvbn+=overslept
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
was ^vbd+bedz+vrb++=was
at ^rb++++=at
the ^ati++++=the
canal ^nn++++=canal
in ^in++++=in
time ^nn++++=time.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
made ^vbd+++xvbn+=made
a ^at++++=a
gay ^jj++++=gay
parting ^jj+++xvbg+=parting
for ^in++++=for
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
the ^ati++++=the
boat ^nn++++=boat
started ^vbd+++xvbn+=started,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
gloating ^vbg+++xvbgx+=gloating
on ^in++++=on
the ^ati++++=the
three ^cd++++=three
horses ^nns++++=horses
making ^vwbg+++xvbg+=making
up ^rp++++=up
the ^ati++++=the
tow ^nn++++=tow-path
- ^zz++++=EXTRAWORD
path ^nn++++=EXTRAWORD
at ^in++++=at
a ^at++++=a
spanking ^jj+atrb++xvbg+=spanking
trot ^nn++++=trot,
, ^zz++++=EXTRAWORD
under ^in++++=under
the ^ati++++=the
snaky ^nn+++??+=snaky
spirals ^nns+nom+++=spirals
of ^in++++=of
the ^ati++++=the
driver ^nn++++=driver's
's ^vbz+bez+aux++0=EXTRAWORD
smacking ^vbg+++xvbgx+=smacking
whip ^nn++++=whip-lash,
- ^zz++++=EXTRAWORD
lash ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
caught ^vbd+++xvbnx+=caught
sight ^nn++++=sight
of ^in++++=of
my ^pp$+pp1+++=my
uncle ^nn++++=uncle
standing ^vwbg+++xvbg+=standing
on ^in++++=on
the ^ati++++=the
deck ^nn++++=deck
and ^cc++++=and
smiling ^vbg+nom++xvbg+=smiling
that ^dt+dem+++=that
sad ^jj+atrb+++=sad
smile ^nn++++=smile
of ^in++++=of
his ^pp$+pp3+++=his.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
aunt ^nn++++=aunt
was ^vbd+bedz+aux++=was
waving ^vbg+++xvbgx+=waving
her ^pp$+pp3+++=her
handkerchief ^nn++++=handkerchief,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
turned ^vbd+++xvbnx+=turned
away ^rb+phrv+++=away
she ^pp3a+pp3+++=she
put ^vbd+++xvbnx+=put
it ^pp3+it+++=it
to ^in++++=to
her ^pp$+pp3+++=her
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
rest ^nn++++=rest
of ^in++++=of
the ^ati++++=the
story ^nn++++=story,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
to ^in++++=to
the ^ati++++=the
very ^ql+amp+++=very
end ^np++++=end,
, ^zz++++=EXTRAWORD
from ^in++++=from
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
heard ^vbd+vprv+tht0+xvbnx+=heard
my ^pp$+pp1+++=my
father ^nn++++=father
and ^cc++++=and
mother ^nn++++=mother
say ^vb+vpub+++=say
from ^in++++=from
my ^pp$+pp1+++=my
uncle ^nn++++=uncle's
's ^$++++=EXTRAWORD
report ^nn++++=report
afterward ^rb++++=afterward.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
told ^vbd+vpub++xvbnx+=told
them ^pp3o+pp3+++=them
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
boat ^nn++++=boat
started ^vbd+++xvbn+=started,
, ^zz++++=EXTRAWORD
the ^ati++++=the
stress ^nn++++=stress
to ^to++++=to
stay ^vbi++++=stay
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
strong ^jj++++=strong
upon ^in++++=upon
him ^pp3o+pp3+++=him
that ^dt+dem+++=that
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
ashamed ^jj++++=ashamed
he ^pp3a+pp3+++=he
would ^md+prd+++=would
have ^vb+hv+aux++=have
jumped ^vprf+++xvbnx+=jumped
ashore ^rb+pl+++=ashore
and ^cc++++=and
followed ^vbd+vprv++xvbn+=followed
us ^pp1o+pp1+++=us
home ^nr++++=home.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub++xvbnx+=said
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
analyze ^vb+++??+=analyze
his ^pp$+pp3+++=his
feelings ^nns+nom+++=feelings;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
yet ^rb++++=yet
any ^dti++++=any
definite ^jj+atrb+++=definite
foreboding ^nvbg+++xvbg+=foreboding,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
simply ^rb++++=simply
a ^at++++=a
depression ^nn++++=depression
that ^tht+rel+subj++=that
seemed ^vprf+++xvbn+=seemed
to ^to+vcmp+++=to
crush ^vbi++++=crush
him ^pp3o+pp3+++=him
so ^ql++++=so
that ^cs+sub+++=that
all ^abn++++=all
his ^pp$+pp3+++=his
movements ^nns+nom+++=movements
were ^vbd+bed+aux++=were
leaden ^vpsv++agls+xvbnx+=leaden,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vbd+++xvbn+=went
down ^rp++++=down
to ^in++++=to
breakfast ^nn++++=breakfast
in ^in++++=in
the ^ati++++=the
cabin ^nn++++=cabin
below ^in+strn+++=below.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stress ^nn++++=stress
did ^vbd+dod+aux++=did
not ^xnot++not++=not
lighten ^vb++++=lighten
with ^in++++=with
the ^ati++++=the
little ^ap++++=little
changes ^nns++++=changes
and ^cc++++=and
chances ^nns+nom+++=chances
of ^in++++=of
the ^ati++++=the
voyage ^nn++++=voyage
to ^in++++=to
the ^ati++++=the
lake ^nn++++=lake.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
never ^rb++++=never
much ^ap++++=much
given ^jj+++xvbn+=given
to ^to++++=to
making ^vbi++++=making
acquaintance ^nn+nom+++=acquaintance
with ^in++++=with
people ^nns++++=people,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
now ^rn+tm+++=now
he ^pp3a+pp3+++=he
found ^vbd+vprv+tht0+xvbnx+=found
himself ^ppl+pp3+++=himself
so ^ql+emph+++=so
absent ^jj++++=absent-minded
- ^zz++++=EXTRAWORD
minded ^vb+++xvbn+=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
aware ^jj+pred+++=aware
of ^in++++=of
being ^xvbg+++xvbg+=being
sometimes ^rb++++=sometimes
spoken ^vprf+++xvbn+=spoken
to ^in++++=to
by ^in++++=by
friendly ^jj+atrb+++=friendly
strangers ^nns+nom+++=strangers
without ^in++++=without
replying ^nn++++=replying
until ^cs+sub+++=until
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
too ^ql++++=too
late ^jj++++=late
even ^rb++++=even
to ^to++++=to
apologize ^vbi++++=apologize.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
only ^rb+down+++=only
steeped ^vwbn+++xvbn+=steeped
in ^in++++=in
this ^dt+dem+++=this
gloom ^nn++++=gloom,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
the ^ati++++=the
constant ^jj+atrb+++=constant
distress ^nns+nom+++=distress
of ^in++++=of
the ^ati++++=the
effort ^nn++++=effort
he ^pp3a+pp3+++=he
involuntarily ^rb++++=involuntarily
made ^vbd+++xvbn+=made
to ^to+vcmp+++=to
trace ^vbi++++=trace
it ^pp3+it+++=it
back ^jjb++++=back
to ^in++++=to
some ^dti++++=some
cause ^nn++++=cause
or ^cc++++=or
follow ^vb+vprv+++=follow
it ^pp3+it+++=it
forward ^rb+phrv+++=forward
to ^in+ppvb+++=to
some ^dti++++=some
consequence ^nn+nom+++=consequence.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
kept ^vbd+++xvbnx+=kept
trying ^vbg+++xvbg+=trying
at ^in++++=at
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
mind ^nn++++=mind
so ^ql++++=so
tensely ^rb++++=tensely
bent ^jj+++xvbn+=bent
to ^in++++=to
the ^ati++++=the
mere ^jjb+atrb+++=mere
horror ^nn++++=horror
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
strain ^nn++++=strain
away ^in+pl+++=away
from ^in"++++=from
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
very ^ql+amp+++=very
willingly ^rb++++=willingly
have ^vb+hv+aux++=have
occupied ^vprf+++xvbnx+=occupied
himself ^ppl+pp3+++=himself
with ^in++++=with
other ^ap++++=other
things ^nns++++=things,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
anguish ^nn++++=anguish
which ^whp+rel+obj++=which
the ^ati++++=the
double ^jj+atrb+++=double
action ^nn++++=action
of ^in++++=of
his ^pp$+pp3+++=his
mind ^nn++++=mind
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
was ^vbd+bedz+vrb++=was
such ^abl++++=such
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
bear ^vb+vprv+++=bear
the ^ati++++=the
effort ^nn++++=effort;
; ^zz++++=EXTRAWORD
all ^abn++++=all
he ^pp3a+pp3+++=he
could ^md+pos+++=could
do ^vb+do+aux++=do
was ^vbd+bedz+aux++=was
to ^to++++=to
abandon ^vbi++++=abandon
himself ^ppl+pp3+++=himself
to ^in++++=to
his ^pp$+pp3+++=his
obsession ^nn++++=obsession.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
would ^md+prd+++=would
ease ^vb++++=ease
him ^pp3o+pp3+++=him
only ^rb+down+++=only
for ^in++++=for
a ^at++++=a
while ^cs+sub+++=while,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
would ^md+prd+++=would
suffer ^vb++++=suffer
the ^ati++++=the
misery ^nn++++=misery
of ^in++++=of
trying ^xvbg+++xvbg+=trying
in ^rb++++=in
vain ^rb"++++=vain
to ^to++++=to
escape ^vbi++++=escape
from ^in++++=from
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
thought ^vbd+++xvbnx+=thought
he ^pp3a+pp3+++=he
must ^md+nec+++=must
be ^vb+be+aux++=be
going ^vbg+++xvbgx+=going
mad ^jj++++=mad,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
insanity ^nn+nom+++=insanity
implied ^vbd+vprv++xvbn+=implied
some ^dti++++=some
definite ^jj+atrb+++=definite
delusion ^nn++++=delusion
or ^cc++++=or
hallucination ^nn+nom+++=hallucination,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
so ^ql++++=so
far ^rb+pl+++=far
as ^ql++++=as
he ^pp3a+pp3+++=he
could ^md+pos+++=could
make ^vb++++=make
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
none ^pn++++=none.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
simply ^rb++splt++=simply
crushed ^vpsv++by+xvbnx+=crushed
by ^in++++=by
a ^at++++=a
nameless ^jj+atrb+++=nameless
foreboding ^nvbg+++xvbg+=foreboding.
. ^zz++++=EXTRAWORD
Something ^pn++++=Something
dreadful ^jj++++=dreadful
was ^vbd+bedz+aux++=was
to ^to++++=to
happen ^vbi+v+++=happen,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
all ^abn++++=all
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt;
; ^zz++++=EXTRAWORD
knowledge ^nn++++=knowledge
had ^vb+hv+vrb++=had
no ^at++++=no
part ^nn++++=part
in ^in++++=in
his ^pp$+pp3+++=his
condition ^nn+nom+++=condition.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
not ^xnot++not++=not
say ^vb+vpub+++=say
whether ^cs+who+++=whether
he ^pp3a+pp3+++=he
slept ^vbd+++xvbnx+=slept
during ^in++++=during
the ^ati++++=the
two ^cd++++=two
nights ^nns++++=nights
that ^tht+rel+subj++=that
passed ^vprf+++xvbn+=passed
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
reached ^vbd+++xvbnx+=reached
Toledo ^np++++=Toledo,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
to ^to++++=to
take ^vbi++++=take
the ^ati++++=the
lake ^nn++++=lake
steamer ^np++++=steamer
for ^in++++=for
Buffalo ^np+++??+=Buffalo.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wished ^vbd+vprv++xvbnx+=wished
to ^to+vcmp+++=to
turn ^vbi++++=turn
back ^rb+phrv+++=back
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
relentless ^jj+atrb+++=relentless
pressure ^nn++++=pressure
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
kept ^vprf+++xvbnx+=kept
him ^pp3o+pp3+++=him
from ^in++++=from
turning ^xvbg+++xvbg+=turning
back ^jjb++++=back
at ^in++++=at
the ^ati++++=the
start ^nn++++=start
was ^vbd+bedz+vrb++=was
as ^ql++++=as
strong ^jj++++=strong
as ^in++++=as
ever ^rb++++=ever
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
give ^vbi++++=give
his ^pp$+pp3+++=his
presentiment ^nn+nom+++=presentiment
direction ^nn+nom+++=direction
by ^in++++=by
talking ^nn++++=talking
with ^in++++=with
the ^ati++++=the
other ^ap++++=other
passengers ^nns+nom+++=passengers
about ^in++++=about
a ^at++++=a
recent ^jj+atrb+++=recent
accident ^nn++++=accident
to ^in++++=to
a ^at++++=a
lake ^nn++++=lake
steamer ^np++++=steamer,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
several ^ap++++=several
hundred ^cd++++=hundred
lives ^nns++++=lives
were ^vbd+bed+aux++=were
lost ^vpsv++agls+xvbnx+=lost;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
collision ^nn++++=collision
in ^in++++=in
rough ^jj+atrb+++=rough
weather ^nn++++=weather,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
boats ^nns++++=boats
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
down ^rp++++=down
in ^in++++=in
a ^ap++++=a
few ^ap"++++=few
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
relief ^nn++++=relief
in ^cs+sub+++=in
that ^cs"++++=that,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
double ^jj+atrb+++=double
action ^nn++++=action
of ^in++++=of
the ^ati++++=the
mind ^nn++++=mind
brought ^vbd+++xvbn+=brought
the ^ati++++=the
same ^ap++++=same
intolerable ^jj+atrb+++=intolerable
anguish ^nn++++=anguish
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
settled ^vbd+++xvbnx+=settled
back ^jjb++++=back
for ^in++++=for
refuge ^nn++++=refuge
under ^in++++=under
the ^ati++++=the
shadow ^nn++++=shadow
of ^in++++=of
his ^pp$+pp3+++=his
impenetrable ^jj+atrb+++=impenetrable
doom ^nn++++=doom.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
lift ^nn++++=lift
till ^cs+sub+++=till
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
well ^rb++++=well
on ^rp++++=on
his ^pp$+pp3+++=his
way ^nn++++=way
from ^in++++=from
Albany ^np++++=Albany
to ^in++++=to
New ^jj+atrb+++=New
York ^np++++=York
by ^in++++=by
the ^ati++++=the
Hudson ^np++++=Hudson
River ^nn++++=River.
. ^zz++++=EXTRAWORD
The ^ati++++=The
canal ^nn++++=canal-boat
- ^zz++++=EXTRAWORD
boat ^nn++++=EXTRAWORD
voyage ^nn++++=voyage
from ^in++++=from
Buffalo ^np+++??+=Buffalo
to ^in++++=to
Albany ^np++++=Albany
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
as ^ql++++=as
eventless ^jj++++=eventless
as ^ql++++=as
that ^cs+sub+++=that
to ^in++++=to
Toledo ^np++++=Toledo,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
lake ^nn++++=lake
steamer ^np++++=steamer
had ^vbd+hvd+aux++=had
reached ^vprf+++xvbnx+=reached
Buffalo ^np+++??+=Buffalo
in ^in++++=in
safety ^nn++++=safety,
, ^zz++++=EXTRAWORD
for ^in++++=for
which ^whp+rel+pied++=which
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
seemed ^vprf+++xvbnx+=seemed
as ^cs+sub+++=as
if ^cs+cnd+++=if
those ^dt+dem+++=those
lost ^jj+++xvbn+=lost
in ^in++++=in
the ^ati++++=the
recent ^jj+atrb+++=recent
disaster ^nn+nom+++=disaster
had ^vbd+hvd+aux++=had
paid ^vprf+++xvbnx+=paid.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
pierce ^vbi++++=pierce
his ^pp$+pp3+++=his
heavy ^jj+atrb+++=heavy
cloud ^nn++++=cloud
by ^in++++=by
argument ^nn+nom+++=argument
from ^in++++=from
the ^ati++++=the
security ^nn+nom+++=security
in ^in++++=in
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
traveled ^vprf+++xvbnx+=traveled
so ^pn++++=so
far ^rb+cnj+++=far,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
very ^ap+amp+++=very
security ^nn+nom+++=security
had ^vb+hv+vrb++=had
