Tom ^np++++=Tom
to ^to+jcmp+++=to
land ^vb++++=land
you ^pp2+pp2+++=you
somewhere ^rb++++=somewhere
in ^in++++=in
the ^ati++++=the
end ^nn++++=end
even ^cs+sub+++=even
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
miss ^npt++++=miss
it ^pp3+it+++=it
this ^dt+dem+++=this
time ^nn++++=time.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
very ^ql+amp+++=very
sorry ^jj++++=sorry
that ^tht+jcmp+++=that
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
obliged ^jj++agls+xvbnx+=obliged
to ^to+jcmp+++=to
be ^vbi++vrb++=be
the ^ati++++=the
means ^nn++++=means
of ^in++++=of
destroying ^xvbg+++xvbg+=destroying
your ^pp$+pp2+++=your
chance ^nn++++=chance
with ^in++++=with
the ^ati++++=the
World ^nn++++=World;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
no ^at++++=no
choice ^nn++++=choice
in ^in++++=in
the ^ati++++=the
matter ^nn++++=matter,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I----"
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Tickets,
tickets ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
please ^uh++++=please."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Blank ^jj+atrb+++=Blank
dismay ^nn++++=dismay
overspread ^nn+++??+=overspread
Tom ^np++++=Tom's
's ^$++++=EXTRAWORD
countenance ^nn+nom+++=countenance
as ^ql++++=as
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
up ^rp++++=up
at ^in++++=at
the ^ati++++=the
conductor ^nn++++=conductor.
. ^zz++++=EXTRAWORD
" ^zz++++="I--I
i ^pp1a+pp1+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=haven't
n't ^xnot++not++0=EXTRAWORD
any ^dti++++=any."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
go ^vbi++++=go?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Tom ^np++++=Tom
put ^vbd+++xvbn+=put
his ^pp$+pp3+++=his
hand ^nn++++=hand
into ^in++++=into
his ^pp$+pp3+++=his
pocket ^nn++++=pocket
and ^cc++++=and
brought ^vbd+++xvbn+=brought
out ^rb+phrv+++=out
all ^rb++++=all
his ^pp$+pp3+++=his
money ^nn++++=money;
; ^zz++++=EXTRAWORD
less ^rbr++++=less
than ^in++++=than
two ^cd++++=two
dollars ^nns++++=dollars.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
held ^vbd+vprv+tht0+xvbnx+=held
it ^pp3+it+++=it
out ^rp+pl+++=out
to ^in++++=to
the ^ati++++=the
gaze ^nn++++=gaze
of ^in++++=of
the ^ati++++=the
conductor ^nn++++=conductor.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
far ^rb+pl+++=far
can ^md+pos+++=can
I ^pp1a+pp1+++=I
go ^vb++++=go
for ^in+ppvb+++=for
that ^dt+pdem+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
that ^tht+vcmp+++=that
all ^abn++++=all
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
senator ^nn++++=senator.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
nodded ^vbd+++xvbn+=nodded.
. ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
right ^jj+atrb+++=right
conductor ^nn++++=conductor;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we'll
'll ^md+prd+++0=EXTRAWORD
arrange ^vb++++=arrange
this ^dt+pdem+++=this;
; ^zz++++=EXTRAWORD
come ^vprf+++xvbn+=come
around ^rp++++=around
again ^rb+tm+++=again
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
conductor ^nn++++=conductor
went ^vbd+++xvbn+=went
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
stared ^vbd+++xvbn+=stared
helplessly ^rb++++=helplessly
at ^in++++=at
his ^pp$+pp3+++=his
few ^ap++++=few
coins ^nns++++=coins
and ^cc++++=and
Senator ^nn++++=Senator
August ^nr++++=August
looked ^vbd+++xvbn+=looked
smilingly ^rb++++=smilingly
at ^in++++=at
Tom ^np++++=Tom.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
about ^in++++=about
following ^xvbg+++xvbg+=following
me ^pp1o+pp1+++=me
home ^nr++++=home?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="I--I'd
i--i ^nn+++??+=EXTRAWORD
'd ^vbd+hvd+aux++0=EXTRAWORD
forgotten ^vprf+++xvbnx+=forgotten,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
stammered ^vbd+++xvbn+=stammered
Tom ^np++++=Tom.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
never ^rb++++=never
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
loan ^vb++++=loan
you ^pp2+pp2+++=you
enough ^qlp++++=enough
to ^to++++=to
reach ^vbi++++=reach
the ^ati++++=the
first ^od++++=first
stop ^vb++++=stop
and ^cc++++=and
to ^to++++=to
return ^vbi++++=return
to ^in++++=to
Washington ^np++++=Washington.
. ^zz++++=EXTRAWORD
Nonsense ^nn++++=Nonsense,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
continued ^vbd+++xvbnx+=continued,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Tom ^np++++=Tom
began ^vbd+++xvbn+=began
a ^at++++=a
weak ^jj+atrb+++=weak
objection ^nn+nom+++=objection,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=haven't
n't ^xnot++not++0=EXTRAWORD
offered ^vbd+++xvbn+=offered
to ^to++++=to
give ^vbi++++=give
it ^pp3+it+++=it
to ^in++++=to
you ^pp2+pp2+++=you;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
may ^md+pos+++=may
repay ^vb++++=repay
it ^pp3+it+++=it
some ^dti++++=some
day ^nn++++=day."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
pressed ^vbd+++xvbnx+=pressed
a ^at++++=a
bill ^nn++++=bill
into ^in++++=into
the ^ati++++=the
boy ^nn++++=boy's
's ^$++++=EXTRAWORD
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
" ^zz++++="At
at ^in++++=EXTRAWORD
Blankville ^np+++??+=Blankville
Junction ^nn+nom+++=Junction
you ^pp2+pp2+++=you
can ^md+pos+++=can
get ^vb++++=get
a ^at++++=a
train ^nn++++=train
back ^jjb++++=back
before ^in++++=before
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
guess ^vb++++=guess.
. ^zz++++=EXTRAWORD
Never ^rb++++=Never
mind ^vb++++=mind
that ^tht+vcmp+++=that
cold ^jj++++=cold-blooded
- ^zz++++=EXTRAWORD
blooded ^jj+atrb++xvbn+=EXTRAWORD
editor ^nn++++=editor
on ^in++++=on
the ^ati++++=the
World ^nn++++=World;
; ^zz++++=EXTRAWORD
try ^vb++++=try
the ^ati++++=the
other ^ap++++=other
papers ^nns++++=papers
again ^rb+tm+++=again;
; ^zz++++=EXTRAWORD
keep ^vb++++=keep
at ^in++++=at
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
pays ^vbz++++=pays
in ^in++++=in
the ^ati++++=the
end ^nn++++=end.
. ^zz++++=EXTRAWORD
Hello ^rb+dspt+++=Hello,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
we ^pp1a+pp1+++=we
stopping ^nvbg+++xvbg+=stopping
here ^rn+pl+++=here?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
train ^nn++++=train
had ^vbd+hvd+aux++=had
slowed ^vprf+++xvbnx+=slowed
down ^rb+phrv+++=down
and ^cc+phrs+++=and
now ^rn+tm+++=now
it ^pp3+it+++=it
paused ^vbd+++xvbn+=paused
for ^in++++=for
an ^at++++=an
instant ^nn+nom+++=instant
beside ^in+pl+++=beside
a ^rb++++=a
little ^rb"++++=little
box ^nn++++=box
of ^in++++=of
a ^at++++=a
station ^nn+nom+++=station.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
it ^pp3+it+++=it
started ^vbd+++xvbn+=started
on ^in++++=on
again ^rb+tm+++=again
and ^cc++++=and
a ^at++++=a
train ^nn++++=train
man ^nn++++=man
appeared ^vbd+seem++xvbn+=appeared
at ^rb++++=at
the ^ati++++=the
far ^rb+pl+++=far
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
car ^nn++++=car
holding ^vwbg+++xvbg+=holding
a ^at++++=a
buff ^jj+atrb+++=buff
envelope ^nn++++=envelope
in ^in++++=in
his ^pp$+pp3+++=his
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
" ^zz++++="Senator
senator ^npt++++=EXTRAWORD
August ^nr++++=August
in ^in++++=in
this ^dt+dem+++=this
car ^nn++++=car?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
The ^ati++++=The
telegram ^nn++++=telegram
was ^vbd+bedz+aux++=was
delivered ^vpsv++agls+xvbnx+=delivered
and ^cc++++=and
its ^pp$+it+++=its
recipient ^nn++++=recipient,
, ^zz++++=EXTRAWORD
excusing ^vbg+++xvbg+=excusing
himself ^ppl+pp3+++=himself
to ^in++++=to
the ^ati++++=the
sad ^jj++++=sad-hearted
- ^zz++++=EXTRAWORD
hearted ^jj+atrb+++=EXTRAWORD
youth ^nn++++=youth
on ^in++++=on
the ^ati++++=the
opposite ^jj+atrb+++=opposite
seat ^nn++++=seat,
, ^zz++++=EXTRAWORD
read ^j+++xvbn+=read
the ^ati++++=the
contents ^nns++++=contents
hurriedly ^rb++++=hurriedly.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
glanced ^vbd+++xvbnx+=glanced
queerly ^rb++++=queerly
at ^in++++=at
Tom ^np++++=Tom,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
a ^rb++++=a
little ^rb"++++=little
smile ^nn++++=smile
stole ^vbd+++xvbn+=stole
out ^rp+pl+++=out
from ^in++++=from
under ^in++++=under
the ^ati++++=the
ends ^nns++++=ends
of ^in++++=of
his ^pp$+pp3+++=his
grizzled ^jj+atrb+++=grizzled
mustache ^nn+++??+=mustache.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
lucky ^jj+pred+++=lucky,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
looked ^vbd+++xvbn+=looked
a ^at++++=a
question ^nn+nom+++=question,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
senator ^npt++++=senator
thrust ^vbd+++xvbn+=thrust
the ^ati++++=the
message ^nn+nom+++=message
into ^in++++=into
his ^pp$+pp3+++=his
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
" ^zz++++="Read
read ^vprf++tht0+xvbn+=EXTRAWORD
that ^dt+pdem+++=that,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said;
; ^zz++++=EXTRAWORD
" ^zz++++="it
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
from ^in++++=from
my ^pp$+pp1+++=my
secretary ^nn+nom+++=secretary
in ^in++++=in
Washington ^np++++=Washington."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
pressed ^vbd+++xvbnx+=pressed
the ^ati++++=the
electric ^jj+atrb+++=electric
button ^nn++++=button
between ^in++++=between
the ^ati++++=the
windows ^nns++++=windows
and ^cc++++=and
waited ^vbd+++xvbn+=waited
impatiently ^rb++++=impatiently
for ^in++++=for
the ^ati++++=the
porter ^nn++++=porter.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
was ^vbd+bedz+aux++=was
staring ^vbg+++xvbgx+=staring
hard ^jj++++=hard
at ^rb++++=at
the ^ati++++=the
yellow ^jj+atrb+++=yellow
sheet ^nn++++=sheet
before ^in++++=before
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
reread ^vb++++=reread
it ^pp3+it+++=it
slowly ^rb+cnj+++=slowly,
, ^zz++++=EXTRAWORD
carefully ^rb+cnj+++=carefully,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
there ^ex+pex+++=there
might ^md+pos+++=might
be ^vb+be+vrb++=be
no ^at++++=no
mistake ^nn++++=mistake.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
as ^ql++++=as
follows ^vbz+vprv+++=follows:
: ^zz++++=EXTRAWORD
" ^zz++++="Senator
senator ^npt++++=EXTRAWORD
Harrison ^np+++??+=Harrison
M ^zz++++=M.
. ^zz++++=EXTRAWORD
August ^nr++++=August,
, ^zz++++=EXTRAWORD
" ^zz++++="On
on ^in++++=EXTRAWORD
train ^nn++++=train
36 ^cd++++=36,
, ^zz++++=EXTRAWORD
Waverly ^np+++??+=Waverly,
, ^zz++++=EXTRAWORD
Md ^np+++??+=Md.
. ^zz++++=EXTRAWORD
" ^zz++++="Following
following ^jj+atrb++xvbg+=EXTRAWORD
telegram ^nn++++=telegram
just ^rb+emph+++=just
received ^vbd+++xvbn+=received:
: ^zz++++=EXTRAWORD
' ^zz++++='Chicago,
chicago ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
8 ^zz++++=8,
, ^zz++++=EXTRAWORD
1.45 ^cd++++=1.45
P.m ^rb++++=P.M.
. ^zz++++=EXTRAWORD
Have ^vb+hv+aux++=Have
just ^rb+emph+splt++=just
learned ^vprf+++xvbnx+=learned
reliable ^jj+atrb+++=reliable
source ^nn++++=source
Republican ^jj+atrb+++=Republican
managers ^nns+nom+++=managers
using ^vwbg+++xvbg+=using
our ^pp$+pp1+++=our
silence ^nn+nom+++=silence
regarding ^in++++=regarding
conference ^nn+nom+++=conference
to ^in++++=to
advance ^nn+nom+++=advance
W ^zz++++=W's
's ^$++++=EXTRAWORD
candidacy ^nn+nom+++=candidacy
in ^in++++=in
Middle ^jjb++++=Middle
West ^np+pl+++=West
and ^cc++++=and
have ^vb+hv+aux++=have
published ^vprf+++xvbnx+=published
report ^vb++++=report
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
agreed ^vprf+++xvbnx+=agreed
on ^in++++=on
compromise ^nn++++=compromise
candidate ^nn+nom+++=candidate.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
report ^vb++++=report
goes ^vbz++++=goes
undenied ^jj+++xvbn+=undenied
many ^ap++++=many
votes ^nns++++=votes
will ^md+prd+++=will
be ^vb+be+aux++=be
lost ^vpsv++agls+xvbnx+=lost,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
in ^in++++=in
Iowa ^np+++??+=Iowa
and ^cc++++=and
Wisconsin ^np+++??+=Wisconsin.
. ^zz++++=EXTRAWORD
Advise ^vb+vpub+++=Advise
immediate ^jj+atrb+++=immediate
publication ^nn+nom+++=publication
of ^in++++=of
our ^pp$+pp1+++=our
statement ^nn+nom+++=statement
to ^in++++=to
press ^nn++++=press.
. ^zz++++=EXTRAWORD
Answer ^nn++++=Answer
Auditorium ^nn++++=Auditorium,
, ^zz++++=EXTRAWORD
Chicago ^np++++=Chicago.
. ^zz++++=EXTRAWORD
Goodman ^np+++??+=Goodman.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Have ^vb+hv+aux++=Have
advised ^vprf+++xvbnx+=advised
Goodman ^np+++??+=Goodman
of ^in++++=of
delay ^nn++++=delay
in ^in++++=in
reaching ^xvbg+++xvbg+=reaching
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
" ^zz++++="Billings."
billings ^nns+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
understand ^vb+vprv+++=understand
what ^wdt+who+whcl++=what
that ^dt+pdem+++=that
means ^vbz+vprv+++=means?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Senator ^npt++++=Senator
August ^nr++++=August.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
could ^md+pos+++=could
only ^rb+down+++=only
nod ^nn++++=nod;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
too ^ql++++=too
astounded ^jj+++xvbn+=astounded
to ^to++++=to
speak ^vbi++++=speak.
. ^zz++++=EXTRAWORD
The ^ati++++=The
senator ^npt++++=senator
handed ^vbd+++xvbn+=handed
a ^at++++=a
message ^nn+nom+++=message
to ^in++++=to
the ^ati++++=the
porter ^nn++++=porter.
. ^zz++++=EXTRAWORD
" ^zz++++="Get
get ^vb++++=EXTRAWORD
that ^dt+dem+++=that
off ^rp+pl+++=off
as ^ql++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
we ^pp1a+pp1+++=we
reach ^vb++++=reach
Baltimore ^np+++??+=Baltimore
and ^cc++++=and
bring ^vb++++=bring
me ^pp1o+pp1+++=me
a ^at++++=a
receipt ^nn++++=receipt
for ^in++++=for
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
again ^rb+tm+++=again
to ^in++++=to
Tom ^np++++=Tom
and ^cc++++=and
thrust ^nn+++xvbn+=thrust
the ^ati++++=the
pad ^nn++++=pad
of ^in++++=of
Western ^jj+atrb+++=Western
Union ^nn++++=Union
message ^nn+nom+++=message
blanks ^nns+++??+=blanks
toward ^in++++=toward
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
reach ^vb++++=reach
Blankville ^np+++??+=Blankville
Junction ^nn+nom+++=Junction
in ^in++++=in
eight ^cd++++=eight
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
Write ^vb++++=Write
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
dictate ^nn+nom+++=dictate
to ^in++++=to
you ^pp2+pp2+++=you
as ^ql++++=as
fast ^rb++++=fast
as ^ql++++=as
you ^pp2+pp2+++=you
can ^md+pos+++=can.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
shorthand ^nn++++=shorthand?
? ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
better ^nn++++=better."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
senator ^nn++++=senator
leaned ^vbd+++xvbn+=leaned
back ^jjb++++=back
and ^cc+phrs+++=and
closed ^jj+++xvbn+=closed
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
to ^to++++=to
speak ^vbi++++=speak,
, ^zz++++=EXTRAWORD
rapidly ^rb++++=rapidly
but ^cc+phrs+++=but
distinctly ^rb+cnj+++=distinctly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Tom ^np++++=Tom's
's ^$++++=EXTRAWORD
pencil ^nn++++=pencil
flew ^vbd+++xvbn+=flew
over ^in++++=over
the ^ati++++=the
pages ^nns++++=pages,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
train ^nn++++=train
sped ^vbd+++xvbn+=sped
on ^in++++=on
toward ^in++++=toward
the ^ati++++=the
junction ^nn+nom+++=junction.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hands ^nns++++=hands
of ^in++++=of
the ^ati++++=the
office ^nn++++=office
clock ^nn++++=clock
pointed ^vbd+++xvbn+=pointed
to ^to++++=to
twenty ^cd++++=twenty
minutes ^nns++++=minutes
after ^cs+sub+++=after
five ^cd++++=five
when ^wrb+who+++=when
Tom ^np++++=Tom
reached ^vbd+++xvbn+=reached
the ^ati++++=the
World ^nn++++=World
building ^vwbg+++xvbg+=building.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
hesitancy ^nn++++=hesitancy
now ^rn+tm+++=now;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
pushed ^vbd+++xvbnx+=pushed
open ^jj++++=open
the ^ati++++=the
little ^ap++++=little
gate ^nn++++=gate
and ^cc++++=and
hurried ^vpsv++agls+xvbn+=hurried
toward ^in++++=toward
the ^ati++++=the
city ^nn++++=city
editor ^nn++++=editor,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
already ^rb++splt++=already
placed ^vprf+++xvbnx+=placed
his ^pp$+pp3+++=his
hat ^nn++++=hat
on ^in++++=on
his ^pp$+pp3+++=his
head ^nn++++=head
and ^cc++++=and
was ^vbd+bedz+vrb++=was
bundling ^nn+nom+++=bundling
up ^rp++++=up
some ^dti++++=some
papers ^nns++++=papers
to ^to++++=to
carry ^vbi++++=carry
home ^nr++++=home.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
met ^vbd+++xvbnx+=met
Tom ^np++++=Tom's
's ^$++++=EXTRAWORD
advance ^nn+nom+++=advance
with ^in++++=with
a ^at++++=a
frown ^nn++++=frown.
. ^zz++++=EXTRAWORD
" ^zz++++="Well?"
well ^rb++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked
coldly ^rb++++=coldly.
. ^zz++++=EXTRAWORD
For ^in++++=For
answer ^nn++++=answer
Tom ^np++++=Tom
placed ^vwbn+++xvbn+=placed
a ^rb++++=a
little ^rb"++++=little
package ^nn+nom+++=package
of ^in++++=of
copy ^nn++++=copy
before ^in++++=before
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="What's
what ^wdt+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
this ^dt+pdem+++=this?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
demanded ^vbd+vsua++xvbnx+=demanded.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
necessity ^nn+nom+++=necessity
for ^in++++=for
reply ^nn++++=reply
for ^in++++=for
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
already ^rb++splt++=already
reading ^vbg+++xvbgx+=reading
the ^ati++++=the
sheets ^nns++++=sheets.
. ^zz++++=EXTRAWORD
Halfway ^rb++++=Halfway
through ^in++++=through
he ^pp3a+pp3+++=he
paused ^vbd+++xvbnx+=paused
and ^cc+phrs+++=and
lifted ^vbd+++xvbn+=lifted
a ^at++++=a
tube ^nn++++=tube
to ^in++++=to
his ^pp$+pp3+++=his
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
" ^zz++++="Brown?
brown ^jj++++=EXTRAWORD
? ^zz++++=EXTRAWORD
Say ^vb+vpub+++=Say,
, ^zz++++=EXTRAWORD
Joe ^np++++=Joe,
, ^zz++++=EXTRAWORD
get ^vb++++=get
a ^at++++=a
plate ^nn++++=plate
ready ^jj++++=ready
for ^in++++=for
an ^at++++=an
extra ^nn++++=extra
in ^in++++=in
a ^at++++=a
hurry ^nn++++=hurry;
; ^zz++++=EXTRAWORD
about ^in++++=about
half ^abn++++=half
a ^at++++=a
column ^nn++++=column
of ^in++++=of
stuff ^nn++++=stuff
going ^vwbg+++xvbg+=going
right ^nn++++=right
up ^rp++++=up."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
again ^rb+tm+++=again
to ^in++++=to
his ^pp$+pp3+++=his
reading ^nvbg+++xvbg+=reading.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
end ^nn++++=end
he ^pp3a+pp3+++=he
gathered ^vbd+++xvbnx+=gathered
the ^ati++++=the
copy ^nn++++=copy
together ^nn+nom+++=together
and ^cc++++=and
placed ^vbd+++xvbn+=placed
it ^pp3+it+++=it
on ^in++++=on
his ^pp$+pp3+++=his
desk ^nn++++=desk.
. ^zz++++=EXTRAWORD
" ^zz++++="Where'd
where ^wrb+who+whq++=EXTRAWORD
'd ^md+prd+vrb++0=EXTRAWORD
you ^pp2+pp2+++=you
get ^vb++++=get
this ^dt+pdem+++=this?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="On
on ^in++++=EXTRAWORD
the ^ati++++=the
New ^jj+atrb+++=New
York ^np++++=York
express ^jjb++++=express."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
station ^nn+nom+++=station?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
left ^vbd+++xvbnx+=left
the ^ati++++=the
train ^nn++++=train
at ^rb++++=at
Blankville ^np+++??+=Blankville
Junction ^nn+nom+++=Junction."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
city ^nn++++=city
editor ^nn++++=editor
dated ^jj++++=dated
the ^ati++++=the
copy ^nn++++=copy
with ^in++++=with
a ^at++++=a
big ^jj+atrb+++=big
