John ^np++++=John
town ^nn++++=town
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
John ^np++++=John.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hope ^nn++++=hope
business ^nns+nom+++=business
will ^md+prd+++=will
be ^vb+be+vrb++=be
as ^ql++++=as
good ^jj++++=good
as ^ql++++=as
your ^pp$+pp2+++=your
letter ^nn++++=letter
justifies ^vbz++++=justifies
me ^pp1o+pp1+++=me
in ^in++++=in
expecting ^nn++++=expecting."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Johnny ^np++++=Johnny's
's ^$++++=EXTRAWORD
agony ^nn++++=agony
was ^vbd+bedz+vrb++=was
abbreviated ^jj+pred+++=abbreviated
by ^in++++=by
the ^ati++++=the
arrival ^nn++++=arrival
of ^in++++=of
Keogh ^np+++??+=Keogh,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
hurried ^vbd+++xvbn+=hurried
up ^rb+phrv+++=up
with ^in+ppvb+++=with
the ^ati++++=the
news ^nn++++=news
that ^tht+ncmp+++=that
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Goodwin ^np++++=Goodwin
would ^md+prd+++=would
be ^vb+be+vrb++=be
much ^ap++++=much
pleased ^jj+++xvbn+=pleased
to ^to+jcmp+++=to
place ^vbi++++=place
rooms ^nns++++=rooms
at ^in++++=at
the ^ati++++=the
disposal ^nn+nom+++=disposal
of ^in++++=of
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Hemstetter ^np+nom+++=Hemstetter
and ^cc++++=and
his ^pp$+pp3+++=his
daughter ^nn+nom+++=daughter.
. ^zz++++=EXTRAWORD
So ^ql++++=So
there ^rn+pl+++=there
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Hemstetter ^np+nom+++=Hemstetter
and ^cc++++=and
Rosine ^np+++??+=Rosine
were ^vbd+bed+aux++=were
at ^rb++splt++=at
once ^rb"+tm+++=once
conducted ^vbd+++xvbn+=conducted
and ^cc+phrs+++=and
left ^vbd+++xvbn+=left
to ^to++++=to
recuperate ^nn+nom+++=recuperate
from ^in++++=from
the ^ati++++=the
fatigue ^nn++++=fatigue
of ^in++++=of
the ^ati++++=the
voyage ^nn++++=voyage,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Johnny ^np++++=Johnny
went ^vbd+++xvbn+=went
down ^rp++++=down
to ^to++++=to
see ^vbi+vprv+++=see
that ^tht+vcmp+++=that
the ^ati++++=the
cases ^nns++++=cases
of ^in++++=of
shoes ^nns++++=shoes
were ^vbd+bed+aux++=were
safely ^rb++splt++=safely
stored ^vpsv++agls+xvbnx+=stored
in ^in++++=in
the ^ati++++=the
customs ^nns++++=customs
warehouse ^nn++++=warehouse
pending ^jj++++=pending
their ^pp$+pp3+++=their
examination ^nn+nom+++=examination
by ^in++++=by
the ^ati++++=the
officials ^nns+nom+++=officials.
. ^zz++++=EXTRAWORD
Keogh ^np+++??+=Keogh,
, ^zz++++=EXTRAWORD
grinning ^vbg+++xvbg+=grinning
like ^in++++=like
a ^at++++=a
shark ^nn+++??+=shark,
, ^zz++++=EXTRAWORD
skirmished ^j+++xvbn+=skirmished
about ^md"++pmd"++=about
to ^md+prd+++=to
find ^vb+vprv+++=find
Goodwin ^np++++=Goodwin,
, ^zz++++=EXTRAWORD
to ^to++++=to
instruct ^vbi++++=instruct
him ^pp3o+pp3+++=him
not ^xnot++not++=not
to ^to++++=to
expose ^vbi++++=expose
to ^in++++=to
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Hemstetter ^np+nom+++=Hemstetter
the ^ati++++=the
true ^jj+atrb+++=true
state ^nn++++=state
of ^in++++=of
Coralio ^np+++??+=Coralio
as ^in++++=as
a ^at++++=a
shoe ^nn++++=shoe
market ^nn++++=market
until ^cs+sub+++=until
Johnny ^np++++=Johnny
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
given ^vpsv++agls+xvbnx+=given
a ^at++++=a
chance ^nn++++=chance
to ^to+ncmp+++=to
redeem ^vbi++++=redeem
the ^ati++++=the
situation ^nn+nom+++=situation,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
such ^abl++++=such
a ^at++++=a
thing ^nn++++=thing
were ^vbd+bed+vrb++=were
possible ^jj+pred+++=possible.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
night ^nn++++=night
the ^ati++++=the
consul ^np++++=consul
and ^cc++++=and
Keogh ^np+++??+=Keogh
held ^vbd+vprv++xvbn+=held
a ^at++++=a
desperate ^jj+atrb+++=desperate
consultation ^nn+nom+++=consultation
on ^in++++=on
the ^ati++++=the
breezy ^jj+atrb+++=breezy
porch ^nn++++=porch
of ^in++++=of
the ^ati++++=the
consulate ^nn+nom+++=consulate.
. ^zz++++=EXTRAWORD
Send ^vb++++=Send
em ^nn+++??+=em
back ^jjb+atrb+++=back
home ^nr++++=home,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
began ^vbd+++xvbn+=began
Keogh ^np+++??+=Keogh,
, ^zz++++=EXTRAWORD
reading ^vbg+++xvbg+=reading
Johnny ^np++++=Johnny's
's ^$++++=EXTRAWORD
thoughts ^nns++++=thoughts.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
would ^md+prd+++=would,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Johnny ^np++++=Johnny,
, ^zz++++=EXTRAWORD
after ^in++++=after
a ^rb++++=a
little ^rb"++++=little
silence ^nn+nom+++=silence;
; ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
lying ^vbg+++xvbgx+=lying
to ^in++++=to
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Billy ^np++++=Billy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
right ^jj++++=right
about ^in++++=about
that ^dt+pdem+++=that,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Keogh ^np+++??+=Keogh,
, ^zz++++=EXTRAWORD
affably ^rb++++=affably.
. ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
told ^vprf++tht0+xvbnx+=told
you ^pp2+pp2+++=you
hundreds ^cds++++=hundreds
of ^in++++=of
times ^nns++++=times,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Johnny ^np++++=Johnny,
, ^zz++++=EXTRAWORD
slowly ^rb+cnj+++=slowly,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
forgotten ^vprf+++xvbnx+=forgotten
that ^tht+vcmp+++=that
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=haven't
n't ^xnot++not++0=EXTRAWORD
I ^pp1a+pp1+++=I?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="About
about ^in++++=EXTRAWORD
three ^cd++++=three
hundred ^cd++++=hundred
and ^cc++++=and
seventy ^cd++++=seventy-five,"
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
admitted ^vbd+vpub++xvbn+=admitted
the ^ati++++=the
monument ^nn+nom+++=monument
of ^in++++=of
patience ^nn+nom+++=patience.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
lied ^vbd+++xvbnx+=lied,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
repeated ^vprf+++xvbn+=repeated
the ^ati++++=the
consul ^np++++=consul,
, ^zz++++=EXTRAWORD
" ^zz++++="every
every ^at++++=EXTRAWORD
time ^nn++++=time.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
forgot ^vbd+vprv+tht0+xvbn+=forgot
her ^pp$+pp3+++=her
for ^in++++=for
one ^cd1++++=one
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
an ^at++++=an
obstinate ^jj+atrb+++=obstinate
ass ^nn++++=ass
for ^in++++=for
running ^xvbg+++xvbg+=running
away ^rp+pl+++=away
just ^rb+emph+++=just
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
' ^zz++++='No'
no ^at++++=EXTRAWORD
' ^zz++++=EXTRAWORD
once ^rb+tm+++=once.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
too ^ql++++=too
proud ^jj++++=proud
a ^at++++=a
fool ^jjb++++=fool
to ^to++++=to
go ^vbi++++=go
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
talked ^vbd+++xvbnx+=talked
with ^in++++=with
Rosine ^np+++??+=Rosine
a ^ap++++=a
few ^ap"++++=few
minutes ^nns++++=minutes
this ^dt+dem+++=this
evening ^nn++++=evening
up ^rp++++=up
at ^in++++=at
Goodwin ^np++++=Goodwin's.
's. ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
out ^rp+pl+++=out
one ^cd1++++=one
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
remember ^nn+nom+++=remember
that ^tht+vcmp+++=that
farmer ^nn++++=farmer
fellow ^jjb++++=fellow
who ^whp+who+++=who
was ^vbd+bedz+vrb++=was
always ^rb++++=always
after ^in++++=after
her ^pp$+pp3+++=her?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Dink
dink ^nn+++??+=EXTRAWORD
Pawson ^np+++??+=Pawson?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Keogh ^np+++??+=Keogh.
. ^zz++++=EXTRAWORD
" ^zz++++="Pink
pink ^jj+atrb+++=EXTRAWORD
Dawson ^np++++=Dawson.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
hill ^nn++++=hill
of ^in++++=of
beans ^nns++++=beans
to ^in++++=to
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
believe ^vb+vprv+++=believe
a ^at++++=a
word ^nn++++=word
of ^in++++=of
the ^ati++++=the
things ^nns++++=things
be ^vb+be+aux++=be
told ^vpsv++agls+xvbnx+=told
her ^pp$+pp3+++=her
about ^rb++++=about
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
sewed ^vpsv++agls+xvbnx+=sewed
up ^rp++++=up
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
Billy ^np++++=Billy.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
tomfool ^nn+++??+=tomfool
letter ^nn++++=letter
we ^pp1a+pp1+++=we
sent ^vbd+++xvbn+=sent
ruined ^vwbn+++xvbn+=ruined
whatever ^nn+nom+++=whatever
chance ^nn++++=chance
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She'll
'll ^md+prd+++0=EXTRAWORD
despise ^vb++++=despise
me ^pp1o+pp1+++=me
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
finds ^vbz+vprv+++=finds
out ^rp+pl+++=out
that ^cs+sub+++=that
her ^pp3o+pp3+++=her
old ^jj+atrb+++=old
father ^nn++++=father
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
made ^vpsv++agls+xvbnx+=made
the ^ati++++=the
victim ^nn++++=victim
of ^in++++=of
a ^at++++=a
joke ^nn++++=joke
that ^tht+rel+obj++=that
a ^at++++=a
decent ^jj+atrb+++=decent
schoolboy ^nn++++=schoolboy
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
guilty ^jj++++=guilty
of ^in+strn+++=of.
. ^zz++++=EXTRAWORD
Shoes ^nns++++=Shoes!
! ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why
he ^pp3a+pp3+++=he
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
sell ^vb++++=sell
twenty ^cd++++=twenty
pairs ^nns++++=pairs
of ^in++++=of
shoes ^nns++++=shoes
in ^in++++=in
Coralio ^np+++??+=Coralio
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
kept ^vbd+++xvbnx+=kept
store ^nn++++=store
here ^rn+pl+++=here
for ^in++++=for
twenty ^cd++++=twenty
years ^nns++++=years.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
put ^vbd+++xvbn+=put
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
shoes ^nns++++=shoes
on ^in++++=on
one ^pn++++=one
of ^in++++=of
these ^dt+dem+++=these
Caribs ^np+++??+=Caribs
or ^cc++++=or
Spanish ^jj+atrb+++=Spanish
brown ^jj+atrb+++=brown
boys ^nns++++=boys
and ^cc+cls+++=and
what ^wdt+who+++0=what'd
'd ^md+prd+aux++=EXTRAWORD
he ^pp3a+pp3+++=he
do ^vb+do+aux++=do?
? ^zz++++=EXTRAWORD
Stand ^vb++++=Stand
on ^in++++=on
his ^pp$+pp3+++=his
head ^nn++++=head
and ^cc++++=and
squeal ^jj++++=squeal
until ^cs+sub+++=until
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
kicked ^vprf+++xvbnx+=kicked
them ^pp3o+pp3+++0='em
off ^rp+pl+++=off.
. ^zz++++=EXTRAWORD
None ^pn++++=None
of ^in++++=of
them ^pp3o+pp3+++0='em
ever ^rb++++=ever
wore ^vbd+++xvbn+=wore
shoes ^nns++++=shoes
and ^cc++++=and
they ^pp3a+pp3+++=they
never ^rb++++=never
will ^md+prd+++=will.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
send ^vb++++=send
them ^pp3o+pp3+++0='em
back ^jjb+atrb+++=back
home ^nr++++=home
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
have ^md"++pmd"++=have
to ^md+nec+++=to
tell ^vb++++=tell
the ^ati++++=the
whole ^jj+atrb+++=whole
story ^nn++++=story,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+whq++=what'll
'll ^md+prd+++0=EXTRAWORD
she ^pp3a+pp3+++=she
think ^vb+vprv+++=think
of ^in++++=of
me ^pp1o+pp1+++=me?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
that ^dt+dem+++=that
girl ^nn++++=girl
worse ^jjr++++=worse
than ^in++++=than
ever ^rb+cnj+++=ever,
, ^zz++++=EXTRAWORD
Billy ^np++++=Billy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
when ^wrb+who+++=when
she ^pp3a+pp3+++=she's
's ^vbz+bez+vrb++0=EXTRAWORD
in ^in++++=in
reach ^nn++++=reach
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
lost ^vprf+++xvbnx+=lost
her ^pp3o+pp3+++=her
forever ^rb++++=forever
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
be ^vbi++vrb++=be
funny ^jj+pred+++=funny
when ^wrb+who+++=when
the ^ati++++=the
thermometer ^nn+nom+++=thermometer
was ^vbd+bedz+vrb++=was
at ^rb++++=at
102 ^cd++++=102."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Keep
keep ^vb++++=EXTRAWORD
cheerful ^jj++++=cheerful,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
optimistic ^jj+atrb+++=optimistic
Keogh ^np+++??+=Keogh.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
let ^vb+++xvbn+=let
them ^pp3o+pp3+++0='em
open ^vb++++=open
the ^ati++++=the
store ^nn++++=store.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
busy ^jj++++=busy
myself ^ppl+pp1+++=myself
this ^dt+dem+++=this
afternoon ^nn++++=afternoon.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
can ^md+pos+++=can
stir ^vb++++=stir
up ^rp++++=up
a ^at++++=a
temporary ^jj+atrb+++=temporary
boom ^nn++++=boom
in ^in++++=in
foot ^nn++++=foot-gear
- ^zz++++=EXTRAWORD
gear ^nn++++=EXTRAWORD
anyhow ^rb++++=anyhow.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
buy ^vb++++=buy
six ^cd++++=six
pairs ^nns++++=pairs
when ^wrb+who+++=when
the ^ati++++=the
doors ^nns++++=doors
open ^jj++++=open.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
around ^rp++++=around
and ^cc++++=and
seen ^vprf+++xvbn+=seen
all ^abn++++=all
the ^ati++++=the
fellows ^nns++++=fellows
and ^cc++++=and
explained ^vbd+vpub++xvbn+=explained
the ^ati++++=the
catastrophe ^nn++++=catastrophe.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They'll
'll ^md+prd+++0=EXTRAWORD
all ^rb++splt++=all
buy ^vb++++=buy
shoes ^nns++++=shoes
like ^in++++=like
they ^pp3a+pp3+++=they
was ^vbd+bedz+vrb++=was
centipedes ^nns+++??+=centipedes.
. ^zz++++=EXTRAWORD
Frank ^np++++=Frank
Goodwin ^np++++=Goodwin
will ^md+prd+++=will
take ^vb++++=take
cases ^nns++++=cases
of ^in++++=of
' ^zz++++='em.
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
Geddies ^np+++??+=Geddies
want ^vb++++=want
about ^in++++=about
eleven ^cd++++=eleven
pairs ^nns++++=pairs
between ^in++++=between
' ^zz++++='em.
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
Clancy ^np+++??+=Clancy
is ^vbz+bez+aux++=is
going ^md"++pmd"++=going
to ^md+prd+++=to
invest ^vb++++=invest
the ^ati++++=the
savings ^nns++++=savings
of ^in++++=of
weeks ^nns++++=weeks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
old ^jj+atrb+++=old
Doc ^np++++=Doc
Gregg ^np+++??+=Gregg
wants ^vbz++++=wants
three ^cd++++=three
pairs ^nns++++=pairs
of ^in++++=of
alligator ^nn++++=alligator-hide
- ^zz++++=EXTRAWORD
hide ^vb++++=EXTRAWORD
slippers ^nns+nom+++=slippers
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
any ^dti++++=any
tens ^cds++++=tens.
. ^zz++++=EXTRAWORD
Blanchard ^np++++=Blanchard
got ^vbd+++xvbn+=got
a ^at++++=a
look ^vb++++=look
at ^rb++++=at
Miss ^npt++++=Miss
Hemstetter ^np+nom+++=Hemstetter;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
Frenchman ^nn+nom+++=Frenchman,
, ^zz++++=EXTRAWORD
no ^at++++=no
less ^rbr++++=less
than ^in++++=than
a ^at++++=a
dozen ^cd++++=dozen
pairs ^nns++++=pairs
will ^md+prd+++=will
do ^vb+do+vrb++=do
for ^in++++=for
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
dozen ^cd++++=dozen
customers ^nns+nom+++=customers,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Johnny ^np++++=Johnny,
, ^zz++++=EXTRAWORD
" ^zz++++="for
for ^in++++=EXTRAWORD
a ^at++++=a
$ ^zz++++=$4,000
4,000 ^cd++++=EXTRAWORD
stock ^nn++++=stock
of ^in++++=of
shoes ^nns++++=shoes!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
work ^nn++++=work.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
big ^jj+atrb+++=big
problem ^nn++++=problem
here ^rn+pl+++=here
to ^in++++=to
figure ^nn++++=figure
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
go ^vb++++=go
home ^nr++++=home,
, ^zz++++=EXTRAWORD
Billy ^np++++=Billy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
leave ^nn++++=leave
me ^pp1o+pp1+++=me
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
to ^to+vcmp+++=to
work ^vb++++=work
at ^in++++=at
it ^pp3+it+++=it
all ^rb++++=all
by ^in++++=by
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
Take ^vb++++=Take
that ^dt+dem+++=that
bottle ^nn++++=bottle
of ^in++++=of
Three ^cd++++=Three-star
- ^zz++++=EXTRAWORD
star ^nn++++=EXTRAWORD
along ^in++++=along
with ^in"++++=with
you ^pp2+pp2+++=you--no,
-- ^--+clp+++=EXTRAWORD
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir;
; ^zz++++=EXTRAWORD
not ^xnot++not++=not
another ^dt++++=another
ounce ^nn++++=ounce
of ^in++++=of
booze ^nn++++=booze
for ^in++++=for
the ^ati++++=the
United ^np++++=United
States ^nns++++=States
consul ^np++++=consul.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
sit ^vb++++=sit
here ^rn+pl+++=here
tonight ^nr+tm+++=tonight
and ^cc++++=and
pull ^vb++++=pull
out ^rp+pl+++=out
the ^ati++++=the
think ^vb+vprv+++=think
stop ^nn++++=stop.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
soft ^jj+atrb+++=soft
place ^nn++++=place
on ^in++++=on
this ^dt+dem+++=this
proposition ^nn+nom+++=proposition
anywhere ^rb++++=anywhere
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
land ^vb++++=land
on ^in++++=on
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
there ^ex+pex+++=there
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
there ^ex+pex+++=there'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
another ^dt++++=another
wreck ^nn++++=wreck
to ^in++++=to
the ^ati++++=the
credit ^nn++++=credit
of ^in++++=of
the ^ati++++=the
gorgeous ^jj+atrb+++=gorgeous
tropics ^nns++++=tropics."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Keogh ^np+++??+=Keogh
left ^vbd+++xvbn+=left,
, ^zz++++=EXTRAWORD
feeling ^nvbg+++xvbg+=feeling
that ^tht+ncmp+++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=could
be ^vb+be+vrb++=be
of ^in++++=of
no ^at++++=no
use ^nn++++=use.
. ^zz++++=EXTRAWORD
Johnny ^np++++=Johnny
laid ^vbd+++xvbn+=laid
a ^at++++=a
handful ^nn+nom+++=handful
of ^in++++=of
cigars ^nns++++=cigars
on ^in++++=on
a ^at++++=a
table ^nn++++=table
and ^cc++++=and
stretched ^vbd+++xvbn+=stretched
himself ^ppl+pp3+++=himself
in ^in++++=in
a ^at++++=a
steamer ^nn++++=steamer
chair ^nn++++=chair.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
sudden ^jj+atrb+++=sudden
daylight ^nn++++=daylight
broke ^vbd+++xvbn+=broke,
, ^zz++++=EXTRAWORD
silvering ^jj+++xvbg+=silvering
the ^ati++++=the
harbor ^nn++++=harbor
ripples ^nns++++=ripples,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
still ^rb++splt++=still
sitting ^vbg+++xvbgx+=sitting
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
up ^rp++++=up,
, ^zz++++=EXTRAWORD
whistling ^jj++++=whistling
a ^rb++++=a
little ^rb"++++=little
tune ^nn++++=tune,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
took ^vbd+++xvbn+=took
his ^pp$+pp3+++=his
bath ^nn++++=bath.
. ^zz++++=EXTRAWORD
At ^rb++++=At
nine ^cd++++=nine
o'clock ^rb++++=o'clock
he ^pp3a+pp3+++=he
walked ^vbd+++xvbnx+=walked
down ^rp++++=down
to ^in++++=to
the ^ati++++=the
dingy ^jj+atrb+++=dingy
little ^jj+atrb+++=little
cable ^nn++++=cable
office ^nn++++=office
and ^cc++++=and
hung ^vpsv++agls+xvbn+=hung
for ^in++++=for
half ^nn++++=half
an ^at++++=an
hour ^nn++++=hour
over ^in++++=over
a ^at++++=a
blank ^nn++++=blank.
. ^zz++++=EXTRAWORD
The ^ati++++=The
result ^nn++++=result
of ^in++++=of
his ^pp$+pp3+++=his
application ^nn+nom+++=application
was ^vbd+bedz+vrb++=was
the ^ati++++=the
following ^jj+atrb++xvbg+=following
message ^nn+nom+++=message,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
signed ^vbd+++xvbnx+=signed
and ^cc++++=and
had ^vbd+hvd+aux++=had
transmitted ^vprf+++xvbnx+=transmitted
at ^rb++++=at
a ^at++++=a
cost ^nn++++=cost
of ^in++++=of
$ ^zz++++=$33:
33 ^cd++++=EXTRAWORD
: ^zz++++=EXTRAWORD
To ^in++++=TO
Pinkney ^np+++??+=PINKNEY
Dawson ^np++++=DAWSON,
, ^zz++++=EXTRAWORD
Dalesburg ^np+++??+=Dalesburg,
, ^zz++++=EXTRAWORD
Ala ^np+++??+=Ala.
. ^zz++++=EXTRAWORD
Draft ^nn++++=Draft
for ^in++++=for
$ ^zz++++=$100
100 ^cd++++=EXTRAWORD
comes ^vbz++++=comes
to ^in++++=to
