( ^zz++++=(After
own ^ap++++=own
temples ^nns++++=temples
Him ^pp3o+pp3+++=Him,
, ^zz++++=EXTRAWORD
whom ^whp+rel+obj++=whom
the ^ati++++=the
world ^nn++++=world
cannot ^md+pos+not++=cannot
contain ^vb++++=contain.
. ^zz++++=EXTRAWORD
" ^zz++++="Can
can ^md+pos+++=EXTRAWORD
any ^dti++++=any
temple ^nn++++=temple
compare ^vb++++=compare
with ^in++++=with
that ^dt+pdem+++=that
which ^whp+rel+obj++=which
God ^np++++=God
Himself ^ppl+pp3+++=Himself
has ^vbz+hvz+aux++=has
built ^vprf+++xvbnx+=built
to ^to++++=to
unite ^vbi++++=unite
all ^abn++++=all
men ^nns++++=men
in ^in++++=in
one ^cd1++++=one
faith ^nn++++=faith
and ^cc++++=and
one ^cd1++++=one
religion ^nn++++=religion?
? ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
human ^jj+atrb+++=human
temples ^nns++++=temples
are ^vb+ber+aux++=are
built ^vpsv++agls+xvbnx+=built
on ^in++++=on
the ^ati++++=the
model ^nn++++=model
of ^in++++=of
this ^dt+dem+++=this
temple ^nn++++=temple,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
God ^np++++=God's
's ^$++++=EXTRAWORD
own ^ap++++=own
world ^nn++++=world.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
temple ^nn++++=temple
has ^vbz+hvz+vrb++=has
its ^pp$+it+++=its
fonts ^nns+++??+=fonts,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
vaulted ^vbd+++xvbn+=vaulted
roof ^nn++++=roof,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
lamps ^nns++++=lamps,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
pictures ^nns++++=pictures
or ^cc++++=or
sculptures ^nns++++=sculptures,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
inscriptions ^nns+nom+++=inscriptions,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
books ^nns++++=books
of ^in++++=of
the ^ati++++=the
law ^nn++++=law,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
offerings ^nns++++=offerings,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
altars ^nns++++=altars
and ^cc++++=and
its ^pp$+it+++=its
priests ^nns++++=priests.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
in ^in++++=in
what ^wdt+who+++=what
temple ^nn++++=temple
is ^vbz+bez+vrb++=is
there ^rn+pl+++=there
such ^abl++++=such
a ^at++++=a
font ^jj+++xvbn+=font
as ^ql++++=as
the ^ati++++=the
ocean ^nn++++=ocean;
; ^zz++++=EXTRAWORD
such ^abl++++=such
a ^at++++=a
vault ^nn++++=vault
as ^ql++++=as
that ^cs+sub+++=that
of ^in++++=of
the ^ati++++=the
heavens ^nns++++=heavens;
; ^zz++++=EXTRAWORD
such ^abl++++=such
lamps ^nns++++=lamps
as ^in++++=as
the ^ati++++=the
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
moon ^np++++=moon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stars ^nns++++=stars;
; ^zz++++=EXTRAWORD
or ^cc+cls+++=or
any ^dti++++=any
figures ^nns++++=figures
to ^to++++=to
be ^vbi+vbi+aux++=be
compared ^vpsv++agls+xvbnx+=compared
with ^in++++=with
living ^xvbg+++xvbg+=living,
, ^zz++++=EXTRAWORD
loving ^jj+++xvbg+=loving,
, ^zz++++=EXTRAWORD
mutually ^rb++++=mutually-helpful
- ^zz++++=EXTRAWORD
helpful ^jj+atrb+++=EXTRAWORD
men ^nns++++=men?
? ^zz++++=EXTRAWORD
Where ^wrb+who+whq++=Where
are ^vb+ber+aux++=are
there ^rn+pl+++=there
any ^dti++++=any
records ^nns++++=records
of ^in++++=of
God ^np++++=God's
's ^$++++=EXTRAWORD
goodness ^nns+nom+++=goodness
so ^rb+emph+++=so
easy ^jj++++=easy
to ^to+jcmp+++=to
understand ^vbi+vprv+++=understand
as ^in++++=as
the ^ati++++=the
blessings ^nns++++=blessings
which ^whp+rel+obj++=which
God ^np++++=God
has ^vbz+hvz+aux++=has
strewn ^vprf+++xvbnx+=strewn
abroad ^rb+pl+++=abroad
for ^in++++=for
man ^nn++++=man's
's ^$++++=EXTRAWORD
happiness ^nns+nom+++=happiness?
? ^zz++++=EXTRAWORD
Where ^wrb+who+whq++=Where
is ^vbz+bez+aux++=is
there ^rn+pl+++=there
any ^dti++++=any
book ^nn++++=book
of ^in++++=of
the ^ati++++=the
law ^nn++++=law
so ^ql++++=so
clear ^vb++++=clear
to ^in++++=to
each ^dt++++=each
man ^nn++++=man
as ^ql++++=as
that ^cs+sub+++=that
written ^vprf+++xvbn+=written
in ^in++++=in
his ^pp$+pp3+++=his
heart ^nn++++=heart?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What
sacrifices ^nns++++=sacrifices
equal ^jj++++=equal
the ^ati++++=the
self ^nn++++=self-denials
- ^zz++++=EXTRAWORD
denials ^nns+nom+++=EXTRAWORD
which ^whp+rel+obj++=which
loving ^jj+atrb++xvbg+=loving
men ^nns++++=men
and ^cc++++=and
women ^nns++++=women
make ^vb++++=make
for ^in+ppvb+++=for
one ^cd1++++=one
another ^dt++++=another?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
what ^wdt+who+++=what
altar ^nn++++=altar
can ^md+pos+++=can
be ^vb+be+aux++=be
compared ^vpsv++agls+xvbnx+=compared
with ^in++++=with
the ^ati++++=the
heart ^nn++++=heart
of ^in++++=of
a ^at++++=a
good ^jj+atrb+++=good
man ^nn++++=man,
, ^zz++++=EXTRAWORD
on ^in++++=on
which ^whp+rel+pied++=which
God ^np++++=God
Himself ^ppl+pp3+++=Himself
accepts ^vbz++++=accepts
the ^ati++++=the
sacrifice ^nn++++=sacrifice?
? ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
higher ^jjr++++=higher
a ^at++++=a
man ^nn++++=man's
's ^$++++=EXTRAWORD
conception ^nn+nom+++=conception
of ^in++++=of
God ^np++++=God,
, ^zz++++=EXTRAWORD
the ^ati++++=the
better ^nn++++=better
will ^md+prd+++=will
he ^pp3a+pp3+++=he
know ^vb+vprv+++=know
Him ^pp3o+pp3+++=Him.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
better ^jjr++++=better
he ^pp3a+pp3+++=he
knows ^vbz+vprv+++=knows
God ^np++++=God,
, ^zz++++=EXTRAWORD
the ^ati++++=the
nearer ^rbr++++=nearer
will ^md+prd+++=will
he ^pp3a+pp3+++=he
draw ^vb++++=draw
to ^in++++=to
Him ^pp3o+pp3+++=Him,
, ^zz++++=EXTRAWORD
imitating ^vbg+++xvbg+=imitating
His ^pp$+pp3+++=His
goodness ^nns+nom+++=goodness,
, ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
mercy ^nn++++=mercy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
His ^pp$+pp3+++=His
love ^nn++++=love
of ^in++++=of
man ^nn++++=man.
. ^zz++++=EXTRAWORD
" ^zz++++="Therefore,
therefore ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
him ^pp3o+pp3+++=him
who ^whp+who+++=who
sees ^vbz+vprv+tht0++=sees
the ^ati++++=the
sun ^nn++++=sun's
's ^vbz+bez+vrb++0=EXTRAWORD
whole ^jj++++=whole
light ^jj++++=light
filling ^jj+++xvbg+=filling
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
refrain ^nn++++=refrain
from ^in++++=from
blaming ^xvbg+++xvbg+=blaming
or ^cc++++=or
despising ^xvbg+++xvbg+=despising
the ^ati++++=the
superstitious ^jj+atrb+++=superstitious
man ^nn++++=man,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
in ^in++++=in
his ^pp$+pp3+++=his
own ^ap++++=own
idol ^nn++++=idol
sees ^vbz+vprv+++=sees
one ^cd1++++=one
ray ^nn++++=ray
of ^in++++=of
that ^dt+dem+++=that
same ^ap++++=same
light ^nn++++=light.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
him ^pp3o+pp3+++=him
not ^xnot++not++=not
despise ^vb++++=despise
even ^rb++++=even
the ^ati++++=the
unbeliever ^nn+nom+++=unbeliever
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
blind ^jj+pred+++=blind
and ^cc++++=and
cannot ^md+pos+not++=cannot
see ^vb+vprv+++=see
the ^ati++++=the
sun ^nn++++=sun
at ^rb++++=at
all ^abn++++=all."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^ql++++=So
spoke ^vbd+++xvbn+=spoke
the ^ati++++=the
Chinaman ^nn+nom+++=Chinaman,
, ^zz++++=EXTRAWORD
the ^ati++++=the
student ^nn++++=student
of ^in++++=of
Confucius ^np+++??+=Confucius;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^abn++++=all
who ^whp+who+++=who
were ^vbd+bed+aux++=were
present ^vb++++=present
in ^in++++=in
the ^ati++++=the
coffee ^nn++++=coffee-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
were ^vbd+bed+vrb++=were
silent ^jj+pred+++=silent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
disputed ^vbd+++xvbn+=disputed
no ^at++++=no
more ^rbr++++=more
as ^in++++=as
to ^in"++++=to
whose ^whp+who+++=whose
faith ^nn++++=faith
was ^vbd+bedz+vrb++=was
the ^ati++++=the
best ^nn++++=best.
. ^zz++++=EXTRAWORD
