You ^pp2+pp2+++=You're
impatiently ^rb++++=impatiently.
. ^zz++++=EXTRAWORD
Sannochka ^np+++??+=SANNOCHKA,
, ^zz++++=EXTRAWORD
Yurochka ^np+++??+=YUROCHKA."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Or ^cc++++=Or:
: ^zz++++=EXTRAWORD
" ^zz++++="With
with ^in++++=EXTRAWORD
watch ^nn++++=watch
in ^in++++=in
hand ^nn++++=hand
we ^pp1a+pp1+++=we
follow ^vb+vprv+++=follow
on ^in++++=on
the ^ati++++=the
timetable ^nn++++=timetable
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
your ^pp$+pp2+++=your
train ^nn++++=train
from ^in++++=from
station ^nn+nom+++=station
to ^in++++=to
station ^nn+nom+++=station.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
spirits ^nns++++=spirits
and ^cc++++=and
thoughts ^nns++++=thoughts
are ^vb+ber+vrb++=are
with ^in++++=with
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
telegrams ^nns++++=telegrams
were ^vbd+bed+vrb++=were
of ^in++++=of
this ^dt+dem+++=this
kind ^nn++++=kind.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
even ^rb++++=even
one ^pn++++=one
like ^in++++=like
this ^dt+pdem+++=this:
: ^zz++++=EXTRAWORD
" ^zz++++="Put
put ^vbd+++xvbn+=EXTRAWORD
your ^pp$+pp2+++=your
watch ^vb++++=watch
to ^to+vcmp+++=to
Petersburg ^vb++++=Petersburg
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
exactly ^rb++++=exactly
at ^in++++=at
eleven ^cd++++=eleven
o'clock ^rb++++=o'clock
look ^vb++++=look
at ^rb++++=at
the ^ati++++=the
star ^nn++++=star
Alpha ^np+++??+=Alpha
in ^in++++=in
the ^ati++++=the
Great ^nn++++=Great
Bear ^vb+vprv+++=Bear.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
do ^vb+do+vrb++=do
the ^ati++++=the
same ^ap++++=same."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
one ^cd1++++=one
passenger ^nn+nom+++=passenger
on ^in++++=on
the ^ati++++=the
train ^nn++++=train
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
owner ^nn++++=owner
or ^cc++++=or
bookkeeper ^jjr++++=bookkeeper,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
manager ^nn++++=manager
of ^in++++=of
a ^at++++=a
gold ^nn++++=gold
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
a ^at++++=a
Siberian ^np+++??+=Siberian,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
face ^nn++++=face
like ^in++++=like
that ^dt+dem+++=that
of ^in++++=of
Moses ^np++++=Moses
the ^ati++++=the
Moor,[1 ^np+++??+=Moor,[1]
] ^zz++++=EXTRAWORD
dry ^jj++++=dry
and ^cc+phrs+++=and
elongated ^jj+++xvbn+=elongated,
, ^zz++++=EXTRAWORD
thick ^jj++++=thick,
, ^zz++++=EXTRAWORD
black ^jj+atrb+++=black,
, ^zz++++=EXTRAWORD
stern ^jj+atrb+++=stern
brows ^nns++++=brows,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
long ^jj++++=long,
, ^zz++++=EXTRAWORD
full ^jj+atrb+++=full,
, ^zz++++=EXTRAWORD
greyish ^jj+atrb+++=greyish
beard ^nn++++=beard
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
looked ^vbd+++xvbn+=looked
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
were ^vbd+bed+aux++=were
exceptionally ^rb++splt++=exceptionally
experienced ^vpsv++agls+xvbnx+=experienced
in ^in++++=in
all ^abn++++=all
the ^ati++++=the
trials ^nns++++=trials
of ^in++++=of
life ^nn++++=life.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
made ^vbd+++xvbnx+=made
a ^at++++=a
warning ^nn++++=warning
remark ^nn++++=remark
to ^in++++=to
the ^ati++++=the
engineer ^nn+nom+++=engineer:
: ^zz++++=EXTRAWORD
[ ^zz++++=[1]
1 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
the ^ati++++=the
hermits ^nns+++??+=hermits
of ^in++++=of
the ^ati++++=the
Egyptian ^jj+atrb+++=Egyptian
Desert ^nn++++=Desert,
, ^zz++++=EXTRAWORD
a ^at++++=a
saint ^nn++++=saint
in ^in++++=in
the ^ati++++=the
Russian ^jj+atrb+++=Russian
Calendar ^nn++++=Calendar.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
young ^jj+atrb+++=young
man ^nn++++=man,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
use ^nn++++=use
you ^pp2+pp2+++=you
abusing ^vbg+++xvbg+=abusing
the ^ati++++=the
telegraph ^nn++++=telegraph
service ^nn++++=service
in ^in++++=in
such ^abl++++=such
a ^at++++=a
way ^nn++++=way."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
mean ^vb+vprv+++=mean?
? ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
no ^at++++=no
use ^nn++++=use?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
impossible ^jj++++=impossible
for ^in++++=for
a ^at++++=a
woman ^nn++++=woman
to ^to++++=to
keep ^vbi++++=keep
herself ^ppl+pp3+++=herself
all ^abn++++=all
the ^ati++++=the
time ^nn++++=time
in ^in++++=in
such ^abl++++=such
an ^at++++=an
exalted ^jj++++=exalted
and ^cc++++=and
wound ^nn+++xvbn+=wound-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
state ^nn++++=state
of ^in++++=of
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
have ^vbi++vrb++=have
mercy ^nn++++=mercy
on ^in++++=on
other ^ap++++=other
peoples ^nns++++=peoples'
' ^zz++++=EXTRAWORD
nerves ^nns++++=nerves."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
the ^ati++++=the
engineer ^nn+nom+++=engineer
only ^rb+down+++=only
laughed ^vbd+++xvbn+=laughed
and ^cc+phrs+++=and
clapped ^vbd+++xvbn+=clapped
the ^ati++++=the
wiseacre ^nn+++??+=wiseacre
on ^in++++=on
the ^ati++++=the
knee ^nn++++=knee.
. ^zz++++=EXTRAWORD
" ^zz++++="Ah,
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
little ^ap++++=little
father ^nn++++=father,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
people ^nns++++=people
of ^in++++=of
the ^ati++++=the
Old ^jj+atrb+++=Old
Testament ^nn+nom+++=Testament.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You're
're ^vb+ber+aux++0=EXTRAWORD
always ^rb++splt++=always
stealing ^nvbg+++xvbg+=stealing
back ^jjb+atrb+++=back
home ^nr++++=home
unexpectedly ^rb++++=unexpectedly
and ^cc++++=and
on ^in++++=on
the ^ati++++=the
quiet ^nn++++=quiet.
. ^zz++++=EXTRAWORD
' ^zz++++='Is
is ^vbz+bez+vrb++=EXTRAWORD
everything ^pn++++=everything
as ^ql++++=as
it ^pp3+it+++=it
should ^md+nec+++=should
be ^vb+be+vrb++=be
on ^in++++=on
the ^ati++++=the
domestic ^jj+atrb+++=domestic
hearth ^nn++++=hearth?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Eh ^uh++++=Eh?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
the ^ati++++=the
man ^nn++++=man
with ^in++++=with
the ^ati++++=the
ikon ^nn+++??+=ikon
face ^nn++++=face
only ^ap+down+++=only
raised ^jj+++xvbn+=raised
his ^pp$+pp3+++=his
eyebrows ^nns++++=eyebrows
and ^cc++++=and
smiled ^vbd+++xvbn+=smiled.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
of ^in++++=of
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
harm ^nn++++=harm
in ^cs+sub+++=in
that ^cs"++++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^in++++=At
Nizhni ^np+++??+=Nizhni
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
new ^jj++++=new
fellow ^jjb++++=fellow-travellers,
- ^zz++++=EXTRAWORD
travellers ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
Moscow ^np++++=Moscow
new ^np++++=new
ones ^cd1s++++=ones
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
The ^ati++++=The
agitation ^nn+nom+++=agitation
of ^in++++=of
my ^pp$+pp1+++=my
engineer ^nn+nom+++=engineer
was ^vbd+bedz+aux++=was
still ^rb++splt++=still
increasing ^vbg+++xvbgx+=increasing.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
could ^md+pos+++=could
be ^vb+be+aux++=be
done ^vpsv++agls+xvbnx+=done
with ^in++++=with
him ^pp3o+pp3+++=him?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
made ^vbd+++xvbnx+=made
acquaintance ^nn+nom+++=acquaintance
with ^in++++=with
everybody ^pn++++=everybody;
; ^zz++++=EXTRAWORD
talked ^j+++xvbn+=talked
to ^to++++=to
married ^vbi++++=married
folks ^nns++++=folks
of ^in++++=of
the ^ati++++=the
sacredness ^nns+nom+++=sacredness
of ^in++++=of
home ^nr++++=home,
, ^zz++++=EXTRAWORD
reproached ^jj+atrb++xvbn+=reproached
bachelors ^nns++++=bachelors
for ^in++++=for
the ^ati++++=the
slovenliness ^nns+nom+++=slovenliness
and ^cc++++=and
disorder ^nn+nom+++=disorder
of ^in++++=of
bachelor ^nn++++=bachelor
life ^nn++++=life,
, ^zz++++=EXTRAWORD
talked ^j+++xvbn+=talked
to ^in++++=to
young ^jj+atrb+++=young
ladies ^nns++++=ladies
about ^in++++=about
a ^at++++=a
single ^jj+atrb+++=single
and ^cc+phrs+++=and
eternal ^jj+atrb+++=eternal
love ^nn++++=love,
, ^zz++++=EXTRAWORD
conversed ^j+++xvbn+=conversed
with ^in++++=with
mothers ^nns+nom+++=mothers
about ^in++++=about
their ^pp$+pp3+++=their
children ^nns++++=children,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
always ^rb++++=always
led ^vbd+++xvbn+=led
the ^ati++++=the
conversation ^nn+nom+++=conversation
to ^to++++=to
talk ^vbi++++=talk
about ^in++++=about
his ^pp$+pp3+++=his
Sannochka ^np+++??+=Sannochka
and ^cc++++=and
Yurochka ^np+++??+=Yurochka.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
now ^rn+tm+++=now
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
daughter ^nn+nom+++=daughter
used ^vwbn+++xvbn+=used
to ^in++++=to
lisp ^nn+++??+=lisp:
: ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
thome ^nn+++??+=thome
yellow ^jj+atrb+++=yellow
thlipperth ^nn+++??+=thlipperth,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
like ^in+strn+++=like.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
pulling ^nvbg+++xvbg+=pulling
the ^ati++++=the
cat ^nn++++=cat's
's ^$++++=EXTRAWORD
tail ^nn++++=tail,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
cat ^nn++++=cat
mewed ^vbd+++xvbn+=mewed,
, ^zz++++=EXTRAWORD
her ^pp3o+pp3+++=her
mother ^npt++++=mother
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
Yurochka ^np+++??+=Yurochka,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
're ^vb+ber+aux++0=EXTRAWORD
hurting ^vbg+++xvbgx+=hurting
the ^ati++++=the
cat ^nn++++=cat,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
child ^nn++++=child
answered ^vbd+vpub++xvbn+=answered,
, ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
liketh ^vbz++++=liketh
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
all ^abn++++=all
very ^ql+amp+++=very
tender ^jj++++=tender,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
touching ^nvbg+++xvbg+=touching,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
bound ^jj++agls+xvbnx+=bound
to ^to+jcmp+++=to
confess ^nns+nom+++=confess,
, ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
tiresome ^jj++++=tiresome.
. ^zz++++=EXTRAWORD
Next ^ap++++=Next
morning ^nn++++=morning
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
nearing ^vbg+++xvbgx+=nearing
Petersburg ^np++++=Petersburg.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
dull ^jj++++=dull,
, ^zz++++=EXTRAWORD
wet ^jj+atrb+++=wet,
, ^zz++++=EXTRAWORD
unpleasant ^jj+atrb+++=unpleasant
day ^nn++++=day.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
exactly ^rb++++=exactly
a ^at++++=a
fog ^nn++++=fog,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++=of
dirty ^jj+atrb+++=dirty
cloudiness ^nns+nom+++=cloudiness
enveloped ^vbd+++xvbn+=enveloped
the ^ati++++=the
rusty ^np++++=rusty,
, ^zz++++=EXTRAWORD
thin ^jj++++=thin-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
pines ^nns++++=pines,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
wet ^jj+atrb+++=wet
hills ^nns++++=hills
looked ^vbd+++xvbn+=looked
like ^in++++=like
hairy ^jj+atrb+++=hairy
warts ^nns++++=warts
extending ^vwbg+++xvbg+=extending
on ^in++++=on
both ^abx++++=both
sides ^nns++++=sides
of ^in++++=of
the ^ati++++=the
line ^nn++++=line.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
up ^rp++++=up
early ^jj++++=early
and ^cc++++=and
went ^vpsv++agls+xvbn+=went
along ^in++++=along
to ^in++++=to
the ^ati++++=the
lavatory ^nn++++=lavatory
to ^to++++=to
wash ^vbi++++=wash;
; ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
way ^nn++++=way
I ^pp1a+pp1+++=I
ran ^vbd+++xvbnx+=ran
into ^in+ppvb+++=into
the ^ati++++=the
engineer ^nn+nom+++=engineer,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
standing ^vbg+++xvbgx+=standing
by ^in++++=by
the ^ati++++=the
window ^nn++++=window
and ^cc++++=and
looking ^vbg+++xvbg+=looking
alternately ^rb++++=alternately
at ^in++++=at
his ^pp$+pp3+++=his
watch ^nn++++=watch
and ^cc++++=and
then ^rn+tm+++=then
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
" ^zz++++="Good
good ^jj+atrb+++=EXTRAWORD
morning ^nn++++=morning,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
doing ^vbg+++xvbg+=doing?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
good ^jj+atrb+++=good
morning ^nn++++=morning,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
just ^rb+emph+splt++=just
testing ^vbg+++xvbgx+=testing
the ^ati++++=the
speed ^nn++++=speed
of ^in++++=of
the ^ati++++=the
train ^nn++++=train;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+aux++0=EXTRAWORD
going ^vbg+++xvbgx+=going
about ^in+ppvb+++=about
sixty ^cd++++=sixty
versts ^nns+++??+=versts
an ^at++++=an
hour ^nn++++=hour."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
test ^vb++++=test
it ^pp3+it+++=it
by ^in++++=by
your ^pp$+pp2+++=your
watch ^nn++++=watch?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
very ^ql+amp+++=very
simple ^jj++++=simple.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
twenty ^cd++++=twenty-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
sazhens ^nns+++??+=sazhens
between ^in++++=between
the ^ati++++=the
posts ^nns++++=posts
a ^at++++=a
twentieth ^od++++=twentieth
part ^nn++++=part
of ^in++++=of
a ^at++++=a
verst ^nn+++??+=verst.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
travel ^vb++++=travel
these ^dt+dem+++=these
twenty ^cd++++=twenty-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
sazhens ^nns+++??+=sazhens
in ^in++++=in
four ^cd++++=four
seconds ^nns++++=seconds,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
means ^vbz+vprv+tht0++=means
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
going ^vbg+++xvbgx+=going
forty ^cd++++=forty-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
versts ^nns+++??+=versts
an ^at++++=an
hour ^nn++++=hour;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
in ^in++++=in
three ^cd++++=three
seconds ^nns++++=seconds,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we're
're ^vb+ber+aux++0=EXTRAWORD
going ^vbg+++xvbgx+=going
sixty ^cd++++=sixty
versts ^nns+++??+=versts
an ^at++++=an
hour ^nn++++=hour;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
in ^in++++=in
two ^cd++++=two
seconds ^nns++++=seconds,
, ^zz++++=EXTRAWORD
ninety ^cd++++=ninety.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
you ^pp2+pp2+++=you
can ^md+pos+++=can
reckon ^vb+vprv+++=reckon
the ^ati++++=the
speed ^nn++++=speed
without ^in++++=without
a ^at++++=a
watch ^vb++++=watch
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
to ^to++++=to
count ^vbi++++=count
the ^ati++++=the
seconds ^nns++++=seconds
you ^pp2+pp2+++=you
must ^md+nec+++=must
count ^vb++++=count
as ^ql++++=as
quickly ^rb++++=quickly
as ^in++++=as
possible ^jj++++=possible,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
quite ^rb++++=quite
distinctly ^rb+cnj+++=distinctly,
, ^zz++++=EXTRAWORD
one ^pn++++=one,
, ^zz++++=EXTRAWORD
two ^cd++++=two,
, ^zz++++=EXTRAWORD
three ^cd++++=three,
, ^zz++++=EXTRAWORD
four ^cd++++=four,
, ^zz++++=EXTRAWORD
five ^cd++++=five,
, ^zz++++=EXTRAWORD
six ^cd++++=six
one ^pn++++=one,
, ^zz++++=EXTRAWORD
two ^cd++++=two,
, ^zz++++=EXTRAWORD
three ^cd++++=three,
, ^zz++++=EXTRAWORD
four ^cd++++=four,
, ^zz++++=EXTRAWORD
five ^cd++++=five,
, ^zz++++=EXTRAWORD
six ^cd++++=six
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
speciality ^nn+nom+++=speciality
of ^in++++=of
the ^ati++++=the
Austrian ^jj+atrb+++=Austrian
General ^jj+atrb+++=General
Staff ^nn++++=Staff."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
talked ^vbd+++xvbnx+=talked
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
with ^in++++=with
fidgety ^jj+atrb+++=fidgety
movements ^nns+nom+++=movements
and ^cc++++=and
restless ^jj+atrb+++=restless
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
quite ^abl++++=quite
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
all ^abn++++=all
this ^dt+dem+++=this
talk ^nn++++=talk
about ^in++++=about
the ^ati++++=the
counting ^jj+++xvbg+=counting
of ^in++++=of
the ^ati++++=the
Austrian ^jj+atrb+++=Austrian
General ^jj+atrb+++=General
Staff ^nn++++=Staff
was ^vbd+bedz+vrb++=was
all ^abn++++=all
beside ^in+pl+++=beside
the ^ati++++=the
point ^nn++++=point,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
a ^at++++=a
simple ^jj+atrb+++=simple
diversion ^nn++++=diversion
of ^in++++=of
his ^pp$+pp3+++=his
to ^to++++=to
cheat ^vbi++++=cheat
his ^pp$+pp3+++=his
impatience ^nn+nom+++=impatience.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
became ^vbd+++xvbn+=became
dreadful ^jj++++=dreadful
to ^to+jcmp+++=to
watch ^vbi++++=watch
him ^pp3o+pp3+++=him
after ^cs+sub+++=after
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed
the ^ati++++=the
station ^nn+nom+++=station
of ^in++++=of
Luban ^np+++??+=Luban.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
to ^to+vcmp+++=to
me ^pp1o+pp1+++=me
paler ^jjr++++=paler
and ^cc+phrs+++=and
thinner ^jjr++++=thinner,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
way ^nn++++=way,
, ^zz++++=EXTRAWORD
older ^jjr++++=older.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
even ^cs+sub+++=even
stopped ^vprf+++xvbn+=stopped
talking ^vbg+++xvbg+=talking.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
pretended ^vbd+vprv++xvbnx+=pretended
to ^to+vcmp+++=to
read ^vbn+vprv++xvbn+=read
a ^at++++=a
newspaper ^nn+nom+++=newspaper,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
evident ^jj+pred+++=evident
that ^tht+jcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
tiresome ^jj+atrb+++=tiresome
and ^cc+phrs+++=and
distasteful ^jj+atrb+++=distasteful
occupation ^nn+nom+++=occupation
for ^in++++=for
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
he ^pp3a+pp3+++=he
even ^cs+sub+++=even
held ^vprf+++xvbn+=held
the ^ati++++=the
paper ^nn++++=paper
upside ^nn++++=upside
down ^in+strn+++=down.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
sit ^vb++++=sit
still ^jj+pred+++=still
for ^in++++=for
about ^in++++=about
five ^cd++++=five
minutes ^nns++++=minutes,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
go ^vb++++=go
to ^in++++=to
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
sit ^vb++++=sit
down ^rb+phrv+++=down
for ^in++++=for
a ^at++++=a
while ^cs+sub+++=while
and ^cc++++=and
seem ^vb+seem+++=seem
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
were ^vbd+bed+aux++=were
trying ^vbg+++xvbgx+=trying
to ^to+vcmp+++=to
push ^vbi++++=push
the ^ati++++=the
train ^nn++++=train
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
go ^vb++++=go
again ^rb+tm+++=again
to ^in++++=to
the ^ati++++=the
window ^nn++++=window
and ^cc++++=and
test ^nn++++=test
the ^ati++++=the
speed ^nn++++=speed
of ^in++++=of
the ^ati++++=the
train ^nn++++=train,
, ^zz++++=EXTRAWORD
again ^rb+tm+++=again
turning ^vbg+++xvbg+=turning
his ^pp$+pp3+++=his
head ^nn++++=head,
, ^zz++++=EXTRAWORD
first ^rb++++=first
to ^in++++=to
