Behind ^in+pl+++=BEHIND
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
heard ^vbd+vprv++xvbnx+=heard
again ^rb+tm+++=again
the ^ati++++=the
cry ^nn++++=cry
of ^in++++=of
the ^ati++++=the
cursed ^jj+atrb++xvbn+=cursed,
, ^zz++++=EXTRAWORD
feathery ^jj+atrb+++=feathery
thing ^nn++++=thing:
: ^zz++++=EXTRAWORD
" ^zz++++="Wheet-wheet!"
wheet ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
wheet ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
less ^rbr++++=less
mocking ^jj+++xvbg+=mocking
than ^in++++=than
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
insistent ^jj++++=insistent,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
bird ^nn++++=bird,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
its ^pp$+it+++=its
sense ^nn++++=sense
of ^in++++=of
security ^nn+nom+++=security,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
to ^to++++=to
fear ^vbi++++=fear
the ^ati++++=the
shaggy ^jj+atrb+++=shaggy
murderer ^nn+nom+++=murderer
below ^in+strn+++=below.
. ^zz++++=EXTRAWORD
Mortazu ^np+++??+=Mortazu
Khan ^npt++++=Khan
looked ^vbd+++xvbn+=looked
up ^rp++++=up.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
saw ^vbd+vprv+tht0+xvbnx+=saw
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
dropped ^vprf+++xvbnx+=dropped
to ^in++++=to
a ^at++++=a
branch ^nn++++=branch
lower ^jjr++++=lower
down ^rp++++=down,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
bird ^nn++++=bird
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
round ^in++++=round
and ^cc++++=and
toddling ^vbg+nom++xvbg+=toddling
and ^cc++++=and
fluffy ^jj++++=fluffy
and ^cc+phrs+++=and
blue ^jj++++=blue-gray.
- ^zz++++=EXTRAWORD
gray ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^rb++++=A
little ^rb"++++=little,
, ^zz++++=EXTRAWORD
fat ^nn++++=fat
bear ^vb+vprv+++=bear
cub ^nn++++=cub
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
Mortazu ^np+++??+=Mortazu
Khan ^npt++++=Khan
knew ^vbd+vprv++xvbn+=knew
why ^wrb+who+whcl++=why
Bibi ^np+++??+=Bibi
Bear ^vb+vprv+++=Bear
had ^vbd+hvd+aux++=had
broken ^vprf+++xvbnx+=broken
the ^ati++++=the
truce ^nn+++??+=truce
of ^in++++=of
the ^ati++++=the
fat ^nn++++=fat
season ^nn++++=season,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
certain ^jj+atrb+++=certain
pity ^nn++++=pity
and ^cc++++=and
understanding ^xvbg+++xvbg+=understanding
came ^vbd+++xvbn+=came
to ^in++++=to
the ^ati++++=the
hillman ^np++++=hillman's
's ^vbz+bez+vrb++0=EXTRAWORD
simple ^jj+atrb+++=simple
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
fighting ^vbg+++xvbgx+=fighting
for ^in++++=for
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
unborn ^jj+atrb+++=unborn
son ^nn++++=son,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
himself ^ppl+pp3+++=himself
that ^cs+sub+++=that
the ^ati++++=the
bear ^nn++++=bear,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
fighting ^vbg+++xvbgx+=fighting
for ^in++++=for
the ^ati++++=the
young ^nn++++=young
of ^in++++=of
her ^pp$+pp3+++=her
body ^nn++++=body,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
thing ^nn++++=thing
which ^whp+rel+subj++=which
gave ^vbd+++xvbn+=gave
meaning ^vb+++xvbg+=meaning
to ^to+vcmp+++=to
life ^vb++++=life.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
without ^in++++=without
hatred ^nn++++=hatred
with ^in++++=with
respect ^nn++++=respect,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
feeling ^jj+++xvbg+=feeling
of ^in++++=of
comradeship ^nn+nom+++=comradeship
that ^tht+rel+obj++=that
Mortazu ^np+++??+=Mortazu
Khan ^npt++++=Khan
stepped ^vbd+++xvbn+=stepped
away ^in+pl+++=away
from ^in"++++=from
the ^ati++++=the
protecting ^jj+atrb++xvbg+=protecting
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
deliberately ^rb++++=deliberately
to ^to++++=to
give ^vbi++++=give
battle ^nn++++=battle
in ^in++++=in
the ^ati++++=the
open ^nn++++=open.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bear ^nn++++=bear
followed ^vbd+vprv++xvbn+=followed,
, ^zz++++=EXTRAWORD
growling ^nn+nom+++=growling.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
so ^rb++++=so
the ^ati++++=the
two ^cd++++=two
stood ^vbd+++xvbn+=stood
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
confronting ^jj+++xvbg+=confronting
each ^dt++++=each
other ^ap++++=other,
, ^zz++++=EXTRAWORD
both ^abx++++=both
breathing ^jj+++xvbg+=breathing
hard ^jj++++=hard,
, ^zz++++=EXTRAWORD
ready ^jj++++=ready
to ^to+jcmp+++=to
leap ^vbi++++=leap,
, ^zz++++=EXTRAWORD
ready ^jj++++=ready
to ^to+jcmp+++=to
finish ^vbi++++=finish
the ^ati++++=the
fight ^nn++++=fight.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
man ^nn++++=man
who ^whp+rel+subj++=who
leaped ^vbd+++xvbn+=leaped
first ^rb++++=first.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
fraction ^nn+nom+++=fraction
of ^in++++=of
a ^at++++=a
second ^od++++=second
he ^pp3a+pp3+++=he
balanced ^vbd+++xvbnx+=balanced
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
bleeding ^nvbg+++xvbg+=bleeding
toes ^nns++++=toes
gripping ^vwbg+++xvbg+=gripping
the ^ati++++=the
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
straight ^rb++++=straight
into ^in++++=into
the ^ati++++=the
bear ^nn++++=bear's
's ^$++++=EXTRAWORD
embrace ^vb++++=embrace,
, ^zz++++=EXTRAWORD
the ^ati++++=the
point ^nn++++=point
of ^in++++=of
his ^pp$+pp3+++=his
dagger ^nn++++=dagger
ahead ^rb+pl+++=ahead
of ^in++++=of
him ^pp3o+pp3+++=him
like ^in++++=like
a ^at++++=a
guidon ^nn+++??+=guidon.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
lips ^nns++++=lips
were ^vbd+bed+vrb++=were
crinkly ^jj+pred+++=crinkly
and ^cc++++=and
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
tongue ^nn++++=tongue
like ^in++++=like
dry ^jj+atrb+++=dry
saddle ^nn++++=saddle
leather ^nn++++=leather,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
cold ^jj++++=cold
and ^cc+phrs+++=and
gleaming ^jj+++xvbg+=gleaming.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
straight ^rb++++=straight
he ^pp3a+pp3+++=he
jumped ^vbd+++xvbnx+=jumped,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
straight ^jj++++=straight
stabbed ^jj+++xvbn+=stabbed
the ^ati++++=the
knife ^nn++++=knife,
, ^zz++++=EXTRAWORD
finding ^vbg+++xvbg+=finding
the ^ati++++=the
brute ^jjb++++=brute's
's ^vbz+bez+aux++0=EXTRAWORD
pumping ^vbg+++xvbgx+=pumping,
, ^zz++++=EXTRAWORD
clamorous ^jj+atrb+++=clamorous
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
claws ^nns++++=claws
met ^vbd+++xvbn+=met
across ^in+pl+++=across
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder-blades
- ^zz++++=EXTRAWORD
blades ^nns++++=EXTRAWORD
and ^cc++++=and
tore ^vbd+++xvbn+=tore
a ^at++++=a
furrow ^nn+++??+=furrow
down ^rp++++=down
his ^pp$+pp3+++=his
back ^nn++++=back.
. ^zz++++=EXTRAWORD
Straight ^jj++++=Straight
to ^in++++=to
the ^ati++++=the
heart ^nn++++=heart!
! ^zz++++=EXTRAWORD
With ^in++++=With
every ^at++++=every
ounce ^nn++++=ounce
of ^in++++=of
bunched ^vbd+++xvbn+=bunched
strength ^nn++++=strength
and ^cc++++=and
despair ^nn++++=despair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^in++++=as
the ^ati++++=the
bear ^nn++++=bear,
, ^zz++++=EXTRAWORD
in ^in++++=in
mortal ^jj+atrb+++=mortal
agony ^nn++++=agony,
, ^zz++++=EXTRAWORD
realized ^j+++xvbn+=realized
her ^pp$+pp3+++=her
steely ^jj+atrb+++=steely
grip ^nn++++=grip,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
struck ^vbd+++xvbnx+=struck
again ^rb+tm+++=again
and ^cc+phrs+++=and
again ^rb+tm+++=again
and ^cc+phrs+++=and
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
hatred ^nn++++=hatred
in ^in++++=in
the ^ati++++=the
blows ^nns++++=blows.
. ^zz++++=EXTRAWORD
" ^zz++++="Ahi!"
ahi ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
sobbed ^vbd+++xvbnx+=sobbed,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
bear ^nn++++=bear
toppled ^vbd+++xvbn+=toppled
sideways ^jjb++++=sideways
and ^cc++++=and
fell ^nn+++xvbn+=fell,
, ^zz++++=EXTRAWORD
curling ^vbg+nom++xvbg+=curling
up ^rp++++=up
like ^in++++=like
a ^at++++=a
sleeping ^jj+atrb++xvbg+=sleeping
dog ^nn++++=dog.
. ^zz++++=EXTRAWORD
" ^zz++++="Ahi!
ahi ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
Poor ^jj+atrb+++=Poor
Bibi ^np+++??+=Bibi
Bear ^nn++++=Bear!
! ^zz++++=EXTRAWORD
Brave ^jj+atrb+++=Brave
Bibi ^np+++??+=Bibi
Bear ^nn++++=Bear!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
back ^jjb++++=back
bled ^jj+++xvbn+=bled
and ^cc+phrs+++=and
hurt ^jj+++xvbn+=hurt.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
jerked ^vbd+++xvbnx+=jerked
the ^ati++++=the
pain ^nn++++=pain
away ^rp+pl+++=away
with ^in++++=with
a ^at++++=a
shrug ^nn++++=shrug
of ^in++++=of
his ^pp$+pp3+++=his
massive ^jj+atrb+++=massive
shoulder ^nn+nom+++=shoulder.
. ^zz++++=EXTRAWORD
The ^ati++++=The
English ^jj+atrb+++=English
hakim ^nn+++??+=hakim
would ^md+prd+++=would
have ^vb+hv+vrb++=have
two ^cd++++=two
patients ^nns++++=patients
instead ^rb+cnj+++=instead
of ^in++++=of
one ^pn++++=one,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
told ^vbd+vpub+tht0+xvbnx+=told
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
dizzy ^jj++++=dizzy,
, ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
depressed ^jj+++xvbn+=depressed,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
to ^to++++=to
resume ^vbi++++=resume
his ^pp$+pp3+++=his
walk ^nn++++=walk
across ^rp+pl+++=across
he ^pp3a+pp3+++=he
plateau ^nn++++=plateau.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
something ^pn++++=something
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
float ^vbi++++=float
down ^rp++++=down
upon ^in++++=upon
his ^pp$+pp3+++=his
consciousness ^nns+nom+++=consciousness,
, ^zz++++=EXTRAWORD
imperceptibly ^rb+cnj+++=imperceptibly,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
shadow ^nn++++=shadow
of ^in++++=of
a ^at++++=a
leaf ^nn++++=leaf
through ^in++++=through
summer ^nn++++=summer
dusk ^nn++++=dusk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
stopped ^vbd+++xvbnx+=stopped
and ^cc+phrs+++=and
returned ^vbd+++xvbn+=returned
to ^in++++=to
the ^ati++++=the
fir ^nn++++=fir-tree.
- ^zz++++=EXTRAWORD
tree ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Standing ^vbg+++xvbg+=Standing
on ^in++++=on
his ^pp$+pp3+++=his
toes ^nns++++=toes,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
reached ^vbd+++xvbnx+=reached
up ^rp++++=up
and ^cc++++=and
caught ^vbd+++xvbn+=caught
the ^ati++++=the
toddling ^nvbg+++xvbg+=toddling,
, ^zz++++=EXTRAWORD
fluffy ^jj+atrb+++=fluffy
cub ^nn++++=cub
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
trying ^vbg+++xvbgx+=trying
hard ^jj++++=hard
to ^in+jcmp+++=to
back ^jjb++++=back
up ^rp++++=up,
, ^zz++++=EXTRAWORD
to ^to++++=to
regain ^vbi++++=regain
the ^ati++++=the
security ^nn+nom+++=security
of ^in++++=of
the ^ati++++=the
higher ^jjr+atrb+++=higher
branches ^nns++++=branches.
. ^zz++++=EXTRAWORD
" ^zz++++="Come,
come ^vprf+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
little ^ap++++=little
Sheik ^np+++??+=Sheik
Bear ^nn++++=Bear!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
crooned ^vbd+++xvbnx+=crooned
as ^ql++++=as
he ^pp3a+pp3+++=he
might ^md+pos+++=might
to ^in++++=to
a ^at++++=a
frightened ^jj+atrb++xvbn+=frightened
child ^nn++++=child.
. ^zz++++=EXTRAWORD
" ^zz++++="Come!
come ^vprf+++xvbn+=EXTRAWORD
! ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
room ^nn++++=room
for ^in++++=for
thee ^pp2+pp2+++=thee
in ^in++++=in
the ^ati++++=the
house ^nn++++=house
of ^in++++=of
Mortazu ^np+++??+=Mortazu
Khan ^npt++++=Khan!
! ^zz++++=EXTRAWORD
Room ^nn++++=Room
and ^cc++++=and
food ^nn++++=food
and ^cc++++=and
water ^nn++++=water
and ^cc++++=and
soon ^rb+cnj+++=soon,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
Allah ^np++++=Allah
be ^vb+be+vrb++=be
willing ^jj+pred+++=willing
and ^cc++++=and
the ^ati++++=the
hakim ^nn+++??+=hakim's
's ^$++++=EXTRAWORD
medicine ^nn++++=medicine
strong ^jj++++=strong,
, ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
man ^nn++++=man-child
- ^zz++++=EXTRAWORD
child ^nn++++=EXTRAWORD
to ^to++++=to
play ^vbi++++=play
with ^in++++=with
thee ^pp2+pp2+++=thee!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And,
, ^zz++++=EXTRAWORD
the ^ati++++=the
cub ^nn++++=cub
nuzzling ^vwbg+++xvbg+=nuzzling
his ^pp$+pp3+++=his
heaving ^jj+atrb++xvbg+=heaving
chest ^nn++++=chest
with ^in++++=with
a ^rb++++=a
little ^rb"++++=little
grunt ^jj+++xvbn+=grunt
of ^in++++=of
satisfaction ^nn+nom+++=satisfaction,
, ^zz++++=EXTRAWORD
Mortazu ^np+++??+=Mortazu
Khan ^npt++++=Khan
walked ^vbd+++xvbn+=walked
toward ^in++++=toward
the ^ati++++=the
flat ^jj+atrb+++=flat
roofs ^nns++++=roofs
of ^in++++=of
Ghuzni ^np+++??+=Ghuzni,
, ^zz++++=EXTRAWORD
leaving ^vbg+++xvbg+=leaving
behind ^rb+phrv+++=behind
him ^pp3o+pp3+++=him
a ^at++++=a
thin ^jj+atrb+++=thin
trail ^nn++++=trail
of ^in++++=of
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
hurrying ^jj++++=hurrying,
, ^zz++++=EXTRAWORD
hurrying ^vbg+++xvbg+=hurrying.
. ^zz++++=EXTRAWORD
