Hark ^np+++??+=Hark,
unable ^jj+pred+++=unable
to ^to+jcmp+++=to
suggest ^vbi+vpub+++=suggest
a ^at++++=a
remedy ^nn++++=remedy.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
aged ^jj+atrb+++=aged
Chamberlain ^np++++=Chamberlain,
, ^zz++++=EXTRAWORD
coming ^vbg+++xvbg+=coming
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bowing ^vbg+++xvbg+=bowing
low ^jj++++=low
before ^in++++=before
the ^ati++++=the
little ^ap++++=little
King ^npt++++=King,
, ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
Majesty ^nn++++=Majesty,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
can ^md+pos+++=can
assist ^vb++++=assist
you ^pp2+pp2+++=you
in ^in++++=in
your ^pp$+pp2+++=your
difficulty ^nn++++=difficulty.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
did ^vbd+dod+vrb++=did
but ^cc++++=but
promise ^nn++++=promise
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
gold ^nn++++=gold
to ^in++++=to
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
are ^vb+ber+aux++=are
really ^rb+emph+splt++=really
suffering ^vbg+++xvbgx+=suffering
and ^cc++++=and
in ^in++++=in
need ^nn++++=need,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
so ^ql++++=so
great ^np++++=great
is ^vbz+bez+vrb++=is
the ^ati++++=the
greed ^nn++++=greed
of ^in++++=of
mankind ^nn++++=mankind
that ^tht+rel+++=that
many ^ap++++=many
without ^in++++=without
are ^vb+ber+vrb++=are
in ^in++++=in
no ^at++++=no
necessity ^nn+nom+++=necessity
whatever ^nn+nom+++=whatever,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
only ^rb+down+++=only
seek ^vb++++=seek
to ^to+vcmp+++=to
enrich ^vbi++++=enrich
themselves ^ppls+pp3+++=themselves
at ^in++++=at
your ^pp$+pp2+++=your
expense ^nn++++=expense.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore
I ^pp1a+pp1+++=I
propose ^vb++++=propose
you ^pp2+pp2+++=you
examine ^vb++++=examine
carefully ^rb++++=carefully
each ^dt++++=each
case ^nn++++=case
that ^tht+rel+subj++=that
presents ^vbz++++=presents
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
unless ^cs+cnd+++=unless
the ^ati++++=the
beggar ^nn++++=beggar
is ^vbz+bez+vrb++=is
in ^in++++=in
need ^in"++++=need
of ^in"++++=of
alms ^nns+++??+=alms
turn ^nn++++=turn
him ^pp3o+pp3+++=him
away ^rp+pl+++=away
empty ^jj++++=empty-handed,
- ^zz++++=EXTRAWORD
handed ^vwbn+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^ql++++=as
being ^jj+++xvbg+=being
a ^at++++=a
fraud ^nn++++=fraud
and ^cc++++=and
a ^at++++=a
charlatan ^nn+nom+++=charlatan."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
counsel ^nn++++=counsel
is ^vbz+bez+vrb++=is
wise ^jj+pred+++=wise,
, ^zz++++=EXTRAWORD
oh ^uh++++=oh
Chamberlain ^np++++=Chamberlain,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
Prince ^nn++++=Prince,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
a ^at++++=a
moment ^nn++++=moment's
's ^$++++=EXTRAWORD
thought ^vbd+++xvbn+=thought;
; ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
by ^in++++=by
turning ^xvbg+++xvbg+=turning
away ^rp+pl+++=away
the ^ati++++=the
impostors ^nns++++=impostors
we ^pp1a+pp1+++=we
shall ^md+prd+++=shall
have ^vb+hv+vrb++=have
gold ^nn++++=gold
enough ^dt++++=enough
for ^in++++=for
the ^ati++++=the
needy ^nn++++=needy.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore
bid ^vb++++=bid
the ^ati++++=the
guards ^nns++++=guards
to ^to++++=to
admit ^vbi+vpub+++=admit
the ^ati++++=the
beggars ^nns++++=beggars
one ^pn++++=one
by ^in++++=by
one ^pn++++=one."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
first ^od++++=first
beggar ^nn++++=beggar
came ^vbd+++xvbn+=came
before ^cs+sub+++=before
him ^pp3o+pp3+++=him
the ^ati++++=the
Prince ^npt++++=Prince
asked ^vbd+vsua++xvbn+=asked,
, ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
in ^in++++=in
need ^nn++++=need?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
starving ^vbg+++xvbgx+=starving,
, ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
Majesty ^nn++++=Majesty,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
man ^nn++++=man,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
whining ^jj+atrb++xvbg+=whining
tone ^nn++++=tone.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
poorly ^rb++splt++=poorly
dressed ^vpsv++agls+xvbnx+=dressed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
seemed ^vbd+seem++xvbn+=seemed
strong ^jj++++=strong
and ^cc++++=and
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Prince ^npt++++=Prince
examined ^vwbn+++xvbn+=examined
him ^pp3o+pp3+++=him
carefully ^rb++++=carefully
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
answered ^vbd+vpub++xvbnx+=answered
the ^ati++++=the
fellow ^jjb++++=fellow,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying,
, ^zz++++=EXTRAWORD
" ^zz++++="Since
since ^cs+sub+++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
starving ^vbg+++xvbgx+=starving,
, ^zz++++=EXTRAWORD
go ^vb++++=go
and ^cc+phrs+++=and
sell ^vb++++=sell
the ^ati++++=the
gold ^nn++++=gold
ring ^nn++++=ring
I ^pp1a+pp1+++=I
see ^vb+vprv+tht0++=see
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
wearing ^vbg+++xvbgx+=wearing
upon ^in++++=upon
your ^pp$+pp2+++=your
finger ^nn++++=finger.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
assist ^vb++++=assist
only ^rb+down+++=only
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
unable ^jj+pred+++=unable
to ^to+jcmp+++=to
help ^vbi++++=help
themselves ^ppls+pp3+++=themselves."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
this ^dt+dem+++=this
the ^ati++++=the
man ^nn++++=man
turned ^vbd+++xvbn+=turned
away ^rb+phrv+++=away
muttering ^nvbg+++xvbg+=muttering
angrily ^rb+cnj+++=angrily,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
courtiers ^nns+nom+++=courtiers
murmured ^vbd+++xvbn+=murmured
their ^pp$+pp3+++=their
approval ^nn+nom+++=approval
of ^in++++=of
the ^ati++++=the
Prince ^np++++=Prince's
's ^$++++=EXTRAWORD
wisdom ^nn++++=wisdom.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
beggar ^nn++++=beggar
was ^vbd+bedz+aux++=was
dressed ^vpsv++agls+xvbnx+=dressed
in ^in++++=in
velvet ^nn++++=velvet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Prince ^npt++++=Prince
sent ^vbd+++xvbn+=sent
him ^pp3o+pp3+++=him
away ^rp+pl+++=away
with ^in++++=with
a ^at++++=a
sharp ^jj+atrb+++=sharp
rebuke ^nn++++=rebuke.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
third ^nn++++=third
was ^vbd+bedz+vrb++=was
a ^at++++=a
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
old ^jj++++=old
and ^cc+phrs+++=and
feeble ^jj++++=feeble,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
blessed ^vbd+++xvbnx+=blessed
the ^ati++++=the
Prince ^npt++++=Prince
as ^ql++++=as
she ^pp3a+pp3+++=she
hobbled ^vbd+++xvbnx+=hobbled
joyfully ^rb++++=joyfully
away ^rp+pl+++=away
with ^in++++=with
a ^at++++=a
broad ^jj+atrb+++=broad
gold ^nn++++=gold-piece
- ^zz++++=EXTRAWORD
piece ^nn++++=EXTRAWORD
clasped ^vbd+++xvbn+=clasped
tightly ^rb++++=tightly
within ^in++++=within
her ^pp$+pp3+++=her
withered ^vbd+++xvbn+=withered
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
told ^vbd+vpub++xvbn+=told
so ^ql+emph+++=so
pitiful ^jj++++=pitiful
a ^at++++=a
story ^nn++++=story
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
also ^rb++++=also
received ^vbd+++xvbn+=received
a ^at++++=a
gold ^nn++++=gold-piece;
- ^zz++++=EXTRAWORD
piece ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^ql++++=as
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
away ^rb+phrv+++=away
the ^ati++++=the
Prince ^nn++++=Prince
saw ^vbd+vprv++xvbn+=saw
that ^tht+vcmp+++=that
beneath ^rb++++=beneath
his ^pp$+pp3+++=his
robe ^nn++++=robe
his ^pp$+pp3+++=his
shoes ^nns++++=shoes
were ^vbd+bed+aux++=were
fastened ^vpsv++agls+xvbnx+=fastened
with ^in++++=with
silver ^nn++++=silver
buckles ^nns++++=buckles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
he ^pp3a+pp3+++=he
commanded ^vbd+vpub++xvbnx+=commanded
the ^ati++++=the
guards ^nns++++=guards
to ^to++++=to
take ^vbi++++=take
away ^rb+phrv+++=away
the ^ati++++=the
gold ^nn++++=gold
and ^cc++++=and
to ^to++++=to
punish ^vbi++++=punish
the ^ati++++=the
man ^nn++++=man
for ^in++++=for
attempting ^vb+++xvbg+=attempting
to ^to+vcmp+++=to
deceive ^vbi++++=deceive
his ^pp$+pp3+++=his
King ^nn++++=King.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
so ^rb++++=so
many ^ap++++=many
came ^vbd+++xvbn+=came
to ^in++++=to
him ^pp3o+pp3+++=him
that ^dt+pdem+++=that
were ^vbd+bed+aux++=were
found ^vpsv++agls+xvbnx+=found
to ^to+vcmp+++=to
be ^vbi++vrb++=be
unworthy ^jj+pred+++=unworthy
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
finally ^rb++++=finally
bade ^vbd+++xvbn+=bade
the ^ati++++=the
guards ^nns++++=guards
proclaim ^vb++++=proclaim
to ^in++++=to
all ^abn++++=all
who ^whp+who+++=who
waited ^vprf+++xvbn+=waited
that ^dt+dem+++=that
any ^dti++++=any
who ^whp+rel+subj++=who
should ^md+nec+++=should
be ^vb+be+aux++=be
found ^vpsv++agls+xvbnx+=found
undeserving ^jj+++xvbg+=undeserving
would ^md+prd+++=would
be ^vb+be+aux++=be
beaten ^vpsv++agls+xvbnx+=beaten
with ^in++++=with
stripes ^nns++++=stripes.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
edict ^nn+++??+=edict
so ^ql+emph+++=so
frightened ^jj+++xvbn+=frightened
the ^ati++++=the
imposters ^nns+nom+++=imposters
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
quickly ^rb++++=quickly
fled ^vbd+++xvbn+=fled,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
only ^rb+down+++=only
those ^dt+dem+++=those
few ^ap++++=few
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
actually ^rb+amp+++=actually
in ^in++++=in
want ^nn++++=want
dared ^vbd+++xvbn+=dared
to ^to+vcmp+++=to
present ^vb++++=present
themselves ^ppls+pp3+++=themselves
before ^in++++=before
the ^ati++++=the
King ^nn++++=King.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
lo ^np++++=lo!
! ^zz++++=EXTRAWORD
The ^ati++++=The
task ^nn++++=task
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
seemed ^vprf+++xvbnx+=seemed
too ^ql++++=too
great ^np++++=great
for ^in++++=for
one ^cd1++++=one
day ^nn++++=day
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed
in ^in++++=in
a ^ap++++=a
few ^ap"++++=few
hours ^nns++++=hours,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
all ^rb++++=all
the ^ati++++=the
needy ^jj++++=needy
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
provided ^vpsv++agls+xvbnx+=provided
for ^in+ppvb+++=for
but ^cc++++=but
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
royal ^jj+atrb+++=royal
coffers ^nns+nom+++=coffers
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
opened ^vpsv++agls+xvbnx+=opened,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
scarcely ^rb+down+++=scarcely
empty ^jj+pred+++=empty!
! ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
think ^vb+vprv+++=think
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Borland ^np+++??+=Borland?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
Prince ^nn++++=Prince,
, ^zz++++=EXTRAWORD
anxiously ^rb+cnj+++=anxiously,
, ^zz++++=EXTRAWORD
" ^zz++++="have
have ^vb+hv+aux++=EXTRAWORD
we ^pp1a+pp1+++=we
done ^vbd+++xvbn+=done
aright ^rb++++=aright?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
learned ^vprf+++xvbnx+=learned,
, ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
Majesty ^nn++++=Majesty,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
the ^ati++++=the
tutor ^nn++++=tutor,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
great ^jj+atrb+++=great
difference ^nn+nom+++=difference
between ^in++++=between
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
beg ^vb++++=beg
and ^cc++++=and
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
suffer ^vb++++=suffer
for ^in++++=for
lack ^nn++++=lack
of ^in++++=of
bread ^nn++++=bread.
. ^zz++++=EXTRAWORD
For ^in+strn+++=For,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
all ^abn++++=all
who ^whp+who+++=who
needed ^vbd+++xvbn+=needed
aid ^nn++++=aid
were ^vbd+bed+vrb++=were
in ^in++++=in
truth ^nn++++=truth
beggars ^nns++++=beggars,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
all ^rb++++=all
the ^ati++++=the
beggars ^nns++++=beggars
needed ^vwbn+++xvbn+=needed
aid ^nn++++=aid;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hereafter ^nn+nom+++=hereafter
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
only ^rb+down+splt++=only
give ^vb++++=give
alms ^nns+++??+=alms
to ^in++++=to
those ^dt+dem+++=those
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
to ^to+vcmp+++=to
be ^vbi++vrb++=be
honestly ^rb++++=honestly
in ^in++++=in
want ^nn++++=want."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+aux++=is
wisely ^rb++splt++=wisely
said ^vpsv++agls+xvbnx+=said,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
friend ^nn++++=friend,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
returned ^vbd+++xvbn+=returned
the ^ati++++=the
Prince ^nn++++=Prince,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
feel ^vb+vprv+tht0++=feel
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
wrong ^jj+pred+++=wrong
to ^to+jcmp+++=to
doubt ^vb++++=doubt
the ^ati++++=the
wisdom ^nn++++=wisdom
of ^in++++=of
my ^pp$+pp1+++=my
father ^nn++++=father's
's ^$++++=EXTRAWORD
councilors ^nns++++=councilors.
. ^zz++++=EXTRAWORD
Go ^vb++++=Go,
, ^zz++++=EXTRAWORD
Borland ^np+++??+=Borland,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ask ^vb++++=ask
the ^ati++++=the
King ^npt++++=King
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
will ^md+prd+++=will
graciously ^rb++splt++=graciously
attend ^vb++++=attend
me ^pp1o+pp1+++=me
here ^rn+pl+++=here."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
King ^npt++++=King
arrived ^vbd+++xvbn+=arrived
and ^cc+phrs+++=and
bowed ^vbd+++xvbn+=bowed
smilingly ^rb++++=smilingly
before ^cs+sub+++=before
the ^ati++++=the
Prince ^npt++++=Prince
whom ^whp+rel+obj++=whom
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
set ^jj+++xvbnx+=set
to ^to+jcmp+++=to
reign ^vb++++=reign
in ^in++++=in
his ^pp$+pp3+++=his
own ^ap++++=own
place ^nn++++=place,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
once ^rb"+tm+++=once
the ^ati++++=the
boy ^nn++++=boy
arose ^vbd+++xvbn+=arose
and ^cc+phrs+++=and
presented ^vbd+++xvbn+=presented
his ^pp$+pp3+++=his
sire ^nn++++=sire
with ^in++++=with
the ^ati++++=the
scepter ^jjr++++=scepter
and ^cc++++=and
crown ^nn++++=crown,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying,
, ^zz++++=EXTRAWORD
" ^zz++++="Forgive
forgive ^vb++++=EXTRAWORD
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
oh ^uh++++=oh
my ^pp$+pp1+++=my
King ^nn++++=King,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
presumed ^vbd+vprv++xvbnx+=presumed
to ^to+vcmp+++=to
doubt ^vb++++=doubt
the ^ati++++=the
wisdom ^nn++++=wisdom
of ^in++++=of
your ^pp$+pp2+++=your
rule ^nn++++=rule.
. ^zz++++=EXTRAWORD
For ^in+strn+++=For,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
sun ^nn++++=sun
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
yet ^rb++++=yet
set ^vwbn+++xvbn+=set,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
all ^abn++++=all
unworthy ^jj++++=unworthy
to ^to++++=to
sit ^vbi++++=sit
in ^in++++=in
your ^pp$+pp2+++=your
place ^nn++++=place,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
I ^pp1a+pp1+++=I
willingly ^rb++++=willingly
resign ^vb++++=resign
my ^pp$+pp1+++=my
power ^nn++++=power
to ^to+ncmp+++=to
your ^pp$+pp2+++=your
more ^rbr++++=more
skillful ^jj+atrb+++=skillful
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
coffers ^nns+nom+++=coffers
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
in ^in++++=in
my ^pp$+pp1+++=my
ignorance ^nn+nom+++=ignorance,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
determined ^jj+++xvbnx+=determined
to ^to+jcmp+++=to
empty ^vbi++++=empty
for ^in++++=for
the ^ati++++=the
benefit ^nn++++=benefit
of ^in++++=of
those ^dt+dem+++=those
unworthy ^jj++++=unworthy,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
still ^rb++++=still
nearly ^rb+down+++=nearly
full ^jj++++=full,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
more ^ql++++=more
than ^cs+sub+++=than
enough ^qlp++++=enough
remains ^nns++++=remains
for ^in++++=for
the ^ati++++=the
expenses ^nns++++=expenses
of ^in++++=of
the ^ati++++=the
carnival ^nn+nom+++=carnival.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore
forgive ^vb++++=forgive
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
father ^nn++++=father,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
learn ^vb+vprv+++=learn
wisdom ^nn++++=wisdom
in ^in++++=in
the ^ati++++=the
future ^nn++++=future
from ^in++++=from
the ^ati++++=the
justness ^nns+nom+++=justness
of ^in++++=of
your ^pp$+pp2+++=your
rule ^nn++++=rule."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
ended ^vbd+++xvbn+=ended
the ^ati++++=the
reign ^nn++++=reign
of ^in++++=of
Prince ^np++++=Prince
Lilimond ^np+++??+=Lilimond
as ^ql++++=as
King ^npt++++=King,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
till ^in++++=till
many ^ap++++=many
years ^nns++++=years
later ^rbr+tm+++=later
did ^vbd+dod+aux++=did
he ^pp3a+pp3+++=he
again ^rb+tm+++=again
ascend ^vb+++??+=ascend
the ^ati++++=the
throne ^nn++++=throne
upon ^in++++=upon
the ^ati++++=the
death ^nn++++=death
of ^in++++=of
his ^pp$+pp3+++=his
father ^nn++++=father.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
really ^rb+emph+++=really
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
much ^ap++++=much
suffering ^jj+++xvbg+=suffering
in ^in++++=in
the ^ati++++=the
kingdom ^nn+nom+++=kingdom
at ^rb++++=at
any ^dti++++=any
time ^nn++++=time,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
prosperous ^jj+atrb+++=prosperous
country ^nn++++=country
and ^cc++++=and
well ^rb++++=well
governed ^vbd+++xvbn+=governed;
; ^zz++++=EXTRAWORD
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
look ^vb++++=look
for ^in++++=for
beggars ^nns++++=beggars
in ^in++++=in
any ^dti++++=any
land ^nn++++=land
you ^pp2+pp2+++=you
will ^md+prd+++=will
find ^vb+vprv+++=find
many ^ap++++=many,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
look ^vb++++=look
only ^rb+down+++=only
for ^in++++=for
the ^ati++++=the
deserving ^jj+++xvbg+=deserving
poor ^jj++++=poor
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
less ^rbr++++=less,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
these ^dt+dem+++=these
all ^abn++++=all
the ^ati++++=the
more ^rbr++++=more
worthy ^jj++++=worthy
of ^in++++=of
succor ^nn++++=succor.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wish ^vb+vprv+++=wish
all ^abn++++=all
those ^dt+dem+++=those
in ^in++++=in
power ^nn++++=power
were ^vbd+bed+vrb++=were
as ^in++++=as
kind ^nn++++=kind-hearted
- ^zz++++=EXTRAWORD
hearted ^jj++++=EXTRAWORD
as ^ql++++=as
little ^ap++++=little
Prince ^npt++++=Prince
Lilimond ^np+++??+=Lilimond,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^in++++=as
ready ^jj++++=ready
to ^to+jcmp+++=to
help ^vbi++++=help
the ^ati++++=the
needy ^jj++++=needy,
, ^zz++++=EXTRAWORD
for ^in++++=for
then ^rn+tm+++=then
there ^ex+pex+++=there
would ^md+prd+++=would
be ^vb+be+vrb++=be
more ^rbr++++=more
light ^jj+atrb+++=light
hearts ^nns++++=hearts
in ^in++++=in
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
" ^zz++++="better
better ^jjr++++=EXTRAWORD
to ^to+jcmp+++=to
give ^vb++++=give
than ^in++++=than
to ^in++++=to
receive ^nn++++=receive."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
