Parable ^nn++++=PARABLE
opinions ^nns++++=opinions
: ^zz++++=:
some ^dti++++=some
decided ^vb+++xvbn+=decided
to ^to+vcmp+++=to
keep ^vbi++++=keep
going ^vbg+++xvbg+=going
straight ^rb++++=straight
ahead ^rb+cnj+++=ahead,
, ^zz++++=EXTRAWORD
the ^ati++++=the
others ^aps++++=others
decided ^vb+++xvbn+=decided
to ^to+vcmp+++=to
make ^vbi++++=make
trials ^nns++++=trials
in ^in++++=in
all ^abn++++=all
directions ^nns+nom+++=directions
; ^zz++++=;
but ^cc+cls+++=but
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
one ^cd1++++=one
man ^nn++++=man
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
without ^in++++=without
sharing ^xvbg+++xvbg+=sharing
either ^dtx++++=either
opinion ^nn++++=opinion,
, ^zz++++=EXTRAWORD
declared ^nn+++xvbn+=declared
that ^tht+ncmp+++=that
before ^in++++=before
continuing ^nn++++=continuing
in ^in++++=in
the ^ati++++=the
direction ^nn+nom+++=direction
in ^in++++=in
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
going ^vbg+++xvbgx+=going,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
beginning ^nvbg+++xvbg+=beginning
to ^to++++=to
move ^vbi++++=move
rapidly ^rb++++=rapidly
in ^in++++=in
all ^abn++++=all
directions ^nns+nom+++=directions,
, ^zz++++=EXTRAWORD
hoping ^vbg+vprv++xvbg+=hoping
that ^tht+vcmp+++=that
by ^in++++=by
this ^dt+dem+++=this
means ^nn++++=means
they ^pp3a+pp3+++=they
might ^md+pos+++=might
find ^vb+vprv+++=find
the ^ati++++=the
right ^jj+atrb+++=right
way ^nn++++=way,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
necessary ^jj+pred+++=necessary
first ^rb++++=first
of ^in++++=of
all ^rb++++=all
to ^to++++=to
pause ^vbi++++=pause
and ^cc++++=and
deliberate ^jj++++=deliberate
on ^in++++=on
their ^pp$+pp3+++=their
situation ^nn+nom+++=situation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
after ^cs+sub+++=after
due ^jj+atrb+++=due
deliberation ^nn+nom+++=deliberation
to ^to++++=to
decide ^vbi+vprv+++=decide
on ^in++++=on
one ^cd1++++=one
thing ^nn++++=thing
or ^cc++++=or
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
travelers ^nns+nom+++=travelers
were ^vbd+bed+aux++=were
so ^ql++++=so
excited ^vpsv++by+xvbn+=excited
by ^in++++=by
the ^ati++++=the
disturbance ^nn+nom+++=disturbance,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
so ^ql+emph+++=so
alarmed ^jj+++xvbn+=alarmed
at ^rb++++=at
their ^pp$+pp3+++=their
situation ^nn+nom+++=situation,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
so ^ql+emph+++=so
desirous ^jj++++=desirous
of ^in++++=of
flattering ^jj++++=flattering
themselves ^ppls+pp3+++=themselves
with ^in++++=with
the ^ati++++=the
hope ^vb++++=hope
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
had ^vb+hv+aux++=had
not ^xnot++not++=not
lost ^vprf+++xvbn+=lost
their ^pp$+pp3+++=their
way ^nn++++=way,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
had ^vb+hv+aux++=had
only ^rb+down+splt++=only
temporarily ^rb++++=temporarily
wandered ^vbd+++xvbn+=wandered
from ^in++++=from
the ^ati++++=the
road ^nn++++=road,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
would ^md+prd+++=would
soon ^rb+tm+splt++=soon
find ^vb+vprv+++=find
it ^pp3+it+++=it
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
above ^jjb++++=above
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
such ^abl++++=such
a ^at++++=a
desire ^nn++++=desire
to ^to+ncmp+++=to
forget ^vbi+vprv+tht0++=forget
their ^pp$+pp3+++=their
terror ^nn++++=terror
by ^in++++=by
moving ^nn++++=moving
about ^in+strn+++=about,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
this ^dt+dem+++=this
opinion ^nn++++=opinion
was ^vbd+bedz+aux++=was
met ^vpsv++agls+xvbnx+=met
with ^in+ppvb+++=with
universal ^jj+atrb+++=universal
indignation ^nn+nom+++=indignation,
, ^zz++++=EXTRAWORD
with ^in++++=with
reproaches ^nns++++=reproaches,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
the ^ati++++=the
ridicule ^nn++++=ridicule
of ^in++++=of
those ^dt+dem+++=those
of ^in++++=of
both ^abx++++=both
parties ^nns++++=parties.
. ^zz++++=EXTRAWORD
" ^zz++++="
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
the ^ati++++=the
advice ^nn++++=advice
of ^in++++=of
weakness ^nns+nom+++=weakness,
, ^zz++++=EXTRAWORD
cowardice ^nn++++=cowardice,
, ^zz++++=EXTRAWORD
sloth ^nn++++=sloth,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
fine ^jj+atrb+++=fine
way ^nn++++=way
to ^to++++=to
reach ^vbi++++=reach
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
our ^pp$+pp1+++=our
journey ^nn++++=journey,
, ^zz++++=EXTRAWORD
sitting ^vbg+++xvbg+=sitting
down ^rb+phrv+++=down
and ^cc++++=and
not ^xnot++not++=not
moving ^jj+++xvbg+=moving
from ^in++++=from
the ^ati++++=the
place ^nn++++=place
! ^zz++++=!
" ^zz++++="
cried ^vbd+++xvbn+=cried
others ^aps++++=others.
. ^zz++++=EXTRAWORD
" ^zz++++="
For ^in++++=For
this ^dt+pdem+++=this
are ^vb+ber+vrb++=are
we ^pp1a+pp1+++=we
men ^nns++++=men,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
this ^dt+pdem+++=this
is ^vbz+bez+aux++=is
strength ^nn++++=strength
given ^vwbn+++xvbn+=given
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
to ^in++++=to
struggle ^nn++++=struggle
and ^cc++++=and
labor ^nn++++=labor,
, ^zz++++=EXTRAWORD
conquering ^jj+atrb++xvbg+=conquering
obstacles ^nns++++=obstacles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
pusillanimously ^jj++++=pusillanimously
giving ^jj+++xvbg+=giving
in ^in++++=in
to ^in++++=to
them ^pp3o+pp3+++=them,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
still ^jj+pred+++=still
others ^aps++++=others.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
what ^wdt+who+++=what
was ^vbd+bedz+aux++=was
said ^vpsv++by+xvbnx+=said
by ^in++++=by
the ^ati++++=the
man ^nn++++=man
that ^tht+rel+subj++=that
differed ^vwbn+++xvbn+=differed
from ^in++++=from
the ^ati++++=the
rest ^nn++++=rest,
, ^zz++++=EXTRAWORD
" ^zz++++="
how ^wrb+who+++=how
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
proceeded ^vbd+++xvbn+=proceeded
in ^in++++=in
a ^at++++=a
wrong ^jj+atrb+++=wrong
direction ^nn+nom+++=direction
without ^in++++=without
changing ^xvbg+++xvbg+=changing
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
should ^md+nec+++=should
never ^rb++splt++=never
attain ^vb++++=attain
our ^pp$+pp1+++=our
goal ^nn++++=goal,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
go ^vb++++=go
farther ^rbr++++=farther
from ^in++++=from
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
we ^pp1a+pp1+++=we
should ^md+nec+++=should
never ^rb++splt++=never
attain ^vb++++=attain
it ^pp3+it+++=it
either ^dtx++++=either
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
kept ^vbd+++xvbn+=kept
flying ^vbg+++xvbg+=flying
from ^in++++=from
one ^cd1++++=one
direction ^nn+nom+++=direction
to ^in++++=to
another ^dt++++=another,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
the ^ati++++=the
only ^rb+down+++=only
means ^nns++++=means
of ^in++++=of
attaining ^j++++=attaining
our ^pp$+pp1+++=our
goal ^nn++++=goal
was ^vbd+bedz+vrb++=was
by ^in++++=by
taking ^xvbg+++xvbg+=taking
observation ^nn+nom+++=observation
from ^in++++=from
the ^ati++++=the
sun ^nn++++=sun
or ^cc++++=or
the ^ati++++=the
stars ^nns++++=stars
and ^cc+cls+++=and
thus ^rb+cnj+++=thus
finding ^vbg+++xvbg+=finding
what ^wdt+who+++=what
direction ^nn+nom+++=direction
we ^pp1a+pp1+++=we
must ^md+nec+++=must
take ^vb++++=take
to ^to+vcmp+++=to
reach ^vbi++++=reach
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
having ^xvbg+++xvbg+=having
chosen ^vprf+++xvbn+=chosen
it ^pp3+it+++=it
to ^to++++=to
stick ^vbi++++=stick
to ^in++++=to
it ^pp3+it+++=it
and ^cc+cls+++=and
how ^wrb+who+++=how
to ^to++++=to
do ^vbi++++=do
this ^dt+dem+++=this
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
necessary ^jj+pred+++=necessary
first ^rb++++=first
of ^in++++=of
all ^rb++++=all
to ^to++++=to
halt ^vbi++++=halt,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
halt ^vbi++++=halt
not ^xnot++not++=not
for ^in++++=for
the ^ati++++=the
purpose ^nn++++=purpose
of ^in++++=of
stopping ^xvbg+++xvbg+=stopping,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^to++++=to
find ^vbi+vprv+++=find
the ^ati++++=the
right ^jj+atrb+++=right
way ^nn++++=way
and ^cc++++=and
then ^rn+tm+++=then
unfalteringly ^jj++++=unfalteringly
to ^to++++=to
go ^vbi++++=go
in ^in++++=in
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
for ^in++++=for
either ^dtx++++=either
case ^nn++++=case
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
stop ^vbi++++=stop
and ^cc+phrs+++=and
consider ^nn+nom+++=consider"
" ^zz++++=EXTRAWORD
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
all ^abn++++=all
this ^dt+dem+++=this
argument ^nn+nom+++=argument,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
refused ^vbd+++xvbnx+=refused
to ^to+vcmp+++=to
heed ^vb++++=heed
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
first ^od++++=first
division ^nn++++=division
of ^in++++=of
the ^ati++++=the
travelers ^nns+nom+++=travelers
went ^vbd+++xvbn+=went
off ^rp+pl+++=off
in ^in++++=in
the ^ati++++=the
direction ^nn+nom+++=direction
in ^in++++=in
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
going ^vbg+++xvbgx+=going,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
second ^od++++=second
division ^nn++++=division
kept ^vbd+++xvbn+=kept
changing ^jj+++xvbg+=changing
their ^pp$+pp3+++=their
course ^nn++++=course
; ^zz++++=;
but ^cc+cls+++=but
neither ^dt++neg++=neither
division ^nn++++=division
succeeded ^vbd+++xvbn+=succeeded
in ^in++++=in
attaining ^j++++=attaining
their ^pp$+pp3+++=their
journey ^nn++++=journey's
's ^$++++=EXTRAWORD
end ^nn++++=end,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
present ^jj+atrb+++=present
time ^nn++++=time,
, ^zz++++=EXTRAWORD
moreover ^nn+nom+++=moreover,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
not ^xnot++not++=not
yet ^rb++++=yet
escaped ^vprf+++xvbn+=escaped
from ^in++++=from
the ^ati++++=the
bushes ^nns++++=bushes
and ^cc++++=and
the ^ati++++=the
briers ^nn++++=briers,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
are ^vb+ber+aux++=are
still ^rb++splt++=still
lost ^vpsv++agls+xvbnx+=lost.
. ^zz++++=EXTRAWORD
Exactly ^rb++++=Exactly
the ^ati++++=the
same ^ap++++=same
thing ^nn++++=thing
happened ^vbd+++xvbn+=happened
to ^to+vcmp+++=to
me ^pp1o+pp1+++=me
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
attempted ^vbd+++xvbnx+=attempted
to ^to+vcmp+++=to
express ^nns+nom+++=express
my ^pp$+pp1+++=my
doubts ^nns++++=doubts
as ^in++++=as
to ^in"++++=to
whether ^cs+who+++=whether
the ^ati++++=the
road ^nn++++=road
which ^whp+rel+obj++=which
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
taken ^vprf+++xvbnx+=taken
through ^in++++=through
the ^ati++++=the
dark ^jj+atrb+++=dark
forest ^nn++++=forest
of ^in++++=of
the ^ati++++=the
labor ^nn++++=labor
question ^nn+nom+++=question
and ^cc++++=and
through ^in++++=through
the ^ati++++=the
all ^abn++++=all-swallowing
- ^zz++++=EXTRAWORD
swallowing ^nn++++=EXTRAWORD
bog ^nn++++=bog
of ^in++++=of
the ^ati++++=the
endless ^jj+atrb+++=endless
armament ^nn+nom+++=armament
of ^in++++=of
the ^ati++++=the
nations ^nns+nom+++=nations
is ^vbz+bez+vrb++=is
exactly ^rb++++=exactly
the ^ati++++=the
right ^jj+atrb+++=right
route ^nn++++=route
by ^in++++=by
which ^whp+rel+pied++=which
we ^pp1a+pp1+++=we
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
go ^vb++++=go,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
possible ^jj++++=possible
that ^tht+jcmp+++=that
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
lost ^vprf+++xvbnx+=lost
our ^pp$+pp1+++=our
way ^nn++++=way,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
might ^md+pos+++=might
be ^vb+be+vrb++=be
well ^rb++++=well
for ^in++++=for
us ^pp1o+pp1+++=us
for ^in++++=for
a ^at++++=a
time ^nn++++=time
to ^to++++=to
stop ^vbi++++=stop
moving ^jj+++xvbg+=moving
in ^cs+sub+++=in
that ^cs"++++=that
direction ^nn+nom+++=direction
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
evidently ^rb++++=evidently
wrong ^jj+pred+++=wrong,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
first ^rb++++=first
of ^in++++=of
all ^rb++++=all
to ^to++++=to
consider ^nn+nom+++=consider,
, ^zz++++=EXTRAWORD
by ^in++++=by
means ^in"++++=means
of ^in"++++=of
the ^ati++++=the
universal ^jj+atrb+++=universal
and ^cc+phrs+++=and
eternal ^jj+atrb+++=eternal
laws ^nns++++=laws
of ^in++++=of
truth ^nn++++=truth
revealed ^vbd+vprv++xvbn+=revealed
to ^in++++=to
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
the ^ati++++=the
direction ^nn+nom+++=direction
is ^vbz+bez+vrb++=is
by ^in++++=by
which ^whp+rel+pied++=which
we ^pp1a+pp1+++=we
intend ^vb++++=intend
to ^to+vcmp+++=to
go ^vbi++++=go.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
replied ^vbd+vpub++xvbn+=replied
to ^in++++=to
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
a ^at++++=a
person ^nn++++=person
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="
We ^pp1a+pp1+++=We
are ^vb+ber+aux++=are
not ^xnot++not++=not
mistaken ^vbd+++xvbn+=mistaken
in ^in++++=in
our ^pp$+pp1+++=our
direction ^nn+nom+++=direction
and ^cc++++=and
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
not ^xnot++not++=not
gone ^vprf+++xvbn+=gone
astray ^rb++++=astray
; ^zz++++=;
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
sure ^jj+pred+++=sure
of ^in++++=of
this ^dt+dem+++=this
for ^in++++=for
this ^dt+dem+++=this
reason ^nn++++=reason
and ^cc++++=and
for ^in++++=for
that ^dt+pdem+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
a ^at++++=a
person ^nn++++=person
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="
Possibly ^rb++++=Possibly
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
mistaken ^vpsv++agls+xvbnx+=mistaken,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
an ^at++++=an
infallible ^jj+atrb+++=infallible
means ^nn++++=means
of ^in++++=of
correcting ^xvbg+++xvbg+=correcting
our ^pp$+pp1+++=our
error ^nn++++=error
without ^in++++=without
ceasing ^xvbg+++xvbg+=ceasing
to ^to++++=to
move ^vbi++++=move."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
said ^vbd+vpub++xvbn+=said
either ^dtx++++=either
the ^ati++++=the
one ^cd1++++=one
thing ^nn++++=thing
or ^cc++++=or
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
all ^rb++++=all
were ^vbd+bed+vrb++=were
indignant ^jj+pred+++=indignant,
, ^zz++++=EXTRAWORD
took ^jj+atrb++xvbn+=took
offense ^nn+++??+=offense,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hastened ^vbd+++xvbn+=hastened
to ^to++++=to
quench ^vbi++++=quench
my ^pp$+pp1+++=my
solitary ^jj+atrb+++=solitary
voice ^nn++++=voice
with ^in++++=with
a ^at++++=a
simultaneous ^jj+atrb+++=simultaneous
outburst ^nn++++=outburst.
. ^zz++++=EXTRAWORD
" ^zz++++="
We ^pp1a+pp1+++=We
are ^vb+ber+vrb++=are
so ^ql+emph+++=so
indolent ^jj++++=indolent
and ^cc+phrs+++=and
backward ^jj++++=backward
! ^zz++++=!
And ^cc+cls+++=And
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
the ^ati++++=the
advice ^nn++++=advice
of ^in++++=of
indolence ^nn+nom+++=indolence,
, ^zz++++=EXTRAWORD
sluggishness ^nns+nom+++=sluggishness,
, ^zz++++=EXTRAWORD
inefficiency ^nn++++=inefficiency
! ^zz++++=!
" ^zz++++="
Some ^dti++++=Some
even ^rb++++=even
went ^vbd+++xvbn+=went
so ^rb++++=so
far ^rb+pl+++=far
as ^in++++=as
to ^in"++++=to
add ^vb+vpub+++=add
: ^zz++++=:
" ^zz++++="
It ^pp3+it+++=It
' ^zz++++='s
s ^zz++++=EXTRAWORD
all ^abn++++=all
nonsense ^nn++++=nonsense
! ^zz++++=!
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
listen ^vb++++=listen
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Follow ^vb+vprv+++=Follow
us ^pp1o+pp1+++=us."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
they ^pp3a+pp3+++=they
shouted ^vbd+vpub++xvbnx+=shouted
like ^in++++=like
those ^dt+dem+++=those
that ^dt+pdem+++=that
reckon ^vb+vprv+++=reckon
that ^tht+vcmp+++=that
salvation ^nn+nom+++=salvation
is ^vbz+bez+aux++=is
to ^to++++=to
be ^vbi+vbi+aux++=be
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
unchangedly ^jj+atrb+++=unchangedly
traveling ^nn+nom+++=traveling
a ^at++++=a
once ^rb+tm+++=once
selected ^vwbn+++xvbn+=selected
road ^npl++++=road,
, ^zz++++=EXTRAWORD
whatever ^nn+nom+++=whatever
it ^pp3+it+++=it
may ^md+pos+++=may
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
; ^zz++++=;
like ^in++++=like
those ^dt+dem+++=those
also ^rb++++=also
that ^cs+sub+++=that
expect ^vb+vprv+++=expect
to ^to+vcmp+++=to
find ^vbi+vprv+++=find
salvation ^nn+nom+++=salvation
in ^in++++=in
flying ^nn++++=flying
about ^in++++=about
in ^in++++=in
all ^abn++++=all
directions ^nns+nom+++=directions.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
wait ^nn++++=wait?
? ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why
consider ^nn+nom+++=consider?
? ^zz++++=EXTRAWORD
Push ^vb++++=Push
forward ^rb++++=forward!
! ^zz++++=EXTRAWORD
Everything ^pn++++=Everything
will ^md+prd+++=will
come ^vb++++=come
out ^rb+phrv+++=out
of ^in+ppvb+++=of
itself ^ppl++++=itself
! ^zz++++=!
" ^zz++++="
Men ^nns++++=Men
have ^vb+hv+aux++=have
lost ^vprf+++xvbnx+=lost
their ^pp$+pp3+++=their
way ^nn++++=way
and ^cc++++=and
are ^vb+ber+aux++=are
suffering ^vbg+++xvbgx+=suffering
in ^rb++++=in
consequence ^nn+nom+++=consequence.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
would ^md+prd+++=would
seem ^vb+seem+++=seem
that ^tht+vcmp+++=that
the ^ati++++=the
first ^od++++=first
main ^jjb+atrb+++=main
application ^nn+nom+++=application
of ^in++++=of
energy ^nn++++=energy
which ^whp+rel+subj++=which
should ^md+nec+++=should
be ^vb+be+aux++=be
put ^vpsv++agls+xvbnx+=put
forth ^np++++=forth
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
directed ^vbd+++xvbn+=directed,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
to ^in++++=to
the ^ati++++=the
confirmation ^nn+nom+++=confirmation
of ^in++++=of
the ^ati++++=the
movement ^nn+nom+++=movement
that ^tht+rel+subj++=that
has ^vbz+hvz+aux++=has
seduced ^vprf+++xvbnx+=seduced
us ^pp1o+pp1+++=us
into ^in++++=into
the ^ati++++=the
false ^jj+atrb+++=false
position ^nn+nom+++=position
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^in++++=to
the ^ati++++=the
cessation ^nn+nom+++=cessation
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
would ^md+prd+++=would
seem ^vb+seem+++=seem
clear ^jj++++=clear
that ^tht+jcmp+++=that
as ^ql++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
we ^pp1a+pp1+++=we
stopped ^vbd+++xvbn+=stopped
we ^pp1a+pp1+++=we
might ^md+pos+++=might,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
measure ^nn++++=measure,
, ^zz++++=EXTRAWORD
comprehend ^nn+++??+=comprehend
our ^pp$+pp1+++=our
situation ^nn+nom+++=situation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
discover ^nn+nom+++=discover
the ^ati++++=the
direction ^nn+nom+++=direction
in ^in++++=in
which ^whp+rel+pied++=which
we ^pp1a+pp1+++=we
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
go ^vb++++=go
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
attain ^vb++++=attain
true ^jj+atrb+++=true
happiness ^nns+nom+++=happiness,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
for ^in++++=for
one ^cd1++++=one
man ^nn++++=man,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
for ^in++++=for
one ^cd1++++=one
class ^nn++++=class
of ^in++++=of
men ^nns++++=men,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
general ^jj++++=general
good ^jj++++=good
of ^in++++=of
humanity ^nn+nom+++=humanity
toward ^in++++=toward
which ^whp+rel+pied++=which
all ^abn++++=all
men ^nns++++=men
are ^vb+ber+aux++=are
striving ^vbg+++xvbgx+=striving
and ^cc++++=and
every ^at++++=every
human ^jj+atrb+++=human
heart ^nn++++=heart
by ^in++++=by
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
how ^wrb+who+whq++=how
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
? ^zz++++=?
Men ^nns++++=Men
invent ^vb++++=invent
everything ^pn++++=everything
possible ^jj++++=possible,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
do ^vb+do+vrb++=do
not ^xnot++not++=not
hit ^nn+++xvbn+=hit
upon ^in++++=upon
the ^ati++++=the
one ^cd1++++=one
thing ^nn++++=thing
that ^tht+rel+subj++=that
might ^md+pos+++=might
prove ^vb+vprv+++=prove
their ^pp$+pp3+++=their
salvation ^nn+nom+++=salvation,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
if ^cs+cnd+++=if
it ^pp3+it+++=it
did ^vbd+dod+aux++=did
not ^xnot++not++=not
do ^vb+do+vrb++=do
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
at ^rb++splt++=at
least ^rb"++++=least
ameliorate ^nn+nom+++=ameliorate
their ^pp$+pp3+++=their
condition ^nn+nom+++=condition
; ^zz++++=;
I ^pp1a+pp1+++=I
mean ^jj++++=mean,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
should ^md+nec+++=should
pause ^vb++++=pause
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
and ^cc++++=and
not ^xnot++not++=not
go ^vb++++=go
on ^in++++=on
increasing ^xvbg+++xvbg+=increasing
their ^pp$+pp3+++=their
misfortunes ^nns++++=misfortunes
by ^in++++=by
their ^pp$+pp3+++=their
fallacious ^jj+atrb+++=fallacious
activity ^nn+nom+++=activity.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
are ^vb+ber+vrb++=are
conscious ^jj+pred+++=conscious
of ^in++++=of
the ^ati++++=the
wretchedness ^nns+nom+++=wretchedness
of ^in++++=of
their ^pp$+pp3+++=their
condition ^nn+nom+++=condition,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
are ^vb+ber+aux++=are
doing ^vbg+++xvbgx+=doing
all ^abn++++=all
they ^pp3a+pp3+++=they
can ^md+pos+++=can
