( ^zz++++=(1854)SKETCH
yet ^rb++++=yet
distorted ^vbd+++xvbn+=distorted
like ^in++++=like
those ^dt+pdem+++=those
sometimes ^rb++++=sometimes
found ^vbd+vprv++xvbn+=found
in ^in++++=in
the ^ati++++=the
bark ^nn++++=bark
ofvery ^nn++++=ofvery
hoary ^nn++++=hoary
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
seemed ^vbd+seem++xvbnx+=seemed
an ^at++++=an
antiquary ^nn+nom+++=antiquary
of ^in++++=of
a ^at++++=a
geologist ^nn+nom+++=geologist,
, ^zz++++=EXTRAWORD
studying ^vbg+++xvbg+=studying
thebird ^nn+++??+=thebird-tracks
- ^zz++++=EXTRAWORD
tracks ^nns++++=EXTRAWORD
and ^cc++++=and
ciphers ^nns+nom+++=ciphers
upon ^in++++=upon
the ^ati++++=the
exhumed ^jj+atrb+++=exhumed
slates ^nns++++=slates
trod ^vwbn+++xvbn+=trod
by ^in++++=by
incrediblecreatures ^vbz+++??+=incrediblecreatures
whose ^whp+who+++=whose
very ^ql+amp+++=very
ghosts ^nns++++=ghosts
are ^vb+ber+vrb++=are
now ^rn+tm+++=now
defunct ^nn+++??+=defunct.
. ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
lay ^vbd+++xvbnx+=lay
in ^in++++=in
my ^pp$+pp1+++=my
hammock ^nn+++??+=hammock
that ^tht+rel+++=that
night ^nn++++=night,
, ^zz++++=EXTRAWORD
overhead ^jjb++++=overhead
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
the ^ati++++=the
slow ^jj+atrb+++=slow
wearydraggings ^nns+++??+=wearydraggings
of ^in++++=of
the ^ati++++=the
three ^cd++++=three
ponderous ^jj+atrb+++=ponderous
strangers ^nns+nom+++=strangers
along ^in++++=along
the ^ati++++=the
encumbered ^jj+atrb++xvbn+=encumbered
deck.their ^nn+++??+=deck.Their
stupidity ^nn+nom+++=stupidity
or ^cc++++=or
their ^pp$+pp3+++=their
resolution ^nn+nom+++=resolution
was ^vbd+bedz+vrb++=was
so ^ql++++=so
great ^np++++=great,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
never ^rb++++=never
wentaside ^nn+++??+=wentaside
for ^in++++=for
any ^dti++++=any
impediment ^nn+nom+++=impediment.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
ceased ^vprf+++xvbn+=ceased
his ^pp$+pp3+++=his
movements ^nns+nom+++=movements
altogether ^nn+nom+++=altogether
justbefore ^vb+++??+=justbefore
the ^ati++++=the
mid ^jjb++++=mid-watch.
- ^zz++++=EXTRAWORD
watch ^vb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
At ^in++++=At
sunrise ^nn++++=sunrise
I ^pp1a+pp1+++=I
found ^vbd+vprv+tht0+xvbnx+=found
him ^pp3o+pp3+++=him
butted ^vbd+++xvbn+=butted
like ^in++++=like
a ^at++++=a
battering ^jj+++xvbg+=battering-ramagainst
- ^zz++++=EXTRAWORD
ramagainst ^nn+++??+=EXTRAWORD
the ^ati++++=the
immovable ^jj+atrb+++=immovable
foot ^nn++++=foot
of ^in++++=of
the ^ati++++=the
foremast ^nn+++??+=foremast,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
still ^rb+atrb+++=still
striving ^nvbg+++xvbg+=striving,
, ^zz++++=EXTRAWORD
toothand ^nn+++??+=toothand
nail ^vb++++=nail,
, ^zz++++=EXTRAWORD
to ^in++++=to
force ^nn++++=force
the ^ati++++=the
impossible ^jj+atrb+++=impossible
passage ^nn+nom+++=passage.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
these ^dt+dem+++=these
tortoises ^nns++++=tortoises
are ^vb+ber+vrb++=are
thevictims ^nns+++??+=thevictims
of ^in++++=of
a ^at++++=a
penal ^jj++++=penal,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
malignant ^jj++++=malignant,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
perhaps ^rb++++=perhaps
a ^at++++=a
downright ^rb++++=downright
diabolicalenchanter ^jjr++++=diabolicalenchanter,
, ^zz++++=EXTRAWORD
seems ^vbz+seem+++=seems
in ^in++++=in
nothing ^pn++++=nothing
more ^rbr++++=more
likely ^jj++++=likely
than ^in++++=than
in ^cs+sub+++=in
that ^cs"++++=that
strange ^jj+atrb+++=strange
infatuationof ^nn+++??+=infatuationof
hopeless ^jj+atrb+++=hopeless
toil ^nn++++=toil
which ^whp+rel+obj++=which
so ^rb++++=so
often ^rb++++=often
possesses ^nns+nom+++=possesses
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
known ^vprf+++xvbnx+=known
them ^pp3o+pp3+++=them
intheir ^nn+++??+=intheir
journeyings ^nns+++??+=journeyings
ram ^vb++++=ram
themselves ^ppls+pp3+++=themselves
heroically ^rb++++=heroically
against ^in++++=against
rocks ^nns++++=rocks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
longabide ^nn+++??+=longabide
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
nudging ^vbg+++xvbg+=nudging,
, ^zz++++=EXTRAWORD
wriggling ^vbg+nom++xvbg+=wriggling,
, ^zz++++=EXTRAWORD
wedging ^vbg+++xvbg+=wedging,
, ^zz++++=EXTRAWORD
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
displace ^vb++++=displace
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
andso ^nn+++??+=andso
hold ^nn++++=hold
on ^in++++=on
their ^pp$+pp3+++=their
inflexible ^jj+atrb+++=inflexible
path ^nn++++=path.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
crowning ^jj+atrb+++=crowning
curse ^nn++++=curse
is ^vbz+bez+vrb++=is
their ^pp$+pp3+++=their
drudgingimpulse ^nn+++??+=drudgingimpulse
to ^in++++=to
straightforwardness ^nns+nom+++=straightforwardness
in ^in++++=in
a ^at++++=a
belittered ^jj+atrb++xvbn+=belittered
world ^nn++++=world.
. ^zz++++=EXTRAWORD
Meeting ^nvbg+++xvbg+=Meeting
with ^in++++=with
no ^at++++=no
such ^abl++++=such
hinderance ^nn+nom+++=hinderance
as ^in++++=as
their ^pp$+pp3+++=their
companion ^nn++++=companion
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
the ^ati++++=the
othertortoises ^vbz++++=othertortoises
merely ^rb+down+++=merely
fell ^vbd+++xvbn+=fell
foul ^jj++++=foul
of ^in++++=of
small ^jj+atrb+++=small
stumbling-blocks ^nns+++??+=stumbling-blocks--buckets,
-- ^--+clp+++=EXTRAWORD
buckets ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
blocks,and ^nn+++??+=blocks,and
coils ^nns++++=coils
of ^in++++=of
rigging ^nn++++=rigging--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
at ^rb++++=at
times ^nns++++=times
in ^in++++=in
the ^ati++++=the
act ^nn++++=act
of ^in++++=of
crawling ^nn++++=crawling
over ^in++++=over
themwould ^nn+++??+=themwould
slip ^vb++++=slip
with ^in++++=with
an ^at++++=an
astounding ^nn++++=astounding
rattle ^vb++++=rattle
to ^in++++=to
the ^ati++++=the
deck ^nn++++=deck.
. ^zz++++=EXTRAWORD
Listening ^jj+++xvbg+=Listening
to ^in++++=to
thesedraggings ^nns+++??+=thesedraggings
and ^cc++++=and
concussions ^nns+++??+=concussions,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
me ^pp1o+pp1+++=me
of ^in++++=of
the ^ati++++=the
haunt ^nn++++=haunt
from ^in++++=from
which ^whp+rel+pied++=which
theycame ^nn+++??+=theycame;
; ^zz++++=EXTRAWORD
an ^at++++=an
isle ^nn++++=isle
full ^jj++++=full
of ^in++++=of
metallic ^jj+atrb+++=metallic
ravines ^nns+++??+=ravines
and ^cc++++=and
gulches ^nns+++??+=gulches,
, ^zz++++=EXTRAWORD
sunk ^jj+atrb++xvbn+=sunk
bottomlesslyinto ^nn+++??+=bottomlesslyinto
the ^ati++++=the
hearts ^nns++++=hearts
of ^in++++=of
splintered ^vbd+++xvbn+=splintered
mountains ^npl++++=mountains,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
covered ^vpsv++agls+xvbn+=covered
for ^in++++=for
many ^ap++++=many
mileswith ^nn+++??+=mileswith
inextricable ^jj+atrb+++=inextricable
thickets ^nns+++??+=thickets.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
then ^rn+tm+++=then
pictured ^vbd+++xvbn+=pictured
these ^dt+dem+++=these
three ^cd++++=three
straight ^rb++++=straight-forwardmonsters,
- ^zz++++=EXTRAWORD
forwardmonsters ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
century ^nn++++=century
after ^in++++=after
century ^nn++++=century,
, ^zz++++=EXTRAWORD
writhing ^jj++++=writhing
through ^in++++=through
the ^ati++++=the
shades ^nns++++=shades,
, ^zz++++=EXTRAWORD
grim ^jj+atrb+++=grim
asblacksmiths ^nns+++??+=asblacksmiths;
; ^zz++++=EXTRAWORD
crawling ^jj+++xvbg+=crawling
so ^ql++++=so
slowly ^rb++++=slowly
and ^cc++++=and
ponderously ^jj++++=ponderously,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
not ^xnot++not++=not
only ^rb+down+++=only
didtoad ^vb+++??+=didtoad-stools
- ^zz++++=EXTRAWORD
stools ^nns++++=EXTRAWORD
and ^cc++++=and
all ^abn++++=all
fungus ^nns+++??+=fungus
things ^nns++++=things
grow ^vb++++=grow
beneath ^in+pl+++=beneath
their ^pp$+pp3+++=their
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
sootymoss ^nn++++=sootymoss
sprouted ^vbd+++xvbn+=sprouted
upon ^in++++=upon
their ^pp$+pp3+++=their
backs ^nns++++=backs.
. ^zz++++=EXTRAWORD
With ^in++++=With
them ^pp3o+pp3+++=them
I ^pp1a+pp1+++=I
lost ^vbd+++xvbnx+=lost
myself ^ppl+pp1+++=myself
in ^in++++=in
volcanicmazes ^nns+++??+=volcanicmazes;
; ^zz++++=EXTRAWORD
brushed ^j+++xvbn+=brushed
away ^rp+pl+++=away
endless ^jj+atrb+++=endless
boughs ^nns++++=boughs
of ^in++++=of
rotting ^jj+atrb+++=rotting
thickets ^nns+++??+=thickets;
; ^zz++++=EXTRAWORD
till ^cs+sub+++=till
finally ^rb++++=finally
ina ^nn+++??+=ina
dream ^nn++++=dream
I ^pp1a+pp1+++=I
found ^vbd+vprv+tht0+xvbnx+=found
myself ^ppl+pp1+++=myself
sitting ^xvbg+++xvbg+=sitting
crosslegged ^vwbn+++xvbn+=crosslegged
upon ^in++++=upon
the ^ati++++=the
foremost ^jj++++=foremost,
, ^zz++++=EXTRAWORD
a ^at++++=a
Brahminsimilarly ^np+++??+=Brahminsimilarly
mounted ^vbd+++xvbn+=mounted
upon ^in++++=upon
either ^dtx++++=either
side ^nn++++=side,
, ^zz++++=EXTRAWORD
forming ^vbg+++xvbg+=forming
a ^at++++=a
tripod ^nn++++=tripod
of ^in++++=of
foreheads ^nns++++=foreheads
whichupheld ^nn+++??+=whichupheld
the ^ati++++=the
universal ^nn+nom+++=universal
cope ^vb++++=cope.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
was ^vbd+bedz+vrb++=was
the ^ati++++=the
wild ^jj+atrb+++=wild
nightmare ^nn++++=nightmare
begot ^nn+++??+=begot
by ^in++++=by
my ^pp$+pp1+++=my
first ^od++++=first
impression ^nn++++=impression
of ^in++++=of
theencantadas ^nns+++??+=theEncantadas
tortoise ^vb++++=tortoise.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
next ^ap++++=next
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
strange ^jj++++=strange
to ^to++++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sat ^vbd+++xvbnx+=sat
down ^rb+phrv+++=down
withmy ^nn+++??+=withmy
shipmates ^nns+nom+++=shipmates,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vbd+++xvbn+=made
a ^at++++=a
merry ^jj+atrb+++=merry
repast ^nn++++=repast
from ^in++++=from
tortoise ^vb++++=tortoise
steaks ^nns++++=steaks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tortoisestews ^nns+++??+=tortoisestews;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
supper ^nn++++=supper
over ^in+strn+++=over,
, ^zz++++=EXTRAWORD
out ^rp+pl+++=out
knife ^nn++++=knife,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
helped ^vprf+++xvbn+=helped
convert ^vb++++=convert
the ^ati++++=the
three ^cd++++=three
mightyconcave ^nn+++??+=mightyconcave
shells ^nps++++=shells
into ^in++++=into
three ^cd++++=three
fanciful ^jj+atrb+++=fanciful
soup ^nn++++=soup-tureens,
- ^zz++++=EXTRAWORD
tureens ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
polished ^jj++++=polished
the ^ati++++=the
threeflat ^nn+++??+=threeflat
yellowish ^jj+atrb+++=yellowish
calipees ^nns+nom+++=calipees
into ^in++++=into
three ^cd++++=three
gorgeous ^jj+atrb+++=gorgeous
salvers ^nns+nom+++=salvers.
. ^zz++++=EXTRAWORD
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
*sketch ^nn+++??+=*SKETCH
Third ^od++++=THIRD.
. ^zz++++=EXTRAWORD
Rock ^npl++++=ROCK
Rodondo ^np+++??+=RODONDO.
. ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
they ^pp3a+pp3+++=they
this ^dt+dem+++=this
tight ^nn++++=tight
the ^ati++++=the
Rock ^nn++++=Rock
of ^in++++=of
vile ^jj+atrb+++=vile
Reproach ^nn++++=Reproach,
, ^zz++++=EXTRAWORD
A ^at++++=A
dangerous ^jj+atrb+++=dangerous
and ^cc+phrs+++=and
dreadful ^jj+atrb+++=dreadful
place ^nn++++=place,
, ^zz++++=EXTRAWORD
To ^to++++=To
which ^whp+who+++=which
nor ^cc++neg++=nor
fish ^nn++++=fish
nor ^cc++neg++=nor
fowl ^nn+++??+=fowl
did ^vbd+dod+vrb++=did
once ^rb+tm+++=once
approach ^nn++++=approach,
, ^zz++++=EXTRAWORD
But ^cc+cls+++=But
yelling ^vbg+nom++xvbg+=yelling
meaws ^nns+++??+=meaws
with ^in++++=with
sea ^nn++++=sea-gulls
- ^zz++++=EXTRAWORD
gulls ^nns++++=EXTRAWORD
hoars ^nns+++??+=hoars
and ^cc++++=and
bace ^nn+++??+=bace
And ^cc++++=And
cormoyrants ^nns+nom+++=cormoyrants
with ^in++++=with
birds ^nns++++=birds
of ^in++++=of
ravenous ^jj+atrb+++=ravenous
race ^nn++++=race,
, ^zz++++=EXTRAWORD
Which ^whp+rel+subj++=Which
still ^rb++++=still
sit ^vb++++=sit
waiting ^vbg+++xvbg+=waiting
on ^in+ppvb+++=on
that ^dt+dem+++=that
dreadful ^jj+atrb+++=dreadful
clift ^nn+++??+=clift."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
" ^zz++++="With
with ^in++++=EXTRAWORD
that ^dt+dem+++=that
the ^ati++++=the
rolling ^jj+++xvbg+=rolling
sea ^npl++++=sea
resounding ^jj++++=resounding
soft ^jj++++=soft
In ^in++++=In
his ^pp$+pp3+++=his
big ^jj+atrb+++=big
base ^nn++++=base
them ^pp3o+pp3+++=them
fitly ^jj++++=fitly
answered ^jj+++xvbn+=answered,
, ^zz++++=EXTRAWORD
And ^cc+cls+++=And
on ^in++++=on
the ^ati++++=the
Rock ^nn++++=Rock,
, ^zz++++=EXTRAWORD
the ^ati++++=the
waves ^nns++++=waves
breaking ^vwbg+++xvbg+=breaking
aloft ^rb+cnj+++=aloft,
, ^zz++++=EXTRAWORD
A ^at++++=A
solemn ^jj+atrb+++=solemn
ineane ^nn+++??+=ineane
unto ^in++++=unto
them ^pp3o+pp3+++=them
measured ^vbd+++xvbn+=measured."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
he ^pp3a+pp3+++=he
the ^ati++++=the
boteman ^jj+atrb+++=boteman
bad ^jj+atrb+++=bad
row ^nn++++=row
easily ^rb+cnj+++=easily,
, ^zz++++=EXTRAWORD
And ^cc+cls+++=And
let ^vb+++xvbn+=let
him ^pp3o+pp3+++=him
heare ^nn+++??+=heare
some ^dti++++=some
part ^nn++++=part
of ^in++++=of
that ^dt+dem+++=that
rare ^jj+atrb+++=rare
melody ^nn++++=melody."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
" ^zz++++="Suddeinly
suddeinly ^jj++++=EXTRAWORD
an ^at++++=an
innumerable ^jj+atrb+++=innumerable
flight ^nn++++=flight
Of ^in++++=Of
harmefull ^nn+++??+=harmefull
fowles ^nns+++??+=fowles
about ^rb++++=about
them ^pp3o+pp3+++=them
fluttering ^vbg+++xvbg+=fluttering
cride ^nn+++??+=cride,
, ^zz++++=EXTRAWORD
And ^cc+cls+++=And
with ^in++++=with
their ^pp$+pp3+++=their
wicked ^jj+atrb+++=wicked
wings ^nns++++=wings
them ^pp3o+pp3+++=them
oft ^rb++++=oft
did ^vbd+dod+vrb++=did
smight ^nn+++??+=smight
And ^cc++++=And
sore ^jj++++=sore
annoyed ^jj++++=annoyed,
, ^zz++++=EXTRAWORD
groping ^vbg+++xvbg+=groping
in ^cs+sub+++=in
that ^cs"++++=that
griesly ^jj+atrb+++=griesly
night ^nn++++=night."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
" ^zz++++="Even
even ^rb++++=EXTRAWORD
all ^abn++++=all
the ^ati++++=the
nation ^nn++++=nation
of ^in++++=of
unfortunate ^jj+atrb+++=unfortunate
And ^cc+phrs+++=And
fatal ^jj+atrb+++=fatal
birds ^nns++++=birds
about ^rb++++=about
them ^pp3o+pp3+++=them
flocked ^vbd+++xvbn+=flocked
were ^vbd+bed+vrb++=were."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
To ^to++++=To
go ^vbi++++=go
up ^rp++++=up
into ^in++++=into
a ^at++++=a
high ^jj+atrb+++=high
stone ^nn++++=stone
tower ^nn++++=tower
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
only ^rb+down+++=only
a ^at++++=a
very ^ql+amp+++=very
fine ^jj+atrb+++=fine
thing ^nn++++=thing
initself ^nn+++??+=initself,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
very ^ql+amp+++=very
best ^jjt+atrb+++=best
mode ^nn++++=mode
of ^in++++=of
gaining ^xvbg+++xvbg+=gaining
a ^at++++=a
comprehensive ^jj+atrb+++=comprehensive
view ^nn++++=view
of ^in++++=of
theregion ^nn+++??+=theregion
round ^in++++=round
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
all ^abn++++=all
the ^ati++++=the
better ^jjr++++=better
if ^cs+cnd+++=if
this ^dt+dem+++=this
tower ^nn++++=tower
stand ^vb++++=stand
solitaryand ^nn+++??+=solitaryand
alone ^rb+cnj+++=alone,
, ^zz++++=EXTRAWORD
like ^in++++=like
that ^dt+dem+++=that
mysterious ^jj+atrb+++=mysterious
Newport ^np++++=Newport
one ^pn++++=one,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
else ^rb+cnj+++=else
be ^vb+be+vrb++=be
sole ^jjb+atrb+++=sole
survivorof ^nn+++??+=survivorof
some ^dti++++=some
perished ^jj+++xvbn+=perished
castle ^npl++++=castle.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
with ^in++++=with
reference ^nn+nom+++=reference
to ^in++++=to
the ^ati++++=the
Enchanted ^jj+++xvbn+=Enchanted
Isles ^npls++++=Isles,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
fortunately ^rb++++=fortunately
suppliedwith ^nn+++??+=suppliedwith
just ^rb+emph+++=just
such ^abl++++=such
a ^at++++=a
noble ^jj+atrb+++=noble
point ^nn++++=point
of ^in++++=of
observation ^nn+nom+++=observation
in ^in++++=in
a ^at++++=a
remarkable ^jj+atrb+++=remarkable
rock ^nn++++=rock,
, ^zz++++=EXTRAWORD
fromits ^nns+++??+=fromits
peculiar ^jj+atrb+++=peculiar
figure ^nn++++=figure
called ^vbd+++xvbn+=called
of ^in++++=of
old ^nn++++=old
by ^in++++=by
the ^ati++++=the
Spaniards ^nn++++=Spaniards,
, ^zz++++=EXTRAWORD
Rock ^npl++++=Rock
Rodondo ^np+++??+=Rodondo,
, ^zz++++=EXTRAWORD
orround ^nn+++??+=orRound
Rock ^npl++++=Rock.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
two ^cd++++=two
hundred ^cd++++=hundred
and ^cc++++=and
fifty ^cd++++=fifty
feet ^nns++++=feet
high ^jj++++=high,
, ^zz++++=EXTRAWORD
rising ^nvbg+++xvbg+=rising
straight ^jj+atrb+++=straight
fromthe ^nn+++??+=fromthe
sea ^nn++++=sea
ten ^cd++++=ten
miles ^nns++++=miles
from ^in++++=from
land ^nn++++=land,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
whole ^jj+atrb+++=whole
mountainous ^jj+atrb+++=mountainous
group ^nn++++=group
to ^in++++=to
thesouth ^nn+++??+=thesouth
and ^cc++++=and
east ^np+pl+++=east.
. ^zz++++=EXTRAWORD
Rock ^npl++++=Rock
Rodondo ^np+++??+=Rodondo
occupies ^vbz++++=occupies,
, ^zz++++=EXTRAWORD
on ^in++++=on
a ^at++++=a
large ^jj+atrb+++=large
scale ^nn++++=scale,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
much ^ap++++=much
theposition ^nn+nom+++=theposition
which ^whp+rel+obj++=which
the ^ati++++=the
famous ^jj+atrb+++=famous
Campanile ^np+++??+=Campanile
or ^cc++++=or
detached ^jj+atrb++xvbn+=detached
Bell ^nn++++=Bell
Tower ^nn++++=Tower
of ^in++++=of
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Markdoes ^np+++??+=Markdoes
with ^in++++=with
respect ^nn++++=respect
to ^in++++=to
the ^ati++++=the
tangled ^jj+atrb+++=tangled
group ^nn++++=group
of ^in++++=of
hoary ^nn++++=hoary
edifices ^nns+++??+=edifices
around ^rp++++=around
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Ere ^np+++??+=Ere
ascending ^vwbg+++xvbg+=ascending,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
to ^in++++=to
gaze ^nn++++=gaze
abroad ^rb+pl+++=abroad
upon ^in++++=upon
the ^ati++++=the
Encantadas ^np+++??+=Encantadas,
, ^zz++++=EXTRAWORD
thissea ^nn+++??+=thissea-tower
- ^zz++++=EXTRAWORD
tower ^nn++++=EXTRAWORD
itself ^ppl++++=itself
claims ^nns++++=claims
attention ^nn+nom+++=attention.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
visible ^jj+pred+++=visible
at ^in++++=at
the ^ati++++=the
distance ^nn+nom+++=distance
ofthirty ^nn+++??+=ofthirty
miles ^nns++++=miles;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
fully ^rb+amp+++=fully
participating ^jj+++xvbg+=participating
in ^cs+sub+++=in
that ^cs"++++=that
enchantment ^nn+nom+++=enchantment
whichpervades ^nns+++??+=whichpervades
the ^ati++++=the
group ^nn++++=group,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
first ^od++++=first
seen ^vbd+vprv++xvbn+=seen
afar ^rb++++=afar
invariably ^rb++++=invariably
is ^vbz+bez+aux++=is
mistaken ^vpsv++agls+xvbnx+=mistaken
for ^in++++=for
asail ^nn+++??+=asail.
. ^zz++++=EXTRAWORD
Four ^cd++++=Four
leagues ^nns++++=leagues
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
of ^in++++=of
a ^at++++=a
golden ^jj+atrb+++=golden,
, ^zz++++=EXTRAWORD
hazy ^jj+atrb+++=hazy
noon ^nn++++=noon,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seems ^vbz+seem+++=seems
some ^dti++++=some
Spanishadmiral ^np+nom+++=SpanishAdmiral's
's ^$++++=EXTRAWORD
ship ^nn++++=ship,
, ^zz++++=EXTRAWORD
stacked ^j+++xvbn+=stacked
up ^rb+phrv+++=up
with ^in+ppvb+++=with
glittering ^jj+atrb+++=glittering
canvas ^nn++++=canvas.
. ^zz++++=EXTRAWORD
Sail ^vb++++=Sail
ho ^uh++++=ho!
! ^zz++++=EXTRAWORD
Sail ^vb++++=Sail
ho!sail ^nn+++??+=ho!Sail
ho ^uh++++=ho!
! ^zz++++=EXTRAWORD
from ^in++++=from
all ^rb++++=all
three ^cd++++=three
masts ^nns+++??+=masts.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
coming ^nvbg+++xvbg+=coming
nigh ^rb+cnj+++=nigh,
, ^zz++++=EXTRAWORD
the ^ati++++=the
enchanted ^jj+atrb++xvbn+=enchanted
frigateis ^nns+++??+=frigateis
transformed ^vwbn+++xvbn+=transformed
apace ^rb++++=apace
into ^in++++=into
a ^at++++=a
craggy ^nn++++=craggy
keep ^vb++++=keep.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
first ^od++++=first
visit ^vb++++=visit
to ^in++++=to
the ^ati++++=the
spot ^nn++++=spot
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
in ^in++++=in
the ^ati++++=the
gray ^np++++=gray
of ^in++++=of
the ^ati++++=the
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
With ^in++++=With
aview ^nn+++??+=aview
of ^in++++=of
fishing ^xvbg+++xvbg+=fishing,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
lowered ^vprf+++xvbnx+=lowered
three ^cd++++=three
boats ^nns++++=boats
and ^cc++++=and
pulling ^nvbg+++xvbg+=pulling
some ^dti++++=some
two ^cd++++=two
milesfrom ^nn+++??+=milesfrom
our ^pp$+pp1+++=our
vessel ^nn++++=vessel,
, ^zz++++=EXTRAWORD
found ^j+++xvbn+=found
ourselves ^ppls+pp1+++=ourselves
just ^rb+emph+++=just
before ^in++++=before
dawn ^nn++++=dawn
of ^in++++=of
day ^nn++++=day
close ^jj++++=close
under ^in++++=under
themoon ^nn+++??+=themoon-shadow
- ^zz++++=EXTRAWORD
shadow ^nn++++=EXTRAWORD
of ^in++++=of
Rodondo ^np+++??+=Rodondo.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
aspect ^nn++++=aspect
was ^vbd+bedz+aux++=was
heightened ^vpsv++agls+xvbnx+=heightened,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
