One ^pn++++=One
was ^vbd+bedz+aux++=was
to ^to++++=to
get ^vbi++++=get
Primus ^nn++++=Primus
King ^nn++++=King
to ^to++++=to
go ^vbi++++=go
with ^in++++=with
them ^pp3o+pp3+++0='em
and ^cc++++=and
help ^nn++++=help
do ^vb+do+vrb++=do
the ^ati++++=the
diggin ^nn+++??+=diggin'.
'. ^nn+++??+=EXTRAWORD
Ye ^pp2+pp2+++=Ye
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
Hokum ^np+++??+=Hokum
and ^cc++++=and
Toddy ^np+++??+=Toddy
Whitney ^np+++??+=Whitney
and ^cc++++=and
Wiggin ^np+++??+=Wiggin
are ^vb+ber+vrb++=are
all ^abn++++=all
putty ^nn++++=putty
softly ^rb++++=softly
fellers ^nns+nom+++=fellers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hate ^vb++++=hate
dreffully ^jj++++=dreffully
to ^in++++=to
work ^nn++++=work;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
tell ^vb++++=tell
you ^pp2+pp2+++=you
the ^ati++++=the
Kidd ^np+++??+=Kidd
money ^nn++++=money
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
got ^vpsv++agls+xvbnx+=got
without ^in++++=without
a ^at++++=a
pretty ^rb++++=pretty
tough ^jj+atrb+++=tough
piece ^nn++++=piece
of ^in++++0=o'
diggin ^nn+++??+=diggin.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
jest ^rb++++=jest
like ^in++++=like
diggin ^nn+++??+=diggin'
' ^zz++++=EXTRAWORD
a ^at++++=a
well ^rb++++=well
to ^to++++=to
get ^vbi++++=get
at ^in+ppvb+++=at
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
Primus ^nn++++=Primus
King ^nn++++=King
was ^vbd+bedz+vrb++=was
the ^ati++++=the
master ^nn++++=master
hand ^nn++++=hand
for ^in++++=for
diggin ^nn+++??+=diggin'
' ^zz++++=EXTRAWORD
wells ^np++++=wells,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
they ^pp3a+pp3+++=they
said ^vbd+vpub+tht0+xvbnx+=said
they ^pp3a+pp3+++=they'd
'd ^md+prd+aux++0=EXTRAWORD
get ^vb++++=get
him ^pp3o+pp3+++=him
by ^in++++=by
givin ^nn+++??+=givin'
' ^zz++++=EXTRAWORD
on ^in++++=on
him ^pp3o+pp3+++=him
a ^at++++=a
shere ^nn+++??+=shere.
. ^zz++++=EXTRAWORD
" ^zz++++="Harry
harry ^np++++=EXTRAWORD
Wiggin ^np+++??+=Wiggin
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
no ^at++++=no
nigger ^nn++++=nigger
a ^at++++=a
sherin ^nn+++??+=sherin'
' ^zz++++=EXTRAWORD
in ^in++++=in
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Toddy ^np+++??+=Toddy
and ^cc++++=and
Hokum ^np+++??+=Hokum
they ^pp3a+pp3+++=they
said ^vbd+vpub++xvbnx+=said
that ^tht+vcmp+++=that
when ^wrb+who+++=when
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
such ^abl++++=such
stiff ^jj+atrb+++=stiff
diggin ^nn+++??+=diggin'
' ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
done ^vpsv++agls+xvbnx+=done,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
care ^nn++++=care
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
did ^vbd+dod+aux++=did
go ^vb++++=go
in ^in++++=in
with ^in++++=with
a ^at++++=a
nigger ^nn++++=nigger.
. ^zz++++=EXTRAWORD
" ^zz++++="Wal,
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Wiggin ^np+++??+=Wiggin
he ^pp3a+pp3+++=he
said ^vbd+vpub+tht0+xvbnx+=said
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=hadn't
n't ^xnot++not++0=EXTRAWORD
no ^at++++=no
objection ^nn+nom+++=objection
to ^in++++=to
havin ^nn+++??+=havin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
nigger ^nn++++=nigger
do ^vb+do+vrb++=do
the ^ati++++=the
diggin ^nn+++??+=diggin,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
_sherin ^nn+++??+=_sherin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
profits_ ^nn+++??+=profits_
he ^pp3a+pp3+++=he
objected ^vbd+vpub++xvbnx+=objected
to ^in+strn+++=to.
. ^zz++++=EXTRAWORD
" ^zz++++="'Wal,'
' ^zz++++=EXTRAWORD
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Hokum ^np+++??+=Hokum,
, ^zz++++=EXTRAWORD
' ^zz++++='you
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get
him ^pp3o+pp3+++=him
without ^in+strn+++=without,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
' ^zz++++='Primus
primus ^nn++++=EXTRAWORD
knows ^vbz+vprv+++=knows
too ^ql++++=too
much ^ap++++=much,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he:
: ^zz++++=EXTRAWORD
' ^zz++++='you
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
fool ^nn++++=fool
him ^pp3o+pp3+++=him.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Finally ^rb++++=Finally
they ^pp3a+pp3+++=they
' ^zz++++='greed
greed ^nn++++=EXTRAWORD
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
was ^vbd+bedz+aux++=was
to ^to++++=to
give ^vbi++++=give
Primus ^nn++++=Primus
twenty ^cd++++=twenty
dollars ^nns++++=dollars,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shere ^nn+++??+=shere
the ^ati++++=the
treasure ^nn++++=treasure
' ^zz++++='mong
mong ^nn+++??+=EXTRAWORD
themselves ^ppls+pp3+++=themselves.
. ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
to ^to++++=to
talk ^vbi++++=talk
with ^in++++=with
Primus ^nn++++=Primus,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
stick ^vb++++=stick
in ^in++++=in
a ^at++++=a
spade ^nn++++=spade,
, ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless
they ^pp3a+pp3+++=they'd
'd ^md+prd+vrb++0=EXTRAWORD
pay ^nn++++=pay
him ^pp3o+pp3+++=him
aforehand ^nn+++??+=aforehand.
. ^zz++++=EXTRAWORD
Ye ^pp2+pp2+++=Ye
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
Primus ^nn++++=Primus
was ^vbd+bedz+vrb++=was
up ^rp++++=up
to ^to++++=to
' ^zz++++='em;
em ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
knowed ^vbd+++xvbnx+=knowed
about ^in++++=about
Gidger ^np+++??+=Gidger,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there
wa' ^nn+++??+=wa'n't
n't ^xnot++not++0=EXTRAWORD
none ^pn++++=none
on ^rp++++=on
them ^pp3o+pp3+++0='em
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
particular ^jj+atrb+++=particular
good ^jj+atrb+++=good
pay ^nn++++=pay;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
they ^pp3a+pp3+++=they
all ^abn++++=all
jest ^rb++++=jest
hed ^jj+++xvbn+=hed
to ^in++++=to
rake ^nn++++=rake
and ^cc++++=and
scrape ^vb++++=scrape,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pay ^nn++++=pay
him ^pp3o+pp3+++=him
down ^in++++=down
the ^ati++++=the
twenty ^cd++++=twenty
dollars ^nns++++=dollars
among ^in++++=among
' ^zz++++='em;
em ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
' ^zz++++='greed
greed ^nn++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
fust ^nn+++??+=fust
full ^jj+atrb+++=full
moon ^nn++++=moon,
, ^zz++++=EXTRAWORD
at ^rb++++=at
twelve ^cd++++=twelve'
' ^zz++++=EXTRAWORD
o'clock ^rb++++=o'clock
at ^in++++=at
night ^nn++++=night,
, ^zz++++=EXTRAWORD
the ^ati++++=the
9 ^zz++++=9
th ^zz++++=th
of ^in++++=of
October ^nr++++=October.
. ^zz++++=EXTRAWORD
" ^zz++++="Wal,
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
ye ^pp2+pp2+++=ye
see ^vb+vprv+tht0++=see
I ^pp1a+pp1+++=I
had ^md"++pmd"++=had
to ^md+nec+++=to
tell ^vb++++=tell
Hepsy ^np+++??+=Hepsy
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
out ^rp+pl+++=out
to ^to++++=to
watch ^vbi++++=watch.
. ^zz++++=EXTRAWORD
Wal ^nn++++=Wal,
, ^zz++++=EXTRAWORD
so ^ql++++=so
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
jest ^rb++++=jest
in ^in++++=in
the ^ati++++=the
way ^nn++++=way
she ^pp3a+pp3+++=she
took ^vbd+++xvbnx+=took
it ^pp3+it+++=it:
: ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
Lordy ^np+++??+=Lordy
massy ^nn+++??+=massy!
! ^zz++++=EXTRAWORD
a ^at++++=a
feller ^nn++++=feller
has ^md"++pmd"++=has
to ^md+nec+++=to
tell ^vb++++=tell
his ^pp$+pp3+++=his
wife ^nn++++=wife
suthin ^nn+++??+=suthin'
' ^zz++++=EXTRAWORD
to ^to++++=to
keep ^vbi++++=keep
her ^pp$+pp3+++=her
quiet ^nn++++=quiet,
, ^zz++++=EXTRAWORD
ye ^pp2+pp2+++=ye
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
' ^zz++++='specially
specially ^rb++++=EXTRAWORD
Hepsy ^np+++??+=Hepsy.
. ^zz++++=EXTRAWORD
" ^zz++++="Wal,
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
wal ^nn++++=wal,
, ^zz++++=EXTRAWORD
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
moonlight ^nn++++=moonlight
nights ^nns++++=nights
that ^tht+rel+++=that
ever ^rb++++=ever
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
did ^vbd+dod+aux++=did
see ^vb+vprv+++=see
one ^cd1++++=one
equal ^jj++++=equal
to ^in++++=to
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
could ^md+pos+++=could
see ^vb+vprv+++=see
the ^ati++++=the
color ^nn++++=color
of ^in++++0=o'
every ^at++++=every
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
' ^zz++++='member
member ^nn++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+++=see
how ^wrb+who+whcl++=how
the ^ati++++=the
huckleberry ^nn++++=huckleberry-bushes
- ^zz++++=EXTRAWORD
bushes ^nns++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
rock ^nn++++=rock
was ^vbd+bedz+vrb++=was
red ^jj+pred+++=red
as ^ql++++=as
blood ^nn++++=blood
when ^wrb+who+++=when
the ^ati++++=the
moonlight ^nn++++=moonlight
shone ^vbd+++xvbn+=shone
through ^in++++=through
' ^zz++++='em;
em ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
' ^zz++++='cause
cause ^nn++++=EXTRAWORD
the ^ati++++=the
leaves ^nns++++=leaves,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
to ^to++++=to
turn ^vbi++++=turn.
. ^zz++++=EXTRAWORD
" ^zz++++="Goin'
goin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
on ^in++++=on
our ^pp$+pp1+++=our
way ^nn++++=way
we ^pp1a+pp1+++=we
got ^vbd+++xvbn+=got
to ^to+vcmp+++=to
talkin ^vb+++??+=talkin'
' ^zz++++=EXTRAWORD
about ^in++++=about
the ^ati++++=the
sperits ^nns+++??+=sperits.
. ^zz++++=EXTRAWORD
" ^zz++++="'I
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
afraid ^jj++++=afraid
on ^in++++=on
' ^zz++++='em,'
em ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Hokum ^np+++??+=Hokum.
. ^zz++++=EXTRAWORD
' ^zz++++='What
what ^wdt+who+++=EXTRAWORD
harm ^nn++++=harm
can ^md+pos+++=can
a ^at++++=a
sperit ^nn+++??+=sperit
do ^vb+do+vrb++=do
me ^pp1o+pp1+++=me?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
care ^nn++++=care
ef ^nn+++??+=ef
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
dozen ^cd++++=dozen
on ^in++++=on
' ^zz++++='em;'
em ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
a ^at++++=a
swig ^nn+++??+=swig
at ^rb++++=at
his ^pp$+pp3+++=his
bottle ^nn++++=bottle.
. ^zz++++=EXTRAWORD
" ^zz++++="'Oh!
' ^zz++++=EXTRAWORD
oh ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
there ^ex+pex+++=there
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
no ^at++++=no
sperits ^nns++++=sperits,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Harry ^np++++=Harry
Wiggin ^np+++??+=Wiggin.
. ^zz++++=EXTRAWORD
' ^zz++++='That
that ^cs+sub+++=EXTRAWORD
' ^zz++++='are
are ^vb+ber+vrb++=EXTRAWORD
talk ^nn++++=talk's
's ^$++++=EXTRAWORD
all ^abn++++=all
nonsense ^nn++++=nonsense;'
; ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
a ^at++++=a
swig ^nn+++??+=swig
at ^rb++++=at
_his_ ^nn+++??+=_his_
bottle ^nn++++=bottle.
. ^zz++++=EXTRAWORD
" ^zz++++="'Wal,'
' ^zz++++=EXTRAWORD
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Toddy ^np+++??+=Toddy,
, ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
' ^zz++++='bout
bout ^nn++++=EXTRAWORD
that ^tht+rel+++=that
' ^zz++++='are.
are ^vb+ber+vrb++=EXTRAWORD
. ^zz++++=EXTRAWORD
Me ^pp1o+pp1+++=Me
and ^cc++++=and
Ike ^np+++??+=Ike
Sanders ^nns+nom+++=Sanders
has ^vbz+hvz+aux++=has
seen ^vprf+++xvbnx+=seen
the ^ati++++=the
sperits ^nns+++??+=sperits
in ^in++++=in
the ^ati++++=the
Cap ^nn++++=Cap'n
'n ^nn+++??+=EXTRAWORD
Brown ^jj+atrb+++=Brown
house ^npl++++=house.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
thought ^vbd+++xvbn+=thought
we ^pp1a+pp1+++=we'd
'd ^md+prd+aux++0=EXTRAWORD
jest ^rb++++=jest
have ^vb+hv+vrb++=have
a ^at++++=a
peek ^nn+++??+=peek
into ^in++++=into
the ^ati++++=the
window ^nn++++=window
one ^cd1++++=one
night ^nn++++=night;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
whole ^jj+atrb+++=whole
flock ^nn++++=flock
of ^in++++0=o'
black ^jj+atrb+++=black
colts ^nns++++=colts
without ^in++++=without
no ^at++++=no
heads ^nn++++=heads
on ^in++++=on
come ^vprf+++xvbn+=come
rushin ^nn+++??+=rushin'
' ^zz++++=EXTRAWORD
on ^in++++=on
us ^pp1o+pp1+++=us
and ^cc++++=and
knocked ^vbd+++xvbn+=knocked
us ^pp1o+pp1+++=us
flat ^nn++++=flat.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'I
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
expect ^vb+vprv+tht0++=expect
you ^pp2+pp2+++=you'd
'd ^vbd+hvd+aux++0=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
at ^rb++++=at
the ^ati++++=the
tahvern ^jj+++xvbn+=tahvern,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Hokum ^np+++??+=Hokum.
. ^zz++++=EXTRAWORD
" ^zz++++="'Wal,
' ^zz++++=EXTRAWORD
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
yes ^uh++++=yes,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
them ^pp3o+pp3+++=them
was ^vbd+bedz+vrb++=was
sperits ^nns+++??+=sperits:
: ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
wa' ^nn+++??+=wa'n't
n't ^xnot++not++0=EXTRAWORD
drunk ^jj+++xvbn+=drunk,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
was ^vbd+bedz+vrb++=was
jest ^rb++++=jest
as ^ql++++=as
sober ^jj++++=sober
as ^in++++=as
ever ^rb++++=ever
we ^pp1a+pp1+++=we
was ^vbd+bedz+vrb++=was.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Wal,
' ^zz++++=EXTRAWORD
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get
away ^rb+phrv+++=away
my ^pp$+pp1+++=my
money ^nn++++=money,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Primus ^nn++++=Primus,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
put ^vbd+++xvbnx+=put
it ^pp3+it+++=it
safe ^jj++++=safe
away ^rp+pl+++=away
in ^in++++=in
Dinah ^np++++=Dinah's
's ^$++++=EXTRAWORD
teapot ^nn++++=teapot
afore ^in++++=afore
I ^pp1a+pp1+++=I
come ^vb++++=come
out ^rp+pl+++=out;'
; ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
showed ^vbd+vprv++xvbnx+=showed
all ^abn++++=all
his ^pp$+pp3+++=his
ivories ^nns++++=ivories
from ^in++++=from
ear ^nn++++=ear
to ^in++++=to
ear ^nn++++=ear.
. ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
think ^vb+vprv+++=think
all ^rb++++=all
this ^dt+dem+++=this
' ^zz++++='are's
are ^vb+ber+vrb++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
sort ^rb+hdg+++=sort
of ^+hdg"+++0=o'
foolishness ^nns+nom+++=foolishness,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Primus ^nn++++=Primus.
. ^zz++++=EXTRAWORD
" ^zz++++="'Wal,'
' ^zz++++=EXTRAWORD
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
' ^zz++++='boys,
boys ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^in++++=to
have ^vbi++vrb++=have
no ^at++++=no
part ^nn++++=part
or ^cc++++=or
lot ^nn++++=lot
in ^in++++=in
this ^dt+dem+++=this
' ^zz++++='ere
ere ^nn+++??+=EXTRAWORD
matter ^nn++++=matter,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
jest ^rb++++=jest
lay ^jjb+++xvbn+=lay
it ^pp3+it+++=it
off ^rp+pl+++=off
to ^in++++=to
you ^pp2+pp2+++=you
how ^wrb+who+++=how
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
done ^vpsv++agls+xvbnx+=done.
. ^zz++++=EXTRAWORD
Ef ^np+++??+=Ef
Kidd ^np++++=Kidd's
's ^$++++=EXTRAWORD
money ^nn++++=money
is ^vbz+bez+vrb++=is
under ^in++++=under
this ^dt+dem+++=this
rock ^nn++++=rock,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
' ^zz++++='sperits'
sperits ^nns+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
that ^dt+dem+++=that
watch ^nn++++=watch
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
must ^md+nec+++=mustn't
n't ^xnot++not++0=EXTRAWORD
give ^vb++++=give
them ^pp3o+pp3+++0='em
no ^at++++=no
advantage ^nn+nom+++=advantage.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
must ^md+nec+++=mustn't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
a ^at++++=a
word ^nn++++=word
spoke ^vbd+++xvbn+=spoke
from ^in++++=from
the ^ati++++=the
time ^nn++++=time
ye ^pp2+pp2+++=ye
get ^vb++++=get
sight ^nn++++=sight
of ^in++++0=o'
the ^ati++++=the
treasure ^nn++++=treasure
till ^cs+sub+++=till
ye ^pp2+pp2+++=ye
get ^vb++++=get
it ^pp3+it+++=it
safe ^jj++++=safe
up ^rp++++=up
on ^in+cmpx+++=on
to ^in++++=to
firm ^jj+atrb+++=firm
ground ^nn++++=ground,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
' ^zz++++='Ef
ef ^nn+++??+=EXTRAWORD
ye ^pp2+pp2+++=ye
do ^vb+do+vrb++=do,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it'll
'll ^md+prd+++0=EXTRAWORD
vanish ^vb++++=vanish
right ^nn++++=right
out ^rp+pl+++=out
of ^in++++0=o'
sight ^nn++++=sight.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
talked ^vprf+++xvbnx+=talked
with ^in++++=with
them ^pp3o+pp3+++=them
that ^dt+pdem+++=that
has ^vbz+hvz+aux++=has
dug ^vprf+++xvbnx+=dug
down ^rp++++=down
to ^in++++=to
it ^pp3+it+++=it
and ^cc++++=and
seen ^vbd+vprv++xvbn+=seen
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
allers ^nn++++=allers
lost ^vbd+++xvbn+=lost
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
' ^zz++++='cause
cause ^nn++++=EXTRAWORD
they ^pp3a+pp3+++=they'd
'd ^md+prd+aux++0=EXTRAWORD
call ^vb++++=call
out ^rp+pl+++=out
and ^cc++++=and
say ^vb+vpub+++=say
suthin ^nn+++??+=suthin';
'; ^nn+++??+=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
minute ^nn++++=minute
they ^pp3a+pp3+++=they
spoke ^vbd+++xvbnx+=spoke,
, ^zz++++=EXTRAWORD
away ^rp+pl+++=away
it ^pp3+it+++=it
went ^vbd+++xvbn+=went.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Wal,
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
so ^ql++++=so
they ^pp3a+pp3+++=they
marked ^vbd+++xvbnx+=marked
off ^in+pl+++=off
the ^ati++++=the
ground ^nn++++=ground;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Primus ^nn++++=Primus
he ^pp3a+pp3+++=he
begun ^vbd+++xvbnx+=begun
to ^to++++=to
dig ^vbi++++=dig,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
rest ^nn++++=rest
kind ^rb+hdg+++=kind
of ^+hdg"+++0=o'
sot ^nn+++??+=sot
round ^in+strn+++=round.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
so ^ql++++=so
still ^rb++++=still
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
kind ^rb+hdg+++=kind
of ^+hdg"+++0=o'
solemn ^jj++++=solemn.
. ^zz++++=EXTRAWORD
Ye ^pp2+pp2+++=Ye
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
past ^jjb+pred+++=past
twelve ^cd++++=twelve
