Yas ^np+++??+=Yas,
you ^pp2+pp2+++=you
reckon ^vb+vprv+tht0++=reckon
Sonny ^nn++++=Sonny
done ^vwbn+++xvbn+=done?
? ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thess ^nn++++=thess
took ^vbd+++xvbn+=took
one ^cd1++++=one
look ^vb++++=look
at ^rb++++=at
the ^ati++++=the
gate ^nn++++=gate
and ^cc++++0=an'
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
cut ^vbd+++xvbnx+=cut
and ^cc+phrs+++0=an'
run ^vbd+++xvbn+=run
hard ^jj+atrb+++=hard
ez ^nn+++??+=ez
he ^pp3a+pp3+++=he
could ^md+pos+++=could
limped ^vbd+++xvbn+=limped
acrost ^nn+++??+=acrost
the ^ati++++=the
yard ^nn++++=yard
thess ^nn++++=thess
like ^in++++=like
a ^at++++=a
flash ^nn++++=flash
of ^in++++0=o'
zig ^nn+++??+=zig-zag
- ^zz++++=EXTRAWORD
zag ^nn+++??+=EXTRAWORD
lightnin ^nn+++??+=lightnin'
' ^zz++++=EXTRAWORD
and ^cc++++0=an'
' ^zz++++='fore
fore ^jjb++++=EXTRAWORD
anybody ^pn++++=anybody
could ^md+pos+++=could
stop ^vb++++=stop
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
clumb ^nn+++??+=clumb
to ^in++++=to
the ^ati++++=the
tip ^nn++++=tip
top ^jjb++++=top
of ^in++++0=o'
the ^ati++++=the
butter ^nn++++=butter-bean
- ^zz++++=EXTRAWORD
bean ^nn++++=EXTRAWORD
arbor ^&fw++++=arbor
clumb ^nn+++??+=clumb
it ^pp3+it+++=it
thess ^nn++++=thess
like ^in++++=like
a ^at++++=a
cat ^nn++++=cat
and ^cc++++0=an'
there ^rn+pl+++=there
he ^pp3a+pp3+++=he
set ^vbd+++xvbnx+=set,
, ^zz++++=EXTRAWORD
a ^at++++=a-swingin'
- ^zz++++=EXTRAWORD
swingin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
feet ^nns++++=feet
under ^in++++=under
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
laughin ^nn+++??+=laughin',
', ^nn+++??+=EXTRAWORD
the ^ati++++=the
rain ^nn++++=rain
thess ^nn++++=thess
a ^at++++=a-streakin'
- ^zz++++=EXTRAWORD
streakin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
hair ^nn++++=hair
all ^abn++++=all
over ^in++++=over
his ^pp$+pp3+++=his
face ^nn++++=face.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
bean ^nn++++=bean
arbor ^&fw++++=arbor
is ^vbz+bez+vrb++=is
a ^at++++=a
favoryte ^nn+++??+=favoryte
place ^nn++++=place
for ^in++++=for
him ^pp3o+pp3+++=him
to ^to++++=to
escape ^vbi++++=escape
to ^in+strn+++=to,
, ^zz++++=EXTRAWORD
' ^zz++++='cause
cause ^nn++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
too ^ql++++=too
high ^np++++=high
to ^to++++=to
reach ^vbi++++=reach,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
it ^pp3+it+++=it
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
strong ^jj++++=strong
enough ^qlp++++=enough
to ^to++++=to
bear ^vbi+vprv+++=bear
no ^at++++=no
grown ^vprf+++xvbn+=grown-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
person ^nn++++=person's
's ^$++++=EXTRAWORD
weight ^nn++++=weight.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
the ^ati++++=the
rector ^nn++++=rector,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
come ^vb++++=come
in ^in++++=in
and ^cc++++0=an'
opened ^vbd+++xvbn+=opened
his ^pp$+pp3+++=his
valise ^nn++++=valise
and ^cc++++0=an'
' ^zz++++='rayed
rayed ^jj+atrb++xvbn+=EXTRAWORD
hisself ^nn+++??+=hisself
in ^in++++=in
his ^pp$+pp3+++=his
robes ^nns++++=robes
and ^cc++++0=an'
opened ^vbd+++xvbn+=opened
his ^pp$+pp3+++=his
book ^nn++++=book,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
turnin ^nn+++??+=turnin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
leaves ^nns++++=leaves,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
faced ^vbd+++xvbnx+=faced
' ^zz++++='round
round ^in++++=EXTRAWORD
and ^cc++++0=an'
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
lookin ^nn+++??+=lookin'
' ^zz++++=EXTRAWORD
at ^rb++++=at
me ^pp1o+pp1+++=me
Direc ^np+++??+=Direc',
', ^nn+++??+=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he:
: ^zz++++=EXTRAWORD
" ^zz++++="Let
let ^vb+++xvbn+=EXTRAWORD
the ^ati++++=the
child ^nn++++=child
be ^vb+be+aux++=be
brought ^vpsv++agls+xvbnx+=brought
forward ^rb+phrv+++=forward
for ^in++++=for
baptism ^nn+nom+++=baptism,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
thess ^nn++++=thess
that ^tht+rel+++=that-a-way.
- ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
then ^rn+tm+++=then
we ^pp1a+pp1+++=we
both ^abx++++=both
thess ^nn++++=thess
looked ^vbd+++xvbn+=looked
out ^rp+pl+++=out
at ^in++++=at
the ^ati++++=the
butter ^nn++++=butter-bean
- ^zz++++=EXTRAWORD
bean ^nn++++=EXTRAWORD
arbor ^&fw++++=arbor.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knowed ^vbd+++xvbnx+=knowed
then ^rn+tm+++=then
thet ^jj+atrb++??+=thet
Sonny ^nn++++=Sonny
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
never ^rb++++=never
comin ^nn+++??+=comin'
' ^zz++++=EXTRAWORD
down ^rp++++=down
while ^cs+sub+++=while
the ^ati++++=the
rector ^nn++++=rector
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
rector ^nn++++=rector,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
seemed ^vbd+seem++xvbnx+=seemed
sort ^rb+hdg+++=sort
of ^+hdg"+++0=o'
fretted ^nn++++=fretted
for ^in++++=for
a ^at++++=a
minute ^nn++++=minute
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
see ^vb+vprv+++=see
how ^wrb+who+whcl++=how
things ^nns++++=things
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
try ^vb++++=try
to ^to+vcmp+++=to
do ^vbi++++=do
a ^rb++++=a
little ^rb"++++=little
settin ^nn+++??+=settin'
' ^zz++++=EXTRAWORD
fo ^vb+++??+=fo'th
'th ^vbd+++xvbn+0=EXTRAWORD
of ^in++++=of
opinions ^nns++++=opinions.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
' ^zz++++='lowed,
lowed ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
speakin ^nn+++??+=speakin'
' ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
mighty ^jj+atrb+++=mighty
pompious ^jj+atrb+++=pompious
manner ^nn++++=manner,
, ^zz++++=EXTRAWORD
thet ^nn+++??+=thet
holy ^jj+atrb+++=holy
things ^nns++++=things
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
trifled ^vpsv++agls+xvbnx+=trifled
with ^in+ppvb+++=with,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
thet ^nn+++??+=thet
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
to ^to++++=to
baptize ^vbi++++=baptize
the ^ati++++=the
child ^nn++++=child
accordin ^nn+++??+=accordin'
' ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
rites ^nns++++=rites
of ^in++++0=o'
the ^ati++++=the
church ^nn++++=church.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
sort ^nn++++=sort
of ^in++++0=o'
talk ^nn++++=talk,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
thess ^nn++++=thess
rubbed ^vbd+++xvbn+=rubbed
me ^pp1o+pp1+++=me
the ^ati++++=the
wrong ^jj+atrb+++=wrong
way ^nn++++=way,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
up ^rp++++=up
and ^cc++++0=an'
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
thet ^nn+++??+=thet
that ^tht+rel+subj++=that
might ^md+pos+++=might
be ^vb+be+vrb++=be
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
thet ^nn+++??+=thet
the ^ati++++=the
rites ^nns++++=rites
of ^in++++0=o'
the ^ati++++=the
church ^npl++++=church
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
count ^vb++++=count
for ^in++++=for
nothin ^nn+++??+=nothin',
', ^nn+++??+=EXTRAWORD
on ^in++++=on
our ^pp$+pp1+++=our
farm ^nn++++=farm,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
rights ^nns++++=rights
of ^in++++0=o'
the ^ati++++=the
boy ^nn++++=boy!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
reckon ^vb+vprv+tht0++=reckon
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
mighty ^ql++++=mighty
disrespec ^vb+++??+=disrespec'ful
'ful ^jj++++0=EXTRAWORD
of ^in++++0=o'
me ^pp1o+pp1+++=me
to ^to++++=to
face ^vbi++++=face
him ^pp3o+pp3+++=him
that ^cs+sub+++=that-a-way,
- ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
him ^pp3o+pp3+++=him
adorned ^vbd+++xvbn+=adorned
in ^in++++=in
all ^abn++++=all
his ^pp$+pp3+++=his
robes ^nns++++=robes,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
thess ^nn++++=thess
a ^at++++=a
plain ^nn++++=plain
upan ^jj++++=upan'-down
'-down ^vwbn+++xvbn+0=EXTRAWORD
man ^nn++++=man
and ^cc++++0=an'
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=hadn't
n't ^xnot++not++0=EXTRAWORD
went ^vbd+++xvbn+=went
for ^in+ppvb+++=for
him ^pp3o+pp3+++=him
to ^to++++=to
come ^vbi++++=come
and ^cc+phrs+++0=an'
baptize ^vb++++=baptize
Sonny ^nn++++=Sonny
to ^to++++=to
uphold ^vbi++++=uphold
the ^ati++++=the
granjer ^nn++++=granjer
of ^in++++=of
no ^at++++=no
church ^npl++++=church.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
ready ^jj+pred+++=ready
to ^to+jcmp+++=to
do ^vbi++++=do
that ^dt+pdem+++=that
when ^wrb+who+++=when
the ^ati++++=the
time ^nn++++=time
come ^vb++++=come,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
right ^nn++++=right
now ^rn+tm+++=now
we ^pp1a+pp1+++=we
was ^vbd+bedz+vrb++=was
workin ^nn+++??+=workin'
' ^zz++++=EXTRAWORD
in ^in++++=in
Sonny ^np++++=Sonny's
's ^$++++=EXTRAWORD
interests ^nns++++=interests,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
intended ^vbd+vsua++xvbnx+=intended
to ^to+vcmp+++=to
have ^vbi+vbi+aux++=have
it ^pp3+it+++=it
understood ^vbd+vprv++xvbn+=understood
that ^tht+vcmp+++=that
way ^nn++++=way.
. ^zz++++=EXTRAWORD
And ^cc+cls+++0=An'
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
Rector ^npt++++=Rector,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
mighty ^jj++++=mighty
good ^jj++++=good,
, ^zz++++=EXTRAWORD
kind ^nn++++=kind-hearted
- ^zz++++=EXTRAWORD
hearted ^jj+atrb+++=EXTRAWORD
man ^nn++++=man,
, ^zz++++=EXTRAWORD
git ^np++++=git
down ^in++++=down
to ^in++++=to
the ^ati++++=the
man ^nn++++=man
inside ^in+pl+++=inside
the ^ati++++=the
preacher ^nn+nom+++=preacher,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
see ^vb+vprv+++=see
thess ^nn++++=thess
how ^wrb+who+++=how
things ^nns++++=things
stood ^vbd+++xvbn+=stood,
, ^zz++++=EXTRAWORD
why ^wrb+who+++=why,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
come ^vb++++=come
' ^zz++++='round
round ^in++++=EXTRAWORD
friendly ^jj++++=friendly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
out ^rp+pl+++=out
on ^in++++=on
the ^ati++++=the
po ^np++++=po'ch
'ch ^nn+++??+=EXTRAWORD
and ^cc++++0=an'
united ^jj++++=united
with ^in++++=with
us ^pp1o+pp1+++=us
in ^in++++=in
tryin ^nn+++??+=tryin'
' ^zz++++=EXTRAWORD
to ^to++++=to
help ^vbi++++=help
coax ^vb++++=coax
Sonny ^nn++++=Sonny
down ^in+strn+++=down.
. ^zz++++=EXTRAWORD
First ^od++++=First
started ^vpsv++by+xvbn+=started
by ^in++++=by
promisin ^nn+++??+=promisin'
' ^zz++++=EXTRAWORD
him ^pp3o+pp3+++=him
speritual ^jj+atrb+++=speritual
benefits ^nns++++=benefits,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
soon ^rb+tm+++=soon
see ^vb+vprv+tht0++=see
that ^tht+vcmp+++=that
was ^vbd+bedz+aux++=wasn't
n't ^xnot++not++0=EXTRAWORD
no ^rb++++=no
go ^vb++++=go,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
tried ^vbd+++xvbnx+=tried
worldly ^jj+atrb+++=worldly
persuasion ^nn++++=persuasion;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^rb+cnj+++=no,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
stid ^nn+++??+=stid
of ^in++++0=o'
him ^pp3o+pp3+++=him
comin ^nn+++??+=comin'
' ^zz++++=EXTRAWORD
down ^rp++++=down,
, ^zz++++=EXTRAWORD
Sonny ^nn++++=Sonny
started ^vbd+++xvbn+=started
orderin ^nn+++??+=orderin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
us ^pp1o+pp1+++=us
christened ^vbd+++xvbn+=christened
thess ^nn++++=thess
the ^ati++++=the
way ^nn++++=way
he ^pp3a+pp3+++=he
done ^vbd+++xvbnx+=done
about ^in++++=about
the ^ati++++=the
vaccination ^nn+nom+++=vaccination.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
of ^in++++=of
co ^nn++++=co'se,
'se, ^nn+++??+=EXTRAWORD
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
baptized ^vpsv++agls+xvbnx+=baptized
befo ^nn+++??+=befo',
', ^nn+++??+=EXTRAWORD
and ^cc++++0=an'
we ^pp1a+pp1+++=we
nachelly ^jj++++=nachelly
helt ^vwbn+++xvbn+=helt
out ^rp+pl+++=out
agin ^nn+++??+=agin'
' ^zz++++=EXTRAWORD
that ^dt+dem+++=that
for ^in++++=for
some ^dti++++=some
time ^nn++++=time.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
d ^zz++++=d'rec'ly
'rec'ly ^jj++be++0=EXTRAWORD
rector ^npt++++=rector,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
have ^vbi++++=have
a ^at++++=a
sudden ^jj+atrb+++=sudden
idee ^nn++++=idee,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
facin ^nn+++??+=facin'
' ^zz++++=EXTRAWORD
' ^zz++++='round,
round ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
church ^nn++++=church-like,
- ^zz++++=EXTRAWORD
like ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
to ^in++++=to
wife ^nn++++=wife
and ^cc++++0=an'
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he:
: ^zz++++=EXTRAWORD
" ^zz++++="Have
have ^vb+hv+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
both ^abx++++=both
been ^jj+jj+aux+xvbn+=been
baptized ^vpsv++agls+xvbnx+=baptized
accordin ^nn+++??+=accordin'
' ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
rites ^nns++++=rites
of ^in++++0=o'
the ^ati++++=the
church ^nn++++=church?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++0=An'
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
thinkin ^nn+++??+=thinkin'
' ^zz++++=EXTRAWORD
of ^in++++=of
co ^nn++++=co'se
'se ^nn+++??+=EXTRAWORD
he ^pp3a+pp3+++=he
meant ^vbd+vprv++xvbnx+=meant
the ^ati++++=the
' ^zz++++='Piscopal
piscopal ^jj+atrb+++=EXTRAWORD
Church ^npl++++=Church,
, ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says:
: ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
thess ^nn++++=thess
so ^rb++++=so.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
we ^pp1a+pp1+++=we
see ^vb+vprv+++=see
that ^tht+vcmp+++=that
the ^ati++++=the
way ^nn++++=way
was ^vbd+bedz+vrb++=was
open ^jj+pred+++=open
for ^in++++=for
us ^pp1o+pp1+++=us
to ^to++++=to
be ^vbi+vbi+aux++=be
did ^vbd+dod+vrb++=did
over ^in++++=over
ag ^nn++++=ag'in
'in ^nn+++??+=EXTRAWORD
ef ^nn+++??+=ef
we ^pp1a+pp1+++=we
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
wife ^nn++++=wife
and ^cc++++0=an'
me ^pp1o+pp1+++=me
we ^pp1a+pp1+++=we
was ^vbd+bedz+aux++=was
took ^vpsv++agls+xvbnx+=took
into ^in++++=into
the ^ati++++=the
church ^nn++++=church,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
and ^cc++++0=an'
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
' ^zz++++='a'
a ^at++++=EXTRAWORD
' ^zz++++=EXTRAWORD
yielded ^vbd+++xvbn+=yielded
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
thoo ^nn+++??+=thoo
and ^cc++++0=an'
thoo ^nn+++??+=thoo,
, ^zz++++=EXTRAWORD
that ^cs+sub+++=that-a-way
- ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
ag ^nn++++=ag'in
'in ^nn+++??+=EXTRAWORD
ef ^nn+++??+=ef
his ^pp$+pp3+++=his
little ^jj+atrb+++=little
foot ^nn++++=foot
had ^vb+hv+vrb++=hadn't
n't ^xnot++not++0=EXTRAWORD
' ^zz++++='a'
a ^at++++=EXTRAWORD
' ^zz++++=EXTRAWORD
been ^vprf+ben+aux+xvbn+=been
so ^ql++++=so
swole ^vb+++??+=swole,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
he ^pp3a+pp3+++=he
maybe ^rb+hdg+++=maybe
takin ^nn+++??+=takin'
' ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
death ^nn++++=death
of ^in++++0=o'
cold ^jj+atrb+++=cold
settin ^nn+++??+=settin'
' ^zz++++=EXTRAWORD
out ^rp+pl+++=out
in ^in++++=in
the ^ati++++=the
po ^np++++=po'in'-down
'in'-down ^vbd+++xvbn+0=EXTRAWORD
rain ^nn++++=rain;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
things ^nns++++=things
bein ^nn+++??+=bein'
' ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
went ^vbd+++xvbn+=went
thoo ^nn+++??+=thoo
it ^pp3+it+++=it
with ^in++++=with
all ^rb++++=all
due ^jj+atrb+++=due
respects ^nns++++=respects.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
commenced ^vbd+++xvbnx+=commenced
callin ^nn+++??+=callin'
' ^zz++++=EXTRAWORD
for ^in++++=for
Dicey ^np+++??+=Dicey,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
the ^ati++++=the
dog ^nn++++=dog,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
the ^ati++++=the
cat ^nn++++=cat,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
same ^ap++++=same
ez ^nn+++??+=ez
he ^pp3a+pp3+++=he
done ^vbd+++xvbnx+=done
befo ^nn+++??+=befo';
'; ^nn+++??+=EXTRAWORD
but ^cc++++=but,
, ^zz++++=EXTRAWORD
of ^in++++=of
co ^nn++++=co'se,
'se, ^nn+++??+=EXTRAWORD
they ^pp3a+pp3+++=they's
's ^vbz+bez+vrb++0=EXTRAWORD
some ^dti++++=some
liberties ^nns++++=liberties
thet ^nn+++??+=thet
even ^rb++++=even
a ^at++++=a
innocent ^jj+atrb+++=innocent
child ^nn++++=child
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
take ^vb++++=take
with ^in++++=with
the ^ati++++=the
waters ^nns++++=waters
of ^in++++0=o'
baptism ^nn+nom+++=baptism,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
the ^ati++++=the
rector ^nn++++=rector
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
sort ^rb+hdg+++=sort
of ^+hdg"+++0=o'
wo ^&fw++++=wo'e-out
'e-out ^nn+++??+=EXTRAWORD
and ^cc++++=and
disgusted ^jj+++xvbn+=disgusted
and ^cc++++0=an'
' ^zz++++='lowed
lowed ^jj+atrb++xvbn+=EXTRAWORD
thet ^nn+++??+=thet
' ^zz++++='less'n
less ^rbr++++=EXTRAWORD
'n ^nn+++??+=EXTRAWORD
we ^pp1a+pp1+++=we
could ^md+pos+++=could
get ^vb++++=get
the ^ati++++=the
child ^nn++++=child
ready ^jj++++=ready
for ^in++++=for
baptism ^nn+nom+++=baptism
he ^pp3a+pp3+++0=he'd
'd ^md+prd+vrb++=EXTRAWORD
haf ^nn+++??+=haf
to ^to++++=to
go ^vbi++++=go
home ^nr++++=home.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knowed ^vbd+++xvbnx+=knowed
we ^pp1a+pp1+++=we
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
never ^rb++++=never
git ^np++++=git
' ^zz++++='im
im ^&fw++++=EXTRAWORD
down ^rp++++=down,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
went ^vprf+++xvbnx+=went
for ^in+ppvb+++=for
the ^ati++++=the
rector ^nn++++=rector
to ^to++++=to
baptize ^vbi++++=baptize
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
intended ^vbd+vsua++xvbnx+=intended
to ^to+vcmp+++=to
have ^vbi+vbi+aux++=have
it ^pp3+it+++=it
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
ef ^nn+++??+=ef
possible ^jj++++=possible.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
turnin ^nn+++??+=turnin'
' ^zz++++=EXTRAWORD
' ^zz++++='round
round ^in++++=EXTRAWORD
and ^cc++++0=an'
facin ^nn+++??+=facin'
' ^zz++++=EXTRAWORD
him ^pp3o+pp3+++=him
square ^nn++++=square,
, ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I:
: ^zz++++=EXTRAWORD
" ^zz++++="Rector,"
rector ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
