Everyone ^pn++++=Everyone
The ^ati++++=The
second ^od++++=second
Sir ^npt++++=Sir
Matthew ^np++++=Matthew
died ^vbd+++xvbn+=died
in ^in++++=in
1735 ^cd+date+++=1735,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
duly ^rb++splt++=duly
succeeded ^vpsv++by+xvbnx+=succeeded
by ^in++++=by
his ^pp$+pp3+++=his
son ^nn++++=son,
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
Richard ^np++++=Richard.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
in ^in++++=in
his ^pp$+pp3+++=his
time ^nn++++=time
that ^tht+rel+obj++=that
the ^ati++++=the
great ^jj+atrb+++=great
family ^nn++++=family
pew ^nn+++??+=pew
was ^vbd+bedz+aux++=was
built ^vpsv++agls+xvbnx+=built
out ^rp+pl+++=out
on ^in++++=on
the ^ati++++=the
north ^np+pl+++=north
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
parish ^nn++++=parish
church ^nn++++=church.
. ^zz++++=EXTRAWORD
So ^ql+emph+++=So
large ^jj++++=large
were ^vbd+bed+vrb++=were
the ^ati++++=the
Squire ^np++++=Squire's
's ^$++++=EXTRAWORD
ideas ^nns++++=ideas
that ^tht+ncmp+++=that
several ^ap++++=several
of ^in++++=of
the ^ati++++=the
graves ^np++++=graves
on ^in++++=on
that ^cs+sub+++=that
unhallowed ^vprf+++xvbn+=unhallowed
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
building ^jj+++xvbg+=building
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
disturbed ^vbd+++xvbn+=disturbed
to ^to++++=to
satisfy ^vbi++++=satisfy
his ^pp$+pp3+++=his
requirements ^nns+nom+++=requirements.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
them ^pp3o+pp3+++=them
was ^vbd+bedz+vrb++=was
that ^dt+dem+++=that
of ^in++++=of
Mrs ^npt++++=Mrs
Mothersole ^np++++=Mothersole,
, ^zz++++=EXTRAWORD
the ^ati++++=the
position ^nn+nom+++=position
of ^in++++=of
which ^whp+rel+pied++=which
was ^vbd+bedz+aux++=was
accurately ^rb++splt++=accurately
known ^vpsv++agls+xvbnx+=known,
, ^zz++++=EXTRAWORD
thanks ^rb+dspt+++=thanks
to ^in"++++=to
a ^at++++=a
note ^nn++++=note
on ^in++++=on
a ^at++++=a
plan ^nn++++=plan
of ^in++++=of
the ^ati++++=the
church ^nn++++=church
and ^cc++++=and
yard ^nn++++=yard,
, ^zz++++=EXTRAWORD
both ^abx++++=both
made ^vpsv++by+xvbn+=made
by ^in++++=by
Mr ^npt++++=Mr
Crome ^np++++=Crome.
. ^zz++++=EXTRAWORD
A ^at++++=A
certain ^jj+atrb+++=certain
amount ^nn++++=amount
of ^in++++=of
interest ^nn++++=interest
was ^vbd+bedz+aux++=was
excited ^vpsv++agls+xvbnx+=excited
in ^in++++=in
the ^ati++++=the
village ^nn+nom+++=village
when ^wrb+who+++=when
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
known ^vpsv++agls+xvbnx+=known
that ^tht+vcmp+++=that
the ^ati++++=the
famous ^jj+atrb+++=famous
witch ^nn++++=witch,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
still ^rb++splt++=still
remembered ^vpsv++by+xvbnx+=remembered
by ^in++++=by
a ^ap++++=a
few ^ap"++++=few,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi++vrb++=be
exhumed ^jj+pred+++=exhumed.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
feeling ^jj+++xvbg+=feeling
of ^in++++=of
surprise ^nn++++=surprise,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
indeed ^qlp++++=indeed
disquiet ^jj+++??+=disquiet,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
strong ^jj++++=strong
when ^wrb+who+++=when
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
found ^vpsv++tht0+xvbnx+=found
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
her ^pp3o+pp3+++=her
coffin ^nn++++=coffin
was ^vbd+bedz+vrb++=was
fairly ^rb++++=fairly
sound ^jj+pred+++=sound
and ^cc+phrs+++=and
unbroken ^jj++++=unbroken,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+aux++=was
no ^at++++=no
trace ^vb++++=trace
whatever ^nn+nom+++=whatever
inside ^jjb++++=inside
it ^pp3+it+++=it
of ^in++++=of
body ^nn++++=body,
, ^zz++++=EXTRAWORD
bones ^nns++++=bones,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
dust ^nn++++=dust.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
curious ^jj+atrb+++=curious
phenomenon ^nn++++=phenomenon,
, ^zz++++=EXTRAWORD
for ^in++++=for
at ^in++++=at
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
her ^pp$+pp3+++=her
burying ^vbg+++xvbg+=burying
no ^at++++=no
such ^abl++++=such
things ^nns++++=things
were ^vbd+bed+aux++=were
dreamt ^vpsv++agls+xvbnx+=dreamt
of ^in++++=of
as ^in++++=as
resurrection ^nn+nom+++=resurrection-men,
- ^zz++++=EXTRAWORD
men ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
difficult ^jj+pred+++=difficult
to ^to+jcmp+++=to
conceive ^vbi+vprv+++=conceive
any ^dti++++=any
rational ^jj+atrb+++=rational
motive ^nn++++=motive
for ^in++++=for
stealing ^xvbg+++xvbg+=stealing
a ^at++++=a
body ^nn++++=body
otherwise ^rb+cnj+++=otherwise
than ^in++++=than
for ^in++++=for
the ^ati++++=the
uses ^nn++++=uses
of ^in++++=of
the ^ati++++=the
dissecting ^jj+++xvbg+=dissecting-room.
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
incident ^nn++++=incident
revived ^vbd+++xvbn+=revived
for ^in++++=for
a ^at++++=a
time ^nn++++=time
all ^rb++++=all
the ^ati++++=the
stories ^nns++++=stories
of ^in++++=of
witch ^nn++++=witch-trials
- ^zz++++=EXTRAWORD
trials ^nns++++=EXTRAWORD
and ^cc++++=and
of ^in++++=of
the ^ati++++=the
exploits ^nns++++=exploits
of ^in++++=of
the ^ati++++=the
witches ^nns++++=witches,
, ^zz++++=EXTRAWORD
dormant ^jj++++=dormant
for ^in++++=for
forty ^cd++++=forty
years ^nns++++=years,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Sir ^npt++++=Sir
Richard ^np++++=Richard's
's ^$++++=EXTRAWORD
orders ^vb++++=orders
that ^tht+vcmp+obj++=that
the ^ati++++=the
coffin ^nn++++=coffin
should ^md+nec+++=should
be ^vb+be+aux++=be
burnt ^vpsv++agls+xvbnx+=burnt
were ^vbd+bed+aux++=were
thought ^vpsv++by+xvbnx+=thought
by ^in++++=by
a ^ap++++=a
good ^ap"++++=good
many ^ap"++++=many
to ^to++++=to
be ^vbi++vrb++=be
rather ^rb++++=rather
foolhardy ^jj+pred+++=foolhardy,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
duly ^rb++splt++=duly
carried ^vpsv++agls+xvbnx+=carried
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
Richard ^np++++=Richard
was ^vbd+bedz+vrb++=was
a ^at++++=a
pestilent ^jj+atrb+++=pestilent
innovator ^nn++++=innovator,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
certain ^jj+pred+++=certain.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
his ^pp$+pp3+++=his
time ^nn++++=time
the ^ati++++=the
Hall ^npl++++=Hall
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
fine ^jj+atrb+++=fine
block ^nn++++=block
of ^in++++=of
the ^ati++++=the
mellowest ^jjt+atrb+++=mellowest
red ^jj+atrb+++=red
brick ^nn++++=brick;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Sir ^npt++++=Sir
Richard ^np++++=Richard
had ^vbd+hvd+aux++=had
travelled ^vprf+++xvbnx+=travelled
in ^in++++=in
Italy ^np++++=Italy
and ^cc++++=and
become ^vb++++=become
infected ^vbd+++xvbn+=infected
with ^in++++=with
the ^ati++++=the
Italian ^jj+atrb+++=Italian
taste ^nn++++=taste,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
more ^rbr++++=more
money ^nn++++=money
than ^in++++=than
his ^pp$+pp3+++=his
predecessors ^nns++++=predecessors,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
determined ^jj+++xvbnx+=determined
to ^to+jcmp+++=to
leave ^vbi++++=leave
an ^at++++=an
Italian ^jj+atrb+++=Italian
palace ^nn++++=palace
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
found ^vprf+++xvbnx+=found
an ^at++++=an
English ^jj+atrb+++=English
house ^npl++++=house.
. ^zz++++=EXTRAWORD
So ^ql++++=So
stucco ^vb+++??+=stucco
and ^cc++++=and
ashlar ^jj+++??+=ashlar
masked ^jj+++xvbn+=masked
the ^ati++++=the
brick ^nn++++=brick;
; ^zz++++=EXTRAWORD
some ^dti++++=some
indifferent ^jj+atrb+++=indifferent
Roman ^jj+atrb+++=Roman
marbles ^nns++++=marbles
were ^vbd+bed+aux++=were
planted ^vpsv++agls+xvbnx+=planted
about ^in++++=about
in ^in++++=in
the ^ati++++=the
entrance ^nn+nom+++=entrance-hall
- ^zz++++=EXTRAWORD
hall ^npl++++=EXTRAWORD
and ^cc++++=and
gardens ^nns++++=gardens;
; ^zz++++=EXTRAWORD
a ^at++++=a
reproduction ^nn+nom+++=reproduction
of ^in++++=of
the ^ati++++=the
Sibyl ^np++++=Sibyl's
's ^$++++=EXTRAWORD
temple ^np++++=temple
at ^rb++++=at
Tivoli ^np+++??+=Tivoli
was ^vbd+bedz+aux++=was
erected ^vpsv++agls+xvbnx+=erected
on ^in++++=on
the ^ati++++=the
opposite ^rb++++=opposite
bank ^npl++++=bank
of ^in++++=of
the ^ati++++=the
mere ^jjb++++=mere;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Castringham ^np+++??+=Castringham
took ^vbd+++xvbn+=took
on ^rb+phrv+++=on
an ^at++++=an
entirely ^rb+amp+++=entirely
new ^jj++++=new,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
a ^at++++=a
less ^rbr++++=less
engaging ^jj+++xvbg+=engaging,
, ^zz++++=EXTRAWORD
aspect ^nn++++=aspect.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
much ^ap++++=much
admired ^jj+++xvbn+=admired,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
served ^vbd+++xvbn+=served
as ^ql++++=as
a ^at++++=a
model ^nn++++=model
to ^in++++=to
a ^ap++++=a
good ^ap"++++=good
many ^ap"++++=many
of ^in++++=of
the ^ati++++=the
neighbouring ^jj+atrb+++=neighbouring
gentry ^nn++++=gentry
in ^in++++=in
after ^in++++=after
years ^nns++++=years.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
morning ^nn++++=morning
( ^zz++++=(it
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
in ^in++++=in
1754 ^cd+date+++=1754)
) ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
Richard ^np++++=Richard
woke ^vbd+++xvbn+=woke
after ^in++++=after
a ^at++++=a
night ^nn++++=night
of ^in++++=of
discomfort ^nn++++=discomfort.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
windy ^jj++++=windy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
chimney ^nn++++=chimney
had ^vbd+hvd+aux++=had
smoked ^vprf+++xvbnx+=smoked
persistently ^rb+cnj+++=persistently,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
cold ^jj++++=cold
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
must ^md+nec+++=must
keep ^vb++++=keep
up ^rb+phrv+++=up
a ^at++++=a
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
Also ^rb++++=Also
something ^pn++++=something
had ^vb+hv+vrb++=had
so ^ql+emph+++=so
rattled ^jj+++xvbn+=rattled
about ^in++++=about
the ^ati++++=the
window ^nn++++=window
that ^tht+rel+obj++=that
no ^at++++=no
man ^nn++++=man
could ^md+pos+++=could
get ^vb++++=get
a ^at++++=a
moment ^nn++++=moment's
's ^$++++=EXTRAWORD
peace ^nn++++=peace.
. ^zz++++=EXTRAWORD
Further ^jjb++++=Further,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
the ^ati++++=the
prospect ^nn++++=prospect
of ^in++++=of
several ^ap++++=several
guests ^nns++++=guests
of ^in++++=of
position ^nn+nom+++=position
arriving ^vwbg+++xvbg+=arriving
in ^in++++=in
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
the ^ati++++=the
day ^nn++++=day,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
would ^md+prd+++=would
expect ^vb+vprv+++=expect
sport ^nn++++=sport
of ^in++++=of
some ^dti++++=some
kind ^nn++++=kind,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
inroads ^nns++++=inroads
of ^in++++=of
the ^ati++++=the
distemper ^nn+nom+++=distemper
( ^zz++++=(which
which ^whp+who+++=EXTRAWORD
continued ^vbd+++xvbn+=continued
among ^in++++=among
his ^pp$+pp3+++=his
game ^nn++++=game)
) ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
lately ^rb+tm+++=lately
so ^rb+emph+++=so
serious ^jj++++=serious
that ^tht+jcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
afraid ^jj+pred+++=afraid
for ^in++++=for
his ^pp$+pp3+++=his
reputation ^nn+nom+++=reputation
as ^in++++=as
a ^at++++=a
game ^nn++++=game-preserver.
- ^zz++++=EXTRAWORD
preserver ^nn+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
what ^wdt+who+++=what
really ^rb+emph+++=really
touched ^vbd+++xvbn+=touched
him ^pp3o+pp3+++=him
most ^ql+emph+++=most
nearly ^rb+down+++=nearly
was ^vbd+bedz+vrb++=was
the ^ati++++=the
other ^ap++++=other
matter ^nn++++=matter
of ^in++++=of
his ^pp$+pp3+++=his
sleepless ^jj+atrb+++=sleepless
night ^nn++++=night.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
certainly ^rb++++=certainly
not ^xnot++not++=not
sleep ^vb++++=sleep
in ^cs+sub+++=in
that ^cs"++++=that
room ^nn++++=room
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
the ^ati++++=the
chief ^jjb+atrb+++=chief
subject ^nn++++=subject
of ^in++++=of
his ^pp$+pp3+++=his
meditations ^nns+nom+++=meditations
at ^in++++=at
breakfast ^nn++++=breakfast,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^cs+sub+++=after
it ^pp3+it+++=it
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
a ^at++++=a
systematic ^jj+atrb+++=systematic
examination ^nn+nom+++=examination
of ^in++++=of
the ^ati++++=the
rooms ^nns++++=rooms
to ^to++++=to
see ^vbi+vprv+++=see
which ^whp+who+++=which
would ^md+prd+++=would
suit ^vb++++=suit
his ^pp$+pp3+++=his
notions ^nns+nom+++=notions
best ^jjt++++=best.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
long ^rb++++=long
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
found ^vbd+vprv+tht0+xvbnx+=found
one ^pn++++=one.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
had ^vb+hv+vrb++=had
a ^at++++=a
window ^nn++++=window
with ^in++++=with
an ^at++++=an
eastern ^jj+atrb+++=eastern
aspect ^nn++++=aspect
and ^cc++++=and
that ^cs+sub+++=that
with ^in++++=with
a ^at++++=a
northern ^jj++++=northern;
; ^zz++++=EXTRAWORD
this ^dt+dem+++=this
door ^nn++++=door
the ^ati++++=the
servants ^nns+nom+++=servants
would ^md+prd+++=would
be ^vb+be+aux++=be
always ^rb++splt++=always
passing ^vbg+++xvbgx+=passing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
like ^in++++=like
the ^ati++++=the
bedstead ^nn++++=bedstead
in ^cs+sub+++=in
that ^cs"++++=that.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
must ^md+nec+++=must
have ^vb+hv+vrb++=have
a ^at++++=a
room ^nn++++=room
with ^in++++=with
a ^at++++=a
western ^nn++++=western
look ^vb++++=look-out,
- ^zz++++=EXTRAWORD
out ^rp+pl+++=EXTRAWORD
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
the ^ati++++=the
sun ^nn++++=sun
could ^md+pos+++=could
not ^xnot++not++=not
wake ^nn++++=wake
him ^pp3o+pp3+++=him
early ^jj++++=early,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
must ^md+nec+++=must
be ^vb+be+vrb++=be
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
way ^nn++++=way
of ^in++++=of
the ^ati++++=the
business ^nns+nom+++=business
of ^in++++=of
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
The ^ati++++=The
housekeeper ^nn+nom+++=housekeeper
was ^vbd+bedz+vrb++=was
at ^rb++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
her ^pp$+pp3+++=her
resources ^nns++++=resources.
. ^zz++++=EXTRAWORD
' ^zz++++='Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
Richard ^np++++=Richard,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
' ^zz++++='you
you ^pp2+pp2+++=EXTRAWORD
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
but ^cc++++=but
one ^cd1++++=one
room ^nn++++=room
like ^in++++=like
that ^dt+dem+++=that
in ^in++++=in
the ^ati++++=the
house ^nn++++=house.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Which
which ^whp+who+++=EXTRAWORD
may ^md+pos+++=may
that ^dt+pdem+++=that
be ^vb+be+vrb++=be?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Sir ^npt++++=Sir
Richard ^np++++=Richard.
. ^zz++++=EXTRAWORD
' ^zz++++='And
and ^cc++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
Sir ^npt++++=Sir
Matthew ^np++++=Matthew's
's ^$++++=EXTRAWORD
the ^ati++++=the
West ^np+pl+++=West
Chamber ^nn++++=Chamber.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
put ^j+++xvbn+=put
me ^pp1o+pp1+++=me
in ^in++++=in
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
for ^in++++=for
there ^rn+pl+++=there
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
lie ^vb++++=lie
tonight ^nr+tm+++=tonight,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
her ^pp$+pp3+++=her
master ^nn++++=master.
. ^zz++++=EXTRAWORD
' ^zz++++='Which
which ^whp+who+++=EXTRAWORD
way ^nn++++=way
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
sure ^jj+atrb+++=sure';
'; ^nn+++??+=EXTRAWORD
and ^cc++++=and
he ^pp3a+pp3+++=he
hurried ^vbd+++xvbnx+=hurried
off ^in+strn+++=off.
. ^zz++++=EXTRAWORD
' ^zz++++='Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
Richard ^np++++=Richard,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^at++++=no
one ^cd1++++=one
has ^vbz+hvz+aux++=has
slept ^vprf+++xvbnx+=slept
there ^rn+pl+++=there
these ^dt+dem+++=these
forty ^cd++++=forty
years ^nns++++=years.
. ^zz++++=EXTRAWORD
The ^ati++++=The
air ^nn++++=air
has ^vbz+hvz+aux++=has
hardly ^rb+down+splt++=hardly
been ^vprf+ben+aux+xvbnx+=been
changed ^vpsv++agls+xvbnx+=changed
since ^cs+sub+++=since
Sir ^npt++++=Sir
Matthew ^np++++=Matthew
died ^vbd+++xvbn+=died
there ^rn+pl+++=there.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
she ^pp3a+pp3+++=she
spoke ^vbd+++xvbnx+=spoke,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rustled ^vbd+++xvbn+=rustled
after ^in++++=after
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
' ^zz++++='Come,
come ^vprf+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
open ^jj++++=open
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs
Chiddock ^np++++=Chiddock.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
see ^vb+vprv+++=see
the ^ati++++=the
chamber ^nn++++=chamber,
, ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
So ^ql++++=So
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
opened ^vpsv++agls+xvbnx+=opened,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
smell ^nn++++=smell
was ^vbd+bedz+aux++=was
very ^ql+amp+++=very
close ^vb++++=close
and ^cc++++=and
earthy ^jj++++=earthy.
. ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
Richard ^np++++=Richard
crossed ^vbd+++xvbn+=crossed
to ^in++++=to
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
impatiently ^rb+cnj+++=impatiently,
, ^zz++++=EXTRAWORD
as ^ql++++=as
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
wont ^nn++++=wont,
, ^zz++++=EXTRAWORD
threw ^j+++xvbn+=threw
the ^ati++++=the
shutters ^nns+nom+++=shutters
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
flung ^vbd+++xvbn+=flung
open ^jj++++=open
the ^ati++++=the
casement ^nn+nom+++=casement.
. ^zz++++=EXTRAWORD
For ^in++++=For
this ^dt+dem+++=this
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
house ^nn++++=house
was ^vbd+bedz+vrb++=was
one ^cd1++++=one
which ^whp+rel+obj++=which
the ^ati++++=the
alterations ^nns+nom+++=alterations
had ^vb+hv+aux++=had
barely ^rb+down+splt++=barely
touched ^vprf+++xvbnx+=touched,
, ^zz++++=EXTRAWORD
grown ^j+++xvbn+=grown
up ^rp++++=up
as ^ql++++=as
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
with ^in++++=with
the ^ati++++=the
great ^jj+atrb+++=great
ash ^nn++++=ash-tree,
- ^zz++++=EXTRAWORD
tree ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
being ^vbg+beg++xvbg+=being
otherwise ^rb+cnj+++=otherwise
concealed ^jj+++xvbn+=concealed
from ^in++++=from
view ^nn++++=view.
. ^zz++++=EXTRAWORD
' ^zz++++='Air
air ^nn++++=EXTRAWORD
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs
Chiddock ^np++++=Chiddock,
, ^zz++++=EXTRAWORD
all ^abn++++=all
today ^nr+tm+++=today,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
move ^vb++++=move
my ^pp$+pp1+++=my
bed ^nn++++=bed-furniture
- ^zz++++=EXTRAWORD
furniture ^nn++++=EXTRAWORD
in ^in++++=in
in ^in++++=in
the ^ati++++=the
afternoon ^nn++++=afternoon.
. ^zz++++=EXTRAWORD
Put ^j+++xvbn+=Put
the ^ati++++=the
Bishop ^nn++++=Bishop
of ^in++++=of
Kilmore ^np+++??+=Kilmore
in ^in++++=in
my ^pp$+pp1+++=my
old ^jj+atrb+++=old
room ^nn++++=room.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Pray,
pray ^vb+vsua+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
Richard ^np++++=Richard,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
a ^at++++=a
new ^jj+atrb+++=new
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
breaking ^vbg+++xvbg+=breaking
in ^rb+phrv+++=in
on ^in++++=on
this ^dt+dem+++=this
speech ^nn++++=speech,
, ^zz++++=EXTRAWORD
' ^zz++++='might
might ^md+pos+++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
the ^ati++++=the
favour ^nn++++=favour
of ^in++++=of
a ^at++++=a
moment ^nn++++=moment's
's ^$++++=EXTRAWORD
interview ^nn++++=interview?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
Richard ^np++++=Richard
turned ^vbd+++xvbn+=turned
round ^rb+phrv+++=round
and ^cc++++=and
saw ^vbd+vprv++xvbn+=saw
a ^at++++=a
man ^nn++++=man
