Coming ^vbg+++xvbg+=Coming
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Captain ^npt++++=Captain
irritably ^rb++++=irritably.
. ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
man ^nn++++=man
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
haul ^vb++++=haul
an ^at++++=an
outfit ^nn++++=outfit
that ^tht+rel+++=that
far ^rb+cnj+++=far,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
two ^cd++++=two
can ^md+pos+++=can,
, ^zz++++=EXTRAWORD
so ^ql++++=so
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
take ^vb++++=take
Klusky ^np+++??+=Klusky
with ^in++++=with
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
spoke ^vbd+++xvbnx+=spoke
with ^in++++=with
finality ^nn+nom+++=finality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Jew ^nn++++=Jew
started ^vbd+++xvbn+=started,
, ^zz++++=EXTRAWORD
gazing ^vbg+++xvbg+=gazing
queerly ^rb++++=queerly.
. ^zz++++=EXTRAWORD
" ^zz++++="We'll
we ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
go ^vb++++=go
light ^nn++++=light,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
drive ^nn++++=drive
back ^jjb++++=back
a ^at++++=a
herd ^nn++++=herd
of ^in++++=of
reindeer ^nn+nom+++=reindeer."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="By
by ^in++++=EXTRAWORD
thunder ^nn++++=thunder!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
clean ^jj++++=clean
forgot ^vbd+vprv++xvbn+=forgot
the ^ati++++=the
reindeer ^nn+nom+++=reindeer.
. ^zz++++=EXTRAWORD
The ^ati++++=The
government ^nn+nom+++=government
was ^vbd+bedz+vrb++=was
aimin ^nn+++??+=aimin'
' ^zz++++=EXTRAWORD
to ^to++++=to
start ^vbi++++=start
a ^at++++=a
post ^nn++++=post
there ^rn+pl+++=there
last ^jj+atrb+++=last
fall ^nn++++=fall,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
Say ^vb+vpub+++=Say!
! ^zz++++=EXTRAWORD
Mebbe ^rb++++=Mebbe
you ^pp2+pp2+++=you
can ^md+pos+++=can
make ^vb++++=make
it ^pp3+it+++=it
after ^in++++=after
all ^abn++++=all,
, ^zz++++=EXTRAWORD
Kid ^nn++++=Kid."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
features ^nns++++=features
brightened ^vbd+++xvbn+=brightened
hopefully ^rb++++=hopefully.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
d ^zz++++=d'
' ^zz++++=EXTRAWORD
ye ^pp2+pp2+++=ye
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
Klusky ^np+++??+=Klusky?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
one ^cd1++++=one
addressed ^vwbn+++xvbn+=addressed
answered ^vbd+vpub++xvbn+=answered
nervously ^rb+cnj+++=nervously,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
with ^in++++=with
excitement ^nn+nom+++=excitement.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+aux++=be
done ^vpsv++agls+xvbnx+=done!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
possible ^jj++++=possible,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
strong ^jj++++=strong
enough ^qlp++++=enough
to ^to++++=to
pull ^vbi++++=pull
the ^ati++++=the
sled ^nn++++=sled.
. ^zz++++=EXTRAWORD
V ^zz++++=V'y
'y ^nn+++??+=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
and ^cc++++=and
George ^np++++=George
go ^vb++++=go
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
stay ^vb++++=stay--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
Captain ^npt++++=Captain
laid ^vbd+++xvbn+=laid
a ^at++++=a
heavy ^jj+atrb+++=heavy
hand ^nn++++=hand
on ^in++++=on
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder.
. ^zz++++=EXTRAWORD
" ^zz++++="That'll
that ^dt+pdem+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
talking ^vbg+++xvbg+=talking
about ^in+strn+++=about?
? ^zz++++=EXTRAWORD
George ^np++++=George
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
last ^rb++++=last
two ^cd++++=two
days ^nns++++=days,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
listen ^vb++++=listen.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
have ^md"++pmd"++=have
to ^md+nec+++=to
go ^vb++++=go,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
infernal ^jj+atrb+++=infernal
greasy ^jj+atrb+++=greasy
dog ^nn++++=dog,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
others ^aps++++=others
in ^in++++=in
camp ^nn++++=camp,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
will ^md+prd+++=will
go ^vb++++=go
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
walk ^nn++++=walk
him ^pp3o+pp3+++=him
at ^in++++=at
the ^ati++++=the
muzzle ^nn++++=muzzle
of ^in++++=of
a ^at++++=a
gun ^nn++++=gun.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
gave ^vbd+++xvbnx+=gave
you ^pp2+pp2+++=you
first ^rb++++=first
chance ^nn++++=chance,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
we ^pp1a+pp1+++=we've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
good ^jj++++=good
to ^to+jcmp+++=to
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
get ^vb++++=get
out ^rb+phrv+++=out."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
snatched ^vbd+++xvbnx+=snatched
him ^pp3o+pp3+++=him
from ^in++++=from
his ^pp$+pp3+++=his
seat ^nn++++=seat
and ^cc++++=and
hurled ^vbd+++xvbn+=hurled
him ^pp3o+pp3+++=him
at ^in++++=at
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
fell ^vbd+++xvbnx+=fell
in ^in++++=in
a ^at++++=a
heap ^nn++++=heap.
. ^zz++++=EXTRAWORD
Klusky ^np+++??+=Klusky
arose ^vbd+++xvbn+=arose,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
snapped ^vbd+++xvbn+=snapped
wildly ^rb++++=wildly
and ^cc++++=and
he ^pp3a+pp3+++=he
trembled ^vbd+++xvbnx+=trembled,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke
insidiously ^rb+cnj+++=insidiously,
, ^zz++++=EXTRAWORD
with ^in++++=with
oily ^jj+atrb+++=oily
modulation ^nn+nom+++=modulation.
. ^zz++++=EXTRAWORD
" ^zz++++="Vait
vait ^nn+++??+=EXTRAWORD
a ^at++++=a
meenute ^nn+++??+=meenute,
, ^zz++++=EXTRAWORD
Meestaire ^np+++??+=Meestaire
Captain ^nn++++=Captain,
, ^zz++++=EXTRAWORD
vait ^nn+++??+=vait
a ^at++++=a
meenute ^nn+++??+=meenute.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
say ^vb+vpub+tht0++=say
I ^pp1a+pp1+++=I
vould ^nn+++??+=vouldn't
n't ^xnot++not++0=EXTRAWORD
go ^vb++++=go.
. ^zz++++=EXTRAWORD
Oi ^uh++++=Oi!
! ^zz++++=EXTRAWORD
Oi ^uh++++=Oi!
! ^zz++++=EXTRAWORD
Vat ^np+++??+=Vat
a ^at++++=a
man ^nn++++=man!
! ^zz++++=EXTRAWORD
Shoor ^np+++??+=Shoor
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
go ^vb++++=go.
. ^zz++++=EXTRAWORD
Coitenly ^np+++??+=Coitenly!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
good ^jj++++=good
to ^to+jcmp+++=to
me ^pp1o+pp1+++=me
and ^cc++++=and
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
devils ^nns++++=devils.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hope ^nn++++=hope
they ^pp3a+pp3+++=they
die ^vb++++=die."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
shook ^vbd+++xvbnx+=shook
a ^at++++=a
bony ^jj+atrb+++=bony
fist ^nn++++=fist
in ^in++++=in
the ^ati++++=the
direction ^nn+nom+++=direction
of ^in++++=of
the ^ati++++=the
camp ^nn++++=camp,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
his ^pp$+pp3+++=his
voice ^nn++++=voice
took ^vbd+++xvbn+=took
on ^rb+phrv+++=on
its ^pp$+it+++=its
fanatical ^jj+atrb+++=fanatical
shrillness ^nns+nom+++=shrillness.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
in ^in++++=in
h ^zz++++=h---before
-- ^--+clp+++=EXTRAWORD
- ^zz++++=EXTRAWORD
before ^in++++=EXTRAWORD
I ^pp1a+pp1+++=I
help ^nn++++=help
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
the ^ati++++=the
pigs ^nns++++=pigs,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you--ah,
-- ^--+clp+++=EXTRAWORD
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
my ^pp$+pp1+++=my
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
yes ^uh++++=yes
? ^zz++++=?"
" ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
right ^jj++++=right;
; ^zz++++=EXTRAWORD
be ^vb+be+vrb++=be
here ^rn+pl+++=here
at ^in++++=at
daylight ^nn++++=daylight,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Captain ^npt++++=Captain
gruffly ^jj++++=gruffly.
. ^zz++++=EXTRAWORD
Anger ^nn++++=Anger
came ^vbd+++xvbn+=came
slowly ^rb++++=slowly
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
trace ^nn++++=trace
was ^vbd+bedz+vrb++=was
even ^rb++++=even
slower ^jjr+pred+++=slower
in ^in++++=in
its ^pp$+it+++=its
leaving ^nvbg+++xvbg+=leaving.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
like ^in++++=like
him ^pp3o+pp3+++=him,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
George ^np++++=George,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
slunk ^nn+++??+=slunk
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
on ^in++++=on
the ^ati++++=the
level ^nn++++=level.
. ^zz++++=EXTRAWORD
Watch ^nn++++=Watch
him ^pp3o+pp3+++=him
close ^rb+cnj+++=close,
, ^zz++++=EXTRAWORD
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
up ^in+cmpx+++=up
to ^in"++++=to
some ^dti++++=some
devilment ^nn+nom+++=devilment."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Keep
keep ^vb++++=EXTRAWORD
up ^rb+phrv+++=up
your ^pp$+pp2+++=your
courage ^nn+nom+++=courage,
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
man ^nn++++=man.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
back ^jjb+pred+++=back
in ^in++++=in
twelve ^cd++++=twelve
days ^nns++++=days."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Captain ^npt++++=Captain
said ^vbd+vpub++xvbn+=said
it ^pp3+it+++=it
with ^in++++=with
decision ^nn++++=decision,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
his ^pp$+pp3+++=his
heart ^nn++++=heart
sank ^vbd+++xvbn+=sank
as ^ql++++=as
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt
the ^ati++++=the
uncertainties ^nns++++=uncertainties
before ^in++++=before
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
George ^np++++=George
looked ^vbd+++xvbn+=looked
squarely ^rb++++=squarely
into ^in++++=into
his ^pp$+pp3+++=his
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
" ^zz++++="God
god ^np++++=EXTRAWORD
bless ^vb++++=bless
ye ^pp2+pp2+++=ye,
, ^zz++++=EXTRAWORD
boy ^nn++++=boy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
cabined ^vprf+++xvbnx+=cabined
with ^in++++=with
many ^ap++++=many
a ^at++++=a
man ^nn++++=man,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
never ^rb++++=never
one ^pn++++=one
like ^in++++=like
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
a ^at++++=a
hard ^jj+atrb+++=hard
old ^jj+atrb+++=old
nut ^nn++++=nut,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
worth ^in++++=worth
what ^wdt+who+++=what
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^to++++=to
suffer ^vbi++++=suffer,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
mebbe ^rb++++=mebbe
you ^pp2+pp2+++=you
can ^md+pos+++=can
save ^vb++++=save
these ^dt+dem+++=these
other ^ap++++=other
idiots ^nns+++??+=idiots.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
we ^pp1a+pp1+++=we're
're ^vb+ber+aux++0=EXTRAWORD
put ^vpsv++agls+xvbnx+=put
here ^rn+pl+++=here
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
to ^to++++=to
help ^vbi++++=help
them ^pp3o+pp3+++=them
as ^ql++++=as
is ^vbz+bez+vrb++=is
too ^rb++++=too
ornery ^nn++++=ornery
to ^to++++=to
help ^vbi++++=help
theirselves ^nns+++??+=theirselves."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
smiled ^vbd+++xvbnx+=smiled
at ^rb++++=at
Captain ^npt++++=Captain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
young ^jj+atrb+++=young
man ^nn++++=man
left ^vbd+++xvbn+=left
him ^pp3o+pp3+++=him
blindly ^rb++++=blindly.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
seldom ^rb++++=seldom
smiled ^vbd+++xvbn+=smiled,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
see ^vbi+vprv+tht0++=see
it ^pp3+it+++=it
now ^rn+tm+++=now
made ^vbd+++xvbn+=made
his ^pp$+pp3+++=his
partner ^nn++++=partner's
's ^$++++=EXTRAWORD
breast ^nn++++=breast
heave ^nn++++=heave
achingly ^rb++++=achingly.
. ^zz++++=EXTRAWORD
" ^zz++++="Good
good ^jj+atrb+++=EXTRAWORD
old ^jj+atrb+++=old
George ^np++++=George!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
murmured ^vbd+++xvbnx+=murmured
as ^ql++++=as
they ^pp3a+pp3+++=they
pulled ^vbd+++xvbnx+=pulled
out ^rp+pl+++=out
upon ^in++++=upon
the ^ati++++=the
river ^nn++++=river.
. ^zz++++=EXTRAWORD
" ^zz++++="Good
good ^jj+atrb+++=EXTRAWORD
old ^jj+atrb+++=old
George ^np++++=George!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
As ^ql++++=As
they ^pp3a+pp3+++=they
passed ^vbd+++xvbnx+=passed
from ^in++++=from
the ^ati++++=the
settlement ^nn+nom+++=settlement
an ^at++++=an
Indian ^nn++++=Indian
came ^vbd+++xvbn+=came
to ^in++++=to
the ^ati++++=the
door ^nn++++=door
of ^in++++=of
the ^ati++++=the
last ^rb++++=last
hovel ^nn+++??+=hovel.
. ^zz++++=EXTRAWORD
" ^zz++++="Hello.
hello ^rb+dspt+++=EXTRAWORD
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
Siwash ^np+++??+=Siwash
in ^in++++=in
your ^pp$+pp2+++=your
cabin ^nn++++=cabin,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Captain ^npt++++=Captain.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
he ^pp3a+pp3+++=he
doing ^vbg+++xvbg+=doing
there ^rn+pl+++=there
? ^zz++++=?"
" ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
all ^abn++++=all
right ^jj++++=right,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
rejoined ^vbd+++xvbn+=rejoined
Klusky ^np+++??+=Klusky.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
to ^to++++=to
stay ^vbi++++=stay
and ^cc++++=and
vatch ^nn+++??+=vatch
t ^zz++++=t'ings."
'ings." ^nn+++??+=EXTRAWORD
" ^zz++++="Rather
rather ^rb++++=EXTRAWORD
strange ^jj++++=strange,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
thought ^nn+++xvbn+=thought
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
wonder ^vb++++=wonder
what ^wdt+who+++=what
there ^ex+pex+++=there
is ^vbz+bez+aux++=is
to ^to++++=to
watch ^vbi++++=watch.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+aux++0=EXTRAWORD
never ^rb++++=never
been ^vprf+ben+vrb+xvbn+=been
any ^dti++++=any
stealing ^jj+++xvbg+=stealing
around ^rp++++=around
here ^rn+pl+++=here."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
To ^in++++=To
the ^ati++++=the
unversed ^jj+++xvbn+=unversed,
, ^zz++++=EXTRAWORD
a ^at++++=a
march ^nn++++=march
by ^in++++=by
sled ^nn++++=sled
would ^md+prd+++=would
seem ^vb+seem+++=seem
simplicity ^nn+nom+++=simplicity.
. ^zz++++=EXTRAWORD
In ^in++++=In
reality ^nn+nom+++=reality
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
more ^rbr++++=more
discouraging ^jj+atrb+++=discouraging
test ^nn++++=test
than ^in++++=than
to ^to++++=to
hit ^vbi++++=hit
the ^ati++++=the
trail ^nn++++=trail,
, ^zz++++=EXTRAWORD
dogless ^jj++++=dogless
and ^cc++++=and
by ^in++++=by
strength ^nn++++=strength
of ^in++++=of
back ^nn++++=back.
. ^zz++++=EXTRAWORD
The ^ati++++=The
human ^jj++++=human
biped ^jj+++xvbn+=biped
cannot ^md+pos+not++=cannot
drag ^vb++++=drag
across ^in+pl+++=across
the ^ati++++=the
snow ^nn++++=snow
for ^in++++=for
any ^dti++++=any
distance ^nn+nom+++=distance
more ^rbr++++=more
than ^in++++=than
its ^pp$+it+++=its
own ^ap++++=own
weight ^nn++++=weight;
; ^zz++++=EXTRAWORD
hence ^rb+cnj+++=hence
equipment ^nn+nom+++=equipment
is ^vbz+bez+vrb++=is
of ^in++++=of
the ^ati++++=the
simplest ^nn++++=simplest.
. ^zz++++=EXTRAWORD
At ^rb++++=At
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sledge ^nn+++??+=sledge
rope ^nn++++=rope
galls ^nnus++++=galls
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
neck ^nn++++=neck
with ^in++++=with
a ^at++++=a
continual ^jj++++=continual,
, ^zz++++=EXTRAWORD
endless ^jj++++=endless,
, ^zz++++=EXTRAWORD
yielding ^vbg+++xvbg+=yielding
drag ^nn++++=drag,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
back ^jjb+atrb+++=back
pains ^nns++++=pains
peculiar ^jj++++=peculiar
to ^in++++=to
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
this ^dt+dem+++=this
eternal ^jj++++=eternal
maddening ^jj++++=maddening
pull ^vb++++=pull,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
pitiful ^jj+atrb+++=pitiful
crawling ^jj+atrb++xvbg+=crawling
gait ^nn++++=gait
that ^tht+rel+subj++=that
tells ^vbz++++=tells;
; ^zz++++=EXTRAWORD
horse ^nn++++=horse's
's ^$++++=EXTRAWORD
labour ^nn++++=labour
and ^cc++++=and
a ^at++++=a
snail ^nn++++=snail's
's ^$++++=EXTRAWORD
pace ^nn++++=pace.
. ^zz++++=EXTRAWORD
The ^ati++++=The
toil ^nn++++=toil
begets ^nns+++??+=begets
a ^at++++=a
perspiration ^nn+nom+++=perspiration
which ^whp+rel+obj++=which
the ^ati++++=the
cold ^nn++++=cold
solidifies ^vbz++++=solidifies
midway ^rb++++=midway
through ^in++++=through
the ^ati++++=the
garments ^nns+nom+++=garments.
. ^zz++++=EXTRAWORD
At ^rb++++=At
every ^at++++=every
pause ^nn++++=pause
the ^ati++++=the
clammy ^jj+atrb+++=clammy
clothes ^nns++++=clothes
grow ^vb++++=grow
chill ^nn++++=chill,
, ^zz++++=EXTRAWORD
forcing ^vbg+++xvbg+=forcing
one ^cd1++++=one
forward ^nn++++=forward,
, ^zz++++=EXTRAWORD
onward ^jjb++++=onward,
, ^zz++++=EXTRAWORD
with ^in++++=with
sweating ^xvbg+++xvbg+=sweating
body ^nn++++=body
and ^cc++++=and
freezing ^nn++++=freezing
face ^nn++++=face.
. ^zz++++=EXTRAWORD
In ^in++++=In
extreme ^nn++++=extreme
cold ^jj++++=cold,
, ^zz++++=EXTRAWORD
snow ^nn++++=snow
pulverizes ^vbz++++=pulverizes
dryly ^rb++++=dryly
till ^in++++=till
steel ^nn++++=steel
runners ^nns+nom+++=runners
drag ^nn++++=drag
as ^cs+sub+++=as
though ^cs+sub+++=though
slid ^vbd+++xvbn+=slid
through ^in++++=through
sand ^nn++++=sand.
. ^zz++++=EXTRAWORD
Occasional ^jj+atrb+++=Occasional
overflows ^nns+++??+=overflows
bar ^nn++++=bar
the ^ati++++=the
stream ^nn++++=stream
from ^in++++=from
bank ^nn++++=bank
to ^in++++=to
bank ^nn++++=bank,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
wet ^jj+atrb+++=wet
feet ^nns++++=feet
and ^cc++++=and
quick ^jj+atrb+++=quick
changes ^nns++++=changes
by ^in++++=by
hasty ^jj+atrb+++=hasty
fires ^nns++++=fires
to ^to++++=to
save ^vbi++++=save
numb ^jj+atrb+++=numb
toes ^nns++++=toes.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
the ^ati++++=the
air ^nn++++=air
is ^vbz+bez+vrb++=is
dead ^jj+pred+++=dead
under ^in++++=under
a ^at++++=a
smother ^nn++++=smother
of ^in++++=of
falling ^xvbg+++xvbg+=falling
flakes ^nns++++=flakes
that ^tht+rel+obj++=that
fluff ^nn+++??+=fluff
up ^rp++++=up
ankle ^nn++++=ankle
deep ^jj++++=deep,
, ^zz++++=EXTRAWORD
knee ^nn++++=knee
deep ^jj++++=deep,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
the ^ati++++=the
sled ^nn++++=sled
plunges ^vbz++++=plunges
along ^in++++=along
behind ^in+strn+++=behind,
, ^zz++++=EXTRAWORD
half ^abn++++=half
buried ^jj+++xvbn+=buried,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
men ^nns++++=men
wallow ^vb++++=wallow
and ^cc+phrs+++=and
invent ^vb++++=invent
ingenious ^jj+atrb+++=ingenious
oaths ^nns++++=oaths.
. ^zz++++=EXTRAWORD
Again ^rb+tm+++=Again
