Mamma ^npt++++=Mamma
the ^ati++++=the
donkey ^nn++++=donkey,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
still ^rb++splt++=still
trying ^vbg+++xvbgx+=trying
to ^to+vcmp+++=to
stand ^vbi++++=stand
up ^rp++++=up
straight ^rb++++=straight.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
fault ^nn++++=fault
lies ^vbz++++=lies
with ^in++++=with
yourselves ^ppls+pp2+++=yourselves,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Jane ^np++++=Jane
Gladys ^np+++??+=Gladys,
, ^zz++++=EXTRAWORD
severely ^rb++++=severely.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
stay ^vb++++=stay
in ^in++++=in
the ^ati++++=the
book ^nn++++=book,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were
put ^vpsv++agls+xvbnx+=put?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
animals ^nns+nom+++=animals
looked ^vbd+++xvbn+=looked
at ^rb++++=at
each ^dt++++=each
other ^ap++++=other
in ^in++++=in
a ^at++++=a
foolish ^jj+atrb+++=foolish
way ^nn++++=way,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
clown ^nn++++=clown
blushed ^vbd+++xvbn+=blushed
under ^in++++=under
his ^pp$+pp3+++=his
white ^jj+atrb+++=white
paint ^nn++++=paint.
. ^zz++++=EXTRAWORD
" ^zz++++="Really--"
really ^rb+emph+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
began ^vbd+++xvbn+=began
the ^ati++++=the
bear ^nn++++=bear,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
stopped ^vbd+++xvbnx+=stopped
short ^jj++++=short.
. ^zz++++=EXTRAWORD
The ^ati++++=The
door ^nn++++=door
bell ^nn++++=bell
rang ^vbd+++xvbn+=rang
loudly ^rb++++=loudly.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
mamma ^npt++++=mamma!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Jane ^np++++=Jane
Gladys ^np+++??+=Gladys,
, ^zz++++=EXTRAWORD
springing ^vbg+++xvbg+=springing
to ^in++++=to
her ^pp$+pp3+++=her
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
" ^zz++++="She's
she ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
come ^vb++++=come
home ^nr++++=home
at ^rb++++=at
last ^rb"++++=last.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
stupid ^jj+atrb+++=stupid
creatures ^nns++++=creatures--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
interrupted ^vpsv++by+xvbnx+=interrupted
by ^in++++=by
them ^pp3o+pp3+++=them
all ^abn++++=all
making ^jj+++xvbg+=making
a ^at++++=a
rush ^nn++++=rush
for ^in++++=for
the ^ati++++=the
book ^nn++++=book.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
swish ^nn++++=swish
and ^cc++++=and
a ^at++++=a
whirr ^nn+++??+=whirr
and ^cc++++=and
a ^at++++=a
rustling ^nn+nom+++=rustling
of ^in++++=of
leaves ^nns++++=leaves,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
instant ^nn+nom+++=instant
later ^rbr+tm+++=later
the ^ati++++=the
book ^nn++++=book
lay ^vbd+++xvbn+=lay
upon ^in++++=upon
the ^ati++++=the
floor ^nn++++=floor
looking ^vwbg+++xvbg+=looking
just ^rb+emph+++=just
like ^in++++=like
any ^dti++++=any
other ^ap++++=other
book ^nn++++=book,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Jane ^np++++=Jane
Gladys ^np+++??+=Gladys'
' ^zz++++=EXTRAWORD
strange ^jj+atrb+++=strange
companions ^nns++++=companions
had ^vb+hv+vrb++=had
all ^abn++++=all
disappeared ^jj+++xvbn+=disappeared.
. ^zz++++=EXTRAWORD
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
This ^dt+dem+++=This
story ^nn++++=story
should ^md+nec+++=should
teach ^vb+vsua+++=teach
us ^pp1o+pp1+++=us
to ^to++++=to
think ^vbi+vprv+++=think
quickly ^rb++++=quickly
and ^cc+phrs+++=and
clearly ^rb++++=clearly
upon ^in++++=upon
all ^abn++++=all
occasions ^nns++++=occasions;
; ^zz++++=EXTRAWORD
for ^in++++=for
had ^vb+hv+vrb++=had
Jane ^np++++=Jane
Gladys ^np+++??+=Gladys
not ^xnot++not++=not
remembered ^vbd+vprv++xvbn+=remembered
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
owned ^vbd+++xvbnx+=owned
the ^ati++++=the
bear ^nn++++=bear
he ^pp3a+pp3+++=he
probably ^rb++++=probably
would ^md+prd+++=would
have ^vb+hv+aux++=have
eaten ^vpsv++agls+xvbn+=eaten
her ^pp$+pp3+++=her
before ^cs+sub+++=before
the ^ati++++=the
bell ^nn++++=bell
rang ^vbd+++xvbn+=rang.
. ^zz++++=EXTRAWORD
