Winifred ^np++++=Winifred
thought ^vbd+++xvbnx+=thought
about ^in++++=about
Mary ^np++++=Mary
Cochran ^np++++=Cochran.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
a ^at++++=a
girl ^nn++++=girl
from ^in++++=from
a ^at++++=a
country ^nn++++=country
town ^nn++++=town.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
must ^md+nec+++=must
be ^vb+be+vrb++=be
like ^in++++=like
millions ^cds++++=millions
of ^in++++=of
American ^jj+atrb+++=American
girls ^nns++++=girls.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wondered ^vbd+vprv++xvbnx+=wondered
what ^wdt+who+whcl++=what
went ^vbd+++xvbn+=went
on ^in++++=on
in ^in++++=in
her ^pp$+pp3+++=her
mind ^nn++++=mind
as ^ql++++=as
she ^pp3a+pp3+++=she
sat ^vbd+++xvbnx+=sat
in ^in++++=in
his ^pp$+pp3+++=his
class ^nn++++=class-room,
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
walked ^vbd+++xvbnx+=walked
beside ^in+pl+++=beside
him ^pp3o+pp3+++=him
along ^in++++=along
the ^ati++++=the
streets ^nns++++=streets
of ^in++++=of
Union ^nn++++=Union
Valley ^nn++++=Valley,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
played ^vbd+++xvbnx+=played
with ^in++++=with
the ^ati++++=the
children ^nns++++=children
in ^in++++=in
the ^ati++++=the
yard ^nn++++=yard
beside ^in+pl+++=beside
his ^pp$+pp3+++=his
house ^nn++++=house.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
winter ^nn++++=winter,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
in ^in++++=in
the ^ati++++=the
growing ^jj+atrb++xvbg+=growing
darkness ^nns+nom+++=darkness
of ^in++++=of
a ^at++++=a
late ^jj+atrb+++=late
afternoon ^nn++++=afternoon
Mary ^np++++=Mary
and ^cc++++=and
the ^ati++++=the
children ^nns++++=children
built ^vbd+++xvbn+=built
a ^at++++=a
snow ^nn++++=snow
man ^nn++++=man
in ^in++++=in
the ^ati++++=the
yard ^nn++++=yard,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
upstairs ^jjb++++=upstairs
and ^cc++++=and
stood ^vpsv++agls+xvbn+=stood
in ^in++++=in
the ^ati++++=the
darkness ^nns+nom+++=darkness
to ^to++++=to
look ^vbi++++=look
out ^rp+pl+++=out
a ^at++++=a
window ^nn++++=window.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tall ^jj+atrb+++=tall
straight ^jj+atrb+++=straight
figure ^nn++++=figure
of ^in++++=of
the ^ati++++=the
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
dimly ^rb++++=dimly
seen ^vbd+vprv++xvbn+=seen,
, ^zz++++=EXTRAWORD
moved ^j+++xvbn+=moved
quickly ^rb++++=quickly
about ^rb++++=about.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
nothing ^pn++++=nothing
has ^vbz+hvz+aux++=has
happened ^vprf+++xvbnx+=happened
to ^to+vcmp+++=to
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
may ^md+pos+++=may
be ^vb+be+vrb++=be
anything ^pn++++=anything
or ^cc++++=or
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
figure ^nn++++=figure
is ^vbz+bez+vrb++=is
like ^in++++=like
a ^at++++=a
young ^jj+atrb+++=young
tree ^nn++++=tree
that ^tht+rel+subj++=that
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
borne ^vbd+++xvbn+=borne
fruit ^nn++++=fruit,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
away ^rp+pl+++=away
to ^in++++=to
his ^pp$+pp3+++=his
own ^ap++++=own
room ^nn++++=room
and ^cc++++=and
sat ^vpsv++agls+xvbn+=sat
for ^in++++=for
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time
in ^in++++=in
the ^ati++++=the
darkness ^nns+nom+++=darkness.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
night ^nn++++=night
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
left ^vbd+++xvbnx+=left
the ^ati++++=the
house ^nn++++=house
for ^in++++=for
his ^pp$+pp3+++=his
evening ^nn++++=evening's
's ^$++++=EXTRAWORD
walk ^nn++++=walk
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
stay ^vb++++=stay
long ^rb++++=long
but ^cc++++=but
hurried ^vbd+++xvbn+=hurried
home ^nr++++=home
and ^cc++++=and
went ^vpsv++agls+xvbn+=went
to ^in++++=to
his ^pp$+pp3+++=his
own ^ap++++=own
room ^nn++++=room.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
locked ^vbd+++xvbnx+=locked
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Unconsciously ^rb++++=Unconsciously
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
want ^vb++++=want
Winifred ^np++++=Winifred
to ^to++++=to
come ^vbi++++=come
to ^in++++=to
the ^ati++++=the
door ^nn++++=door
and ^cc++++=and
disturb ^vb++++=disturb
his ^pp$+pp3+++=his
thoughts ^nns++++=thoughts.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=did
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
time ^nn++++=time
she ^pp3a+pp3+++=she
read ^vbd+vprv++xvbnx+=read
novels ^nns++++=novels.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
read ^vbd+vprv++xvbnx+=read
the ^ati++++=the
novels ^nns++++=novels
of ^in++++=of
Robert ^np++++=Robert
Louis ^np++++=Louis
Stevenson ^np++++=Stevenson.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
read ^vprf+++xvbnx+=read
them ^pp3o+pp3+++=them
all ^rb++++=all
she ^pp3a+pp3+++=she
began ^vbd+++xvbnx+=began
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
upstairs ^jjb++++=upstairs
and ^cc++++=and
stood ^vbd+++xvbn+=stood
talking ^vbg+++xvbg+=talking
by ^in++++=by
his ^pp$+pp3+++=his
door ^nn++++=door.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
told ^vbd+vpub++xvbnx+=told
some ^dti++++=some
tale ^nn++++=tale,
, ^zz++++=EXTRAWORD
repeated ^j+++xvbn+=repeated
some ^dti++++=some
wise ^jj++++=wise
saying ^vb+++xvbg+=saying
that ^tht+vcmp+++=that
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen
unexpectedly ^rb++++=unexpectedly
from ^in++++=from
the ^ati++++=the
lips ^nns++++=lips
of ^in++++=of
the ^ati++++=the
children ^nns++++=children.
. ^zz++++=EXTRAWORD
Occasionally ^rb++++=Occasionally
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
into ^in+ppvb+++=into
the ^ati++++=the
room ^nn++++=room
and ^cc++++=and
turned ^vbd+++xvbn+=turned
out ^rb+phrv+++=out
the ^ati++++=the
light ^nn++++=light.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
couch ^nn++++=couch
by ^in++++=by
a ^at++++=a
window ^nn++++=window.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
went ^vbd+++xvbnx+=went
to ^to++++=to
sit ^vbi++++=sit
on ^in++++=on
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
couch ^nn++++=couch.
. ^zz++++=EXTRAWORD
Something ^pn++++=Something
happened ^vbd+++xvbn+=happened.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
as ^ql++++=as
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
before ^in++++=before
their ^pp$+pp3+++=their
marriage ^nn+nom+++=marriage.
. ^zz++++=EXTRAWORD
New ^jj+atrb+++=New
life ^nn++++=life
came ^vbd+++xvbn+=came
into ^in+ppvb+++=into
her ^pp$+pp3+++=her
figure ^nn++++=figure.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
also ^rb++++=also
went ^vbd+++xvbn+=went
to ^to++++=to
sit ^vbi++++=sit
on ^in++++=on
the ^ati++++=the
couch ^nn++++=couch
and ^cc++++=and
she ^pp3a+pp3+++=she
put ^vbd+++xvbnx+=put
up ^rb+phrv+++=up
her ^pp$+pp3+++=her
hand ^nn++++=hand
and ^cc++++=and
touched ^vbd+++xvbn+=touched
his ^pp$+pp3+++=his
face ^nn++++=face.
. ^zz++++=EXTRAWORD
Hugh ^np++++=Hugh
did ^vbd+dod+aux++=did
not ^xnot++not++=not
want ^vb++++=want
that ^dt+dem+++=that
to ^to++++=to
happen ^vbi+v+++=happen
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stood ^vbd+++xvbnx+=stood
within ^in++++=within
the ^ati++++=the
room ^nn++++=room
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
and ^cc++++=and
then ^rn+tm+++=then
unlocked ^vbd+++xvbn+=unlocked
the ^ati++++=the
door ^nn++++=door
and ^cc++++=and
went ^vpsv++agls+xvbn+=went
to ^in++++=to
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
the ^ati++++=the
stairs ^nns++++=stairs.
. ^zz++++=EXTRAWORD
" ^zz++++="Be
be ^vb+be+vrb++=EXTRAWORD
quiet ^nn++++=quiet
when ^wrb+who+++=when
you ^pp2+pp2+++=you
come ^vb++++=come
up ^rp++++=up,
, ^zz++++=EXTRAWORD
Winifred ^np++++=Winifred.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
a ^at++++=a
headache ^nn++++=headache
and ^cc++++=and
am ^vb+bem+aux++=am
going ^md"++pmd"++=going
to ^md+prd+++=to
try ^vb++++=try
to ^to+vcmp+++=to
sleep ^vbi++++=sleep,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
lied ^vbd+++xvbnx+=lied.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
back ^jjb++++=back
to ^in++++=to
his ^pp$+pp3+++=his
own ^ap++++=own
room ^nn++++=room
and ^cc++++=and
locked ^vbd+++xvbn+=locked
the ^ati++++=the
door ^nn++++=door
again ^rb+tm+++=again
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt
safe ^jj++++=safe.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
undress ^nns+nom+++=undress
but ^cc+phrs+++=but
threw ^vbd+++xvbn+=threw
himself ^ppl+pp3+++=himself
on ^in++++=on
the ^ati++++=the
couch ^nn++++=couch
and ^cc++++=and
turned ^vbd+++xvbn+=turned
out ^rb+phrv+++=out
the ^ati++++=the
light ^nn++++=light.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
thought ^vbd+++xvbnx+=thought
about ^in++++=about
Mary ^np++++=Mary
Cochran ^np++++=Cochran,
, ^zz++++=EXTRAWORD
the ^ati++++=the
school ^nn++++=school
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
was ^vbd+bedz+vrb++=was
sure ^jj+pred+++=sure
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
about ^in++++=about
her ^pp$+pp3+++=her
in ^in++++=in
a ^at++++=a
quite ^rb++++=quite
impersonal ^jj+atrb+++=impersonal
way ^nn++++=way.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
like ^in++++=like
the ^ati++++=the
woman ^nn++++=woman
going ^vwbg+++xvbg+=going
to ^in++++=to
milk ^nn++++=milk
cows ^nns++++=cows
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
across ^rp+pl+++=across
hills ^npl++++=hills
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
young ^jj++++=young
fellow ^jjb++++=fellow
and ^cc+phrs+++=and
walked ^jj+++xvbn+=walked
far ^rb+pl+++=far
and ^cc++++=and
wide ^jj++++=wide
over ^in++++=over
the ^ati++++=the
country ^nn++++=country
to ^to++++=to
cure ^vbi++++=cure
the ^ati++++=the
restlessness ^nns+nom+++=restlessness
in ^in++++=in
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
In ^in++++=In
his ^pp$+pp3+++=his
life ^nn++++=life
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
like ^in++++=like
the ^ati++++=the
man ^nn++++=man
who ^whp+rel+subj++=who
threw ^vbd+++xvbn+=threw
the ^ati++++=the
stone ^nn++++=stone
at ^rb++++=at
dog ^nn++++=dog.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
is ^vbz+bez+aux++=is
unformed ^vpsv++agls+xvbnx+=unformed;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
is ^vbz+bez+vrb++=is
like ^in++++=like
a ^at++++=a
young ^jj+atrb+++=young
tree ^nn++++=tree,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
told ^vbd+vpub+tht0+xvbnx+=told
himself ^ppl+pp3+++=himself
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
" ^zz++++="People
people ^nns++++=EXTRAWORD
are ^vb+ber+vrb++=are
like ^in++++=like
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
just ^rb+emph+++=just
grow ^vb++++=grow
up ^rp++++=up
suddenly ^rb++++=suddenly
out ^rp+pl+++=out
of ^in++++=of
childhood ^nn+nom+++=childhood.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
will ^md+prd+++=will
happen ^vb+++??+=happen
to ^to+vcmp+++=to
my ^pp$+pp1+++=my
own ^ap++++=own
children ^nns++++=children.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
little ^jj+atrb+++=little
Winifred ^np++++=Winifred
that ^tht+rel+subj++=that
cannot ^md+pos+not++=cannot
yet ^rb++splt++=yet
say ^vb+vpub+tht0++=say
words ^nns++++=words
will ^md+prd+++=will
suddenly ^rb++++=suddenly
be ^vb+be+vrb++=be
like ^in++++=like
this ^dt+dem+++=this
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
not ^xnot++not++=not
selected ^jj+++xvbn+=selected
her ^pp3o+pp3+++=her
to ^to++++=to
think ^vbi+vprv+++=think
about ^in++++=about
for ^in++++=for
any ^dti++++=any
particular ^jj+atrb+++=particular
reason ^nn++++=reason.
. ^zz++++=EXTRAWORD
For ^in++++=For
some ^dti++++=some
reason ^nn++++=reason
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
drawn ^vprf+++xvbnx+=drawn
away ^in+pl+++=away
from ^in"++++=from
life ^nn++++=life
and ^cc++++=and
she ^pp3a+pp3+++=she
has ^vbz+hvz+aux++=has
brought ^vprf+++xvbnx+=brought
me ^pp1o+pp1+++=me
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
might ^md+pos+++=might
have ^vb+hv+aux++=have
happened ^vprf+++xvbnx+=happened
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
a ^at++++=a
child ^nn++++=child
playing ^vwbg+++xvbg+=playing
in ^in++++=in
the ^ati++++=the
street ^nn++++=street
or ^cc++++=or
an ^at++++=an
old ^jj+atrb+++=old
man ^nn++++=man
going ^vwbg+++xvbg+=going
up ^rp++++=up
a ^at++++=a
stairway ^nn++++=stairway
into ^in++++=into
a ^at++++=a
house ^nn++++=house.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
does ^vbz+doz+aux++=does
not ^xnot++not++=not
belong ^vb++++=belong
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
will ^md+prd+++=will
go ^vb++++=go
away ^rp+pl+++=away
out ^rp+pl+++=out
of ^in++++=of
my ^pp$+pp1+++=my
sight ^nn++++=sight.
. ^zz++++=EXTRAWORD
Winifred ^np++++=Winifred
and ^cc++++=and
the ^ati++++=the
children ^nns++++=children
will ^md+prd+++=will
stay ^vb++++=stay
on ^in++++=on
and ^cc++++=and
on ^in++++=on
here ^rn+pl+++=here
and ^cc++++=and
I ^pp1a+pp1+++=I
will ^md+prd+++=will
stay ^vb++++=stay
on ^in++++=on
and ^cc++++=and
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
are ^vb+ber+aux++=are
imprisoned ^vpsv++by+xvbnx+=imprisoned
by ^in++++=by
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
we ^pp1a+pp1+++=we
belong ^vb++++=belong
to ^in++++=to
each ^dt++++=each
other ^ap++++=other.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
Mary ^np++++=Mary
Cochran ^np++++=Cochran
is ^vbz+bez+vrb++=is
free ^jj+pred+++=free,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
at ^rb++++=at
least ^rb"++++=least
she ^pp3a+pp3+++=she
is ^vbz+bez+vrb++=is
free ^jj+pred+++=free
as ^in++++=as
far ^in"+pl+++=far
as ^in"++++=as
this ^dt+dem+++=this
prison ^nn++++=prison
is ^vbz+bez+aux++=is
concerned ^vpsv++agls+xvbnx+=concerned.
. ^zz++++=EXTRAWORD
No ^at++++=No
doubt ^nn++++=doubt
she ^pp3a+pp3+++=she
will ^md+prd+++=will,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
a ^at++++=a
while ^cs+sub+++=while
make ^vb++++=make
a ^at++++=a
prison ^nn++++=prison
of ^in++++=of
her ^pp$+pp3+++=her
own ^ap++++=own
and ^cc++++=and
live ^vb++++=live
in ^in++++=in
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
will ^md+prd+++=will
have ^vb+hv+vrb++=have
nothing ^pn++++=nothing
to ^to++++=to
do ^vbi++++=do
with ^in++++=with
the ^ati++++=the
matter ^nn++++=matter."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
By ^in++++=By
the ^ati++++=the
time ^nn++++=time
Mary ^np++++=Mary
Cochran ^np++++=Cochran
was ^vbd+bedz+vrb++=was
in ^in++++=in
her ^pp3o+pp3+++=her
third ^od++++=third
year ^nn++++=year
in ^in++++=in
the ^ati++++=the
college ^npl++++=college
at ^rb++++=at
Union ^nn++++=Union
Valley ^nn++++=Valley
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
almost ^rb+hdg+++=almost
a ^at++++=a
fixture ^nn++++=fixture
in ^in++++=in
the ^ati++++=the
Walker ^nn++++=Walker
household ^nn++++=household.
. ^zz++++=EXTRAWORD
Still ^rb++++=Still
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
Hugh ^np++++=Hugh.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
knew ^vbd+vprv++xvbnx+=knew
the ^ati++++=the
children ^nns++++=children
better ^jjr++++=better
than ^cs+sub+++=than
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
better ^jjr++++=better
than ^in++++=than
their ^pp$+pp3+++=their
mother ^nn++++=mother.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
fall ^nn++++=fall
she ^pp3a+pp3+++=she
and ^cc++++=and
the ^ati++++=the
two ^cd++++=two
boys ^nns++++=boys
went ^vbd+++xvbn+=went
to ^in++++=to
the ^ati++++=the
woods ^nns++++=woods
to ^to++++=to
gather ^vbi+vprv+++=gather
nuts ^nns++++=nuts.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
winter ^nn++++=winter
they ^pp3a+pp3+++=they
went ^vbd+++xvbnx+=went
skating ^jj+++xvbg+=skating
on ^in++++=on
a ^rb++++=a
little ^rb"++++=little
pond ^nn++++=pond
near ^in+pl+++=near
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Winifred ^np++++=Winifred
accepted ^vbd+++xvbn+=accepted
her ^pp3o+pp3+++=her
as ^ql++++=as
she ^pp3a+pp3+++=she
accepted ^vbd+vprv+tht0+xvbnx+=accepted
everything ^pn++++=everything,
, ^zz++++=EXTRAWORD
the ^ati++++=the
service ^nn++++=service
of ^in++++=of
the ^ati++++=the
two ^cd++++=two
negroes ^nns+++??+=negroes,
, ^zz++++=EXTRAWORD
the ^ati++++=the
coming ^jj+++xvbg+=coming
of ^in++++=of
the ^ati++++=the
children ^nns++++=children,
, ^zz++++=EXTRAWORD
the ^ati++++=the
habitual ^jj+atrb+++=habitual
silence ^nn+nom+++=silence
of ^in++++=of
her ^pp$+pp3+++=her
husband ^nn++++=husband.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
quite ^rb++++=quite
suddenly ^rb++++=suddenly
and ^cc+phrs+++=and
unexpectedly ^rb++++=unexpectedly
Hugh ^np++++=Hugh's
's ^$++++=EXTRAWORD
silence ^nn+nom+++=silence,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
had ^vbd+hvd+aux++=had
lasted ^vprf+++xvbnx+=lasted
all ^abn++++=all
through ^in++++=through
his ^pp$+pp3+++=his
married ^jj+atrb++xvbn+=married
life ^nn++++=life,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
broken ^vpsv++agls+xvbnx+=broken
up ^rp++++=up.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
walked ^vbd+++xvbnx+=walked
homeward ^rb++++=homeward
with ^in++++=with
a ^at++++=a
German ^nn++++=German
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
the ^ati++++=the
chair ^nn++++=chair
of ^in++++=of
modern ^jj+atrb+++=modern
languages ^nns+nom+++=languages
in ^in++++=in
the ^ati++++=the
school ^nn++++=school
and ^cc++++=and
got ^vpsv++agls+xvbn+=got
into ^in+ppvb+++=into
a ^at++++=a
violent ^jj+atrb+++=violent
quarrel ^nn++++=quarrel.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stopped ^vbd+++xvbnx+=stopped
to ^to++++=to
speak ^vbi++++=speak
to ^in++++=to
men ^nns++++=men
on ^in++++=on
the ^ati++++=the
street ^nn++++=street.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
to ^in++++=to
putter ^nn++++=putter
about ^in++++=about
in ^in++++=in
the ^ati++++=the
garden ^nn++++=garden
he ^pp3a+pp3+++=he
whistled ^vbd+++xvbnx+=whistled
and ^cc+phrs+++=and
sang ^vbd+++xvbn+=sang.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
afternoon ^nn++++=afternoon
in ^in++++=in
the ^ati++++=the
fall ^nn++++=fall
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
home ^nr++++=home
and ^cc++++=and
found ^vbd+vprv+tht0+xvbn+=found
the ^ati++++=the
whole ^jj+atrb+++=whole
family ^nn++++=family
assembled ^vbd+++xvbn+=assembled
in ^in++++=in
the ^ati++++=the
living ^jj+atrb++xvbg+=living
room ^nn++++=room
of ^in++++=of
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
The ^ati++++=The
children ^nns++++=children
were ^vbd+bed+aux++=were
playing ^vbg+++xvbgx+=playing
on ^in+ppvb+++=on
the ^ati++++=the
floor ^nn++++=floor
and ^cc++++=and
the ^ati++++=the
negress ^nns+nom+++=negress
sat ^vbd+++xvbn+=sat
in ^in++++=in
the ^ati++++=the
chair ^nn++++=chair
by ^in++++=by
the ^ati++++=the
window ^nn++++=window
with ^in++++=with
his ^pp$+pp3+++=his
youngest ^jjt+atrb+++=youngest
child ^nn++++=child
in ^in++++=in
her ^pp$+pp3+++=her
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
crooning ^jj+atrb+++=crooning
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
negro ^nn++++=negro
songs ^nns++++=songs.
. ^zz++++=EXTRAWORD
Mary ^np++++=Mary
Cochran ^np++++=Cochran
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
sat ^vbd+++xvbnx+=sat
reading ^nvbg+++xvbg+=reading
a ^at++++=a
book ^nn++++=book.
. ^zz++++=EXTRAWORD
Hugh ^np++++=Hugh
walked ^vbd+++xvbn+=walked
directly ^rb++++=directly
toward ^in++++=toward
her ^pp$+pp3+++=her
and ^cc++++=and
looked ^vpsv++agls+xvbn+=looked
over ^in++++=over
her ^pp$+pp3+++=her
shoulder ^nn+nom+++=shoulder.
. ^zz++++=EXTRAWORD
At ^rb++++=At
that ^dt+dem+++=that
moment ^nn++++=moment
Winifred ^np++++=Winifred
came ^vbd+++xvbn+=came
into ^in+ppvb+++=into
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
reached ^vbd+++xvbnx+=reached
forward ^rb++++=forward
and ^cc++++=and
snatched ^vbd+++xvbn+=snatched
the ^ati++++=the
book ^nn++++=book
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
girl ^nn++++=girl's
's ^$++++=EXTRAWORD
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
up ^rp++++=up
startled ^jj+++xvbn+=startled.
. ^zz++++=EXTRAWORD
With ^in++++=With
an ^at++++=an
oath ^nn++++=oath
he ^pp3a+pp3+++=he
threw ^vbd+++xvbnx+=threw
it ^pp3+it+++=it
into ^in++++=into
the ^ati++++=the
fire ^nn++++=fire
that ^tht+rel+++=that
burned ^jj+++xvbn+=burned
in ^in++++=in
an ^at++++=an
open ^jj+atrb+++=open
grate ^nn++++=grate
at ^rb++++=at
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
A ^at++++=A
flood ^nn++++=flood
of ^in++++=of
words ^nns++++=words
ran ^vbd+++xvbn+=ran
from ^in++++=from
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
