San ^np++++=San
the ^ati++++=the
rising ^jj+atrb++xvbg+=rising
water ^nn++++=water
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
beside ^in+pl+++=beside
himself ^ppl+pp3+++=himself
with ^in++++=with
fright ^nn++++=fright;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
than ^in++++=than
the ^ati++++=the
Chinese ^nn+nom+++=Chinese
and ^cc++++=and
the ^ati++++=the
water ^nn++++=water,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
feared ^vbd+++xvbnx+=feared
him ^pp3o+pp3+++=him
and ^cc+cls+++=and
what ^wdt+who+++=what
his ^pp$+pp3+++=his
fright ^nn++++=fright
might ^md+pos+++=might
impel ^vb++++=impel
him ^pp3o+pp3+++=him
to ^to++++=to
do ^vbi++++=do.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+++=see
him ^pp3o+pp3+++=him
casting ^xvbg+++xvbg+=casting
longing ^vbg+++xvbg+=longing
glances ^nns+nom+++=glances
at ^in++++=at
the ^ati++++=the
small ^jj+atrb+++=small
skiff ^nn+++??+=skiff
towing ^vwbg+++xvbg+=towing
astern ^rb+cnj+++=astern,
, ^zz++++=EXTRAWORD
so ^rb++++=so
in ^in++++=in
the ^ati++++=the
next ^ap++++=next
calm ^nn++++=calm
I ^pp1a+pp1+++=I
hauled ^vbd+++xvbnx+=hauled
the ^ati++++=the
skiff ^nn+++??+=skiff
alongside ^rb++++=alongside.
. ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
so ^ql++++=so
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
brightened ^vbd+++xvbn+=brightened
with ^in++++=with
hope ^nn++++=hope;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
could ^md+pos+++=could
guess ^vb++++=guess
my ^pp$+pp1+++=my
intention ^nn+nom+++=intention,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
stove ^nn++++=stove
the ^ati++++=the
frail ^jj++++=frail
bottom ^jjb++++=bottom
through ^in++++=through
with ^in++++=with
a ^at++++=a
hand ^nn++++=hand-axe,
- ^zz++++=EXTRAWORD
axe ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
skiff ^nn++++=skiff
filled ^vbd+++xvbn+=filled
to ^in++++=to
its ^pp$+it+++=its
gunwales ^nns+nom+++=gunwales.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
sink ^nn++++=sink
or ^cc++++=or
float ^nn++++=float
together ^nn+nom+++=together,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
give ^vb++++=give
me ^pp1o+pp1+++=me
your ^pp$+pp2+++=your
revolver ^nn+nom+++=revolver,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
have ^vb+hv+vrb++=have
the ^ati++++=the
Reindeer ^np+nom++??+=Reindeer
bailed ^vbd+++xvbn+=bailed
out ^rp+pl+++=out
in ^in++++=in
a ^at++++=a
jiffy ^nn++++=jiffy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="They're
they ^pp3a+pp3+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
too ^ql++++=too
many ^ap++++=many
for ^in++++=for
us ^pp1o+pp1+++=us,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
whimpered ^vbd+++xvbnx+=whimpered.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
fight ^nn++++=fight
them ^pp3o+pp3+++=them
all ^rb++++=all."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
turned ^vbd+++xvbnx+=turned
my ^pp$+pp1+++=my
back ^rp++++=back
on ^rp++++=on
him ^pp3o+pp3+++=him
in ^in++++=in
disgust ^nn++++=disgust.
. ^zz++++=EXTRAWORD
The ^ati++++=The
salmon ^nn++++=salmon
boat ^nn++++=boat
had ^vb+hv+vrb++=had
long ^rb++++=long
since ^in++++=since
passed ^nn++++=passed
from ^in++++=from
sight ^nn++++=sight
behind ^in+pl+++=behind
a ^rb++++=a
little ^rb"++++=little
archipelago ^nn++++=archipelago
known ^vbd+vprv++xvbn+=known
as ^ql++++=as
the ^ati++++=the
Marin ^np+++??+=Marin
Islands ^nns++++=Islands,
, ^zz++++=EXTRAWORD
so ^ql++++=so
no ^at++++=no
help ^nn++++=help
could ^md+pos+++=could
be ^vb+be+aux++=be
looked ^vpsv++agls+xvbnx+=looked
for ^in++++=for
from ^in++++=from
that ^dt+dem+++=that
quarter ^nn++++=quarter.
. ^zz++++=EXTRAWORD
Yellow ^jj+atrb+++=Yellow
Handkerchief ^nn++++=Handkerchief
came ^vbd+++xvbn+=came
up ^in+cmpx+++=up
to ^in"++++=to
me ^pp1o+pp1+++=me
in ^in++++=in
a ^at++++=a
familiar ^jj+atrb+++=familiar
manner ^nn++++=manner,
, ^zz++++=EXTRAWORD
the ^ati++++=the
water ^nn++++=water
in ^in++++=in
the ^ati++++=the
cockpit ^nn++++=cockpit
slushing ^vwbg+++xvbg+=slushing
against ^in++++=against
his ^pp$+pp3+++=his
legs ^nns++++=legs.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
like ^in++++=like
his ^pp$+pp3+++=his
looks ^nns++++=looks.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
that ^tht+vcmp+++=that
beneath ^rb++++=beneath
the ^ati++++=the
pleasant ^jj+atrb+++=pleasant
smile ^nn++++=smile
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
trying ^vbg+++xvbgx+=trying
to ^to+vcmp+++=to
put ^vbi++++=put
on ^rb+phrv+++=on
his ^pp$+pp3+++=his
face ^nn++++=face
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
an ^at++++=an
ill ^jj+atrb+++=ill
purpose ^nn++++=purpose.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ordered ^vbd+++xvbnx+=ordered
him ^pp3o+pp3+++=him
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb++++=so
sharply ^rb++++=sharply
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
obeyed ^vbd+++xvbnx+=obeyed.
. ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
keep ^vb++++=keep
your ^pp$+pp2+++=your
distance ^nn+nom+++=distance,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
commanded ^vbd+vpub++xvbnx+=commanded,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
come ^vb++++=come
closer ^rbr++++=closer!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Wha'
wha ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
fo ^nn+++??+=fo'?"
'?" ^nn+++??+=EXTRAWORD
he ^pp3a+pp3+++=he
demanded ^vbd+vsua++xvbnx+=demanded
indignantly ^rb++++=indignantly.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
t ^zz++++=t'ink-um
'ink-um ^nn+++??+=EXTRAWORD
talkee ^nn++++=talkee
talkee ^nn++++=talkee
heap ^nn++++=heap
good ^jj++++=good."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Talkee
talkee ^nn++++=EXTRAWORD
talkee ^nn++++=talkee,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
answered ^vbd+vpub++xvbnx+=answered
bitterly ^rb+cnj+++=bitterly,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
now ^rn+tm+++=now
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
understood ^vprf+++xvbnx+=understood
all ^abn++++=all
that ^dt+dem+++=that
passed ^jj+++xvbn+=passed
between ^in++++=between
George ^np++++=George
and ^cc++++=and
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
for ^in++++=for
talkee ^nn++++=talkee
talkee ^nn++++=talkee?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
no ^at++++=no
sabbe ^nn+++??+=sabbe
talkee ^nn++++=talkee
talkee ^nn++++=talkee."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
grinned ^vbd+++xvbnx+=grinned
in ^in++++=in
a ^at++++=a
sickly ^jj+atrb+++=sickly
fashion ^nn++++=fashion.
. ^zz++++=EXTRAWORD
" ^zz++++="Yep,
yep ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sabbe ^nn+++??+=sabbe
velly ^jj++++=velly
much ^ap++++=much.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
honest ^jj+atrb+++=honest
Chinaman ^nn+nom+++=Chinaman."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
right ^jj++++=right,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
answered ^vbd+vpub++xvbnx+=answered.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
sabbe ^jj+atrb++??+=sabbe
talkee ^nn++++=talkee
talkee ^nn++++=talkee,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
you ^pp2+pp2+++=you
bail ^nn++++=bail
water ^nn++++=water
plenty ^nn++++=plenty
plenty ^nn++++=plenty.
. ^zz++++=EXTRAWORD
After ^in++++=After
that ^dt+dem+++=that
we ^pp1a+pp1+++=we
talkee ^nn++++=talkee
talkee ^nn++++=talkee."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
shook ^vbd+++xvbnx+=shook
his ^pp$+pp3+++=his
head ^nn++++=head,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time
pointing ^vwbg+++xvbg+=pointing
over ^in++++=over
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder
to ^in++++=to
his ^pp$+pp3+++=his
comrades ^nns++++=comrades.
. ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
can ^md+pos+++=can
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
Velly ^np+++??+=Velly
bad ^jj+atrb+++=bad
Chinamen ^np+++??+=Chinamen,
, ^zz++++=EXTRAWORD
heap ^nn++++=heap
velly ^rb++++=velly
bad ^jj++++=bad.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
t ^zz++++=t'ink-um
'ink-um ^nn+++??+=EXTRAWORD
" ^zz++++="
" ^zz++++="Stand
stand ^vb++++=EXTRAWORD
back ^jjb++++=back!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shouted ^vbd+vpub++xvbnx+=shouted,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
noticed ^vprf++tht0+xvbnx+=noticed
his ^pp$+pp3+++=his
hand ^nn++++=hand
disappear ^vb+seem+++=disappear
beneath ^in+pl+++=beneath
his ^pp$+pp3+++=his
blouse ^nn++++=blouse
and ^cc++++=and
his ^pp$+pp3+++=his
body ^nn++++=body
prepare ^vb++++=prepare
for ^in++++=for
a ^at++++=a
spring ^nn++++=spring.
. ^zz++++=EXTRAWORD
Disconcerted ^j+++xvbn+=Disconcerted,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
back ^jjb++++=back
into ^in++++=into
the ^ati++++=the
cabin ^nn++++=cabin,
, ^zz++++=EXTRAWORD
to ^to++++=to
hold ^vbi+vprv+++=hold
a ^at++++=a
council ^nn++++=council,
, ^zz++++=EXTRAWORD
apparently ^rb+cnj+++=apparently,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
way ^nn++++=way
the ^ati++++=the
jabbering ^nn++++=jabbering
broke ^vbd+++xvbn+=broke
forth ^rp++++=forth.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Reindeer ^np+nom++??+=Reindeer
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
deep ^jj++++=deep
in ^in++++=in
the ^ati++++=the
water ^nn++++=water,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
movements ^nns+nom+++=movements
had ^vbd+hvd+aux++=had
grown ^vprf+++xvbnx+=grown
quite ^rb++++=quite
loggy ^nn+++??+=loggy.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
rough ^jj+atrb+++=rough
sea ^nn++++=sea
she ^pp3a+pp3+++=she
would ^md+prd+++=would
have ^vb+hv+aux++=have
inevitably ^rb++splt++=inevitably
swamped ^vprf+++xvbnx+=swamped;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
wind ^nn++++=wind,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
it ^pp3+it+++=it
did ^vbd+dod+vrb++=did
blow ^nn++++=blow,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
off ^in+pl+++=off
the ^ati++++=the
land ^nn++++=land,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
scarcely ^rb+down+++=scarcely
a ^at++++=a
ripple ^nn++++=ripple
disturbed ^vbd+++xvbn+=disturbed
the ^ati++++=the
surface ^nn++++=surface
of ^in++++=of
the ^ati++++=the
bay ^nn++++=bay.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
think ^vb+vprv+tht0++=think
you ^pp2+pp2+++=you'd
'd ^md"+hvd+pmd"++0=EXTRAWORD
better ^md+atrb+md++=better
head ^vb++++=head
for ^in++++=for
the ^ati++++=the
beach ^nn++++=beach,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
George ^np++++=George
said ^vbd+vpub++xvbn+=said
abruptly ^rb+cnj+++=abruptly,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
manner ^nn++++=manner
that ^tht+rel+subj++=that
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me
his ^pp$+pp3+++=his
fear ^vb++++=fear
had ^vbd+hvd+aux++=had
forced ^vprf+++xvbnx+=forced
him ^pp3o+pp3+++=him
to ^to++++=to
make ^vbi++++=make
up ^rp++++=up
his ^pp$+pp3+++=his
mind ^nn++++=mind
to ^in++++=to
some ^dti++++=some
course ^nn++++=course
of ^in++++=of
action ^nn++++=action.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
think ^vb+vprv+++=think
not ^xnot++not++=not,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
answered ^vbd+vpub++xvbnx+=answered
shortly ^rb+tm+++=shortly.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
command ^nn++++=command
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
in ^in++++=in
a ^at++++=a
bullying ^jj+atrb++xvbg+=bullying
tone ^nn++++=tone.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+aux++=was
commanded ^vpsv++agls+xvbnx+=commanded
to ^to++++=to
bring ^vbi++++=bring
these ^dt+dem+++=these
prisoners ^nns+nom+++=prisoners
into ^in++++=into
San ^np++++=San
Rafael ^np++++=Rafael,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
reply ^nn++++=reply.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
voices ^nns++++=voices
were ^vbd+bed+aux++=were
raised ^vpsv++agls+xvbnx+=raised,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sound ^nn++++=sound
of ^in++++=of
the ^ati++++=the
altercation ^nn+nom+++=altercation
brought ^vbd+++xvbn+=brought
the ^ati++++=the
Chinese ^nn+nom+++=Chinese
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
cabin ^nn++++=cabin.
. ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
will ^md+prd+++=will
you ^pp2+pp2+++=you
head ^jjb++++=head
for ^in++++=for
the ^ati++++=the
beach ^nn++++=beach?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
from ^in++++=from
George ^np++++=George,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
found ^vbd+vprv+tht0+xvbnx+=found
myself ^ppl+pp1+++=myself
looking ^vbg+++xvbg+=looking
into ^in+ppvb+++=into
the ^ati++++=the
muzzle ^nn++++=muzzle
of ^in++++=of
his ^pp$+pp3+++=his
revolver ^nn+nom+++=revolver
of ^in++++=of
the ^ati++++=the
revolver ^nn+nom+++=revolver
he ^pp3a+pp3+++=he
dared ^vbd+++xvbnx+=dared
to ^to+vcmp+++=to
use ^vbi++++=use
on ^in++++=on
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
was ^vbd+bedz+vrb++=was
too ^ql++++=too
cowardly ^jj++++=cowardly
to ^to++++=to
use ^vbi++++=use
on ^in++++=on
the ^ati++++=the
prisoners ^nns+nom+++=prisoners.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
brain ^nn++++=brain
seemed ^vbd+seem++xvbn+=seemed
smitten ^vprf+++xvbn+=smitten
with ^in++++=with
a ^at++++=a
dazzling ^jj+atrb++xvbg+=dazzling
brightness ^nns+nom+++=brightness.
. ^zz++++=EXTRAWORD
The ^ati++++=The
whole ^jj+atrb+++=whole
situation ^nn+nom+++=situation,
, ^zz++++=EXTRAWORD
in ^in++++=in
all ^abn++++=all
its ^pp$+it+++=its
bearings ^nns++++=bearings,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
focussed ^vpsv++agls+xvbnx+=focussed
sharply ^rb++++=sharply
before ^cs+sub+++=before
me ^pp1o+pp1+++=me
the ^ati++++=the
shame ^nn++++=shame
of ^in++++=of
losing ^xvbg+++xvbg+=losing
the ^ati++++=the
prisoners ^nns+nom+++=prisoners,
, ^zz++++=EXTRAWORD
the ^ati++++=the
worthlessness ^nns+nom+++=worthlessness
and ^cc++++=and
cowardice ^nn++++=cowardice
of ^in++++=of
George ^np++++=George,
, ^zz++++=EXTRAWORD
the ^ati++++=the
meeting ^jj+++xvbg+=meeting
with ^in++++=with
Le ^&fw++++=Le
Grant ^nn++++=Grant
and ^cc++++=and
the ^ati++++=the
other ^ap++++=other
patrol ^nn++++=patrol
men ^nns++++=men
and ^cc++++=and
the ^ati++++=the
lame ^jj+atrb+++=lame
explanation ^nn+nom+++=explanation;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
the ^ati++++=the
fight ^nn++++=fight
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
fought ^vprf+++xvbnx+=fought
so ^ql+emph+++=so
hard ^jj++++=hard,
, ^zz++++=EXTRAWORD
victory ^nn++++=victory
wrenched ^vbd+++xvbn+=wrenched
from ^in++++=from
me ^pp1o+pp1+++=me
just ^rb+emph+++=just
as ^ql++++=as
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
it ^pp3+it+++=it
within ^in++++=within
my ^pp$+pp1+++=my
grasp ^nn++++=grasp.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
tail ^nn++++=tail
of ^in++++=of
my ^pp$+pp1+++=my
eye ^nn++++=eye
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+++=see
the ^ati++++=the
Chinese ^jj++++=Chinese
crowding ^jj+++xvbg+=crowding
together ^nn+nom+++=together
by ^in++++=by
the ^ati++++=the
cabin ^nn++++=cabin
doors ^nns++++=doors
and ^cc++++=and
leering ^jj++++=leering
triumphantly ^rb++++=triumphantly.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
would ^md+prd+++=would
never ^rb++++=never
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
threw ^vbd+++xvbnx+=threw
my ^pp$+pp1+++=my
hand ^nn++++=hand
up ^rp++++=up
and ^cc++++=and
my ^pp$+pp1+++=my
head ^jjb++++=head
down ^rp++++=down.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
act ^vb+vpub+++=act
elevated ^vbd+++xvbn+=elevated
the ^ati++++=the
muzzle ^nn++++=muzzle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
second ^od++++=second
removed ^vbd+++xvbn+=removed
my ^pp$+pp1+++=my
head ^nn++++=head
from ^in++++=from
the ^ati++++=the
path ^nn++++=path
of ^in++++=of
the ^ati++++=the
bullet ^nn++++=bullet
which ^whp+rel+subj++=which
went ^vbd+++xvbn+=went
whistling ^jj++++=whistling
past ^jjb++++=past.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
hand ^nn++++=hand
closed ^vbd+++xvbn+=closed
on ^in++++=on
George ^np++++=George's
's ^$++++=EXTRAWORD
wrist ^nn++++=wrist,
, ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
on ^in++++=on
the ^ati++++=the
revolver ^nn+nom+++=revolver.
. ^zz++++=EXTRAWORD
Yellow ^jj+atrb+++=Yellow
Handkerchief ^nn++++=Handkerchief
and ^cc++++=and
his ^pp$+pp3+++=his
gang ^nn++++=gang
sprang ^vbd+++xvbn+=sprang
toward ^in++++=toward
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
now ^rn+tm+++=now
or ^cc+phrs+++=or
never ^rb++++=never.
. ^zz++++=EXTRAWORD
Putting ^vbg+++xvbg+=Putting
all ^abn++++=all
my ^pp$+pp1+++=my
strength ^nn++++=strength
into ^in++++=into
a ^at++++=a
sudden ^jj+atrb+++=sudden
effort ^nn++++=effort,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
swung ^vbd+++xvbnx+=swung
George ^np++++=George's
's ^$++++=EXTRAWORD
body ^nn++++=body
forward ^rb+phrv+++=forward
to ^in+ppvb+++=to
meet ^vbi++++=meet
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
pulled ^vbd+++xvbnx+=pulled
back ^jjb++++=back
with ^in++++=with
equal ^jj+atrb+++=equal
suddenness ^nns+nom+++=suddenness,
, ^zz++++=EXTRAWORD
ripping ^vbg+++xvbg+=ripping
the ^ati++++=the
revolver ^nn+nom+++=revolver
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
fingers ^nns+nom+++=fingers
and ^cc++++=and
jerking ^jj+++xvbg+=jerking
him ^pp3o+pp3+++=him
off ^in+pl+++=off
his ^pp$+pp3+++=his
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
fell ^vbd+++xvbnx+=fell
against ^in++++=against
Yellow ^jj+atrb+++=Yellow
Handkerchief ^np++++=Handkerchief's
's ^$++++=EXTRAWORD
knees ^nns++++=knees,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
stumbled ^vbd+++xvbn+=stumbled
over ^rp++++=over
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
pair ^nn++++=pair
wallowed ^vbd+++xvbn+=wallowed
in ^in++++=in
the ^ati++++=the
bailing ^jj+atrb++xvbg+=bailing
hole ^nn++++=hole
where ^wrb+who+++=where
the ^ati++++=the
cockpit ^nn++++=cockpit
floor ^nn++++=floor
was ^vbd+bedz+aux++=was
torn ^vpsv++agls+xvbnx+=torn
open ^jj++++=open.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
instant ^nn+nom+++=instant
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
covering ^vbg+++xvbgx+=covering
them ^pp3o+pp3+++=them
with ^in++++=with
my ^pp$+pp1+++=my
revolver ^nn+nom+++=revolver,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
wild ^jj+atrb+++=wild
shrimp ^nn+++??+=shrimp-catchers
- ^zz++++=EXTRAWORD
catchers ^nns+nom+++=EXTRAWORD
were ^vbd+bed+aux++=were
cowering ^vbg+++xvbgx+=cowering
and ^cc+phrs+++=and
cringing ^vbg+++xvbg+=cringing
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
swiftly ^rb++++=swiftly
discovered ^vprf+++xvbn+=discovered
that ^tht+vcmp+++=that
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
all ^abn++++=all
the ^ati++++=the
difference ^nn+nom+++=difference
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
between ^in++++=between
shooting ^xvbg+++xvbg+=shooting
men ^nns++++=men
who ^whp+rel+subj++=who
are ^vb+ber+aux++=are
attacking ^vbg+++xvbgx+=attacking
and ^cc++++=and
men ^nns++++=men
who ^whp+rel+subj++=who
are ^vb+ber+aux++=are
doing ^vbg+++xvbgx+=doing
nothing ^pn++++=nothing
more ^ql++++=more
than ^cs+sub+++=than
simply ^rb++++=simply
refusing ^vbg+++xvbg+=refusing
to ^to+vcmp+++=to
obey ^vbi++++=obey.
. ^zz++++=EXTRAWORD
For ^in++++=For
obey ^vb++++=obey
they ^pp3a+pp3+++=they
would ^md+prd+++=would
not ^xnot++not++=not
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
ordered ^vbd+++xvbnx+=ordered
them ^pp3o+pp3+++=them
into ^in++++=into
the ^ati++++=the
bailing ^jj+atrb++xvbg+=bailing
hole ^nn++++=hole.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
threatened ^vbd+++xvbnx+=threatened
