Now ^rn+tm+++=Now
forth ^rp++++=forth
to ^in++++=to
the ^ati++++=the
accustomed ^jj+atrb++xvbn+=accustomed
spot ^nn++++=spot,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
knocked ^vbd+++xvbn+=knocked,
, ^zz++++=EXTRAWORD
with ^in++++=with
my ^pp$+pp1+++=my
airy ^jj+atrb+++=airy
fingers ^nns+nom+++=fingers,
, ^zz++++=EXTRAWORD
at ^rb++++=at
her ^pp3o+pp3+++=her
door ^nn++++=door.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
answered ^vbd+vpub++xvbnx+=answered
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
Again ^rb+tm+++=Again
I ^pp1a+pp1+++=I
knocked ^vbd+++xvbnx+=knocked,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
breathed ^vbd+++xvbn+=breathed
her ^pp$+pp3+++=her
name ^nn++++=name.
. ^zz++++=EXTRAWORD
Where ^wrb+who+whq++=Where
was ^vbd+bedz+vrb++=was
she ^pp3a+pp3+++=she?
? ^zz++++=EXTRAWORD
At ^rb++++=At
once ^rb"+tm+++=once,
, ^zz++++=EXTRAWORD
the ^ati++++=the
truth ^nn++++=truth
fell ^vbd+++xvbn+=fell
on ^in+ppvb+++=on
my ^pp$+pp1+++=my
miserable ^jj+atrb+++=miserable
spirit ^nn++++=spirit,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
crushed ^jj+++xvbn+=crushed
it ^pp3+it+++=it
to ^in++++=to
the ^ati++++=the
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
among ^in++++=among
dead ^jj+atrb+++=dead
men ^nns++++=men's
's ^$++++=EXTRAWORD
bones ^nns++++=bones
and ^cc++++=and
mouldering ^jj+atrb+++=mouldering
dust ^nn++++=dust,
, ^zz++++=EXTRAWORD
groaning ^jj+++xvbg+=groaning
in ^in++++=in
cold ^nn++++=cold
and ^cc++++=and
desolate ^jj+atrb+++=desolate
agony ^nn++++=agony.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
penance ^nn+nom+++=penance
was ^vbd+bedz+vrb++=was
over ^in+strn+++=over!
! ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
her ^pp$+pp3+++=her
trackless ^jj+atrb+++=trackless
flight ^nn++++=flight,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
found ^vprf+++xvbnx+=found
a ^at++++=a
home ^nr++++=home
in ^in++++=in
the ^ati++++=the
purest ^jjt+atrb+++=purest
radiance ^nn+nom+++=radiance
of ^in++++=of
the ^ati++++=the
upper ^jjb+atrb+++=upper
stars ^nns++++=stars,
, ^zz++++=EXTRAWORD
leaving ^jj+++xvbg+=leaving
me ^pp1o+pp1+++=me
to ^to++++=to
knock ^vbi++++=knock
at ^in++++=at
the ^ati++++=the
stone ^nn++++=stone
portal ^nn++++=portal
of ^in++++=of
the ^ati++++=the
darksome ^nn+++??+=darksome
sepulchre ^nn++++=sepulchre.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
angels ^nns++++=angels
hurried ^vbd+++xvbn+=hurried
her ^pp$+pp3+++=her
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
surely ^rb++++=surely
she ^pp3a+pp3+++=she
would ^md+prd+++=would
have ^vb+hv+aux++=have
whispered ^vprf+++xvbnx+=whispered
ere ^nn+++??+=ere
she ^pp3a+pp3+++=she
fled ^vbd+++xvbnx+=fled!
! ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
is ^vbz+bez+aux++=is
gone ^vpsv++agls+xvbnx+=gone!
! ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
could ^md+pos+++=could
the ^ati++++=the
grave ^nn++++=grave
imprison ^vb++++=imprison
that ^cs+sub+++=that
unspotted ^vprf+++xvbn+=unspotted
one ^pn++++=one!
! ^zz++++=EXTRAWORD
But ^cc+cls+++=But
her ^pp$+pp3+++=her
pure ^jj+atrb+++=pure,
, ^zz++++=EXTRAWORD
ethereal ^jj+atrb+++=ethereal
spirit ^nn++++=spirit
will ^md+prd+++=will
not ^xnot++not++=not
quite ^rb++++=quite
forget ^vb+vprv+++=forget
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
soar ^vb++++=soar
too ^ql++++=too
high ^np++++=high
in ^in++++=in
bliss ^nn++++=bliss,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
I ^pp1a+pp1+++=I
ascend ^nn+++??+=ascend
to ^to++++=to
join ^vbi++++=join
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Soon ^rb+cnj+++=Soon,
, ^zz++++=EXTRAWORD
soon ^rb+tm+++=soon
be ^vb+be+vrb++=be
that ^dt+dem+++=that
hour ^nn++++=hour!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
weary ^jj+pred+++=weary
of ^in++++=of
the ^ati++++=the
earth ^nn++++=earth-damps;
- ^zz++++=EXTRAWORD
damps ^nns+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
burden ^nn++++=burden
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
choke ^vb++++=choke
me ^pp1o+pp1+++=me!
! ^zz++++=EXTRAWORD
Already ^rb+cnj+++=Already,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
float ^vb++++=float
in ^in++++=in
the ^ati++++=the
moonshine ^nn+++??+=moonshine;
; ^zz++++=EXTRAWORD
the ^ati++++=the
faint ^jj+atrb+++=faint
starlight ^nn+++??+=starlight
will ^md+prd+++=will
almost ^rb+hdg+splt++=almost
bear ^vb+vprv+++=bear
up ^rp++++=up
my ^pp$+pp1+++=my
footsteps ^nns++++=footsteps;
; ^zz++++=EXTRAWORD
the ^ati++++=the
perfume ^nn++++=perfume
of ^in++++=of
flowers ^nns+nom+++=flowers,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
grosser ^jjr+atrb+++=grosser
spirits ^nns++++=spirits
love ^nn++++=love,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
now ^rn+tm+++=now
too ^rb++++=too
earthly ^jj++++=earthly
a ^at++++=a
luxury ^nn++++=luxury
for ^in++++=for
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Grave ^jj++++=Grave!
! ^zz++++=EXTRAWORD
Grave ^jj++++=Grave!
! ^zz++++=EXTRAWORD
thou ^pp2+pp2+++=thou
art ^nn++++=art
not ^xnot++not++=not
my ^pp$+pp1+++=my
home ^nr++++=home.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
flit ^vb+++??+=flit
a ^rb++++=a
little ^rb"++++=little
longer ^rbr++++=longer
in ^in++++=in
thy ^pp$+pp2+++=thy
night ^nn++++=night
gloom ^nn++++=gloom,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
be ^vb+be+aux++=be
gone ^vpsv++agls+xvbnx+=gone,
, ^zz++++=EXTRAWORD
far ^rb+pl+++=far
from ^rb"++++=from
the ^ati++++=the
dust ^nn++++=dust
of ^in++++=of
the ^ati++++=the
living ^jj+++xvbg+=living
and ^cc++++=and
the ^ati++++=the
dead ^jj++++=dead,
, ^zz++++=EXTRAWORD
far ^rb+pl+++=far
from ^rb"++++=from
the ^ati++++=the
corruption ^nn+nom+++=corruption
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
around ^rp++++=around
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^at++++=no
more ^rbr++++=more
within ^in+strn+++=within!
! ^zz++++=EXTRAWORD
A ^ap++++=A
few ^ap"++++=few
times ^nns++++=times,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
visited ^vprf+++xvbnx+=visited
the ^ati++++=the
chamber ^nn++++=chamber
of ^in++++=of
one ^cd1++++=one
who ^whp+rel+subj++=who
walks ^vbz++++=walks,
, ^zz++++=EXTRAWORD
obscure ^jj++++=obscure
and ^cc+phrs+++=and
lonely ^jj++++=lonely,
, ^zz++++=EXTRAWORD
on ^in++++=on
his ^pp$+pp3+++=his
mortal ^jj+atrb+++=mortal
pilgrimage ^nn+nom+++=pilgrimage.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
will ^md+prd+++=will
leave ^vb++++=leave
not ^xnot++not++=not
many ^ap++++=many
living ^jj+atrb++xvbg+=living
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
goes ^vbz++++=goes
to ^to++++=to
join ^vbi++++=join
the ^ati++++=the
dead ^jj++++=dead,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
his ^pp$+pp3+++=his
thoughts ^nns++++=thoughts
often ^rb++++=often
stray ^jj++++=stray,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
might ^md+pos+++=might
better ^jjr++++=better
be ^vb+be+vrb++=be.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
steal ^vb++++=steal
into ^in++++=into
his ^pp$+pp3+++=his
sleep ^nn++++=sleep,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
play ^vb++++=play
my ^pp$+pp1+++=my
part ^nn++++=part
among ^in++++=among
the ^ati++++=the
figures ^nns++++=figures
of ^in++++=of
his ^pp$+pp3+++=his
dreams ^nps++++=dreams.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
glide ^vb++++=glide
through ^in++++=through
the ^ati++++=the
moonlight ^nn++++=moonlight
of ^in++++=of
his ^pp$+pp3+++=his
waking ^vbg+++xvbg+=waking
fancy ^jj++++=fancy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whisper ^nn++++=whisper
conceptions ^nns+nom+++=conceptions,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
strange ^jj+atrb+++=strange
thrill ^nn++++=thrill
of ^in++++=of
fear ^nn++++=fear,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
writes ^vbz+vprv+++=writes
down ^rp++++=down
as ^ql++++=as
his ^pp$+pp3+++=his
own ^ap++++=own.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
stand ^vb++++=stand
beside ^in+pl+++=beside
him ^pp3o+pp3+++=him
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
at ^in++++=at
midnight ^nn++++=midnight,
, ^zz++++=EXTRAWORD
telling ^vbg+nom++xvbg+=telling
these ^dt+dem+++=these
dreamy ^jj+atrb+++=dreamy
truths ^nns++++=truths
with ^in++++=with
a ^at++++=a
voice ^nn++++=voice
so ^ql++++=so
dream ^nn++++=dream-like,
- ^zz++++=EXTRAWORD
like ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
mistakes ^nns++++=mistakes
them ^pp3o+pp3+++=them
for ^in++++=for
fictions ^nns+nom+++=fictions
of ^in++++=of
a ^at++++=a
brain ^nn++++=brain
too ^rb++++=too
prone ^jj++++=prone
to ^to+jcmp+++=to
such ^abl++++=such.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
he ^pp3a+pp3+++=he
glances ^nns+nom+++=glances
behind ^in+pl+++=behind
him ^pp3o+pp3+++=him
and ^cc++++=and
shivers ^nns+nom+++=shivers,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
lamp ^nn++++=lamp
burns ^np++++=burns
pale ^nn++++=pale.
. ^zz++++=EXTRAWORD
Farewell ^nn++++=Farewell,
, ^zz++++=EXTRAWORD
dreamer ^nn++++=dreamer,
, ^zz++++=EXTRAWORD
waking ^vbg+++xvbg+=waking
or ^cc+phrs+++=or
sleeping ^vbg+++xvbg+=sleeping!
! ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
brightest ^jjt+atrb+++=brightest
dreams ^nns++++=dreams
are ^vb+ber+aux++=are
fled ^vpsv++agls+xvbnx+=fled;
; ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
mind ^nn++++=mind
grows ^vbz++++=grows
too ^ql++++=too
hard ^jj++++=hard
and ^cc++++=and
cold ^nn++++=cold
for ^in++++=for
a ^at++++=a
spiritual ^jj+atrb+++=spiritual
guest ^nn++++=guest
to ^to++++=to
enter ^vbi++++=enter;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
earthly ^jj+pred+++=earthly,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
have ^vb+hv+vrb++=have
all ^rb++++=all
the ^ati++++=the
sins ^nns++++=sins
of ^in++++=of
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ghost ^nn++++=ghost
will ^md+prd+++=will
visit ^vb++++=visit
you ^pp2+pp2+++=you
no ^at++++=no
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
where ^wrb+who+whq++=where
is ^vbz+bez+aux++=is
the ^ati++++=the
maiden ^jjb++++=maiden,
, ^zz++++=EXTRAWORD
holy ^jj++++=holy
and ^cc+phrs+++=and
pure ^jj++++=pure,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
wearing ^vbg+++xvbg+=wearing
a ^at++++=a
form ^nn++++=form
of ^in++++=of
clay ^nn++++=clay,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
would ^md+prd+++=would
have ^vb+hv+vrb++=have
me ^pp1o+pp1+++=me
bend ^nn++++=bend
over ^in++++=over
her ^pp$+pp3+++=her
pillow ^nn++++=pillow
at ^in++++=at
midnight ^nn++++=midnight,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
leave ^vb++++=leave
a ^at++++=a
blessing ^nn++++=blessing
there ^rn+pl+++=there?
? ^zz++++=EXTRAWORD
With ^in++++=With
a ^at++++=a
silent ^jj+atrb+++=silent
invocation ^nn+nom+++=invocation,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
her ^pp$+pp3+++=her
summon ^vb++++=summon
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Shrink ^vb++++=Shrink
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
maiden ^jjb++++=maiden,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
come ^vb++++=come!
! ^zz++++=EXTRAWORD
In ^in++++=In
life ^nn++++=life,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
a ^at++++=a
high ^jj++++=high-souled
- ^zz++++=EXTRAWORD
souled ^jj+atrb++xvbn+=EXTRAWORD
youth ^nn++++=youth,
, ^zz++++=EXTRAWORD
meditative ^jj++++=meditative,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
seldom ^rb++++=seldom
sad ^jj++++=sad,
, ^zz++++=EXTRAWORD
full ^jj++++=full
of ^in++++=of
chaste ^jj+atrb+++=chaste
fancies ^nns++++=fancies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stainless ^jj++++=stainless
from ^in++++=from
all ^abn++++=all
grosser ^jjr+atrb+++=grosser
sin ^nn++++=sin.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
in ^in++++=in
death ^nn++++=death,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
bring ^vb++++=bring
no ^at++++=no
loathsome ^jj+atrb+++=loathsome
smell ^nn++++=smell
of ^in++++=of
the ^ati++++=the
grave ^nn++++=grave,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
ghostly ^jj+atrb+++=ghostly
terrors ^nns++++=terrors,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
gentle ^jj++++=gentle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
soothing ^jj++++=soothing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sweetly ^rb++++=sweetly
pensive ^jj+atrb+++=pensive
influences ^nns+nom+++=influences.
. ^zz++++=EXTRAWORD
Perhaps ^rb+cnj+++=Perhaps,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
fluttering ^vbg+++xvbg+=fluttering
for ^in++++=for
the ^ati++++=the
skies ^nns++++=skies,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
visit ^vb++++=visit
may ^md+pos+++=may
hallow ^vb+++??+=hallow
the ^ati++++=the
wellsprings ^nns+++??+=wellsprings
of ^in++++=of
thy ^pp$+pp2+++=thy
thought ^nn+++xvbn+=thought,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
make ^vb++++=make
thee ^pp2+pp2+++=thee
heavenly ^jj++++=heavenly
here ^rn+pl+++=here
on ^in++++=on
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
shall ^md+prd+++=shall
pure ^jj+atrb+++=pure
dreams ^nps++++=dreams
and ^cc++++=and
holy ^jj+atrb+++=holy
meditations ^nns+nom+++=meditations
bless ^vb++++=bless
thy ^pp$+pp2+++=thy
life ^nn++++=life;
; ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
thy ^pp$+pp2+++=thy
sainted ^jj+atrb++xvbn+=sainted
spirit ^nn++++=spirit
linger ^vb++++=linger
round ^rb++++=round
the ^ati++++=the
grave ^nn++++=grave,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
seek ^vb++++=seek
the ^ati++++=the
upper ^jjb+atrb+++=upper
stars ^nns++++=stars,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
meet ^vb++++=meet
me ^pp1o+pp1+++=me
there ^rn+pl+++=there!
! ^zz++++=EXTRAWORD
