Eastward ^rb++++=Eastward
silver ^nn++++=silver
bell ^nn++++=bell
in ^in++++=in
the ^ati++++=the
children ^nns++++=children's
's ^$++++=EXTRAWORD
ears ^nns++++=ears,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
smile ^vb++++=smile
beguiled ^vbd+++xvbn+=beguiled
them ^pp3o+pp3+++=them
like ^in++++=like
the ^ati++++=the
light ^nn++++=light
of ^in++++=of
an ^at++++=an
enchanted ^jj+atrb++xvbn+=enchanted
lamp ^nn++++=lamp,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
leaned ^vbd+++xvbnx+=leaned
from ^in++++=from
the ^ati++++=the
window ^nn++++=window
with ^in++++=with
a ^at++++=a
look ^nn++++=look
of ^in++++=of
ineffable ^jj+atrb+++=ineffable
fondness ^nns+nom+++=fondness
on ^in++++=on
the ^ati++++=the
golden ^jj++++=golden-haired
- ^zz++++=EXTRAWORD
haired ^jj+atrb+++=EXTRAWORD
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
large ^jj+atrb+++=large
blue ^nn++++=blue
eyes ^nns++++=eyes;
; ^zz++++=EXTRAWORD
insomuch ^nn+++??+=insomuch
that ^tht+rel+++=that
little ^ap++++=little
Billy ^np++++=Billy,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
up ^rp++++=up,
, ^zz++++=EXTRAWORD
smiled ^j+++xvbn+=smiled
in ^in++++=in
return ^nn++++=return
with ^in++++=with
a ^at++++=a
wondering ^jj+atrb++xvbg+=wondering
fondness ^nns+nom+++=fondness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
stooped ^vbd+++xvbnx+=stooped
down ^rp++++=down,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stretched ^vbd+++xvbn+=stretched
her ^pp$+pp3+++=her
jewelled ^vbd+++xvbn+=jewelled
arms ^nns++++=arms
towards ^in++++=towards
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
stretched ^vbd+++xvbnx+=stretched
his ^pp$+pp3+++=his
little ^jj+atrb+++=little
hands ^nns++++=hands
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
they ^pp3a+pp3+++=they
touched ^vbd+++xvbnx+=touched
the ^ati++++=the
other ^ap++++=other
children ^nns++++=children
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying,
, ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
and ^cc+phrs+++=and
give ^vb++++=give
me ^pp1o+pp1+++=me
a ^at++++=a
kiss ^vb++++=kiss,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
darling ^nn+nom+++=darling,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
raised ^vbd+++xvbnx+=raised
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
ascend ^vbi+++??+=ascend
in ^in++++=in
her ^pp$+pp3+++=her
small ^jj+atrb+++=small
fingers ^nns+nom+++=fingers
as ^in++++=as
lightly ^rb++++=lightly
as ^in++++=as
a ^at++++=a
feather ^nn++++=feather,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
held ^vbd+vprv++xvbnx+=held
him ^pp3o+pp3+++=him
in ^in++++=in
her ^pp$+pp3+++=her
lap ^nn++++=lap
and ^cc++++=and
covered ^jj+++xvbn+=covered
him ^pp3o+pp3+++=him
with ^in++++=with
kisses ^nns++++=kisses.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
daunted ^vbd+++xvbn+=daunted,
, ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
children ^nns++++=children
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
only ^rb+down+++=only
too ^ql++++=too
happy ^jj++++=happy
to ^to+jcmp+++=to
change ^vb++++=change
places ^nns++++=places
with ^in++++=with
their ^pp$+pp3+++=their
favoured ^vbd+++xvbn+=favoured
little ^ap++++=little
brother ^nn++++=brother.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
one ^cd1++++=one
thing ^nn++++=thing
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
unpleasant ^jj+pred+++=unpleasant,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^rb++++=a
little ^rb"++++=little
frightened ^jj+++xvbn+=frightened
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
the ^ati++++=the
black ^jj+atrb+++=black
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
stood ^vbd+++xvbn+=stood
and ^cc+phrs+++=and
stretched ^vbd+++xvbn+=stretched
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
carriage ^nn+nom+++=carriage
as ^ql++++=as
before ^in++++=before.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
gathered ^vbd+++xvbnx+=gathered
a ^at++++=a
rich ^jj+atrb+++=rich
silk ^nn++++=silk
and ^cc++++=and
gold ^nn++++=gold
handkerchief ^nn++++=handkerchief
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
in ^in++++=in
her ^pp$+pp3+++=her
fingers ^nns+nom+++=fingers
up ^in+cmpx+++=up
to ^in"++++=to
her ^pp$+pp3+++=her
lips ^nns++++=lips,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
thrust ^vbi++++=thrust
ever ^rb++++=ever
so ^ql++++=so
much ^ap++++=much
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
fold ^nn++++=fold
after ^in++++=after
fold ^nn++++=fold,
, ^zz++++=EXTRAWORD
into ^in++++=into
her ^pp$+pp3+++=her
capacious ^jj+atrb+++=capacious
mouth ^nn++++=mouth,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
thought ^vbd+++xvbnx+=thought
to ^to+vcmp+++=to
smother ^vbi++++=smother
her ^pp$+pp3+++=her
laughter ^nn+nom+++=laughter,
, ^zz++++=EXTRAWORD
with ^in++++=with
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
seemed ^vbd+seem++xvbnx+=seemed
convulsed ^xvbn+++xvbn+=convulsed,
, ^zz++++=EXTRAWORD
for ^in++++=for
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
shaking ^vbg+++xvbgx+=shaking
and ^cc+phrs+++=and
quivering ^vbg+++xvbg+=quivering,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed,
, ^zz++++=EXTRAWORD
with ^in++++=with
suppressed ^jj+atrb++xvbn+=suppressed
merriment ^nn+nom+++=merriment;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
her ^pp$+pp3+++=her
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
remained ^vbd+++xvbn+=remained
uncovered ^vbd+++xvbn+=uncovered,
, ^zz++++=EXTRAWORD
looked ^j+++xvbn+=looked
angrier ^jjr++++=angrier
than ^cs+sub+++=than
they ^pp3a+pp3+++=they
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
seen ^vprf++tht0+xvbnx+=seen
eyes ^nns++++=eyes
look ^vb++++=look
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
lady ^nn++++=lady
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
beautiful ^jj++++=beautiful
they ^pp3a+pp3+++=they
looked ^vbd+++xvbnx+=looked
on ^in++++=on
her ^pp$+pp3+++=her
instead ^rb+cnj+++=instead,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
continued ^vbd+++xvbnx+=continued
to ^to++++=to
caress ^vbi++++=caress
and ^cc+phrs+++=and
kiss ^vb++++=kiss
the ^ati++++=the
little ^jj+atrb+++=little
boy ^nn++++=boy
on ^rp++++=on
her ^pp3o+pp3+++=her
knee ^nn++++=knee;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
smiling ^jj+++xvbg+=smiling
at ^rb++++=at
the ^ati++++=the
other ^ap++++=other
children ^nns++++=children
she ^pp3a+pp3+++=she
held ^vbd+vprv++xvbnx+=held
up ^rp++++=up
a ^at++++=a
large ^jj+atrb+++=large
russet ^jj+atrb+++=russet
apple ^nn++++=apple
in ^in++++=in
her ^pp$+pp3+++=her
fingers ^nns+nom+++=fingers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
carriage ^nn+nom+++=carriage
began ^vbd+++xvbn+=began
to ^to++++=to
move ^vbi++++=move
slowly ^rb++++=slowly
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
a ^at++++=a
nod ^nn++++=nod
inviting ^vwbg+++xvbg+=inviting
them ^pp3o+pp3+++=them
to ^to++++=to
take ^vbi++++=take
the ^ati++++=the
fruit ^nn++++=fruit,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
dropped ^vbd+++xvbnx+=dropped
it ^pp3+it+++=it
on ^in++++=on
the ^ati++++=the
road ^nn++++=road
from ^in++++=from
the ^ati++++=the
window ^nn++++=window;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
rolled ^vbd+++xvbn+=rolled
some ^dti++++=some
way ^nn++++=way
beside ^in+pl+++=beside
the ^ati++++=the
wheels ^nns++++=wheels,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
following ^jj+++xvbg+=following,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
she ^pp3a+pp3+++=she
dropped ^vbd+++xvbnx+=dropped
another ^ppls++++=another,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
another ^dt++++=another,
, ^zz++++=EXTRAWORD
and ^rb++++=and
so ^rb"++++=so
on ^rb"++++=on.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
same ^ap++++=same
thing ^nn++++=thing
happened ^vbd+++xvbn+=happened
to ^to+vcmp+++=to
all ^abn++++=all;
; ^zz++++=EXTRAWORD
for ^in++++=for
just ^rb+emph+++=just
as ^ql++++=as
either ^dtx++++=either
of ^in++++=of
the ^ati++++=the
children ^nns++++=children
who ^whp+rel+subj++=who
ran ^vbd+++xvbn+=ran
beside ^in+pl+++=beside
had ^vbd+hvd+aux++=had
caught ^vprf+++xvbnx+=caught
the ^ati++++=the
rolling ^jj+atrb++xvbg+=rolling
apple ^nn++++=apple,
, ^zz++++=EXTRAWORD
somehow ^rb++++=somehow
it ^pp3+it+++=it
slipt ^vbd+++xvbn+=slipt
into ^in++++=into
a ^at++++=a
hole ^nn++++=hole
or ^cc++++=or
ran ^vpsv++agls+xvbn+=ran
into ^in+ppvb+++=into
a ^at++++=a
ditch ^nn++++=ditch,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looking ^vbg+++xvbg+=looking
up ^rp++++=up
they ^pp3a+pp3+++=they
saw ^vbd+vprv+tht0+xvbnx+=saw
the ^ati++++=the
lady ^npt++++=lady
drop ^vb++++=drop
another ^dt++++=another
from ^in++++=from
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb++++=so
the ^ati++++=the
chase ^nn++++=chase
was ^vbd+bedz+aux++=was
taken ^vpsv++agls+xvbnx+=taken
up ^rb+phrv+++=up
and ^cc++++=and
continued ^vbd+++xvbn+=continued
till ^cs+sub+++=till
they ^pp3a+pp3+++=they
got ^vbd+++xvbnx+=got,
, ^zz++++=EXTRAWORD
hardly ^rb+down+++=hardly
knowing ^vbg+vprv++xvbg+=knowing
how ^wrb+who+whcl++=how
far ^rb+pl+++=far
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
old ^jj++++=old
cross ^jj++++=cross-road
- ^zz++++=EXTRAWORD
road ^npl++++=EXTRAWORD
that ^tht+rel+subj++=that
leads ^vbz++++=leads
to ^in++++=to
Owney ^np+++??+=Owney.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
that ^tht+vcmp+++=that
there ^rn+pl+++=there
the ^ati++++=the
horses ^nns++++=horses'
' ^zz++++=EXTRAWORD
hoofs ^nns++++=hoofs
and ^cc++++=and
carriage ^nn+nom+++=carriage
wheels ^nns++++=wheels
rolled ^vbd+++xvbn+=rolled
up ^rp++++=up
a ^at++++=a
wonderful ^jj+atrb+++=wonderful
dust ^nn++++=dust,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
being ^xvbg+++xvbg+=being
caught ^vbd+++xvbn+=caught
in ^in++++=in
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
eddies ^nns+++??+=eddies
that ^tht+rel+subj++=that
whirl ^vb++++=whirl
the ^ati++++=the
dust ^nn++++=dust
up ^rp++++=up
into ^in++++=into
a ^at++++=a
column ^nn++++=column,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
calmest ^jjt+atrb+++=calmest
day ^nn++++=day,
, ^zz++++=EXTRAWORD
enveloped ^j+++xvbn+=enveloped
the ^ati++++=the
children ^nns++++=children
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
passed ^vbd+++xvbn+=passed
whirling ^vbg+nom++xvbg+=whirling
on ^in++++=on
towards ^in++++=towards
Lisnavoura ^np+++??+=Lisnavoura,
, ^zz++++=EXTRAWORD
the ^ati++++=the
carriage ^nn+nom+++=carriage,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
fancied ^vbd+++xvbnx+=fancied,
, ^zz++++=EXTRAWORD
driving ^nvbg+++xvbg+=driving
in ^in++++=in
the ^ati++++=the
centre ^nn++++=centre
of ^in++++=of
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
suddenly ^rb++++=suddenly
it ^pp3+it+++=it
subsided ^vprf+++xvbn+=subsided,
, ^zz++++=EXTRAWORD
the ^ati++++=the
straws ^nns+++??+=straws
and ^cc++++=and
leaves ^nns++++=leaves
floated ^vbd+++xvbn+=floated
to ^in++++=to
the ^ati++++=the
ground ^nn++++=ground,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dust ^nn++++=dust
dissipated ^vbd+++xvbn+=dissipated
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
white ^jj+atrb+++=white
horses ^nns++++=horses
and ^cc++++=and
the ^ati++++=the
lackeys ^nns+++??+=lackeys,
, ^zz++++=EXTRAWORD
the ^ati++++=the
gilded ^jj+atrb++xvbn+=gilded
carriage ^nn+nom+++=carriage,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lady ^nn++++=lady
and ^cc++++=and
their ^pp$+pp3+++=their
little ^rb++++=little
golden ^jj++++=golden-haired
- ^zz++++=EXTRAWORD
haired ^jj+atrb+++=EXTRAWORD
brother ^nn++++=brother
were ^vbd+bed+aux++=were
gone ^vpsv++agls+xvbnx+=gone.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
same ^ap++++=same
moment ^nn++++=moment
suddenly ^rb++++=suddenly
the ^ati++++=the
upper ^jjb+atrb+++=upper
rim ^nn++++=rim
of ^in++++=of
the ^ati++++=the
clear ^jj+atrb+++=clear
setting ^jj+atrb++xvbg+=setting
sun ^nn++++=sun
disappeared ^vbd+seem++xvbn+=disappeared
behind ^in+pl+++=behind
the ^ati++++=the
hill ^nn++++=hill
of ^in++++=of
Knockdoula ^np+++??+=Knockdoula,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
twilight ^nn++++=twilight.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
child ^nn++++=child
felt ^vbd+vprv++xvbn+=felt
the ^ati++++=the
transition ^nn+nom+++=transition
like ^in++++=like
a ^at++++=a
shock ^nn++++=shock
and ^cc++++=and
the ^ati++++=the
sight ^nn++++=sight
of ^in++++=of
the ^ati++++=the
rounded ^jj+atrb++xvbn+=rounded
summit ^nn++++=summit
of ^in++++=of
Lisnavoura ^np+++??+=Lisnavoura,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
closely ^rb++++=closely
overhanging ^jj++++=overhanging
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
struck ^j+++xvbn+=struck
them ^pp3o+pp3+++=them
with ^in++++=with
a ^at++++=a
new ^nn++++=new
fear ^vb++++=fear.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
screamed ^vbd+++xvbnx+=screamed
their ^pp$+pp3+++=their
brother ^nn++++=brother's
's ^$++++=EXTRAWORD
name ^nn++++=name
after ^in++++=after
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
their ^pp$+pp3+++=their
cries ^nns++++=cries
were ^vbd+bed+aux++=were
lost ^vpsv++agls+xvbnx+=lost
in ^in++++=in
the ^ati++++=the
vacant ^jj+atrb+++=vacant
air ^nn++++=air.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time
they ^pp3a+pp3+++=they
thought ^vbd+++xvbnx+=thought
they ^pp3a+pp3+++=they
heard ^vbd+vprv+tht0+xvbnx+=heard
a ^at++++=a
hollow ^jj+atrb+++=hollow
voice ^nn++++=voice
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
close ^in+cmpx+++=close
to ^in"++++=to
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
" ^zz++++="Go
go ^vb++++=EXTRAWORD
home ^nr++++=home."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Looking ^vbg+++xvbg+=Looking
round ^rb++++=round
and ^cc++++=and
seeing ^vbg+vprv++xvbg+=seeing
no ^at++++=no
one ^pn++++=one,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
scared ^vpsv++agls+xvbnx+=scared,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hand ^nn++++=hand
in ^in++++=in
hand ^nn++++=hand
the ^ati++++=the
little ^jj+atrb+++=little
girl ^nn++++=girl
crying ^vwbg+++xvbg+=crying
wildly ^rb+cnj+++=wildly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
boy ^nn++++=boy
white ^jj++++=white
as ^ql++++=as
ashes ^nns++++=ashes,
, ^zz++++=EXTRAWORD
from ^in++++=from
fear ^nn++++=fear,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
trotted ^vbd+++xvbnx+=trotted
homeward ^rb+cnj+++=homeward,
, ^zz++++=EXTRAWORD
at ^in++++=at
their ^pp$+pp3+++=their
best ^jjt+atrb+++=best
speed ^nn++++=speed,
, ^zz++++=EXTRAWORD
to ^to++++=to
tell ^vbi++++=tell,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
strange ^jj+atrb+++=strange
story ^nn++++=story.
. ^zz++++=EXTRAWORD
Molly ^np++++=Molly
Ryan ^np+++??+=Ryan
never ^rb++++=never
more ^ql++++=more
saw ^vbd+vprv++xvbn+=saw
her ^pp$+pp3+++=her
darling ^np+nom+++=darling.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
something ^pn++++=something
of ^in++++=of
the ^ati++++=the
lost ^vbd+++xvbn+=lost
little ^ap++++=little
boy ^nn++++=boy
was ^vbd+bedz+aux++=was
seen ^vpsv++by+xvbnx+=seen
by ^in++++=by
his ^pp$+pp3+++=his
former ^ap++++=former
playmates ^nns+nom+++=playmates.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
when ^wrb+who+++=when
their ^pp$+pp3+++=their
mother ^nn++++=mother
was ^vbd+bedz+aux++=was
away ^rp+pl+splt++=away
earning ^vbg+++xvbgx+=earning
a ^at++++=a
trifle ^nn++++=trifle
at ^in++++=at
haymaking ^nn++++=haymaking,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Nelly ^np++++=Nelly
washing ^vwbg+++xvbg+=washing
the ^ati++++=the
potatoes ^nns++++=potatoes
for ^in++++=for
their ^pp$+pp3+++=their
dinner ^nn++++=dinner,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
" ^zz++++="beatling"
beatling ^nn+nom+++=EXTRAWORD
" ^zz++++=EXTRAWORD
clothes ^nns++++=clothes
in ^in++++=in
the ^ati++++=the
little ^jj+atrb+++=little
stream ^nn++++=stream
that ^tht+rel+subj++=that
flows ^vbz++++=flows
in ^in++++=in
the ^ati++++=the
hollow ^jj++++=hollow
close ^jj++++=close
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
pretty ^rb++++=pretty
face ^nn++++=face
of ^in++++=of
little ^jj+atrb+++=little
Billy ^np++++=Billy
peeping ^vwbg+++xvbg+=peeping
in ^in++++=in
archly ^rb++++=archly
at ^in++++=at
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
smiling ^vbg+nom++xvbg+=smiling
silently ^rb++++=silently
at ^in++++=at
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
they ^pp3a+pp3+++=they
ran ^vbd+++xvbnx+=ran
to ^to++++=to
embrace ^vbi++++=embrace
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
with ^in++++=with
cries ^nns++++=cries
of ^in++++=of
delight ^nn++++=delight,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
drew ^vbd+++xvbnx+=drew
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
still ^rb++++=still
smiling ^vbg+nom++xvbg+=smiling
archly ^rb+cnj+++=archly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
got ^vbd+++xvbnx+=got
out ^rb+phrv+++=out
into ^in++++=into
the ^ati++++=the
open ^jj+atrb+++=open
day ^nn++++=day,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
gone ^vpsv++agls+xvbnx+=gone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
could ^md+pos+++=could
see ^vb+vprv+++=see
no ^at++++=no
trace ^nn++++=trace
of ^in++++=of
him ^pp3o+pp3+++=him
anywhere ^rb++++=anywhere.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
happened ^jj+++xvbn+=happened
often ^rb+cnj+++=often,
, ^zz++++=EXTRAWORD
with ^in++++=with
slight ^jj+atrb+++=slight
variations ^nns+nom+++=variations
in ^in++++=in
the ^ati++++=the
circumstances ^nns+nom+++=circumstances
of ^in++++=of
the ^ati++++=the
visit ^nn++++=visit.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
he ^pp3a+pp3+++=he
would ^md+prd+++=would
peep ^vb++++=peep
for ^in++++=for
a ^at++++=a
longer ^rbr++++=longer
time ^nn++++=time,
, ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
for ^in++++=for
a ^at++++=a
shorter ^jjr+atrb+++=shorter
time ^nn++++=time,
, ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
his ^pp$+pp3+++=his
little ^jj+atrb+++=little
hand ^nn++++=hand
would ^md+prd+++=would
come ^vb++++=come
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
with ^in++++=with
bended ^jj+atrb+++=bended
finger ^nn++++=finger,
, ^zz++++=EXTRAWORD
beckon ^nn+++??+=beckon
them ^pp3o+pp3+++=them
to ^to++++=to
follow ^vbi+vprv+++=follow;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
always ^rb++++=always
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
smiling ^nvbg+++xvbg+=smiling
with ^in++++=with
the ^ati++++=the
same ^ap++++=same
arch ^jjb+atrb+++=arch
look ^nn++++=look
and ^cc++++=and
wary ^jj+atrb+++=wary
silence ^nn+nom+++=silence
and ^cc++++=and
always ^rb++++=always
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
gone ^vpsv++agls+xvbnx+=gone
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
reached ^vbd+++xvbnx+=reached
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Gradually ^rb++++=Gradually
these ^dt+dem+++=these
visits ^nns++++=visits
grew ^vbd+++xvbn+=grew
less ^rbr++++=less
and ^cc+phrs+++=and
less ^rbr++++=less
frequent ^jj++++=frequent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
about ^in++++=about
eight ^cd++++=eight
months ^nns++++=months
they ^pp3a+pp3+++=they
ceased ^vbd+++xvbnx+=ceased
altogether ^nn+nom+++=altogether,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
little ^jj+atrb+++=little
Billy ^np++++=Billy,
, ^zz++++=EXTRAWORD
irretrievably ^rb++++=irretrievably
lost ^jj+atrb++xvbn+=lost,
, ^zz++++=EXTRAWORD
took ^jj+atrb++xvbn+=took
rank ^nn++++=rank
in ^in++++=in
their ^pp$+pp3+++=their
memories ^nns++++=memories
with ^in++++=with
the ^ati++++=the
dead ^nn++++=dead.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
wintry ^jj+atrb+++=wintry
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
nearly ^rb+down+++=nearly
a ^at++++=a
year ^nn++++=year
and ^cc++++=and
a ^at++++=a
half ^abn++++=half
after ^in++++=after
his ^pp$+pp3+++=his
disappearance ^nn+nom+++=disappearance,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
mother ^nn++++=mother
having ^vwbg+++xvbg+=having
set ^nn+++xvbn+=set
out ^rb+phrv+++=out
for ^in+ppvb+++=for
Limerick ^np+++??+=Limerick
soon ^rb+tm+++=soon
after ^in++++=after
cockcrow ^nn+++??+=cockcrow,
, ^zz++++=EXTRAWORD
to ^to++++=to
sell ^vbi++++=sell
some ^dti++++=some
fowls ^nns++++=fowls
at ^in++++=at
the ^ati++++=the
market ^nn++++=market,
, ^zz++++=EXTRAWORD
the ^ati++++=the
little ^jj+atrb+++=little
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
lying ^vbg+++xvbg+=lying
