Perhaps ^rb++++=PERHAPS
, ^zz++++=EXTRAWORD
worshipping ^jj+atrb++xvbg+=worshipping
solidity ^nn+nom+++=solidity,
, ^zz++++=EXTRAWORD
worshipping ^jj+atrb++xvbg+=worshipping
reality ^nn+nom+++=reality,
, ^zz++++=EXTRAWORD
worshipping ^jj+++xvbg+=worshipping
the ^ati++++=the
impersonal ^jj+atrb+++=impersonal
world ^nn++++=world
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
a ^at++++=a
proof ^nn++++=proof
of ^in++++=of
some ^dti++++=some
existence ^nn+nom+++=existence
other ^ap++++=other
than ^in++++=than
ours ^pp$$++++=ours.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
what ^wdt+who+++=what
one ^cd1++++=one
wants ^vb++++=wants
to ^to+vcmp+++=to
be ^vbi++vrb++=be
sure ^jj+atrb+++=sure
of.. ^nn+++??+=of....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Wood ^nn++++=Wood
is ^vbz+bez+vrb++=is
a ^at++++=a
pleasant ^jj+atrb+++=pleasant
thing ^nn++++=thing
to ^to++++=to
think ^vbi+vprv+++=think
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
comes ^vbz++++=comes
from ^in+ppvb+++=from
a ^at++++=a
tree ^nn++++=tree;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
trees ^nns++++=trees
grow ^vb++++=grow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
they ^pp3a+pp3+++=they
grow ^vb++++=grow.
. ^zz++++=EXTRAWORD
For ^in++++=For
years ^nns++++=years
and ^cc++++=and
years ^nns++++=years
they ^pp3a+pp3+++=they
grow ^vb++++=grow,
, ^zz++++=EXTRAWORD
without ^in++++=without
paying ^xvbg+++xvbg+=paying
any ^dti++++=any
attention ^nn+nom+++=attention
to ^in++++=to
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
in ^in++++=in
meadows ^nns++++=meadows,
, ^zz++++=EXTRAWORD
in ^in++++=in
forests ^nns++++=forests,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
riversall ^nn+++??+=riversall
things ^nns++++=things
one ^cd1++++=one
likes ^nns++++=likes
to ^to++++=to
think ^vbi+vprv+++=think
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cows ^nns++++=cows
swish ^nn++++=swish
their ^pp$+pp3+++=their
tails ^vbz++++=tails
beneath ^rb++++=beneath
them ^pp3o+pp3+++=them
on ^in++++=on
hot ^jj+atrb+++=hot
afternoons ^nns++++=afternoons;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
paint ^vb++++=paint
rivers ^nns++++=rivers
so ^ql++++=so
green ^np++++=green
that ^tht+rel+++=that
when ^wrb+who+++=when
a ^at++++=a
moorhen ^jj+atrb++xvbn+=moorhen
dives ^nns++++=dives
one ^cd1++++=one
expects ^vbz++++=expects
to ^to++++=to
see ^vbi+vprv+tht0++=see
its ^pp$+it+++=its
feathers ^nns+nom+++=feathers
all ^abn++++=all
green ^npl++++=green
when ^wrb+who+++=when
it ^pp3+it+++=it
comes ^vbz++++=comes
up ^rp++++=up
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
like ^vb++++=like
to ^to+vcmp+++=to
think ^vbi+vprv+++=think
of ^in++++=of
the ^ati++++=the
fish ^nns++++=fish
balanced ^vbd+++xvbn+=balanced
against ^in++++=against
the ^ati++++=the
stream ^nn++++=stream
like ^in++++=like
flags ^nns++++=flags
blown ^vbd+++xvbn+=blown
out ^rp+pl+++=out;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
water ^nn++++=water-beetles
- ^zz++++=EXTRAWORD
beetles ^nns+++??+=EXTRAWORD
slowly ^rb++++=slowly
raising ^jj+atrb++xvbg+=raising
domes ^nns+++??+=domes
of ^in++++=of
mud ^nn++++=mud
upon ^in++++=upon
the ^ati++++=the
bed ^nn++++=bed
of ^in++++=of
the ^ati++++=the
river ^nn++++=river.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
like ^vb++++=like
to ^to+vcmp+++=to
think ^vbi+vprv+++=think
of ^in++++=of
the ^ati++++=the
tree ^nn++++=tree
itself ^ppl++++=itself:
: ^zz++++=EXTRAWORD
first ^rb++++=first
the ^ati++++=the
close ^jj+atrb+++=close
dry ^jj+atrb+++=dry
sensation ^nn+nom+++=sensation
of ^in++++=of
being ^xvbg+++xvbg+=being
wood ^npl++++=wood;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
grinding ^jj+++xvbg+=grinding
of ^in++++=of
the ^ati++++=the
storm ^nn++++=storm;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
slow ^jj++++=slow,
, ^zz++++=EXTRAWORD
delicious ^jj++++=delicious
ooze ^vb++++=ooze
of ^in++++=of
sap ^nn++++=sap.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
like ^vb++++=like
to ^to+vcmp+++=to
think ^vbi+vprv+++=think
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
on ^in++++=on
winter ^nn++++=winter's
's ^$++++=EXTRAWORD
nights ^nns++++=nights
standing ^vwbg+++xvbg+=standing
in ^in++++=in
the ^ati++++=the
empty ^jj+atrb+++=empty
field ^nn++++=field
with ^in++++=with
all ^abn++++=all
leaves ^nns++++=leaves
close ^jj++++=close-furled,
- ^zz++++=EXTRAWORD
furled ^xvbn+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
nothing ^pn++++=nothing
tender ^jj++++=tender
exposed ^jj+++xvbn+=exposed
to ^in++++=to
the ^ati++++=the
iron ^nn++++=iron
bullets ^nns+nom+++=bullets
of ^in++++=of
the ^ati++++=the
moon ^nn++++=moon,
, ^zz++++=EXTRAWORD
a ^at++++=a
naked ^jj+atrb+++=naked
mast ^nn++++=mast
upon ^in++++=upon
an ^at++++=an
earth ^nn++++=earth
that ^tht+rel+subj++=that
goes ^vbz++++=goes
tumbling ^jj+++xvbg+=tumbling,
, ^zz++++=EXTRAWORD
tumbling ^vbg+nom++xvbg+=tumbling,
, ^zz++++=EXTRAWORD
all ^abn++++=all
night ^nn++++=night
long ^jj++++=long.
. ^zz++++=EXTRAWORD
The ^ati++++=The
song ^nn++++=song
of ^in++++=of
birds ^nns++++=birds
must ^md+nec+++=must
sound ^jj++++=sound
very ^ql+amp+++=very
loud ^jj++++=loud
and ^cc+phrs+++=and
strange ^jj++++=strange
in ^in++++=in
June ^nr++++=June;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
cold ^jj++++=cold
the ^ati++++=the
feet ^nns++++=feet
of ^in++++=of
insects ^nns++++=insects
must ^md+nec+++=must
feel ^vb+vprv+++=feel
upon ^in++++=upon
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
make ^vb++++=make
laborious ^jj++++=laborious
progresses ^nns+nom+++=progresses
up ^rp++++=up
the ^ati++++=the
creases ^nns++++=creases
of ^in++++=of
the ^ati++++=the
bark ^nn++++=bark,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
sun ^nn++++=sun
themselves ^ppls+pp3+++=themselves
upon ^in++++=upon
the ^ati++++=the
thin ^jj+atrb+++=thin
green ^jj+atrb+++=green
awning ^nn++++=awning
of ^in++++=of
the ^ati++++=the
leaves ^nns++++=leaves,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
look ^vb++++=look
straight ^jj++++=straight
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
them ^pp3o+pp3+++=them
with ^in++++=with
diamond ^nn++++=diamond-cut
- ^zz++++=EXTRAWORD
cut ^vb+++xvbn+=EXTRAWORD
red ^jj+atrb+++=red
eyes.. ^nn+++??+=eyes....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
One ^pn++++=One
by ^in++++=by
one ^cd1++++=one
the ^ati++++=the
fibres ^nns++++=fibres
snap ^vb++++=snap
beneath ^in+pl+++=beneath
the ^ati++++=the
immense ^jj+atrb+++=immense
cold ^jj+atrb+++=cold
pressure ^nn++++=pressure
of ^in++++=of
the ^ati++++=the
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
last ^rb++++=last
storm ^nn++++=storm
comes ^vbz++++=comes
and ^cc++++=and,
, ^zz++++=EXTRAWORD
falling ^nvbg+++xvbg+=falling,
, ^zz++++=EXTRAWORD
the ^ati++++=the
highest ^jjt+atrb+++=highest
branches ^nns++++=branches
drive ^nn++++=drive
deep ^jj++++=deep
into ^in++++=into
the ^ati++++=the
ground ^nn++++=ground
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
so ^ql++++=so,
, ^zz++++=EXTRAWORD
life ^nn++++=life
is ^vbz+bez+aux++=isn't
n't ^xnot++not++0=EXTRAWORD
done ^vbd+++xvbn+=done
with ^in+strn+++=with;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
a ^at++++=a
million ^cd++++=million
patient ^nn++++=patient,
, ^zz++++=EXTRAWORD
watchful ^jj+atrb+++=watchful
lives ^nns++++=lives
still ^rb++++=still
for ^in++++=for
a ^at++++=a
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
all ^abn++++=all
over ^in++++=over
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
in ^in++++=in
bedrooms ^nns++++=bedrooms,
, ^zz++++=EXTRAWORD
in ^in++++=in
ships ^nns++++=ships,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
pavement ^nn+nom+++=pavement,
, ^zz++++=EXTRAWORD
lining ^vbg+++xvbg+=lining
rooms ^nns++++=rooms,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
men ^nns++++=men
and ^cc++++=and
women ^nns++++=women
sit ^vb++++=sit
after ^in++++=after
tea ^nn++++=tea,
, ^zz++++=EXTRAWORD
smoking ^vbg+++xvbg+=smoking
cigarettes ^nns+nom+++=cigarettes.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
full ^jj+pred+++=full
of ^in++++=of
peaceful ^jj+atrb+++=peaceful
thoughts ^nns++++=thoughts,
, ^zz++++=EXTRAWORD
happy ^jj+atrb+++=happy
thoughts ^nns++++=thoughts,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
like ^vb++++=like
to ^to+vcmp+++=to
take ^vbi++++=take
each ^dt++++=each
one ^cd1++++=one
separatelybut ^nn+++??+=separatelybut
something ^pn++++=something
is ^vbz+bez+aux++=is
getting ^vbg+++xvbgx+=getting
in ^rb+phrv+++=in
the ^ati++++=the
way.. ^nn+++??+=way....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Where ^wrb+who+whq++=Where
was ^vbd+bedz+vrb++=was
I ^pp1a+pp1+++=I?
? ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
has ^vbz+hvz+aux++=has
it ^pp3+it+++=it
all ^rb++++=all
been ^vprf+ben+vrb+xvbn+=been
about ^in+strn+++=about?
? ^zz++++=EXTRAWORD
A ^at++++=A
tree ^nn++++=tree?
? ^zz++++=EXTRAWORD
A ^at++++=A
river ^nn++++=river?
? ^zz++++=EXTRAWORD
The ^ati++++=The
Downs ^nns++++=Downs?
? ^zz++++=EXTRAWORD
Whitaker ^np+nom+++=Whitaker's
's ^$++++=EXTRAWORD
Almanack ^np+++??+=Almanack?
? ^zz++++=EXTRAWORD
The ^ati++++=The
fields ^nns++++=fields
of ^in++++=of
asphodel ^nn+++??+=asphodel?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
remember ^nn+nom+++=remember
a ^at++++=a
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
Everything ^np++++=Everything's
's ^vbz+bez+aux++0=EXTRAWORD
moving ^vbg+++xvbg+=moving,
, ^zz++++=EXTRAWORD
falling ^nvbg+++xvbg+=falling,
, ^zz++++=EXTRAWORD
slipping ^vbg+++xvbg+=slipping,
, ^zz++++=EXTRAWORD
vanishing.. ^nn+++??+=vanishing....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
a ^at++++=a
vast ^jj+atrb+++=vast
upheaval ^nn+nom+++=upheaval
of ^in++++=of
matter ^nn++++=matter.
. ^zz++++=EXTRAWORD
Someone ^pn++++=Someone
is ^vbz+bez+aux++=is
standing ^vbg+++xvbgx+=standing
over ^rp++++=over
me ^pp1o+pp1+++=me
and ^cc++++=and
saying ^vbg+++xvbg+=saying
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
going ^vbg+++xvbgx+=going
out ^rp+pl+++=out
to ^to++++=to
buy ^vbi++++=buy
a ^at++++=a
newspaper ^nn+nom+++=newspaper."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes?"
yes ^uh++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Though
though ^cs+sub+++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
good ^nn++++=good
buying ^vwbg+++xvbg+=buying
newspapers.. ^nn+++??+=newspapers....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
ever ^rb++++=ever
happens ^vbz+vsua+++=happens.
. ^zz++++=EXTRAWORD
Curse ^vb++++=Curse
this ^dt+dem+++=this
war ^nn++++=war;
; ^zz++++=EXTRAWORD
God ^np++++=God
damn ^vb++++=damn
this ^dt+dem+++=this
war!. ^nn+++??+=war!...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
same ^ap++++=same,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
see ^vb+vprv+++=see
why ^wrb+who+whcl++=why
we ^pp1a+pp1+++=we
should ^md+nec+++=should
have ^vb+hv+vrb++=have
a ^at++++=a
snail ^nn++++=snail
on ^in++++=on
our ^pp$+pp1+++=our
wall ^nn++++=wall."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ah ^uh++++=Ah,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mark ^nn++++=mark
on ^in++++=on
the ^ati++++=the
wall ^nn++++=wall!
! ^zz++++=EXTRAWORD
it ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
snail ^nn++++=snail.
. ^zz++++=EXTRAWORD
