Blood ^nn++++=Blood
Opitsah ^np+++??+=Opitsah,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
circle ^nn++++=circle
of ^in++++=of
chiefs ^nns++++=chiefs
that ^tht+rel+subj++=that
were ^vbd+bed+vrb++=were
as ^ql++++=as
dead ^jj++++=dead,
, ^zz++++=EXTRAWORD
save ^cs+sub+++=save
that ^dt+dem+++=that
the ^ati++++=the
flash ^nn++++=flash
of ^in++++=of
the ^ati++++=the
knife ^nn++++=knife
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
draw ^vbi++++=draw
smouldering ^jj+atrb++xvbg+=smouldering
fire ^nn++++=fire
from ^in++++=from
their ^pp$+pp3+++=their
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Ligoun ^np+++??+=Ligoun,
, ^zz++++=EXTRAWORD
also ^rb+cnj+++=also,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
still ^rb++++=still.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
did ^vbd+dod+aux++=did
he ^pp3a+pp3+++=he
know ^vb+vprv+tht0++=know
his ^pp$+pp3+++=his
death ^nn++++=death,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
unafraid ^jj+pred+++=unafraid.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
knife ^nn++++=knife
sang ^vbd+++xvbn+=sang
closer ^rbr++++=closer
and ^cc+phrs+++=and
yet ^rb++++=yet
closer ^rbr++++=closer
to ^in++++=to
his ^pp$+pp3+++=his
face ^nn++++=face,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
were ^vbd+bed+aux++=were
unblinking ^vbg+++xvbgx+=unblinking
and ^cc++++=and
he ^pp3a+pp3+++=he
swayed ^vbd+++xvbnx+=swayed
not ^xnot++not++=not
to ^in++++=to
right ^nn++++=right
or ^cc++++=or
left ^nn+++xvbn+=left,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
this ^dt+dem+++=this
way ^nn++++=way
or ^cc++++=or
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
Opitsah ^np+++??+=Opitsah
drove ^vbd+++xvbn+=drove
in ^in++++=in
the ^ati++++=the
knife ^nn++++=knife,
, ^zz++++=EXTRAWORD
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
twice ^rb++++=twice
on ^in++++=on
the ^ati++++=the
forehead ^nn++++=forehead
of ^in++++=of
Ligoun ^np+++??+=Ligoun,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
red ^jj+atrb+++=red
blood ^nn++++=blood
leaped ^vbd+++xvbn+=leaped
after ^in++++=after
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
Ligoun ^np+++??+=Ligoun
gave ^vbd+++xvbn+=gave
me ^pp1o+pp1+++=me
the ^ati++++=the
sign ^nn++++=sign
to ^to++++=to
bear ^vbi+vprv+++=bear
up ^rp++++=up
under ^in++++=under
him ^pp3o+pp3+++=him
with ^in++++=with
my ^pp$+pp1+++=my
youth ^nn++++=youth
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
might ^md+pos+++=might
walk ^vb++++=walk.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
he ^pp3a+pp3+++=he
laughed ^vbd+++xvbnx+=laughed
with ^in++++=with
a ^at++++=a
great ^jj+atrb+++=great
scorn ^nn++++=scorn,
, ^zz++++=EXTRAWORD
full ^jj++++=full
in ^in+cmpx+++=in
the ^in"++++=the
face ^in"++++=face
of ^in"++++=of
Opitsah ^np+++??+=Opitsah,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Knife ^nn++++=Knife.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
he ^pp3a+pp3+++=he
brushed ^vbd+++xvbnx+=brushed
Opitsah ^np+++??+=Opitsah
to ^in++++=to
the ^ati++++=the
side ^nn++++=side,
, ^zz++++=EXTRAWORD
as ^ql++++=as
one ^cd1++++=one
brushes ^nns++++=brushes
to ^in++++=to
the ^ati++++=the
side ^nn++++=side
a ^at++++=a
low ^jj++++=low-hanging
- ^zz++++=EXTRAWORD
hanging ^vbg+++xvbg+=EXTRAWORD
branch ^nn++++=branch
on ^in++++=on
the ^ati++++=the
trail ^nn++++=trail
and ^cc++++=and
passes ^vbz++++=passes
on ^rb+phrv+++=on.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
and ^cc+phrs+++=and
understood ^vbd+vprv++xvbn+=understood,
, ^zz++++=EXTRAWORD
for ^in++++=for
there ^rn+pl+++=there
was ^vbd+bedz+vrb++=was
but ^cc++++=but
shame ^nn++++=shame
in ^in++++=in
the ^ati++++=the
killing ^jj+++xvbg+=killing
of ^in++++=of
Opitsah ^np+++??+=Opitsah
before ^in++++=before
the ^ati++++=the
faces ^nns++++=faces
of ^in++++=of
a ^at++++=a
score ^nn++++=score
of ^in++++=of
greater ^jjr+atrb+++=greater
chiefs ^nns++++=chiefs.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remembered ^vbd+vprv++xvbnx+=remembered
the ^ati++++=the
Law ^nn++++=Law,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
knew ^vbd+vprv+tht0+xvbn+=knew
Ligoun ^np+++??+=Ligoun
had ^vb+hv+vrb++=had
it ^pp3+it+++=it
in ^in++++=in
mind ^nn++++=mind
to ^to++++=to
kill ^vbi++++=kill
by ^in++++=by
the ^ati++++=the
Law ^nn++++=Law.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
chiefest ^jjt++++=chiefest
of ^in++++=of
rank ^nn++++=rank
but ^cc++++=but
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there
but ^cc++++=but
Niblack ^np+++??+=Niblack?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
toward ^in++++=toward
Niblack ^np+++??+=Niblack,
, ^zz++++=EXTRAWORD
leaning ^vbg+++xvbg+=leaning
on ^in++++=on
my ^pp$+pp1+++=my
arm ^nn++++=arm,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
walked ^vbd+++xvbnx+=walked.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
to ^in++++=to
his ^pp$+pp3+++=his
other ^ap++++=other
arm ^nn++++=arm,
, ^zz++++=EXTRAWORD
clinging ^vbg+++xvbg+=clinging
and ^cc+phrs+++=and
striking ^vbg+++xvbg+=striking,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
Opitsah ^np+++??+=Opitsah,
, ^zz++++=EXTRAWORD
too ^ql++++=too
small ^jj++++=small
to ^in++++=to
soil ^nn++++=soil
with ^in++++=with
his ^pp$+pp3+++=his
blood ^nn++++=blood
the ^ati++++=the
hands ^nns++++=hands
of ^in++++=of
so ^ql++++=so
great ^np++++=great
a ^at++++=a
man ^nn++++=man.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
though ^cs+sub+++=though
the ^ati++++=the
knife ^nn++++=knife
of ^in++++=of
Opitsah ^np+++??+=Opitsah
bit ^nn++++=bit
in ^in++++=in
again ^rb+tm+++=again
and ^cc+phrs+++=and
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
Ligoun ^np+++??+=Ligoun
noted ^vbd+vprv++xvbn+=noted
it ^pp3+it+++=it
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
winced ^vbd+++xvbn+=winced.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
in ^in++++=in
this ^dt+dem+++=this
fashion ^nn++++=fashion
we ^pp1a+pp1+++=we
three ^cd++++=three
went ^vbd+++xvbn+=went
our ^pp$+pp1+++=our
way ^nn++++=way
across ^in+pl+++=across
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
Niblack ^np+++??+=Niblack
sitting ^vwbg+++xvbg+=sitting
in ^in++++=in
his ^pp$+pp3+++=his
blanket ^nn++++=blanket
and ^cc++++=and
fearful ^jj++++=fearful
of ^in++++=of
our ^pp$+pp1+++=our
coming ^nvbg+++xvbg+=coming.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
now ^rn+tm+++=now
old ^jj++++=old
hates ^vbz++++=hates
flamed ^jj+++xvbn+=flamed
up ^rp++++=up
and ^cc++++=and
forgotten ^vbn+vprv+tht0+xvbn+=forgotten
grudges ^nns+++??+=grudges
were ^vbd+bed+aux++=were
remembered ^vpsv++agls+xvbnx+=remembered.
. ^zz++++=EXTRAWORD
Lamuk ^np+++??+=Lamuk,
, ^zz++++=EXTRAWORD
a ^at++++=a
Kake ^np+++??+=Kake,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
had ^vb+hv+vrb++=had
a ^at++++=a
brother ^npt++++=brother
drowned ^vbd+++xvbn+=drowned
in ^in++++=in
the ^ati++++=the
bad ^jj+atrb+++=bad
water ^nn++++=water
of ^in++++=of
the ^ati++++=the
Stickeen ^np+++??+=Stickeen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Stickeens ^np+++??+=Stickeens
had ^vb+hv+aux++=had
not ^xnot++not++=not
paid ^vbd+++xvbn+=paid
in ^in++++=in
blankets ^nns++++=blankets
for ^in++++=for
their ^pp$+pp3+++=their
bad ^jj+atrb+++=bad
water ^nn++++=water,
, ^zz++++=EXTRAWORD
as ^ql++++=as
was ^vbd+bedz+vrb++=was
the ^ati++++=the
custom ^nn++++=custom
to ^to++++=to
pay ^vbi++++=pay.
. ^zz++++=EXTRAWORD
So ^ql++++=So
Lamuk ^np+++??+=Lamuk
drove ^vbd+++xvbn+=drove
straight ^rb++++=straight
with ^in++++=with
his ^pp$+pp3+++=his
long ^jj+atrb+++=long
knife ^nn++++=knife
to ^in++++=to
the ^ati++++=the
heart ^nn++++=heart
of ^in++++=of
Klok ^np+++??+=Klok-Kutz
- ^zz++++=EXTRAWORD
kutz ^nn+++??+=EXTRAWORD
the ^ati++++=the
Stickeen ^np+++??+=Stickeen.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Katchahook ^np+++??+=Katchahook
remembered ^vwbn+vprv++xvbn+=remembered
a ^at++++=a
quarrel ^nn++++=quarrel
of ^in++++=of
the ^ati++++=the
Naass ^np+++??+=Naass
River ^nn++++=River
people ^nns++++=people
with ^in++++=with
the ^ati++++=the
Tongas ^np+++??+=Tongas
of ^in++++=of
north ^np+pl+++=north
of ^in++++=of
Dixon ^np++++=Dixon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
chief ^nn++++=chief
of ^in++++=of
the ^ati++++=the
Tongas ^np+++??+=Tongas
he ^pp3a+pp3+++=he
slew ^nn+++??+=slew
with ^in++++=with
a ^at++++=a
pistol ^nn++++=pistol
which ^whp+rel+subj++=which
made ^vprf+++xvbn+=made
much ^ap++++=much
noise ^nn++++=noise.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
blood ^nn++++=blood-hunger
- ^zz++++=EXTRAWORD
hunger ^nn++++=EXTRAWORD
gripped ^vbd+++xvbn+=gripped
all ^abn++++=all
the ^ati++++=the
men ^nns++++=men
who ^whp+rel+subj++=who
sat ^vbd+++xvbn+=sat
in ^in++++=in
the ^ati++++=the
circle ^nn++++=circle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
chief ^jjb+atrb+++=chief
slew ^nn+++??+=slew
chief ^jjb++++=chief,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
was ^vbd+bedz+vrb++=was
slain ^nn+++??+=slain,
, ^zz++++=EXTRAWORD
as ^in++++=as
chance ^nn++++=chance
might ^md+pos+++=might
be ^vb+be+aux++=be.
. ^zz++++=EXTRAWORD
Also ^rb++++=Also
did ^vbd+dod+vrb++=did
they ^pp3a+pp3+++=they
stab ^nn++++=stab
and ^cc++++=and
shoot ^vb++++=shoot
at ^in++++=at
Ligoun ^np+++??+=Ligoun,
, ^zz++++=EXTRAWORD
for ^in++++=for
whoso ^nn++++=whoso
killed ^vbd+++xvbn+=killed
him ^pp3o+pp3+++=him
won ^vbd+++xvbn+=won
great ^jj+atrb+++=great
honor ^nn++++=honor
and ^cc++++=and
would ^md+prd+++=would
be ^vb+be+aux++=be
unforgotten ^vpsv++agls+xvbnx+=unforgotten
for ^in++++=for
the ^ati++++=the
deed ^nn++++=deed.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
about ^rb++++=about
him ^pp3o+pp3+++=him
like ^in++++=like
wolves ^nps++++=wolves
about ^in++++=about
a ^at++++=a
moose ^nn+++??+=moose,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
so ^ql++++=so
many ^ap++++=many
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
in ^in++++=in
their ^pp$+pp3+++=their
own ^ap++++=own
way ^nn++++=way,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
slew ^vb+++??+=slew
one ^cd1++++=one
another ^dt++++=another
to ^to++++=to
make ^vbi++++=make
room ^nn++++=room.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
great ^jj+atrb+++=great
confusion ^nn++++=confusion.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
Ligoun ^np+++??+=Ligoun
went ^vbd+++xvbn+=went
slowly ^rb+cnj+++=slowly,
, ^zz++++=EXTRAWORD
without ^in++++=without
haste ^nn++++=haste,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
many ^ap++++=many
years ^nns++++=years
were ^vbd+bed+vrb++=were
yet ^rb++++=yet
before ^in++++=before
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
certain ^jj+pred+++=certain
he ^pp3a+pp3+++=he
would ^md+prd+++=would
make ^vb++++=make
his ^pp$+pp3+++=his
kill ^nn++++=kill,
, ^zz++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
own ^ap++++=own
way ^nn++++=way,
, ^zz++++=EXTRAWORD
ere ^nn+++??+=ere
they ^pp3a+pp3+++=they
could ^md+pos+++=could
slay ^vb++++=slay
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
as ^ql++++=as
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
slowly ^rb+cnj+++=slowly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
knives ^nns++++=knives
bit ^nn++++=bit
into ^in++++=into
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
red ^jj+pred+++=red
with ^in++++=with
blood ^nn++++=blood.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
though ^cs+sub+++=though
none ^pn++++=none
sought ^vbd+++xvbn+=sought
after ^in++++=after
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
a ^at++++=a
mere ^jjb+atrb+++=mere
stripling ^nn+nom+++=stripling,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
did ^vbd+dod+vrb++=did
the ^ati++++=the
knives ^nns++++=knives
find ^vb+vprv+++=find
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
hot ^jj+atrb+++=hot
bullets ^nns+nom+++=bullets
burn ^nn++++=burn
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
still ^rb+atrb+++=still
Ligoun ^np+++??+=Ligoun
leaned ^vbd+++xvbn+=leaned
his ^pp$+pp3+++=his
weight ^nn++++=weight
on ^in++++=on
my ^pp$+pp1+++=my
youth ^nn++++=youth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Opitsah ^np+++??+=Opitsah
struck ^vbd+++xvbn+=struck
at ^rb++++=at
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
three ^cd++++=three
went ^vbd+++xvbn+=went
forward ^rb++++=forward.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
stood ^vpsv++by+xvbn+=stood
by ^in++++=by
Niblack ^np+++??+=Niblack,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
afraid ^jj+pred+++=afraid,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
covered ^vbd+++xvbn+=covered
his ^pp$+pp3+++=his
head ^nn++++=head
with ^in++++=with
his ^pp$+pp3+++=his
blanket ^nn++++=blanket.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Skoots ^np+++??+=Skoots
were ^vbd+bed+vrb++=were
ever ^rb++++=ever
cowards ^nns++++=cowards.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
Goolzug ^np+++??+=Goolzug
and ^cc++++=and
Kadishan ^np+nom++??+=Kadishan,
, ^zz++++=EXTRAWORD
the ^ati++++=the
one ^cd1++++=one
a ^at++++=a
fish ^nns++++=fish-eater
- ^zz++++=EXTRAWORD
eater ^jjr++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
other ^ap++++=other
a ^at++++=a
meat ^nn++++=meat-killer,
- ^zz++++=EXTRAWORD
killer ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
closed ^j+++xvbn+=closed
together ^nn+nom+++=together
for ^in++++=for
the ^ati++++=the
honor ^nn++++=honor
of ^in++++=of
their ^pp$+pp3+++=their
tribes ^nns++++=tribes.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
they ^pp3a+pp3+++=they
raged ^vbd+++xvbnx+=raged
madly ^rb++++=madly
about ^rb+cnj+++=about,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
their ^pp$+pp3+++=their
battling ^xvbg+++xvbg+=battling
swung ^vbd+++xvbn+=swung
against ^in++++=against
the ^ati++++=the
knees ^nns++++=knees
of ^in++++=of
Opitsah ^np+++??+=Opitsah,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
overthrown ^vpsv++agls+xvbnx+=overthrown
and ^cc+phrs+++=and
trampled ^vpsv++agls+xvbn+=trampled
upon ^in+strn+++=upon.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
a ^at++++=a
knife ^nn++++=knife,
, ^zz++++=EXTRAWORD
singing ^vbg+++xvbg+=singing
through ^in++++=through
the ^ati++++=the
air ^nn++++=air,
, ^zz++++=EXTRAWORD
smote ^j+++xvbn+=smote
Skulpin ^np+++??+=Skulpin,
, ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Sitkas ^np+++??+=Sitkas,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
throat ^nn++++=throat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
flung ^vbd+++xvbnx+=flung
his ^pp$+pp3+++=his
arms ^nns++++=arms
out ^rp+pl+++=out
blindly ^rb+cnj+++=blindly,
, ^zz++++=EXTRAWORD
reeling ^vbg+nom++xvbg+=reeling,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dragged ^vbd+++xvbn+=dragged
me ^pp1o+pp1+++=me
down ^rp++++=down
in ^in++++=in
his ^pp$+pp3+++=his
fall ^nn++++=fall.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
ground ^nn++++=ground
I ^pp1a+pp1+++=I
beheld ^nn+++??+=beheld
Ligoun ^np+++??+=Ligoun
bend ^nn++++=bend
over ^in++++=over
Niblack ^np+++??+=Niblack,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
uncover ^vb++++=uncover
the ^ati++++=the
blanket ^nn++++=blanket
from ^in++++=from
his ^pp$+pp3+++=his
head ^nn++++=head,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turn ^nn++++=turn
up ^rp++++=up
his ^pp$+pp3+++=his
face ^nn++++=face
to ^in++++=to
the ^ati++++=the
light ^nn++++=light.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Ligoun ^np+++??+=Ligoun
was ^vbd+bedz+vrb++=was
in ^in++++=in
no ^at++++=no
haste ^nn++++=haste.
. ^zz++++=EXTRAWORD
Being ^xvbg+++xvbg+=Being
blinded ^vbd+++xvbn+=blinded
with ^in++++=with
his ^pp$+pp3+++=his
own ^ap++++=own
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
swept ^vbd+++xvbnx+=swept
it ^pp3+it+++=it
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
with ^in++++=with
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
his ^pp$+pp3+++=his
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
so ^ql++++=so
he ^pp3a+pp3+++=he
might ^md+pos+++=might
see ^vb+vprv+++=see
and ^cc++++=and
be ^vb+be+vrb++=be
sure ^jj+pred+++=sure.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
sure ^jj+pred+++=sure
that ^tht+jcmp+++=that
the ^ati++++=the
upturned ^jj+atrb+++=upturned
face ^nn++++=face
was ^vbd+bedz+vrb++=was
the ^ati++++=the
face ^nn++++=face
of ^in++++=of
Niblack ^np+++??+=Niblack,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
drew ^vbd+++xvbnx+=drew
the ^ati++++=the
knife ^nn++++=knife
across ^in+pl+++=across
his ^pp$+pp3+++=his
throat ^nn++++=throat
as ^ql++++=as
one ^cd1++++=one
draws ^vbz++++=draws
a ^at++++=a
knife ^nn++++=knife
across ^in+pl+++=across
the ^ati++++=the
throat ^nn++++=throat
of ^in++++=of
a ^at++++=a
trembling ^jj+atrb++xvbg+=trembling
deer ^nns++++=deer.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
Ligoun ^np+++??+=Ligoun
stood ^vbd+++xvbn+=stood
erect ^jj++++=erect,
, ^zz++++=EXTRAWORD
singing ^vbg+++xvbg+=singing
his ^pp$+pp3+++=his
death ^nn++++=death-song
- ^zz++++=EXTRAWORD
song ^nn++++=EXTRAWORD
and ^cc++++=and
swaying ^vbg+++xvbg+=swaying
gently ^rb++++=gently
to ^to++++=to
and ^cc++++=and
fro ^rb++++=fro.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Skulpin ^np+++??+=Skulpin,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
dragged ^vprf+++xvbnx+=dragged
me ^pp1o+pp1+++=me
down ^in+strn+++=down,
, ^zz++++=EXTRAWORD
shot ^j+++xvbn+=shot
with ^in++++=with
a ^at++++=a
pistol ^nn++++=pistol
from ^in++++=from
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
lay ^vbd+++xvbnx+=lay,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Ligoun ^np+++??+=Ligoun
toppled ^vbd+++xvbn+=toppled
and ^cc+phrs+++=and
fell ^vbd+++xvbn+=fell,
, ^zz++++=EXTRAWORD
as ^in++++=as
an ^at++++=an
old ^jj+atrb+++=old
pine ^nn++++=pine
topples ^nns+++??+=topples
and ^cc++++=and
falls ^vbz++++=falls
in ^in++++=in
the ^ati++++=the
teeth ^nns++++=teeth
of ^in++++=of
the ^ati++++=the
wind ^nn++++=wind."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Palitlum ^np+++??+=Palitlum
ceased ^vbd+++xvbn+=ceased.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
smouldering ^jj+++xvbg+=smouldering
moodily ^rb+cnj+++=moodily,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
bent ^vpsv++agls+xvbnx+=bent
upon ^in++++=upon
the ^ati++++=the
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
cheek ^nn++++=cheek
was ^vbd+bedz+vrb++=was
dark ^jj+pred+++=dark
with ^in++++=with
blood ^nn++++=blood.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
thou ^pp2+pp2+++=thou,
, ^zz++++=EXTRAWORD
Palitlum ^np+++??+=Palitlum?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
demanded ^vbd+vsua++xvbnx+=demanded.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
thou ^pp2+pp2+++=thou?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I?
i ^pp1a+pp1+++=EXTRAWORD
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
remember ^nn+nom+++=remember
the ^ati++++=the
Law ^nn++++=Law,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
slew ^nn+++??+=slew
Opitsah ^np+++??+=Opitsah
the ^ati++++=the
Knife ^nn++++=Knife,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
well ^rb++++=well.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
drew ^vbd+++xvbnx+=drew
Ligoun ^np++++=Ligoun's
's ^$++++=EXTRAWORD
own ^ap++++=own
knife ^nn++++=knife
from ^in++++=from
the ^ati++++=the
throat ^nn++++=throat
of ^in++++=of
Niblack ^np+++??+=Niblack,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
slew ^nn+++??+=slew
Skulpin ^np+++??+=Skulpin,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
dragged ^vprf+++xvbnx+=dragged
me ^pp1o+pp1+++=me
down ^rp++++=down.
. ^zz++++=EXTRAWORD
For ^in++++=For
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
a ^at++++=a
stripling ^nn+nom+++=stripling,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
could ^md+pos+++=could
slay ^vb++++=slay
any ^dti++++=any
man ^nn++++=man
and ^cc++++=and
it ^pp3+it+++=it
