After ^cs+sub+++=AFTER
violence ^nn+nom+++=violence
to ^in++++=to
his ^pp$+pp3+++=his
principles ^nns++++=principles;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
killed ^vbd+++xvbnx+=killed
his ^pp$+pp3+++=his
self ^nn++++=self-respect.
- ^zz++++=EXTRAWORD
respect ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
paid ^vpsv++agls+xvbnx+=paid
at ^rb++++=at
the ^ati++++=the
office ^nn++++=office
that ^tht+rel+++=that
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
the ^ati++++=the
money ^nn++++=money
- ^zz++++=-a
a ^at++++=EXTRAWORD
week ^nn++++=week's
's ^vbz+bez+vrb++0=EXTRAWORD
miserable ^jj+atrb+++=miserable
pittance ^nn+nom+++=pittance
- ^zz++++=-in
in ^in++++=EXTRAWORD
his ^pp$+pp3+++=his
pocket ^nn++++=pocket.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
every ^at++++=every
action ^nn++++=action
revealed ^vbd+vprv++xvbn+=revealed
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
novice ^nn++++=novice
in ^in++++=in
recklessness ^nns+nom+++=recklessness.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
innocent ^jj++++=innocent
face ^vb++++=face
piqued ^vbd+++xvbn+=piqued
the ^ati++++=the
men ^nns++++=men
within ^in+strn+++=within.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
gave ^vbd+++xvbnx+=gave
him ^pp3o+pp3+++=him
a ^at++++=a
welcome ^jj++++=welcome
that ^dt+pdem+++=that
amazed ^vbd+++xvbn+=amazed
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
the ^ati++++=the
evening ^nn++++=evening
was ^vbd+bedz+vrb++=was
a ^at++++=a
chaos ^nn++++=chaos
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
throat ^nn++++=throat
down ^in++++=down
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
poured ^vbd+++xvbnx+=poured
the ^ati++++=the
liquor ^nn++++=liquor
was ^vbd+bedz+vrb++=was
as ^ql++++=as
tender ^jj++++=tender
as ^ql++++=as
a ^at++++=a
child ^nn++++=child's.
's. ^nn+++??+=EXTRAWORD
The ^ati++++=The
men ^nns++++=men
turned ^vbd+++xvbn+=turned
his ^pp$+pp3+++=his
head ^nn++++=head
with ^in++++=with
their ^pp$+pp3+++=their
ironical ^jj+atrb+++=ironical
compliments ^nns+nom+++=compliments.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
boisterous ^jj++++=boisterous
good ^jj++++=good-fellowship
- ^zz++++=EXTRAWORD
fellowship ^nn+nom+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
as ^ql++++=as
intoxicating ^jj++++=intoxicating
to ^in++++=to
this ^dt+dem+++=this
poor ^jj+atrb+++=poor
young ^jj+atrb+++=young
recluse ^nn++++=recluse
as ^in++++=as
the ^ati++++=the
liquor ^nn++++=liquor.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
revulsion ^nn++++=revulsion
from ^in++++=from
this ^dt+dem+++=this
feeling ^nvbg+++xvbg+=feeling,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
to ^in++++=to
a ^at++++=a
consciousness ^nns+nom+++=consciousness
that ^tht+ncmp+++=that
the ^ati++++=the
men ^nns++++=men
were ^vbd+bed+aux++=were
laughing ^vbg+++xvbgx+=laughing
at ^in+ppvb+++=at
him ^pp3o+pp3+++=him
and ^cc++++=and
not ^xnot++not++=not
with ^in++++=with
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
that ^cs+sub+++=that
wrecked ^vprf+++xvbn+=wrecked
his ^pp$+pp3+++=his
life ^nn++++=life.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
from ^in++++=from
beer ^nn++++=beer
to ^in++++=to
whiskey ^nn+++??+=whiskey,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
whiskey ^nn+++??+=whiskey
to ^in++++=to
brandy ^nn++++=brandy,
, ^zz++++=EXTRAWORD
by ^in++++=by
this ^dt+dem+++=this
time ^nn++++=time,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
suggestion ^nn+nom+++=suggestion
of ^in++++=of
the ^ati++++=the
men ^nns++++=men,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
making ^vbg+++xvbgx+=making
awkward ^jj+atrb+++=awkward
lunges ^nns+++??+=lunges
with ^in++++=with
a ^at++++=a
billiard ^nn++++=billiard
cue ^nn++++=cue,
, ^zz++++=EXTRAWORD
spurred ^j+++xvbn+=spurred
on ^in++++=on
by ^in++++=by
the ^ati++++=the
mocking ^jj+atrb++xvbg+=mocking
applause ^nn++++=applause
of ^in++++=of
the ^ati++++=the
others ^aps++++=others.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
young ^jj++++=young
fellow ^jjb++++=fellow
was ^vbd+bedz+vrb++=was
particularly ^rb++++=particularly
hilarious ^jj+pred+++=hilarious
at ^in++++=at
his ^pp$+pp3+++=his
expense ^nn++++=expense.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
jokes ^nns++++=jokes
became ^vbd+++xvbn+=became
insults ^nns+++??+=insults,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
so ^ql++++=so
they ^pp3a+pp3+++=they
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
David ^vbi++++=David.
. ^zz++++=EXTRAWORD
A ^at++++=A
quarrel ^nn++++=quarrel
followed ^vbd+vprv++xvbn+=followed,
, ^zz++++=EXTRAWORD
half ^abn++++=half
a ^at++++=a
jest ^rb++++=jest
on ^in+cmpx+++=on
the ^in"++++=the
part ^in"++++=part
of ^in"++++=of
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
all ^abn++++=all
serious ^jj++++=serious
as ^in++++=as
far ^in"+pl+++=far
as ^in"++++=as
David ^np++++=David
was ^vbd+bedz+aux++=was
concerned ^vpsv++agls+xvbnx+=concerned.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
- ^zz++++=-Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
could ^md+pos+++=could
tell ^vb++++=tell
how ^wrb+who+++=how
it ^pp3+it+++=it
happened ^vbd+++xvbn+=happened?
? ^zz++++=EXTRAWORD
The ^ati++++=The
billiard ^nn++++=billiard
cue ^nn++++=cue
was ^vbd+bedz+vrb++=was
in ^in++++=in
David ^np++++=David's
's ^$++++=EXTRAWORD
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
skull ^nn++++=skull
of ^in++++=of
the ^ati++++=the
jester ^nn++++=jester
was ^vbd+bedz+aux++=was
split ^vpsv++agls+xvbnx+=split,
, ^zz++++=EXTRAWORD
a ^at++++=a
horrible ^jj+atrb+++=horrible
gaping ^jj+atrb+++=gaping
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
revoltingly ^rb++++=revoltingly
animal ^nn++++=animal.
. ^zz++++=EXTRAWORD
David ^np++++=David
never ^rb++++=never
saw ^vbd+vprv++xvbn+=saw
his ^pp$+pp3+++=his
home ^nr++++=home
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
mother ^nn++++=mother
gave ^vbd+++xvbn+=gave
it ^pp3+it+++=it
out ^rp+pl+++=out
in ^in++++=in
church ^npl++++=church
that ^tht+rel+obj++=that
her ^pp3o+pp3+++=her
heart ^nn++++=heart
was ^vbd+bedz+aux++=was
broken ^vpsv++agls+xvbnx+=broken,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
wrote ^vbd+vprv++xvbnx+=wrote
a ^at++++=a
letter ^nn++++=letter
to ^in++++=to
David ^np++++=David
begging ^vwbg+++xvbg+=begging
him ^pp3o+pp3+++=him
to ^in++++=to
reform ^nn++++=reform.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
said ^vbd+vpub+tht0+xvbnx+=said
she ^pp3a+pp3+++=she
would ^md+prd+++=would
never ^rb++splt++=never
cease ^vb++++=cease
to ^to++++=to
pray ^vbi+vsua+++=pray
for ^in++++=for
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
might ^md+pos+++=might
return ^vb++++=return
to ^in++++=to
grace ^nn++++=grace.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
an ^at++++=an
attorney ^nn++++=attorney,
, ^zz++++=EXTRAWORD
an ^at++++=an
impecunious ^jj++++=impecunious
and ^cc++++=and
very ^ql+amp+++=very
aged ^jj+atrb+++=aged
gentleman ^nn+nom+++=gentleman,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
life ^nn++++=life
was ^vbd+bedz+vrb++=was
a ^at++++=a
venerable ^jj+atrb+++=venerable
failure ^nn++++=failure,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
who ^whp+rel+subj++=who
talked ^vbd+++xvbn+=talked
so ^ql++++=so
much ^ap++++=much
about ^in++++=about
his ^pp$+pp3+++=his
personal ^jj+atrb+++=personal
inconveniences ^nns+nom+++=inconveniences
from ^in++++=from
indigestion ^nn+nom+++=indigestion
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
forgot ^vbd+vprv++xvbnx+=forgot
to ^to+vcmp+++=to
take ^vbi++++=take
a ^at++++=a
very ^ql+amp+++=very
keen ^np++++=keen
interest ^nn++++=interest
in ^in++++=in
the ^ati++++=the
concerns ^nns++++=concerns
of ^in++++=of
his ^pp$+pp3+++=his
client ^nn++++=client.
. ^zz++++=EXTRAWORD
David ^np++++=David's
's ^$++++=EXTRAWORD
trial ^nn++++=trial
made ^vbd+++xvbn+=made
no ^at++++=no
sensation ^nn+nom+++=sensation.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
even ^rb++++=even
have ^vb+hv+vrb++=have
the ^ati++++=the
cheap ^jj+atrb+++=cheap
sympathy ^nn++++=sympathy
of ^in++++=of
the ^ati++++=the
morbid ^nn++++=morbid.
. ^zz++++=EXTRAWORD
The ^ati++++=The
court ^nn++++=court-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
was ^vbd+bedz+aux++=was
almost ^rb+hdg+splt++=almost
empty ^vb++++=empty
the ^ati++++=the
dull ^nn++++=dull
spring ^vb++++=spring
day ^nn++++=day
when ^wrb+who+++=when
the ^ati++++=the
east ^np+pl+++=east
wind ^nn++++=wind
beat ^vbd+++xvbn+=beat
against ^in++++=against
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
jangling ^vbg+nom++xvbg+=jangling
the ^ati++++=the
loose ^jj+atrb+++=loose
panes ^nns++++=panes
all ^abn++++=all
through ^in++++=through
the ^ati++++=the
reading ^jj+++xvbg+=reading
of ^in++++=of
the ^ati++++=the
verdict ^nn++++=verdict.
. ^zz++++=EXTRAWORD
Twenty ^cd++++=Twenty
years ^nns++++=years!
! ^zz++++=EXTRAWORD
Twenty ^cd++++=Twenty
years ^nns++++=years
in ^in++++=in
the ^ati++++=the
penitentiary ^nn+nom+++=penitentiary!
! ^zz++++=EXTRAWORD
David ^np++++=David
looked ^vbd+++xvbn+=looked
up ^rp++++=up
at ^in++++=at
the ^ati++++=the
judge ^nn++++=judge
and ^cc++++=and
smiled ^vbd+++xvbn+=smiled.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
known ^vpsv++agls+xvbnx+=known
to ^to+vcmp+++=to
smile ^vb++++=smile
that ^tht+rel+++=that
way ^nn++++=way
when ^wrb+who+++=when
the ^ati++++=the
car ^nn++++=car-wheel
- ^zz++++=EXTRAWORD
wheel ^nn++++=EXTRAWORD
crashes ^vbz++++=crashes
over ^in++++=over
their ^pp$+pp3+++=their
legs ^nns++++=legs,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
bullet ^nn++++=bullet
lets ^vbz++++=lets
the ^ati++++=the
air ^nn++++=air
through ^in++++=through
their ^pp$+pp3+++=their
lungs ^nns++++=lungs.
. ^zz++++=EXTRAWORD
All ^abn++++=All
that ^dt+dem+++=that
followed ^jj+++xvbn+=followed
would ^md+prd+++=would
have ^vb+hv+aux++=have
seemed ^vprf+++xvbnx+=seemed
more ^rbr++++=more
terrible ^jj++++=terrible
if ^cs+cnd+++=if
it ^pp3+it+++=it
had ^vb+hv+aux++=had
not ^xnot++not++=not
appeared ^vprf+++xvbn+=appeared
to ^to+vcmp+++=to
be ^vbi++vrb++=be
so ^ql+emph+++=so
remote ^jj++++=remote.
. ^zz++++=EXTRAWORD
David ^np++++=David
had ^md"++pmd"++=had
to ^md+nec+++=to
assure ^vb++++=assure
himself ^ppl+pp3+++=himself
over ^in++++=over
and ^cc++++=and
over ^in++++=over
that ^dt+dem+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
really ^rb+emph+++=really
he ^pp3a+pp3+++=he
who ^whp+who+++=who
was ^vbd+bedz+aux++=was
put ^vpsv++agls+xvbnx+=put
in ^rb+phrv+++=in
that ^cs"++++=that
disgraceful ^jj+atrb+++=disgraceful
dress ^nn++++=dress,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
locked ^jj+++xvbn+=locked
in ^cs+sub+++=in
that ^cs"++++=that
shameful ^jj+atrb+++=shameful
walk ^nn++++=walk
from ^in++++=from
corridor ^nn++++=corridor
to ^in++++=to
workroom ^nn+++??+=workroom,
, ^zz++++=EXTRAWORD
from ^in++++=from
work ^nn++++=work-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
to ^in++++=to
chapel ^nn++++=chapel.
. ^zz++++=EXTRAWORD
The ^ati++++=The
work ^nn++++=work
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
much ^ap++++=much
more ^rbr++++=more
monotonous ^jj++++=monotonous
than ^cs+sub+++=than
that ^dt+dem+++=that
to ^to++++=to
which ^whp+who+++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
accustomed ^vpsv++agls+xvbnx+=accustomed
in ^in++++=in
the ^ati++++=the
office ^nn++++=office.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here,
, ^zz++++=EXTRAWORD
as ^in++++=as
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
was ^vbd+bedz+aux++=was
reproved ^vpsv++agls+xvbnx+=reproved
for ^in++++=for
not ^xnot++not++=not
doing ^vbg+++xvbg+=doing
the ^ati++++=the
required ^jj+atrb++xvbn+=required
amount ^nn++++=amount,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
never ^rb++++=never
praised ^vbd+++xvbn+=praised
for ^in++++=for
extraordinary ^jj+atrb+++=extraordinary
efforts ^nns++++=efforts.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here,
, ^zz++++=EXTRAWORD
as ^in++++=as
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
the ^ati++++=the
workers ^nns+nom+++=workers
regarded ^vwbn+++xvbn+=regarded
each ^ppls++++=each
other ^ap++++=other
with ^in++++=with
dislike ^nn++++=dislike
and ^cc++++=and
suspicion ^nn++++=suspicion.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here,
, ^zz++++=EXTRAWORD
as ^in++++=as
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
work ^nn++++=work
was ^vbd+bedz+vrb++=was
a ^at++++=a
penalty ^nn++++=penalty
and ^cc++++=and
not ^xnot++not++=not
a ^at++++=a
pleasure ^nn++++=pleasure.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
the ^ati++++=the
nights ^nns++++=nights
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
to ^to++++=to
be ^vbi+vbi+aux++=be
dreaded ^vpsv++agls+xvbnx+=dreaded
in ^in++++=in
a ^at++++=a
penitentiary ^nn+nom+++=penitentiary.
. ^zz++++=EXTRAWORD
Speech ^nn++++=Speech
eases ^vbz++++=eases
the ^ati++++=the
brain ^nn++++=brain
of ^in++++=of
free ^jj+atrb+++=free
men ^nns++++=men;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
man ^nn++++=man
condemned ^vbd+++xvbn+=condemned
to ^in++++=to
eternal ^jj+atrb+++=eternal
silence ^nn+nom+++=silence
is ^vbz+bez+aux++=is
bound ^jj++agls+xvbnx+=bound
to ^to+jcmp+++=to
endure ^vbi++++=endure
torments ^nns+nom+++=torments.
. ^zz++++=EXTRAWORD
Thought ^j+++xvbn+=Thought,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
might ^md+pos+++=might
be ^vb+be+vrb++=be
a ^at++++=a
diversion ^nn++++=diversion,
, ^zz++++=EXTRAWORD
becomes ^vbz++++=becomes
a ^at++++=a
curse ^nn++++=curse;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
painful ^jj+atrb+++=painful
disease ^nn++++=disease
which ^whp+rel+subj++=which
becomes ^vbz++++=becomes
chronic ^jj++++=chronic.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
does ^vbz+doz+aux++=does
not ^xnot++not++=not
take ^vb++++=take
long ^vb++++=long
to ^to+vcmp+++=to
forget ^vbi+vprv+++=forget
the ^ati++++=the
days ^nns++++=days
of ^in++++=of
the ^ati++++=the
week ^nn++++=week
and ^cc++++=and
the ^ati++++=the
months ^nns++++=months
of ^in++++=of
the ^ati++++=the
year ^nn++++=year
when ^wrb+who+++=when
time ^nn++++=time
brings ^vbz++++=brings
no ^at++++=no
variance ^nn+nom+++=variance.
. ^zz++++=EXTRAWORD
David ^np++++=David
drugged ^vbd+++xvbn+=drugged
himself ^ppl+pp3+++=himself
on ^in++++=on
dreams ^nps++++=dreams.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv+tht0+xvbnx+=knew
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
weakness ^nns+nom+++=weakness,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
wine ^nn++++=wine
of ^in++++=of
forgetfulness ^nns+nom+++=forgetfulness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
indulged ^vprf+++xvbn+=indulged
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
over ^in++++=over
and ^cc++++=and
over ^rb+cnj+++=over,
, ^zz++++=EXTRAWORD
in ^in++++=in
endless ^jj+atrb+++=endless
repetition ^nn+nom+++=repetition,
, ^zz++++=EXTRAWORD
every ^at++++=every
scene ^nn++++=scene
in ^in++++=in
which ^whp+rel+pied++=which
Zoe ^np++++=Zoe
Le ^&fw++++=Le
Baron ^npt++++=Baron
had ^vbd+hvd+aux++=had
figured ^vprf+++xvbnx+=figured.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
learned ^vbd+vprv++xvbnx+=learned
by ^in++++=by
a ^at++++=a
paper ^nn++++=paper
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
to ^in++++=to
Europe ^np++++=Europe.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
glad ^jj+pred+++=glad
of ^in++++=of
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
For ^in++++=For
there ^rn+pl+++=there
were ^vbd+bed+vrb++=were
hours ^nns++++=hours
in ^in++++=in
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
imagined ^vbd+vprv++xvbnx+=imagined
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
fate ^nn++++=fate
might ^md+pos+++=might
have ^vb+hv+aux++=have
caused ^vprf+++xvbnx+=caused
her ^pp$+pp3+++=her
distress ^nns+nom+++=distress
- ^zz++++=-not
not ^xnot++not++=EXTRAWORD
much ^rb+cnj+++=much,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
perhaps ^rb++++=perhaps
an ^at++++=an
occasional ^jj+atrb+++=occasional
hour ^nn++++=hour
of ^in++++=of
sympathetic ^jj+atrb+++=sympathetic
regret ^nn++++=regret.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
pleasanter ^jjr+pred+++=pleasanter
not ^xnot++not++=not
to ^to++++=to
think ^vbi+vprv+++=think
of ^in++++=of
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
preferred ^vbd+++xvbnx+=preferred
to ^to+vcmp+++=to
remember ^nn+nom+++=remember
the ^ati++++=the
hours ^nns++++=hours
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
spent ^vprf+++xvbnx+=spent
together ^nn+nom+++=together
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
teaching ^vbg+++xvbgx+=teaching
him ^pp3o+pp3+++=him
the ^ati++++=the
joy ^nn++++=joy
of ^in++++=of
life ^nn++++=life.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
lovely ^jj++++=lovely
her ^pp$+pp3+++=her
gray ^np++++=gray
eyes ^nns++++=eyes
were ^vbd+bed+vrb++=were!
! ^zz++++=EXTRAWORD
Deep ^jj++++=Deep,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
bright ^jj++++=bright,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
full ^jj++++=full
of ^in++++=of
silent ^jj+atrb+++=silent
little ^jj+atrb+++=little
speeches ^nns++++=speeches.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rooms ^nns++++=rooms
in ^in++++=in
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
imagined ^vbd+++xvbnx+=imagined
her ^pp3o+pp3+++=her
as ^ql++++=as
moving ^nvbg+++xvbg+=moving
were ^vbd+bed+vrb++=were
always ^rb++++=always
splendid ^jj+pred+++=splendid;
; ^zz++++=EXTRAWORD
the ^ati++++=the
gowns ^nns++++=gowns
she ^pp3a+pp3+++=she
wore ^vbd+++xvbnx+=wore
were ^vbd+bed+vrb++=were
of ^in++++=of
rustling ^jj+atrb+++=rustling
silk ^nn++++=silk.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
never ^rb++++=never
in ^in++++=in
any ^dti++++=any
dream ^nn++++=dream,
, ^zz++++=EXTRAWORD
waking ^vbg+++xvbg+=waking
or ^cc+phrs+++=or
sleeping ^vbg+++xvbg+=sleeping,
, ^zz++++=EXTRAWORD
associated ^j+++xvbn+=associated
her ^pp$+pp3+++=her
with ^in++++=with
poverty ^nn++++=poverty
or ^cc++++=or
sorrow ^nn++++=sorrow
or ^cc++++=or
pain ^nn++++=pain.
. ^zz++++=EXTRAWORD
Gay ^jj++++=Gay
and ^cc+phrs+++=and
beautiful ^jj++++=beautiful,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
moved ^vbd+++xvbnx+=moved
from ^in++++=from
city ^nn++++=city
to ^in++++=to
city ^nn++++=city,
, ^zz++++=EXTRAWORD
in ^in++++=in
these ^dt+dem+++=these
visions ^nns++++=visions
of ^in++++=of
David ^np++++=David's,
's, ^nn+++??+=EXTRAWORD
looking ^vwbg+++xvbg+=looking
always ^rb++++=always
at ^in++++=at
wonderful ^jj+atrb+++=wonderful
things ^nns++++=things,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
finding ^jj+atrb++xvbg+=finding
laughter ^nn+nom+++=laughter
in ^in++++=in
every ^at++++=every
happening ^nvbg+++xvbg+=happening.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
six ^cd++++=six
months ^nns++++=months
after ^in++++=after
his ^pp$+pp3+++=his
entrance ^nn+nom+++=entrance
into ^in++++=into
his ^pp$+pp3+++=his
silent ^jj+atrb+++=silent
abode ^nn++++=abode
that ^tht+rel+obj++=that
a ^at++++=a
letter ^nn++++=letter
came ^vbd+++xvbn+=came
for ^in+ppvb+++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="By
by ^in++++=EXTRAWORD
rights ^nns++++=rights,
, ^zz++++=EXTRAWORD
Culross ^np+++??+=Culross,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
warden ^nn++++=warden,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
should ^md+nec+++=should
not ^xnot++not++=not
give ^vb++++=give
this ^dt+dem+++=this
letter ^nn++++=letter
to ^in++++=to
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
the ^ati++++=the
sort ^nn++++=sort
we ^pp1a+pp1+++=we
approve ^vb++++=approve
of ^in+strn+++=of.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
in ^in++++=in
for ^in++++=for
a ^at++++=a
good ^jj+atrb+++=good
spell ^nn++++=spell,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
anything ^pn++++=anything
that ^dt+pdem+++=that
can ^md+pos+++=can
make ^vb++++=make
life ^nn++++=life
seem ^vb+seem+++=seem
more ^rbr++++=more
tolerable ^jj++++=tolerable,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
but ^cc++++=but
you ^pp2+pp2+++=you're
're ^vb+ber+aux++0=EXTRAWORD
entitled ^vpsv++agls+xvbnx+=entitled
to ^in++++=to
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
At ^rb++++=At
least ^rb"++++=least,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
the ^ati++++=the
man ^nn++++=man
to ^to++++=to
deny ^vbi+vpub+++=deny
it ^pp3+it+++=it
to ^in++++=to
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
