Some ^dti++++=Some
hurried ^vbd+++xvbnx+=hurried
to ^in++++=to
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
the ^ati++++=the
sofa ^nn++++=sofa
on ^in++++=on
which ^whp+rel+pied++=which
Nisbet ^np+++??+=Nisbet
was ^vbd+bedz+aux++=was
sitting ^vbg+++xvbgx+=sitting,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
catching ^vbg+++xvbg+=catching
the ^ati++++=the
picture ^nn++++=picture
from ^in++++=from
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
verified ^vpbn+vpub++xvbn+=verified
the ^ati++++=the
matter ^nn++++=matter
for ^in++++=for
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
quite ^rb++++=quite
true ^jj+pred+++=true.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
figure ^nn++++=figure,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
the ^ati++++=the
open ^jj+atrb+++=open
window ^nn++++=window.
. ^zz++++=EXTRAWORD
Williams ^np++++=Williams,
, ^zz++++=EXTRAWORD
after ^in++++=after
a ^at++++=a
moment ^nn++++=moment
of ^in++++=of
speechless ^jj+atrb+++=speechless
surprise ^nn++++=surprise,
, ^zz++++=EXTRAWORD
went ^j+++xvbn+=went
to ^in++++=to
the ^ati++++=the
writing ^jj+++xvbg+=writing-table
- ^zz++++=EXTRAWORD
table ^nn++++=EXTRAWORD
and ^cc++++=and
scribbled ^vpsv++agls+xvbn+=scribbled
for ^in++++=for
a ^at++++=a
short ^jj+atrb+++=short
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
brought ^vbd+++xvbnx+=brought
two ^cd++++=two
papers ^nns++++=papers
to ^in++++=to
Nisbet ^np+++??+=Nisbet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
asked ^vbd+vsua++xvbn+=asked
him ^pp3o+pp3+++=him
first ^rb++++=first
to ^in++++=to
sign ^nn++++=sign
one ^pn++++=one--it
-- ^--+clp+++=EXTRAWORD
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
own ^ap++++=own
description ^nn+nom+++=description
of ^in++++=of
the ^ati++++=the
picture ^nn++++=picture,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
just ^rb+emph+splt++=just
heard ^vprf+++xvbnx+=heard--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
then ^rn+tm+++=then
to ^to++++=to
read ^vbn+vprv++xvbn+=read
the ^ati++++=the
other ^ap++++=other
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
Williams ^np++++=Williams's
's ^$++++=EXTRAWORD
statement ^nn+nom+++=statement
written ^vbd+++xvbn+=written
the ^ati++++=the
night ^nn++++=night
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
can ^md+pos+++=can
it ^pp3+it+++=it
all ^abn++++=all
mean ^jj++++=mean?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Nisbet ^np+++??+=Nisbet.
. ^zz++++=EXTRAWORD
" ^zz++++="Exactly,"
exactly ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Williams ^np++++=Williams.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
thing ^nn++++=thing
I ^pp1a+pp1+++=I
must ^md+nec+++=must
do ^vb+do+vrb++=do--or
-- ^--+clp+++=EXTRAWORD
or ^cc+cls+++=EXTRAWORD
three ^cd++++=three
things ^nns++++=things,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
find ^vb+vprv+++=find
out ^rp+pl+++=out
from ^in++++=from
Garwood" ^np+++??+=Garwood"--this
-- ^--+clp+++=EXTRAWORD
this ^dt+pdem+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
last ^jj+atrb+++=last
night ^nn++++=night's
's ^$++++=EXTRAWORD
visitor ^nn++++=visitor--"what
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
what ^wdt+who+++=EXTRAWORD
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
I ^pp1a+pp1+++=I
must ^md+nec+++=must
get ^vb++++=get
the ^ati++++=the
thing ^nn++++=thing
photographed ^vwbn+++xvbn+=photographed
before ^cs+sub+++=before
it ^pp3+it+++=it
goes ^vbz++++=goes
further ^jjb++++=further,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
I ^pp1a+pp1+++=I
must ^md+nec+++=must
find ^vb+vprv+++=find
out ^rp+pl+++=out
what ^wdt+who+++=what
the ^ati++++=the
place ^nn++++=place
is ^vbz+bez+vrb++=is."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can
do ^vb+do+vrb++=do
the ^ati++++=the
photographing ^jj+++xvbg+=photographing
myself ^ppl+pp1+++=myself,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Nisbet ^np+++??+=Nisbet,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
looks ^nns++++=looks
very ^ql+amp+++=very
much ^ap++++=much
as ^cs+sub+++=as
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
assisting ^vbg+++xvbgx+=assisting
at ^in++++=at
the ^ati++++=the
working ^jj+++xvbg+=working
out ^rp+pl+++=out
of ^in++++=of
a ^at++++=a
tragedy ^nn++++=tragedy
somewhere ^rb++++=somewhere.
. ^zz++++=EXTRAWORD
The ^ati++++=The
question ^nn+nom+++=question
is ^vbz+bez+aux++=is,
, ^zz++++=EXTRAWORD
Has ^vbz+hvz+aux++=Has
it ^pp3+it+++=it
happened ^vbd+++xvbn+=happened
already ^rb+cnj+++=already,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
is ^vbz+bez+aux++=is
it ^pp3+it+++=it
going ^md"++pmd"++=going
to ^md+prd+++=to
come ^vb++++=come
off ^rp+pl+++=off?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must
find ^vb+vprv+++=find
out ^rp+pl+++=out
what ^wdt+who+++=what
the ^ati++++=the
place ^nn++++=place
is ^vbz+bez+vrb++=is.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
at ^rb++++=at
the ^ati++++=the
picture ^nn++++=picture
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
expect ^vb+vprv+tht0++=expect
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
right ^jj+pred+++=right:
: ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
got ^vprf+++xvbnx+=got
in ^rb+phrv+++=in.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
mistake ^nn++++=mistake
there ^ex+pex+++=there'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
the ^ati++++=the
devil ^nn++++=devil
to ^to++++=to
pay ^vbi++++=pay
in ^in++++=in
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
rooms ^nns++++=rooms
upstairs ^jjb++++=upstairs."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you
what ^wdt+who+++=what,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Williams ^np++++=Williams:
: ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
take ^vb++++=take
the ^ati++++=the
picture ^nn++++=picture
across ^in+pl+++=across
to ^in++++=to
old ^jj++++=old
Green ^jj++++=Green"
" ^zz++++=EXTRAWORD
( ^zz++++=(this
this ^dt+pdem+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
senior ^jj++++=senior
Fellow ^jjb++++=Fellow
of ^in++++=of
the ^ati++++=the
College ^nn++++=College,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
Bursar ^np+++??+=Bursar
for ^in++++=for
many ^ap++++=many
years ^nns++++=years).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
quite ^rb++++=quite
likely ^jj++++=likely
he ^pp3a+pp3+++=he'll
'll ^md+prd+++0=EXTRAWORD
know ^vb+vprv+tht0++=know
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+vrb++=have
property ^nn++++=property
in ^in++++=in
Essex ^np++++=Essex
and ^cc++++=and
Sussex ^np++++=Sussex,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
over ^in++++=over
the ^ati++++=the
two ^cd++++=two
counties ^nns++++=counties
a ^at++++=a
lot ^nn++++=lot
in ^in++++=in
his ^pp$+pp3+++=his
time ^nn++++=time."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Quite
quite ^rb++++=EXTRAWORD
likely ^jj++++=likely
he ^pp3a+pp3+++=he
will ^md+prd+++=will,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Nisbet ^np+++??+=Nisbet;
; ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
just ^rb+emph+++=just
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
take ^vb++++=take
my ^pp$+pp1+++=my
photograph ^nn++++=photograph
first ^rb++++=first.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
look ^nn++++=look
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
rather ^rb++++=rather
think ^vb+vprv+tht0++=think
Green ^nn++++=Green
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
up ^rp++++=up
to ^to++++=to-day.
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
in ^in++++=in
Hall ^npl++++=Hall
last ^rb++++=last
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
heard ^vbd+vprv+tht0+xvbnx+=heard
him ^pp3o+pp3+++=him
say ^vb+vpub+tht0++=say
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going
down ^rp++++=down
for ^in++++=for
the ^ati++++=the
Sunday ^nr++++=Sunday."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
true ^jj++++=true,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Williams ^np++++=Williams;
; ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+tht0++=know
he ^pp3a+pp3+++=he's
's ^vbz+bez+aux++0=EXTRAWORD
gone ^vpsv++agls+xvbnx+=gone
to ^in++++=to
Brighton ^np++++=Brighton.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
photograph ^vb++++=photograph
it ^pp3+it+++=it
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
go ^vb++++=go
across ^in+pl+++=across
to ^in++++=to
Garwood ^np+++??+=Garwood
and ^cc++++=and
get ^vb++++=get
his ^pp$+pp3+++=his
statement ^nn+nom+++=statement,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
keep ^vb++++=keep
an ^at++++=an
eye ^nn++++=eye
on ^in++++=on
it ^pp3+it+++=it
while ^cs+sub+++=while
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
gone ^vpsv++agls+xvbnx+=gone.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
beginning ^vbg+++xvbgx+=beginning
to ^to++++=to
think ^vbi+vprv+++=think
two ^cd++++=two
guineas ^nns++++=guineas
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
a ^at++++=a
very ^ql+amp+++=very
exorbitant ^jj+atrb+++=exorbitant
price ^nn++++=price
for ^in++++=for
it ^pp3+it+++=it
now ^rn+tm+++=now."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
short ^jj+atrb+++=short
time ^nn++++=time
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
returned ^vprf+++xvbnx+=returned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
brought ^xvbn+++xvbn+=brought
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Garwood ^np++++=Garwood
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Garwood ^np++++=Garwood's
's ^$++++=EXTRAWORD
statement ^nn+nom+++=statement
was ^vbd+bedz+vrb++=was
to ^in++++=to
the ^ati++++=the
effect ^nn++++=effect
that ^tht+rel+obj++=that
the ^ati++++=the
figure ^nn++++=figure,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
clear ^jj+pred+++=clear
of ^in++++=of
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
picture ^nn++++=picture,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
had ^vb+hv+aux++=had
not ^xnot++not++=not
got ^vprf+++xvbn+=got
far ^rb+pl+++=far
across ^in+pl+++=across
the ^ati++++=the
lawn ^nn++++=lawn.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
remembered ^vbd+vprv+tht0+xvbnx+=remembered
a ^at++++=a
white ^nn++++=white
mark ^vb++++=mark
on ^in++++=on
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
its ^pp$+it+++=its
drapery ^nn+nom+++=drapery,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
could ^md+pos+++=could
not ^xnot++not++=not
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
sure ^jj++++=sure
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
cross ^nn++++=cross.
. ^zz++++=EXTRAWORD
A ^at++++=A
document ^nn+nom+++=document
to ^in++++=to
this ^dt+dem+++=this
effect ^nn++++=effect
was ^vbd+bedz+aux++=was
then ^rn+tm+splt++=then
drawn ^vpsv++agls+xvbnx+=drawn
up ^rb+phrv+++=up
and ^cc++++=and
signed ^vbd+++xvbn+=signed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Nisbet ^np+++??+=Nisbet
proceeded ^vbd+++xvbn+=proceeded
to ^in++++=to
photograph ^nn++++=photograph
the ^ati++++=the
picture ^nn++++=picture.
. ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
what ^wdt+who+++=what
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
mean ^vb+vprv+++=mean
to ^to+vcmp+++=to
do ^vbi++++=do?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+aux++=EXTRAWORD
you ^pp2+pp2+++=you
going ^md"++pmd"++=going
to ^md+prd+++=to
sit ^vb++++=sit
and ^cc+phrs+++=and
watch ^vb++++=watch
it ^pp3+it+++=it
all ^abn++++=all
day ^nn++++=day?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think
not ^xnot++not++=not,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Williams ^np++++=Williams.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
rather ^rb++++=rather
imagine ^vb+vprv+tht0++=imagine
we ^pp1a+pp1+++=we're
're ^vb+ber+aux++0=EXTRAWORD
meant ^vpsv++agls+xvbnx+=meant
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
the ^ati++++=the
whole ^jj+atrb+++=whole
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
between ^in++++=between
the ^ati++++=the
time ^nn++++=time
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
it ^pp3+it+++=it
last ^jj+atrb+++=last
night ^nn++++=night
and ^cc++++=and
this ^dt+dem+++=this
morning ^nn++++=morning
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
time ^nn++++=time
for ^in++++=for
lots ^nns++++=lots
of ^in++++=of
things ^nns++++=things
to ^to++++=to
happen ^vbi+v+++=happen,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
creature ^nn++++=creature
only ^ap+down+++=only
got ^vprf+++xvbn+=got
into ^in+ppvb+++=into
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
could ^md+pos+++=could
easily ^rb++++=easily
have ^vb+hv+aux++=have
got ^vprf+++xvbnx+=got
through ^in++++=through
its ^pp$+it+++=its
business ^nns+nom+++=business
in ^in++++=in
the ^ati++++=the
time ^nn++++=time
and ^cc++++=and
gone ^vpsv++agls+xvbn+=gone
to ^in++++=to
its ^pp$+it+++=its
own ^ap++++=own
place ^nn++++=place
again ^rb+tm+++=again;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
fact ^nn++++=fact
of ^in++++=of
the ^ati++++=the
window ^nn++++=window
being ^vwbg+beg++xvbg+=being
open ^jj++++=open,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think,
, ^zz++++=EXTRAWORD
must ^md+nec+++=must
mean ^vb++++=mean
that ^tht+vcmp+++=that
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
in ^in++++=in
there ^rn+pl+++=there
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
So ^ql++++=So
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
quite ^rb++++=quite
easy ^jj++++=easy
about ^in++++=about
leaving ^xvbg+++xvbg+=leaving
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
besides ^rb++++=besides,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++=of
idea ^nn++++=idea
that ^tht+ncmp+++=that
it ^pp3+it+++=it
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
change ^nn++++=change
much ^ap++++=much,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
daytime ^nn++++=daytime.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
might ^md+pos+++=might
go ^vb++++=go
out ^rb+phrv+++=out
for ^in+ppvb+++=for
a ^at++++=a
walk ^nn++++=walk
this ^dt+dem+++=this
afternoon ^nn++++=afternoon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
come ^vb++++=come
in ^in++++=in
to ^in++++=to
tea ^nn++++=tea,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
whenever ^nn+nom+++=whenever
it ^pp3+it+++=it
gets ^vbz++++=gets
dark ^nn++++=dark.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
leave ^vb++++=leave
it ^pp3+it+++=it
out ^rp+pl+++=out
on ^in++++=on
the ^ati++++=the
table ^nn++++=table
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sport ^nn++++=sport
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
skip ^vb++++=skip
can ^md+pos+++=can
get ^vb++++=get
in ^rb+cnj+++=in,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^at++++=no
one ^cd1++++=one
else ^rb+cnj+++=else."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
three ^cd++++=three
agreed ^vprf+++xvbn+=agreed
that ^tht+vcmp+++=that
this ^dt+pdem+++=this
would ^md+prd+++=would
be ^vb+be+vrb++=be
a ^at++++=a
good ^jj+atrb+++=good
plan ^nn++++=plan;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
further ^jjb++++=further,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
spent ^vbd+++xvbnx+=spent
the ^ati++++=the
afternoon ^nn++++=afternoon
together ^nn+nom+++=together
they ^pp3a+pp3+++=they
would ^md+prd+++=would
be ^vb+be+vrb++=be
less ^rbr++++=less
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
talk ^vbi++++=talk
about ^in++++=about
the ^ati++++=the
business ^nns+nom+++=business
to ^in++++=to
other ^ap++++=other
people ^nns++++=people;
; ^zz++++=EXTRAWORD
for ^in++++=for
any ^dti++++=any
rumour ^nn++++=rumour
of ^in++++=of
such ^abl++++=such
a ^at++++=a
transaction ^nn+nom+++=transaction
as ^ql++++=as
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going
on ^in++++=on
would ^nn++++=would
bring ^vb++++=bring
the ^ati++++=the
whole ^nn++++=whole
of ^in++++=of
the ^ati++++=the
Phasmatological ^np+++??+=Phasmatological
Society ^nn++++=Society
about ^in++++=about
their ^pp$+pp3+++=their
ears ^nns++++=ears.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
may ^md+pos+++=may
give ^vb++++=give
them ^pp3o+pp3+++=them
a ^at++++=a
respite ^nn++++=respite
until ^in++++=until
five ^cd++++=five
o ^zz++++=o'clock.
'clock. ^nn+++??+=EXTRAWORD
At ^rb++++=At
or ^cc++++=or
near ^in+pl+++=near
that ^dt+dem+++=that
hour ^nn++++=hour
the ^ati++++=the
three ^cd++++=three
were ^vbd+bed+aux++=were
entering ^vbg+++xvbgx+=entering
Williams ^np++++=Williams's
's ^$++++=EXTRAWORD
staircase ^nn++++=staircase.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
at ^rb++++=at
first ^rb"++++=first
slightly ^rb+down+++=slightly
annoyed ^jj++++=annoyed
to ^to+jcmp+++=to
see ^vbi+vprv+++=see
that ^tht+vcmp+++=that
the ^ati++++=the
door ^nn++++=door
of ^in++++=of
his ^pp$+pp3+++=his
rooms ^nns++++=rooms
was ^vbd+bedz+aux++=was
unsported ^vpsv++agls+xvbnx+=unsported;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^in++++=in
a ^at++++=a
moment ^nn++++=moment
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
remembered ^vpsv++agls+xvbnx+=remembered
that ^tht+vcmp+++=that
on ^in++++=on
Sunday ^nr++++=Sunday
the ^ati++++=the
skips ^nns++++=skips
came ^vbd+++xvbn+=came
for ^in+ppvb+++=for
orders ^nns++++=orders
an ^at++++=an
hour ^nn++++=hour
or ^cc++++=or
so ^ql+emph+++=so
earlier ^jjr++++=earlier
than ^in++++=than
on ^in++++=on
week ^nn++++=week-days.
- ^zz++++=EXTRAWORD
days ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
a ^at++++=a
surprise ^nn++++=surprise
was ^vbd+bedz+aux++=was
awaiting ^vbg+++xvbgx+=awaiting
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
thing ^nn++++=thing
they ^pp3a+pp3+++=they
saw ^vbd+vprv++xvbnx+=saw
was ^vbd+bedz+vrb++=was
the ^ati++++=the
picture ^nn++++=picture
leaning ^vwbg+++xvbg+=leaning
up ^in+cmpx+++=up
against ^in"++++=against
a ^at++++=a
pile ^nn++++=pile
of ^in++++=of
books ^nns++++=books
on ^in++++=on
the ^ati++++=the
table ^nn++++=table,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
left ^vpsv++agls+xvbnx+=left,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
next ^ap++++=next
thing ^nn++++=thing
was ^vbd+bedz+vrb++=was
Williams ^np++++=Williams's
's ^$++++=EXTRAWORD
